time,Golden State,pts.away,score,pts.home,Minnesota
8:40.0,,,36-27,,Minnesota full timeout
8:40.0,,,36-27,,A. Wiggins enters the game for K. Martin
8:23.0,Shooting block foul by M. Speights (drawn by A. Bennett),,36-27,,
8:23.0,,,36-28,1,A. Bennett makes free throw 1 of 2
8:23.0,,,36-29,1,A. Bennett makes free throw 2 of 2
8:04.0,S. Livingston makes 2-pt shot from 14 ft,2,38-29,,
7:49.0,,,38-29,,A. Bennett misses 2-pt shot from 20 ft
7:48.0,,,38-29,,Offensive rebound by Team
7:40.0,,,38-31,2,R. Rubio makes 2-pt shot from 20 ft (assist by G. Dieng)
7:31.0,M. Speights makes 2-pt shot at rim (assist by S. Livingston),2,40-31,,
7:13.0,,,40-31,,G. Dieng misses 2-pt shot from 1 ft (block by A. Iguodala)
7:12.0,,,40-31,,Offensive rebound by G. Dieng
7:11.0,,,40-31,,Shooting foul by A. Iguodala (drawn by G. Dieng)
7:11.0,,,40-32,1,G. Dieng makes free throw 1 of 2
7:11.0,,,40-32,,G. Dieng misses free throw 2 of 2
7:11.0,Defensive rebound by M. Speights,,40-32,,
6:58.0,D. Lee makes 2-pt shot from 1 ft (assist by S. Livingston),2,42-32,,
6:43.0,,,42-34,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
6:23.0,L. Barbosa misses 3-pt shot from 24 ft,,42-34,,
6:22.0,,,42-34,,Defensive rebound by A. Bennett
6:16.0,,,42-34,,Turnover by A. Bennett (offensive foul)
6:16.0,,,42-34,,Offensive foul by A. Bennett
6:16.0,K. Thompson enters the game for L. Barbosa,,42-34,,
6:04.0,M. Speights misses 2-pt shot from 7 ft,,42-34,,
6:02.0,,,42-34,,Defensive rebound by S. Muhammad
5:52.0,,,42-34,,Shooting foul by M. Speights (drawn by A. Bennett)
5:52.0,,,42-34,,Minnesota full timeout
5:52.0,D. Green enters the game for M. Speights,,42-34,,
5:52.0,H. Barnes enters the game for A. Iguodala,,42-34,,
5:52.0,,,42-35,1,A. Bennett makes free throw 1 of 2
5:52.0,,,42-36,1,A. Bennett makes free throw 2 of 2
5:34.0,Turnover by S. Livingston (lost ball; steal by A. Wiggins),,42-36,,
5:30.0,,,42-38,2,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins)
5:18.0,,,42-38,,Personal foul by R. Rubio (drawn by S. Livingston)
5:18.0,S. Curry enters the game for S. Livingston,,42-38,,
5:08.0,K. Thompson makes 2-pt shot from 5 ft,2,44-38,,
4:52.0,,,44-38,,S. Muhammad misses 2-pt shot from 10 ft
4:51.0,Defensive rebound by H. Barnes,,44-38,,
4:43.0,H. Barnes misses 2-pt shot from 1 ft,,44-38,,
4:41.0,,,44-38,,Defensive rebound by G. Dieng
4:39.0,,,44-38,,Turnover by G. Dieng (bad pass)
4:39.0,,,44-38,,T. Young enters the game for A. Bennett
4:39.0,,,44-38,,N. Pekovic enters the game for G. Dieng
4:39.0,A. Bogut enters the game for D. Lee,,44-38,,
4:34.0,Shooting foul by A. Wiggins (drawn by K. Thompson),,44-38,,
4:34.0,K. Thompson makes free throw 1 of 2,1,45-38,,
4:34.0,,,45-38,,K. Martin enters the game for S. Muhammad
4:34.0,K. Thompson misses free throw 2 of 2,,45-38,,
4:33.0,Offensive rebound by D. Green,,45-38,,
4:28.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Green),3,48-38,,
4:04.0,,,48-38,,Turnover by R. Rubio (bad pass)
3:49.0,Turnover by K. Thompson (lost ball; steal by R. Rubio),,48-38,,
3:35.0,,,48-41,3,K. Martin makes 3-pt shot from 24 ft
3:23.0,D. Green misses 2-pt shot from 19 ft,,48-41,,
3:22.0,,,48-41,,Defensive rebound by T. Young
3:15.0,,,48-41,,K. Martin misses 2-pt shot from 17 ft
3:14.0,Defensive rebound by A. Bogut,,48-41,,
3:09.0,,,48-41,,Personal foul by K. Martin (drawn by S. Curry)
3:00.0,Turnover by H. Barnes (bad pass),,48-41,,
2:47.0,,,48-41,,Turnover by R. Rubio (bad pass)
2:47.0,Golden State full timeout,,48-41,,
2:36.0,Offensive foul by H. Barnes,,48-41,,
2:36.0,Turnover by H. Barnes (offensive foul),,48-41,,
2:26.0,,,48-41,,Turnover by R. Rubio (bad pass; steal by D. Green)
2:19.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,51-41,,
2:00.0,,,51-41,,A. Wiggins misses 2-pt shot from 20 ft
1:59.0,Defensive rebound by A. Bogut,,51-41,,
1:48.0,H. Barnes makes 3-pt shot from 22 ft (assist by S. Curry),3,54-41,,
1:39.0,,,54-41,,Minnesota full timeout
1:28.0,,,54-43,2,R. Rubio makes 2-pt shot from 20 ft (assist by N. Pekovic)
1:14.0,S. Curry misses 2-pt shot from 19 ft,,54-43,,
1:13.0,Offensive rebound by A. Bogut,,54-43,,
1:07.0,Turnover by S. Curry (bad pass),,54-43,,
0:45.0,,,54-43,,A. Wiggins misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by A. Bogut,,54-43,,
0:36.0,S. Curry misses 2-pt shot from 13 ft,,54-43,,
0:34.0,,,54-43,,Defensive rebound by K. Martin
0:30.0,,,54-43,,Shooting foul by H. Barnes (drawn by T. Young)
0:30.0,,,54-44,1,T. Young makes free throw 1 of 2
0:30.0,,,54-44,,Z. LaVine enters the game for R. Rubio
0:30.0,,,54-44,,G. Dieng enters the game for N. Pekovic
0:30.0,L. Barbosa enters the game for H. Barnes,,54-44,,
0:30.0,,,54-44,,T. Young misses free throw 2 of 2
0:30.0,Defensive rebound by D. Green,,54-44,,
0:11.0,K. Thompson makes 2-pt shot at rim,2,56-44,,
0:02.0,,,56-46,2,K. Martin makes 2-pt shot from 21 ft (assist by Z. LaVine)
0:00.0,L. Barbosa misses 3-pt shot from 47 ft,,56-46,,
0:00.0,Offensive rebound by Team,,56-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-46,,N. Pekovic misses 2-pt shot from 4 ft
11:45.0,Defensive rebound by D. Green,,56-46,,
11:30.0,K. Thompson misses 2-pt shot from 21 ft,,56-46,,
11:28.0,,,56-46,,Defensive rebound by R. Rubio
11:20.0,,,56-46,,N. Pekovic misses 2-pt shot from 4 ft
11:19.0,,,56-46,,Offensive rebound by A. Wiggins
11:17.0,,,56-48,2,A. Wiggins makes 2-pt shot at rim
11:02.0,Turnover by A. Bogut (lost ball; steal by T. Young),,56-48,,
11:02.0,Jump ball: A. Bogut vs. T. Young (N. Pekovic gains possession),,,,Jump ball: A. Bogut vs. T. Young (N. Pekovic gains possession)
10:49.0,,,56-50,2,R. Rubio makes 2-pt shot from 1 ft
10:35.0,H. Barnes misses 2-pt shot from 7 ft,,56-50,,
10:34.0,,,56-50,,Defensive rebound by A. Wiggins
10:27.0,,,56-50,,R. Rubio misses 2-pt shot from 16 ft
10:26.0,Defensive rebound by H. Barnes,,56-50,,
10:14.0,,,56-50,,Personal foul by R. Rubio (drawn by K. Thompson)
10:11.0,,,56-50,,Personal foul by A. Wiggins (drawn by H. Barnes)
9:59.0,Turnover by K. Thompson (traveling),,56-50,,
9:42.0,,,56-50,,K. Martin misses 2-pt shot from 19 ft (block by K. Thompson)
9:41.0,,,56-50,,Offensive rebound by Team
9:38.0,,,56-52,2,K. Martin makes 2-pt shot from 17 ft (assist by N. Pekovic)
9:30.0,,,56-52,,Personal foul by K. Martin (drawn by K. Thompson)
9:21.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut),3,59-52,,
9:07.0,,,59-52,,K. Martin misses 2-pt shot from 19 ft (block by K. Thompson)
9:06.0,Defensive rebound by D. Green,,59-52,,
8:53.0,S. Curry misses 2-pt shot from 16 ft,,59-52,,
8:52.0,,,59-52,,Defensive rebound by N. Pekovic
8:46.0,,,59-54,2,T. Young makes 2-pt shot at rim (assist by R. Rubio)
8:33.0,S. Curry makes 2-pt shot from 19 ft,2,61-54,,
8:18.0,,,61-56,2,R. Rubio makes 2-pt shot from 18 ft
8:07.0,H. Barnes misses 3-pt shot from 22 ft,,61-56,,
8:06.0,,,61-56,,Defensive rebound by K. Martin
7:53.0,,,61-56,,R. Rubio misses 2-pt shot from 3 ft (block by D. Green)
7:52.0,Defensive rebound by Team,,61-56,,
7:52.0,,,61-56,,Z. LaVine enters the game for R. Rubio
7:41.0,A. Bogut misses 2-pt shot at rim,,61-56,,
7:39.0,,,61-56,,Defensive rebound by N. Pekovic
7:23.0,,,61-58,2,N. Pekovic makes 2-pt shot from 1 ft (assist by Z. LaVine)
7:23.0,,,61-58,,Shooting foul by A. Bogut (drawn by N. Pekovic)
7:23.0,Golden State full timeout,,61-58,,
7:23.0,,,61-58,,N. Pekovic misses free throw 1 of 1
7:23.0,Defensive rebound by D. Green,,61-58,,
6:56.0,S. Curry misses 3-pt shot from 27 ft,,61-58,,
6:55.0,Offensive rebound by A. Bogut,,61-58,,
6:47.0,S. Curry misses 3-pt shot from 24 ft,,61-58,,
6:46.0,,,61-58,,Defensive rebound by Z. LaVine
6:26.0,,,61-58,,T. Young misses 3-pt shot from 23 ft
6:25.0,Defensive rebound by H. Barnes,,61-58,,
6:09.0,Shooting foul by T. Young (drawn by D. Green),,61-58,,
6:09.0,D. Green makes free throw 1 of 2,1,62-58,,
6:09.0,A. Iguodala enters the game for H. Barnes,,62-58,,
6:09.0,D. Green misses free throw 2 of 2,,62-58,,
6:09.0,,,62-58,,Defensive rebound by N. Pekovic
5:54.0,,,62-58,,T. Young misses 2-pt shot from 19 ft
5:53.0,,,62-58,,Offensive rebound by Z. LaVine
5:50.0,,,62-58,,Shooting foul by A. Bogut (drawn by Z. LaVine)
5:50.0,,,62-58,,Z. LaVine misses free throw 1 of 2
5:50.0,,,62-58,,Offensive rebound by Team
5:50.0,,,62-58,,C. Budinger enters the game for K. Martin
5:50.0,,,62-59,1,Z. LaVine makes free throw 2 of 2
5:34.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut),3,65-59,,
5:16.0,,,65-59,,C. Budinger misses 2-pt shot from 21 ft
5:14.0,Defensive rebound by Team,,65-59,,
4:59.0,A. Bogut makes 2-pt shot from 5 ft (assist by S. Curry),2,67-59,,
4:41.0,,,67-59,,Z. LaVine misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by K. Thompson,,67-59,,
4:34.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,69-59,,
4:30.0,,,69-59,,Minnesota full timeout
4:16.0,,,69-59,,Turnover by A. Wiggins (lost ball; steal by S. Curry)
4:12.0,S. Curry makes 2-pt shot at rim,2,71-59,,
4:12.0,,,71-59,,Violation by A. Wiggins (def goaltending)
3:56.0,,,71-59,,A. Wiggins misses 2-pt shot from 17 ft
3:55.0,,,71-59,,Offensive rebound by N. Pekovic
3:54.0,,,71-59,,Shooting foul by D. Green (drawn by N. Pekovic)
3:54.0,,,71-60,1,N. Pekovic makes free throw 1 of 2
3:54.0,,,71-60,,S. Muhammad enters the game for A. Wiggins
3:54.0,,,71-60,,N. Pekovic misses free throw 2 of 2
3:54.0,Defensive rebound by D. Green,,71-60,,
3:39.0,Offensive foul by A. Bogut,,71-60,,
3:39.0,Turnover by A. Bogut (offensive foul),,71-60,,
3:19.0,,,71-60,,Shooting foul by A. Iguodala (drawn by C. Budinger)
3:19.0,,,71-61,1,C. Budinger makes free throw 1 of 2
3:19.0,L. Barbosa enters the game for K. Thompson,,71-61,,
3:19.0,,,71-61,,C. Budinger misses free throw 2 of 2
3:19.0,Defensive rebound by D. Green,,71-61,,
3:01.0,A. Bogut misses 2-pt shot from 11 ft,,71-61,,
2:59.0,Offensive rebound by L. Barbosa,,71-61,,
2:45.0,D. Green misses 3-pt shot from 24 ft,,71-61,,
2:44.0,,,71-61,,Defensive rebound by C. Budinger
2:30.0,,,71-61,,T. Young misses 2-pt shot from 5 ft
2:29.0,Defensive rebound by S. Curry,,71-61,,
2:26.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry),2,73-61,,
1:59.0,,,73-63,2,N. Pekovic makes 2-pt shot from 9 ft
1:45.0,S. Curry misses 3-pt shot from 25 ft,,73-63,,
1:44.0,,,73-63,,Defensive rebound by S. Muhammad
1:36.0,,,73-63,,Z. LaVine misses 2-pt shot from 1 ft
1:34.0,,,73-63,,Offensive rebound by N. Pekovic
1:34.0,,,73-65,2,N. Pekovic makes 2-pt shot from 1 ft
1:15.0,A. Bogut misses 2-pt shot from 9 ft (block by N. Pekovic),,73-65,,
1:14.0,,,73-65,,Defensive rebound by T. Young
1:06.0,,,73-65,,T. Young misses 2-pt shot at rim
1:05.0,Defensive rebound by A. Bogut,,73-65,,
0:54.0,S. Curry misses 2-pt shot from 1 ft,,73-65,,
0:53.0,,,73-65,,Defensive rebound by N. Pekovic
0:47.0,Personal foul by L. Barbosa (drawn by S. Muhammad),,73-65,,
0:47.0,,,73-66,1,S. Muhammad makes free throw 1 of 2
0:47.0,,,73-66,,G. Dieng enters the game for N. Pekovic
0:47.0,M. Speights enters the game for A. Bogut,,73-66,,
0:47.0,,,73-67,1,S. Muhammad makes free throw 2 of 2
0:33.0,L. Barbosa misses 3-pt shot from 25 ft,,73-67,,
0:32.0,,,73-67,,Defensive rebound by S. Muhammad
0:09.0,,,73-67,,Turnover by Team (shot clock)
0:01.0,M. Speights misses 3-pt shot from 25 ft,,73-67,,
0:00.0,,,73-67,,Defensive rebound by T. Young
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,L. Barbosa misses 2-pt shot from 1 ft,,73-67,,
11:35.0,,,73-67,,Defensive rebound by S. Muhammad
11:21.0,,,73-67,,Shooting foul by A. Iguodala (drawn by S. Muhammad)
11:21.0,,,73-68,1,S. Muhammad makes free throw 1 of 2
11:21.0,,,73-69,1,S. Muhammad makes free throw 2 of 2
10:58.0,M. Speights makes 2-pt shot from 19 ft,2,75-69,,
10:44.0,,,75-69,,S. Muhammad misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by M. Speights,,75-69,,
10:31.0,S. Livingston makes 2-pt shot from 1 ft (assist by L. Barbosa),2,77-69,,
10:13.0,,,77-69,,Turnover by C. Budinger (lost ball; steal by D. Lee)
10:07.0,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Livingston),2,79-69,,
10:07.0,,,79-69,,Minnesota full timeout
10:07.0,,,79-69,,R. Rubio enters the game for Z. LaVine
10:07.0,,,79-69,,K. Martin enters the game for C. Budinger
10:07.0,,,79-69,,A. Wiggins enters the game for S. Muhammad
9:52.0,,,79-69,,A. Bennett misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by M. Speights,,79-69,,
9:34.0,D. Lee makes 2-pt shot from 2 ft (assist by A. Iguodala),2,81-69,,
9:20.0,,,81-71,2,K. Martin makes 2-pt shot from 20 ft
8:55.0,M. Speights misses 2-pt shot from 18 ft,,81-71,,
8:54.0,,,81-71,,Defensive rebound by R. Rubio
8:49.0,,,81-71,,Turnover by R. Rubio (bad pass; steal by L. Barbosa)
8:45.0,L. Barbosa makes 2-pt shot at rim,2,83-71,,
8:21.0,,,83-71,,A. Bennett misses 2-pt shot from 18 ft
8:20.0,Defensive rebound by S. Livingston,,83-71,,
7:59.0,S. Livingston misses 2-pt shot from 8 ft,,83-71,,
7:57.0,,,83-71,,Defensive rebound by A. Bennett
7:47.0,,,83-71,,G. Dieng misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by A. Iguodala,,83-71,,
7:41.0,M. Speights makes 2-pt shot from 1 ft (assist by A. Iguodala),2,85-71,,
7:23.0,Shooting block foul by M. Speights (drawn by G. Dieng),,85-71,,
7:23.0,,,85-71,,G. Dieng misses free throw 1 of 2
7:23.0,,,85-71,,Offensive rebound by Team
7:23.0,,,85-71,,T. Young enters the game for A. Bennett
7:23.0,,,85-72,1,G. Dieng makes free throw 2 of 2
7:06.0,S. Livingston misses 2-pt shot from 14 ft,,85-72,,
7:05.0,,,85-72,,Defensive rebound by Team
7:05.0,,,85-72,,N. Pekovic enters the game for G. Dieng
6:50.0,,,85-72,,K. Martin misses 2-pt shot from 11 ft
6:49.0,,,85-72,,Offensive rebound by Team
6:49.0,K. Thompson enters the game for L. Barbosa,,85-72,,
6:42.0,,,85-75,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
6:17.0,Turnover by A. Iguodala (bad pass; steal by R. Rubio),,85-75,,
6:13.0,,,85-77,2,T. Young makes 2-pt shot at rim (assist by R. Rubio)
6:12.0,Golden State full timeout,,85-77,,
6:12.0,S. Curry enters the game for D. Lee,,85-77,,
6:12.0,D. Green enters the game for S. Livingston,,85-77,,
5:57.0,K. Thompson misses 3-pt shot from 24 ft,,85-77,,
5:55.0,,,85-77,,Defensive rebound by A. Wiggins
5:46.0,,,85-77,,Shooting foul by D. Green (drawn by R. Rubio)
5:46.0,,,85-78,1,R. Rubio makes free throw 1 of 2
5:46.0,,,85-79,1,R. Rubio makes free throw 2 of 2
5:27.0,M. Speights misses 2-pt shot from 16 ft,,85-79,,
5:25.0,,,85-79,,Defensive rebound by R. Rubio
5:10.0,,,85-79,,N. Pekovic misses 2-pt shot from 6 ft
5:09.0,Defensive rebound by S. Curry,,85-79,,
4:57.0,K. Thompson misses 2-pt shot from 7 ft,,85-79,,
4:56.0,,,85-79,,Defensive rebound by R. Rubio
4:44.0,,,85-79,,K. Martin misses 3-pt shot from 23 ft
4:42.0,,,85-79,,Offensive rebound by Team
4:42.0,A. Bogut enters the game for M. Speights,,85-79,,
4:33.0,,,85-81,2,R. Rubio makes 2-pt shot from 18 ft
4:21.0,S. Curry misses 2-pt shot from 18 ft,,85-81,,
4:20.0,,,85-81,,Defensive rebound by R. Rubio
4:15.0,,,85-83,2,T. Young makes 2-pt shot from 1 ft (assist by R. Rubio)
4:14.0,Golden State full timeout,,85-83,,
4:14.0,H. Barnes enters the game for A. Iguodala,,85-83,,
3:58.0,S. Curry misses 3-pt shot from 23 ft,,85-83,,
3:57.0,,,85-83,,Defensive rebound by R. Rubio
3:45.0,,,85-83,,R. Rubio misses 2-pt shot from 19 ft
3:43.0,Defensive rebound by K. Thompson,,85-83,,
3:32.0,A. Bogut misses 2-pt shot from 7 ft,,85-83,,
3:31.0,,,85-83,,Defensive rebound by N. Pekovic
3:14.0,,,85-83,,Offensive foul by K. Martin
3:14.0,,,85-83,,Turnover by K. Martin (offensive foul)
3:05.0,D. Green misses 2-pt shot from 3 ft (block by N. Pekovic),,85-83,,
3:04.0,Offensive rebound by A. Bogut,,85-83,,
3:04.0,A. Bogut makes 2-pt shot at rim,2,87-83,,
