time,Charlotte,pts.away,score,pts.home,Detroit
5:54.0,,,16-17,,G. Monroe misses 2-pt shot from 4 ft
5:53.0,Defensive rebound by C. Zeller,,16-17,,
5:48.0,M. Williams misses 2-pt shot from 4 ft,,16-17,,
5:47.0,Offensive rebound by C. Zeller,,16-17,,
5:46.0,C. Zeller misses 2-pt shot at rim,,16-17,,
5:45.0,,,16-17,,Defensive rebound by T. Prince
5:38.0,,,16-17,,K. Caldwell-Pope misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by C. Zeller,,16-17,,
5:32.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,16-17,,
5:31.0,Offensive rebound by C. Zeller,,16-17,,
5:25.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,18-17,,
5:19.0,,,18-17,,Detroit full timeout
5:19.0,M. Williams enters the game for C. Zeller,,18-17,,
5:13.0,,,18-19,2,R. Jackson makes 2-pt shot at rim
4:48.0,M. Williams makes 2-pt shot from 16 ft,2,20-19,,
4:35.0,,,20-22,3,R. Jackson makes 3-pt shot from 26 ft
4:20.0,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Williams),2,22-22,,
4:10.0,,,22-25,3,R. Jackson makes 3-pt shot from 26 ft
3:55.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,22-25,,
3:53.0,,,22-25,,Defensive rebound by T. Prince
3:41.0,,,22-25,,Turnover by G. Monroe (bad pass)
3:41.0,B. Biyombo enters the game for A. Jefferson,,22-25,,
3:41.0,B. Roberts enters the game for G. Henderson,,22-25,,
3:20.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,22-25,,
3:18.0,,,22-25,,Defensive rebound by G. Monroe
3:09.0,,,22-27,2,R. Jackson makes 2-pt shot from 10 ft
2:56.0,M. Williams makes 2-pt shot from 20 ft (assist by M. Williams),2,24-27,,
2:39.0,,,24-27,,K. Caldwell-Pope misses 2-pt shot at rim (block by B. Biyombo)
2:39.0,,,24-27,,Offensive rebound by G. Monroe
2:39.0,,,24-27,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Monroe)
2:39.0,,,24-28,1,G. Monroe makes free throw 1 of 2
2:39.0,,,24-28,,J. Meeks enters the game for K. Caldwell-Pope
2:39.0,,,24-29,1,G. Monroe makes free throw 2 of 2
2:26.0,M. Williams misses 2-pt shot from 17 ft,,24-29,,
2:25.0,,,24-29,,Defensive rebound by R. Jackson
2:14.0,Personal foul by M. Kidd-Gilchrist (drawn by T. Prince),,24-29,,
2:14.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,24-29,,
2:03.0,,,24-31,2,G. Monroe makes 2-pt shot at rim (assist by R. Jackson)
1:40.0,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts),3,27-31,,
1:22.0,,,27-31,,R. Jackson misses 2-pt shot from 14 ft
1:20.0,Defensive rebound by L. Stephenson,,27-31,,
1:16.0,M. Williams misses 2-pt shot from 19 ft,,27-31,,
1:16.0,,,27-31,,Defensive rebound by Team
1:16.0,,,27-31,,J. Lucas III enters the game for R. Jackson
0:57.0,,,27-33,2,J. Lucas III makes 2-pt shot from 14 ft
0:43.0,L. Stephenson misses 3-pt shot from 25 ft,,27-33,,
0:41.0,,,27-33,,Defensive rebound by S. Williams
0:25.0,,,27-33,,G. Monroe misses 2-pt shot from 5 ft
0:23.0,,,27-33,,Offensive rebound by T. Prince
0:03.0,Personal foul by M. Williams (drawn by S. Williams),,27-33,,
0:01.0,,,27-33,,Turnover by J. Lucas III (lost ball; steal by M. Williams)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Biyombo makes 2-pt shot at rim (assist by L. Stephenson),2,29-33,,
11:33.0,,,29-33,,Shooting foul by J. Taylor (drawn by J. Meeks)
11:33.0,,,29-34,1,J. Meeks makes free throw 1 of 2
11:33.0,,,29-35,1,J. Meeks makes free throw 2 of 2
11:19.0,J. Taylor misses 2-pt shot from 5 ft (block by A. Drummond),,29-35,,
11:17.0,,,29-35,,Defensive rebound by C. Butler
11:06.0,,,29-37,2,A. Drummond makes 2-pt shot from 7 ft
10:46.0,B. Biyombo makes 2-pt shot from 4 ft,2,31-37,,
10:34.0,,,31-37,,J. Meeks misses 2-pt shot from 9 ft
10:33.0,Defensive rebound by M. Williams,,31-37,,
10:21.0,B. Biyombo makes 2-pt shot from 5 ft (assist by L. Stephenson),2,33-37,,
10:02.0,,,33-37,,S. Williams misses 2-pt shot from 14 ft
10:00.0,,,33-37,,Offensive rebound by S. Williams
9:52.0,,,33-37,,J. Lucas III misses 2-pt shot from 16 ft
9:51.0,Defensive rebound by M. Williams,,33-37,,
9:40.0,B. Roberts misses 3-pt shot from 26 ft,,33-37,,
9:39.0,,,33-37,,Defensive rebound by A. Drummond
9:26.0,,,33-39,2,A. Drummond makes 2-pt shot from 5 ft (assist by C. Butler)
9:14.0,Turnover by L. Stephenson (lost ball; steal by J. Meeks),,33-39,,
9:09.0,,,33-39,,Turnover by A. Drummond (bad pass; steal by J. Taylor)
8:58.0,J. Taylor misses 2-pt shot from 5 ft (block by A. Drummond),,33-39,,
8:57.0,,,33-39,,Defensive rebound by A. Drummond
8:46.0,,,33-42,3,J. Meeks makes 3-pt shot from 22 ft (assist by S. Williams)
8:32.0,M. Williams misses 2-pt shot from 20 ft,,33-42,,
8:31.0,,,33-42,,Defensive rebound by Team
8:31.0,Official timeout,,33-42,,
8:31.0,G. Henderson enters the game for J. Taylor,,33-42,,
8:16.0,,,33-42,,J. Meeks misses 2-pt shot from 17 ft
8:15.0,,,33-42,,Offensive rebound by A. Drummond
8:12.0,,,33-42,,A. Drummond misses 2-pt shot at rim
8:09.0,Defensive rebound by B. Roberts,,33-42,,
7:56.0,B. Roberts makes 3-pt shot from 24 ft (assist by B. Biyombo),3,36-42,,
7:46.0,,,36-42,,J. Meeks misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by B. Roberts,,36-42,,
7:40.0,Shooting foul by S. Williams (drawn by B. Biyombo),,36-42,,
7:40.0,B. Biyombo misses free throw 1 of 2,,36-42,,
7:40.0,Offensive rebound by Team,,36-42,,
7:40.0,B. Biyombo makes free throw 2 of 2,1,37-42,,
7:23.0,,,37-44,2,S. Williams makes 2-pt shot from 18 ft (assist by C. Butler)
6:57.0,G. Henderson misses 2-pt shot from 15 ft,,37-44,,
6:56.0,,,37-44,,Defensive rebound by J. Lucas III
6:54.0,,,37-46,2,J. Meeks makes 2-pt shot from 7 ft (assist by J. Lucas III)
6:54.0,,,37-46,,Shooting foul by B. Roberts (drawn by J. Meeks)
6:54.0,C. Zeller enters the game for B. Biyombo,,37-46,,
6:54.0,A. Jefferson enters the game for M. Williams,,37-46,,
6:54.0,,,37-47,1,J. Meeks makes free throw 1 of 1
6:43.0,L. Stephenson misses 2-pt shot from 4 ft,,37-47,,
6:43.0,Offensive rebound by A. Jefferson,,37-47,,
6:43.0,Shooting foul by A. Drummond (drawn by A. Jefferson),,37-47,,
6:43.0,A. Jefferson makes free throw 1 of 2,1,38-47,,
6:43.0,,,38-47,,G. Monroe enters the game for A. Drummond
6:43.0,M. Williams enters the game for B. Roberts,,38-47,,
6:43.0,A. Jefferson makes free throw 2 of 2,1,39-47,,
6:23.0,,,39-47,,J. Meeks misses 2-pt shot from 8 ft
6:21.0,Defensive rebound by G. Henderson,,39-47,,
6:20.0,Turnover by G. Henderson (bad pass; steal by J. Lucas III),,39-47,,
6:15.0,,,39-47,,Turnover by G. Monroe (lost ball; steal by A. Jefferson)
6:03.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,41-47,,
5:41.0,,,41-47,,G. Monroe misses 2-pt shot from 6 ft
5:39.0,Defensive rebound by A. Jefferson,,41-47,,
5:37.0,Turnover by A. Jefferson (bad pass; steal by J. Lucas III),,41-47,,
5:18.0,,,41-49,2,G. Monroe makes 2-pt shot from 5 ft (assist by S. Williams)
5:05.0,A. Jefferson misses 2-pt shot at rim,,41-49,,
5:04.0,,,41-49,,Defensive rebound by G. Monroe
4:57.0,,,41-51,2,S. Williams makes 2-pt shot from 10 ft (assist by J. Lucas III)
4:41.0,M. Williams misses 2-pt shot from 2 ft,,41-51,,
4:39.0,,,41-51,,Defensive rebound by G. Monroe
4:30.0,,,41-51,,S. Williams misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by G. Henderson,,41-51,,
4:24.0,G. Henderson makes 2-pt shot at rim,2,43-51,,
4:16.0,,,43-51,,Detroit full timeout
4:16.0,,,43-51,,A. Tolliver enters the game for S. Williams
4:16.0,,,43-51,,R. Jackson enters the game for J. Lucas III
4:16.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,43-51,,
4:09.0,,,43-51,,Turnover by R. Jackson (bad pass)
3:55.0,G. Henderson misses 2-pt shot from 17 ft,,43-51,,
3:54.0,,,43-51,,Defensive rebound by G. Monroe
3:37.0,,,43-53,2,R. Jackson makes 2-pt shot at rim
3:22.0,A. Jefferson makes 2-pt shot from 13 ft (assist by M. Williams),2,45-53,,
3:11.0,,,45-55,2,R. Jackson makes 2-pt shot from 12 ft
3:11.0,,,45-55,,Shooting foul by M. Williams (drawn by R. Jackson)
3:11.0,,,45-55,,K. Caldwell-Pope enters the game for J. Meeks
3:11.0,,,45-55,,T. Prince enters the game for C. Butler
3:11.0,,,45-56,1,R. Jackson makes free throw 1 of 1
2:58.0,C. Zeller makes 2-pt shot at rim (assist by A. Jefferson),2,47-56,,
2:41.0,,,47-56,,R. Jackson misses 2-pt shot at rim
2:37.0,,,47-56,,Offensive rebound by R. Jackson
2:35.0,,,47-56,,T. Prince misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by G. Henderson,,47-56,,
2:28.0,G. Henderson misses 3-pt shot from 26 ft,,47-56,,
2:27.0,,,47-56,,Defensive rebound by K. Caldwell-Pope
2:20.0,,,47-56,,K. Caldwell-Pope misses 2-pt shot from 13 ft
2:18.0,Defensive rebound by C. Zeller,,47-56,,
1:55.0,G. Henderson makes 2-pt shot from 18 ft,2,49-56,,
1:35.0,,,49-56,,K. Caldwell-Pope misses 2-pt shot from 4 ft
1:34.0,,,49-56,,Offensive rebound by A. Tolliver
1:33.0,,,49-58,2,A. Tolliver makes 2-pt shot at rim
1:09.0,Turnover by C. Zeller (bad pass; steal by G. Monroe),,49-58,,
1:03.0,,,49-58,,Shooting foul by A. Jefferson (drawn by R. Jackson)
1:03.0,Charlotte full timeout,,49-58,,
1:03.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,49-58,,
1:03.0,B. Biyombo enters the game for A. Jefferson,,49-58,,
1:03.0,,,49-59,1,R. Jackson makes free throw 1 of 2
1:03.0,,,49-60,1,R. Jackson makes free throw 2 of 2
0:56.0,,,49-60,,Personal foul by A. Tolliver (drawn by C. Zeller)
0:56.0,,,49-60,,S. Williams enters the game for A. Tolliver
0:45.0,M. Williams makes 3-pt shot from 25 ft,3,52-60,,
0:34.0,,,52-60,,Shooting foul by B. Biyombo (drawn by R. Jackson)
0:34.0,,,52-61,1,R. Jackson makes free throw 1 of 2
0:34.0,,,52-62,1,R. Jackson makes free throw 2 of 2
0:25.0,G. Henderson makes 2-pt shot from 6 ft (assist by L. Stephenson),2,54-62,,
0:03.0,,,54-62,,R. Jackson misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by C. Zeller,,54-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,56-62,,
11:50.0,Shooting foul by G. Monroe (drawn by C. Zeller),,56-62,,
11:50.0,C. Zeller makes free throw 1 of 1,1,57-62,,
11:25.0,,,57-62,,Turnover by Team (shot clock)
11:10.0,M. Williams misses 2-pt shot from 15 ft,,57-62,,
11:09.0,,,57-62,,Defensive rebound by R. Jackson
10:55.0,,,57-64,2,G. Monroe makes 2-pt shot at rim
10:55.0,,,57-64,,Shooting foul by C. Zeller (drawn by G. Monroe)
10:55.0,,,57-64,,G. Monroe misses free throw 1 of 1
10:54.0,Defensive rebound by C. Zeller,,57-64,,
10:33.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,57-64,,
10:32.0,,,57-64,,Defensive rebound by G. Monroe
10:11.0,,,57-66,2,A. Drummond makes 2-pt shot at rim (assist by G. Monroe)
9:50.0,C. Zeller makes 2-pt shot from 19 ft (assist by G. Henderson),2,59-66,,
9:39.0,,,59-66,,Shooting foul by C. Zeller (drawn by A. Drummond)
9:39.0,,,59-66,,A. Drummond misses free throw 1 of 2
9:39.0,,,59-66,,Offensive rebound by Team
9:39.0,,,59-66,,A. Drummond misses free throw 2 of 2
9:38.0,Defensive rebound by Team,,59-66,,
9:27.0,A. Jefferson makes 2-pt shot from 16 ft (assist by G. Henderson),2,61-66,,
9:09.0,,,61-68,2,R. Jackson makes 2-pt shot from 9 ft (assist by A. Drummond)
8:52.0,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Henderson),2,63-68,,
8:44.0,Personal foul by C. Zeller (drawn by G. Monroe),,63-68,,
8:27.0,,,63-68,,R. Jackson misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by A. Jefferson,,63-68,,
8:22.0,Shooting foul by G. Monroe (drawn by G. Henderson),,63-68,,
8:22.0,G. Henderson makes free throw 1 of 2,1,64-68,,
8:22.0,G. Henderson makes free throw 2 of 2,1,65-68,,
8:08.0,,,65-68,,Offensive foul by G. Monroe
8:08.0,,,65-68,,Turnover by G. Monroe (offensive foul)
7:49.0,A. Jefferson makes 2-pt shot from 18 ft (assist by G. Henderson),2,67-68,,
7:36.0,,,67-68,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by G. Henderson,,67-68,,
7:28.0,Turnover by G. Henderson (bad pass; steal by G. Monroe),,67-68,,
7:24.0,,,67-68,,Shooting foul by C. Zeller (drawn by K. Caldwell-Pope)
7:24.0,,,67-69,1,K. Caldwell-Pope makes free throw 1 of 2
7:24.0,M. Williams enters the game for C. Zeller,,67-69,,
7:24.0,,,67-70,1,K. Caldwell-Pope makes free throw 2 of 2
7:04.0,A. Jefferson makes 2-pt shot from 5 ft (assist by M. Williams),2,69-70,,
6:50.0,,,69-70,,K. Caldwell-Pope misses 2-pt shot from 5 ft
6:49.0,,,69-70,,Offensive rebound by K. Caldwell-Pope
6:45.0,,,69-72,2,K. Caldwell-Pope makes 2-pt shot at rim
6:25.0,A. Jefferson makes 2-pt shot at rim (assist by G. Henderson),2,71-72,,
6:07.0,,,71-72,,A. Tolliver enters the game for G. Monroe
5:59.0,,,71-72,,K. Caldwell-Pope misses 2-pt shot from 15 ft
5:58.0,Defensive rebound by A. Jefferson,,71-72,,
5:48.0,G. Henderson misses 2-pt shot from 15 ft,,71-72,,
5:47.0,,,71-72,,Defensive rebound by A. Drummond
5:39.0,,,71-74,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:15.0,M. Williams makes 2-pt shot from 20 ft (assist by M. Williams),2,73-74,,
4:59.0,,,73-74,,R. Jackson misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist)
4:57.0,Defensive rebound by M. Kidd-Gilchrist,,73-74,,
4:40.0,M. Williams misses 3-pt shot from 26 ft,,73-74,,
4:38.0,,,73-74,,Defensive rebound by T. Prince
4:23.0,,,73-74,,R. Jackson misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by M. Kidd-Gilchrist,,73-74,,
4:14.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Williams),3,76-74,,
3:57.0,,,76-74,,A. Drummond misses 2-pt shot from 6 ft
3:55.0,Defensive rebound by M. Kidd-Gilchrist,,76-74,,
3:46.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by G. Henderson),2,78-74,,
3:46.0,,,78-74,,Detroit full timeout
3:46.0,B. Biyombo enters the game for A. Jefferson,,78-74,,
3:29.0,,,78-76,2,A. Tolliver makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
3:05.0,Turnover by M. Williams (bad pass; steal by R. Jackson),,78-76,,
3:01.0,,,78-78,2,T. Prince makes 2-pt shot from 1 ft (assist by R. Jackson)
2:30.0,G. Henderson misses 2-pt shot from 18 ft,,78-78,,
2:28.0,,,78-78,,Defensive rebound by T. Prince
2:25.0,Personal foul by B. Biyombo (drawn by A. Drummond),,78-78,,
2:25.0,Charlotte full timeout,,78-78,,
2:25.0,L. Stephenson enters the game for G. Henderson,,78-78,,
2:25.0,,,78-79,1,A. Drummond makes free throw 1 of 2
2:25.0,,,78-80,1,A. Drummond makes free throw 2 of 2
2:11.0,M. Williams misses 3-pt shot from 25 ft,,78-80,,
2:10.0,,,78-80,,Defensive rebound by A. Tolliver
2:04.0,,,78-82,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
1:46.0,M. Williams misses 3-pt shot from 26 ft,,78-82,,
1:45.0,,,78-82,,Defensive rebound by K. Caldwell-Pope
1:40.0,,,78-82,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by Team,,78-82,,
1:18.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,78-82,,
1:17.0,,,78-82,,Defensive rebound by A. Tolliver
1:11.0,,,78-84,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
0:45.0,M. Williams misses 2-pt shot from 5 ft,,78-84,,
0:45.0,,,78-84,,Defensive rebound by Team
0:45.0,J. Maxiell enters the game for B. Biyombo,,78-84,,
0:36.0,,,78-84,,R. Jackson misses 2-pt shot from 1 ft
0:35.0,Defensive rebound by M. Kidd-Gilchrist,,78-84,,
0:28.0,M. Williams misses 3-pt shot from 25 ft,,78-84,,
0:27.0,Offensive rebound by M. Kidd-Gilchrist,,78-84,,
0:22.0,Offensive foul by M. Kidd-Gilchrist,,78-84,,
0:22.0,Turnover by M. Kidd-Gilchrist (offensive foul),,78-84,,
0:22.0,,,78-84,,J. Meeks enters the game for T. Prince
0:03.0,,,78-84,,R. Jackson misses 2-pt shot from 11 ft
0:02.0,Defensive rebound by M. Williams,,78-84,,
0:01.0,M. Williams misses 3-pt shot from 51 ft,,78-84,,
0:00.0,Offensive rebound by Team,,78-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,78-86,2,J. Lucas III makes 2-pt shot from 5 ft (assist by G. Monroe)
11:18.0,L. Stephenson makes 3-pt shot from 25 ft (assist by M. Williams),3,81-86,,
11:02.0,,,81-86,,Shooting foul by M. Williams (drawn by G. Monroe)
11:02.0,,,81-87,1,G. Monroe makes free throw 1 of 2
11:02.0,G. Henderson enters the game for M. Kidd-Gilchrist,,81-87,,
11:02.0,,,81-87,,G. Monroe misses free throw 2 of 2
11:00.0,Defensive rebound by G. Henderson,,81-87,,
10:47.0,L. Stephenson misses 2-pt shot from 1 ft,,81-87,,
10:45.0,,,81-87,,Defensive rebound by G. Monroe
10:40.0,,,81-87,,A. Tolliver misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by B. Roberts,,81-87,,
10:29.0,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Roberts),2,83-87,,
10:15.0,,,83-87,,J. Lucas III misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by L. Stephenson,,83-87,,
9:56.0,M. Williams misses 3-pt shot from 23 ft,,83-87,,
9:55.0,,,83-87,,Defensive rebound by G. Monroe
9:35.0,,,83-87,,J. Meeks misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by M. Williams,,83-87,,
9:24.0,M. Williams makes 3-pt shot from 23 ft (assist by G. Henderson),3,86-87,,
9:09.0,,,86-87,,Detroit full timeout
9:02.0,,,86-87,,C. Butler misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by B. Roberts,,86-87,,
8:45.0,L. Stephenson makes 2-pt shot at rim,2,88-87,,
8:20.0,,,88-87,,J. Meeks misses 2-pt shot from 4 ft
8:19.0,Defensive rebound by Team,,88-87,,
8:05.0,L. Stephenson makes 2-pt shot from 17 ft,2,90-87,,
7:47.0,,,90-87,,J. Meeks misses 2-pt shot from 8 ft
7:46.0,,,90-87,,Offensive rebound by G. Monroe
7:38.0,,,90-89,2,J. Meeks makes 2-pt shot from 18 ft
7:18.0,Turnover by L. Stephenson (bad pass; steal by J. Meeks),,90-89,,
7:18.0,Personal foul by L. Stephenson (drawn by J. Lucas III),,90-89,,
7:18.0,,,90-89,,T. Prince enters the game for A. Tolliver
7:18.0,,,90-89,,K. Caldwell-Pope enters the game for C. Butler
7:18.0,A. Jefferson enters the game for J. Maxiell,,90-89,,
7:09.0,,,90-89,,J. Meeks misses 2-pt shot from 19 ft
7:08.0,Defensive rebound by B. Roberts,,90-89,,
6:49.0,B. Roberts makes 2-pt shot from 17 ft (assist by L. Stephenson),2,92-89,,
6:30.0,,,92-89,,Shooting foul by L. Stephenson (drawn by K. Caldwell-Pope)
6:30.0,,,92-89,,K. Caldwell-Pope misses free throw 1 of 2
6:30.0,,,92-89,,Offensive rebound by Team
6:30.0,M. Kidd-Gilchrist enters the game for B. Roberts,,92-89,,
6:30.0,M. Williams enters the game for M. Williams,,92-89,,
6:30.0,,,92-89,,R. Jackson enters the game for J. Lucas III
6:30.0,,,92-90,1,K. Caldwell-Pope makes free throw 2 of 2
6:14.0,A. Jefferson misses 2-pt shot from 14 ft,,92-90,,
6:12.0,,,92-90,,Defensive rebound by K. Caldwell-Pope
6:04.0,,,92-90,,Turnover by K. Caldwell-Pope (lost ball; steal by A. Jefferson)
5:48.0,A. Jefferson makes 2-pt shot at rim (assist by G. Henderson),2,94-90,,
5:24.0,,,94-90,,K. Caldwell-Pope misses 2-pt shot from 10 ft
5:23.0,Defensive rebound by L. Stephenson,,94-90,,
5:11.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,96-90,,
4:54.0,,,96-90,,Turnover by R. Jackson (lost ball; steal by A. Jefferson)
4:36.0,G. Henderson misses 2-pt shot from 4 ft (block by T. Prince),,96-90,,
4:36.0,Offensive rebound by Team,,96-90,,
4:36.0,Official timeout,,96-90,,
4:32.0,A. Jefferson makes 2-pt shot from 15 ft (assist by L. Stephenson),2,98-90,,
4:10.0,,,98-90,,T. Prince misses 2-pt shot from 4 ft
4:07.0,Defensive rebound by A. Jefferson,,98-90,,
3:49.0,A. Jefferson misses 2-pt shot from 1 ft,,98-90,,
3:48.0,,,98-90,,Defensive rebound by T. Prince
3:40.0,,,98-90,,R. Jackson misses 2-pt shot from 5 ft (block by M. Kidd-Gilchrist)
3:38.0,Defensive rebound by M. Kidd-Gilchrist,,98-90,,
3:18.0,L. Stephenson misses 2-pt shot from 13 ft,,98-90,,
3:17.0,,,98-90,,Defensive rebound by R. Jackson
3:08.0,,,98-90,,R. Jackson misses 2-pt shot from 3 ft (block by A. Jefferson)
3:07.0,,,98-90,,Offensive rebound by R. Jackson
3:06.0,,,98-90,,A. Drummond enters the game for T. Prince
3:06.0,C. Zeller enters the game for L. Stephenson,,98-90,,
2:52.0,,,98-90,,K. Caldwell-Pope misses 2-pt shot from 3 ft
2:51.0,Defensive rebound by A. Jefferson,,98-90,,
2:41.0,Shooting foul by J. Meeks (drawn by M. Williams),,98-90,,
2:41.0,Charlotte full timeout,,98-90,,
2:41.0,M. Williams makes free throw 1 of 2,1,99-90,,
2:41.0,M. Williams makes free throw 2 of 2,1,100-90,,
2:21.0,,,100-90,,A. Drummond misses 2-pt shot from 6 ft
2:21.0,,,100-90,,Offensive rebound by Team
2:21.0,Personal foul by C. Zeller (drawn by G. Monroe),,100-90,,
2:10.0,,,100-92,2,G. Monroe makes 2-pt shot at rim
1:50.0,G. Henderson misses 3-pt shot from 26 ft,,100-92,,
1:49.0,,,100-92,,Defensive rebound by G. Monroe
1:36.0,,,100-92,,Turnover by K. Caldwell-Pope (lost ball)
1:19.0,M. Williams makes 2-pt shot from 17 ft (assist by A. Jefferson),2,102-92,,
1:19.0,,,102-92,,Detroit full timeout
1:15.0,,,102-94,2,K. Caldwell-Pope makes 2-pt shot at rim
1:12.0,Charlotte full timeout,,102-94,,
1:12.0,,,102-94,,T. Prince enters the game for G. Monroe
1:12.0,M. Williams enters the game for M. Kidd-Gilchrist,,102-94,,
