time,Toronto,pts.away,score,pts.home,Atlanta
5:59.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,17-14,,
5:50.0,,,17-14,,Atlanta full timeout
5:50.0,,,17-14,,P. Antic enters the game for A. Horford
5:42.0,,,17-14,,P. Millsap misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by Team,,17-14,,
5:39.0,,,17-14,,Loose ball foul by P. Millsap (drawn by K. Lowry)
5:39.0,,,17-14,,M. Scott enters the game for P. Millsap
5:21.0,,,17-14,,S. Mack enters the game for D. Carroll
5:21.0,Turnover by D. DeRozan (back court),,17-14,,
5:05.0,Personal foul by A. Johnson (drawn by J. Teague),,17-14,,
4:57.0,,,17-14,,M. Scott misses 2-pt shot from 18 ft (block by A. Johnson)
4:55.0,Defensive rebound by K. Lowry,,17-14,,
4:50.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,19-14,,
4:44.0,,,19-14,,M. Scott misses 2-pt shot from 1 ft
4:42.0,Defensive rebound by J. Valanciunas,,19-14,,
4:29.0,Shooting foul by M. Scott (drawn by J. Valanciunas),,19-14,,
4:29.0,J. Valanciunas makes free throw 1 of 2,1,20-14,,
4:29.0,,,20-14,,D. Schroder enters the game for J. Teague
4:29.0,J. Valanciunas misses free throw 2 of 2,,20-14,,
4:29.0,,,20-14,,Defensive rebound by K. Korver
4:15.0,,,20-14,,Turnover by K. Korver (bad pass)
4:00.0,D. DeRozan makes 2-pt shot from 2 ft,2,22-14,,
3:45.0,,,22-16,2,D. Schroder makes 2-pt shot from 15 ft
3:32.0,Turnover by J. Valanciunas (traveling),,22-16,,
3:32.0,L. Williams enters the game for T. Ross,,22-16,,
3:22.0,,,22-16,,K. Korver misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by J. Valanciunas,,22-16,,
3:11.0,A. Johnson misses 3-pt shot from 25 ft,,22-16,,
3:10.0,,,22-16,,Defensive rebound by S. Mack
3:01.0,,,22-18,2,D. Schroder makes 2-pt shot from 6 ft
2:50.0,Toronto full timeout,,22-18,,
2:50.0,,,22-18,,D. Carroll enters the game for K. Korver
2:50.0,P. Patterson enters the game for A. Johnson,,22-18,,
2:43.0,Turnover by D. DeRozan (traveling),,22-18,,
2:35.0,,,22-18,,Turnover by M. Scott (bad pass; steal by L. Williams)
2:31.0,Shooting foul by S. Mack (drawn by L. Williams),,22-18,,
2:31.0,L. Williams makes free throw 1 of 2,1,23-18,,
2:31.0,L. Williams makes free throw 2 of 2,1,24-18,,
2:17.0,,,24-18,,D. Schroder misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by P. Patterson,,24-18,,
1:57.0,J. Valanciunas misses 2-pt shot from 13 ft,,24-18,,
1:55.0,,,24-18,,Defensive rebound by Team
1:47.0,,,24-20,2,S. Mack makes 2-pt shot from 19 ft
1:38.0,K. Lowry makes free throw 1 of 2,1,25-20,,
1:38.0,C. Hayes enters the game for J. Valanciunas,,25-20,,
1:38.0,K. Lowry makes free throw 2 of 2,1,26-20,,
1:38.0,,,26-20,,Personal block foul by D. Schroder (drawn by K. Lowry)
1:24.0,,,26-20,,P. Antic misses 2-pt shot from 2 ft
1:23.0,Defensive rebound by C. Hayes,,26-20,,
1:10.0,K. Lowry misses 2-pt shot from 6 ft,,26-20,,
1:09.0,,,26-20,,Defensive rebound by D. Schroder
1:03.0,,,26-20,,S. Mack misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by P. Patterson,,26-20,,
0:51.0,Shooting foul by D. Schroder (drawn by K. Lowry),,26-20,,
0:51.0,,,26-20,,Technical foul by D. Carroll
0:51.0,D. DeRozan makes technical free throw,1,27-20,,
0:51.0,,,27-20,,Technical foul by S. Mack
0:51.0,D. DeRozan makes technical free throw,1,28-20,,
0:51.0,K. Lowry misses free throw 1 of 2,,28-20,,
0:51.0,Offensive rebound by Team,,28-20,,
0:51.0,J. Johnson enters the game for D. DeRozan,,28-20,,
0:51.0,,,28-20,,A. Horford enters the game for P. Antic
0:51.0,K. Lowry makes free throw 2 of 2,1,29-20,,
0:43.0,,,29-22,2,M. Scott makes 2-pt shot from 13 ft (assist by D. Schroder)
0:32.0,L. Williams makes 3-pt shot from 25 ft (assist by K. Lowry),3,32-22,,
0:13.0,,,32-24,2,D. Schroder makes 2-pt shot from 1 ft
0:01.0,,,32-24,,Personal foul by D. Carroll (drawn by L. Williams)
0:01.0,L. Williams makes free throw 1 of 2,1,33-24,,
0:01.0,L. Williams makes free throw 2 of 2,1,34-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,L. Williams misses 2-pt shot from 20 ft,,34-24,,
11:41.0,Offensive rebound by P. Patterson,,34-24,,
11:38.0,L. Williams misses 3-pt shot from 23 ft,,34-24,,
11:37.0,,,34-24,,Defensive rebound by D. Carroll
11:17.0,,,34-26,2,A. Horford makes 2-pt shot from 5 ft (assist by D. Schroder)
10:56.0,G. Vasquez makes 2-pt shot from 11 ft,2,36-26,,
10:36.0,,,36-26,,S. Mack misses 2-pt shot from 7 ft
10:35.0,Defensive rebound by P. Patterson,,36-26,,
10:24.0,C. Hayes misses 2-pt shot at rim,,36-26,,
10:24.0,Offensive rebound by C. Hayes,,36-26,,
10:23.0,C. Hayes misses 2-pt shot at rim,,36-26,,
10:21.0,,,36-26,,Defensive rebound by M. Scott
10:06.0,,,36-28,2,M. Scott makes 2-pt shot from 15 ft (assist by D. Schroder)
9:48.0,C. Hayes makes 2-pt shot from 1 ft (assist by G. Vasquez),2,38-28,,
9:33.0,,,38-31,3,D. Schroder makes 3-pt shot from 25 ft (assist by D. Carroll)
9:10.0,G. Vasquez misses 3-pt shot from 25 ft,,38-31,,
9:08.0,,,38-31,,Defensive rebound by A. Horford
9:04.0,,,38-31,,Turnover by A. Horford (bad pass; steal by L. Williams)
9:00.0,L. Williams makes 2-pt shot at rim,2,40-31,,
8:42.0,,,40-31,,Turnover by S. Mack (lost ball; steal by J. Johnson)
8:41.0,,,40-31,,Personal foul by S. Mack (drawn by J. Johnson)
8:41.0,Official timeout,,40-31,,
8:41.0,,,40-31,,J. Teague enters the game for D. Carroll
8:41.0,,,40-31,,P. Millsap enters the game for M. Scott
8:41.0,,,40-31,,K. Korver enters the game for S. Mack
8:26.0,Turnover by P. Patterson (bad pass; steal by J. Teague),,40-31,,
8:23.0,,,40-33,2,J. Teague makes 2-pt shot at rim
8:16.0,L. Williams makes 3-pt shot from 23 ft (assist by G. Vasquez),3,43-33,,
7:52.0,,,43-33,,K. Korver misses 3-pt shot from 25 ft (block by J. Johnson)
7:51.0,Defensive rebound by G. Vasquez,,43-33,,
7:45.0,G. Vasquez makes 2-pt shot from 1 ft,2,45-33,,
7:45.0,Shooting foul by D. Schroder (drawn by G. Vasquez),,45-33,,
7:45.0,G. Vasquez makes free throw 1 of 1,1,46-33,,
7:36.0,,,46-35,2,D. Schroder makes 2-pt shot from 8 ft (assist by A. Horford)
7:18.0,G. Vasquez makes 2-pt shot from 17 ft,2,48-35,,
7:07.0,,,48-35,,Shooting foul by L. Williams (drawn by J. Teague)
7:07.0,,,48-36,1,J. Teague makes free throw 1 of 2
7:07.0,,,48-37,1,J. Teague makes free throw 2 of 2
6:51.0,G. Vasquez makes 2-pt shot from 19 ft (assist by J. Johnson),2,50-37,,
6:39.0,Personal foul by J. Johnson (drawn by K. Korver),,50-37,,
6:39.0,,,50-37,,D. Carroll enters the game for D. Schroder
6:29.0,Personal foul by P. Patterson (drawn by P. Millsap),,50-37,,
6:19.0,,,50-40,3,K. Korver makes 3-pt shot from 26 ft (assist by A. Horford)
5:58.0,Turnover by G. Vasquez (bad pass),,50-40,,
5:58.0,,,50-40,,Atlanta full timeout
5:58.0,D. DeRozan enters the game for L. Williams,,50-40,,
5:58.0,T. Ross enters the game for C. Hayes,,50-40,,
5:58.0,J. Valanciunas enters the game for J. Johnson,,50-40,,
5:46.0,,,50-43,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
5:29.0,J. Valanciunas misses 2-pt shot at rim,,50-43,,
5:28.0,,,50-43,,Defensive rebound by P. Millsap
5:17.0,,,50-43,,A. Horford misses 2-pt shot from 11 ft
5:16.0,Defensive rebound by P. Patterson,,50-43,,
4:58.0,Shooting foul by K. Korver (drawn by T. Ross),,50-43,,
4:58.0,T. Ross makes free throw 1 of 2,1,51-43,,
4:58.0,,,51-43,,P. Antic enters the game for A. Horford
4:58.0,K. Lowry enters the game for G. Vasquez,,51-43,,
4:58.0,T. Ross makes free throw 2 of 2,1,52-43,,
4:50.0,,,52-46,3,J. Teague makes 3-pt shot from 25 ft
4:32.0,Turnover by D. DeRozan (traveling),,52-46,,
4:21.0,,,52-49,3,K. Korver makes 3-pt shot from 25 ft (assist by P. Antic)
4:09.0,A. Johnson enters the game for P. Patterson,,52-49,,
3:58.0,D. DeRozan makes 2-pt shot from 11 ft,2,54-49,,
3:45.0,,,54-51,2,J. Teague makes 2-pt shot at rim
3:45.0,,,54-51,,Shooting foul by J. Valanciunas (drawn by J. Teague)
3:45.0,,,54-52,1,J. Teague makes free throw 1 of 1
3:27.0,Turnover by D. DeRozan (bad pass),,54-52,,
3:16.0,Violation by T. Ross (kicked ball),,54-52,,
3:14.0,Personal foul by A. Johnson (drawn by P. Millsap),,54-52,,
3:14.0,,,54-52,,P. Millsap misses free throw 1 of 2
3:14.0,,,54-52,,Offensive rebound by Team
3:14.0,,,54-53,1,P. Millsap makes free throw 2 of 2
2:57.0,K. Lowry misses 3-pt shot from 25 ft,,54-53,,
2:56.0,,,54-53,,Defensive rebound by P. Millsap
2:48.0,,,54-53,,Turnover by J. Teague (lost ball; steal by K. Lowry)
2:41.0,T. Ross makes 2-pt shot from 14 ft,2,56-53,,
2:22.0,,,56-53,,P. Antic misses 3-pt shot from 22 ft
2:21.0,Defensive rebound by T. Ross,,56-53,,
2:14.0,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry),3,59-53,,
2:06.0,Personal foul by K. Lowry (drawn by J. Teague),,59-53,,
2:06.0,Toronto full timeout,,59-53,,
2:06.0,,,59-53,,A. Horford enters the game for P. Antic
2:06.0,,,59-54,1,J. Teague makes free throw 1 of 2
2:06.0,,,59-55,1,J. Teague makes free throw 2 of 2
1:53.0,K. Lowry makes 3-pt shot from 24 ft (assist by A. Johnson),3,62-55,,
1:38.0,,,62-55,,Turnover by J. Teague (bad pass; steal by A. Johnson)
1:32.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,64-55,,
1:17.0,,,64-55,,Shooting foul by K. Lowry (drawn by A. Horford)
1:17.0,,,64-55,,A. Horford misses free throw 1 of 2
1:17.0,,,64-55,,Offensive rebound by Team
1:17.0,G. Vasquez enters the game for K. Lowry,,64-55,,
1:17.0,,,64-55,,P. Antic enters the game for P. Millsap
1:17.0,,,64-56,1,A. Horford makes free throw 2 of 2
1:04.0,G. Vasquez misses 3-pt shot from 24 ft,,64-56,,
1:02.0,,,64-56,,Defensive rebound by A. Horford
0:56.0,,,64-56,,Shooting foul by G. Vasquez (drawn by J. Teague)
0:56.0,,,64-57,1,J. Teague makes free throw 1 of 2
0:56.0,,,64-58,1,J. Teague makes free throw 2 of 2
0:53.0,Toronto full timeout,,64-58,,
0:43.0,D. DeRozan misses 2-pt shot from 14 ft,,64-58,,
0:42.0,,,64-58,,Defensive rebound by J. Teague
0:39.0,,,64-58,,Turnover by J. Teague (dbl dribble)
0:22.0,D. DeRozan misses 2-pt shot from 14 ft (block by A. Horford),,64-58,,
0:20.0,,,64-58,,Defensive rebound by P. Antic
0:14.0,,,64-61,3,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague)
0:00.0,D. DeRozan misses 2-pt shot from 19 ft,,64-61,,
0:00.0,Offensive rebound by Team,,64-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. DeRozan makes 2-pt shot from 16 ft (assist by A. Johnson),2,66-61,,
11:33.0,,,66-61,,D. Carroll misses 2-pt shot from 15 ft
11:33.0,,,66-61,,Offensive rebound by Team
11:33.0,Loose ball foul by T. Ross (drawn by P. Millsap),,66-61,,
11:16.0,,,66-61,,P. Millsap misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by A. Johnson,,66-61,,
11:03.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,68-61,,
10:38.0,,,68-63,2,A. Horford makes 2-pt shot from 14 ft (assist by K. Korver)
10:20.0,T. Ross misses 3-pt shot from 24 ft,,68-63,,
10:19.0,,,68-63,,Defensive rebound by J. Teague
10:09.0,,,68-65,2,A. Horford makes 2-pt shot from 11 ft (assist by J. Teague)
9:50.0,T. Ross misses 3-pt shot from 23 ft,,68-65,,
9:48.0,Offensive rebound by J. Valanciunas,,68-65,,
9:48.0,Shooting foul by A. Horford (drawn by J. Valanciunas),,68-65,,
9:48.0,J. Valanciunas makes free throw 1 of 2,1,69-65,,
9:48.0,J. Valanciunas makes free throw 2 of 2,1,70-65,,
9:41.0,Violation by T. Ross (kicked ball),,70-65,,
9:28.0,,,70-65,,J. Teague misses 2-pt shot from 11 ft
9:25.0,Defensive rebound by J. Valanciunas,,70-65,,
9:13.0,D. DeRozan misses 2-pt shot from 17 ft,,70-65,,
9:11.0,,,70-65,,Defensive rebound by K. Korver
9:07.0,,,70-67,2,A. Horford makes 2-pt shot at rim (assist by K. Korver)
8:46.0,Turnover by A. Johnson (bad pass; steal by P. Millsap),,70-67,,
8:33.0,,,70-67,,J. Teague misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by K. Lowry,,70-67,,
8:27.0,T. Ross misses 2-pt shot from 1 ft,,70-67,,
8:25.0,Offensive rebound by K. Lowry,,70-67,,
8:25.0,K. Lowry misses 2-pt shot from 1 ft,,70-67,,
8:24.0,,,70-67,,Defensive rebound by A. Horford
8:19.0,,,70-69,2,J. Teague makes 2-pt shot at rim
8:10.0,Toronto full timeout,,70-69,,
7:58.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,72-69,,
7:41.0,Personal foul by A. Johnson (drawn by P. Millsap),,72-69,,
7:34.0,,,72-71,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
7:07.0,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry),3,75-71,,
6:53.0,,,75-71,,D. Carroll misses 2-pt shot from 2 ft
6:51.0,,,75-71,,Offensive rebound by D. Carroll
6:51.0,,,75-71,,Shooting foul by J. Valanciunas (drawn by D. Carroll)
6:51.0,,,75-72,1,D. Carroll makes free throw 1 of 2
6:51.0,,,75-73,1,D. Carroll makes free throw 2 of 2
6:29.0,A. Johnson makes 2-pt shot at rim,2,77-73,,
6:20.0,,,77-73,,J. Teague misses 2-pt shot from 4 ft
6:19.0,Defensive rebound by J. Valanciunas,,77-73,,
6:07.0,J. Valanciunas misses 2-pt shot at rim,,77-73,,
6:07.0,,,77-73,,Defensive rebound by Team
5:56.0,,,77-75,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
5:36.0,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan),3,80-75,,
5:19.0,,,80-77,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
4:51.0,D. DeRozan misses 2-pt shot from 15 ft,,80-77,,
4:49.0,,,80-77,,Defensive rebound by K. Korver
4:44.0,Violation by T. Ross (kicked ball),,80-77,,
4:44.0,,,80-77,,S. Mack enters the game for D. Carroll
4:44.0,P. Patterson enters the game for J. Valanciunas,,80-77,,
4:44.0,L. Williams enters the game for T. Ross,,80-77,,
4:27.0,,,80-77,,J. Teague misses 2-pt shot from 1 ft
4:27.0,,,80-77,,Offensive rebound by P. Millsap
4:27.0,,,80-77,,Shooting foul by P. Patterson (drawn by P. Millsap)
4:27.0,,,80-77,,P. Millsap misses free throw 1 of 2
4:27.0,,,80-77,,Offensive rebound by Team
4:27.0,,,80-77,,P. Antic enters the game for A. Horford
4:27.0,,,80-77,,D. Schroder enters the game for J. Teague
4:27.0,,,80-78,1,P. Millsap makes free throw 2 of 2
4:12.0,K. Lowry misses 3-pt shot from 25 ft,,80-78,,
4:12.0,,,80-78,,Defensive rebound by Team
4:12.0,Loose ball foul by A. Johnson (drawn by P. Antic),,80-78,,
4:12.0,Violation by Team (delay of game),,80-78,,
4:12.0,,,80-79,1,P. Antic makes free throw 1 of 2
4:12.0,C. Hayes enters the game for A. Johnson,,80-79,,
4:12.0,,,80-80,1,P. Antic makes free throw 2 of 2
3:56.0,Shooting foul by D. Schroder (drawn by K. Lowry),,80-80,,
3:56.0,K. Lowry makes free throw 1 of 2,1,81-80,,
3:56.0,K. Lowry makes free throw 2 of 2,1,82-80,,
3:41.0,Personal foul by K. Lowry (drawn by D. Schroder),,82-80,,
3:41.0,,,82-81,1,D. Schroder makes free throw 1 of 2
3:41.0,,,82-81,,K. Bazemore enters the game for K. Korver
3:41.0,,,82-82,1,D. Schroder makes free throw 2 of 2
3:20.0,K. Lowry makes 2-pt shot from 4 ft,2,84-82,,
3:02.0,,,84-82,,S. Mack misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by K. Lowry,,84-82,,
2:55.0,Shooting foul by P. Antic (drawn by K. Lowry),,84-82,,
2:55.0,,,84-82,,Atlanta full timeout
2:55.0,G. Vasquez enters the game for D. DeRozan,,84-82,,
2:55.0,K. Lowry misses free throw 1 of 2,,84-82,,
2:55.0,Offensive rebound by Team,,84-82,,
2:55.0,K. Lowry makes free throw 2 of 2,1,85-82,,
2:36.0,,,85-84,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder)
2:21.0,,,85-84,,Personal foul by K. Bazemore (drawn by K. Lowry)
2:12.0,P. Patterson makes 3-pt shot from 24 ft (assist by L. Williams),3,88-84,,
2:02.0,,,88-84,,Turnover by P. Antic (bad pass; steal by P. Patterson)
1:57.0,K. Lowry misses 2-pt shot at rim,,88-84,,
1:55.0,,,88-84,,Defensive rebound by P. Antic
1:40.0,,,88-84,,S. Mack misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by C. Hayes,,88-84,,
1:31.0,K. Lowry misses 3-pt shot from 26 ft,,88-84,,
1:31.0,,,88-84,,Defensive rebound by K. Bazemore
1:31.0,Technical foul by K. Lowry,,88-84,,
1:31.0,,,88-85,1,S. Mack makes technical free throw
1:31.0,J. Johnson enters the game for K. Lowry,,88-85,,
1:15.0,,,88-85,,K. Bazemore misses 2-pt shot at rim (block by P. Patterson)
1:13.0,,,88-85,,Offensive rebound by K. Bazemore
0:58.0,,,88-85,,P. Millsap misses 2-pt shot from 4 ft
0:57.0,Defensive rebound by Team,,88-85,,
0:42.0,J. Johnson misses 3-pt shot from 23 ft,,88-85,,
0:41.0,,,88-85,,Defensive rebound by P. Antic
0:30.0,,,88-88,3,P. Antic makes 3-pt shot from 25 ft (assist by D. Schroder)
0:06.0,L. Williams makes 3-pt shot from 26 ft,3,91-88,,
0:01.0,,,91-88,,S. Mack misses 2-pt shot from 1 ft (block by P. Patterson)
0:00.0,,,91-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,91-88,,P. Millsap misses 2-pt shot from 2 ft (block by J. Johnson)
11:36.0,Defensive rebound by C. Hayes,,91-88,,
11:33.0,G. Vasquez makes 2-pt shot at rim,2,93-88,,
11:33.0,Shooting foul by D. Schroder (drawn by G. Vasquez),,93-88,,
11:33.0,G. Vasquez makes free throw 1 of 1,1,94-88,,
11:15.0,,,94-90,2,D. Carroll makes 2-pt shot from 18 ft (assist by D. Schroder)
11:00.0,L. Williams misses 2-pt shot from 20 ft,,94-90,,
10:58.0,Offensive rebound by C. Hayes,,94-90,,
10:48.0,G. Vasquez makes 3-pt shot from 27 ft,3,97-90,,
10:26.0,,,97-90,,S. Mack misses 3-pt shot from 27 ft
10:25.0,,,97-90,,Offensive rebound by Team
10:23.0,,,97-90,,Turnover by Team (shot clock)
10:22.0,,,97-90,,K. Korver enters the game for P. Millsap
10:22.0,,,97-90,,M. Scott enters the game for S. Mack
10:22.0,,,97-90,,J. Teague enters the game for D. Schroder
10:08.0,G. Vasquez makes 3-pt shot from 25 ft (assist by C. Hayes),3,100-90,,
9:52.0,Personal foul by P. Patterson (drawn by P. Antic),,100-90,,
9:46.0,,,100-90,,M. Scott misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by P. Patterson,,100-90,,
9:33.0,Offensive charge foul by C. Hayes,,100-90,,
9:33.0,Turnover by C. Hayes (offensive foul),,100-90,,
9:28.0,Personal foul by G. Vasquez (drawn by J. Teague),,100-90,,
9:21.0,,,100-90,,Turnover by K. Korver (bad pass)
9:06.0,Shooting foul by D. Carroll (drawn by C. Hayes),,100-90,,
9:06.0,C. Hayes misses free throw 1 of 2,,100-90,,
9:06.0,Offensive rebound by Team,,100-90,,
9:06.0,C. Hayes misses free throw 2 of 2,,100-90,,
8:55.0,,,100-90,,Defensive rebound by Team
8:55.0,,,100-93,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
8:39.0,L. Williams misses 3-pt shot from 26 ft,,100-93,,
8:38.0,Offensive rebound by P. Patterson,,100-93,,
8:35.0,G. Vasquez makes 3-pt shot from 25 ft (assist by L. Williams),3,103-93,,
8:34.0,,,103-93,,Atlanta full timeout
8:34.0,,,103-93,,P. Millsap enters the game for P. Antic
8:34.0,,,103-93,,A. Horford enters the game for M. Scott
8:24.0,,,103-93,,J. Teague misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by G. Vasquez,,103-93,,
8:09.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez),2,105-93,,
8:00.0,Violation by J. Johnson (def goaltending),,105-93,,
8:00.0,,,105-95,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
7:45.0,G. Vasquez misses 2-pt shot from 7 ft,,105-95,,
7:45.0,,,105-95,,Defensive rebound by Team
7:40.0,,,105-95,,Offensive charge foul by J. Teague
7:40.0,,,105-95,,Turnover by J. Teague (offensive foul)
7:18.0,J. Johnson misses 2-pt shot from 3 ft (block by A. Horford),,105-95,,
7:16.0,,,105-95,,Defensive rebound by J. Teague
7:16.0,Personal foul by P. Patterson (drawn by J. Teague),,105-95,,
7:05.0,,,105-97,2,D. Carroll makes 2-pt shot at rim (assist by J. Teague)
6:46.0,G. Vasquez misses 3-pt shot from 24 ft,,105-97,,
6:45.0,,,105-97,,Defensive rebound by A. Horford
6:36.0,,,105-99,2,A. Horford makes 2-pt shot from 18 ft (assist by K. Korver)
6:27.0,Toronto full timeout,,105-99,,
6:27.0,D. DeRozan enters the game for P. Patterson,,105-99,,
6:27.0,K. Lowry enters the game for C. Hayes,,105-99,,
6:27.0,A. Johnson enters the game for G. Vasquez,,105-99,,
6:17.0,Shooting foul by K. Korver (drawn by D. DeRozan),,105-99,,
6:17.0,D. DeRozan makes free throw 1 of 2,1,106-99,,
6:17.0,D. DeRozan makes free throw 2 of 2,1,107-99,,
6:05.0,,,107-99,,J. Teague misses 2-pt shot from 6 ft (block by J. Johnson)
6:05.0,,,107-99,,Offensive rebound by Team
6:00.0,,,107-101,2,A. Horford makes 2-pt shot from 17 ft (assist by P. Millsap)
5:48.0,L. Williams makes 2-pt shot from 5 ft,2,109-101,,
5:32.0,,,109-101,,A. Horford misses 2-pt shot from 5 ft
5:29.0,,,109-101,,Offensive rebound by D. Carroll
5:29.0,,,109-101,,D. Carroll misses 2-pt shot at rim
5:28.0,,,109-101,,Offensive rebound by K. Korver
5:24.0,,,109-101,,D. Carroll misses 3-pt shot from 22 ft
5:23.0,,,109-101,,Offensive rebound by A. Horford
5:19.0,Personal block foul by D. DeRozan (drawn by J. Teague),,109-101,,
5:07.0,,,109-103,2,A. Horford makes 2-pt shot from 4 ft
4:45.0,D. DeRozan misses 2-pt shot from 19 ft (block by K. Korver),,109-103,,
4:45.0,,,109-103,,Defensive rebound by Team
4:45.0,Loose ball foul by D. DeRozan (drawn by K. Korver),,109-103,,
4:45.0,,,109-104,1,K. Korver makes free throw 1 of 2
4:45.0,,,109-105,1,K. Korver makes free throw 2 of 2
4:31.0,L. Williams misses 2-pt shot from 20 ft (block by D. Carroll),,109-105,,
4:31.0,Offensive rebound by Team,,109-105,,
4:31.0,,,109-105,,Loose ball foul by D. Carroll (drawn by J. Johnson)
4:19.0,L. Williams makes 3-pt shot from 23 ft (assist by K. Lowry),3,112-105,,
4:00.0,,,112-105,,Turnover by K. Korver (bad pass; steal by L. Williams)
3:57.0,L. Williams makes flagrant free throw 1 of 2,1,113-105,,
3:57.0,L. Williams makes flagrant free throw 2 of 2,1,114-105,,
3:45.0,K. Lowry misses 2-pt shot from 1 ft,,114-105,,
3:44.0,Offensive rebound by A. Johnson,,114-105,,
3:44.0,A. Johnson misses 2-pt shot from 1 ft,,114-105,,
3:41.0,Offensive rebound by A. Johnson,,114-105,,
