time,LA Clippers,pts.away,score,pts.home,Toronto
7:30.0,,,45-35,,Shooting foul by S. Hawes (drawn by A. Johnson)
7:30.0,,,45-36,1,A. Johnson makes free throw 1 of 2
7:30.0,,,45-36,,J. Johnson enters the game for P. Patterson
7:30.0,D. Jordan enters the game for S. Hawes,,45-36,,
7:30.0,,,45-36,,A. Johnson misses free throw 2 of 2
7:29.0,Defensive rebound by B. Griffin,,45-36,,
7:12.0,J. Crawford makes 2-pt shot from 4 ft (assist by B. Griffin),2,47-36,,
6:56.0,Def 3 sec tech foul by D. Jordan,,47-36,,
6:56.0,,,47-36,,L. Williams misses technical free throw
6:56.0,,,47-36,,Offensive rebound by Team
6:56.0,M. Barnes enters the game for A. Rivers,,47-36,,
6:56.0,,,47-36,,K. Lowry enters the game for G. Vasquez
6:56.0,,,47-36,,D. DeRozan enters the game for T. Ross
6:51.0,,,47-36,,L. Williams misses 2-pt shot from 8 ft
6:50.0,,,47-36,,Offensive rebound by A. Johnson
6:48.0,,,47-38,2,A. Johnson makes 2-pt shot from 1 ft
6:35.0,J. Crawford misses 2-pt shot from 11 ft,,47-38,,
6:34.0,,,47-38,,Defensive rebound by A. Johnson
6:26.0,,,47-40,2,J. Johnson makes 2-pt shot from 1 ft (assist by D. DeRozan)
6:06.0,C. Paul misses 2-pt shot from 13 ft,,47-40,,
6:05.0,,,47-40,,Defensive rebound by J. Johnson
6:03.0,Personal foul by C. Paul (drawn by K. Lowry),,47-40,,
6:03.0,,,47-41,1,K. Lowry makes free throw 1 of 2
6:03.0,,,47-41,,J. Valanciunas enters the game for A. Johnson
6:03.0,,,47-42,1,K. Lowry makes free throw 2 of 2
5:51.0,C. Paul makes 2-pt shot from 15 ft (assist by B. Griffin),2,49-42,,
5:31.0,,,49-44,2,D. DeRozan makes 2-pt shot from 4 ft
5:08.0,,,49-44,,Toronto full timeout
5:03.0,D. Jordan misses 2-pt shot from 4 ft,,49-44,,
5:02.0,,,49-44,,Defensive rebound by J. Valanciunas
4:54.0,,,49-44,,D. DeRozan misses 2-pt shot from 14 ft
4:53.0,Defensive rebound by D. Jordan,,49-44,,
4:41.0,Turnover by C. Paul (bad pass; steal by J. Johnson),,49-44,,
4:36.0,,,49-46,2,J. Johnson makes 2-pt shot at rim (assist by L. Williams)
4:32.0,Shooting foul by K. Lowry (drawn by B. Griffin),,49-46,,
4:32.0,B. Griffin makes free throw 1 of 2,1,50-46,,
4:32.0,B. Griffin makes free throw 2 of 2,1,51-46,,
4:16.0,,,51-48,2,J. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
4:02.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,53-48,,
3:39.0,,,53-50,2,J. Johnson makes 2-pt shot from 2 ft (assist by L. Williams)
3:18.0,Shooting foul by J. Valanciunas (drawn by M. Barnes),,53-50,,
3:18.0,M. Barnes misses free throw 1 of 2,,53-50,,
3:18.0,Offensive rebound by Team,,53-50,,
3:18.0,A. Rivers enters the game for J. Crawford,,53-50,,
3:18.0,M. Barnes misses free throw 2 of 2,,53-50,,
3:18.0,,,53-50,,Defensive rebound by D. DeRozan
2:54.0,,,53-50,,Turnover by Team (shot clock)
2:54.0,LA Clippers full timeout,,53-50,,
2:54.0,,,53-50,,T. Ross enters the game for L. Williams
2:31.0,M. Barnes misses 3-pt shot from 23 ft,,53-50,,
2:30.0,Offensive rebound by B. Griffin,,53-50,,
2:28.0,B. Griffin misses 2-pt shot from 2 ft,,53-50,,
2:27.0,,,53-50,,Defensive rebound by J. Valanciunas
2:19.0,,,53-50,,D. DeRozan misses 2-pt shot from 14 ft
2:18.0,,,53-50,,Offensive rebound by D. DeRozan
2:18.0,Personal foul by D. Jordan (drawn by D. DeRozan),,53-50,,
2:18.0,,,53-50,,D. DeRozan misses free throw 1 of 2
2:18.0,,,53-50,,Offensive rebound by Team
2:18.0,J. Crawford enters the game for M. Barnes,,53-50,,
2:18.0,,,53-51,1,D. DeRozan makes free throw 2 of 2
1:57.0,C. Paul makes 3-pt shot from 25 ft,3,56-51,,
1:42.0,,,56-51,,T. Ross misses 3-pt shot from 26 ft
1:41.0,,,56-51,,Offensive rebound by J. Valanciunas
1:38.0,,,56-51,,Turnover by J. Valanciunas (lost ball; steal by C. Paul)
1:33.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,58-51,,
1:12.0,,,58-53,2,D. DeRozan makes 2-pt shot from 1 ft
0:51.0,Shooting foul by T. Ross (drawn by J. Crawford),,58-53,,
0:51.0,J. Crawford misses free throw 1 of 2,,58-53,,
0:51.0,Offensive rebound by Team,,58-53,,
0:51.0,,,58-53,,A. Johnson enters the game for J. Valanciunas
0:51.0,,,58-53,,L. Williams enters the game for T. Ross
0:51.0,J. Crawford makes free throw 2 of 2,1,59-53,,
0:40.0,,,59-55,2,J. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
0:32.0,Turnover by J. Crawford (bad pass; steal by D. DeRozan),,59-55,,
0:26.0,,,59-55,,Shooting foul by A. Rivers (drawn by J. Johnson)
0:26.0,,,59-56,1,J. Johnson makes free throw 1 of 2
0:26.0,M. Barnes enters the game for D. Jordan,,59-56,,
0:26.0,,,59-57,1,J. Johnson makes free throw 2 of 2
0:05.0,J. Crawford misses 3-pt shot from 26 ft,,59-57,,
0:03.0,Offensive rebound by M. Barnes,,59-57,,
0:03.0,M. Barnes misses 2-pt shot from 4 ft,,59-57,,
0:02.0,,,59-57,,Defensive rebound by D. DeRozan
0:00.0,,,59-57,,D. DeRozan misses 3-pt shot from 49 ft
0:00.0,,,59-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,59-59,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by T. Ross)
11:13.0,B. Griffin misses 2-pt shot from 19 ft,,59-59,,
11:12.0,,,59-59,,Defensive rebound by T. Ross
10:59.0,,,59-61,2,D. DeRozan makes 2-pt shot from 7 ft
10:42.0,C. Paul makes 2-pt shot from 8 ft,2,61-61,,
10:28.0,,,61-61,,D. DeRozan misses 2-pt shot from 10 ft
10:27.0,Defensive rebound by M. Barnes,,61-61,,
10:07.0,Turnover by D. Jordan (lost ball; steal by D. DeRozan),,61-61,,
10:03.0,,,61-61,,Shooting foul by B. Griffin (drawn by K. Lowry)
10:03.0,,,61-62,1,K. Lowry makes free throw 1 of 2
10:03.0,,,61-63,1,K. Lowry makes free throw 2 of 2
9:52.0,,,61-63,,Personal foul by T. Ross (drawn by C. Paul)
9:43.0,A. Rivers makes 2-pt shot from 7 ft (assist by C. Paul),2,63-63,,
9:16.0,,,63-65,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan)
8:53.0,C. Paul misses 3-pt shot from 26 ft,,63-65,,
8:52.0,,,63-65,,Defensive rebound by D. DeRozan
8:33.0,,,63-68,3,K. Lowry makes 3-pt shot from 27 ft
8:16.0,A. Rivers misses 3-pt shot from 25 ft,,63-68,,
8:15.0,,,63-68,,Defensive rebound by J. Valanciunas
8:03.0,,,63-68,,T. Ross misses 2-pt shot from 6 ft
8:03.0,Defensive rebound by B. Griffin,,63-68,,
7:56.0,M. Barnes misses 3-pt shot from 24 ft,,63-68,,
7:55.0,,,63-68,,Defensive rebound by D. DeRozan
7:52.0,Personal foul by M. Barnes (drawn by D. DeRozan),,63-68,,
7:52.0,,,63-68,,L. Williams enters the game for T. Ross
7:47.0,,,63-68,,Shooting foul by M. Barnes (drawn by D. DeRozan)
7:47.0,Technical foul by B. Griffin,,63-68,,
7:47.0,,,63-69,1,D. DeRozan makes technical free throw
7:47.0,,,63-70,1,D. DeRozan makes free throw 1 of 2
7:47.0,,,63-71,1,D. DeRozan makes free throw 2 of 2
7:36.0,Turnover by A. Rivers (bad pass; steal by A. Johnson),,63-71,,
7:23.0,,,63-71,,L. Williams misses 3-pt shot from 22 ft
7:22.0,,,63-71,,Offensive rebound by J. Valanciunas
7:20.0,,,63-71,,J. Valanciunas misses 2-pt shot from 3 ft (block by D. Jordan)
7:18.0,Defensive rebound by C. Paul,,63-71,,
7:13.0,A. Rivers makes 2-pt shot from 3 ft (assist by B. Griffin),2,65-71,,
6:57.0,,,65-73,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan)
6:39.0,C. Paul misses 2-pt shot from 4 ft (block by J. Valanciunas),,65-73,,
6:38.0,,,65-73,,Defensive rebound by D. DeRozan
6:33.0,,,65-76,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
6:32.0,LA Clippers full timeout,,65-76,,
6:32.0,J. Crawford enters the game for M. Barnes,,65-76,,
6:18.0,,,65-76,,Personal foul by K. Lowry (drawn by B. Griffin)
6:14.0,,,65-76,,Personal block foul by A. Johnson (drawn by C. Paul)
6:00.0,B. Griffin misses 2-pt shot from 20 ft,,65-76,,
5:59.0,,,65-76,,Defensive rebound by Team
5:47.0,,,65-76,,Shooting foul by A. Rivers (drawn by L. Williams)
5:47.0,,,65-77,1,L. Williams makes free throw 1 of 3
5:47.0,,,65-78,1,L. Williams makes free throw 2 of 3
5:47.0,,,65-79,1,L. Williams makes free throw 3 of 3
5:30.0,C. Paul makes 2-pt shot from 15 ft,2,67-79,,
5:13.0,,,67-79,,D. DeRozan misses 2-pt shot from 14 ft
5:12.0,,,67-79,,Offensive rebound by Team
5:05.0,,,67-79,,Turnover by L. Williams (lost ball; steal by B. Griffin)
5:01.0,B. Griffin makes 2-pt shot at rim (assist by A. Rivers),2,69-79,,
4:43.0,,,69-82,3,L. Williams makes 3-pt shot from 23 ft (assist by D. DeRozan)
4:25.0,C. Paul misses 2-pt shot from 17 ft,,69-82,,
4:24.0,,,69-82,,Defensive rebound by L. Williams
4:11.0,,,69-82,,A. Johnson misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by C. Paul,,69-82,,
4:01.0,Shooting foul by A. Johnson (drawn by J. Crawford),,69-82,,
4:01.0,J. Crawford makes free throw 1 of 2,1,70-82,,
4:01.0,S. Hawes enters the game for D. Jordan,,70-82,,
4:01.0,,,70-82,,P. Patterson enters the game for J. Valanciunas
4:01.0,J. Crawford makes free throw 2 of 2,1,71-82,,
3:48.0,,,71-82,,Shooting foul by S. Hawes (drawn by D. DeRozan)
3:48.0,,,71-83,1,D. DeRozan makes free throw 1 of 2
3:48.0,,,71-84,1,D. DeRozan makes free throw 2 of 2
3:36.0,J. Crawford misses 3-pt shot from 27 ft,,71-84,,
3:35.0,Offensive rebound by B. Griffin,,71-84,,
3:32.0,B. Griffin makes 2-pt shot from 1 ft,2,73-84,,
3:15.0,,,73-87,3,K. Lowry makes 3-pt shot from 24 ft
2:54.0,A. Rivers misses 3-pt shot from 25 ft,,73-87,,
2:53.0,,,73-87,,Defensive rebound by L. Williams
2:37.0,,,73-87,,Turnover by A. Johnson (lost ball; steal by J. Crawford)
2:36.0,,,73-87,,Personal foul by P. Patterson (drawn by J. Crawford)
2:36.0,,,73-87,,Toronto full timeout
2:36.0,J. Crawford makes free throw 1 of 2,1,74-87,,
2:36.0,J. Crawford makes free throw 2 of 2,1,75-87,,
2:20.0,,,75-87,,P. Patterson misses 2-pt shot from 6 ft
2:19.0,Defensive rebound by B. Griffin,,75-87,,
2:08.0,S. Hawes misses 3-pt shot from 26 ft,,75-87,,
2:07.0,,,75-87,,Defensive rebound by Team
1:48.0,,,75-89,2,A. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
1:26.0,J. Crawford misses 3-pt shot from 25 ft,,75-89,,
1:25.0,,,75-89,,Defensive rebound by K. Lowry
1:17.0,,,75-89,,L. Williams misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by S. Hawes,,75-89,,
1:13.0,,,75-89,,Personal foul by D. DeRozan (drawn by C. Paul)
1:13.0,C. Paul makes free throw 1 of 2,1,76-89,,
1:13.0,,,76-89,,G. Vasquez enters the game for K. Lowry
1:13.0,,,76-89,,J. Johnson enters the game for A. Johnson
1:13.0,D. Jordan enters the game for B. Griffin,,76-89,,
1:13.0,M. Barnes enters the game for A. Rivers,,76-89,,
1:13.0,C. Paul makes free throw 2 of 2,1,77-89,,
1:00.0,,,77-91,2,J. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez)
0:52.0,,,77-91,,Personal block foul by G. Vasquez (drawn by C. Paul)
0:52.0,C. Paul makes free throw 1 of 2,1,78-91,,
0:52.0,C. Paul makes free throw 2 of 2,1,79-91,,
0:36.0,,,79-91,,Shooting foul by S. Hawes (drawn by D. DeRozan)
0:36.0,,,79-92,1,D. DeRozan makes free throw 1 of 2
0:36.0,D. Jones enters the game for S. Hawes,,79-92,,
0:36.0,,,79-93,1,D. DeRozan makes free throw 2 of 2
0:30.0,J. Crawford misses 2-pt shot from 17 ft,,79-93,,
0:29.0,,,79-93,,Defensive rebound by J. Johnson
0:07.0,,,79-93,,Shooting foul by D. Jordan (drawn by D. DeRozan)
0:07.0,,,79-94,1,D. DeRozan makes free throw 1 of 2
0:07.0,B. Griffin enters the game for D. Jones,,79-94,,
0:07.0,A. Rivers enters the game for D. Jordan,,79-94,,
0:07.0,,,79-95,1,D. DeRozan makes free throw 2 of 2
0:00.0,M. Barnes misses 3-pt shot from 27 ft,,79-95,,
0:00.0,Offensive rebound by Team,,79-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,A. Rivers makes 2-pt shot from 1 ft,2,81-95,,
11:31.0,,,81-98,3,G. Vasquez makes 3-pt shot from 25 ft (assist by J. Johnson)
11:10.0,C. Paul makes 2-pt shot from 19 ft,2,83-98,,
10:49.0,,,83-98,,G. Vasquez misses 3-pt shot from 27 ft
10:48.0,Defensive rebound by C. Paul,,83-98,,
10:35.0,C. Paul makes 2-pt shot from 18 ft,2,85-98,,
10:13.0,,,85-100,2,G. Vasquez makes 2-pt shot from 2 ft (assist by K. Lowry)
10:13.0,,,85-100,,Shooting foul by A. Rivers (drawn by G. Vasquez)
10:13.0,,,85-100,,T. Ross enters the game for L. Williams
10:13.0,,,85-101,1,G. Vasquez makes free throw 1 of 1
10:06.0,A. Rivers makes 2-pt shot from 4 ft,2,87-101,,
10:06.0,Shooting foul by G. Vasquez (drawn by A. Rivers),,87-101,,
10:06.0,A. Rivers misses free throw 1 of 1,,87-101,,
10:05.0,,,87-101,,Defensive rebound by J. Johnson
9:45.0,,,87-103,2,J. Johnson makes 2-pt shot from 3 ft
9:31.0,C. Paul misses 2-pt shot from 21 ft,,87-103,,
9:30.0,,,87-103,,Defensive rebound by G. Vasquez
9:23.0,,,87-103,,K. Lowry misses 3-pt shot from 28 ft
9:22.0,,,87-103,,Offensive rebound by J. Johnson
9:13.0,Shooting block foul by M. Barnes (drawn by K. Lowry),,87-103,,
9:13.0,,,87-104,1,K. Lowry makes free throw 1 of 2
9:13.0,B. Griffin enters the game for M. Barnes,,87-104,,
9:13.0,,,87-105,1,K. Lowry makes free throw 2 of 2
8:59.0,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul),2,89-105,,
8:59.0,Shooting foul by P. Patterson (drawn by B. Griffin),,89-105,,
8:59.0,Official timeout,,89-105,,
8:59.0,B. Griffin makes free throw 1 of 1,1,90-105,,
8:38.0,,,90-108,3,G. Vasquez makes 3-pt shot from 26 ft (assist by J. Johnson)
8:10.0,C. Paul makes 3-pt shot from 25 ft,3,93-108,,
7:50.0,Violation by D. Jordan (def goaltending),,93-108,,
7:50.0,,,93-110,2,P. Patterson makes 2-pt shot from 3 ft (assist by J. Johnson)
7:31.0,Turnover by C. Paul (lost ball; steal by J. Johnson),,93-110,,
7:28.0,,,93-110,,Shooting foul by C. Paul (drawn by T. Ross)
7:28.0,,,93-110,,T. Ross misses free throw 1 of 2
7:28.0,,,93-110,,Offensive rebound by Team
7:28.0,,,93-111,1,T. Ross makes free throw 2 of 2
7:09.0,A. Rivers makes 2-pt shot from 1 ft (assist by B. Griffin),2,95-111,,
6:53.0,,,95-114,3,P. Patterson makes 3-pt shot from 23 ft (assist by G. Vasquez)
6:35.0,Turnover by B. Griffin (lost ball; steal by K. Lowry),,95-114,,
6:34.0,,,95-114,,Toronto full timeout
6:34.0,M. Barnes enters the game for A. Rivers,,95-114,,
6:25.0,,,95-116,2,K. Lowry makes 2-pt shot from 2 ft (assist by G. Vasquez)
6:10.0,J. Crawford misses 2-pt shot from 20 ft,,95-116,,
6:09.0,,,95-116,,Defensive rebound by J. Johnson
5:52.0,,,95-119,3,G. Vasquez makes 3-pt shot from 26 ft
5:27.0,B. Griffin misses 2-pt shot from 20 ft,,95-119,,
5:26.0,,,95-119,,Defensive rebound by T. Ross
5:12.0,,,95-119,,K. Lowry misses 3-pt shot from 27 ft (block by J. Crawford)
5:10.0,Defensive rebound by C. Paul,,95-119,,
4:56.0,J. Crawford makes 3-pt shot from 24 ft (assist by B. Griffin),3,98-119,,
4:36.0,,,98-119,,P. Patterson misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by M. Barnes,,98-119,,
4:31.0,Shooting foul by G. Vasquez (drawn by J. Crawford),,98-119,,
4:31.0,Violation by Team (delay of game),,98-119,,
4:31.0,J. Crawford makes free throw 1 of 3,1,99-119,,
4:31.0,J. Crawford makes free throw 2 of 3,1,100-119,,
4:31.0,A. Rivers enters the game for M. Barnes,,100-119,,
4:31.0,D. Jones enters the game for B. Griffin,,100-119,,
4:31.0,G. Davis enters the game for D. Jordan,,100-119,,
4:31.0,S. Hawes enters the game for C. Paul,,100-119,,
4:31.0,,,100-119,,D. DeRozan enters the game for T. Ross
4:31.0,J. Crawford makes free throw 3 of 3,1,101-119,,
4:18.0,,,101-121,2,D. DeRozan makes 2-pt shot from 3 ft
3:57.0,G. Davis misses 2-pt shot from 19 ft,,101-121,,
3:55.0,,,101-121,,Defensive rebound by P. Patterson
