time,Houston,pts.away,score,pts.home,LA Lakers
2:27.0,,,24-16,1,R. Price makes free throw 2 of 2
2:06.0,P. Beverley misses 3-pt shot from 23 ft,,24-16,,
2:05.0,Offensive rebound by K. Papanikolaou,,24-16,,
2:01.0,Turnover by K. Papanikolaou (bad pass; steal by E. Davis),,24-16,,
1:56.0,Personal foul by K. Papanikolaou (drawn by R. Price),,24-16,,
1:56.0,,,24-17,1,R. Price makes free throw 1 of 2
1:56.0,,,24-18,1,R. Price makes free throw 2 of 2
1:38.0,K. Papanikolaou misses 3-pt shot from 23 ft,,24-18,,
1:37.0,,,24-18,,Defensive rebound by J. Clarkson
1:35.0,Shooting block foul by P. Beverley (drawn by J. Clarkson),,24-18,,
1:35.0,,,24-19,1,J. Clarkson makes free throw 1 of 2
1:35.0,,,24-19,,J. Clarkson misses free throw 2 of 2
1:33.0,,,24-19,,Offensive rebound by E. Davis
1:14.0,,,24-19,,Personal foul by R. Price (drawn by P. Beverley)
1:14.0,P. Beverley misses free throw 1 of 2,,24-19,,
1:14.0,Offensive rebound by Team,,24-19,,
1:14.0,P. Beverley makes free throw 2 of 2,1,25-19,,
1:00.0,,,25-19,,J. Randle misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by D. Motiejunas,,25-19,,
0:53.0,J. Terry makes 3-pt shot from 22 ft (assist by K. Papanikolaou),3,28-19,,
0:30.0,,,28-19,,J. Clarkson misses 2-pt shot from 17 ft
0:28.0,Defensive rebound by D. Howard,,28-19,,
0:07.0,P. Beverley misses 2-pt shot from 3 ft (block by E. Davis),,28-19,,
0:07.0,Offensive rebound by Team,,28-19,,
0:04.0,J. Terry makes 3-pt shot from 25 ft (assist by K. Papanikolaou),3,31-19,,
0:00.0,,,31-19,,R. Price misses 2-pt shot from 1 ft (block by D. Howard)
0:00.0,,,31-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by E. Davis (drawn by D. Howard),,31-19,,
11:43.0,D. Howard makes free throw 1 of 2,1,32-19,,
11:43.0,D. Howard misses free throw 2 of 2,,32-19,,
11:42.0,,,32-19,,Defensive rebound by J. Clarkson
11:16.0,,,32-19,,R. Price misses 3-pt shot from 29 ft
11:15.0,,,32-19,,Offensive rebound by X. Henry
11:12.0,,,32-19,,X. Henry misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by Team,,32-19,,
10:49.0,Shooting foul by E. Davis (drawn by D. Howard),,32-19,,
10:49.0,D. Howard makes free throw 1 of 2,1,33-19,,
10:49.0,D. Howard makes free throw 2 of 2,1,34-19,,
10:30.0,,,34-21,2,J. Randle makes 2-pt shot from 9 ft
10:09.0,K. Papanikolaou misses 3-pt shot from 23 ft,,34-21,,
10:08.0,Offensive rebound by D. Howard,,34-21,,
10:06.0,D. Howard makes 2-pt shot at rim,2,36-21,,
9:50.0,,,36-23,2,E. Davis makes 2-pt shot from 1 ft
9:35.0,Turnover by D. Howard (lost ball; steal by R. Price),,36-23,,
9:28.0,,,36-25,2,E. Davis makes 2-pt shot from 1 ft (assist by R. Price)
9:13.0,Shooting foul by J. Randle (drawn by D. Howard),,36-25,,
9:13.0,D. Howard misses free throw 1 of 2,,36-25,,
9:13.0,Offensive rebound by Team,,36-25,,
9:13.0,,,36-25,,W. Johnson enters the game for X. Henry
9:13.0,T. Jones enters the game for D. Motiejunas,,36-25,,
9:13.0,J. Harden enters the game for J. Terry,,36-25,,
9:13.0,D. Howard makes free throw 2 of 2,1,37-25,,
9:02.0,Violation by P. Beverley (kicked ball),,37-25,,
9:02.0,T. Ariza enters the game for K. Papanikolaou,,37-25,,
9:02.0,,,37-25,,K. Bryant enters the game for J. Clarkson
8:53.0,,,37-25,,R. Price misses 2-pt shot from 5 ft
8:53.0,,,37-25,,Offensive rebound by Team
8:53.0,Loose ball foul by J. Harden (drawn by E. Davis),,37-25,,
8:53.0,Official timeout,,37-25,,
8:41.0,,,37-25,,K. Bryant misses 2-pt shot from 7 ft
8:40.0,Defensive rebound by D. Howard,,37-25,,
8:31.0,J. Harden misses 3-pt shot from 25 ft,,37-25,,
8:30.0,Offensive rebound by D. Howard,,37-25,,
8:29.0,,,37-25,,J. Hill enters the game for E. Davis
8:29.0,,,37-25,,C. Boozer enters the game for J. Randle
8:29.0,,,37-25,,J. Lin enters the game for R. Price
8:20.0,D. Howard misses 2-pt shot from 6 ft,,37-25,,
8:17.0,,,37-25,,Defensive rebound by K. Bryant
8:10.0,,,37-27,2,K. Bryant makes 2-pt shot from 11 ft
7:58.0,T. Ariza misses 3-pt shot from 23 ft,,37-27,,
7:57.0,,,37-27,,Defensive rebound by Team
7:36.0,,,37-27,,K. Bryant misses 2-pt shot from 19 ft
7:35.0,Defensive rebound by P. Beverley,,37-27,,
7:27.0,T. Ariza misses 2-pt shot from 8 ft,,37-27,,
7:24.0,,,37-27,,Defensive rebound by J. Hill
7:21.0,,,37-27,,Turnover by J. Lin (lost ball; steal by T. Jones)
7:16.0,D. Howard makes 2-pt shot from 1 ft (assist by P. Beverley),2,39-27,,
7:07.0,Personal foul by T. Ariza (drawn by K. Bryant),,39-27,,
7:07.0,T. Black enters the game for D. Howard,,39-27,,
6:55.0,,,39-29,2,C. Boozer makes 2-pt shot from 2 ft
6:30.0,T. Jones misses 2-pt shot from 20 ft,,39-29,,
6:28.0,,,39-29,,Defensive rebound by J. Hill
6:13.0,,,39-31,2,J. Hill makes 2-pt shot from 5 ft (assist by C. Boozer)
6:02.0,,,39-31,,Def 3 sec tech foul by J. Hill
6:02.0,J. Harden makes technical free throw,1,40-31,,
5:49.0,J. Harden makes 3-pt shot from 24 ft,3,43-31,,
5:30.0,,,43-31,,W. Johnson misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by T. Jones,,43-31,,
5:26.0,,,43-31,,LA Lakers full timeout
5:17.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,46-31,,
5:03.0,,,46-31,,Offensive foul by K. Bryant
5:03.0,,,46-31,,Turnover by K. Bryant (offensive foul)
4:42.0,J. Harden makes 3-pt shot from 24 ft,3,49-31,,
4:18.0,,,49-31,,Turnover by J. Hill (lost ball; steal by J. Harden)
4:10.0,J. Harden misses 2-pt shot from 20 ft,,49-31,,
4:08.0,,,49-31,,Defensive rebound by C. Boozer
4:01.0,,,49-33,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin)
4:01.0,,,49-33,,Shooting foul by T. Black (drawn by C. Boozer)
4:01.0,D. Howard enters the game for T. Black,,49-33,,
4:01.0,,,49-34,1,C. Boozer makes free throw 1 of 1
3:44.0,P. Beverley misses 2-pt shot from 12 ft,,49-34,,
3:43.0,,,49-34,,Defensive rebound by J. Hill
3:37.0,Violation by D. Howard (def goaltending),,49-34,,
3:37.0,,,49-36,2,K. Bryant makes 2-pt shot from 1 ft
3:15.0,D. Howard misses 2-pt shot from 8 ft,,49-36,,
3:10.0,,,49-36,,Defensive rebound by K. Bryant
3:07.0,,,49-38,2,W. Johnson makes 2-pt shot from 2 ft (assist by K. Bryant)
3:03.0,Houston full timeout,,49-38,,
3:03.0,J. Terry enters the game for P. Beverley,,49-38,,
2:48.0,J. Harden makes 2-pt shot from 2 ft (assist by J. Terry),2,51-38,,
2:34.0,,,51-38,,Shooting foul by T. Ariza (drawn by K. Bryant)
2:34.0,,,51-39,1,K. Bryant makes free throw 1 of 2
2:34.0,,,51-40,1,K. Bryant makes free throw 2 of 2
2:11.0,J. Harden misses 2-pt shot from 17 ft,,51-40,,
2:07.0,Offensive rebound by T. Jones,,51-40,,
2:07.0,T. Jones misses 2-pt shot from 1 ft,,51-40,,
2:06.0,Offensive rebound by T. Jones,,51-40,,
2:06.0,T. Jones makes 2-pt shot from 1 ft,2,53-40,,
1:51.0,,,53-40,,W. Johnson misses 2-pt shot from 17 ft
1:50.0,,,53-40,,Offensive rebound by J. Hill
1:46.0,,,53-40,,J. Hill misses 2-pt shot from 5 ft
1:43.0,Defensive rebound by D. Howard,,53-40,,
1:42.0,Shooting foul by W. Johnson (drawn by J. Harden),,53-40,,
1:42.0,J. Harden makes free throw 1 of 2,1,54-40,,
1:42.0,,,54-40,,J. Clarkson enters the game for W. Johnson
1:42.0,J. Harden makes free throw 2 of 2,1,55-40,,
1:29.0,,,55-40,,Shooting foul by D. Howard (drawn by J. Hill)
1:29.0,,,55-40,,J. Hill misses free throw 1 of 2
1:29.0,,,55-40,,Offensive rebound by Team
1:29.0,T. Black enters the game for D. Howard,,55-40,,
1:29.0,,,55-41,1,J. Hill makes free throw 2 of 2
1:08.0,J. Harden misses 2-pt shot from 16 ft,,55-41,,
1:08.0,,,55-41,,Defensive rebound by Team
1:08.0,Loose ball foul by T. Jones (drawn by K. Bryant),,55-41,,
1:08.0,,,55-42,1,K. Bryant makes free throw 1 of 2
1:08.0,,,55-43,1,K. Bryant makes free throw 2 of 2
0:46.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden),2,57-43,,
0:37.0,,,57-45,2,K. Bryant makes 2-pt shot from 8 ft
0:29.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,60-45,,
0:07.0,,,60-45,,K. Bryant misses 2-pt shot from 9 ft (block by T. Jones)
0:05.0,,,60-45,,Offensive rebound by Team
0:05.0,,,60-45,,Turnover by Team (shot clock)
0:05.0,Houston full timeout,,60-45,,
0:05.0,K. Papanikolaou enters the game for T. Black,,60-45,,
0:05.0,,,60-45,,R. Price enters the game for C. Boozer
0:01.0,J. Harden misses 2-pt shot from 1 ft (block by J. Hill),,60-45,,
0:01.0,Offensive rebound by T. Jones,,60-45,,
0:01.0,T. Jones makes 2-pt shot from 1 ft,2,62-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Shooting foul by J. Hill (drawn by D. Howard),,62-45,,
11:40.0,D. Howard misses free throw 1 of 2,,62-45,,
11:40.0,Offensive rebound by Team,,62-45,,
11:40.0,D. Howard misses free throw 2 of 2,,62-45,,
11:39.0,,,62-45,,Defensive rebound by J. Hill
11:21.0,,,62-45,,K. Bryant misses 2-pt shot from 2 ft
11:19.0,,,62-45,,Offensive rebound by J. Hill
11:17.0,,,62-45,,J. Hill misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by T. Jones,,62-45,,
11:14.0,Turnover by T. Jones (lost ball; steal by K. Bryant),,62-45,,
11:11.0,,,62-47,2,C. Boozer makes 2-pt shot from 2 ft
11:00.0,T. Ariza makes 3-pt shot from 24 ft (assist by T. Jones),3,65-47,,
10:53.0,,,65-47,,Shooting foul by D. Howard (drawn by J. Lin)
10:53.0,,,65-48,1,J. Lin makes free throw 1 of 2
10:53.0,D. Motiejunas enters the game for D. Howard,,65-48,,
10:53.0,,,65-48,,J. Lin misses free throw 2 of 2
10:51.0,,,65-48,,Offensive rebound by J. Lin
10:38.0,,,65-50,2,C. Boozer makes 2-pt shot from 1 ft
10:12.0,Turnover by Team (shot clock),,65-50,,
10:01.0,,,65-50,,Shooting foul by T. Jones (drawn by C. Boozer)
10:01.0,,,65-51,1,C. Boozer makes free throw 1 of 2
10:01.0,,,65-52,1,C. Boozer makes free throw 2 of 2
9:49.0,Turnover by P. Beverley (bad pass; steal by C. Boozer),,65-52,,
9:47.0,Personal foul by D. Motiejunas (drawn by J. Lin),,65-52,,
9:35.0,,,65-52,,C. Boozer misses 2-pt shot from 17 ft
9:34.0,Defensive rebound by T. Jones,,65-52,,
9:27.0,Turnover by T. Ariza (bad pass),,65-52,,
9:14.0,,,65-52,,C. Boozer misses 2-pt shot from 18 ft
9:12.0,Defensive rebound by P. Beverley,,65-52,,
9:04.0,Turnover by P. Beverley (bad pass),,65-52,,
9:00.0,Personal block foul by T. Ariza (drawn by K. Bryant),,65-52,,
8:50.0,,,65-52,,Turnover by J. Hill (traveling)
8:39.0,Shooting foul by C. Boozer (drawn by D. Motiejunas),,65-52,,
8:39.0,D. Motiejunas misses free throw 1 of 2,,65-52,,
8:39.0,Offensive rebound by Team,,65-52,,
8:39.0,,,65-52,,Violation by J. Hill (lane)
8:39.0,D. Motiejunas makes free throw 2 of 2,1,66-52,,
8:26.0,,,66-54,2,J. Lin makes 2-pt shot from 1 ft
8:26.0,,,66-54,,Shooting foul by T. Jones (drawn by J. Lin)
8:26.0,,,66-55,1,J. Lin makes free throw 1 of 1
8:01.0,Turnover by T. Jones (offensive goaltending),,66-55,,
7:45.0,,,66-57,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin)
7:45.0,Houston full timeout,,66-57,,
7:45.0,T. Black enters the game for D. Motiejunas,,66-57,,
7:28.0,,,66-57,,Personal foul by K. Bryant (drawn by T. Ariza)
7:21.0,J. Harden misses 2-pt shot from 17 ft,,66-57,,
7:21.0,Offensive rebound by Team,,66-57,,
7:21.0,,,66-57,,Loose ball foul by J. Hill (drawn by T. Black)
7:07.0,T. Jones misses 2-pt shot from 11 ft,,66-57,,
7:06.0,,,66-57,,Defensive rebound by J. Hill
6:52.0,Personal foul by P. Beverley (drawn by J. Hill),,66-57,,
6:52.0,,,66-58,1,J. Hill makes free throw 1 of 2
6:52.0,,,66-59,1,J. Hill makes free throw 2 of 2
6:41.0,,,66-59,,Violation by K. Bryant (kicked ball)
6:28.0,T. Jones misses 2-pt shot from 17 ft,,66-59,,
6:27.0,,,66-59,,Defensive rebound by Team
6:27.0,J. Terry enters the game for P. Beverley,,66-59,,
6:27.0,Jump ball: T. Black vs. W. Johnson (C. Boozer gains possession),,,,Jump ball: T. Black vs. W. Johnson (C. Boozer gains possession)
6:13.0,,,66-59,,J. Lin misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by T. Jones,,66-59,,
6:08.0,J. Harden makes 2-pt shot from 1 ft (assist by T. Jones),2,68-59,,
6:08.0,Shooting foul by K. Bryant (drawn by J. Harden),,68-59,,
6:08.0,J. Harden makes free throw 1 of 1,1,69-59,,
5:52.0,,,69-59,,K. Bryant misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by J. Harden,,69-59,,
5:46.0,Shooting foul by W. Johnson (drawn by J. Harden),,69-59,,
5:46.0,J. Harden makes free throw 1 of 2,1,70-59,,
5:46.0,,,70-59,,E. Davis enters the game for J. Hill
5:46.0,,,70-59,,R. Price enters the game for W. Johnson
5:46.0,J. Harden makes free throw 2 of 2,1,71-59,,
5:20.0,,,71-62,3,R. Price makes 3-pt shot from 25 ft (assist by K. Bryant)
4:58.0,J. Terry makes 2-pt shot from 19 ft (assist by T. Jones),2,73-62,,
4:42.0,,,73-64,2,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin)
4:26.0,T. Ariza makes 3-pt shot from 23 ft,3,76-64,,
4:15.0,,,76-64,,Shooting foul by T. Jones (drawn by K. Bryant)
4:15.0,,,76-65,1,K. Bryant makes free throw 1 of 2
4:15.0,K. Papanikolaou enters the game for T. Jones,,76-65,,
4:15.0,,,76-65,,J. Randle enters the game for C. Boozer
4:15.0,,,76-66,1,K. Bryant makes free throw 2 of 2
3:56.0,T. Black makes 2-pt shot from 1 ft (assist by K. Papanikolaou),2,78-66,,
3:34.0,,,78-66,,R. Price misses 3-pt shot from 24 ft
3:33.0,,,78-66,,Offensive rebound by E. Davis
3:28.0,Personal foul by K. Papanikolaou (drawn by J. Randle),,78-66,,
3:28.0,,,78-66,,J. Randle misses free throw 1 of 2
3:28.0,,,78-66,,Offensive rebound by Team
3:28.0,,,78-66,,X. Henry enters the game for K. Bryant
3:28.0,,,78-66,,J. Randle misses free throw 2 of 2
3:27.0,Defensive rebound by T. Ariza,,78-66,,
3:13.0,T. Ariza misses 3-pt shot from 25 ft,,78-66,,
3:12.0,,,78-66,,Defensive rebound by E. Davis
2:54.0,Technical foul by J. Harden,,78-66,,
2:54.0,,,78-66,,LA Lakers full timeout
2:54.0,P. Beverley enters the game for T. Ariza,,78-66,,
2:54.0,,,78-67,1,J. Lin makes technical free throw
2:43.0,,,78-67,,E. Davis misses 2-pt shot from 5 ft
2:40.0,Defensive rebound by T. Black,,78-67,,
2:35.0,J. Harden makes 2-pt shot from 1 ft,2,80-67,,
2:17.0,,,80-67,,Turnover by J. Lin (bad pass)
2:04.0,,,80-67,,Personal foul by R. Price (drawn by J. Harden)
2:04.0,J. Harden misses free throw 1 of 2,,80-67,,
2:04.0,Offensive rebound by Team,,80-67,,
2:04.0,J. Harden makes free throw 2 of 2,1,81-67,,
1:56.0,,,81-67,,Shooting foul by K. Papanikolaou (drawn by J. Lin)
1:56.0,,,81-68,1,J. Lin makes free throw 1 of 2
1:56.0,,,81-69,1,J. Lin makes free throw 2 of 2
1:32.0,K. Papanikolaou makes 2-pt shot from 7 ft (assist by J. Harden),2,83-69,,
1:18.0,,,83-69,,J. Lin misses 2-pt shot from 1 ft
1:17.0,Defensive rebound by K. Papanikolaou,,83-69,,
1:03.0,,,83-69,,Personal take foul by R. Price (drawn by J. Harden)
1:03.0,J. Harden makes free throw 1 of 2,1,84-69,,
1:03.0,J. Harden makes free throw 2 of 2,1,85-69,,
0:48.0,,,85-69,,X. Henry misses 2-pt shot from 18 ft
0:47.0,Defensive rebound by K. Papanikolaou,,85-69,,
0:32.0,J. Harden misses 3-pt shot from 25 ft,,85-69,,
0:29.0,,,85-69,,Defensive rebound by Team
0:11.0,,,85-69,,Turnover by J. Lin (bad pass; steal by K. Papanikolaou)
0:06.0,J. Terry misses 3-pt shot from 25 ft,,85-69,,
0:02.0,,,85-69,,Defensive rebound by J. Lin
0:01.0,,,85-69,,X. Henry misses 2-pt shot at rim
0:00.0,,,85-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,85-69,,Offensive foul by J. Clarkson
11:48.0,,,85-69,,Turnover by J. Clarkson (offensive foul)
11:36.0,K. Papanikolaou makes 2-pt shot from 1 ft (assist by P. Beverley),2,87-69,,
11:22.0,,,87-69,,Shooting foul by K. Papanikolaou (drawn by E. Davis)
11:22.0,,,87-69,,E. Davis misses free throw 1 of 2
11:22.0,,,87-69,,Offensive rebound by Team
11:22.0,,,87-70,1,E. Davis makes free throw 2 of 2
11:07.0,Turnover by J. Terry (bad pass),,87-70,,
10:51.0,,,87-70,,X. Henry misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by Team,,87-70,,
10:26.0,,,87-70,,Personal foul by E. Davis (drawn by D. Howard)
10:26.0,,,87-70,,Violation by J. Clarkson (kicked ball)
10:18.0,P. Beverley makes 3-pt shot from 22 ft (assist by K. Papanikolaou),3,90-70,,
9:59.0,,,90-70,,J. Randle misses 2-pt shot from 16 ft
9:58.0,Defensive rebound by D. Howard,,90-70,,
9:53.0,,,90-70,,Personal foul by J. Clarkson (drawn by P. Beverley)
9:53.0,P. Beverley misses free throw 1 of 2,,90-70,,
9:53.0,Offensive rebound by Team,,90-70,,
9:53.0,P. Beverley makes free throw 2 of 2,1,91-70,,
9:53.0,,,91-70,,LA Lakers full timeout
9:53.0,,,91-70,,C. Boozer enters the game for J. Clarkson
9:53.0,,,91-70,,J. Lin enters the game for X. Henry
9:53.0,,,91-70,,K. Bryant enters the game for J. Randle
9:53.0,T. Ariza enters the game for K. Papanikolaou,,91-70,,
9:36.0,,,91-70,,K. Bryant misses 3-pt shot from 27 ft
9:35.0,Defensive rebound by P. Beverley,,91-70,,
9:24.0,P. Beverley misses 2-pt shot from 5 ft,,91-70,,
9:24.0,Offensive rebound by D. Howard,,91-70,,
9:24.0,Shooting foul by E. Davis (drawn by D. Howard),,91-70,,
9:24.0,D. Howard misses free throw 1 of 2,,91-70,,
9:24.0,Offensive rebound by Team,,91-70,,
9:24.0,D. Howard misses free throw 2 of 2,,91-70,,
9:22.0,,,91-70,,Defensive rebound by K. Bryant
9:09.0,,,91-70,,Turnover by R. Price (bad pass; steal by T. Ariza)
8:54.0,T. Jones makes 2-pt shot at rim (assist by D. Howard),2,93-70,,
8:47.0,,,93-70,,Turnover by R. Price (bad pass; steal by T. Jones)
8:43.0,T. Jones makes 2-pt shot from 1 ft (assist by T. Ariza),2,95-70,,
8:43.0,Shooting foul by J. Lin (drawn by T. Jones),,95-70,,
8:43.0,,,95-70,,W. Johnson enters the game for R. Price
8:43.0,T. Daniels enters the game for J. Terry,,95-70,,
8:43.0,T. Jones misses free throw 1 of 1,,95-70,,
8:41.0,,,95-70,,Defensive rebound by E. Davis
8:23.0,,,95-72,2,C. Boozer makes 2-pt shot from 11 ft (assist by J. Lin)
8:02.0,T. Jones misses 2-pt shot from 2 ft (block by E. Davis),,95-72,,
8:02.0,Offensive rebound by Team,,95-72,,
