time,LA Clippers,pts.away,score,pts.home,Memphis
8:05.0,,,27-26,1,J. Leuer makes free throw 2 of 2
7:54.0,,,27-26,,Inbound foul by N. Calathes
7:54.0,J. Redick makes free throw 1 of 2,1,28-26,,
7:54.0,J. Redick makes free throw 2 of 2,1,29-26,,
7:33.0,,,29-26,,N. Calathes misses 2-pt shot from 16 ft
7:32.0,,,29-26,,Offensive rebound by K. Koufos
7:31.0,,,29-26,,K. Koufos misses 2-pt shot at rim
7:29.0,Defensive rebound by A. Rivers,,29-26,,
7:28.0,J. Crawford misses 2-pt shot from 1 ft,,29-26,,
7:25.0,,,29-26,,Defensive rebound by J. Leuer
7:18.0,,,29-28,2,K. Koufos makes 2-pt shot at rim (assist by J. Leuer)
6:59.0,Turnover by A. Rivers (bad pass; steal by N. Calathes),,29-28,,
6:56.0,,,29-30,2,T. Allen makes 2-pt shot at rim (assist by N. Calathes)
6:51.0,LA Clippers full timeout,,29-30,,
6:51.0,D. Jordan enters the game for G. Davis,,29-30,,
6:51.0,C. Paul enters the game for A. Rivers,,29-30,,
6:37.0,Shooting foul by J. Leuer (drawn by D. Jordan),,29-30,,
6:37.0,D. Jordan misses free throw 1 of 2,,29-30,,
6:37.0,Offensive rebound by Team,,29-30,,
6:37.0,Turnover by S. Hawes (lane violation.),,29-30,,
6:20.0,,,29-30,,J. Leuer misses 2-pt shot from 16 ft
6:19.0,Defensive rebound by C. Paul,,29-30,,
6:13.0,J. Crawford misses 3-pt shot from 24 ft,,29-30,,
6:10.0,,,29-30,,Defensive rebound by J. Leuer
6:04.0,,,29-32,2,K. Koufos makes 2-pt shot from 17 ft (assist by T. Allen)
5:37.0,C. Paul misses 3-pt shot from 25 ft,,29-32,,
5:35.0,Offensive rebound by C. Paul,,29-32,,
5:28.0,,,29-32,,Personal foul by K. Koufos (drawn by D. Jordan)
5:28.0,D. Jordan misses free throw 1 of 2,,29-32,,
5:28.0,Offensive rebound by Team,,29-32,,
5:28.0,D. Jordan misses free throw 2 of 2,,29-32,,
5:27.0,Offensive rebound by S. Hawes,,29-32,,
5:23.0,J. Redick misses 3-pt shot from 26 ft,,29-32,,
5:23.0,,,29-32,,Defensive rebound by B. Udrih
5:06.0,,,29-32,,K. Koufos misses 2-pt shot from 15 ft
5:05.0,,,29-32,,Offensive rebound by J. Leuer
5:02.0,,,29-34,2,J. Leuer makes 2-pt shot from 2 ft
4:52.0,,,29-34,,Personal foul by J. Leuer (drawn by S. Hawes)
4:52.0,S. Hawes misses free throw 1 of 2,,29-34,,
4:52.0,Offensive rebound by Team,,29-34,,
4:52.0,,,29-34,,M. Gasol enters the game for K. Koufos
4:52.0,S. Hawes misses free throw 2 of 2,,29-34,,
4:51.0,,,29-34,,Defensive rebound by M. Gasol
4:42.0,,,29-34,,N. Calathes misses 2-pt shot from 1 ft (block by J. Redick)
4:40.0,Defensive rebound by D. Jordan,,29-34,,
4:36.0,J. Crawford makes 2-pt shot at rim (assist by C. Paul),2,31-34,,
4:21.0,,,31-34,,J. Leuer misses 2-pt shot from 21 ft
4:20.0,Defensive rebound by D. Jordan,,31-34,,
4:11.0,S. Hawes misses 3-pt shot from 26 ft,,31-34,,
4:11.0,,,31-34,,Defensive rebound by Team
4:11.0,M. Barnes enters the game for S. Hawes,,31-34,,
3:59.0,,,31-34,,N. Calathes misses 2-pt shot from 2 ft (block by J. Redick)
3:57.0,Defensive rebound by J. Crawford,,31-34,,
3:54.0,J. Crawford makes 2-pt shot from 7 ft,2,33-34,,
3:43.0,,,33-34,,Shooting foul by J. Redick (drawn by M. Gasol)
3:43.0,,,33-34,,M. Gasol misses free throw 1 of 2
3:43.0,,,33-34,,Offensive rebound by Team
3:43.0,,,33-35,1,M. Gasol makes free throw 2 of 2
3:34.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,35-35,,
3:16.0,Personal foul by C. Paul (drawn by M. Gasol),,35-35,,
3:06.0,,,35-35,,M. Gasol misses 2-pt shot from 5 ft
3:04.0,Defensive rebound by D. Jordan,,35-35,,
2:51.0,Turnover by J. Redick (bad pass; steal by T. Allen),,35-35,,
2:44.0,,,35-37,2,T. Allen makes 2-pt shot at rim
2:38.0,D. Jordan misses 2-pt shot at rim,,35-37,,
2:35.0,,,35-37,,Defensive rebound by J. Leuer
2:27.0,,,35-37,,Turnover by M. Gasol (bad pass)
2:27.0,,,35-37,,Memphis full timeout
2:27.0,,,35-37,,Z. Randolph enters the game for B. Udrih
2:27.0,,,35-37,,M. Conley enters the game for J. Leuer
2:27.0,G. Davis enters the game for J. Crawford,,35-37,,
2:05.0,G. Davis misses 2-pt shot from 11 ft,,35-37,,
2:04.0,,,35-37,,Defensive rebound by Z. Randolph
1:44.0,,,35-39,2,Z. Randolph makes 2-pt shot at rim (assist by N. Calathes)
1:24.0,C. Paul makes 2-pt shot from 17 ft,2,37-39,,
1:11.0,,,37-39,,T. Allen misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by M. Barnes,,37-39,,
0:59.0,C. Paul makes 2-pt shot from 12 ft,2,39-39,,
0:44.0,,,39-39,,T. Allen misses 2-pt shot from 7 ft
0:42.0,Defensive rebound by D. Jordan,,39-39,,
0:20.0,C. Paul makes 2-pt shot from 10 ft,2,41-39,,
0:13.0,,,41-39,,Memphis full timeout
0:13.0,,,41-39,,C. Lee enters the game for T. Allen
0:13.0,J. Hamilton enters the game for M. Barnes,,41-39,,
0:08.0,Personal take foul by J. Hamilton (drawn by N. Calathes),,41-39,,
0:08.0,M. Barnes enters the game for J. Hamilton,,41-39,,
0:01.0,,,41-41,2,M. Conley makes 2-pt shot from 8 ft
0:01.0,J. Redick misses 2-pt shot from 12 ft,,41-41,,
0:00.0,Offensive rebound by Team,,41-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,41-41,,M. Conley misses 2-pt shot from 18 ft
11:40.0,,,41-41,,Offensive rebound by Team
11:20.0,,,41-41,,J. Green misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by J. Redick,,41-41,,
10:56.0,M. Barnes misses 2-pt shot at rim,,41-41,,
10:56.0,Offensive rebound by Team,,41-41,,
10:56.0,Turnover by Team (shot clock),,41-41,,
10:36.0,,,41-41,,M. Gasol misses 2-pt shot from 8 ft
10:35.0,,,41-41,,Offensive rebound by Team
10:35.0,Loose ball foul by S. Hawes (drawn by Z. Randolph),,41-41,,
10:30.0,,,41-41,,Turnover by J. Green (offensive foul)
10:30.0,,,41-41,,Offensive foul by J. Green
10:21.0,,,41-41,,Personal foul by C. Lee (drawn by J. Redick)
10:12.0,S. Hawes makes 2-pt shot from 1 ft (assist by C. Paul),2,43-41,,
9:55.0,,,43-41,,C. Lee misses 2-pt shot from 8 ft
9:54.0,Defensive rebound by D. Jordan,,43-41,,
9:37.0,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),3,46-41,,
9:13.0,,,46-41,,Turnover by J. Green (back court)
8:57.0,C. Paul misses 2-pt shot from 17 ft,,46-41,,
8:56.0,,,46-41,,Defensive rebound by M. Conley
8:48.0,Personal foul by J. Redick (drawn by M. Conley),,46-41,,
8:43.0,,,46-41,,Turnover by M. Conley (bad pass; steal by D. Jordan)
8:40.0,M. Barnes makes 2-pt shot at rim (assist by C. Paul),2,48-41,,
8:40.0,,,48-41,,Memphis full timeout
8:22.0,,,48-43,2,Z. Randolph makes 2-pt shot from 12 ft
8:02.0,J. Redick makes 3-pt shot from 26 ft (assist by S. Hawes),3,51-43,,
7:46.0,,,51-45,2,Z. Randolph makes 2-pt shot at rim
7:32.0,,,51-45,,Personal foul by J. Green (drawn by C. Paul)
7:26.0,J. Redick makes 3-pt shot from 26 ft (assist by D. Jordan),3,54-45,,
7:11.0,Personal foul by J. Redick (drawn by C. Lee),,54-45,,
7:01.0,,,54-45,,J. Green misses 2-pt shot at rim
7:00.0,,,54-45,,Offensive rebound by J. Green
7:00.0,,,54-45,,J. Green misses 2-pt shot at rim
6:57.0,Defensive rebound by D. Jordan,,54-45,,
6:53.0,M. Barnes misses 2-pt shot from 4 ft,,54-45,,
6:51.0,Offensive rebound by J. Redick,,54-45,,
6:51.0,Shooting foul by C. Lee (drawn by J. Redick),,54-45,,
6:51.0,,,54-45,,B. Udrih enters the game for M. Conley
6:51.0,J. Redick makes free throw 1 of 2,1,55-45,,
6:51.0,J. Redick makes free throw 2 of 2,1,56-45,,
6:35.0,,,56-47,2,M. Gasol makes 2-pt shot from 5 ft
6:08.0,S. Hawes makes 3-pt shot from 26 ft (assist by C. Paul),3,59-47,,
5:52.0,Personal foul by C. Paul (drawn by B. Udrih),,59-47,,
5:38.0,,,59-47,,Turnover by Team (shot clock)
5:22.0,M. Barnes makes 3-pt shot from 25 ft (assist by S. Hawes),3,62-47,,
5:07.0,,,62-47,,B. Udrih misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by C. Paul,,62-47,,
4:52.0,C. Paul misses 2-pt shot from 1 ft (block by J. Green),,62-47,,
4:50.0,,,62-47,,Defensive rebound by M. Gasol
4:46.0,,,62-47,,B. Udrih misses 2-pt shot from 13 ft
4:44.0,Defensive rebound by D. Jordan,,62-47,,
4:32.0,M. Barnes misses 3-pt shot from 25 ft,,62-47,,
4:31.0,Offensive rebound by D. Jordan,,62-47,,
4:27.0,C. Paul misses 3-pt shot from 24 ft,,62-47,,
4:26.0,,,62-47,,Defensive rebound by M. Gasol
4:21.0,,,62-50,3,C. Lee makes 3-pt shot from 25 ft (assist by B. Udrih)
4:20.0,LA Clippers full timeout,,62-50,,
4:20.0,,,62-50,,T. Allen enters the game for J. Green
4:20.0,J. Crawford enters the game for M. Barnes,,62-50,,
4:09.0,S. Hawes misses 2-pt shot from 1 ft,,62-50,,
4:09.0,Offensive rebound by Team,,62-50,,
4:09.0,Turnover by S. Hawes (traveling),,62-50,,
3:55.0,,,62-50,,B. Udrih misses 2-pt shot from 1 ft (block by D. Jordan)
3:53.0,Defensive rebound by S. Hawes,,62-50,,
3:49.0,Turnover by J. Redick (traveling),,62-50,,
3:34.0,,,62-53,3,C. Lee makes 3-pt shot from 25 ft (assist by Z. Randolph)
3:16.0,S. Hawes misses 2-pt shot at rim (block by T. Allen),,62-53,,
3:15.0,Offensive rebound by D. Jordan,,62-53,,
3:15.0,Shooting foul by Z. Randolph (drawn by D. Jordan),,62-53,,
3:15.0,D. Jordan misses free throw 1 of 2,,62-53,,
3:15.0,Offensive rebound by Team,,62-53,,
3:15.0,G. Davis enters the game for J. Redick,,62-53,,
3:15.0,A. Rivers enters the game for S. Hawes,,62-53,,
3:15.0,D. Jordan misses free throw 2 of 2,,62-53,,
3:14.0,,,62-53,,Defensive rebound by Z. Randolph
2:55.0,,,62-55,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
2:37.0,G. Davis makes 2-pt shot from 20 ft (assist by J. Crawford),2,64-55,,
2:14.0,,,64-55,,Z. Randolph misses 2-pt shot from 5 ft
2:13.0,Defensive rebound by D. Jordan,,64-55,,
2:09.0,,,64-55,,Personal take foul by T. Allen (drawn by D. Jordan)
2:09.0,D. Jordan makes free throw 1 of 2,1,65-55,,
2:09.0,D. Jordan misses free throw 2 of 2,,65-55,,
2:07.0,,,65-55,,Defensive rebound by C. Lee
1:51.0,,,65-57,2,M. Gasol makes 2-pt shot at rim (assist by C. Lee)
1:33.0,J. Crawford misses 2-pt shot from 9 ft,,65-57,,
1:32.0,Offensive rebound by Team,,65-57,,
1:32.0,,,65-57,,Loose ball foul by M. Gasol (drawn by D. Jordan)
1:32.0,D. Jordan makes free throw 1 of 2,1,66-57,,
1:32.0,D. Jordan misses free throw 2 of 2,,66-57,,
1:31.0,Offensive rebound by D. Jordan,,66-57,,
1:28.0,J. Crawford makes 3-pt shot from 24 ft (assist by D. Jordan),3,69-57,,
1:08.0,Def 3 sec tech foul by D. Jordan,,69-57,,
1:08.0,,,69-58,1,C. Lee makes technical free throw
1:00.0,,,69-60,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
0:43.0,A. Rivers misses 3-pt shot from 24 ft,,69-60,,
0:42.0,,,69-60,,Defensive rebound by T. Allen
0:33.0,,,69-62,2,M. Gasol makes 2-pt shot from 6 ft (assist by B. Udrih)
0:11.0,G. Davis misses 2-pt shot from 17 ft,,69-62,,
0:10.0,,,69-62,,Defensive rebound by Z. Randolph
0:00.0,,,69-62,,B. Udrih misses 2-pt shot from 8 ft
0:00.0,,,69-62,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Redick misses 2-pt shot from 10 ft,,69-62,,
11:45.0,,,69-62,,Defensive rebound by C. Lee
11:23.0,,,69-62,,M. Gasol misses 2-pt shot from 13 ft
11:21.0,Defensive rebound by D. Jordan,,69-62,,
11:04.0,A. Rivers misses 2-pt shot from 7 ft,,69-62,,
11:01.0,,,69-62,,Defensive rebound by M. Gasol
10:58.0,Personal foul by G. Davis (drawn by Z. Randolph),,69-62,,
10:58.0,,,69-62,,K. Koufos enters the game for M. Gasol
10:58.0,,,69-62,,M. Conley enters the game for B. Udrih
10:43.0,,,69-62,,Z. Randolph misses 2-pt shot from 14 ft
10:42.0,Defensive rebound by J. Crawford,,69-62,,
10:32.0,,,69-62,,Personal foul by C. Lee (drawn by J. Redick)
10:25.0,J. Crawford misses 3-pt shot from 25 ft,,69-62,,
10:24.0,,,69-62,,Defensive rebound by K. Koufos
10:17.0,,,69-62,,M. Conley misses 2-pt shot at rim (block by D. Jordan)
10:17.0,,,69-62,,Offensive rebound by Team
10:17.0,,,69-62,,N. Calathes enters the game for C. Lee
10:12.0,,,69-62,,Turnover by Z. Randolph (lost ball; steal by G. Davis)
10:00.0,J. Crawford misses 2-pt shot from 11 ft,,69-62,,
10:00.0,,,69-62,,Defensive rebound by Team
10:00.0,Loose ball foul by G. Davis (drawn by Z. Randolph),,69-62,,
9:48.0,,,69-62,,N. Calathes misses 3-pt shot from 24 ft
9:47.0,,,69-62,,Offensive rebound by T. Allen
9:46.0,,,69-64,2,T. Allen makes 2-pt shot from 1 ft
9:33.0,,,69-64,,Personal foul by N. Calathes (drawn by J. Redick)
9:33.0,C. Paul enters the game for A. Rivers,,69-64,,
9:28.0,J. Crawford misses 2-pt shot from 12 ft,,69-64,,
9:27.0,Offensive rebound by D. Jordan,,69-64,,
9:24.0,D. Jordan makes 2-pt shot from 5 ft,2,71-64,,
9:07.0,Personal foul by C. Paul (drawn by M. Conley),,71-64,,
8:53.0,,,71-64,,N. Calathes misses 2-pt shot from 12 ft
8:53.0,,,71-64,,Offensive rebound by Team
8:53.0,Loose ball foul by J. Redick (drawn by K. Koufos),,71-64,,
8:53.0,Official timeout,,71-64,,
8:53.0,M. Barnes enters the game for G. Davis,,71-64,,
8:53.0,,,71-64,,J. Leuer enters the game for Z. Randolph
8:33.0,,,71-64,,M. Conley misses 3-pt shot from 24 ft
8:32.0,,,71-64,,Offensive rebound by J. Leuer
8:28.0,,,71-64,,J. Leuer misses 2-pt shot from 9 ft
8:24.0,Defensive rebound by D. Jordan,,71-64,,
8:19.0,Turnover by C. Paul (lost ball),,71-64,,
8:03.0,,,71-64,,Turnover by K. Koufos (3 sec)
7:46.0,J. Redick makes 2-pt shot from 9 ft,2,73-64,,
7:30.0,,,73-64,,M. Conley misses 2-pt shot from 7 ft (block by M. Barnes)
7:27.0,Defensive rebound by J. Crawford,,73-64,,
7:24.0,J. Redick misses 3-pt shot from 23 ft,,73-64,,
7:22.0,,,73-64,,Defensive rebound by J. Leuer
7:12.0,,,73-66,2,M. Conley makes 2-pt shot at rim
7:09.0,,,73-66,,Personal foul by T. Allen (drawn by C. Paul)
7:05.0,,,73-66,,Personal take foul by K. Koufos (drawn by D. Jordan)
6:45.0,C. Paul makes 2-pt shot from 11 ft (assist by D. Jordan),2,75-66,,
6:31.0,,,75-66,,Memphis full timeout
6:29.0,,,75-68,2,T. Allen makes 2-pt shot at rim (assist by J. Leuer)
6:29.0,,,75-68,,Shooting foul by M. Barnes (drawn by T. Allen)
6:29.0,,,75-68,,Z. Randolph enters the game for J. Leuer
6:29.0,,,75-68,,T. Allen misses free throw 1 of 1
6:28.0,Defensive rebound by M. Barnes,,75-68,,
6:20.0,,,75-68,,Personal foul by N. Calathes (drawn by C. Paul)
6:20.0,C. Paul makes free throw 1 of 2,1,76-68,,
6:20.0,G. Davis enters the game for M. Barnes,,76-68,,
6:20.0,C. Paul makes free throw 2 of 2,1,77-68,,
6:07.0,,,77-68,,Z. Randolph misses 2-pt shot from 19 ft
6:06.0,,,77-68,,Offensive rebound by K. Koufos
6:06.0,,,77-70,2,K. Koufos makes 2-pt shot at rim
5:49.0,C. Paul makes 2-pt shot from 18 ft,2,79-70,,
5:33.0,,,79-70,,T. Allen misses 2-pt shot at rim (block by J. Crawford)
5:33.0,,,79-70,,Offensive rebound by Team
5:33.0,,,79-70,,C. Lee enters the game for N. Calathes
5:33.0,,,79-70,,M. Gasol enters the game for K. Koufos
5:22.0,,,79-70,,T. Allen misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by J. Crawford,,79-70,,
5:05.0,G. Davis makes 2-pt shot from 9 ft (assist by C. Paul),2,81-70,,
5:05.0,,,81-70,,Memphis full timeout
4:56.0,,,81-70,,Turnover by M. Gasol (lost ball; steal by C. Paul)
4:53.0,,,81-70,,Personal foul by T. Allen (drawn by C. Paul)
4:53.0,C. Paul makes free throw 1 of 2,1,82-70,,
4:53.0,C. Paul makes free throw 2 of 2,1,83-70,,
4:44.0,,,83-70,,M. Conley misses 2-pt shot from 6 ft (block by D. Jordan)
4:40.0,,,83-70,,Offensive rebound by Z. Randolph
4:37.0,,,83-70,,M. Conley misses 2-pt shot from 22 ft
4:37.0,,,83-70,,Offensive rebound by Team
4:27.0,,,83-70,,Z. Randolph misses 2-pt shot from 1 ft
4:25.0,Defensive rebound by J. Crawford,,83-70,,
4:06.0,C. Paul makes 3-pt shot from 25 ft,3,86-70,,
3:42.0,,,86-72,2,M. Gasol makes 2-pt shot from 10 ft
3:21.0,C. Paul misses 2-pt shot from 18 ft,,86-72,,
3:20.0,,,86-72,,Defensive rebound by C. Lee
