time,Charlotte,pts.away,score,pts.home,Denver
9:04.0,,,68-34,2,J. Hickson makes 2-pt shot from 1 ft
8:51.0,A. Jefferson misses 2-pt shot from 6 ft,,68-34,,
8:50.0,Offensive rebound by Team,,68-34,,
8:50.0,,,68-34,,Loose ball foul by W. Chandler (drawn by C. Zeller)
8:38.0,G. Henderson misses 3-pt shot from 26 ft,,68-34,,
8:37.0,,,68-34,,Defensive rebound by T. Lawson
8:33.0,,,68-36,2,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lawson)
8:10.0,B. Roberts misses 2-pt shot from 16 ft,,68-36,,
8:09.0,,,68-36,,Defensive rebound by J. McGee
8:03.0,,,68-36,,W. Chandler misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by A. Jefferson,,68-36,,
7:45.0,Turnover by G. Henderson (bad pass),,68-36,,
7:37.0,,,68-38,2,J. McGee makes 2-pt shot at rim (assist by T. Lawson)
7:34.0,Charlotte full timeout,,68-38,,
7:19.0,G. Henderson misses 2-pt shot from 15 ft,,68-38,,
7:17.0,,,68-38,,Defensive rebound by J. Hickson
7:07.0,,,68-38,,J. McGee misses 2-pt shot from 7 ft (block by A. Jefferson)
7:07.0,,,68-38,,Offensive rebound by Team
6:57.0,,,68-38,,T. Lawson misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by A. Jefferson,,68-38,,
6:47.0,B. Roberts misses 2-pt shot from 20 ft,,68-38,,
6:45.0,,,68-38,,Defensive rebound by J. Hickson
6:37.0,,,68-41,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
6:24.0,,,68-41,,Personal foul by T. Lawson (drawn by M. Kidd-Gilchrist)
6:18.0,G. Henderson misses 2-pt shot from 17 ft,,68-41,,
6:16.0,,,68-41,,Defensive rebound by A. Afflalo
6:06.0,,,68-41,,A. Afflalo misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by A. Jefferson,,68-41,,
5:47.0,A. Jefferson makes 2-pt shot from 5 ft,2,70-41,,
5:26.0,,,70-41,,J. Hickson misses 2-pt shot from 8 ft
5:24.0,Defensive rebound by M. Kidd-Gilchrist,,70-41,,
5:11.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by A. Jefferson),2,72-41,,
4:50.0,,,72-41,,J. McGee misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by M. Kidd-Gilchrist,,72-41,,
4:39.0,A. Jefferson makes 2-pt shot from 18 ft (assist by C. Zeller),2,74-41,,
4:24.0,,,74-43,2,J. McGee makes 2-pt shot from 3 ft (assist by T. Lawson)
4:07.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by B. Roberts),2,76-43,,
3:47.0,,,76-43,,T. Lawson misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by A. Jefferson,,76-43,,
3:39.0,G. Henderson misses 2-pt shot from 1 ft,,76-43,,
3:38.0,,,76-43,,Defensive rebound by W. Chandler
3:38.0,Personal foul by C. Zeller (drawn by W. Chandler),,76-43,,
3:38.0,,,76-43,,Denver full timeout
3:38.0,L. Stephenson enters the game for G. Henderson,,76-43,,
3:38.0,,,76-43,,D. Gallinari enters the game for W. Chandler
3:38.0,,,76-43,,R. Foye enters the game for A. Afflalo
3:38.0,,,76-43,,J. Nelson enters the game for T. Lawson
3:38.0,,,76-43,,A. Gee enters the game for J. McGee
3:21.0,Personal foul by C. Zeller (drawn by R. Foye),,76-43,,
3:13.0,,,76-45,2,J. Hickson makes 2-pt shot at rim (assist by R. Foye)
2:49.0,A. Jefferson makes 2-pt shot from 3 ft (assist by B. Roberts),2,78-45,,
2:28.0,,,78-45,,D. Gallinari misses 2-pt shot from 22 ft
2:26.0,Defensive rebound by B. Roberts,,78-45,,
2:16.0,A. Jefferson misses 2-pt shot from 14 ft,,78-45,,
2:15.0,,,78-45,,Defensive rebound by J. Nelson
1:51.0,,,78-47,2,D. Gallinari makes 2-pt shot from 9 ft
1:34.0,A. Jefferson makes 2-pt shot from 1 ft (assist by L. Stephenson),2,80-47,,
1:20.0,,,80-47,,R. Foye misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by A. Jefferson,,80-47,,
1:10.0,Turnover by L. Stephenson (lost ball),,80-47,,
1:10.0,G. Neal enters the game for B. Roberts,,80-47,,
0:57.0,,,80-47,,Shooting foul by A. Jefferson (drawn by J. Hickson)
0:57.0,,,80-48,1,J. Hickson makes free throw 1 of 2
0:57.0,,,80-49,1,J. Hickson makes free throw 2 of 2
0:41.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,80-49,,
0:39.0,,,80-49,,Defensive rebound by D. Gallinari
0:35.0,,,80-49,,Shooting foul by C. Zeller (drawn by D. Gallinari)
0:35.0,,,80-50,1,D. Gallinari makes free throw 1 of 2
0:35.0,,,80-51,1,D. Gallinari makes free throw 2 of 2
0:22.0,L. Stephenson misses 3-pt shot from 24 ft,,80-51,,
0:21.0,,,80-51,,Defensive rebound by J. Hickson
0:18.0,,,80-51,,Turnover by J. Hickson (bad pass; steal by L. Stephenson)
0:02.0,Turnover by L. Stephenson (bad pass; steal by R. Foye),,80-51,,
0:01.0,Personal foul by L. Stephenson (drawn by R. Foye),,80-51,,
0:01.0,,,80-52,1,R. Foye makes free throw 1 of 2
0:01.0,,,80-52,,R. Foye misses free throw 2 of 2
0:00.0,Defensive rebound by M. Kidd-Gilchrist,,80-52,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Zeller makes 2-pt shot from 10 ft (assist by L. Stephenson),2,82-52,,
11:36.0,,,82-52,,J. Nelson misses 2-pt shot from 20 ft
11:34.0,Defensive rebound by Team,,82-52,,
11:23.0,Shooting foul by A. Gee (drawn by J. Maxiell),,82-52,,
11:23.0,J. Maxiell makes free throw 1 of 2,1,83-52,,
11:23.0,J. Maxiell makes free throw 2 of 2,1,84-52,,
11:15.0,,,84-52,,R. Foye misses 3-pt shot from 23 ft
11:13.0,,,84-52,,Offensive rebound by A. Gee
11:06.0,,,84-52,,Turnover by J. Nelson (lost ball; steal by C. Zeller)
11:03.0,,,84-52,,Personal foul by R. Foye (drawn by C. Zeller)
11:03.0,,,84-52,,A. Afflalo enters the game for R. Foye
10:43.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by L. Stephenson),2,86-52,,
10:39.0,,,86-52,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Afflalo)
10:39.0,,,86-52,,A. Afflalo misses free throw 1 of 2
10:39.0,,,86-52,,Offensive rebound by Team
10:39.0,,,86-52,,T. Lawson enters the game for A. Gee
10:39.0,P. Hairston enters the game for M. Kidd-Gilchrist,,86-52,,
10:39.0,,,86-53,1,A. Afflalo makes free throw 2 of 2
10:25.0,J. Maxiell makes 2-pt shot from 4 ft (assist by C. Zeller),2,88-53,,
10:13.0,,,88-55,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson)
9:59.0,L. Stephenson makes 2-pt shot from 15 ft,2,90-55,,
9:49.0,,,90-55,,Turnover by T. Lawson (lost ball; steal by J. Maxiell)
9:48.0,,,90-55,,Personal foul by J. Nelson (drawn by G. Neal)
9:48.0,N. Vonleh enters the game for C. Zeller,,90-55,,
9:40.0,J. Maxiell misses 2-pt shot from 15 ft,,90-55,,
9:38.0,,,90-55,,Defensive rebound by T. Lawson
9:31.0,,,90-58,3,A. Afflalo makes 3-pt shot from 25 ft (assist by J. Nelson)
9:11.0,P. Hairston misses 3-pt shot from 26 ft,,90-58,,
9:10.0,,,90-58,,Defensive rebound by A. Afflalo
9:03.0,,,90-58,,Turnover by A. Afflalo (lost ball; steal by P. Hairston)
9:03.0,Charlotte full timeout,,90-58,,
9:03.0,J. Taylor enters the game for G. Neal,,90-58,,
8:52.0,L. Stephenson misses 2-pt shot from 9 ft (block by J. McGee),,90-58,,
8:51.0,Offensive rebound by Team,,90-58,,
8:42.0,J. Maxiell makes 2-pt shot from 18 ft (assist by L. Stephenson),2,92-58,,
8:29.0,,,92-61,3,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson)
8:10.0,Turnover by N. Vonleh (traveling),,92-61,,
8:00.0,,,92-61,,D. Gallinari misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by J. Taylor,,92-61,,
7:46.0,P. Hairston misses 2-pt shot from 3 ft (block by J. McGee),,92-61,,
7:43.0,Offensive rebound by N. Vonleh,,92-61,,
7:40.0,N. Vonleh makes 2-pt shot from 2 ft,2,94-61,,
7:32.0,,,94-61,,Shooting foul by J. Maxiell (drawn by J. McGee)
7:32.0,,,94-62,1,J. McGee makes free throw 1 of 2
7:32.0,,,94-63,1,J. McGee makes free throw 2 of 2
7:19.0,J. Taylor makes 2-pt shot from 18 ft (assist by L. Stephenson),2,96-63,,
6:57.0,,,96-65,2,J. McGee makes 2-pt shot from 1 ft
6:44.0,,,96-65,,Personal foul by J. McGee (drawn by J. Taylor)
6:44.0,,,96-65,,J. Nurkic enters the game for J. McGee
6:36.0,J. Maxiell misses 2-pt shot from 11 ft,,96-65,,
6:34.0,Offensive rebound by L. Stephenson,,96-65,,
6:34.0,L. Stephenson misses 2-pt shot at rim,,96-65,,
6:33.0,Offensive rebound by N. Vonleh,,96-65,,
6:33.0,N. Vonleh misses 2-pt shot at rim,,96-65,,
