time,Cleveland,pts.away,score,pts.home,New York
1:41.0,Shooting foul by J. Calderon (drawn by K. Irving),,43-51,,
1:41.0,,,43-51,,S. Larkin enters the game for J. Calderon
1:41.0,K. Irving makes free throw 1 of 1,1,44-51,,
1:32.0,,,44-51,,Turnover by Q. Acy (bad pass)
1:26.0,Shooting foul by S. Larkin (drawn by K. Irving),,44-51,,
1:26.0,K. Irving makes free throw 1 of 2,1,45-51,,
1:26.0,,,45-51,,J. Smith enters the game for C. Anthony
1:26.0,T. Thompson enters the game for A. Varejao,,45-51,,
1:26.0,K. Irving makes free throw 2 of 2,1,46-51,,
1:04.0,,,46-51,,Turnover by Q. Acy (bad pass; steal by L. James)
0:52.0,K. Irving misses 2-pt shot from 16 ft,,46-51,,
0:51.0,Offensive rebound by K. Love,,46-51,,
0:49.0,,,46-51,,Personal foul by A. Stoudemire (drawn by K. Love)
0:49.0,K. Love misses free throw 1 of 2,,46-51,,
0:49.0,Offensive rebound by Team,,46-51,,
0:49.0,,,46-51,,J. Smith enters the game for Q. Acy
0:49.0,D. Waiters enters the game for S. Marion,,46-51,,
0:49.0,K. Love makes free throw 2 of 2,1,47-51,,
0:30.0,Personal foul by T. Thompson (drawn by A. Stoudemire),,47-51,,
0:30.0,,,47-52,1,A. Stoudemire makes free throw 1 of 2
0:30.0,,,47-53,1,A. Stoudemire makes free throw 2 of 2
0:14.0,K. Irving makes 3-pt shot from 27 ft (assist by L. James),3,50-53,,
0:02.0,,,50-53,,S. Larkin misses 3-pt shot from 24 ft
0:00.0,,,50-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-55,2,Q. Acy makes 2-pt shot from 19 ft (assist by J. Calderon)
11:16.0,A. Varejao misses 2-pt shot from 15 ft,,50-55,,
11:15.0,,,50-55,,Defensive rebound by Q. Acy
11:04.0,,,50-55,,Turnover by A. Stoudemire (lost ball; steal by A. Varejao)
10:48.0,Turnover by L. James (bad pass; steal by C. Anthony),,50-55,,
10:37.0,,,50-55,,Turnover by C. Anthony (bad pass; steal by A. Varejao)
10:29.0,A. Varejao misses 2-pt shot from 2 ft (block by C. Anthony),,50-55,,
10:28.0,,,50-55,,Defensive rebound by C. Anthony
10:20.0,,,50-55,,C. Anthony misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by K. Love,,50-55,,
10:05.0,K. Love misses 2-pt shot from 7 ft,,50-55,,
10:04.0,,,50-55,,Defensive rebound by J. Calderon
9:42.0,,,50-57,2,A. Stoudemire makes 2-pt shot at rim (assist by Q. Acy)
9:23.0,A. Varejao misses 2-pt shot from 7 ft,,50-57,,
9:22.0,,,50-57,,Defensive rebound by A. Stoudemire
9:13.0,Personal foul by S. Marion (drawn by A. Stoudemire),,50-57,,
9:13.0,T. Thompson enters the game for A. Varejao,,50-57,,
9:06.0,,,50-57,,Turnover by A. Stoudemire (traveling)
8:56.0,Shooting foul by I. Shumpert (drawn by L. James),,50-57,,
8:56.0,L. James makes free throw 1 of 2,1,51-57,,
8:56.0,L. James makes free throw 2 of 2,1,52-57,,
8:43.0,,,52-57,,Turnover by A. Stoudemire (traveling)
8:28.0,T. Thompson misses 2-pt shot from 6 ft (block by A. Stoudemire),,52-57,,
8:27.0,Offensive rebound by Team,,52-57,,
8:22.0,L. James misses 3-pt shot from 26 ft,,52-57,,
8:21.0,,,52-57,,Defensive rebound by C. Anthony
8:10.0,,,52-59,2,Q. Acy makes 2-pt shot from 9 ft (assist by C. Anthony)
7:58.0,L. James misses 3-pt shot from 25 ft,,52-59,,
7:57.0,,,52-59,,Defensive rebound by A. Stoudemire
7:36.0,,,52-59,,C. Anthony misses 2-pt shot from 14 ft
7:35.0,Defensive rebound by L. James,,52-59,,
7:20.0,K. Irving makes 3-pt shot from 25 ft,3,55-59,,
7:19.0,,,55-59,,New York full timeout
7:19.0,,,55-59,,S. Dalembert enters the game for A. Stoudemire
7:03.0,,,55-59,,C. Anthony misses 2-pt shot from 20 ft
7:02.0,Defensive rebound by L. James,,55-59,,
6:57.0,S. Marion misses 2-pt shot from 2 ft,,55-59,,
6:56.0,Offensive rebound by S. Marion,,55-59,,
6:54.0,Turnover by S. Marion (bad pass; steal by I. Shumpert),,55-59,,
6:50.0,,,55-61,2,Q. Acy makes 2-pt shot at rim (assist by I. Shumpert)
6:36.0,,,55-61,,Personal foul by S. Dalembert (drawn by K. Love)
6:25.0,S. Marion makes 3-pt shot from 22 ft (assist by L. James),3,58-61,,
6:06.0,,,58-61,,J. Calderon misses 3-pt shot from 28 ft
6:05.0,Defensive rebound by K. Love,,58-61,,
5:56.0,,,58-61,,Personal block foul by I. Shumpert (drawn by K. Irving)
5:56.0,,,58-61,,Violation by I. Shumpert (kicked ball)
5:46.0,K. Love misses 3-pt shot from 25 ft,,58-61,,
5:45.0,,,58-61,,Defensive rebound by I. Shumpert
5:26.0,,,58-61,,I. Shumpert misses 3-pt shot from 25 ft
5:25.0,,,58-61,,Offensive rebound by C. Anthony
5:21.0,,,58-61,,J. Calderon misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by L. James,,58-61,,
5:16.0,Turnover by L. James (bad pass; steal by I. Shumpert),,58-61,,
5:12.0,,,58-61,,Shooting foul by K. Irving (drawn by Q. Acy)
5:12.0,,,58-61,,Q. Acy misses free throw 1 of 2
5:12.0,,,58-61,,Offensive rebound by Team
5:12.0,D. Waiters enters the game for S. Marion,,58-61,,
5:12.0,,,58-62,1,Q. Acy makes free throw 2 of 2
5:01.0,Shooting foul by J. Calderon (drawn by K. Irving),,58-62,,
5:01.0,K. Irving makes free throw 1 of 2,1,59-62,,
5:01.0,K. Irving makes free throw 2 of 2,1,60-62,,
4:48.0,,,60-62,,I. Shumpert misses 2-pt shot from 20 ft
4:47.0,,,60-62,,Offensive rebound by Q. Acy
4:44.0,,,60-64,2,C. Anthony makes 2-pt shot from 21 ft (assist by Q. Acy)
4:20.0,K. Irving makes 2-pt shot from 12 ft,2,62-64,,
3:58.0,,,62-64,,Turnover by Q. Acy (bad pass)
3:50.0,K. Irving misses 3-pt shot from 25 ft,,62-64,,
3:49.0,,,62-64,,Defensive rebound by Q. Acy
3:29.0,,,62-64,,C. Anthony misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by T. Thompson,,62-64,,
3:21.0,L. James makes 2-pt shot from 1 ft,2,64-64,,
3:11.0,,,64-64,,Offensive foul by C. Anthony
3:11.0,,,64-64,,Turnover by C. Anthony (offensive foul)
3:11.0,,,64-64,,S. Larkin enters the game for J. Calderon
2:48.0,T. Thompson misses 2-pt shot from 3 ft,,64-64,,
2:47.0,,,64-64,,Defensive rebound by S. Dalembert
2:35.0,,,64-64,,C. Anthony misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by K. Love,,64-64,,
2:26.0,K. Irving makes 2-pt shot from 2 ft,2,66-64,,
2:14.0,,,66-64,,C. Anthony misses 2-pt shot from 15 ft
2:13.0,,,66-64,,Offensive rebound by Team
2:13.0,Loose ball foul by K. Love (drawn by S. Dalembert),,66-64,,
2:13.0,Cleveland full timeout,,66-64,,
2:13.0,,,66-64,,T. Hardaway enters the game for C. Anthony
2:13.0,,,66-64,,J. Smith enters the game for I. Shumpert
2:13.0,,,66-64,,J. Smith enters the game for Q. Acy
2:13.0,,,66-64,,A. Stoudemire enters the game for S. Dalembert
1:56.0,,,66-66,2,A. Stoudemire makes 2-pt shot from 2 ft
1:38.0,K. Irving misses 2-pt shot from 20 ft,,66-66,,
1:37.0,,,66-66,,Defensive rebound by A. Stoudemire
1:17.0,,,66-66,,T. Hardaway misses 3-pt shot from 23 ft
1:16.0,,,66-66,,Offensive rebound by J. Smith
1:12.0,,,66-69,3,S. Larkin makes 3-pt shot from 26 ft (assist by J. Smith)
0:55.0,L. James makes 2-pt shot from 1 ft (assist by D. Waiters),2,68-69,,
0:39.0,,,68-69,,S. Larkin misses 3-pt shot from 22 ft
0:37.0,,,68-69,,Offensive rebound by Team
0:37.0,A. Price enters the game for K. Irving,,68-69,,
0:32.0,,,68-71,2,A. Stoudemire makes 2-pt shot at rim (assist by S. Larkin)
0:14.0,Turnover by D. Waiters (lost ball; steal by A. Stoudemire),,68-71,,
