time,Milwaukee,pts.away,score,pts.home,Orlando
7:17.0,E. Ilyasova misses 2-pt shot from 11 ft,,10-5,,
7:17.0,,,10-5,,Defensive rebound by T. Harris
7:05.0,,,10-5,,C. Frye misses 2-pt shot from 4 ft
7:03.0,,,10-5,,Offensive rebound by C. Frye
7:00.0,,,10-5,,Shooting foul by E. Ilyasova (drawn by E. Fournier)
7:00.0,,,10-5,,E. Fournier misses free throw 1 of 2
7:00.0,,,10-5,,Offensive rebound by Team
7:00.0,G. Antetokounmpo enters the game for E. Ilyasova,,10-5,,
7:00.0,,,10-6,1,E. Fournier makes free throw 2 of 2
6:47.0,L. Sanders makes 2-pt shot from 5 ft (assist by B. Knight),2,12-6,,
6:33.0,,,12-6,,C. Frye misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by L. Sanders,,12-6,,
6:23.0,Shooting foul by E. Payton (drawn by B. Knight),,12-6,,
6:23.0,B. Knight makes 2-pt shot from 2 ft,2,14-6,,
6:23.0,B. Knight makes free throw 1 of 1,1,15-6,,
6:10.0,,,15-6,,Turnover by N. Vucevic (lost ball; steal by L. Sanders)
5:58.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,17-6,,
5:53.0,,,17-6,,Orlando full timeout
5:46.0,,,17-6,,E. Fournier misses 2-pt shot from 1 ft
5:45.0,,,17-6,,Offensive rebound by E. Fournier
5:44.0,,,17-6,,E. Fournier misses 2-pt shot from 5 ft
5:42.0,Defensive rebound by J. Dudley,,17-6,,
5:33.0,B. Knight makes 2-pt shot at rim,2,19-6,,
5:21.0,,,19-8,2,N. Vucevic makes 2-pt shot from 2 ft (assist by T. Harris)
5:04.0,Turnover by B. Knight (lost ball; steal by E. Payton),,19-8,,
5:01.0,,,19-8,,Turnover by E. Payton (bad pass; steal by L. Sanders)
4:55.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,21-8,,
4:49.0,Personal foul by G. Antetokounmpo (drawn by C. Frye),,21-8,,
4:49.0,,,21-8,,L. Ridnour enters the game for E. Payton
4:49.0,,,21-8,,A. Gordon enters the game for C. Frye
4:49.0,O. Mayo enters the game for L. Sanders,,21-8,,
4:49.0,Z. Pachulia enters the game for J. Dudley,,21-8,,
4:31.0,,,21-8,,Turnover by Team (shot clock)
4:17.0,B. Knight misses 2-pt shot from 20 ft,,21-8,,
4:17.0,,,21-8,,Defensive rebound by N. Vucevic
4:04.0,,,21-10,2,T. Harris makes 2-pt shot from 3 ft (assist by N. Vucevic)
3:52.0,O. Mayo misses 2-pt shot from 21 ft,,21-10,,
3:51.0,,,21-10,,Defensive rebound by L. Ridnour
3:45.0,,,21-12,2,A. Gordon makes 2-pt shot from 1 ft (assist by L. Ridnour)
3:45.0,Milwaukee full timeout,,21-12,,
3:45.0,J. Bayless enters the game for J. Parker,,21-12,,
3:45.0,,,21-12,,V. Oladipo enters the game for E. Fournier
3:33.0,O. Mayo misses 3-pt shot from 26 ft,,21-12,,
3:33.0,,,21-12,,Defensive rebound by V. Oladipo
3:13.0,,,21-12,,T. Harris misses 2-pt shot from 6 ft
3:13.0,Defensive rebound by Team,,21-12,,
3:01.0,Z. Pachulia misses 2-pt shot from 17 ft,,21-12,,
3:00.0,,,21-12,,Defensive rebound by A. Gordon
2:54.0,Personal foul by Z. Pachulia (drawn by N. Vucevic),,21-12,,
2:54.0,,,21-13,1,N. Vucevic makes free throw 1 of 2
2:54.0,,,21-13,,N. Vucevic misses free throw 2 of 2
2:51.0,Defensive rebound by G. Antetokounmpo,,21-13,,
2:33.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,21-13,,
2:32.0,Offensive rebound by Z. Pachulia,,21-13,,
2:31.0,Z. Pachulia misses 2-pt shot at rim (block by N. Vucevic),,21-13,,
2:29.0,,,21-13,,Defensive rebound by L. Ridnour
2:21.0,,,21-15,2,N. Vucevic makes 2-pt shot at rim
2:07.0,J. Bayless misses 3-pt shot from 23 ft,,21-15,,
2:07.0,,,21-15,,Defensive rebound by V. Oladipo
1:59.0,,,21-15,,T. Harris misses 2-pt shot from 7 ft
1:57.0,,,21-15,,Offensive rebound by N. Vucevic
1:57.0,,,21-15,,N. Vucevic misses 2-pt shot from 2 ft
1:56.0,Defensive rebound by Z. Pachulia,,21-15,,
1:50.0,B. Knight makes 3-pt shot from 23 ft (assist by O. Mayo),3,24-15,,
1:33.0,,,24-15,,Shooting foul by Z. Pachulia (drawn by N. Vucevic)
1:33.0,,,24-16,1,N. Vucevic makes free throw 1 of 2
1:33.0,,,24-16,,W. Green enters the game for T. Harris
1:33.0,,,24-17,1,N. Vucevic makes free throw 2 of 2
1:22.0,B. Knight misses 3-pt shot from 25 ft,,24-17,,
1:21.0,Offensive rebound by G. Antetokounmpo,,24-17,,
1:16.0,J. Bayless misses 3-pt shot from 25 ft,,24-17,,
1:15.0,,,24-17,,Defensive rebound by A. Gordon
1:06.0,Personal foul by B. Knight (drawn by V. Oladipo),,24-17,,
1:06.0,,,24-18,1,V. Oladipo makes free throw 1 of 2
1:06.0,,,24-18,,C. Frye enters the game for N. Vucevic
1:06.0,J. Henson enters the game for Z. Pachulia,,24-18,,
1:06.0,,,24-19,1,V. Oladipo makes free throw 2 of 2
0:56.0,G. Antetokounmpo makes 2-pt shot from 6 ft (assist by O. Mayo),2,26-19,,
0:42.0,,,26-22,3,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Gordon)
0:33.0,Shooting foul by C. Frye (drawn by J. Henson),,26-22,,
0:33.0,J. Henson makes free throw 1 of 2,1,27-22,,
0:33.0,J. Henson makes free throw 2 of 2,1,28-22,,
0:21.0,,,28-25,3,C. Frye makes 3-pt shot from 24 ft (assist by V. Oladipo)
0:04.0,B. Knight makes 2-pt shot at rim,2,30-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Henson makes 2-pt shot at rim (assist by O. Mayo),2,32-25,,
11:38.0,,,32-25,,Turnover by L. Ridnour (bad pass; steal by J. Bayless)
11:34.0,Turnover by J. Bayless (bad pass; steal by C. Frye),,32-25,,
11:28.0,,,32-28,3,L. Ridnour makes 3-pt shot from 26 ft (assist by W. Green)
11:09.0,O. Mayo makes 2-pt shot from 7 ft,2,34-28,,
10:56.0,,,34-30,2,W. Green makes 2-pt shot at rim (assist by C. Frye)
10:42.0,O. Mayo misses 3-pt shot from 23 ft,,34-30,,
10:42.0,,,34-30,,Defensive rebound by L. Ridnour
10:32.0,Personal foul by J. Bayless (drawn by C. Frye),,34-30,,
10:28.0,,,34-30,,V. Oladipo misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by J. Henson,,34-30,,
10:21.0,Offensive foul by J. Henson,,34-30,,
10:21.0,Turnover by J. Henson (offensive foul),,34-30,,
10:00.0,,,34-30,,Shooting foul by G. Antetokounmpo (drawn by V. Oladipo)
10:00.0,,,34-31,1,V. Oladipo makes free throw 1 of 2
10:00.0,,,34-32,1,V. Oladipo makes free throw 2 of 2
9:40.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Gordon),,34-32,,
9:39.0,,,34-32,,Defensive rebound by C. Frye
9:32.0,,,34-34,2,A. Gordon makes 2-pt shot at rim (assist by L. Ridnour)
9:07.0,J. Henson makes 2-pt shot from 2 ft (assist by N. Wolters),2,36-34,,
8:47.0,,,36-34,,C. Frye misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by J. Henson,,36-34,,
8:41.0,N. Wolters misses 2-pt shot from 17 ft,,36-34,,
8:40.0,Offensive rebound by G. Antetokounmpo,,36-34,,
8:40.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,36-34,,
8:39.0,,,36-34,,Defensive rebound by Team
8:39.0,Official timeout,,36-34,,
8:39.0,J. Dudley enters the game for G. Antetokounmpo,,36-34,,
8:39.0,J. Parker enters the game for O. Mayo,,36-34,,
8:39.0,,,36-34,,E. Fournier enters the game for V. Oladipo
8:28.0,,,36-36,2,A. Gordon makes 2-pt shot at rim (assist by L. Ridnour)
8:14.0,J. Dudley misses 2-pt shot from 22 ft,,36-36,,
8:13.0,,,36-36,,Defensive rebound by A. Gordon
8:07.0,,,36-36,,Shooting foul by J. Dudley (drawn by A. Gordon)
8:07.0,,,36-37,1,A. Gordon makes free throw 1 of 2
8:07.0,,,36-38,1,A. Gordon makes free throw 2 of 2
7:50.0,N. Wolters makes 2-pt shot from 2 ft (assist by J. Henson),2,38-38,,
7:35.0,,,38-41,3,C. Frye makes 3-pt shot from 25 ft (assist by A. Gordon)
7:08.0,J. Parker misses 2-pt shot from 16 ft,,38-41,,
7:07.0,,,38-41,,Defensive rebound by C. Frye
6:58.0,,,38-41,,Turnover by W. Green (lost ball; steal by N. Wolters)
6:41.0,N. Wolters makes 2-pt shot from 1 ft (assist by J. Henson),2,40-41,,
6:29.0,,,40-43,2,L. Ridnour makes 2-pt shot from 19 ft
6:14.0,Turnover by J. Bayless (bad pass; steal by A. Gordon),,40-43,,
6:13.0,Personal foul by N. Wolters (drawn by A. Gordon),,40-43,,
6:13.0,Milwaukee full timeout,,40-43,,
6:13.0,L. Sanders enters the game for J. Bayless,,40-43,,
6:13.0,B. Knight enters the game for J. Henson,,40-43,,
6:13.0,,,40-43,,E. Payton enters the game for L. Ridnour
6:13.0,,,40-43,,T. Harris enters the game for A. Gordon
6:13.0,,,40-43,,V. Oladipo enters the game for W. Green
6:01.0,,,40-43,,V. Oladipo misses 2-pt shot from 1 ft (block by L. Sanders)
6:00.0,Defensive rebound by B. Knight,,40-43,,
5:57.0,Turnover by J. Parker (step out of bounds),,40-43,,
5:46.0,,,40-43,,C. Frye misses 3-pt shot from 25 ft
5:46.0,,,40-43,,Offensive rebound by Team
5:46.0,Loose ball foul by J. Parker (drawn by T. Harris),,40-43,,
5:46.0,,,40-44,1,T. Harris makes free throw 1 of 2
5:46.0,,,40-45,1,T. Harris makes free throw 2 of 2
5:25.0,J. Parker misses 2-pt shot from 11 ft,,40-45,,
5:25.0,,,40-45,,Defensive rebound by C. Frye
5:10.0,Personal foul by L. Sanders (drawn by V. Oladipo),,40-45,,
5:10.0,,,40-46,1,V. Oladipo makes free throw 1 of 2
5:10.0,,,40-46,,V. Oladipo misses free throw 2 of 2
5:08.0,Defensive rebound by J. Parker,,40-46,,
4:55.0,J. Parker misses 2-pt shot from 16 ft,,40-46,,
4:55.0,,,40-46,,Defensive rebound by E. Payton
4:40.0,,,40-46,,V. Oladipo misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by L. Sanders,,40-46,,
4:29.0,B. Knight misses 3-pt shot from 24 ft,,40-46,,
4:28.0,,,40-46,,Defensive rebound by C. Frye
4:09.0,,,40-46,,V. Oladipo misses 2-pt shot from 19 ft
4:07.0,Defensive rebound by B. Knight,,40-46,,
3:59.0,,,40-46,,Personal foul by V. Oladipo (drawn by J. Parker)
3:59.0,,,40-46,,N. Vucevic enters the game for C. Frye
3:48.0,Turnover by J. Parker (offensive foul),,40-46,,
3:48.0,Offensive charge foul by J. Parker,,40-46,,
3:31.0,,,40-46,,T. Harris misses 2-pt shot from 2 ft
3:30.0,,,40-46,,Offensive rebound by T. Harris
3:30.0,,,40-46,,Shooting foul by L. Sanders (drawn by T. Harris)
3:30.0,,,40-47,1,T. Harris makes free throw 1 of 2
3:30.0,Z. Pachulia enters the game for L. Sanders,,40-47,,
3:30.0,,,40-48,1,T. Harris makes free throw 2 of 2
3:12.0,J. Dudley misses 2-pt shot from 12 ft,,40-48,,
3:11.0,,,40-48,,Defensive rebound by E. Payton
2:53.0,,,40-48,,E. Fournier misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by Z. Pachulia,,40-48,,
2:43.0,B. Knight makes 2-pt shot from 2 ft,2,42-48,,
2:37.0,,,42-48,,Orlando full timeout
2:37.0,,,42-48,,L. Ridnour enters the game for V. Oladipo
2:37.0,O. Mayo enters the game for J. Parker,,42-48,,
2:37.0,G. Antetokounmpo enters the game for N. Wolters,,42-48,,
2:24.0,,,42-48,,E. Payton misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by J. Dudley,,42-48,,
2:20.0,Shooting foul by L. Ridnour (drawn by B. Knight),,42-48,,
2:20.0,B. Knight misses free throw 1 of 2,,42-48,,
2:20.0,Offensive rebound by Team,,42-48,,
2:20.0,B. Knight makes free throw 2 of 2,1,43-48,,
1:59.0,,,43-48,,T. Harris misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by Z. Pachulia,,43-48,,
1:37.0,B. Knight makes 2-pt shot from 1 ft,2,45-48,,
1:17.0,,,45-48,,Turnover by L. Ridnour (bad pass; steal by B. Knight)
1:13.0,O. Mayo makes 2-pt shot at rim (assist by J. Dudley),2,47-48,,
1:00.0,,,47-50,2,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton)
0:50.0,B. Knight misses 2-pt shot from 18 ft,,47-50,,
0:49.0,,,47-50,,Defensive rebound by L. Ridnour
0:43.0,,,47-50,,E. Payton misses 2-pt shot from 1 ft
0:42.0,,,47-50,,Offensive rebound by T. Harris
0:42.0,,,47-52,2,T. Harris makes 2-pt shot from 1 ft
0:24.0,O. Mayo misses 2-pt shot from 5 ft,,47-52,,
0:22.0,Offensive rebound by G. Antetokounmpo,,47-52,,
0:22.0,,,47-52,,Personal foul by N. Vucevic (drawn by G. Antetokounmpo)
0:22.0,,,47-52,,A. Gordon enters the game for L. Ridnour
0:22.0,,,47-52,,C. Frye enters the game for N. Vucevic
0:20.0,J. Dudley makes 2-pt shot at rim (assist by Z. Pachulia),2,49-52,,
0:03.0,,,49-52,,E. Fournier misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by G. Antetokounmpo,,49-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,,,49-52,,Personal foul by E. Payton (drawn by B. Knight)
11:37.0,B. Knight misses 3-pt shot from 22 ft,,49-52,,
11:37.0,,,49-52,,Defensive rebound by T. Harris
11:15.0,,,49-52,,E. Fournier misses 2-pt shot from 21 ft
11:14.0,Defensive rebound by E. Ilyasova,,49-52,,
11:02.0,E. Ilyasova makes 2-pt shot from 17 ft (assist by B. Knight),2,51-52,,
10:46.0,,,51-54,2,E. Fournier makes 2-pt shot from 6 ft
10:46.0,,,51-54,,Shooting foul by E. Ilyasova (drawn by E. Fournier)
10:46.0,,,51-55,1,E. Fournier makes free throw 1 of 1
10:33.0,Shooting foul by E. Payton (drawn by B. Knight),,51-55,,
10:33.0,B. Knight makes free throw 1 of 2,1,52-55,,
10:33.0,B. Knight makes free throw 2 of 2,1,53-55,,
10:08.0,,,53-55,,E. Payton misses 2-pt shot from 2 ft (block by L. Sanders)
10:07.0,Defensive rebound by J. Dudley,,53-55,,
10:01.0,E. Ilyasova misses 3-pt shot from 26 ft,,53-55,,
10:01.0,,,53-55,,Defensive rebound by Team
9:53.0,,,53-55,,Turnover by E. Fournier (traveling)
9:42.0,Shooting foul by E. Payton (drawn by E. Ilyasova),,53-55,,
9:42.0,E. Ilyasova makes free throw 1 of 2,1,54-55,,
9:42.0,,,54-55,,V. Oladipo enters the game for E. Payton
9:42.0,E. Ilyasova makes free throw 2 of 2,1,55-55,,
9:27.0,,,55-55,,V. Oladipo misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by Team,,55-55,,
9:15.0,Turnover by B. Knight (bad pass; steal by C. Frye),,55-55,,
9:08.0,,,55-55,,E. Fournier misses 3-pt shot from 22 ft
9:07.0,Defensive rebound by L. Sanders,,55-55,,
8:54.0,Turnover by J. Dudley (traveling),,55-55,,
8:40.0,,,55-55,,Shooting foul by L. Sanders (drawn by V. Oladipo)
8:40.0,,,55-55,,V. Oladipo misses free throw 1 of 2
8:40.0,,,55-55,,Offensive rebound by Team
8:40.0,Z. Pachulia enters the game for L. Sanders,,55-55,,
8:40.0,,,55-56,1,V. Oladipo makes free throw 2 of 2
8:29.0,E. Ilyasova misses 2-pt shot from 2 ft,,55-56,,
8:29.0,Offensive rebound by Team,,55-56,,
8:16.0,E. Ilyasova misses 3-pt shot from 24 ft,,55-56,,
8:15.0,,,55-56,,Defensive rebound by N. Vucevic
8:05.0,,,55-58,2,T. Harris makes 2-pt shot from 1 ft
7:49.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by B. Knight),2,57-58,,
7:33.0,,,57-58,,T. Harris misses 2-pt shot from 4 ft (block by J. Parker)
7:32.0,Defensive rebound by Z. Pachulia,,57-58,,
7:19.0,B. Knight misses 3-pt shot from 23 ft,,57-58,,
7:19.0,,,57-58,,Defensive rebound by T. Harris
7:04.0,,,57-58,,N. Vucevic misses 2-pt shot from 9 ft
7:03.0,Defensive rebound by J. Dudley,,57-58,,
6:45.0,E. Ilyasova misses 2-pt shot from 1 ft,,57-58,,
6:44.0,,,57-58,,Defensive rebound by C. Frye
6:33.0,,,57-61,3,T. Harris makes 3-pt shot from 24 ft (assist by V. Oladipo)
6:14.0,J. Dudley misses 2-pt shot from 3 ft,,57-61,,
6:14.0,,,57-61,,Defensive rebound by Team
6:14.0,Loose ball foul by Z. Pachulia (drawn by N. Vucevic),,57-61,,
5:54.0,,,57-61,,Shooting foul by B. Knight (drawn by T. Harris)
5:54.0,,,57-61,,Orlando full timeout
5:54.0,O. Mayo enters the game for J. Parker,,57-61,,
5:54.0,G. Antetokounmpo enters the game for J. Dudley,,57-61,,
5:54.0,,,57-61,,T. Harris misses free throw 1 of 2
5:54.0,,,57-61,,Offensive rebound by Team
5:54.0,,,57-62,1,T. Harris makes free throw 2 of 2
5:30.0,E. Ilyasova misses 2-pt shot from 18 ft,,57-62,,
5:29.0,,,57-62,,Defensive rebound by N. Vucevic
5:17.0,,,57-62,,Offensive foul by N. Vucevic
5:17.0,,,57-62,,Turnover by N. Vucevic (offensive foul)
5:03.0,Turnover by O. Mayo (lost ball; steal by C. Frye),,57-62,,
4:52.0,,,57-64,2,E. Fournier makes 2-pt shot from 2 ft
4:33.0,Z. Pachulia makes 2-pt shot from 10 ft,2,59-64,,
4:18.0,,,59-67,3,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic)
4:00.0,Turnover by Z. Pachulia (bad pass),,59-67,,
4:00.0,J. Parker enters the game for E. Ilyasova,,59-67,,
3:41.0,,,59-69,2,T. Harris makes 2-pt shot at rim (assist by N. Vucevic)
3:27.0,B. Knight misses 3-pt shot from 25 ft,,59-69,,
3:25.0,,,59-69,,Defensive rebound by C. Frye
3:08.0,,,59-71,2,V. Oladipo makes 2-pt shot from 1 ft
2:52.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,61-71,,
2:34.0,,,61-73,2,V. Oladipo makes 2-pt shot from 18 ft
2:14.0,B. Knight makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,64-73,,
1:54.0,,,64-73,,T. Harris misses 2-pt shot from 17 ft
1:54.0,Defensive rebound by J. Parker,,64-73,,
1:48.0,Shooting foul by T. Harris (drawn by J. Parker),,64-73,,
1:48.0,Milwaukee full timeout,,64-73,,
1:48.0,,,64-73,,L. Ridnour enters the game for C. Frye
1:48.0,,,64-73,,A. Gordon enters the game for V. Oladipo
1:48.0,J. Parker makes free throw 1 of 2,1,65-73,,
1:48.0,J. Parker makes free throw 2 of 2,1,66-73,,
1:25.0,,,66-73,,L. Ridnour misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by B. Knight,,66-73,,
1:06.0,Turnover by Z. Pachulia (lost ball; steal by N. Vucevic),,66-73,,
0:59.0,Personal foul by Z. Pachulia (drawn by N. Vucevic),,66-73,,
0:59.0,,,66-74,1,N. Vucevic makes free throw 1 of 2
0:59.0,J. Henson enters the game for Z. Pachulia,,66-74,,
0:59.0,,,66-74,,E. Payton enters the game for T. Harris
0:59.0,,,66-75,1,N. Vucevic makes free throw 2 of 2
0:41.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,68-75,,
0:32.0,,,68-78,3,E. Fournier makes 3-pt shot from 24 ft (assist by A. Gordon)
0:13.0,Jump ball: G. Antetokounmpo vs. E. Payton (B. Knight gains possession),,,,Jump ball: G. Antetokounmpo vs. E. Payton (B. Knight gains possession)
0:08.0,Turnover by Team (shot clock),,68-78,,
0:02.0,,,68-80,2,E. Payton makes 2-pt shot from 20 ft (assist by E. Fournier)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,68-82,2,T. Harris makes 2-pt shot from 16 ft
11:23.0,O. Mayo misses 2-pt shot from 18 ft,,68-82,,
11:23.0,,,68-82,,Defensive rebound by T. Harris
11:10.0,,,68-82,,W. Green misses 2-pt shot at rim (block by J. Henson)
11:10.0,,,68-82,,Offensive rebound by Team
11:03.0,,,68-82,,T. Harris misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by J. Henson,,68-82,,
10:49.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,68-82,,
10:48.0,,,68-82,,Defensive rebound by T. Harris
10:31.0,,,68-82,,T. Harris misses 3-pt shot from 23 ft
10:31.0,Defensive rebound by J. Henson,,68-82,,
10:19.0,N. Wolters misses 2-pt shot from 5 ft,,68-82,,
10:18.0,,,68-82,,Defensive rebound by C. Frye
10:13.0,,,68-82,,W. Green misses 3-pt shot from 22 ft
10:11.0,,,68-82,,Offensive rebound by T. Harris
10:06.0,,,68-84,2,T. Harris makes 2-pt shot from 1 ft
9:39.0,J. Bayless misses 2-pt shot from 1 ft,,68-84,,
9:39.0,Offensive rebound by J. Henson,,68-84,,
9:27.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,70-84,,
9:17.0,,,70-84,,Turnover by E. Payton (bad pass)
9:05.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,72-84,,
8:49.0,,,72-84,,C. Frye misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by N. Wolters,,72-84,,
8:39.0,J. Henson makes 2-pt shot from 6 ft (assist by N. Wolters),2,74-84,,
8:39.0,,,74-84,,Orlando full timeout
8:39.0,,,74-84,,E. Fournier enters the game for C. Frye
8:39.0,,,74-84,,V. Oladipo enters the game for E. Payton
8:39.0,,,74-84,,N. Vucevic enters the game for L. Ridnour
8:22.0,,,74-84,,Turnover by V. Oladipo (bad pass; steal by G. Antetokounmpo)
8:16.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,76-84,,
7:56.0,,,76-84,,W. Green misses 2-pt shot at rim
7:56.0,,,76-84,,Offensive rebound by N. Vucevic
7:56.0,,,76-86,2,N. Vucevic makes 2-pt shot at rim
7:46.0,O. Mayo misses 2-pt shot from 2 ft,,76-86,,
7:45.0,,,76-86,,Defensive rebound by N. Vucevic
7:31.0,,,76-86,,V. Oladipo misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by G. Antetokounmpo,,76-86,,
7:12.0,O. Mayo makes 2-pt shot from 17 ft,2,78-86,,
6:54.0,,,78-88,2,N. Vucevic makes 2-pt shot from 1 ft
6:45.0,G. Antetokounmpo makes 2-pt shot at rim,2,80-88,,
6:45.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,80-88,,
6:45.0,B. Knight enters the game for N. Wolters,,80-88,,
6:45.0,G. Antetokounmpo makes free throw 1 of 1,1,81-88,,
6:29.0,,,81-90,2,N. Vucevic makes 2-pt shot at rim (assist by T. Harris)
6:15.0,J. Henson makes 2-pt shot from 8 ft,2,83-90,,
5:55.0,Official timeout,,83-90,,
5:55.0,L. Sanders enters the game for J. Henson,,83-90,,
5:52.0,,,83-90,,Offensive foul by T. Harris
5:52.0,,,83-90,,Turnover by T. Harris (offensive foul)
5:33.0,O. Mayo misses 3-pt shot from 24 ft,,83-90,,
5:33.0,,,83-90,,Defensive rebound by E. Fournier
5:22.0,,,83-92,2,T. Harris makes 2-pt shot at rim (assist by N. Vucevic)
5:10.0,Turnover by B. Knight (bad pass),,83-92,,
5:02.0,Personal foul by J. Bayless (drawn by V. Oladipo),,83-92,,
4:58.0,,,83-92,,Turnover by N. Vucevic (bad pass)
4:34.0,O. Mayo misses 3-pt shot from 24 ft,,83-92,,
4:34.0,,,83-92,,Defensive rebound by E. Fournier
4:19.0,,,83-92,,W. Green misses 2-pt shot from 17 ft
4:18.0,,,83-92,,Offensive rebound by N. Vucevic
4:16.0,,,83-94,2,N. Vucevic makes 2-pt shot at rim
3:50.0,J. Bayless misses 2-pt shot from 3 ft (block by T. Harris),,83-94,,
3:49.0,,,83-94,,Defensive rebound by V. Oladipo
3:45.0,,,83-94,,E. Fournier misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by G. Antetokounmpo,,83-94,,
3:34.0,,,83-94,,Personal foul by E. Fournier (drawn by G. Antetokounmpo)
3:28.0,B. Knight misses 3-pt shot from 25 ft,,83-94,,
3:27.0,,,83-94,,Defensive rebound by T. Harris
3:13.0,,,83-94,,Turnover by N. Vucevic (traveling)
3:06.0,Shooting foul by W. Green (drawn by L. Sanders),,83-94,,
3:06.0,L. Sanders misses free throw 1 of 2,,83-94,,
3:06.0,Offensive rebound by Team,,83-94,,
3:06.0,J. Parker enters the game for O. Mayo,,83-94,,
3:06.0,L. Sanders misses free throw 2 of 2,,83-94,,
3:04.0,,,83-94,,Defensive rebound by E. Fournier
2:50.0,,,83-97,3,W. Green makes 3-pt shot from 23 ft (assist by E. Fournier)
