time,Charlotte,pts.away,score,pts.home,Miami
8:10.0,,,9-8,,D. Wade misses free throw 2 of 2
8:09.0,Defensive rebound by M. Williams,,9-8,,
7:59.0,G. Henderson makes 2-pt shot from 3 ft,2,11-8,,
7:59.0,Shooting foul by H. Whiteside (drawn by G. Henderson),,11-8,,
7:59.0,,,11-8,,C. Andersen enters the game for H. Whiteside
7:59.0,G. Henderson makes free throw 1 of 1,1,12-8,,
7:43.0,,,12-10,2,D. Wade makes 2-pt shot from 7 ft
7:24.0,M. Williams makes 2-pt shot from 7 ft,2,14-10,,
7:14.0,,,14-10,,Turnover by C. Andersen (bad pass; steal by J. Taylor)
7:08.0,G. Henderson misses 2-pt shot from 1 ft,,14-10,,
7:06.0,,,14-10,,Defensive rebound by L. Deng
6:56.0,,,14-10,,U. Haslem misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by B. Biyombo,,14-10,,
6:49.0,,,14-10,,Personal foul by G. Dragic (drawn by K. Walker)
6:49.0,,,14-10,,M. Chalmers enters the game for G. Dragic
6:46.0,J. Taylor makes 2-pt shot from 1 ft (assist by G. Henderson),2,16-10,,
6:27.0,,,16-10,,C. Andersen misses 2-pt shot from 1 ft (block by B. Biyombo)
6:26.0,Defensive rebound by M. Williams,,16-10,,
6:09.0,M. Williams misses 2-pt shot from 21 ft,,16-10,,
6:08.0,Offensive rebound by B. Biyombo,,16-10,,
6:04.0,Turnover by K. Walker (lost ball),,16-10,,
5:46.0,,,16-10,,U. Haslem misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by M. Williams,,16-10,,
5:40.0,G. Henderson misses 2-pt shot from 20 ft,,16-10,,
5:39.0,Offensive rebound by B. Biyombo,,16-10,,
5:38.0,B. Biyombo makes 2-pt shot at rim,2,18-10,,
5:35.0,,,18-10,,Miami full timeout
5:35.0,,,18-10,,J. Ennis enters the game for U. Haslem
5:22.0,,,18-10,,J. Ennis misses 2-pt shot from 3 ft (block by B. Biyombo)
5:21.0,,,18-10,,Offensive rebound by Team
5:16.0,,,18-12,2,D. Wade makes 2-pt shot from 18 ft
5:01.0,K. Walker misses 2-pt shot from 18 ft,,18-12,,
5:00.0,,,18-12,,Defensive rebound by L. Deng
4:54.0,,,18-14,2,L. Deng makes 2-pt shot from 17 ft (assist by D. Wade)
4:33.0,M. Williams misses 3-pt shot from 24 ft,,18-14,,
4:32.0,,,18-14,,Defensive rebound by J. Ennis
4:26.0,,,18-14,,D. Wade misses 2-pt shot from 4 ft
4:25.0,,,18-14,,Offensive rebound by D. Wade
4:24.0,,,18-16,2,D. Wade makes 2-pt shot at rim
4:20.0,Charlotte full timeout,,18-16,,
4:12.0,G. Henderson misses 2-pt shot from 17 ft,,18-16,,
4:11.0,,,18-16,,Defensive rebound by J. Ennis
4:01.0,,,18-18,2,L. Deng makes 2-pt shot from 16 ft (assist by M. Chalmers)
3:33.0,M. Williams misses 2-pt shot from 1 ft,,18-18,,
3:32.0,,,18-18,,Defensive rebound by J. Ennis
3:25.0,Personal foul by G. Henderson (drawn by D. Wade),,18-18,,
3:25.0,J. Maxiell enters the game for B. Biyombo,,18-18,,
3:25.0,M. Williams enters the game for J. Taylor,,18-18,,
3:14.0,,,18-20,2,L. Deng makes 2-pt shot from 13 ft
2:59.0,K. Walker misses 2-pt shot from 15 ft,,18-20,,
2:58.0,Offensive rebound by G. Henderson,,18-20,,
2:53.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Williams),3,21-20,,
2:39.0,,,21-22,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
2:39.0,Shooting block foul by K. Walker (drawn by C. Andersen),,21-22,,
2:39.0,,,21-22,,G. Dragic enters the game for D. Wade
2:39.0,,,21-23,1,C. Andersen makes free throw 1 of 1
2:18.0,M. Williams misses 2-pt shot from 18 ft,,21-23,,
2:17.0,,,21-23,,Defensive rebound by L. Deng
2:04.0,,,21-23,,G. Dragic misses 3-pt shot from 23 ft
2:02.0,Defensive rebound by J. Maxiell,,21-23,,
2:01.0,Turnover by M. Williams (traveling),,21-23,,
1:51.0,,,21-23,,L. Deng misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by K. Walker,,21-23,,
1:36.0,J. Maxiell misses 2-pt shot from 5 ft (block by C. Andersen),,21-23,,
1:35.0,Offensive rebound by J. Maxiell,,21-23,,
1:33.0,J. Maxiell makes 2-pt shot from 1 ft,2,23-23,,
1:25.0,,,23-25,2,G. Dragic makes 2-pt shot from 1 ft
1:25.0,,,23-25,,Shooting foul by J. Maxiell (drawn by G. Dragic)
1:25.0,P. Hairston enters the game for G. Henderson,,23-25,,
1:25.0,,,23-25,,H. Walker enters the game for L. Deng
1:25.0,,,23-26,1,G. Dragic makes free throw 1 of 1
1:16.0,Offensive foul by J. Maxiell,,23-26,,
1:16.0,Turnover by J. Maxiell (offensive foul),,23-26,,
1:05.0,,,23-26,,J. Ennis misses 2-pt shot at rim
1:04.0,Defensive rebound by M. Williams,,23-26,,
0:44.0,J. Maxiell makes 2-pt shot at rim (assist by P. Hairston),2,25-26,,
0:30.0,,,25-26,,G. Dragic misses 2-pt shot from 14 ft
0:29.0,Defensive rebound by K. Walker,,25-26,,
0:19.0,M. Williams misses 2-pt shot from 23 ft,,25-26,,
0:18.0,,,25-26,,Defensive rebound by C. Andersen
0:01.0,,,25-28,2,C. Andersen makes 2-pt shot at rim (assist by G. Dragic)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,Personal foul by N. Vonleh (drawn by U. Haslem),,25-28,,
11:36.0,,,25-28,,Shooting foul by N. Vonleh (drawn by G. Dragic)
11:36.0,,,25-29,1,G. Dragic makes free throw 1 of 2
11:36.0,,,25-30,1,G. Dragic makes free throw 2 of 2
11:12.0,M. Williams misses 2-pt shot from 21 ft,,25-30,,
11:11.0,Offensive rebound by M. Williams,,25-30,,
11:02.0,M. Williams makes 2-pt shot from 12 ft,2,27-30,,
10:47.0,,,27-33,3,J. Ennis makes 3-pt shot from 23 ft (assist by G. Dragic)
10:25.0,M. Williams misses 2-pt shot from 9 ft (block by T. Johnson),,27-33,,
10:24.0,,,27-33,,Defensive rebound by H. Walker
10:18.0,,,27-33,,J. Ennis misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by J. Maxiell,,27-33,,
9:58.0,M. Williams misses 2-pt shot from 8 ft,,27-33,,
9:57.0,,,27-33,,Defensive rebound by U. Haslem
9:52.0,,,27-35,2,G. Dragic makes 2-pt shot from 1 ft
9:46.0,Charlotte full timeout,,27-35,,
9:46.0,B. Biyombo enters the game for J. Maxiell,,27-35,,
9:46.0,M. Williams enters the game for N. Vonleh,,27-35,,
9:38.0,M. Williams misses 3-pt shot from 24 ft,,27-35,,
9:37.0,,,27-35,,Defensive rebound by G. Dragic
9:25.0,,,27-35,,Turnover by G. Dragic (bad pass; steal by P. Hairston)
9:20.0,Turnover by P. Hairston (lost ball; steal by G. Dragic),,27-35,,
9:15.0,,,27-37,2,U. Haslem makes 2-pt shot at rim (assist by J. Ennis)
8:52.0,P. Hairston makes 3-pt shot from 24 ft,3,30-37,,
8:37.0,,,30-37,,Turnover by T. Johnson (lost ball; steal by B. Biyombo)
8:37.0,Jump ball: B. Biyombo vs. T. Johnson (M. Williams gains possession),,,,Jump ball: B. Biyombo vs. T. Johnson (M. Williams gains possession)
8:23.0,L. Stephenson makes 3-pt shot from 23 ft (assist by M. Williams),3,33-37,,
8:21.0,Personal foul by L. Stephenson (drawn by G. Dragic),,33-37,,
8:02.0,,,33-37,,H. Walker misses 2-pt shot from 1 ft (block by B. Biyombo)
8:01.0,Defensive rebound by M. Williams,,33-37,,
7:51.0,M. Williams makes 2-pt shot at rim (assist by B. Biyombo),2,35-37,,
7:51.0,,,35-37,,Miami full timeout
7:51.0,,,35-37,,L. Deng enters the game for U. Haslem
7:51.0,,,35-37,,H. Whiteside enters the game for J. Ennis
7:51.0,,,35-37,,D. Wade enters the game for H. Walker
7:33.0,,,35-37,,Shooting foul by M. Williams (drawn by G. Dragic)
7:33.0,,,35-38,1,G. Dragic makes free throw 1 of 2
7:33.0,,,35-39,1,G. Dragic makes free throw 2 of 2
7:31.0,Turnover by B. Biyombo (dbl dribble),,35-39,,
7:22.0,,,35-41,2,D. Wade makes 2-pt shot from 12 ft
7:03.0,L. Stephenson misses 3-pt shot from 23 ft,,35-41,,
7:02.0,Offensive rebound by M. Williams,,35-41,,
7:00.0,M. Williams misses 2-pt shot from 2 ft,,35-41,,
6:59.0,,,35-41,,Defensive rebound by T. Johnson
6:54.0,,,35-41,,G. Dragic misses 2-pt shot from 2 ft
6:53.0,,,35-41,,Offensive rebound by D. Wade
6:52.0,,,35-41,,D. Wade misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by M. Williams,,35-41,,
6:38.0,B. Biyombo makes 2-pt shot at rim (assist by M. Williams),2,37-41,,
6:24.0,,,37-41,,Shooting foul by L. Stephenson (drawn by D. Wade)
6:24.0,,,37-42,1,D. Wade makes free throw 1 of 2
6:24.0,,,37-42,,M. Chalmers enters the game for G. Dragic
6:24.0,G. Henderson enters the game for P. Hairston,,37-42,,
6:24.0,,,37-43,1,D. Wade makes free throw 2 of 2
5:59.0,L. Stephenson makes 3-pt shot from 25 ft,3,40-43,,
5:41.0,,,40-43,,H. Whiteside misses 2-pt shot from 7 ft
5:40.0,Defensive rebound by M. Williams,,40-43,,
5:28.0,L. Stephenson misses 3-pt shot from 23 ft,,40-43,,
5:27.0,,,40-43,,Defensive rebound by T. Johnson
5:16.0,,,40-45,2,L. Deng makes 2-pt shot from 14 ft (assist by T. Johnson)
4:58.0,L. Stephenson makes 2-pt shot from 19 ft,2,42-45,,
4:43.0,,,42-45,,Turnover by D. Wade (bad pass; steal by M. Williams)
4:31.0,G. Henderson makes 2-pt shot from 15 ft (assist by B. Biyombo),2,44-45,,
4:16.0,,,44-45,,Turnover by D. Wade (bad pass; steal by B. Biyombo)
4:06.0,M. Williams makes 2-pt shot from 13 ft,2,46-45,,
4:06.0,,,46-45,,Miami full timeout
4:06.0,J. Taylor enters the game for M. Williams,,46-45,,
4:06.0,K. Walker enters the game for M. Williams,,46-45,,
4:06.0,,,46-45,,G. Dragic enters the game for M. Chalmers
3:57.0,,,46-45,,Shooting foul by J. Taylor (drawn by D. Wade)
3:57.0,,,46-45,,D. Wade misses free throw 1 of 2
3:57.0,,,46-45,,Offensive rebound by Team
3:57.0,,,46-45,,J. Ennis enters the game for T. Johnson
3:57.0,,,46-46,1,D. Wade makes free throw 2 of 2
3:39.0,L. Stephenson misses 3-pt shot from 26 ft,,46-46,,
3:38.0,,,46-46,,Defensive rebound by Team
3:19.0,,,46-46,,G. Dragic misses 2-pt shot from 1 ft
3:18.0,,,46-46,,Offensive rebound by G. Dragic
3:17.0,,,46-48,2,G. Dragic makes 2-pt shot at rim
3:01.0,K. Walker makes 2-pt shot from 12 ft,2,48-48,,
2:45.0,,,48-48,,G. Dragic misses 3-pt shot from 24 ft
2:44.0,,,48-48,,Offensive rebound by Team
2:44.0,Official timeout,,48-48,,
2:44.0,M. Williams enters the game for L. Stephenson,,48-48,,
2:43.0,,,48-48,,Turnover by D. Wade (bad pass)
2:27.0,G. Henderson makes 2-pt shot at rim,2,50-48,,
1:58.0,,,50-50,2,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis)
1:47.0,,,50-50,,Personal foul by G. Dragic (drawn by M. Williams)
1:34.0,K. Walker misses 2-pt shot from 14 ft,,50-50,,
1:33.0,,,50-50,,Defensive rebound by H. Whiteside
1:25.0,,,50-52,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
1:25.0,,,50-52,,Shooting foul by J. Taylor (drawn by H. Whiteside)
1:25.0,,,50-52,,T. Johnson enters the game for G. Dragic
1:25.0,,,50-52,,H. Whiteside misses free throw 1 of 1
1:24.0,Defensive rebound by M. Williams,,50-52,,
1:12.0,K. Walker makes 2-pt shot from 1 ft,2,52-52,,
0:55.0,,,52-54,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
0:44.0,K. Walker makes 2-pt shot from 18 ft,2,54-54,,
0:33.0,,,54-54,,D. Wade misses 2-pt shot from 19 ft
0:32.0,Defensive rebound by B. Biyombo,,54-54,,
0:13.0,K. Walker misses 2-pt shot from 15 ft,,54-54,,
0:12.0,Offensive rebound by Team,,54-54,,
0:12.0,,,54-54,,Personal foul by H. Whiteside (drawn by B. Biyombo)
0:12.0,B. Biyombo misses free throw 1 of 2,,54-54,,
0:12.0,Offensive rebound by Team,,54-54,,
0:12.0,,,54-54,,U. Haslem enters the game for H. Whiteside
0:12.0,P. Hairston enters the game for J. Taylor,,54-54,,
0:12.0,B. Biyombo makes free throw 2 of 2,1,55-54,,
0:03.0,,,55-54,,Shooting foul by B. Biyombo (drawn by J. Ennis)
0:03.0,,,55-54,,J. Ennis misses free throw 1 of 2
0:03.0,,,55-54,,Offensive rebound by Team
0:03.0,,,55-55,1,J. Ennis makes free throw 2 of 2
0:00.0,K. Walker misses 3-pt shot from 39 ft,,55-55,,
0:00.0,Offensive rebound by Team,,55-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,55-55,,L. Deng misses 2-pt shot from 12 ft
11:40.0,Defensive rebound by M. Williams,,55-55,,
11:24.0,G. Henderson misses 2-pt shot from 13 ft,,55-55,,
11:23.0,,,55-55,,Defensive rebound by Team
11:13.0,,,55-55,,D. Wade misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by K. Walker,,55-55,,
11:01.0,B. Biyombo misses 2-pt shot from 5 ft,,55-55,,
11:00.0,Offensive rebound by G. Henderson,,55-55,,
10:59.0,G. Henderson makes 2-pt shot from 1 ft,2,57-55,,
10:48.0,Personal foul by G. Henderson (drawn by D. Wade),,57-55,,
10:32.0,,,57-55,,L. Deng misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by B. Biyombo,,57-55,,
10:22.0,G. Henderson makes 2-pt shot from 16 ft (assist by K. Walker),2,59-55,,
10:05.0,,,59-55,,U. Haslem misses 2-pt shot from 3 ft (block by M. Williams)
10:04.0,Defensive rebound by M. Williams,,59-55,,
9:43.0,K. Walker misses 2-pt shot from 2 ft,,59-55,,
9:42.0,,,59-55,,Defensive rebound by U. Haslem
9:36.0,,,59-55,,D. Wade misses 2-pt shot from 13 ft
9:35.0,Defensive rebound by J. Taylor,,59-55,,
9:14.0,K. Walker makes 2-pt shot from 13 ft,2,61-55,,
9:14.0,,,61-55,,Miami full timeout
9:03.0,,,61-57,2,G. Dragic makes 2-pt shot from 13 ft (assist by L. Deng)
8:44.0,M. Williams makes 2-pt shot from 19 ft (assist by K. Walker),2,63-57,,
8:22.0,,,63-59,2,H. Whiteside makes 2-pt shot from 4 ft (assist by G. Dragic)
8:08.0,,,63-59,,Personal foul by G. Dragic (drawn by K. Walker)
8:03.0,G. Henderson makes 2-pt shot at rim,2,65-59,,
7:43.0,,,65-61,2,D. Wade makes 2-pt shot from 16 ft
7:26.0,G. Henderson misses 3-pt shot from 23 ft,,65-61,,
7:25.0,,,65-61,,Defensive rebound by H. Whiteside
7:17.0,Personal foul by J. Taylor (drawn by D. Wade),,65-61,,
7:02.0,,,65-63,2,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic)
6:50.0,K. Walker misses 2-pt shot at rim (block by H. Whiteside),,65-63,,
6:49.0,,,65-63,,Defensive rebound by H. Whiteside
6:40.0,,,65-65,2,D. Wade makes 2-pt shot from 19 ft
6:18.0,K. Walker misses 2-pt shot from 18 ft,,65-65,,
6:17.0,Offensive rebound by K. Walker,,65-65,,
6:08.0,G. Henderson misses 2-pt shot from 18 ft,,65-65,,
6:07.0,,,65-65,,Defensive rebound by G. Dragic
6:06.0,Personal foul by G. Henderson (drawn by G. Dragic),,65-65,,
5:56.0,,,65-65,,L. Deng misses 2-pt shot from 15 ft
5:55.0,,,65-65,,Offensive rebound by Team
5:55.0,Loose ball foul by B. Biyombo (drawn by H. Whiteside),,65-65,,
5:48.0,,,65-65,,D. Wade misses 2-pt shot from 9 ft
5:47.0,,,65-65,,Offensive rebound by L. Deng
5:47.0,Personal foul by G. Henderson (drawn by L. Deng),,65-65,,
5:47.0,,,65-66,1,L. Deng makes free throw 1 of 2
5:47.0,L. Stephenson enters the game for G. Henderson,,65-66,,
5:47.0,,,65-66,,T. Johnson enters the game for G. Dragic
5:47.0,,,65-67,1,L. Deng makes free throw 2 of 2
5:29.0,Turnover by J. Taylor (lost ball; steal by D. Wade),,65-67,,
5:18.0,Violation by B. Biyombo (def goaltending),,65-67,,
5:18.0,,,65-69,2,U. Haslem makes 2-pt shot from 4 ft
5:02.0,L. Stephenson misses 2-pt shot from 20 ft,,65-69,,
5:01.0,,,65-69,,Defensive rebound by H. Whiteside
4:41.0,,,65-69,,H. Whiteside misses 2-pt shot from 1 ft
4:40.0,,,65-69,,Offensive rebound by U. Haslem
4:36.0,,,65-71,2,U. Haslem makes 2-pt shot from 2 ft
4:36.0,Charlotte full timeout,,65-71,,
4:36.0,M. Williams enters the game for J. Taylor,,65-71,,
4:20.0,K. Walker misses 2-pt shot from 19 ft,,65-71,,
4:19.0,,,65-71,,Defensive rebound by H. Whiteside
4:12.0,,,65-71,,Turnover by D. Wade (lost ball)
4:02.0,M. Williams misses 2-pt shot from 16 ft,,65-71,,
4:01.0,,,65-71,,Defensive rebound by H. Whiteside
3:48.0,,,65-71,,Shooting foul by L. Stephenson (drawn by D. Wade)
3:48.0,,,65-72,1,D. Wade makes free throw 1 of 2
3:48.0,,,65-73,1,D. Wade makes free throw 2 of 2
3:31.0,,,65-73,,Personal foul by H. Whiteside (drawn by L. Stephenson)
3:31.0,,,65-73,,J. Ennis enters the game for H. Whiteside
3:16.0,K. Walker misses 2-pt shot from 11 ft,,65-73,,
3:15.0,,,65-73,,Defensive rebound by L. Deng
3:11.0,,,65-75,2,U. Haslem makes 2-pt shot at rim
3:10.0,Charlotte full timeout,,65-75,,
3:02.0,,,65-75,,Personal foul by U. Haslem (drawn by M. Williams)
2:49.0,B. Biyombo makes 2-pt shot at rim (assist by M. Williams),2,67-75,,
2:26.0,,,67-75,,U. Haslem misses 2-pt shot from 6 ft
2:25.0,,,67-75,,Offensive rebound by J. Ennis
2:25.0,,,67-75,,Shooting foul by M. Williams (drawn by J. Ennis)
2:25.0,,,67-76,1,J. Ennis makes free throw 1 of 2
2:25.0,,,67-77,1,J. Ennis makes free throw 2 of 2
2:04.0,K. Walker misses 3-pt shot from 24 ft,,67-77,,
2:03.0,,,67-77,,Defensive rebound by U. Haslem
1:53.0,,,67-80,3,L. Deng makes 3-pt shot from 23 ft (assist by U. Haslem)
1:39.0,Shooting foul by U. Haslem (drawn by B. Biyombo),,67-80,,
1:39.0,B. Biyombo makes free throw 1 of 2,1,68-80,,
1:39.0,,,68-80,,G. Dragic enters the game for D. Wade
1:39.0,B. Biyombo makes free throw 2 of 2,1,69-80,,
1:21.0,,,69-82,2,G. Dragic makes 2-pt shot from 19 ft
0:59.0,M. Williams makes 2-pt shot from 15 ft,2,71-82,,
0:43.0,,,71-82,,Turnover by G. Dragic (lost ball; steal by K. Walker)
0:42.0,,,71-82,,Personal foul by U. Haslem (drawn by K. Walker)
0:42.0,K. Walker makes free throw 1 of 2,1,72-82,,
0:42.0,K. Walker makes free throw 2 of 2,1,73-82,,
0:24.0,,,73-82,,L. Deng misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by L. Stephenson,,73-82,,
0:04.0,M. Williams misses 3-pt shot from 24 ft,,73-82,,
0:03.0,Offensive rebound by B. Biyombo,,73-82,,
0:02.0,B. Biyombo makes 2-pt shot at rim,2,75-82,,
0:00.0,,,75-82,,L. Deng misses 3-pt shot from 59 ft
0:00.0,,,75-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,L. Stephenson misses 2-pt shot from 11 ft,,75-82,,
11:36.0,Offensive rebound by J. Maxiell,,75-82,,
11:35.0,J. Maxiell misses 2-pt shot at rim,,75-82,,
11:34.0,Offensive rebound by B. Biyombo,,75-82,,
11:33.0,B. Biyombo misses 2-pt shot from 2 ft (block by C. Andersen),,75-82,,
11:32.0,,,75-82,,Defensive rebound by L. Deng
11:11.0,,,75-84,2,T. Johnson makes 2-pt shot from 7 ft
10:46.0,Turnover by K. Walker (bad pass; steal by G. Dragic),,75-84,,
10:42.0,,,75-86,2,G. Dragic makes 2-pt shot at rim
10:33.0,Charlotte full timeout,,75-86,,
10:23.0,L. Stephenson misses 2-pt shot from 20 ft (block by J. Ennis),,75-86,,
10:22.0,,,75-86,,Defensive rebound by C. Andersen
10:06.0,,,75-86,,L. Deng misses 2-pt shot from 16 ft
10:05.0,Defensive rebound by J. Maxiell,,75-86,,
9:56.0,M. Williams makes 2-pt shot from 11 ft,2,77-86,,
9:40.0,,,77-86,,T. Johnson misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by B. Biyombo,,77-86,,
9:33.0,Turnover by M. Williams (lost ball; steal by T. Johnson),,77-86,,
9:22.0,,,77-86,,Shooting foul by J. Maxiell (drawn by C. Andersen)
9:22.0,,,77-86,,C. Andersen misses free throw 1 of 2
9:22.0,,,77-86,,Offensive rebound by Team
9:22.0,,,77-87,1,C. Andersen makes free throw 2 of 2
9:07.0,J. Maxiell misses 2-pt shot from 8 ft,,77-87,,
9:06.0,Offensive rebound by B. Biyombo,,77-87,,
8:53.0,J. Maxiell misses 2-pt shot from 5 ft (block by C. Andersen),,77-87,,
8:52.0,Offensive rebound by M. Williams,,77-87,,
8:43.0,K. Walker makes 2-pt shot from 1 ft,2,79-87,,
8:43.0,Shooting foul by J. Ennis (drawn by K. Walker),,79-87,,
8:43.0,K. Walker makes free throw 1 of 1,1,80-87,,
8:25.0,,,80-90,3,J. Ennis makes 3-pt shot from 24 ft (assist by T. Johnson)
8:01.0,M. Williams misses 2-pt shot from 17 ft,,80-90,,
8:00.0,,,80-90,,Defensive rebound by T. Johnson
7:57.0,,,80-90,,T. Johnson misses 2-pt shot from 1 ft
7:56.0,,,80-90,,Offensive rebound by Team
7:56.0,Loose ball foul by K. Walker (drawn by G. Dragic),,80-90,,
7:56.0,M. Williams enters the game for B. Biyombo,,80-90,,
7:56.0,G. Henderson enters the game for K. Walker,,80-90,,
7:47.0,,,80-90,,G. Dragic misses 2-pt shot from 15 ft
7:46.0,Defensive rebound by L. Stephenson,,80-90,,
7:26.0,Shooting foul by G. Dragic (drawn by M. Williams),,80-90,,
7:26.0,M. Williams makes free throw 1 of 3,1,81-90,,
7:26.0,M. Williams makes free throw 2 of 3,1,82-90,,
7:26.0,M. Williams makes free throw 3 of 3,1,83-90,,
7:21.0,,,83-90,,Miami full timeout
7:21.0,,,83-90,,H. Walker enters the game for L. Deng
7:21.0,,,83-90,,D. Wade enters the game for G. Dragic
7:21.0,,,83-90,,H. Whiteside enters the game for C. Andersen
7:08.0,,,83-90,,D. Wade misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by M. Williams,,83-90,,
7:00.0,J. Maxiell misses 2-pt shot at rim,,83-90,,
6:58.0,,,83-90,,Defensive rebound by J. Ennis
6:51.0,,,83-90,,H. Walker misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by G. Henderson,,83-90,,
6:43.0,,,83-90,,Personal foul by T. Johnson (drawn by G. Henderson)
6:43.0,Shooting foul by T. Johnson (drawn by G. Henderson),,83-90,,
6:43.0,M. Williams makes free throw 1 of 2,1,84-90,,
6:43.0,B. Biyombo enters the game for J. Maxiell,,84-90,,
6:43.0,K. Walker enters the game for L. Stephenson,,84-90,,
6:43.0,M. Williams makes free throw 2 of 2,1,85-90,,
6:27.0,,,85-92,2,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade)
6:13.0,M. Williams misses 2-pt shot from 18 ft,,85-92,,
6:12.0,,,85-92,,Defensive rebound by T. Johnson
6:01.0,,,85-92,,D. Wade misses 2-pt shot from 21 ft
5:59.0,,,85-92,,Offensive rebound by H. Whiteside
5:58.0,Personal foul by M. Williams (drawn by H. Whiteside),,85-92,,
5:58.0,,,85-92,,L. Deng enters the game for T. Johnson
5:58.0,,,85-92,,G. Dragic enters the game for H. Walker
5:46.0,,,85-92,,J. Ennis misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by M. Williams,,85-92,,
5:32.0,M. Williams makes 2-pt shot at rim,2,87-92,,
5:10.0,,,87-92,,Turnover by D. Wade (bad pass)
4:48.0,Shooting foul by H. Whiteside (drawn by G. Henderson),,87-92,,
4:48.0,G. Henderson makes free throw 1 of 2,1,88-92,,
4:48.0,,,88-92,,U. Haslem enters the game for H. Whiteside
4:48.0,G. Henderson makes free throw 2 of 2,1,89-92,,
4:24.0,,,89-94,2,G. Dragic makes 2-pt shot from 1 ft (assist by U. Haslem)
4:08.0,G. Henderson misses 2-pt shot from 17 ft,,89-94,,
4:07.0,,,89-94,,Defensive rebound by U. Haslem
3:57.0,,,89-94,,D. Wade misses 2-pt shot from 8 ft
3:56.0,,,89-94,,Offensive rebound by U. Haslem
3:54.0,,,89-94,,U. Haslem misses 2-pt shot from 1 ft (block by B. Biyombo)
3:53.0,Defensive rebound by M. Williams,,89-94,,
3:39.0,G. Henderson makes 2-pt shot from 16 ft,2,91-94,,
3:17.0,,,91-96,2,G. Dragic makes 2-pt shot from 1 ft
3:17.0,,,91-96,,Shooting foul by B. Biyombo (drawn by G. Dragic)
3:17.0,,,91-96,,T. Johnson enters the game for J. Ennis
3:17.0,,,91-97,1,G. Dragic makes free throw 1 of 1
3:05.0,Turnover by K. Walker (bad pass),,91-97,,
