time,Miami,pts.away,score,pts.home,Portland
7:52.0,,,6-6,2,N. Batum makes 2-pt shot from 1 ft (assist by W. Matthews)
7:32.0,C. Andersen misses 2-pt shot from 2 ft (block by C. Kaman),,6-6,,
7:32.0,Offensive rebound by Team,,6-6,,
7:30.0,Shooting foul by C. Kaman (drawn by C. Andersen),,6-6,,
7:30.0,C. Andersen makes free throw 1 of 2,1,7-6,,
7:30.0,C. Andersen misses free throw 2 of 2,,7-6,,
7:29.0,Offensive rebound by L. Deng,,7-6,,
7:17.0,M. Chalmers misses 3-pt shot from 22 ft,,7-6,,
7:16.0,,,7-6,,Defensive rebound by L. Aldridge
7:05.0,,,7-6,,C. Kaman misses 2-pt shot from 1 ft (block by L. Deng)
7:05.0,,,7-6,,Offensive rebound by Team
7:02.0,,,7-6,,C. Kaman misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by M. Chalmers,,7-6,,
6:57.0,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers),2,9-6,,
6:33.0,,,9-8,2,D. Lillard makes 2-pt shot from 1 ft
6:11.0,C. Bosh misses 2-pt shot from 15 ft,,9-8,,
6:10.0,,,9-8,,Defensive rebound by N. Batum
6:02.0,,,9-8,,Shooting foul by L. Deng (drawn by N. Batum)
6:02.0,,,9-8,,N. Batum misses free throw 1 of 2
6:02.0,,,9-8,,Offensive rebound by Team
6:02.0,,,9-9,1,N. Batum makes free throw 2 of 2
5:53.0,D. Wade makes 2-pt shot from 1 ft,2,11-9,,
5:47.0,,,11-9,,Portland full timeout
5:47.0,,,11-9,,C. McCollum enters the game for W. Matthews
5:47.0,,,11-9,,T. Robinson enters the game for C. Kaman
5:36.0,,,11-9,,D. Lillard misses 3-pt shot from 26 ft
5:35.0,,,11-9,,Offensive rebound by Team
5:35.0,D. Granger enters the game for C. Bosh,,11-9,,
5:20.0,,,11-9,,L. Aldridge misses 2-pt shot from 19 ft
5:20.0,Defensive rebound by D. Wade,,11-9,,
5:11.0,D. Wade makes 2-pt shot from 13 ft,2,13-9,,
4:56.0,,,13-12,3,D. Lillard makes 3-pt shot from 27 ft
4:30.0,Shooting foul by C. McCollum (drawn by M. Chalmers),,13-12,,
4:30.0,M. Chalmers makes free throw 1 of 2,1,14-12,,
4:30.0,M. Chalmers makes free throw 2 of 2,1,15-12,,
4:13.0,,,15-12,,C. McCollum misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by D. Wade,,15-12,,
4:05.0,Shooting foul by T. Robinson (drawn by D. Wade),,15-12,,
4:05.0,D. Wade misses free throw 1 of 2,,15-12,,
4:05.0,Offensive rebound by Team,,15-12,,
4:05.0,D. Wade makes free throw 2 of 2,1,16-12,,
3:48.0,,,16-14,2,T. Robinson makes 2-pt shot at rim (assist by N. Batum)
3:28.0,D. Wade misses 2-pt shot from 10 ft,,16-14,,
3:27.0,,,16-14,,Defensive rebound by N. Batum
3:12.0,,,16-14,,N. Batum misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by M. Chalmers,,16-14,,
2:55.0,L. Deng misses 2-pt shot at rim,,16-14,,
2:51.0,Offensive rebound by Team,,16-14,,
2:51.0,Miami full timeout,,16-14,,
2:51.0,J. Ennis enters the game for C. Andersen,,16-14,,
2:51.0,C. Bosh enters the game for D. Wade,,16-14,,
2:51.0,,,16-14,,W. Matthews enters the game for N. Batum
2:51.0,,,16-14,,S. Blake enters the game for D. Lillard
2:43.0,L. Deng makes 2-pt shot from 6 ft (assist by M. Chalmers),2,18-14,,
2:20.0,,,18-16,2,L. Aldridge makes 2-pt shot from 10 ft
2:00.0,M. Chalmers misses 2-pt shot from 1 ft,,18-16,,
1:59.0,Offensive rebound by M. Chalmers,,18-16,,
1:50.0,C. Bosh makes 3-pt shot from 24 ft (assist by M. Chalmers),3,21-16,,
1:31.0,Personal foul by C. Bosh (drawn by L. Aldridge),,21-16,,
1:31.0,N. Cole enters the game for M. Chalmers,,21-16,,
1:22.0,,,21-16,,S. Blake misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by D. Granger,,21-16,,
1:07.0,C. Bosh misses 2-pt shot from 15 ft,,21-16,,
1:07.0,Offensive rebound by L. Deng,,21-16,,
0:57.0,C. Bosh misses 2-pt shot from 1 ft (block by T. Robinson),,21-16,,
0:55.0,,,21-16,,Defensive rebound by C. McCollum
0:49.0,,,21-18,2,L. Aldridge makes 2-pt shot at rim (assist by W. Matthews)
0:32.0,L. Deng misses 3-pt shot from 24 ft,,21-18,,
0:31.0,,,21-18,,Defensive rebound by L. Aldridge
0:13.0,,,21-18,,Turnover by W. Matthews (lost ball; steal by N. Cole)
0:00.0,C. Bosh makes 2-pt shot from 3 ft,2,23-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-18,,W. Matthews misses 3-pt shot from 22 ft
11:45.0,Defensive rebound by N. Cole,,23-18,,
11:40.0,J. Ennis misses 2-pt shot from 4 ft,,23-18,,
11:36.0,,,23-18,,Defensive rebound by S. Blake
11:33.0,,,23-20,2,W. Matthews makes 2-pt shot from 1 ft (assist by S. Blake)
11:16.0,Shooting foul by A. Crabbe (drawn by C. Bosh),,23-20,,
11:16.0,C. Bosh makes free throw 1 of 2,1,24-20,,
11:16.0,C. Bosh makes free throw 2 of 2,1,25-20,,
10:54.0,,,25-20,,D. Wright misses 2-pt shot from 22 ft
10:52.0,,,25-20,,Offensive rebound by C. Kaman
10:51.0,,,25-20,,Shooting foul by H. Whiteside (drawn by C. Kaman)
10:51.0,,,25-21,1,C. Kaman makes free throw 1 of 2
10:51.0,,,25-22,1,C. Kaman makes free throw 2 of 2
10:41.0,D. Granger misses 3-pt shot from 23 ft,,25-22,,
10:40.0,,,25-22,,Defensive rebound by D. Wright
10:26.0,,,25-25,3,D. Wright makes 3-pt shot from 22 ft (assist by S. Blake)
10:24.0,Miami full timeout,,25-25,,
10:24.0,,,25-25,,D. Lillard enters the game for W. Matthews
10:13.0,,,25-25,,Personal foul by D. Wright (drawn by H. Whiteside)
10:08.0,D. Granger makes 2-pt shot from 1 ft (assist by C. Bosh),2,27-25,,
10:08.0,Shooting foul by A. Crabbe (drawn by D. Granger),,27-25,,
10:08.0,D. Granger makes free throw 1 of 1,1,28-25,,
9:51.0,,,28-27,2,S. Blake makes 2-pt shot from 19 ft
9:28.0,C. Bosh makes 2-pt shot from 2 ft,2,30-27,,
9:28.0,Shooting foul by C. Kaman (drawn by C. Bosh),,30-27,,
9:28.0,C. Bosh makes free throw 1 of 1,1,31-27,,
9:14.0,,,31-29,2,D. Lillard makes 2-pt shot from 13 ft
9:02.0,H. Whiteside makes 2-pt shot at rim (assist by N. Cole),2,33-29,,
8:47.0,,,33-31,2,S. Blake makes 2-pt shot from 22 ft
8:30.0,H. Whiteside makes 2-pt shot from 8 ft (assist by C. Bosh),2,35-31,,
8:17.0,,,35-31,,D. Lillard misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by H. Whiteside,,35-31,,
8:04.0,Turnover by C. Bosh (bad pass; steal by S. Blake),,35-31,,
7:59.0,,,35-31,,D. Wright misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by H. Whiteside,,35-31,,
7:47.0,H. Whiteside makes 2-pt shot from 2 ft (assist by C. Bosh),2,37-31,,
7:45.0,,,37-31,,Portland full timeout
7:45.0,,,37-31,,M. Leonard enters the game for D. Wright
7:30.0,,,37-31,,A. Crabbe misses 3-pt shot from 24 ft
7:29.0,,,37-31,,Offensive rebound by Team
7:29.0,D. Wade enters the game for J. Ennis,,37-31,,
7:29.0,,,37-31,,N. Batum enters the game for A. Crabbe
7:29.0,L. Deng enters the game for C. Bosh,,37-31,,
7:18.0,,,37-31,,D. Lillard misses 2-pt shot from 1 ft
7:16.0,,,37-31,,Offensive rebound by C. Kaman
7:16.0,,,37-33,2,C. Kaman makes 2-pt shot at rim
6:57.0,,,37-33,,D. Wright enters the game for C. Kaman
6:49.0,N. Cole misses 3-pt shot from 26 ft,,37-33,,
6:48.0,Offensive rebound by D. Granger,,37-33,,
6:41.0,D. Wade makes 2-pt shot from 13 ft,2,39-33,,
6:28.0,,,39-33,,D. Lillard misses 2-pt shot from 2 ft (block by H. Whiteside)
6:28.0,,,39-33,,Offensive rebound by Team
6:17.0,,,39-33,,S. Blake misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by L. Deng,,39-33,,
6:08.0,D. Wade makes 2-pt shot from 7 ft (assist by L. Deng),2,41-33,,
5:49.0,,,41-33,,N. Batum misses 3-pt shot from 22 ft
5:49.0,,,41-33,,Offensive rebound by D. Wright
5:44.0,,,41-33,,N. Batum misses 3-pt shot from 22 ft
5:43.0,Defensive rebound by H. Whiteside,,41-33,,
5:33.0,D. Wade misses 2-pt shot from 1 ft,,41-33,,
5:31.0,Offensive rebound by D. Wade,,41-33,,
5:31.0,D. Wade misses 2-pt shot from 1 ft,,41-33,,
5:22.0,,,41-33,,Defensive rebound by N. Batum
5:20.0,,,41-33,,N. Batum misses 2-pt shot from 6 ft
5:19.0,Defensive rebound by H. Whiteside,,41-33,,
5:08.0,Shooting foul by N. Batum (drawn by D. Wade),,41-33,,
5:08.0,D. Wade makes free throw 1 of 2,1,42-33,,
5:08.0,,,42-33,,L. Aldridge enters the game for D. Wright
5:08.0,,,42-33,,W. Matthews enters the game for S. Blake
5:08.0,C. Bosh enters the game for D. Granger,,42-33,,
5:08.0,M. Chalmers enters the game for N. Cole,,42-33,,
5:08.0,C. Andersen enters the game for H. Whiteside,,42-33,,
5:08.0,D. Wade makes free throw 2 of 2,1,43-33,,
4:49.0,,,43-35,2,W. Matthews makes 2-pt shot from 6 ft (assist by N. Batum)
4:30.0,Turnover by L. Deng (bad pass),,43-35,,
4:13.0,,,43-35,,D. Lillard misses 3-pt shot from 24 ft
4:12.0,,,43-35,,Offensive rebound by L. Aldridge
4:11.0,,,43-37,2,L. Aldridge makes 2-pt shot at rim
3:52.0,C. Bosh misses 2-pt shot from 14 ft,,43-37,,
3:51.0,,,43-37,,Defensive rebound by N. Batum
3:44.0,,,43-37,,W. Matthews misses 3-pt shot from 24 ft
3:43.0,,,43-37,,Offensive rebound by L. Aldridge
3:41.0,,,43-39,2,L. Aldridge makes 2-pt shot from 1 ft
3:41.0,,,43-39,,Shooting foul by C. Andersen (drawn by L. Aldridge)
3:41.0,,,43-39,,L. Aldridge misses free throw 1 of 1
3:41.0,Defensive rebound by C. Bosh,,43-39,,
3:37.0,Miami full timeout,,43-39,,
3:20.0,D. Wade misses 2-pt shot from 16 ft,,43-39,,
3:19.0,Offensive rebound by C. Bosh,,43-39,,
3:15.0,C. Bosh makes 2-pt shot from 7 ft,2,45-39,,
2:56.0,,,45-39,,M. Leonard misses 2-pt shot from 2 ft
2:54.0,,,45-39,,Offensive rebound by L. Aldridge
2:54.0,,,45-39,,L. Aldridge misses 2-pt shot from 1 ft
2:53.0,Defensive rebound by L. Deng,,45-39,,
2:38.0,C. Bosh misses 3-pt shot from 24 ft,,45-39,,
2:37.0,,,45-39,,Defensive rebound by M. Leonard
2:28.0,,,45-39,,D. Lillard misses 2-pt shot at rim
2:26.0,Defensive rebound by C. Bosh,,45-39,,
2:08.0,D. Wade misses 2-pt shot from 16 ft,,45-39,,
2:07.0,,,45-39,,Defensive rebound by M. Leonard
1:57.0,Personal foul by M. Chalmers (drawn by W. Matthews),,45-39,,
1:57.0,Official timeout,,45-39,,
1:49.0,,,45-41,2,D. Lillard makes 2-pt shot from 17 ft
1:27.0,M. Chalmers makes 2-pt shot from 18 ft (assist by C. Bosh),2,47-41,,
1:08.0,,,47-41,,L. Aldridge misses 2-pt shot from 13 ft
1:08.0,Defensive rebound by Team,,47-41,,
1:08.0,,,47-41,,Loose ball foul by M. Leonard (drawn by C. Andersen)
1:08.0,C. Andersen misses free throw 1 of 2,,47-41,,
1:08.0,Offensive rebound by Team,,47-41,,
1:08.0,C. Andersen makes free throw 2 of 2,1,48-41,,
0:54.0,,,48-41,,M. Leonard misses 2-pt shot from 3 ft
0:53.0,Defensive rebound by C. Andersen,,48-41,,
0:42.0,Turnover by L. Deng (bad pass; steal by M. Leonard),,48-41,,
0:29.0,,,48-43,2,M. Leonard makes 2-pt shot from 12 ft (assist by W. Matthews)
0:08.0,D. Wade misses 2-pt shot from 13 ft,,48-43,,
0:08.0,,,48-43,,Defensive rebound by N. Batum
0:00.0,,,48-43,,M. Leonard misses 3-pt shot from 25 ft
0:00.0,,,48-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,48-43,,Turnover by L. Aldridge (bad pass; steal by C. Andersen)
11:15.0,Turnover by D. Wade (bad pass; steal by N. Batum),,48-43,,
11:14.0,,,48-43,,Shooting foul by L. Deng (drawn by N. Batum)
11:14.0,,,48-43,,N. Batum misses free throw 1 of 2
11:14.0,,,48-43,,Offensive rebound by Team
11:14.0,,,48-44,1,N. Batum makes free throw 2 of 2
10:53.0,L. Deng misses 2-pt shot from 21 ft,,48-44,,
10:53.0,,,48-44,,Defensive rebound by L. Aldridge
10:44.0,,,48-44,,W. Matthews misses 2-pt shot from 12 ft
10:43.0,Defensive rebound by D. Wade,,48-44,,
10:27.0,L. Deng misses 2-pt shot from 5 ft,,48-44,,
10:27.0,,,48-44,,Defensive rebound by L. Aldridge
10:16.0,,,48-46,2,L. Aldridge makes 2-pt shot from 12 ft (assist by W. Matthews)
9:57.0,L. Deng makes 2-pt shot from 2 ft (assist by D. Wade),2,50-46,,
9:41.0,,,50-46,,L. Aldridge misses 2-pt shot at rim
9:40.0,,,50-46,,Offensive rebound by N. Batum
9:32.0,,,50-46,,L. Aldridge misses 2-pt shot from 14 ft
9:31.0,,,50-46,,Offensive rebound by C. Kaman
9:27.0,,,50-46,,Turnover by C. Kaman (lost ball; steal by C. Andersen)
9:19.0,Turnover by M. Chalmers (lost ball; steal by N. Batum),,50-46,,
9:10.0,,,50-49,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard)
8:56.0,,,50-49,,Personal foul by C. Kaman (drawn by M. Chalmers)
8:42.0,L. Deng misses 2-pt shot from 2 ft (block by D. Lillard),,50-49,,
8:42.0,Jump ball: L. Deng vs. D. Lillard (C. Kaman gains possession),,,,Jump ball: L. Deng vs. D. Lillard (C. Kaman gains possession)
8:42.0,,,50-49,,Defensive rebound by Team
8:34.0,,,50-52,3,D. Lillard makes 3-pt shot from 25 ft
8:33.0,Miami full timeout,,50-52,,
8:20.0,Shooting foul by L. Aldridge (drawn by C. Andersen),,50-52,,
8:20.0,C. Andersen makes free throw 1 of 2,1,51-52,,
8:20.0,C. Andersen misses free throw 2 of 2,,51-52,,
8:19.0,,,51-52,,Defensive rebound by C. Kaman
8:07.0,,,51-54,2,C. Kaman makes 2-pt shot at rim (assist by D. Lillard)
7:46.0,C. Bosh misses 2-pt shot from 15 ft,,51-54,,
7:46.0,,,51-54,,Defensive rebound by Team
7:28.0,,,51-54,,D. Lillard misses 3-pt shot from 24 ft
7:27.0,,,51-54,,Offensive rebound by C. Kaman
7:24.0,,,51-56,2,C. Kaman makes 2-pt shot from 1 ft
7:10.0,,,51-56,,Personal foul by D. Lillard (drawn by M. Chalmers)
7:00.0,Turnover by C. Bosh (bad pass),,51-56,,
6:41.0,,,51-56,,L. Aldridge misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by M. Chalmers,,51-56,,
6:25.0,C. Bosh misses 3-pt shot from 22 ft,,51-56,,
6:25.0,,,51-56,,Defensive rebound by W. Matthews
6:17.0,,,51-58,2,C. Kaman makes 2-pt shot from 1 ft (assist by N. Batum)
5:56.0,D. Wade misses 2-pt shot from 16 ft (block by D. Lillard),,51-58,,
5:55.0,,,51-58,,Defensive rebound by C. Kaman
5:53.0,,,51-58,,D. Lillard misses 2-pt shot from 1 ft (block by C. Andersen)
5:53.0,,,51-58,,Offensive rebound by Team
5:53.0,,,51-58,,S. Blake enters the game for W. Matthews
5:42.0,,,51-58,,S. Blake misses 2-pt shot from 17 ft
5:41.0,,,51-58,,Offensive rebound by Team
5:41.0,,,51-58,,M. Leonard enters the game for C. Kaman
5:37.0,Personal foul by D. Wade (drawn by D. Lillard),,51-58,,
5:33.0,,,51-58,,N. Batum misses 2-pt shot from 19 ft
5:31.0,,,51-58,,Offensive rebound by L. Aldridge
5:31.0,,,51-60,2,L. Aldridge makes 2-pt shot from 1 ft
5:09.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade),3,54-60,,
4:51.0,,,54-62,2,N. Batum makes 2-pt shot from 13 ft
4:38.0,Shooting foul by S. Blake (drawn by D. Wade),,54-62,,
4:38.0,D. Wade makes free throw 1 of 2,1,55-62,,
4:38.0,D. Granger enters the game for C. Bosh,,55-62,,
4:38.0,D. Wade makes free throw 2 of 2,1,56-62,,
4:29.0,,,56-64,2,D. Lillard makes 2-pt shot at rim (assist by S. Blake)
4:05.0,D. Wade misses 2-pt shot from 10 ft,,56-64,,
4:04.0,,,56-64,,Defensive rebound by M. Leonard
3:53.0,,,56-64,,Turnover by L. Aldridge (offensive goaltending)
3:34.0,D. Wade makes 2-pt shot from 6 ft,2,58-64,,
3:22.0,,,58-66,2,L. Aldridge makes 2-pt shot from 1 ft
2:54.0,D. Granger misses 3-pt shot from 25 ft,,58-66,,
2:54.0,,,58-66,,Defensive rebound by N. Batum
2:38.0,,,58-66,,Shooting foul by D. Granger (drawn by L. Aldridge)
2:38.0,,,58-66,,Portland full timeout
2:38.0,,,58-66,,A. Crabbe enters the game for D. Lillard
2:38.0,,,58-66,,W. Matthews enters the game for N. Batum
2:38.0,N. Cole enters the game for M. Chalmers,,58-66,,
2:38.0,,,58-67,1,L. Aldridge makes free throw 1 of 2
2:38.0,,,58-68,1,L. Aldridge makes free throw 2 of 2
2:23.0,Shooting foul by W. Matthews (drawn by D. Wade),,58-68,,
2:23.0,D. Wade makes free throw 1 of 2,1,59-68,,
2:23.0,C. Bosh enters the game for C. Andersen,,59-68,,
2:23.0,D. Wade misses free throw 2 of 2,,59-68,,
2:21.0,,,59-68,,Defensive rebound by M. Leonard
2:05.0,,,59-68,,Turnover by S. Blake (bad pass; steal by D. Granger)
1:45.0,N. Cole misses 3-pt shot from 24 ft,,59-68,,
1:43.0,Offensive rebound by D. Granger,,59-68,,
1:40.0,D. Wade misses 2-pt shot from 1 ft,,59-68,,
1:39.0,,,59-68,,Defensive rebound by M. Leonard
1:21.0,,,59-71,3,S. Blake makes 3-pt shot from 24 ft
1:05.0,N. Cole makes 2-pt shot from 1 ft,2,61-71,,
1:00.0,,,61-71,,Shooting foul by D. Wade (drawn by W. Matthews)
1:00.0,,,61-71,,W. Matthews misses free throw 1 of 2
1:00.0,,,61-71,,Offensive rebound by Team
1:00.0,J. Ennis enters the game for D. Wade,,61-71,,
1:00.0,,,61-71,,D. Wright enters the game for M. Leonard
1:00.0,,,61-72,1,W. Matthews makes free throw 2 of 2
0:56.0,Shooting foul by L. Aldridge (drawn by C. Bosh),,61-72,,
0:56.0,C. Bosh misses free throw 1 of 2,,61-72,,
0:56.0,Offensive rebound by Team,,61-72,,
0:56.0,,,61-72,,D. Lillard enters the game for A. Crabbe
0:56.0,C. Bosh makes free throw 2 of 2,1,62-72,,
0:34.0,,,62-74,2,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Wright)
0:21.0,N. Cole makes 2-pt shot from 5 ft,2,64-74,,
0:02.0,,,64-74,,D. Lillard misses 2-pt shot from 1 ft (block by N. Cole)
0:02.0,,,64-74,,Offensive rebound by Team
0:00.0,,,64-76,2,D. Wright makes 2-pt shot from 21 ft (assist by S. Blake)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,D. Granger misses 2-pt shot from 15 ft (block by W. Matthews),,64-76,,
11:40.0,,,64-76,,Defensive rebound by A. Crabbe
11:36.0,,,64-76,,Shooting foul by C. Bosh (drawn by W. Matthews)
11:36.0,,,64-77,1,W. Matthews makes free throw 1 of 2
11:36.0,,,64-78,1,W. Matthews makes free throw 2 of 2
11:20.0,Shooting foul by C. Kaman (drawn by C. Bosh),,64-78,,
11:20.0,C. Bosh makes free throw 1 of 2,1,65-78,,
11:20.0,C. Bosh makes free throw 2 of 2,1,66-78,,
11:03.0,,,66-78,,C. Kaman misses 2-pt shot from 1 ft (block by H. Whiteside)
11:01.0,Defensive rebound by D. Granger,,66-78,,
10:56.0,C. Bosh makes 3-pt shot from 24 ft (assist by N. Cole),3,69-78,,
10:35.0,,,69-78,,M. Leonard misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by D. Granger,,69-78,,
10:21.0,C. Bosh misses 2-pt shot from 2 ft,,69-78,,
10:21.0,,,69-78,,Defensive rebound by Team
10:21.0,D. Wade enters the game for J. Ennis,,69-78,,
10:03.0,,,69-81,3,W. Matthews makes 3-pt shot from 22 ft
9:50.0,N. Cole misses 2-pt shot from 2 ft (block by C. Kaman),,69-81,,
9:48.0,,,69-81,,Defensive rebound by M. Leonard
9:38.0,,,69-84,3,A. Crabbe makes 3-pt shot from 24 ft (assist by W. Matthews)
9:38.0,Miami full timeout,,69-84,,
9:38.0,M. Chalmers enters the game for N. Cole,,69-84,,
9:25.0,D. Wade misses 2-pt shot from 9 ft,,69-84,,
9:25.0,,,69-84,,Defensive rebound by Team
9:15.0,,,69-86,2,W. Matthews makes 2-pt shot from 2 ft (assist by S. Blake)
8:58.0,H. Whiteside makes 2-pt shot from 5 ft (assist by C. Bosh),2,71-86,,
8:38.0,,,71-86,,C. Kaman misses 2-pt shot from 13 ft
8:37.0,Defensive rebound by D. Wade,,71-86,,
8:28.0,M. Chalmers makes 2-pt shot from 17 ft,2,73-86,,
8:16.0,Personal foul by M. Chalmers (drawn by W. Matthews),,73-86,,
8:16.0,,,73-86,,D. Lillard enters the game for C. Kaman
8:16.0,,,73-86,,N. Batum enters the game for W. Matthews
8:16.0,,,73-86,,L. Aldridge enters the game for S. Blake
8:09.0,,,73-86,,D. Lillard misses 3-pt shot from 23 ft
8:08.0,,,73-86,,Offensive rebound by M. Leonard
8:05.0,,,73-86,,M. Leonard misses 2-pt shot from 1 ft
8:04.0,Defensive rebound by C. Bosh,,73-86,,
7:47.0,Turnover by D. Wade (lost ball),,73-86,,
7:34.0,,,73-88,2,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum)
7:19.0,,,73-88,,Personal foul by A. Crabbe (drawn by D. Granger)
7:19.0,L. Deng enters the game for D. Granger,,73-88,,
7:06.0,L. Deng misses 2-pt shot from 8 ft,,73-88,,
7:05.0,,,73-88,,Defensive rebound by L. Aldridge
6:55.0,,,73-88,,N. Batum misses 2-pt shot from 4 ft (block by H. Whiteside)
6:54.0,,,73-88,,Offensive rebound by L. Aldridge
6:52.0,,,73-88,,L. Aldridge misses 2-pt shot from 2 ft
6:52.0,,,73-88,,Offensive rebound by M. Leonard
6:52.0,,,73-90,2,M. Leonard makes 2-pt shot at rim
6:52.0,Miami full timeout,,73-90,,
6:42.0,M. Chalmers misses 2-pt shot from 20 ft,,73-90,,
6:40.0,,,73-90,,Defensive rebound by M. Leonard
6:20.0,,,73-92,2,N. Batum makes 2-pt shot from 14 ft
6:07.0,,,73-92,,Personal foul by A. Crabbe (drawn by L. Deng)
6:07.0,,,73-92,,W. Matthews enters the game for A. Crabbe
5:54.0,Shooting foul by M. Leonard (drawn by D. Wade),,73-92,,
5:54.0,D. Wade makes free throw 1 of 2,1,74-92,,
5:54.0,D. Wade misses free throw 2 of 2,,74-92,,
5:52.0,,,74-92,,Defensive rebound by L. Aldridge
5:45.0,,,74-92,,Shooting foul by D. Wade (drawn by D. Lillard)
5:45.0,,,74-93,1,D. Lillard makes free throw 1 of 2
5:45.0,,,74-94,1,D. Lillard makes free throw 2 of 2
5:32.0,C. Bosh misses 2-pt shot from 19 ft,,74-94,,
5:32.0,,,74-94,,Defensive rebound by N. Batum
5:23.0,,,74-97,3,W. Matthews makes 3-pt shot from 25 ft
5:03.0,L. Deng misses 3-pt shot from 24 ft,,74-97,,
5:01.0,,,74-97,,Defensive rebound by W. Matthews
4:48.0,,,74-97,,N. Batum misses 3-pt shot from 23 ft
4:47.0,,,74-97,,Offensive rebound by L. Aldridge
4:43.0,,,74-97,,D. Lillard misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by D. Wade,,74-97,,
4:40.0,,,74-97,,Clear path foul by D. Lillard
4:40.0,D. Wade makes clear path free throw 1 of 2,1,75-97,,
4:40.0,D. Wade makes clear path free throw 2 of 2,1,76-97,,
4:40.0,J. Hamilton enters the game for L. Deng,,76-97,,
4:40.0,J. Ennis enters the game for C. Bosh,,76-97,,
4:40.0,S. Williams enters the game for D. Wade,,76-97,,
4:40.0,S. Napier enters the game for M. Chalmers,,76-97,,
4:40.0,,,76-97,,C. McCollum enters the game for N. Batum
4:40.0,,,76-97,,A. Crabbe enters the game for L. Aldridge
4:40.0,,,76-97,,W. Barton enters the game for W. Matthews
4:40.0,,,76-97,,V. Claver enters the game for D. Lillard
4:40.0,,,76-97,,T. Robinson enters the game for M. Leonard
4:30.0,J. Ennis misses 2-pt shot at rim,,76-97,,
4:29.0,,,76-97,,Defensive rebound by V. Claver
4:18.0,,,76-97,,C. McCollum misses 2-pt shot from 18 ft
4:18.0,Defensive rebound by J. Ennis,,76-97,,
4:05.0,H. Whiteside misses 2-pt shot from 5 ft,,76-97,,
4:03.0,Offensive rebound by J. Hamilton,,76-97,,
4:02.0,J. Hamilton makes 2-pt shot from 1 ft,2,78-97,,
3:45.0,,,78-97,,C. McCollum misses 3-pt shot from 22 ft
3:45.0,Defensive rebound by H. Whiteside,,78-97,,
