time,Utah,pts.away,score,pts.home,Sacramento
0:56.0,Offensive rebound by J. Evans,,45-47,,
0:56.0,J. Evans makes 2-pt shot from 5 ft,2,47-47,,
0:40.0,,,47-47,,R. McCallum misses 2-pt shot from 18 ft
0:39.0,Defensive rebound by G. Hayward,,47-47,,
0:36.0,,,47-47,,Personal foul by R. McCallum (drawn by G. Hayward)
0:36.0,,,47-47,,N. Stauskas enters the game for B. McLemore
0:27.0,Turnover by J. Evans (traveling),,47-47,,
0:09.0,Violation by J. Evans (def goaltending),,47-47,,
0:09.0,,,47-49,2,D. Cousins makes 2-pt shot from 4 ft
0:02.0,G. Hayward makes 2-pt shot from 21 ft,2,49-49,,
0:00.0,,,49-49,,R. McCallum misses 3-pt shot from 44 ft
0:00.0,,,49-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Exum misses 3-pt shot from 23 ft,,49-49,,
11:40.0,,,49-49,,Defensive rebound by B. McLemore
11:28.0,,,49-49,,D. Cousins misses 2-pt shot from 19 ft
11:28.0,Defensive rebound by G. Hayward,,49-49,,
11:19.0,Shooting foul by O. Casspi (drawn by R. Hood),,49-49,,
11:19.0,R. Hood makes free throw 1 of 2,1,50-49,,
11:19.0,R. Hood misses free throw 2 of 2,,50-49,,
11:17.0,,,50-49,,Defensive rebound by O. Casspi
11:05.0,,,50-51,2,O. Casspi makes 2-pt shot from 1 ft (assist by D. Cousins)
10:50.0,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum),2,52-51,,
10:36.0,Personal foul by R. Hood (drawn by O. Casspi),,52-51,,
10:21.0,,,52-51,,D. Cousins misses 2-pt shot from 9 ft
10:20.0,Defensive rebound by R. Hood,,52-51,,
10:12.0,G. Hayward misses 3-pt shot from 24 ft,,52-51,,
10:11.0,,,52-51,,Defensive rebound by B. McLemore
10:03.0,,,52-51,,O. Casspi misses 3-pt shot from 25 ft
10:02.0,,,52-51,,Offensive rebound by C. Landry
10:00.0,,,52-53,2,C. Landry makes 2-pt shot at rim
9:41.0,D. Favors misses 2-pt shot from 18 ft,,52-53,,
9:41.0,,,52-53,,Defensive rebound by B. McLemore
9:34.0,,,52-53,,Turnover by D. Cousins (lost ball; steal by D. Favors)
9:29.0,R. Hood makes 2-pt shot from 1 ft,2,54-53,,
9:06.0,,,54-53,,C. Landry misses 2-pt shot from 14 ft
9:04.0,Defensive rebound by D. Favors,,54-53,,
8:47.0,D. Favors misses 2-pt shot from 4 ft,,54-53,,
8:45.0,,,54-53,,Defensive rebound by D. Cousins
8:28.0,,,54-53,,O. Casspi misses 2-pt shot from 2 ft
8:28.0,,,54-53,,Offensive rebound by Team
8:28.0,Loose ball foul by R. Hood (drawn by C. Landry),,54-53,,
8:25.0,Personal block foul by R. Hood (drawn by C. Landry),,54-53,,
8:25.0,E. Millsap enters the game for R. Hood,,54-53,,
8:13.0,Personal foul by D. Favors (drawn by B. McLemore),,54-53,,
7:59.0,,,54-55,2,C. Landry makes 2-pt shot from 20 ft (assist by R. McCallum)
