time,Minnesota,pts.away,score,pts.home,Toronto
5:28.0,Defensive rebound by A. Payne,,11-17,,
5:22.0,,,11-17,,Personal foul by J. Valanciunas (drawn by G. Dieng)
5:22.0,C. Budinger enters the game for A. Payne,,11-17,,
5:22.0,,,11-17,,P. Patterson enters the game for A. Johnson
5:16.0,Turnover by G. Dieng (traveling),,11-17,,
4:51.0,,,11-17,,J. Valanciunas misses 2-pt shot from 1 ft (block by G. Dieng)
4:49.0,Defensive rebound by G. Dieng,,11-17,,
4:45.0,C. Budinger misses 2-pt shot from 2 ft,,11-17,,
4:44.0,Offensive rebound by A. Wiggins,,11-17,,
4:38.0,A. Wiggins makes 2-pt shot from 1 ft,2,13-17,,
4:27.0,,,13-17,,Shooting foul by A. Wiggins (drawn by D. DeRozan)
4:27.0,,,13-18,1,D. DeRozan makes free throw 1 of 2
4:27.0,Z. LaVine enters the game for A. Wiggins,,13-18,,
4:27.0,L. Brown enters the game for R. Rubio,,13-18,,
4:27.0,,,13-19,1,D. DeRozan makes free throw 2 of 2
4:12.0,K. Martin makes 3-pt shot from 26 ft (assist by L. Brown),3,16-19,,
3:55.0,,,16-19,,T. Ross misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by C. Budinger,,16-19,,
3:41.0,Turnover by G. Dieng (bad pass; steal by P. Patterson),,16-19,,
3:32.0,,,16-19,,Turnover by J. Valanciunas (3 sec)
3:32.0,,,16-19,,L. Williams enters the game for T. Ross
3:22.0,C. Budinger misses 3-pt shot from 26 ft,,16-19,,
3:21.0,,,16-19,,Defensive rebound by K. Lowry
3:15.0,,,16-19,,Shooting foul by Z. LaVine (drawn by K. Lowry)
3:15.0,,,16-20,1,K. Lowry makes free throw 1 of 2
3:15.0,,,16-21,1,K. Lowry makes free throw 2 of 2
3:06.0,Z. LaVine misses 2-pt shot from 18 ft,,16-21,,
3:05.0,,,16-21,,Defensive rebound by J. Valanciunas
2:59.0,,,16-21,,Shooting foul by Z. LaVine (drawn by L. Williams)
2:59.0,,,16-21,,Toronto full timeout
2:59.0,,,16-21,,G. Vasquez enters the game for J. Valanciunas
2:59.0,,,16-21,,T. Hansbrough enters the game for K. Lowry
2:59.0,,,16-22,1,L. Williams makes free throw 1 of 2
2:59.0,,,16-23,1,L. Williams makes free throw 2 of 2
2:48.0,K. Martin makes 2-pt shot from 5 ft (assist by L. Brown),2,18-23,,
2:30.0,,,18-25,2,T. Hansbrough makes 2-pt shot from 2 ft (assist by P. Patterson)
2:19.0,,,18-25,,Personal foul by G. Vasquez (drawn by K. Martin)
2:19.0,K. Martin makes free throw 1 of 2,1,19-25,,
2:19.0,K. Martin makes free throw 2 of 2,1,20-25,,
2:08.0,,,20-25,,P. Patterson misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by K. Martin,,20-25,,
1:53.0,K. Martin makes 3-pt shot from 24 ft (assist by C. Budinger),3,23-25,,
1:38.0,,,23-25,,Shooting foul by L. Brown (drawn by D. DeRozan)
1:38.0,,,23-26,1,D. DeRozan makes free throw 1 of 2
1:38.0,A. Payne enters the game for G. Dieng,,23-26,,
1:38.0,,,23-27,1,D. DeRozan makes free throw 2 of 2
1:22.0,C. Budinger misses 3-pt shot from 26 ft,,23-27,,
1:21.0,,,23-27,,Defensive rebound by Team
1:21.0,,,23-27,,K. Lowry enters the game for D. DeRozan
1:07.0,,,23-27,,G. Vasquez misses 3-pt shot from 26 ft
1:06.0,Defensive rebound by C. Budinger,,23-27,,
0:56.0,K. Martin makes 3-pt shot from 26 ft,3,26-27,,
0:48.0,,,26-27,,L. Williams misses 3-pt shot from 25 ft
0:47.0,,,26-27,,Offensive rebound by K. Lowry
0:46.0,,,26-29,2,K. Lowry makes 2-pt shot at rim
0:33.0,K. Martin makes 3-pt shot from 24 ft (assist by L. Brown),3,29-29,,
0:28.0,,,29-29,,L. Williams misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by C. Budinger,,29-29,,
0:07.0,C. Budinger makes 3-pt shot from 26 ft (assist by L. Brown),3,32-29,,
0:06.0,Loose ball foul by A. Payne (drawn by T. Hansbrough),,32-29,,
0:06.0,,,32-30,1,T. Hansbrough makes free throw 1 of 2
0:06.0,,,32-31,1,T. Hansbrough makes free throw 2 of 2
0:06.0,,,32-31,,Violation by Team (delay of game)
0:01.0,Z. LaVine misses 2-pt shot from 12 ft,,32-31,,
0:00.0,,,32-31,,Defensive rebound by P. Patterson
0:00.0,,,32-31,,Technical foul by K. Lowry
0:00.0,Technical foul by C. Budinger,,32-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,32-34,3,P. Patterson makes 3-pt shot from 22 ft (assist by L. Williams)
11:20.0,A. Payne misses 2-pt shot from 3 ft,,32-34,,
11:19.0,,,32-34,,Defensive rebound by G. Vasquez
11:11.0,,,32-34,,K. Lowry misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by A. Payne,,32-34,,
10:55.0,A. Payne makes 2-pt shot from 3 ft (assist by L. Brown),2,34-34,,
10:32.0,,,34-36,2,G. Vasquez makes 2-pt shot from 3 ft
10:24.0,Shooting foul by G. Vasquez (drawn by K. Martin),,34-36,,
10:24.0,K. Martin makes free throw 1 of 2,1,35-36,,
10:24.0,K. Martin makes free throw 2 of 2,1,36-36,,
10:10.0,,,36-38,2,P. Patterson makes 2-pt shot from 7 ft (assist by G. Vasquez)
9:44.0,Offensive foul by A. Payne,,36-38,,
9:44.0,Turnover by A. Payne (offensive foul),,36-38,,
9:32.0,,,36-38,,Turnover by G. Vasquez (bad pass; steal by L. Brown)
9:27.0,C. Budinger misses 2-pt shot from 1 ft,,36-38,,
9:26.0,Offensive rebound by Z. LaVine,,36-38,,
9:24.0,Offensive foul by A. Payne,,36-38,,
9:24.0,Turnover by A. Payne (offensive foul),,36-38,,
9:24.0,G. Dieng enters the game for L. Brown,,36-38,,
9:24.0,A. Wiggins enters the game for A. Payne,,36-38,,
9:10.0,,,36-38,,L. Williams misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by G. Dieng,,36-38,,
9:04.0,Turnover by A. Wiggins (offensive foul),,36-38,,
9:04.0,Offensive charge foul by A. Wiggins,,36-38,,
9:04.0,,,36-38,,D. DeRozan enters the game for G. Vasquez
9:04.0,L. Brown enters the game for A. Wiggins,,36-38,,
8:43.0,,,36-41,3,K. Lowry makes 3-pt shot from 25 ft (assist by L. Williams)
8:36.0,Minnesota full timeout,,36-41,,
8:18.0,C. Budinger misses 2-pt shot from 6 ft,,36-41,,
8:17.0,,,36-41,,Defensive rebound by P. Patterson
8:11.0,,,36-41,,Turnover by K. Lowry (bad pass; steal by L. Brown)
8:05.0,L. Brown makes 2-pt shot from 2 ft (assist by Z. LaVine),2,38-41,,
7:46.0,,,38-43,2,P. Patterson makes 2-pt shot from 7 ft
7:37.0,K. Martin makes 2-pt shot from 14 ft,2,40-43,,
7:24.0,,,40-43,,L. Williams misses 2-pt shot from 17 ft
7:23.0,,,40-43,,Offensive rebound by T. Hansbrough
7:20.0,,,40-43,,T. Hansbrough misses 2-pt shot from 1 ft (block by G. Dieng)
7:18.0,Defensive rebound by K. Martin,,40-43,,
7:03.0,Minnesota full timeout,,40-43,,
7:03.0,,,40-43,,A. Johnson enters the game for T. Hansbrough
7:03.0,R. Rubio enters the game for Z. LaVine,,40-43,,
6:56.0,K. Martin misses 2-pt shot from 17 ft,,40-43,,
6:55.0,,,40-43,,Defensive rebound by D. DeRozan
6:44.0,,,40-43,,A. Johnson misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by G. Dieng,,40-43,,
6:36.0,Turnover by R. Rubio (bad pass; steal by D. DeRozan),,40-43,,
6:28.0,,,40-43,,Turnover by P. Patterson (lost ball; steal by R. Rubio)
6:23.0,C. Budinger makes 2-pt shot at rim (assist by R. Rubio),2,42-43,,
6:07.0,,,42-46,3,P. Patterson makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:38.0,C. Budinger misses 3-pt shot from 22 ft,,42-46,,
5:37.0,,,42-46,,Defensive rebound by K. Lowry
5:27.0,,,42-46,,K. Lowry misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by K. Martin,,42-46,,
5:20.0,K. Martin misses 2-pt shot from 3 ft (block by P. Patterson),,42-46,,
5:20.0,Offensive rebound by Team,,42-46,,
5:20.0,Official timeout,,42-46,,
5:20.0,,,42-46,,T. Ross enters the game for P. Patterson
5:20.0,,,42-46,,J. Johnson enters the game for L. Williams
5:20.0,Z. LaVine enters the game for C. Budinger,,42-46,,
5:18.0,Turnover by K. Martin (lost ball),,42-46,,
5:01.0,,,42-46,,Turnover by A. Johnson (lost ball; steal by L. Brown)
4:56.0,L. Brown makes 2-pt shot at rim (assist by R. Rubio),2,44-46,,
4:34.0,,,44-46,,D. DeRozan misses 2-pt shot from 17 ft
4:33.0,Defensive rebound by R. Rubio,,44-46,,
4:18.0,L. Brown makes 2-pt shot from 13 ft,2,46-46,,
4:01.0,,,46-48,2,A. Johnson makes 2-pt shot from 17 ft (assist by K. Lowry)
3:43.0,Offensive foul by G. Dieng,,46-48,,
3:43.0,Turnover by G. Dieng (offensive foul),,46-48,,
3:43.0,,,46-48,,G. Vasquez enters the game for K. Lowry
3:30.0,,,46-48,,G. Vasquez misses 3-pt shot from 25 ft (block by K. Martin)
3:28.0,Defensive rebound by L. Brown,,46-48,,
3:22.0,Turnover by K. Martin (traveling),,46-48,,
3:09.0,,,46-48,,D. DeRozan misses 2-pt shot from 15 ft
3:08.0,Defensive rebound by Team,,46-48,,
3:08.0,C. Budinger enters the game for Z. LaVine,,46-48,,
3:01.0,,,46-48,,Personal block foul by G. Vasquez (drawn by R. Rubio)
2:49.0,G. Dieng makes 2-pt shot from 7 ft,2,48-48,,
2:29.0,,,48-48,,G. Vasquez misses 2-pt shot from 6 ft
2:28.0,Defensive rebound by C. Budinger,,48-48,,
2:24.0,K. Martin misses 2-pt shot from 1 ft (block by J. Johnson),,48-48,,
2:21.0,Offensive rebound by L. Brown,,48-48,,
2:19.0,L. Brown makes 2-pt shot from 1 ft,2,50-48,,
2:15.0,,,50-48,,Toronto full timeout
2:00.0,,,50-48,,D. DeRozan misses 2-pt shot from 15 ft
1:59.0,Defensive rebound by K. Martin,,50-48,,
1:44.0,K. Martin misses 3-pt shot from 26 ft,,50-48,,
1:43.0,,,50-48,,Defensive rebound by J. Johnson
1:35.0,,,50-51,3,G. Vasquez makes 3-pt shot from 24 ft (assist by J. Johnson)
1:16.0,,,50-51,,L. Williams enters the game for G. Vasquez
1:14.0,,,50-51,,Personal foul by J. Johnson (drawn by K. Martin)
1:11.0,,,50-51,,Violation by L. Williams (kicked ball)
1:00.0,C. Budinger makes 2-pt shot from 3 ft,2,52-51,,
0:52.0,,,52-54,3,L. Williams makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:38.0,K. Martin misses 2-pt shot from 10 ft,,52-54,,
0:36.0,,,52-54,,Defensive rebound by D. DeRozan
0:26.0,,,52-54,,J. Johnson misses 2-pt shot from 3 ft
0:25.0,Defensive rebound by G. Dieng,,52-54,,
0:04.0,G. Dieng misses 2-pt shot from 4 ft,,52-54,,
0:01.0,Offensive rebound by C. Budinger,,52-54,,
0:01.0,C. Budinger makes 2-pt shot at rim,2,54-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,54-54,,Turnover by K. Lowry (bad pass)
11:28.0,Shooting foul by K. Lowry (drawn by A. Wiggins),,54-54,,
11:28.0,A. Wiggins makes free throw 1 of 2,1,55-54,,
11:28.0,A. Wiggins misses free throw 2 of 2,,55-54,,
11:26.0,,,55-54,,Defensive rebound by A. Johnson
11:08.0,,,55-54,,D. DeRozan misses 2-pt shot from 21 ft
11:07.0,,,55-54,,Offensive rebound by J. Valanciunas
10:58.0,,,55-56,2,J. Valanciunas makes 2-pt shot from 6 ft
10:36.0,A. Wiggins misses 3-pt shot from 29 ft,,55-56,,
10:35.0,Offensive rebound by K. Martin,,55-56,,
10:30.0,K. Martin misses 3-pt shot from 25 ft,,55-56,,
10:29.0,Offensive rebound by Team,,55-56,,
10:29.0,,,55-56,,Loose ball foul by J. Valanciunas (drawn by A. Payne)
10:14.0,G. Dieng misses 2-pt shot from 2 ft,,55-56,,
10:13.0,Offensive rebound by Team,,55-56,,
10:11.0,G. Dieng misses 2-pt shot from 7 ft,,55-56,,
10:10.0,,,55-56,,Defensive rebound by D. DeRozan
9:53.0,,,55-58,2,T. Ross makes 2-pt shot from 8 ft
9:32.0,Turnover by G. Dieng (lost ball; steal by A. Johnson),,55-58,,
9:26.0,,,55-58,,Shooting foul by R. Rubio (drawn by J. Valanciunas)
9:26.0,,,55-58,,J. Valanciunas misses free throw 1 of 2
9:26.0,,,55-58,,Offensive rebound by Team
9:26.0,,,55-59,1,J. Valanciunas makes free throw 2 of 2
9:10.0,Offensive foul by A. Payne,,55-59,,
9:10.0,Turnover by A. Payne (offensive foul),,55-59,,
9:10.0,C. Budinger enters the game for A. Payne,,55-59,,
8:59.0,,,55-59,,Offensive foul by J. Valanciunas
8:59.0,,,55-59,,Turnover by J. Valanciunas (offensive foul)
8:46.0,C. Budinger misses 2-pt shot from 5 ft,,55-59,,
8:45.0,,,55-59,,Defensive rebound by D. DeRozan
8:35.0,,,55-59,,D. DeRozan misses 2-pt shot from 8 ft
8:35.0,,,55-59,,Offensive rebound by Team
8:33.0,,,55-61,2,T. Ross makes 2-pt shot from 2 ft (assist by K. Lowry)
8:16.0,Shooting foul by A. Johnson (drawn by G. Dieng),,55-61,,
8:16.0,G. Dieng makes free throw 1 of 2,1,56-61,,
8:16.0,G. Dieng misses free throw 2 of 2,,56-61,,
8:15.0,,,56-61,,Defensive rebound by J. Valanciunas
7:53.0,,,56-63,2,J. Valanciunas makes 2-pt shot from 5 ft
7:35.0,K. Martin misses 2-pt shot from 11 ft,,56-63,,
7:34.0,,,56-63,,Defensive rebound by D. DeRozan
7:28.0,,,56-65,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
7:27.0,Minnesota full timeout,,56-65,,
7:11.0,C. Budinger makes 2-pt shot from 2 ft (assist by G. Dieng),2,58-65,,
7:11.0,Shooting foul by A. Johnson (drawn by C. Budinger),,58-65,,
7:11.0,C. Budinger misses free throw 1 of 1,,58-65,,
7:10.0,Offensive rebound by Team,,58-65,,
7:08.0,,,58-65,,Violation by A. Johnson (kicked ball)
7:01.0,R. Rubio makes 2-pt shot from 19 ft,2,60-65,,
6:44.0,,,60-68,3,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry)
6:25.0,C. Budinger makes 2-pt shot from 1 ft (assist by G. Dieng),2,62-68,,
6:11.0,,,62-68,,K. Lowry misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by K. Martin,,62-68,,
6:05.0,K. Martin makes 2-pt shot from 3 ft,2,64-68,,
5:42.0,,,64-68,,Shooting foul by C. Budinger (drawn by K. Lowry)
5:42.0,,,64-69,1,K. Lowry makes free throw 1 of 2
5:42.0,Z. LaVine enters the game for R. Rubio,,64-69,,
5:42.0,,,64-69,,P. Patterson enters the game for A. Johnson
5:42.0,,,64-70,1,K. Lowry makes free throw 2 of 2
5:23.0,K. Martin makes 2-pt shot from 14 ft (assist by C. Budinger),2,66-70,,
5:02.0,,,66-70,,K. Lowry misses 2-pt shot from 22 ft
5:01.0,Defensive rebound by K. Martin,,66-70,,
4:59.0,,,66-70,,Personal foul by K. Lowry (drawn by Z. LaVine)
4:59.0,Z. LaVine makes free throw 1 of 2,1,67-70,,
4:59.0,,,67-70,,G. Vasquez enters the game for K. Lowry
4:59.0,Z. LaVine misses free throw 2 of 2,,67-70,,
4:58.0,,,67-70,,Defensive rebound by J. Valanciunas
4:47.0,,,67-72,2,D. DeRozan makes 2-pt shot from 4 ft (assist by G. Vasquez)
4:47.0,,,67-72,,Shooting foul by K. Martin (drawn by D. DeRozan)
4:47.0,,,67-73,1,D. DeRozan makes free throw 1 of 1
4:30.0,G. Dieng misses 2-pt shot from 20 ft,,67-73,,
4:29.0,,,67-73,,Defensive rebound by J. Valanciunas
4:18.0,,,67-73,,D. DeRozan misses 2-pt shot from 5 ft
4:16.0,,,67-73,,Offensive rebound by J. Valanciunas
4:13.0,,,67-73,,J. Valanciunas misses 2-pt shot from 2 ft
4:12.0,Defensive rebound by Z. LaVine,,67-73,,
4:09.0,Z. LaVine makes 2-pt shot at rim,2,69-73,,
3:37.0,,,69-73,,Turnover by Team (shot clock)
3:37.0,L. Brown enters the game for K. Martin,,69-73,,
3:37.0,,,69-73,,L. Williams enters the game for T. Ross
3:29.0,Turnover by Z. LaVine (bad pass; steal by G. Vasquez),,69-73,,
3:26.0,,,69-73,,Shooting foul by L. Brown (drawn by D. DeRozan)
3:26.0,,,69-74,1,D. DeRozan makes free throw 1 of 2
3:26.0,,,69-75,1,D. DeRozan makes free throw 2 of 2
3:13.0,L. Brown misses 2-pt shot from 6 ft,,69-75,,
3:11.0,,,69-75,,Defensive rebound by Team
2:48.0,,,69-75,,D. DeRozan misses 2-pt shot from 15 ft
2:46.0,Defensive rebound by C. Budinger,,69-75,,
2:38.0,A. Wiggins misses 2-pt shot from 4 ft,,69-75,,
2:37.0,Offensive rebound by C. Budinger,,69-75,,
2:35.0,C. Budinger makes 2-pt shot at rim,2,71-75,,
2:35.0,,,71-75,,Toronto full timeout
2:20.0,,,71-78,3,G. Vasquez makes 3-pt shot from 23 ft (assist by J. Valanciunas)
1:54.0,Z. LaVine makes 2-pt shot from 20 ft (assist by G. Dieng),2,73-78,,
1:38.0,,,73-78,,G. Vasquez misses 2-pt shot from 4 ft
1:37.0,,,73-78,,Offensive rebound by J. Valanciunas
1:35.0,,,73-80,2,J. Valanciunas makes 2-pt shot at rim
1:18.0,A. Wiggins makes 2-pt shot from 3 ft,2,75-80,,
0:55.0,,,75-82,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by L. Williams)
0:40.0,Turnover by A. Wiggins (lost ball; steal by D. DeRozan),,75-82,,
0:30.0,,,75-82,,G. Vasquez misses 2-pt shot from 16 ft
0:28.0,Defensive rebound by Z. LaVine,,75-82,,
0:09.0,Turnover by Z. LaVine (dbl dribble),,75-82,,
0:00.0,,,75-82,,L. Williams misses 2-pt shot from 5 ft
0:00.0,,,75-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,75-82,,Personal foul by A. Johnson (drawn by G. Dieng)
11:40.0,K. Martin makes 2-pt shot from 8 ft,2,77-82,,
11:20.0,,,77-84,2,T. Ross makes 2-pt shot from 14 ft (assist by G. Vasquez)
10:56.0,Z. LaVine misses 3-pt shot from 26 ft,,77-84,,
10:55.0,,,77-84,,Defensive rebound by Team
10:55.0,A. Payne enters the game for G. Dieng,,77-84,,
10:43.0,,,77-84,,L. Williams misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by A. Payne,,77-84,,
10:21.0,K. Martin makes 2-pt shot from 12 ft (assist by C. Budinger),2,79-84,,
10:12.0,,,79-86,2,A. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez)
9:53.0,K. Martin misses 3-pt shot from 25 ft,,79-86,,
9:53.0,Offensive rebound by Z. LaVine,,79-86,,
9:52.0,Z. LaVine misses 2-pt shot from 1 ft,,79-86,,
9:51.0,,,79-86,,Defensive rebound by A. Johnson
9:47.0,,,79-86,,Turnover by A. Johnson (bad pass; steal by K. Martin)
9:40.0,K. Martin makes 2-pt shot from 7 ft,2,81-86,,
9:25.0,,,81-89,3,T. Ross makes 3-pt shot from 23 ft (assist by A. Johnson)
9:23.0,Minnesota full timeout,,81-89,,
9:23.0,R. Rubio enters the game for Z. LaVine,,81-89,,
9:06.0,R. Rubio misses 3-pt shot from 26 ft,,81-89,,
9:05.0,,,81-89,,Defensive rebound by A. Johnson
8:58.0,,,81-91,2,A. Johnson makes 2-pt shot at rim (assist by T. Ross)
8:33.0,A. Wiggins makes 2-pt shot from 14 ft,2,83-91,,
8:19.0,,,83-91,,Shooting foul by A. Wiggins (drawn by L. Williams)
8:19.0,,,83-91,,L. Williams misses free throw 1 of 3
8:19.0,,,83-91,,Offensive rebound by Team
8:19.0,,,83-92,1,L. Williams makes free throw 2 of 3
8:19.0,,,83-92,,L. Williams misses free throw 3 of 3
8:18.0,Defensive rebound by A. Payne,,83-92,,
8:04.0,C. Budinger makes 2-pt shot from 1 ft (assist by R. Rubio),2,85-92,,
7:49.0,,,85-92,,L. Williams misses 2-pt shot from 16 ft
7:48.0,Defensive rebound by R. Rubio,,85-92,,
7:39.0,K. Martin makes 3-pt shot from 23 ft (assist by A. Payne),3,88-92,,
7:30.0,,,88-92,,Toronto full timeout
7:30.0,,,88-92,,D. DeRozan enters the game for L. Williams
7:22.0,,,88-92,,D. DeRozan misses 2-pt shot from 16 ft
7:21.0,Defensive rebound by R. Rubio,,88-92,,
7:08.0,K. Martin misses 2-pt shot from 18 ft,,88-92,,
7:07.0,,,88-92,,Defensive rebound by D. DeRozan
6:55.0,,,88-95,3,P. Patterson makes 3-pt shot from 26 ft (assist by G. Vasquez)
6:37.0,A. Wiggins makes 2-pt shot from 18 ft,2,90-95,,
6:18.0,,,90-95,,P. Patterson misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by A. Payne,,90-95,,
6:04.0,A. Payne misses 2-pt shot from 3 ft,,90-95,,
6:03.0,Offensive rebound by A. Payne,,90-95,,
6:00.0,A. Payne makes 2-pt shot from 2 ft,2,92-95,,
5:41.0,,,92-95,,D. DeRozan misses 2-pt shot from 15 ft
5:40.0,,,92-95,,Offensive rebound by A. Johnson
5:34.0,,,92-95,,A. Johnson misses 2-pt shot from 6 ft (block by C. Budinger)
5:32.0,,,92-95,,Offensive rebound by A. Johnson
5:29.0,,,92-95,,G. Vasquez misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by R. Rubio,,92-95,,
5:27.0,Turnover by C. Budinger (traveling),,92-95,,
5:27.0,,,92-95,,L. Williams enters the game for T. Ross
5:27.0,,,92-95,,J. Valanciunas enters the game for A. Johnson
5:15.0,,,92-95,,Shooting foul by C. Budinger (drawn by D. DeRozan)
5:15.0,,,92-96,1,D. DeRozan makes free throw 1 of 2
5:15.0,G. Dieng enters the game for A. Payne,,92-96,,
5:15.0,,,92-97,1,D. DeRozan makes free throw 2 of 2
4:57.0,K. Martin misses 2-pt shot from 15 ft,,92-97,,
4:55.0,,,92-97,,Defensive rebound by J. Valanciunas
4:31.0,,,92-97,,L. Williams misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by Team,,92-97,,
4:17.0,Turnover by A. Wiggins (lost ball),,92-97,,
4:00.0,,,92-97,,Shooting foul by A. Wiggins (drawn by P. Patterson)
4:00.0,,,92-98,1,P. Patterson makes free throw 1 of 2
4:00.0,,,92-98,,P. Patterson misses free throw 2 of 2
3:59.0,Defensive rebound by G. Dieng,,92-98,,
3:44.0,C. Budinger misses 3-pt shot from 24 ft,,92-98,,
3:43.0,,,92-98,,Defensive rebound by J. Valanciunas
3:26.0,,,92-98,,P. Patterson misses 3-pt shot from 22 ft
3:25.0,Defensive rebound by R. Rubio,,92-98,,
3:17.0,C. Budinger misses 2-pt shot from 3 ft,,92-98,,
3:16.0,Offensive rebound by A. Wiggins,,92-98,,
3:14.0,A. Wiggins makes 2-pt shot from 1 ft,2,94-98,,
2:58.0,,,94-98,,L. Williams misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by Team,,94-98,,
2:58.0,Official timeout,,94-98,,
2:58.0,,,94-98,,A. Johnson enters the game for J. Valanciunas
2:44.0,C. Budinger makes 2-pt shot from 16 ft (assist by R. Rubio),2,96-98,,
2:16.0,,,96-98,,P. Patterson misses 2-pt shot from 12 ft
