time,Utah,pts.away,score,pts.home,Golden State
5:44.0,,,26-42,,Golden State full timeout
5:44.0,A. Burks enters the game for J. Ingles,,26-42,,
5:44.0,,,26-42,,D. Green enters the game for A. Iguodala
5:24.0,Shooting foul by A. Bogut (drawn by D. Favors),,26-42,,
5:24.0,D. Favors makes free throw 1 of 2,1,27-42,,
5:24.0,D. Favors makes free throw 2 of 2,1,28-42,,
5:14.0,,,28-42,,H. Barnes misses 2-pt shot from 1 ft
5:12.0,,,28-42,,Offensive rebound by A. Bogut
5:12.0,,,28-44,2,A. Bogut makes 2-pt shot at rim
4:57.0,,,28-44,,S. Curry enters the game for S. Livingston
4:49.0,D. Favors misses 2-pt shot from 11 ft,,28-44,,
4:48.0,,,28-44,,Defensive rebound by A. Bogut
4:35.0,,,28-46,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
4:14.0,D. Favors misses 2-pt shot from 13 ft,,28-46,,
4:13.0,,,28-46,,Defensive rebound by H. Barnes
4:07.0,,,28-46,,S. Curry misses 3-pt shot from 27 ft
4:06.0,Defensive rebound by A. Burks,,28-46,,
3:58.0,Turnover by A. Burks (bad pass; steal by S. Curry),,28-46,,
3:42.0,,,28-48,2,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green)
3:36.0,Utah full timeout,,28-48,,
3:36.0,T. Booker enters the game for G. Hayward,,28-48,,
3:36.0,J. Ingles enters the game for S. Novak,,28-48,,
3:26.0,A. Burks misses 2-pt shot from 18 ft,,28-48,,
3:25.0,,,28-48,,Defensive rebound by S. Curry
3:19.0,,,28-48,,K. Thompson misses 3-pt shot from 28 ft
3:18.0,Defensive rebound by T. Burke,,28-48,,
3:07.0,T. Burke misses 3-pt shot from 26 ft,,28-48,,
3:06.0,Offensive rebound by D. Favors,,28-48,,
2:45.0,Turnover by T. Burke (bad pass; steal by D. Green),,28-48,,
2:37.0,,,28-51,3,D. Green makes 3-pt shot from 26 ft (assist by H. Barnes)
2:18.0,Turnover by D. Favors (offensive foul),,28-51,,
2:18.0,Offensive charge foul by D. Favors,,28-51,,
2:18.0,G. Hayward enters the game for J. Ingles,,28-51,,
2:18.0,R. Gobert enters the game for D. Favors,,28-51,,
2:06.0,,,28-53,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
1:42.0,Turnover by T. Booker (lost ball; steal by S. Curry),,28-53,,
1:26.0,,,28-53,,D. Green misses 3-pt shot from 27 ft
1:25.0,Defensive rebound by G. Hayward,,28-53,,
1:13.0,A. Burks makes 2-pt shot from 14 ft (assist by T. Burke),2,30-53,,
0:56.0,,,30-53,,Turnover by S. Curry (bad pass; steal by T. Booker)
0:56.0,,,30-53,,Personal take foul by A. Bogut (drawn by T. Booker)
0:40.0,T. Burke makes 2-pt shot from 20 ft (assist by R. Gobert),2,32-53,,
0:40.0,,,32-53,,Golden State full timeout
0:40.0,,,32-53,,M. Speights enters the game for A. Bogut
0:40.0,J. Ingles enters the game for A. Burks,,32-53,,
0:34.0,Personal take foul by T. Burke (drawn by S. Curry),,32-53,,
0:27.0,,,32-53,,Shooting foul by R. Gobert (drawn by M. Speights)
0:27.0,,,32-53,,M. Speights misses free throw 1 of 2
0:27.0,,,32-53,,Offensive rebound by Team
0:27.0,,,32-54,1,M. Speights makes free throw 2 of 2
0:03.0,G. Hayward misses 2-pt shot from 17 ft,,32-54,,
0:02.0,,,32-54,,Defensive rebound by S. Curry
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,E. Kanter makes 2-pt shot from 15 ft (assist by T. Burke),2,34-54,,
11:30.0,,,34-56,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
11:12.0,T. Burke misses 2-pt shot from 10 ft,,34-56,,
11:11.0,Offensive rebound by D. Favors,,34-56,,
11:11.0,D. Favors misses 2-pt shot from 1 ft,,34-56,,
11:08.0,,,34-56,,Defensive rebound by K. Thompson
10:49.0,,,34-56,,D. Green misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by T. Burke,,34-56,,
10:40.0,Turnover by E. Kanter (lost ball; steal by D. Green),,34-56,,
10:36.0,,,34-58,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
10:19.0,G. Hayward makes 2-pt shot from 2 ft,2,36-58,,
10:12.0,,,36-58,,H. Barnes misses 2-pt shot from 2 ft (block by D. Favors)
10:09.0,Defensive rebound by G. Hayward,,36-58,,
9:53.0,A. Burks makes 3-pt shot from 25 ft (assist by D. Favors),3,39-58,,
9:44.0,,,39-58,,Shooting foul by G. Hayward (drawn by D. Green)
9:44.0,,,39-58,,D. Green misses free throw 1 of 2
9:44.0,,,39-58,,Offensive rebound by Team
9:44.0,,,39-59,1,D. Green makes free throw 2 of 2
9:27.0,G. Hayward misses 2-pt shot from 22 ft,,39-59,,
9:26.0,,,39-59,,Defensive rebound by A. Bogut
9:20.0,,,39-61,2,A. Bogut makes 2-pt shot from 1 ft
9:08.0,Shooting foul by K. Thompson (drawn by D. Favors),,39-61,,
9:08.0,D. Favors makes free throw 1 of 2,1,40-61,,
