time,Detroit,pts.away,score,pts.home,LA Lakers
8:54.0,A. Tolliver makes free throw 1 of 2,1,27-27,,
8:54.0,A. Tolliver makes free throw 2 of 2,1,28-27,,
8:38.0,,,28-27,,C. Boozer misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by A. Drummond,,28-27,,
8:24.0,J. Lucas III misses 2-pt shot from 2 ft,,28-27,,
8:21.0,,,28-27,,Defensive rebound by J. Lin
8:16.0,,,28-29,2,C. Boozer makes 2-pt shot from 2 ft (assist by R. Kelly)
8:02.0,,,28-29,,Personal foul by C. Boozer (drawn by J. Meeks)
7:54.0,J. Lucas III misses 3-pt shot from 25 ft,,28-29,,
7:52.0,,,28-29,,Defensive rebound by E. Davis
7:46.0,,,28-29,,Shooting foul by C. Butler (drawn by E. Davis)
7:46.0,,,28-30,1,E. Davis makes free throw 1 of 2
7:46.0,,,28-30,,T. Black enters the game for C. Boozer
7:46.0,,,28-30,,E. Davis misses free throw 2 of 2
7:43.0,Defensive rebound by A. Drummond,,28-30,,
7:28.0,C. Butler misses 3-pt shot from 25 ft,,28-30,,
7:27.0,,,28-30,,Defensive rebound by T. Black
7:17.0,,,28-30,,Turnover by W. Ellington (bad pass; steal by C. Butler)
7:07.0,Turnover by J. Meeks (offensive foul),,28-30,,
7:07.0,Offensive charge foul by J. Meeks,,28-30,,
7:07.0,G. Monroe enters the game for A. Drummond,,28-30,,
6:53.0,,,28-30,,W. Ellington misses 2-pt shot from 9 ft
6:52.0,Defensive rebound by J. Meeks,,28-30,,
6:41.0,A. Tolliver misses 3-pt shot from 25 ft,,28-30,,
6:40.0,,,28-30,,Defensive rebound by J. Lin
6:25.0,,,28-32,2,T. Black makes 2-pt shot from 5 ft (assist by J. Lin)
6:09.0,Shooting foul by E. Davis (drawn by C. Butler),,28-32,,
6:09.0,C. Butler makes free throw 1 of 2,1,29-32,,
6:09.0,R. Jackson enters the game for J. Lucas III,,29-32,,
6:09.0,,,29-32,,J. Clarkson enters the game for J. Lin
6:09.0,,,29-32,,J. Hill enters the game for E. Davis
6:09.0,K. Caldwell-Pope enters the game for J. Meeks,,29-32,,
6:09.0,C. Butler makes free throw 2 of 2,1,30-32,,
5:52.0,,,30-32,,Shooting foul by R. Jackson (drawn by R. Kelly)
5:52.0,,,30-32,,LA Lakers full timeout
5:52.0,S. Williams enters the game for R. Jackson,,30-32,,
5:52.0,S. Dinwiddie enters the game for A. Tolliver,,30-32,,
5:52.0,,,30-33,1,R. Kelly makes free throw 1 of 2
5:52.0,,,30-34,1,R. Kelly makes free throw 2 of 2
5:40.0,G. Monroe makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,32-34,,
5:22.0,,,32-37,3,W. Ellington makes 3-pt shot from 24 ft
5:04.0,,,32-37,,W. Johnson enters the game for R. Kelly
4:53.0,G. Monroe makes 2-pt shot from 13 ft (assist by S. Dinwiddie),2,34-37,,
4:42.0,Personal foul by S. Dinwiddie (drawn by J. Clarkson),,34-37,,
4:32.0,,,34-37,,W. Johnson misses 2-pt shot from 20 ft
4:31.0,,,34-37,,Offensive rebound by J. Clarkson
4:25.0,,,34-39,2,J. Clarkson makes 2-pt shot from 8 ft
4:16.0,Shooting foul by J. Clarkson (drawn by S. Dinwiddie),,34-39,,
4:16.0,S. Dinwiddie makes free throw 1 of 2,1,35-39,,
4:16.0,S. Dinwiddie makes free throw 2 of 2,1,36-39,,
3:57.0,,,36-39,,Turnover by J. Clarkson (lost ball; steal by S. Williams)
3:49.0,Shooting foul by T. Black (drawn by G. Monroe),,36-39,,
3:49.0,G. Monroe makes free throw 1 of 2,1,37-39,,
3:49.0,G. Monroe misses free throw 2 of 2,,37-39,,
3:47.0,,,37-39,,Defensive rebound by T. Black
3:29.0,,,37-41,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
3:06.0,S. Williams makes 2-pt shot from 21 ft,2,39-41,,
2:50.0,,,39-43,2,W. Ellington makes 2-pt shot from 19 ft (assist by J. Clarkson)
2:34.0,S. Williams misses 3-pt shot from 24 ft,,39-43,,
2:33.0,,,39-43,,Defensive rebound by W. Johnson
2:12.0,,,39-43,,Shooting foul by C. Butler (drawn by W. Johnson)
2:12.0,Detroit full timeout,,39-43,,
2:12.0,A. Drummond enters the game for C. Butler,,39-43,,
2:12.0,J. Meeks enters the game for S. Williams,,39-43,,
2:12.0,,,39-44,1,W. Johnson makes free throw 1 of 2
2:12.0,,,39-45,1,W. Johnson makes free throw 2 of 2
1:58.0,J. Meeks makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,42-45,,
1:34.0,,,42-47,2,T. Black makes 2-pt shot from 1 ft (assist by W. Ellington)
1:23.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by G. Monroe),3,45-47,,
1:09.0,,,45-47,,J. Hill misses 2-pt shot from 20 ft
1:08.0,,,45-47,,Offensive rebound by T. Black
0:59.0,,,45-49,2,J. Hill makes 2-pt shot from 4 ft
0:43.0,S. Dinwiddie makes 2-pt shot from 17 ft (assist by G. Monroe),2,47-49,,
0:28.0,,,47-49,,J. Clarkson misses 2-pt shot from 15 ft
0:26.0,Defensive rebound by Team,,47-49,,
0:05.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,50-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-49,,J. Hill misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by G. Monroe,,50-49,,
11:20.0,R. Jackson misses 3-pt shot from 22 ft,,50-49,,
11:19.0,,,50-49,,Defensive rebound by T. Black
11:07.0,,,50-49,,J. Clarkson misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by A. Drummond,,50-49,,
10:54.0,T. Prince misses 3-pt shot from 23 ft,,50-49,,
10:53.0,,,50-49,,Defensive rebound by W. Ellington
10:28.0,,,50-49,,J. Hill misses 2-pt shot from 21 ft
10:26.0,Defensive rebound by K. Caldwell-Pope,,50-49,,
10:15.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,50-49,,
10:14.0,,,50-49,,Defensive rebound by J. Clarkson
10:02.0,,,50-51,2,T. Black makes 2-pt shot from 1 ft (assist by J. Clarkson)
9:52.0,,,50-51,,Personal foul by J. Clarkson (drawn by R. Jackson)
9:48.0,Turnover by R. Jackson (lost ball; steal by J. Clarkson),,50-51,,
9:44.0,,,50-51,,Shooting foul by G. Monroe (drawn by W. Johnson)
9:44.0,,,50-52,1,W. Johnson makes free throw 1 of 2
9:44.0,,,50-53,1,W. Johnson makes free throw 2 of 2
9:28.0,R. Jackson misses 3-pt shot from 25 ft,,50-53,,
9:27.0,,,50-53,,Defensive rebound by W. Ellington
9:14.0,,,50-53,,T. Black misses 2-pt shot from 1 ft (block by A. Drummond)
9:12.0,Defensive rebound by G. Monroe,,50-53,,
9:00.0,Turnover by R. Jackson (lost ball),,50-53,,
8:45.0,,,50-53,,J. Hill misses 2-pt shot from 15 ft
8:44.0,,,50-53,,Offensive rebound by T. Black
8:41.0,,,50-55,2,T. Black makes 2-pt shot from 4 ft
8:41.0,Detroit full timeout,,50-55,,
8:28.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,50-55,,
8:26.0,,,50-55,,Defensive rebound by J. Hill
8:24.0,Personal foul by G. Monroe (drawn by J. Hill),,50-55,,
8:02.0,,,50-55,,T. Black misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by A. Drummond,,50-55,,
7:55.0,R. Jackson misses 2-pt shot from 8 ft,,50-55,,
7:53.0,,,50-55,,Defensive rebound by J. Clarkson
7:47.0,,,50-57,2,J. Clarkson makes 2-pt shot from 1 ft
7:33.0,S. Dinwiddie enters the game for R. Jackson,,50-57,,
7:33.0,A. Tolliver enters the game for G. Monroe,,50-57,,
7:22.0,S. Dinwiddie misses 3-pt shot from 28 ft,,50-57,,
7:22.0,Offensive rebound by Team,,50-57,,
7:22.0,Turnover by Team (shot clock),,50-57,,
7:07.0,,,50-57,,J. Clarkson misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by A. Drummond,,50-57,,
6:57.0,A. Tolliver misses 3-pt shot from 24 ft,,50-57,,
6:55.0,,,50-57,,Defensive rebound by Team
6:32.0,,,50-57,,J. Clarkson misses 2-pt shot from 2 ft (block by S. Dinwiddie)
6:31.0,,,50-57,,Offensive rebound by W. Ellington
6:31.0,,,50-57,,Turnover by Team (shot clock)
6:19.0,Turnover by A. Drummond (3 sec),,50-57,,
6:19.0,Violation by Team (delay of game),,50-57,,
5:57.0,,,50-57,,W. Johnson misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by A. Tolliver,,50-57,,
5:43.0,T. Prince makes 2-pt shot from 1 ft,2,52-57,,
5:20.0,,,52-59,2,J. Clarkson makes 2-pt shot from 1 ft
5:00.0,A. Drummond misses 2-pt shot from 7 ft,,52-59,,
4:58.0,,,52-59,,Defensive rebound by W. Ellington
4:54.0,,,52-59,,W. Ellington misses 2-pt shot from 16 ft
4:54.0,Defensive rebound by Team,,52-59,,
4:54.0,,,52-59,,J. Lin enters the game for W. Ellington
4:54.0,,,52-59,,C. Boozer enters the game for T. Black
4:31.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,52-59,,
4:30.0,Offensive rebound by A. Tolliver,,52-59,,
4:24.0,S. Dinwiddie misses 2-pt shot from 5 ft,,52-59,,
4:23.0,,,52-59,,Defensive rebound by J. Lin
4:15.0,,,52-59,,J. Clarkson misses 2-pt shot from 3 ft
4:14.0,Defensive rebound by A. Drummond,,52-59,,
4:06.0,Shooting foul by W. Johnson (drawn by T. Prince),,52-59,,
4:06.0,T. Prince misses free throw 1 of 2,,52-59,,
4:06.0,Offensive rebound by Team,,52-59,,
4:06.0,J. Meeks enters the game for K. Caldwell-Pope,,52-59,,
4:06.0,G. Monroe enters the game for A. Drummond,,52-59,,
4:06.0,T. Prince makes free throw 2 of 2,1,53-59,,
3:45.0,,,53-59,,Turnover by W. Johnson (bad pass; steal by T. Prince)
3:39.0,J. Meeks makes 3-pt shot from 23 ft (assist by T. Prince),3,56-59,,
3:38.0,,,56-59,,LA Lakers full timeout
3:24.0,,,56-59,,Turnover by J. Hill (lost ball; steal by J. Meeks)
3:18.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Meeks),2,58-59,,
2:50.0,,,58-61,2,J. Hill makes 2-pt shot from 18 ft (assist by J. Lin)
2:26.0,A. Tolliver misses 2-pt shot from 1 ft (block by J. Hill),,58-61,,
2:26.0,,,58-61,,Defensive rebound by J. Lin
2:26.0,Personal foul by A. Tolliver (drawn by J. Lin),,58-61,,
2:14.0,,,58-61,,C. Boozer misses 2-pt shot at rim (block by G. Monroe)
2:11.0,Defensive rebound by S. Dinwiddie,,58-61,,
1:55.0,T. Prince misses 3-pt shot from 23 ft,,58-61,,
1:54.0,Offensive rebound by Team,,58-61,,
1:54.0,,,58-61,,Loose ball foul by J. Clarkson (drawn by A. Tolliver)
1:54.0,,,58-61,,W. Ellington enters the game for J. Clarkson
1:54.0,K. Caldwell-Pope enters the game for T. Prince,,58-61,,
1:37.0,J. Meeks misses 3-pt shot from 24 ft,,58-61,,
1:36.0,,,58-61,,Defensive rebound by C. Boozer
1:29.0,Personal foul by S. Dinwiddie (drawn by C. Boozer),,58-61,,
1:29.0,,,58-61,,E. Davis enters the game for J. Hill
1:26.0,,,58-61,,Shooting foul by S. Dinwiddie (drawn by J. Lin)
1:26.0,,,58-62,1,J. Lin makes free throw 1 of 2
1:26.0,,,58-63,1,J. Lin makes free throw 2 of 2
1:03.0,G. Monroe misses 2-pt shot from 7 ft,,58-63,,
1:02.0,,,58-63,,Defensive rebound by C. Boozer
0:59.0,Personal foul by S. Dinwiddie (drawn by J. Lin),,58-63,,
0:59.0,,,58-63,,J. Lin misses free throw 1 of 2
0:59.0,,,58-63,,Offensive rebound by Team
0:59.0,,,58-64,1,J. Lin makes free throw 2 of 2
0:45.0,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by A. Tolliver),2,60-64,,
0:45.0,Shooting foul by W. Johnson (drawn by K. Caldwell-Pope),,60-64,,
0:45.0,R. Jackson enters the game for S. Dinwiddie,,60-64,,
0:45.0,K. Caldwell-Pope makes free throw 1 of 1,1,61-64,,
0:28.0,,,61-67,3,J. Lin makes 3-pt shot from 26 ft (assist by W. Ellington)
0:03.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,61-67,,
0:02.0,,,61-67,,Defensive rebound by C. Boozer
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,R. Jackson misses 2-pt shot from 2 ft,,61-67,,
11:45.0,,,61-67,,Defensive rebound by C. Boozer
11:27.0,,,61-67,,C. Boozer misses 2-pt shot from 7 ft (block by G. Monroe)
11:25.0,Defensive rebound by G. Monroe,,61-67,,
11:14.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,61-67,,
11:12.0,Offensive rebound by G. Monroe,,61-67,,
11:09.0,G. Monroe makes 2-pt shot from 1 ft,2,63-67,,
10:42.0,,,63-67,,J. Lin misses 2-pt shot from 7 ft (block by A. Tolliver)
10:41.0,Defensive rebound by G. Monroe,,63-67,,
10:39.0,Turnover by G. Monroe (bad pass; steal by W. Ellington),,63-67,,
10:38.0,Personal foul by K. Caldwell-Pope (drawn by W. Ellington),,63-67,,
10:20.0,,,63-69,2,E. Davis makes 2-pt shot from 1 ft (assist by C. Boozer)
10:06.0,J. Meeks misses 2-pt shot from 16 ft,,63-69,,
10:03.0,Offensive rebound by G. Monroe,,63-69,,
10:03.0,Shooting foul by E. Davis (drawn by G. Monroe),,63-69,,
10:03.0,G. Monroe misses free throw 1 of 2,,63-69,,
10:03.0,Offensive rebound by Team,,63-69,,
10:03.0,G. Monroe makes free throw 2 of 2,1,64-69,,
9:50.0,,,64-69,,C. Boozer misses 2-pt shot from 11 ft
9:49.0,Defensive rebound by R. Jackson,,64-69,,
9:39.0,Turnover by J. Meeks (bad pass; steal by E. Davis),,64-69,,
9:26.0,,,64-69,,W. Ellington misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by K. Caldwell-Pope,,64-69,,
9:16.0,J. Meeks makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,67-69,,
8:54.0,,,67-71,2,E. Davis makes 2-pt shot from 5 ft (assist by J. Lin)
8:35.0,R. Jackson misses 3-pt shot from 25 ft,,67-71,,
8:33.0,,,67-71,,Defensive rebound by C. Boozer
8:26.0,,,67-71,,W. Ellington misses 3-pt shot from 25 ft
8:23.0,,,67-71,,Offensive rebound by E. Davis
8:19.0,,,67-73,2,W. Ellington makes 2-pt shot from 1 ft (assist by E. Davis)
8:15.0,Detroit full timeout,,67-73,,
8:15.0,A. Drummond enters the game for A. Tolliver,,67-73,,
8:02.0,G. Monroe makes 2-pt shot from 9 ft,2,69-73,,
7:43.0,,,69-75,2,E. Davis makes 2-pt shot at rim (assist by W. Ellington)
7:27.0,Turnover by R. Jackson (lost ball; steal by R. Kelly),,69-75,,
7:21.0,,,69-77,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
7:02.0,J. Meeks misses 2-pt shot from 21 ft,,69-77,,
7:00.0,,,69-77,,Defensive rebound by J. Lin
6:57.0,,,69-77,,Shooting foul by J. Meeks (drawn by J. Lin)
6:57.0,,,69-78,1,J. Lin makes free throw 1 of 2
6:57.0,S. Dinwiddie enters the game for R. Jackson,,69-78,,
6:57.0,,,69-78,,J. Lin misses free throw 2 of 2
6:55.0,Defensive rebound by Team,,69-78,,
6:35.0,J. Meeks misses 3-pt shot from 22 ft,,69-78,,
6:33.0,,,69-78,,Defensive rebound by C. Boozer
6:21.0,,,69-78,,Turnover by J. Lin (bad pass; steal by G. Monroe)
6:16.0,G. Monroe makes 2-pt shot at rim (assist by J. Meeks),2,71-78,,
6:01.0,,,71-78,,J. Lin misses 2-pt shot from 2 ft (block by A. Drummond)
5:58.0,Defensive rebound by A. Drummond,,71-78,,
5:54.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,74-78,,
5:53.0,,,74-78,,LA Lakers full timeout
5:41.0,Jump ball: W. Ellington vs. J. Meeks (S. Dinwiddie gains possession),,,,Jump ball: W. Ellington vs. J. Meeks (S. Dinwiddie gains possession)
5:41.0,,,74-78,,Turnover by W. Ellington (lost ball; steal by J. Meeks)
5:20.0,S. Dinwiddie misses 3-pt shot from 24 ft,,74-78,,
5:19.0,,,74-78,,Defensive rebound by E. Davis
5:05.0,,,74-78,,Shooting foul by K. Caldwell-Pope (drawn by R. Kelly)
5:05.0,,,74-79,1,R. Kelly makes free throw 1 of 2
5:05.0,,,74-80,1,R. Kelly makes free throw 2 of 2
4:54.0,Turnover by S. Dinwiddie (bad pass; steal by J. Lin),,74-80,,
4:49.0,,,74-80,,Shooting foul by K. Caldwell-Pope (drawn by J. Lin)
4:49.0,,,74-81,1,J. Lin makes free throw 1 of 2
4:49.0,,,74-81,,W. Johnson enters the game for R. Kelly
4:49.0,,,74-81,,J. Lin misses free throw 2 of 2
4:48.0,Defensive rebound by A. Drummond,,74-81,,
4:32.0,Shooting foul by C. Boozer (drawn by G. Monroe),,74-81,,
4:32.0,G. Monroe makes free throw 1 of 2,1,75-81,,
4:32.0,,,75-81,,J. Hill enters the game for E. Davis
4:32.0,G. Monroe makes free throw 2 of 2,1,76-81,,
4:19.0,,,76-83,2,W. Ellington makes 2-pt shot from 1 ft
4:04.0,Turnover by J. Meeks (lost ball; steal by W. Ellington),,76-83,,
3:54.0,,,76-83,,J. Lin misses 2-pt shot from 3 ft
3:53.0,Defensive rebound by A. Drummond,,76-83,,
3:46.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,76-83,,
3:43.0,Offensive rebound by A. Drummond,,76-83,,
3:41.0,G. Monroe misses 2-pt shot from 3 ft,,76-83,,
3:33.0,Offensive rebound by A. Drummond,,76-83,,
3:33.0,A. Drummond makes 2-pt shot from 2 ft,2,78-83,,
3:17.0,,,78-83,,Turnover by C. Boozer (bad pass; steal by A. Drummond)
2:59.0,J. Meeks misses 2-pt shot from 7 ft,,78-83,,
2:57.0,Offensive rebound by A. Drummond,,78-83,,
2:57.0,A. Drummond makes 2-pt shot at rim,2,80-83,,
2:38.0,,,80-83,,J. Hill misses 2-pt shot from 4 ft
2:37.0,Defensive rebound by A. Drummond,,80-83,,
2:30.0,S. Dinwiddie misses 2-pt shot from 6 ft,,80-83,,
2:28.0,,,80-83,,Defensive rebound by C. Boozer
2:20.0,,,80-83,,Shooting foul by S. Dinwiddie (drawn by W. Johnson)
2:20.0,Official timeout,,80-83,,
2:20.0,,,80-84,1,W. Johnson makes free throw 1 of 2
2:20.0,,,80-85,1,W. Johnson makes free throw 2 of 2
2:05.0,J. Meeks misses 3-pt shot from 22 ft,,80-85,,
2:03.0,,,80-85,,Defensive rebound by Team
1:45.0,,,80-85,,Turnover by W. Johnson (bad pass; steal by S. Dinwiddie)
1:42.0,J. Meeks makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,82-85,,
1:19.0,,,82-85,,J. Hill misses 2-pt shot from 4 ft
1:18.0,Defensive rebound by G. Monroe,,82-85,,
1:09.0,Shooting foul by C. Boozer (drawn by G. Monroe),,82-85,,
1:09.0,G. Monroe misses free throw 1 of 2,,82-85,,
1:09.0,Offensive rebound by Team,,82-85,,
1:09.0,G. Monroe misses free throw 2 of 2,,82-85,,
