time,Portland,pts.away,score,pts.home,Denver
1:59.0,,,21-25,1,G. Harris makes free throw 2 of 2
1:42.0,C. Kaman misses 2-pt shot from 18 ft,,21-25,,
1:41.0,,,21-25,,Defensive rebound by T. Lawson
1:31.0,,,21-27,2,J. Hickson makes 2-pt shot from 2 ft (assist by T. Lawson)
1:10.0,C. Kaman misses 2-pt shot from 4 ft,,21-27,,
1:09.0,,,21-27,,Defensive rebound by G. Harris
1:05.0,Personal foul by S. Blake (drawn by T. Lawson),,21-27,,
1:05.0,,,21-28,1,T. Lawson makes free throw 1 of 2
1:05.0,,,21-28,,T. Lawson misses free throw 2 of 2
1:02.0,Defensive rebound by L. Aldridge,,21-28,,
0:45.0,L. Aldridge misses 2-pt shot from 14 ft,,21-28,,
0:44.0,,,21-28,,Defensive rebound by D. Gallinari
0:37.0,,,21-28,,Shooting foul by C. Kaman (drawn by J. Hickson)
0:37.0,,,21-30,2,J. Hickson makes 2-pt shot at rim (assist by G. Harris)
0:37.0,,,21-31,1,J. Hickson makes free throw 1 of 1
0:15.0,W. Matthews makes 2-pt shot from 23 ft,2,23-31,,
0:02.0,,,23-31,,T. Lawson misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by S. Blake,,23-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-31,,D. Arthur misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by W. Matthews,,23-31,,
11:36.0,Offensive foul by W. Matthews,,23-31,,
11:36.0,Turnover by W. Matthews (offensive foul),,23-31,,
11:25.0,,,23-31,,D. Gallinari misses 2-pt shot from 2 ft (block by C. Kaman)
11:23.0,Defensive rebound by C. Kaman,,23-31,,
11:19.0,W. Matthews misses 3-pt shot from 23 ft,,23-31,,
11:18.0,Offensive rebound by J. Freeland,,23-31,,
10:52.0,W. Matthews misses 3-pt shot from 23 ft,,23-31,,
10:52.0,,,23-31,,Defensive rebound by D. Arthur
10:44.0,,,23-33,2,D. Arthur makes 2-pt shot from 1 ft
10:37.0,,,23-33,,Personal block foul by D. Gallinari (drawn by W. Matthews)
10:26.0,Turnover by C. Kaman (lost ball; steal by N. Robinson),,23-33,,
10:22.0,,,23-33,,G. Harris misses 2-pt shot at rim
10:20.0,Defensive rebound by A. Crabbe,,23-33,,
10:15.0,A. Crabbe misses 2-pt shot from 22 ft,,23-33,,
10:14.0,,,23-33,,Defensive rebound by J. Hickson
10:06.0,,,23-33,,N. Robinson misses 3-pt shot from 24 ft
10:05.0,,,23-33,,Offensive rebound by D. Arthur
10:03.0,,,23-33,,Shooting foul by C. Kaman (drawn by D. Arthur)
10:03.0,,,23-34,1,D. Arthur makes free throw 1 of 2
10:03.0,,,23-35,1,D. Arthur makes free throw 2 of 2
9:49.0,Turnover by A. Crabbe (bad pass),,23-35,,
9:31.0,,,23-35,,G. Harris misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by J. Freeland,,23-35,,
9:18.0,S. Blake makes 2-pt shot from 20 ft,2,25-35,,
8:54.0,,,25-35,,N. Robinson misses 2-pt shot from 17 ft
8:53.0,Defensive rebound by J. Freeland,,25-35,,
8:50.0,J. Freeland misses 2-pt shot from 13 ft,,25-35,,
8:49.0,,,25-35,,Defensive rebound by D. Gallinari
8:45.0,,,25-35,,N. Robinson misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by A. Crabbe,,25-35,,
8:27.0,W. Matthews makes 2-pt shot from 14 ft,2,27-35,,
8:18.0,,,27-35,,Denver full timeout
8:18.0,D. Lillard enters the game for W. Matthews,,27-35,,
8:18.0,N. Batum enters the game for S. Blake,,27-35,,
8:18.0,,,27-35,,A. Afflalo enters the game for G. Harris
8:17.0,,,27-35,,Turnover by D. Arthur (bad pass; steal by J. Freeland)
7:57.0,C. Kaman makes 2-pt shot from 3 ft,2,29-35,,
7:47.0,Personal foul by A. Crabbe (drawn by A. Afflalo),,29-35,,
7:42.0,,,29-35,,N. Robinson misses 2-pt shot from 1 ft
7:41.0,,,29-35,,Offensive rebound by J. Hickson
7:41.0,,,29-37,2,J. Hickson makes 2-pt shot from 1 ft
7:24.0,,,29-37,,Personal foul by J. Hickson (drawn by C. Kaman)
7:24.0,Turnover by C. Kaman (step out of bounds),,29-37,,
6:56.0,,,29-37,,N. Robinson misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by J. Freeland,,29-37,,
6:48.0,Turnover by J. Freeland (bad pass; steal by D. Arthur),,29-37,,
6:43.0,,,29-37,,Turnover by J. Hickson (bad pass; steal by N. Batum)
6:37.0,,,29-37,,Personal foul by N. Robinson (drawn by D. Lillard)
6:37.0,,,29-37,,T. Lawson enters the game for J. Hickson
6:37.0,,,29-37,,K. Faried enters the game for D. Arthur
6:37.0,,,29-37,,T. Mozgov enters the game for N. Robinson
6:37.0,R. Lopez enters the game for C. Kaman,,29-37,,
6:32.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,31-37,,
6:21.0,,,31-37,,A. Afflalo misses 2-pt shot from 17 ft (block by A. Crabbe)
6:20.0,,,31-37,,Offensive rebound by D. Gallinari
6:11.0,,,31-39,2,D. Gallinari makes 2-pt shot from 19 ft
5:54.0,D. Lillard misses 2-pt shot from 4 ft,,31-39,,
5:52.0,Offensive rebound by R. Lopez,,31-39,,
5:49.0,N. Batum misses 3-pt shot from 24 ft,,31-39,,
5:48.0,,,31-39,,Defensive rebound by T. Lawson
5:39.0,,,31-42,3,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson)
5:28.0,Portland full timeout,,31-42,,
5:28.0,L. Aldridge enters the game for J. Freeland,,31-42,,
5:16.0,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum),2,33-42,,
4:56.0,,,33-44,2,T. Mozgov makes 2-pt shot from 4 ft
4:40.0,Shooting foul by T. Mozgov (drawn by L. Aldridge),,33-44,,
4:40.0,L. Aldridge makes free throw 1 of 2,1,34-44,,
4:40.0,,,34-44,,J. Hickson enters the game for T. Mozgov
4:40.0,L. Aldridge makes free throw 2 of 2,1,35-44,,
4:28.0,,,35-46,2,T. Lawson makes 2-pt shot from 15 ft
4:18.0,L. Aldridge misses 2-pt shot from 18 ft,,35-46,,
4:17.0,,,35-46,,Defensive rebound by J. Hickson
4:08.0,,,35-48,2,D. Gallinari makes 2-pt shot from 21 ft (assist by T. Lawson)
3:58.0,D. Lillard makes 2-pt shot from 1 ft,2,37-48,,
3:58.0,Shooting foul by T. Lawson (drawn by D. Lillard),,37-48,,
3:58.0,W. Matthews enters the game for A. Crabbe,,37-48,,
3:58.0,D. Lillard makes free throw 1 of 1,1,38-48,,
3:40.0,,,38-48,,D. Gallinari misses 2-pt shot from 21 ft
3:39.0,Defensive rebound by D. Lillard,,38-48,,
3:29.0,Shooting foul by K. Faried (drawn by L. Aldridge),,38-48,,
3:29.0,L. Aldridge makes free throw 1 of 2,1,39-48,,
3:29.0,,,39-48,,W. Chandler enters the game for D. Gallinari
3:29.0,L. Aldridge makes free throw 2 of 2,1,40-48,,
3:17.0,,,40-48,,Turnover by J. Hickson (traveling)
3:05.0,L. Aldridge misses 2-pt shot from 21 ft,,40-48,,
3:01.0,,,40-48,,Defensive rebound by K. Faried
3:01.0,Personal foul by D. Lillard (drawn by T. Lawson),,40-48,,
3:01.0,S. Blake enters the game for D. Lillard,,40-48,,
2:49.0,,,40-48,,K. Faried misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by L. Aldridge,,40-48,,
2:38.0,,,40-48,,Violation by J. Hickson (def goaltending)
2:38.0,L. Aldridge makes 2-pt shot from 1 ft,2,42-48,,
2:38.0,Shooting foul by A. Afflalo (drawn by L. Aldridge),,42-48,,
2:38.0,Official timeout,,42-48,,
2:38.0,L. Aldridge misses free throw 1 of 1,,42-48,,
2:37.0,,,42-48,,Defensive rebound by J. Hickson
2:18.0,,,42-50,2,W. Chandler makes 2-pt shot from 6 ft
2:03.0,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum),2,44-50,,
1:46.0,Personal foul by S. Blake (drawn by K. Faried),,44-50,,
1:38.0,,,44-52,2,T. Lawson makes 2-pt shot from 10 ft
1:38.0,,,44-52,,Shooting foul by S. Blake (drawn by T. Lawson)
1:38.0,,,44-52,,T. Lawson misses free throw 1 of 1
1:36.0,Defensive rebound by L. Aldridge,,44-52,,
1:22.0,L. Aldridge makes 2-pt shot from 18 ft (assist by N. Batum),2,46-52,,
1:05.0,,,46-54,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
0:46.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,48-54,,
0:37.0,,,48-54,,T. Lawson misses 2-pt shot from 15 ft
0:36.0,Defensive rebound by N. Batum,,48-54,,
0:26.0,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum),2,50-54,,
0:04.0,,,50-56,2,T. Lawson makes 2-pt shot from 15 ft
0:01.0,L. Aldridge misses 3-pt shot from 26 ft,,50-56,,
0:00.0,Offensive rebound by Team,,50-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-58,2,K. Faried makes 2-pt shot from 6 ft (assist by T. Lawson)
11:25.0,Turnover by N. Batum (bad pass),,50-58,,
11:04.0,,,50-61,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
10:47.0,N. Batum makes 2-pt shot from 1 ft (assist by W. Matthews),2,52-61,,
10:32.0,,,52-61,,T. Lawson misses 2-pt shot from 12 ft
10:31.0,Defensive rebound by Team,,52-61,,
10:21.0,W. Matthews misses 3-pt shot from 25 ft,,52-61,,
10:20.0,,,52-61,,Defensive rebound by T. Mozgov
10:10.0,,,52-61,,Turnover by W. Chandler (traveling)
9:57.0,N. Batum misses 3-pt shot from 25 ft,,52-61,,
9:56.0,,,52-61,,Defensive rebound by W. Chandler
9:46.0,,,52-61,,Shooting foul by R. Lopez (drawn by T. Mozgov)
9:46.0,,,52-62,1,T. Mozgov makes free throw 1 of 2
9:46.0,,,52-62,,T. Mozgov misses free throw 2 of 2
9:46.0,,,52-62,,Offensive rebound by W. Chandler
9:35.0,,,52-64,2,A. Afflalo makes 2-pt shot from 11 ft
9:25.0,D. Lillard misses 3-pt shot from 27 ft,,52-64,,
9:22.0,Offensive rebound by Team,,52-64,,
9:08.0,L. Aldridge misses 2-pt shot from 5 ft,,52-64,,
9:07.0,,,52-64,,Defensive rebound by K. Faried
9:00.0,,,52-64,,Shooting foul by D. Lillard (drawn by T. Lawson)
9:00.0,,,52-64,,T. Lawson misses free throw 1 of 2
9:00.0,,,52-64,,Offensive rebound by Team
9:00.0,S. Blake enters the game for D. Lillard,,52-64,,
9:00.0,,,52-65,1,T. Lawson makes free throw 2 of 2
8:39.0,S. Blake makes 3-pt shot from 23 ft (assist by N. Batum),3,55-65,,
8:27.0,,,55-65,,K. Faried misses 2-pt shot from 9 ft
8:26.0,Defensive rebound by S. Blake,,55-65,,
8:24.0,Turnover by S. Blake (bad pass; steal by T. Lawson),,55-65,,
8:17.0,,,55-68,3,T. Lawson makes 3-pt shot from 23 ft (assist by A. Afflalo)
8:01.0,Shooting foul by T. Mozgov (drawn by W. Matthews),,55-68,,
8:01.0,W. Matthews makes free throw 1 of 2,1,56-68,,
8:01.0,W. Matthews makes free throw 2 of 2,1,57-68,,
7:49.0,,,57-68,,Turnover by T. Lawson (bad pass; steal by N. Batum)
7:41.0,S. Blake makes 3-pt shot from 23 ft (assist by N. Batum),3,60-68,,
7:23.0,,,60-71,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
7:05.0,N. Batum misses 2-pt shot from 20 ft,,60-71,,
7:04.0,,,60-71,,Defensive rebound by T. Mozgov
6:56.0,,,60-71,,T. Lawson misses 2-pt shot from 19 ft
6:55.0,,,60-71,,Offensive rebound by T. Mozgov
6:51.0,,,60-73,2,W. Chandler makes 2-pt shot from 18 ft (assist by T. Mozgov)
6:51.0,Portland full timeout,,60-73,,
6:38.0,L. Aldridge misses 2-pt shot from 11 ft,,60-73,,
6:37.0,,,60-73,,Defensive rebound by K. Faried
6:26.0,,,60-73,,Turnover by T. Mozgov (traveling)
6:07.0,W. Matthews makes 2-pt shot from 6 ft,2,62-73,,
5:47.0,,,62-73,,A. Afflalo misses 2-pt shot from 10 ft
5:46.0,Defensive rebound by L. Aldridge,,62-73,,
5:32.0,Turnover by N. Batum (bad pass; steal by W. Chandler),,62-73,,
5:27.0,,,62-75,2,A. Afflalo makes 2-pt shot from 1 ft (assist by T. Lawson)
5:27.0,,,62-75,,Shooting foul by N. Batum (drawn by A. Afflalo)
5:27.0,D. Lillard enters the game for W. Matthews,,62-75,,
5:27.0,,,62-75,,J. Hickson enters the game for T. Mozgov
5:27.0,,,62-76,1,A. Afflalo makes free throw 1 of 1
5:09.0,S. Blake makes 2-pt shot from 2 ft,2,64-76,,
5:00.0,,,64-78,2,A. Afflalo makes 2-pt shot from 14 ft (assist by T. Lawson)
4:45.0,D. Lillard makes 2-pt shot from 19 ft,2,66-78,,
4:34.0,,,66-78,,A. Afflalo misses 2-pt shot from 1 ft (block by L. Aldridge)
4:33.0,Defensive rebound by S. Blake,,66-78,,
4:23.0,D. Lillard makes 2-pt shot from 15 ft (assist by S. Blake),2,68-78,,
4:01.0,,,68-78,,W. Chandler misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by L. Aldridge,,68-78,,
3:53.0,D. Lillard makes 3-pt shot from 25 ft,3,71-78,,
3:53.0,Shooting foul by A. Afflalo (drawn by D. Lillard),,71-78,,
3:53.0,A. Crabbe enters the game for N. Batum,,71-78,,
3:53.0,D. Lillard makes free throw 1 of 1,1,72-78,,
3:51.0,,,72-78,,Denver full timeout
3:51.0,C. Kaman enters the game for R. Lopez,,72-78,,
3:36.0,,,72-78,,A. Afflalo misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by Team,,72-78,,
3:35.0,,,72-78,,Loose ball foul by W. Chandler (drawn by A. Crabbe)
3:35.0,,,72-78,,D. Arthur enters the game for K. Faried
3:13.0,C. Kaman misses 2-pt shot from 5 ft,,72-78,,
3:11.0,,,72-78,,Defensive rebound by J. Hickson
3:02.0,,,72-78,,Turnover by D. Arthur (traveling)
2:44.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,74-78,,
2:30.0,,,74-78,,Turnover by A. Afflalo (traveling)
2:30.0,W. Matthews enters the game for S. Blake,,74-78,,
2:14.0,C. Kaman makes 2-pt shot from 2 ft (assist by D. Lillard),2,76-78,,
1:59.0,,,76-78,,D. Arthur misses 2-pt shot from 18 ft
1:58.0,Defensive rebound by L. Aldridge,,76-78,,
1:39.0,D. Lillard misses 3-pt shot from 27 ft,,76-78,,
1:38.0,,,76-78,,Defensive rebound by W. Chandler
1:35.0,,,76-80,2,W. Chandler makes 2-pt shot from 1 ft
1:35.0,,,76-80,,Shooting foul by A. Crabbe (drawn by W. Chandler)
1:35.0,,,76-81,1,W. Chandler makes free throw 1 of 1
1:17.0,L. Aldridge misses 2-pt shot from 15 ft,,76-81,,
1:14.0,Offensive rebound by D. Lillard,,76-81,,
1:04.0,,,76-81,,Personal foul by W. Chandler (drawn by C. Kaman)
1:04.0,,,76-81,,D. Gallinari enters the game for A. Afflalo
1:04.0,A. Crabbe misses 2-pt shot from 22 ft,,76-81,,
1:02.0,,,76-81,,Defensive rebound by J. Hickson
0:49.0,,,76-83,2,D. Arthur makes 2-pt shot from 20 ft (assist by T. Lawson)
0:30.0,L. Aldridge makes 2-pt shot from 2 ft (assist by A. Crabbe),2,78-83,,
0:05.0,,,78-83,,T. Lawson misses 2-pt shot from 4 ft
0:04.0,,,78-83,,Offensive rebound by W. Chandler
0:03.0,,,78-85,2,W. Chandler makes 2-pt shot from 1 ft
0:01.0,W. Matthews misses 3-pt shot from 25 ft,,78-85,,
0:00.0,Offensive rebound by Team,,78-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Lillard misses 3-pt shot from 24 ft,,78-85,,
11:48.0,Offensive rebound by Team,,78-85,,
11:33.0,Turnover by J. Freeland (bad pass; steal by W. Chandler),,78-85,,
11:19.0,,,78-85,,J. Hickson misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by A. Crabbe,,78-85,,
11:03.0,J. Freeland makes 2-pt shot from 2 ft (assist by D. Lillard),2,80-85,,
10:44.0,,,80-85,,J. Hickson misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by J. Freeland,,80-85,,
10:37.0,D. Lillard misses 2-pt shot from 1 ft,,80-85,,
10:36.0,,,80-85,,Defensive rebound by J. Hickson
10:28.0,,,80-85,,J. Hickson misses 2-pt shot from 4 ft (block by J. Freeland)
10:27.0,,,80-85,,Offensive rebound by W. Chandler
10:20.0,,,80-85,,Shooting foul by A. Crabbe (drawn by D. Gallinari)
10:20.0,,,80-86,1,D. Gallinari makes free throw 1 of 2
10:20.0,,,80-87,1,D. Gallinari makes free throw 2 of 2
10:10.0,C. Kaman misses 2-pt shot from 2 ft,,80-87,,
10:09.0,,,80-87,,Defensive rebound by D. Gallinari
10:02.0,Personal foul by A. Crabbe (drawn by D. Gallinari),,80-87,,
10:02.0,N. Batum enters the game for A. Crabbe,,80-87,,
9:49.0,,,80-90,3,T. Lawson makes 3-pt shot from 27 ft (assist by D. Arthur)
9:28.0,W. Matthews misses 3-pt shot from 23 ft,,80-90,,
9:27.0,,,80-90,,Defensive rebound by W. Chandler
9:19.0,,,80-90,,W. Chandler misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by J. Freeland,,80-90,,
9:10.0,Turnover by D. Lillard (bad pass; steal by D. Gallinari),,80-90,,
9:02.0,,,80-90,,D. Gallinari misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by J. Freeland,,80-90,,
8:51.0,D. Lillard misses 2-pt shot from 1 ft (block by J. Hickson),,80-90,,
8:50.0,Offensive rebound by Team,,80-90,,
8:50.0,Official timeout,,80-90,,
8:50.0,R. Lopez enters the game for C. Kaman,,80-90,,
8:50.0,L. Aldridge enters the game for J. Freeland,,80-90,,
8:50.0,,,80-90,,A. Afflalo enters the game for W. Chandler
8:45.0,N. Batum makes 2-pt shot from 19 ft (assist by R. Lopez),2,82-90,,
8:30.0,,,82-90,,D. Gallinari misses 2-pt shot from 6 ft (block by L. Aldridge)
8:29.0,Defensive rebound by W. Matthews,,82-90,,
8:21.0,,,82-90,,Personal foul by J. Hickson (drawn by L. Aldridge)
8:21.0,S. Blake enters the game for W. Matthews,,82-90,,
8:14.0,,,82-90,,Violation by J. Hickson (def goaltending)
8:14.0,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum),2,84-90,,
8:05.0,Personal foul by D. Lillard (drawn by T. Lawson),,84-90,,
8:05.0,,,84-90,,T. Mozgov enters the game for D. Arthur
7:51.0,,,84-90,,D. Gallinari misses 3-pt shot from 26 ft
7:50.0,Defensive rebound by L. Aldridge,,84-90,,
7:26.0,L. Aldridge makes 2-pt shot from 17 ft (assist by S. Blake),2,86-90,,
7:12.0,,,86-93,3,T. Lawson makes 3-pt shot from 25 ft
6:55.0,L. Aldridge misses 2-pt shot from 1 ft (block by T. Mozgov),,86-93,,
6:54.0,,,86-93,,Defensive rebound by T. Lawson
6:54.0,Personal foul by S. Blake (drawn by T. Lawson),,86-93,,
6:54.0,W. Matthews enters the game for D. Lillard,,86-93,,
6:44.0,,,86-93,,T. Lawson misses 2-pt shot from 15 ft
6:43.0,Defensive rebound by L. Aldridge,,86-93,,
6:31.0,L. Aldridge misses 2-pt shot from 1 ft,,86-93,,
6:29.0,Offensive rebound by Team,,86-93,,
6:19.0,S. Blake makes 3-pt shot from 24 ft,3,89-93,,
5:57.0,,,89-95,2,A. Afflalo makes 2-pt shot from 2 ft
5:44.0,Shooting foul by T. Lawson (drawn by W. Matthews),,89-95,,
5:44.0,,,89-95,,Denver full timeout
5:44.0,W. Matthews makes free throw 1 of 2,1,90-95,,
5:44.0,W. Matthews makes free throw 2 of 2,1,91-95,,
5:26.0,,,91-97,2,T. Mozgov makes 2-pt shot from 5 ft (assist by T. Lawson)
5:04.0,N. Batum misses 3-pt shot from 27 ft,,91-97,,
5:03.0,,,91-97,,Defensive rebound by T. Lawson
4:56.0,,,91-97,,Offensive foul by T. Lawson
4:56.0,,,91-97,,Turnover by T. Lawson (offensive foul)
4:56.0,,,91-97,,W. Chandler enters the game for D. Gallinari
4:37.0,L. Aldridge makes 2-pt shot from 1 ft,2,93-97,,
4:21.0,,,93-97,,W. Chandler misses 3-pt shot from 22 ft
4:20.0,Defensive rebound by R. Lopez,,93-97,,
4:11.0,W. Matthews makes 3-pt shot from 26 ft (assist by S. Blake),3,96-97,,
3:41.0,,,96-97,,T. Mozgov misses 2-pt shot from 6 ft
3:40.0,Defensive rebound by N. Batum,,96-97,,
3:32.0,D. Lillard enters the game for S. Blake,,96-97,,
3:25.0,,,96-97,,Violation by T. Mozgov (def goaltending)
3:25.0,D. Lillard makes 2-pt shot from 1 ft,2,98-97,,
3:13.0,,,98-99,2,T. Lawson makes 2-pt shot from 15 ft
2:56.0,L. Aldridge makes 2-pt shot at rim (assist by N. Batum),2,100-99,,
2:56.0,Shooting foul by J. Hickson (drawn by L. Aldridge),,100-99,,
2:56.0,Portland full timeout,,100-99,,
2:56.0,,,100-99,,D. Arthur enters the game for T. Mozgov
2:56.0,L. Aldridge makes free throw 1 of 1,1,101-99,,
2:38.0,,,101-101,2,J. Hickson makes 2-pt shot from 17 ft (assist by T. Lawson)
2:19.0,W. Matthews misses 3-pt shot from 23 ft,,101-101,,
2:18.0,,,101-101,,Defensive rebound by A. Afflalo
2:04.0,,,101-101,,Turnover by W. Chandler (bad pass; steal by D. Lillard)
2:03.0,,,101-101,,Personal foul by W. Chandler (drawn by D. Lillard)
1:46.0,,,101-101,,Violation by J. Hickson (def goaltending)
1:46.0,L. Aldridge makes 2-pt shot from 1 ft,2,103-101,,
1:31.0,,,103-103,2,A. Afflalo makes 2-pt shot from 1 ft
