time,Milwaukee,pts.away,score,pts.home,New Orleans
5:32.0,,,5-18,1,A. Davis makes free throw 1 of 2
5:32.0,,,5-19,1,A. Davis makes free throw 2 of 2
5:21.0,T. Ennis makes 2-pt shot from 12 ft,2,7-19,,
5:02.0,,,7-21,2,O. Asik makes 2-pt shot from 3 ft (assist by Q. Pondexter)
4:44.0,Z. Pachulia makes 2-pt shot from 6 ft (assist by J. Bayless),2,9-21,,
4:27.0,,,9-21,,T. Evans misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by G. Antetokounmpo,,9-21,,
4:18.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,12-21,,
3:55.0,,,12-24,3,Q. Pondexter makes 3-pt shot from 26 ft (assist by A. Davis)
3:35.0,T. Ennis makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,15-24,,
3:33.0,,,15-24,,New Orleans full timeout
3:33.0,,,15-24,,A. Ajinca enters the game for O. Asik
3:33.0,J. Henson enters the game for Z. Pachulia,,15-24,,
3:21.0,,,15-26,2,A. Davis makes 2-pt shot from 21 ft (assist by E. Gordon)
3:09.0,Shooting foul by A. Ajinca (drawn by J. Henson),,15-26,,
3:09.0,J. Henson misses free throw 1 of 2,,15-26,,
3:09.0,Offensive rebound by Team,,15-26,,
3:09.0,,,15-26,,N. Cole enters the game for E. Gordon
3:09.0,,,15-26,,D. Cunningham enters the game for Q. Pondexter
3:09.0,J. Henson misses free throw 2 of 2,,15-26,,
3:09.0,,,15-26,,Defensive rebound by A. Davis
2:45.0,,,15-28,2,A. Davis makes 2-pt shot from 20 ft (assist by T. Evans)
2:30.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,15-28,,
2:29.0,Offensive rebound by E. Ilyasova,,15-28,,
2:29.0,E. Ilyasova makes 2-pt shot from 1 ft,2,17-28,,
2:08.0,,,17-28,,A. Ajinca misses 2-pt shot from 9 ft
2:07.0,Defensive rebound by J. Henson,,17-28,,
1:47.0,E. Ilyasova misses 3-pt shot from 24 ft,,17-28,,
1:47.0,,,17-28,,Defensive rebound by Team
1:47.0,Loose ball foul by J. Henson (drawn by A. Davis),,17-28,,
1:47.0,,,17-29,1,A. Davis makes free throw 1 of 2
1:47.0,,,17-30,1,A. Davis makes free throw 2 of 2
1:29.0,Turnover by T. Ennis (bad pass; steal by D. Cunningham),,17-30,,
1:27.0,,,17-30,,Turnover by D. Cunningham (lost ball)
1:16.0,J. Bayless misses 2-pt shot from 22 ft,,17-30,,
1:15.0,,,17-30,,Defensive rebound by A. Davis
1:04.0,,,17-30,,T. Evans misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by G. Antetokounmpo,,17-30,,
0:56.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,17-30,,
0:55.0,,,17-30,,Defensive rebound by D. Cunningham
0:51.0,,,17-30,,T. Evans misses 2-pt shot from 2 ft (block by T. Ennis)
0:50.0,Defensive rebound by E. Ilyasova,,17-30,,
0:43.0,J. Henson makes 2-pt shot at rim (assist by J. Bayless),2,19-30,,
0:28.0,,,19-32,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
0:03.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,21-32,,
0:00.0,,,21-32,,T. Evans misses 3-pt shot from 46 ft
0:00.0,,,21-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Shooting foul by A. Davis (drawn by G. Antetokounmpo),,21-32,,
11:42.0,G. Antetokounmpo makes free throw 1 of 2,1,22-32,,
11:42.0,G. Antetokounmpo makes free throw 2 of 2,1,23-32,,
11:25.0,,,23-32,,A. Davis misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
11:24.0,Defensive rebound by K. Middleton,,23-32,,
11:05.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,25-32,,
10:43.0,,,25-32,,N. Cole misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by J. Henson,,25-32,,
10:33.0,K. Middleton misses 2-pt shot from 14 ft,,25-32,,
10:32.0,,,25-32,,Defensive rebound by D. Cunningham
10:28.0,Shooting block foul by T. Ennis (drawn by E. Williams),,25-32,,
10:28.0,,,25-32,,E. Williams misses free throw 1 of 2
10:28.0,,,25-32,,Offensive rebound by Team
10:28.0,,,25-32,,E. Williams misses free throw 2 of 2
10:27.0,,,25-32,,Offensive rebound by A. Davis
10:26.0,,,25-32,,A. Davis misses 2-pt shot from 14 ft (block by G. Antetokounmpo)
10:25.0,Defensive rebound by Team,,25-32,,
10:09.0,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams),2,27-32,,
9:48.0,,,27-32,,D. Cunningham misses 2-pt shot from 19 ft
9:48.0,Defensive rebound by G. Antetokounmpo,,27-32,,
9:32.0,,,27-32,,Q. Pondexter enters the game for A. Davis
9:24.0,K. Middleton makes 2-pt shot from 10 ft,2,29-32,,
9:07.0,,,29-32,,N. Cole misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by J. Henson,,29-32,,
8:57.0,M. Carter-Williams misses 2-pt shot from 9 ft,,29-32,,
8:56.0,,,29-32,,Defensive rebound by A. Ajinca
8:42.0,,,29-32,,Q. Pondexter misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by K. Middleton,,29-32,,
8:35.0,T. Ennis misses 2-pt shot from 2 ft,,29-32,,
8:33.0,,,29-32,,Defensive rebound by Q. Pondexter
8:21.0,,,29-32,,E. Williams misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by G. Antetokounmpo,,29-32,,
8:17.0,Turnover by G. Antetokounmpo (lost ball),,29-32,,
8:17.0,Official timeout,,29-32,,
8:17.0,,,29-32,,E. Gordon enters the game for E. Williams
8:17.0,J. Bayless enters the game for T. Ennis,,29-32,,
8:00.0,,,29-35,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by N. Cole)
7:35.0,M. Carter-Williams misses 2-pt shot at rim,,29-35,,
7:34.0,Offensive rebound by M. Carter-Williams,,29-35,,
7:34.0,M. Carter-Williams misses 2-pt shot at rim,,29-35,,
7:33.0,,,29-35,,Defensive rebound by A. Ajinca
7:14.0,,,29-35,,A. Ajinca misses 2-pt shot from 6 ft
7:13.0,Defensive rebound by G. Antetokounmpo,,29-35,,
7:02.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,31-35,,
6:40.0,,,31-35,,A. Ajinca misses 2-pt shot from 11 ft
6:39.0,Defensive rebound by J. Bayless,,31-35,,
6:33.0,J. Bayless makes 2-pt shot at rim,2,33-35,,
6:15.0,,,33-35,,Turnover by N. Cole (bad pass)
6:15.0,,,33-35,,O. Asik enters the game for A. Ajinca
6:15.0,,,33-35,,A. Davis enters the game for D. Cunningham
6:05.0,K. Middleton makes 2-pt shot at rim (assist by J. Bayless),2,35-35,,
6:05.0,,,35-35,,New Orleans full timeout
6:05.0,Z. Pachulia enters the game for J. Henson,,35-35,,
5:51.0,,,35-35,,N. Cole misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by J. Bayless,,35-35,,
5:37.0,K. Middleton misses 2-pt shot from 10 ft,,35-35,,
5:36.0,,,35-35,,Defensive rebound by A. Davis
5:25.0,,,35-35,,E. Gordon misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by Team,,35-35,,
5:23.0,,,35-35,,T. Evans enters the game for N. Cole
5:11.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,37-35,,
5:11.0,,,37-35,,Shooting block foul by A. Davis (drawn by G. Antetokounmpo)
5:11.0,G. Antetokounmpo makes free throw 1 of 1,1,38-35,,
4:56.0,,,38-35,,Shooting foul by Z. Pachulia (drawn by O. Asik)
4:56.0,,,38-35,,O. Asik misses free throw 1 of 2
4:56.0,,,38-35,,Offensive rebound by Team
4:56.0,,,38-36,1,O. Asik makes free throw 2 of 2
4:40.0,Turnover by K. Middleton (bad pass; steal by A. Davis),,38-36,,
4:32.0,,,38-39,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans)
4:03.0,Z. Pachulia misses 2-pt shot from 8 ft,,38-39,,
4:03.0,,,38-39,,Defensive rebound by A. Davis
3:50.0,,,38-39,,Shooting foul by Z. Pachulia (drawn by O. Asik)
3:50.0,,,38-41,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
3:50.0,,,38-42,1,O. Asik makes free throw 1 of 1
3:38.0,K. Middleton misses 2-pt shot from 17 ft,,38-42,,
3:37.0,,,38-42,,Defensive rebound by A. Davis
3:25.0,,,38-42,,T. Evans misses 2-pt shot from 7 ft
3:23.0,,,38-42,,Offensive rebound by O. Asik
3:23.0,,,38-42,,O. Asik misses 2-pt shot from 1 ft (block by M. Carter-Williams)
3:21.0,,,38-42,,Offensive rebound by T. Evans
3:20.0,,,38-42,,T. Evans misses 2-pt shot from 3 ft
3:19.0,Defensive rebound by J. Bayless,,38-42,,
3:09.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,40-42,,
2:51.0,Personal foul by K. Middleton (drawn by Q. Pondexter),,40-42,,
2:51.0,Milwaukee full timeout,,40-42,,
2:51.0,E. Ilyasova enters the game for G. Antetokounmpo,,40-42,,
2:51.0,J. Henson enters the game for Z. Pachulia,,40-42,,
2:38.0,,,40-42,,E. Gordon misses 2-pt shot from 1 ft
2:37.0,,,40-42,,Offensive rebound by O. Asik
2:36.0,,,40-42,,O. Asik misses 2-pt shot from 1 ft (block by J. Henson)
2:35.0,,,40-42,,Offensive rebound by Team
2:29.0,,,40-42,,Offensive foul by O. Asik
2:29.0,,,40-42,,Turnover by O. Asik (offensive foul)
2:14.0,J. Henson misses 2-pt shot from 7 ft,,40-42,,
2:13.0,,,40-42,,Defensive rebound by A. Davis
2:01.0,,,40-42,,E. Gordon misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by M. Carter-Williams,,40-42,,
1:43.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by O. Asik),,40-42,,
1:43.0,Offensive rebound by Team,,40-42,,
1:39.0,E. Ilyasova misses 2-pt shot from 19 ft,,40-42,,
1:38.0,,,40-42,,Defensive rebound by T. Evans
1:15.0,,,40-42,,T. Evans misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by E. Ilyasova,,40-42,,
0:55.0,J. Bayless makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,42-42,,
0:44.0,,,42-42,,Offensive foul by E. Gordon
0:44.0,,,42-42,,Turnover by E. Gordon (offensive foul)
0:44.0,,,42-42,,D. Cunningham enters the game for A. Davis
0:35.0,K. Middleton misses 2-pt shot from 16 ft,,42-42,,
0:34.0,Offensive rebound by Team,,42-42,,
0:34.0,,,42-42,,Loose ball foul by D. Cunningham (drawn by E. Ilyasova)
0:34.0,,,42-42,,A. Davis enters the game for D. Cunningham
0:27.0,J. Bayless makes 2-pt shot from 20 ft,2,44-42,,
0:04.0,,,44-42,,Q. Pondexter misses 2-pt shot from 2 ft (block by M. Carter-Williams)
0:03.0,Defensive rebound by J. Henson,,44-42,,
0:00.0,J. Bayless misses 3-pt shot from 26 ft,,44-42,,
0:00.0,Offensive rebound by Team,,44-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by O. Asik (drawn by Z. Pachulia),,44-42,,
11:48.0,Z. Pachulia makes free throw 1 of 2,1,45-42,,
11:48.0,Z. Pachulia misses free throw 2 of 2,,45-42,,
11:46.0,,,45-42,,Defensive rebound by O. Asik
11:26.0,,,45-44,2,A. Davis makes 2-pt shot from 15 ft (assist by Q. Pondexter)
10:59.0,Turnover by K. Middleton (bad pass; steal by O. Asik),,45-44,,
10:47.0,,,45-46,2,A. Davis makes 2-pt shot from 6 ft (assist by O. Asik)
10:47.0,,,45-46,,Shooting foul by E. Ilyasova (drawn by A. Davis)
10:47.0,,,45-47,1,A. Davis makes free throw 1 of 1
10:38.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,47-47,,
10:22.0,,,47-49,2,E. Gordon makes 2-pt shot from 21 ft (assist by T. Evans)
10:09.0,K. Middleton misses 3-pt shot from 26 ft,,47-49,,
10:08.0,,,47-49,,Defensive rebound by Q. Pondexter
10:00.0,Personal foul by G. Antetokounmpo (drawn by E. Gordon),,47-49,,
9:53.0,,,47-49,,Turnover by T. Evans (lost ball; steal by M. Carter-Williams)
9:41.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by A. Davis),,47-49,,
9:39.0,,,47-49,,Defensive rebound by O. Asik
9:31.0,,,47-51,2,T. Evans makes 2-pt shot from 2 ft
9:20.0,Offensive foul by Z. Pachulia,,47-51,,
9:20.0,Turnover by Z. Pachulia (offensive foul),,47-51,,
9:20.0,J. Henson enters the game for Z. Pachulia,,47-51,,
9:06.0,,,47-51,,T. Evans misses 2-pt shot at rim
9:06.0,,,47-51,,Offensive rebound by O. Asik
9:06.0,,,47-53,2,O. Asik makes 2-pt shot at rim
9:06.0,,,47-53,,Shooting foul by J. Henson (drawn by O. Asik)
9:06.0,,,47-54,1,O. Asik makes free throw 1 of 1
8:53.0,M. Carter-Williams misses 2-pt shot from 19 ft,,47-54,,
8:51.0,,,47-54,,Defensive rebound by Q. Pondexter
8:42.0,,,47-54,,Offensive charge foul by T. Evans
8:42.0,,,47-54,,Turnover by T. Evans (offensive foul)
8:32.0,E. Ilyasova misses 3-pt shot from 25 ft,,47-54,,
8:31.0,,,47-54,,Defensive rebound by T. Evans
8:19.0,,,47-56,2,O. Asik makes 2-pt shot at rim (assist by E. Gordon)
8:19.0,Milwaukee full timeout,,47-56,,
8:19.0,J. Bayless enters the game for M. Carter-Williams,,47-56,,
8:11.0,Turnover by J. Bayless (lost ball; steal by E. Gordon),,47-56,,
8:05.0,,,47-56,,Q. Pondexter misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by E. Ilyasova,,47-56,,
7:51.0,E. Ilyasova misses 3-pt shot from 26 ft,,47-56,,
7:49.0,,,47-56,,Defensive rebound by Q. Pondexter
7:47.0,,,47-56,,Offensive foul by A. Davis
7:47.0,,,47-56,,Turnover by A. Davis (offensive foul)
7:24.0,K. Middleton misses 2-pt shot from 18 ft,,47-56,,
7:22.0,,,47-56,,Defensive rebound by A. Davis
7:16.0,Personal foul by E. Ilyasova (drawn by E. Gordon),,47-56,,
7:05.0,,,47-56,,A. Davis misses 2-pt shot from 21 ft
7:05.0,Defensive rebound by K. Middleton,,47-56,,
6:54.0,J. Henson makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,49-56,,
6:34.0,,,49-56,,A. Davis misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
6:33.0,,,49-56,,Offensive rebound by Team
6:31.0,,,49-56,,A. Davis misses 2-pt shot from 15 ft
6:30.0,Defensive rebound by J. Henson,,49-56,,
6:22.0,E. Ilyasova makes 3-pt shot from 22 ft (assist by K. Middleton),3,52-56,,
6:04.0,,,52-56,,T. Evans misses 2-pt shot from 1 ft (block by J. Henson)
6:02.0,Defensive rebound by G. Antetokounmpo,,52-56,,
5:56.0,J. Henson makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,54-56,,
5:34.0,,,54-56,,Q. Pondexter misses 2-pt shot from 2 ft (block by J. Henson)
5:34.0,Defensive rebound by Team,,54-56,,
5:34.0,T. Ennis enters the game for K. Middleton,,54-56,,
5:23.0,E. Ilyasova misses 2-pt shot from 21 ft,,54-56,,
5:21.0,,,54-56,,Defensive rebound by O. Asik
5:11.0,,,54-56,,Turnover by E. Gordon (bad pass; steal by E. Ilyasova)
4:51.0,J. Henson makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,56-56,,
4:51.0,,,56-56,,New Orleans full timeout
4:37.0,,,56-56,,A. Davis misses 2-pt shot from 18 ft
4:36.0,Defensive rebound by J. Bayless,,56-56,,
4:27.0,E. Ilyasova misses 3-pt shot from 24 ft,,56-56,,
4:25.0,,,56-56,,Defensive rebound by Team
4:10.0,,,56-59,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by E. Gordon)
3:44.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,58-59,,
3:20.0,,,58-61,2,Q. Pondexter makes 2-pt shot from 10 ft (assist by O. Asik)
3:20.0,,,58-61,,Shooting foul by J. Bayless (drawn by Q. Pondexter)
3:20.0,,,58-61,,N. Cole enters the game for O. Asik
3:20.0,,,58-61,,A. Ajinca enters the game for E. Gordon
3:20.0,M. Carter-Williams enters the game for E. Ilyasova,,58-61,,
3:20.0,,,58-62,1,Q. Pondexter makes free throw 1 of 1
3:06.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by A. Davis),,58-62,,
3:04.0,Offensive rebound by J. Henson,,58-62,,
3:04.0,J. Henson misses 2-pt shot from 2 ft,,58-62,,
3:02.0,Offensive rebound by J. Henson,,58-62,,
3:01.0,J. Henson misses 2-pt shot from 1 ft,,58-62,,
2:56.0,,,58-62,,Defensive rebound by T. Evans
2:38.0,,,58-62,,Q. Pondexter misses 3-pt shot from 27 ft
2:37.0,Defensive rebound by G. Antetokounmpo,,58-62,,
2:26.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,60-62,,
2:14.0,Personal foul by G. Antetokounmpo (drawn by A. Davis),,60-62,,
2:14.0,,,60-62,,A. Davis misses free throw 1 of 2
2:14.0,,,60-62,,Offensive rebound by Team
2:14.0,,,60-63,1,A. Davis makes free throw 2 of 2
2:01.0,,,60-63,,Shooting block foul by A. Ajinca (drawn by M. Carter-Williams)
2:01.0,M. Carter-Williams makes free throw 1 of 2,1,61-63,,
2:01.0,M. Carter-Williams makes free throw 2 of 2,1,62-63,,
1:43.0,,,62-65,2,A. Ajinca makes 2-pt shot from 5 ft (assist by N. Cole)
1:26.0,T. Ennis misses 3-pt shot from 23 ft,,62-65,,
1:25.0,,,62-65,,Defensive rebound by A. Davis
1:10.0,,,62-67,2,A. Davis makes 2-pt shot at rim (assist by N. Cole)
0:54.0,Shooting foul by A. Ajinca (drawn by J. Henson),,62-67,,
0:54.0,J. Henson misses free throw 1 of 2,,62-67,,
0:54.0,Offensive rebound by Team,,62-67,,
0:54.0,J. Henson misses free throw 2 of 2,,62-67,,
0:54.0,,,62-67,,Defensive rebound by A. Ajinca
0:40.0,,,62-70,3,N. Cole makes 3-pt shot from 23 ft (assist by T. Evans)
0:23.0,J. Bayless misses 3-pt shot from 26 ft,,62-70,,
0:22.0,,,62-70,,Defensive rebound by A. Davis
0:00.0,,,62-70,,Q. Pondexter misses 3-pt shot from 25 ft
0:00.0,,,62-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,62-70,,A. Davis misses 2-pt shot from 12 ft
11:45.0,Defensive rebound by E. Ilyasova,,62-70,,
11:24.0,J. Bayless misses 3-pt shot from 25 ft,,62-70,,
11:23.0,,,62-70,,Defensive rebound by N. Cole
11:03.0,,,62-70,,A. Davis misses 2-pt shot from 1 ft (block by J. Henson)
11:02.0,Defensive rebound by J. Bayless,,62-70,,
10:54.0,J. Henson makes 2-pt shot at rim (assist by J. Bayless),2,64-70,,
10:36.0,,,64-70,,E. Williams misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by J. Bayless,,64-70,,
10:20.0,J. Bayless misses 2-pt shot from 2 ft,,64-70,,
10:20.0,,,64-70,,Defensive rebound by Team
10:20.0,,,64-70,,D. Cunningham enters the game for A. Davis
10:20.0,Loose ball foul by E. Ilyasova (drawn by A. Ajinca),,64-70,,
9:59.0,,,64-70,,Shooting foul by J. Henson (drawn by A. Ajinca)
9:59.0,,,64-71,1,A. Ajinca makes free throw 1 of 2
9:59.0,Z. Pachulia enters the game for J. Henson,,64-71,,
9:59.0,,,64-71,,A. Ajinca misses free throw 2 of 2
9:58.0,Defensive rebound by Z. Pachulia,,64-71,,
9:43.0,T. Ennis misses 2-pt shot from 17 ft,,64-71,,
9:42.0,,,64-71,,Defensive rebound by D. Cunningham
9:30.0,,,64-71,,Turnover by Q. Pondexter (bad pass; steal by Z. Pachulia)
9:27.0,,,64-71,,Personal foul by E. Williams (drawn by T. Ennis)
9:11.0,Shooting foul by N. Cole (drawn by J. Bayless),,64-71,,
9:11.0,J. Bayless makes free throw 1 of 2,1,65-71,,
9:11.0,J. Bayless makes free throw 2 of 2,1,66-71,,
8:58.0,,,66-73,2,N. Cole makes 2-pt shot from 19 ft (assist by E. Williams)
8:58.0,,,66-73,,Shooting foul by J. Bayless (drawn by N. Cole)
8:58.0,Official timeout,,66-73,,
8:58.0,M. Carter-Williams enters the game for J. Bayless,,66-73,,
8:58.0,,,66-73,,E. Gordon enters the game for Q. Pondexter
8:58.0,,,66-73,,N. Cole misses free throw 1 of 1
8:57.0,Defensive rebound by Z. Pachulia,,66-73,,
8:35.0,T. Ennis misses 3-pt shot from 25 ft,,66-73,,
8:34.0,Offensive rebound by Z. Pachulia,,66-73,,
8:29.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. Ennis),2,68-73,,
8:08.0,,,68-73,,E. Williams misses 2-pt shot from 2 ft
8:05.0,,,68-73,,Offensive rebound by A. Ajinca
8:05.0,,,68-73,,A. Ajinca misses 2-pt shot at rim
8:05.0,,,68-73,,Offensive rebound by A. Ajinca
8:05.0,,,68-73,,A. Ajinca misses 2-pt shot at rim
8:04.0,Defensive rebound by E. Ilyasova,,68-73,,
7:51.0,M. Carter-Williams misses 2-pt shot from 17 ft,,68-73,,
7:50.0,,,68-73,,Defensive rebound by A. Ajinca
7:40.0,,,68-73,,A. Ajinca misses 2-pt shot from 15 ft
7:39.0,Defensive rebound by K. Middleton,,68-73,,
7:18.0,K. Middleton misses 2-pt shot from 20 ft,,68-73,,
7:17.0,Offensive rebound by Team,,68-73,,
7:17.0,,,68-73,,Loose ball foul by A. Ajinca (drawn by Z. Pachulia)
7:17.0,,,68-73,,A. Davis enters the game for A. Ajinca
7:17.0,,,68-73,,T. Evans enters the game for E. Williams
7:06.0,M. Carter-Williams misses 2-pt shot from 11 ft (block by A. Davis),,68-73,,
7:05.0,,,68-73,,Defensive rebound by D. Cunningham
6:54.0,,,68-73,,A. Davis misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by E. Ilyasova,,68-73,,
6:40.0,E. Ilyasova misses 3-pt shot from 26 ft,,68-73,,
6:39.0,,,68-73,,Defensive rebound by T. Evans
6:25.0,,,68-73,,E. Gordon misses 3-pt shot from 26 ft
6:24.0,Defensive rebound by Z. Pachulia,,68-73,,
6:10.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,70-73,,
5:54.0,,,70-73,,Shooting foul by T. Ennis (drawn by N. Cole)
5:54.0,,,70-73,,New Orleans full timeout
5:54.0,J. Bayless enters the game for M. Carter-Williams,,70-73,,
5:54.0,G. Antetokounmpo enters the game for T. Ennis,,70-73,,
5:54.0,,,70-73,,O. Asik enters the game for D. Cunningham
5:54.0,,,70-74,1,N. Cole makes free throw 1 of 2
5:54.0,,,70-75,1,N. Cole makes free throw 2 of 2
5:34.0,Turnover by J. Bayless (lost ball),,70-75,,
5:19.0,,,70-75,,N. Cole misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by Z. Pachulia,,70-75,,
5:08.0,,,70-75,,Personal foul by E. Gordon (drawn by K. Middleton)
4:59.0,K. Middleton misses 2-pt shot from 1 ft,,70-75,,
4:58.0,Offensive rebound by Z. Pachulia,,70-75,,
4:57.0,Z. Pachulia misses 2-pt shot from 1 ft (block by E. Gordon),,70-75,,
