time,Detroit,pts.away,score,pts.home,Memphis
8:14.0,,,4-3,,Defensive rebound by Team
7:55.0,,,4-3,,T. Prince misses 2-pt shot from 18 ft
7:54.0,Defensive rebound by A. Drummond,,4-3,,
7:46.0,Turnover by B. Jennings (bad pass; steal by T. Prince),,4-3,,
7:41.0,,,4-3,,M. Conley misses 2-pt shot from 16 ft
7:40.0,,,4-3,,Offensive rebound by T. Allen
7:40.0,,,4-5,2,T. Allen makes 2-pt shot at rim
7:20.0,J. Smith makes 3-pt shot from 25 ft (assist by B. Jennings),3,7-5,,
7:11.0,Personal foul by A. Drummond (drawn by M. Conley),,7-5,,
6:57.0,,,7-7,2,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley)
6:29.0,G. Monroe misses 2-pt shot from 17 ft,,7-7,,
6:26.0,,,7-7,,Defensive rebound by M. Gasol
6:19.0,,,7-7,,M. Gasol misses 2-pt shot at rim
6:17.0,Defensive rebound by A. Drummond,,7-7,,
6:12.0,G. Monroe makes 2-pt shot at rim (assist by B. Jennings),2,9-7,,
5:52.0,,,9-7,,Shooting foul by A. Drummond (drawn by M. Gasol)
5:52.0,,,9-7,,Memphis full timeout
5:52.0,,,9-7,,C. Lee enters the game for T. Prince
5:52.0,C. Butler enters the game for A. Drummond,,9-7,,
5:52.0,,,9-8,1,M. Gasol makes free throw 1 of 2
5:52.0,,,9-9,1,M. Gasol makes free throw 2 of 2
5:35.0,K. Caldwell-Pope misses 2-pt shot at rim,,9-9,,
5:34.0,Offensive rebound by K. Caldwell-Pope,,9-9,,
5:34.0,K. Caldwell-Pope misses 2-pt shot at rim,,9-9,,
5:32.0,,,9-9,,Defensive rebound by Z. Randolph
5:22.0,,,9-11,2,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph)
5:02.0,B. Jennings misses 3-pt shot from 26 ft,,9-11,,
4:59.0,,,9-11,,Defensive rebound by T. Allen
4:48.0,,,9-13,2,M. Conley makes 2-pt shot from 1 ft
4:42.0,Detroit full timeout,,9-13,,
4:25.0,J. Smith misses 2-pt shot from 21 ft,,9-13,,
4:24.0,Offensive rebound by Team,,9-13,,
4:05.0,B. Jennings misses 3-pt shot from 25 ft,,9-13,,
4:03.0,Offensive rebound by J. Smith,,9-13,,
3:58.0,C. Butler misses 3-pt shot from 25 ft,,9-13,,
3:57.0,,,9-13,,Defensive rebound by T. Allen
3:46.0,,,9-13,,Shooting foul by C. Butler (drawn by Z. Randolph)
3:46.0,,,9-14,1,Z. Randolph makes free throw 1 of 2
3:46.0,,,9-14,,B. Udrih enters the game for M. Conley
3:46.0,,,9-15,1,Z. Randolph makes free throw 2 of 2
3:28.0,G. Monroe makes 2-pt shot at rim,2,11-15,,
3:13.0,,,11-17,2,Z. Randolph makes 2-pt shot from 1 ft (assist by C. Lee)
3:13.0,,,11-17,,Shooting foul by J. Smith (drawn by Z. Randolph)
3:13.0,,,11-17,,Z. Randolph misses free throw 1 of 1
3:11.0,Defensive rebound by G. Monroe,,11-17,,
2:53.0,J. Smith misses 2-pt shot from 5 ft,,11-17,,
2:51.0,Offensive rebound by G. Monroe,,11-17,,
2:45.0,G. Monroe makes 2-pt shot from 3 ft,2,13-17,,
2:28.0,,,13-20,3,C. Lee makes 3-pt shot from 25 ft (assist by Z. Randolph)
2:05.0,Shooting foul by B. Udrih (drawn by B. Jennings),,13-20,,
2:05.0,B. Jennings misses free throw 1 of 2,,13-20,,
2:05.0,Offensive rebound by Team,,13-20,,
2:05.0,,,13-20,,K. Koufos enters the game for M. Gasol
2:05.0,B. Jennings makes free throw 2 of 2,1,14-20,,
1:50.0,,,14-22,2,Z. Randolph makes 2-pt shot from 5 ft
1:32.0,B. Jennings makes 2-pt shot at rim,2,16-22,,
1:13.0,,,16-22,,Z. Randolph misses 2-pt shot from 13 ft
1:11.0,Defensive rebound by G. Monroe,,16-22,,
1:03.0,B. Jennings misses 2-pt shot from 6 ft (block by K. Koufos),,16-22,,
1:01.0,,,16-22,,Defensive rebound by K. Koufos
0:52.0,,,16-22,,Z. Randolph misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by C. Butler,,16-22,,
0:44.0,B. Jennings misses 2-pt shot from 1 ft,,16-22,,
0:43.0,,,16-22,,Defensive rebound by K. Koufos
0:43.0,Loose ball foul by K. Caldwell-Pope (drawn by K. Koufos),,16-22,,
0:43.0,,,16-22,,K. Koufos misses free throw 1 of 2
0:43.0,,,16-22,,Offensive rebound by Team
0:43.0,,,16-22,,V. Carter enters the game for T. Allen
0:43.0,D. Augustin enters the game for B. Jennings,,16-22,,
0:43.0,,,16-23,1,K. Koufos makes free throw 2 of 2
0:24.0,D. Augustin misses 2-pt shot from 1 ft,,16-23,,
0:23.0,,,16-23,,Defensive rebound by B. Udrih
0:03.0,,,16-25,2,B. Udrih makes 2-pt shot from 15 ft
0:01.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,16-25,,
0:00.0,Offensive rebound by Team,,16-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by D. Augustin (bad pass; steal by K. Koufos),,16-25,,
11:39.0,,,16-25,,V. Carter misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by A. Drummond,,16-25,,
11:23.0,A. Drummond makes 2-pt shot from 4 ft,2,18-25,,
11:06.0,,,18-25,,K. Koufos misses 2-pt shot from 2 ft (block by A. Drummond)
11:03.0,Defensive rebound by A. Drummond,,18-25,,
10:57.0,Turnover by C. Butler (bad pass; steal by V. Carter),,18-25,,
10:42.0,,,18-25,,Shooting foul by K. Singler (drawn by B. Udrih)
10:42.0,,,18-26,1,B. Udrih makes free throw 1 of 2
10:42.0,,,18-27,1,B. Udrih makes free throw 2 of 2
10:18.0,D. Augustin misses 2-pt shot from 11 ft,,18-27,,
10:16.0,,,18-27,,Defensive rebound by K. Koufos
10:08.0,,,18-29,2,K. Koufos makes 2-pt shot from 14 ft (assist by C. Lee)
9:46.0,Shooting foul by K. Koufos (drawn by A. Drummond),,18-29,,
9:46.0,A. Drummond misses free throw 1 of 2,,18-29,,
9:46.0,Offensive rebound by Team,,18-29,,
9:46.0,A. Drummond misses free throw 2 of 2,,18-29,,
9:45.0,,,18-29,,Defensive rebound by J. Leuer
9:32.0,,,18-29,,C. Lee misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by A. Drummond,,18-29,,
9:28.0,Turnover by A. Drummond (bad pass; steal by B. Udrih),,18-29,,
9:21.0,,,18-29,,V. Carter misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by A. Drummond,,18-29,,
9:13.0,Shooting foul by V. Carter (drawn by C. Butler),,18-29,,
9:13.0,C. Butler makes free throw 1 of 2,1,19-29,,
9:13.0,C. Butler misses free throw 2 of 2,,19-29,,
9:11.0,,,19-29,,Defensive rebound by K. Koufos
9:04.0,,,19-29,,Turnover by B. Udrih (bad pass; steal by K. Singler)
8:46.0,K. Singler misses 3-pt shot from 24 ft,,19-29,,
8:45.0,,,19-29,,Defensive rebound by V. Carter
8:34.0,,,19-29,,Shooting foul by A. Drummond (drawn by J. Leuer)
8:34.0,Official timeout,,19-29,,
8:34.0,G. Monroe enters the game for A. Drummond,,19-29,,
8:34.0,,,19-29,,J. Leuer misses free throw 1 of 2
8:34.0,,,19-29,,Offensive rebound by Team
8:34.0,,,19-30,1,J. Leuer makes free throw 2 of 2
8:14.0,G. Monroe makes 2-pt shot from 5 ft,2,21-30,,
7:51.0,,,21-32,2,C. Lee makes 2-pt shot from 20 ft
7:31.0,,,21-32,,M. Gasol enters the game for K. Koufos
7:26.0,D. Augustin makes 2-pt shot from 1 ft,2,23-32,,
7:14.0,,,23-32,,B. Udrih misses 2-pt shot from 15 ft
7:13.0,Defensive rebound by G. Monroe,,23-32,,
7:07.0,D. Augustin makes 2-pt shot from 1 ft,2,25-32,,
6:58.0,Personal foul by D. Augustin (drawn by B. Udrih),,25-32,,
6:58.0,,,25-32,,M. Conley enters the game for B. Udrih
6:50.0,,,25-34,2,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol)
6:31.0,C. Butler makes 3-pt shot from 25 ft,3,28-34,,
6:05.0,,,28-34,,M. Gasol misses 2-pt shot from 12 ft
6:03.0,Defensive rebound by J. Jerebko,,28-34,,
5:52.0,G. Monroe misses 2-pt shot from 5 ft,,28-34,,
5:50.0,,,28-34,,Defensive rebound by M. Gasol
5:46.0,,,28-36,2,J. Leuer makes 2-pt shot at rim (assist by M. Conley)
5:21.0,G. Monroe makes 2-pt shot from 1 ft,2,30-36,,
5:03.0,,,30-36,,Memphis full timeout
5:00.0,,,30-38,2,C. Lee makes 2-pt shot from 1 ft (assist by V. Carter)
4:38.0,,,30-38,,Violation by M. Gasol (kicked ball)
4:38.0,K. Caldwell-Pope enters the game for C. Butler,,30-38,,
4:38.0,,,30-38,,Z. Randolph enters the game for J. Leuer
4:38.0,,,30-38,,T. Allen enters the game for C. Lee
4:38.0,J. Smith enters the game for J. Jerebko,,30-38,,
4:35.0,Shooting foul by T. Allen (drawn by K. Singler),,30-38,,
4:35.0,K. Singler makes free throw 1 of 2,1,31-38,,
4:35.0,K. Singler makes free throw 2 of 2,1,32-38,,
4:23.0,,,32-40,2,V. Carter makes 2-pt shot from 15 ft
4:07.0,D. Augustin makes 3-pt shot from 25 ft (assist by J. Smith),3,35-40,,
3:54.0,,,35-40,,M. Conley misses 2-pt shot from 18 ft
3:53.0,,,35-40,,Offensive rebound by Z. Randolph
3:53.0,,,35-42,2,Z. Randolph makes 2-pt shot at rim
3:34.0,K. Singler makes 3-pt shot from 25 ft (assist by J. Smith),3,38-42,,
3:22.0,,,38-42,,V. Carter misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by K. Caldwell-Pope,,38-42,,
3:12.0,K. Singler makes 3-pt shot from 23 ft (assist by D. Augustin),3,41-42,,
2:59.0,,,41-42,,Shooting foul by G. Monroe (drawn by M. Conley)
2:59.0,Detroit full timeout,,41-42,,
2:59.0,,,41-42,,C. Lee enters the game for V. Carter
2:59.0,J. Anthony enters the game for G. Monroe,,41-42,,
2:59.0,,,41-43,1,M. Conley makes free throw 1 of 2
2:59.0,,,41-44,1,M. Conley makes free throw 2 of 2
2:38.0,J. Smith makes 2-pt shot from 21 ft (assist by D. Augustin),2,43-44,,
2:20.0,,,43-44,,M. Gasol misses 2-pt shot from 15 ft
2:19.0,Defensive rebound by J. Smith,,43-44,,
1:59.0,D. Augustin misses 3-pt shot from 25 ft,,43-44,,
1:59.0,,,43-44,,Defensive rebound by Team
1:59.0,Loose ball foul by J. Anthony (drawn by M. Gasol),,43-44,,
1:59.0,,,43-45,1,M. Gasol makes free throw 1 of 2
1:59.0,,,43-46,1,M. Gasol makes free throw 2 of 2
1:41.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,43-46,,
1:38.0,Offensive rebound by J. Anthony,,43-46,,
1:38.0,J. Anthony misses 2-pt shot at rim,,43-46,,
1:35.0,,,43-46,,Defensive rebound by M. Gasol
1:29.0,,,43-48,2,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley)
1:13.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Smith),2,45-48,,
0:56.0,,,45-48,,Z. Randolph misses 2-pt shot from 15 ft
0:54.0,Defensive rebound by K. Singler,,45-48,,
0:43.0,K. Singler makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,48-48,,
0:31.0,,,48-51,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
0:18.0,J. Anthony makes 2-pt shot at rim (assist by D. Augustin),2,50-51,,
0:18.0,Shooting foul by T. Allen (drawn by J. Anthony),,50-51,,
0:18.0,,,50-51,,V. Carter enters the game for T. Allen
0:18.0,J. Anthony misses free throw 1 of 1,,50-51,,
0:18.0,,,50-51,,Defensive rebound by M. Gasol
0:02.0,,,50-51,,V. Carter misses 2-pt shot from 1 ft
0:01.0,,,50-51,,Offensive rebound by Z. Randolph
0:00.0,,,50-51,,Z. Randolph misses 2-pt shot at rim
0:00.0,,,50-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by G. Monroe (traveling),,50-51,,
11:23.0,,,50-51,,Shooting foul by A. Drummond (drawn by M. Gasol)
11:23.0,,,50-52,1,M. Gasol makes free throw 1 of 2
11:23.0,C. Butler enters the game for A. Drummond,,50-52,,
11:23.0,,,50-53,1,M. Gasol makes free throw 2 of 2
10:58.0,G. Monroe makes 2-pt shot at rim (assist by C. Butler),2,52-53,,
10:39.0,,,52-53,,M. Conley misses 2-pt shot from 6 ft
10:37.0,,,52-53,,Offensive rebound by Z. Randolph
10:37.0,,,52-53,,Z. Randolph misses 2-pt shot at rim
10:35.0,,,52-53,,Offensive rebound by Z. Randolph
10:35.0,,,52-53,,Z. Randolph misses 2-pt shot at rim (block by J. Smith)
10:32.0,,,52-53,,Offensive rebound by Z. Randolph
10:32.0,,,52-55,2,Z. Randolph makes 2-pt shot from 5 ft
10:16.0,J. Smith makes 2-pt shot from 5 ft,2,54-55,,
9:56.0,,,54-55,,T. Allen misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by C. Butler,,54-55,,
9:35.0,J. Smith misses 2-pt shot from 16 ft,,54-55,,
9:34.0,,,54-55,,Defensive rebound by M. Gasol
9:24.0,,,54-55,,M. Gasol misses 2-pt shot from 7 ft
9:23.0,Defensive rebound by G. Monroe,,54-55,,
9:03.0,J. Smith misses 2-pt shot from 8 ft,,54-55,,
9:02.0,,,54-55,,Defensive rebound by T. Prince
8:53.0,,,54-55,,Offensive foul by M. Gasol
8:53.0,,,54-55,,Turnover by M. Gasol (offensive foul)
8:31.0,J. Smith misses 2-pt shot from 7 ft,,54-55,,
8:29.0,,,54-55,,Defensive rebound by M. Gasol
8:24.0,,,54-55,,Turnover by M. Conley (bad pass; steal by B. Jennings)
8:19.0,K. Caldwell-Pope misses 2-pt shot at rim (block by M. Gasol),,54-55,,
8:16.0,Offensive rebound by G. Monroe,,54-55,,
8:16.0,G. Monroe makes 2-pt shot at rim,2,56-55,,
7:56.0,,,56-57,2,M. Gasol makes 2-pt shot from 15 ft
7:42.0,Turnover by G. Monroe (bad pass),,56-57,,
7:25.0,,,56-57,,M. Gasol misses 2-pt shot from 14 ft
7:23.0,Defensive rebound by K. Caldwell-Pope,,56-57,,
7:12.0,G. Monroe misses 2-pt shot from 6 ft,,56-57,,
7:08.0,,,56-57,,Defensive rebound by M. Conley
7:06.0,,,56-57,,M. Conley misses 2-pt shot from 1 ft
7:04.0,,,56-57,,Offensive rebound by Z. Randolph
7:04.0,,,56-57,,Z. Randolph misses 2-pt shot at rim
7:02.0,Defensive rebound by J. Smith,,56-57,,
6:47.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,56-57,,
6:46.0,Offensive rebound by Team,,56-57,,
6:45.0,,,56-57,,Loose ball foul by M. Gasol (drawn by G. Monroe)
6:33.0,K. Caldwell-Pope misses 2-pt shot at rim (block by M. Gasol),,56-57,,
6:31.0,,,56-57,,Defensive rebound by Z. Randolph
6:14.0,,,56-57,,Z. Randolph misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by G. Monroe,,56-57,,
6:04.0,B. Jennings misses 3-pt shot from 25 ft,,56-57,,
6:03.0,,,56-57,,Defensive rebound by Z. Randolph
5:51.0,,,56-60,3,T. Prince makes 3-pt shot from 22 ft (assist by M. Conley)
5:29.0,J. Smith misses 2-pt shot from 7 ft,,56-60,,
5:26.0,,,56-60,,Defensive rebound by M. Gasol
5:21.0,,,56-60,,Shooting foul by C. Butler (drawn by M. Conley)
5:21.0,,,56-60,,Memphis full timeout
5:21.0,,,56-61,1,M. Conley makes free throw 1 of 2
5:21.0,,,56-62,1,M. Conley makes free throw 2 of 2
5:00.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,56-62,,
4:59.0,,,56-62,,Defensive rebound by M. Gasol
4:41.0,,,56-62,,Shooting foul by J. Smith (drawn by Z. Randolph)
4:41.0,,,56-62,,Z. Randolph misses free throw 1 of 2
4:41.0,,,56-62,,Offensive rebound by Team
4:41.0,,,56-62,,Z. Randolph misses free throw 2 of 2
4:39.0,Defensive rebound by J. Smith,,56-62,,
4:33.0,,,56-62,,Personal foul by T. Allen (drawn by K. Caldwell-Pope)
4:33.0,A. Drummond enters the game for G. Monroe,,56-62,,
4:18.0,J. Smith makes 2-pt shot from 9 ft,2,58-62,,
3:56.0,,,58-62,,M. Gasol misses 2-pt shot from 11 ft
3:55.0,Defensive rebound by C. Butler,,58-62,,
3:46.0,C. Butler misses 3-pt shot from 25 ft,,58-62,,
3:45.0,,,58-62,,Defensive rebound by Z. Randolph
3:29.0,,,58-62,,T. Prince misses 3-pt shot from 24 ft
3:28.0,,,58-62,,Offensive rebound by Z. Randolph
3:27.0,,,58-62,,Z. Randolph misses 2-pt shot from 1 ft (block by J. Smith)
3:24.0,,,58-62,,Offensive rebound by T. Allen
3:23.0,,,58-62,,T. Allen misses 2-pt shot from 1 ft
3:22.0,,,58-62,,Offensive rebound by Z. Randolph
3:22.0,,,58-64,2,Z. Randolph makes 2-pt shot at rim
3:04.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,58-64,,
3:03.0,,,58-64,,Defensive rebound by T. Prince
2:54.0,,,58-64,,Z. Randolph misses 2-pt shot from 4 ft
2:53.0,,,58-64,,Offensive rebound by Team
2:53.0,Detroit full timeout,,58-64,,
2:53.0,K. Singler enters the game for K. Caldwell-Pope,,58-64,,
2:53.0,,,58-64,,C. Lee enters the game for T. Prince
2:42.0,,,58-67,3,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph)
2:24.0,Shooting foul by T. Allen (drawn by A. Drummond),,58-67,,
2:24.0,A. Drummond makes free throw 1 of 2,1,59-67,,
2:24.0,,,59-67,,V. Carter enters the game for T. Allen
2:24.0,A. Drummond makes free throw 2 of 2,1,60-67,,
2:07.0,,,60-69,2,M. Gasol makes 2-pt shot from 5 ft (assist by Z. Randolph)
1:44.0,J. Smith misses 2-pt shot at rim,,60-69,,
1:41.0,,,60-69,,Defensive rebound by Z. Randolph
1:35.0,,,60-69,,C. Lee misses 2-pt shot from 5 ft
1:33.0,Defensive rebound by C. Butler,,60-69,,
1:25.0,J. Smith misses 2-pt shot from 18 ft,,60-69,,
1:24.0,,,60-69,,Defensive rebound by C. Lee
1:10.0,,,60-69,,V. Carter misses 3-pt shot from 22 ft
1:08.0,Defensive rebound by J. Smith,,60-69,,
1:00.0,B. Jennings makes 2-pt shot at rim,2,62-69,,
0:47.0,,,62-69,,M. Conley misses 2-pt shot from 8 ft
0:45.0,Defensive rebound by J. Smith,,62-69,,
0:41.0,B. Jennings misses 3-pt shot from 25 ft,,62-69,,
0:41.0,,,62-69,,Defensive rebound by Team
0:41.0,Loose ball foul by K. Singler (drawn by C. Lee),,62-69,,
0:41.0,,,62-69,,K. Koufos enters the game for M. Gasol
0:41.0,G. Monroe enters the game for J. Smith,,62-69,,
0:29.0,,,62-69,,C. Lee misses 2-pt shot from 12 ft
0:27.0,Defensive rebound by G. Monroe,,62-69,,
0:08.0,,,62-69,,Personal foul by M. Conley (drawn by B. Jennings)
0:08.0,J. Jerebko enters the game for A. Drummond,,62-69,,
0:02.0,B. Jennings makes 2-pt shot from 2 ft,2,64-69,,
0:01.0,,,64-69,,C. Lee misses 3-pt shot from 48 ft
0:00.0,,,64-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,64-69,,C. Lee misses 2-pt shot from 7 ft
11:42.0,,,64-69,,Offensive rebound by C. Lee
11:38.0,,,64-69,,K. Koufos misses 2-pt shot from 4 ft
11:35.0,Defensive rebound by A. Drummond,,64-69,,
11:24.0,,,64-69,,Personal foul by C. Lee (drawn by D. Augustin)
11:12.0,D. Augustin misses 2-pt shot from 10 ft,,64-69,,
11:10.0,,,64-69,,Defensive rebound by Z. Randolph
10:59.0,,,64-69,,V. Carter misses 3-pt shot from 26 ft
10:57.0,,,64-69,,Offensive rebound by Z. Randolph
10:52.0,,,64-71,2,Z. Randolph makes 2-pt shot from 4 ft
10:52.0,,,64-71,,Shooting foul by K. Singler (drawn by Z. Randolph)
10:52.0,,,64-72,1,Z. Randolph makes free throw 1 of 1
10:32.0,A. Drummond misses 2-pt shot from 6 ft,,64-72,,
10:29.0,,,64-72,,Defensive rebound by Z. Randolph
10:24.0,,,64-72,,Turnover by B. Udrih (bad pass)
10:24.0,,,64-72,,Loose ball foul by Z. Randolph (drawn by A. Drummond)
10:03.0,K. Singler misses 2-pt shot from 20 ft,,64-72,,
10:02.0,,,64-72,,Defensive rebound by C. Lee
9:49.0,,,64-74,2,K. Koufos makes 2-pt shot from 6 ft (assist by B. Udrih)
9:48.0,Detroit full timeout,,64-74,,
9:48.0,B. Jennings enters the game for C. Butler,,64-74,,
9:26.0,J. Jerebko makes 3-pt shot from 25 ft (assist by D. Augustin),3,67-74,,
9:02.0,,,67-74,,V. Carter misses 3-pt shot from 24 ft
9:02.0,,,67-74,,Offensive rebound by Team
9:02.0,Loose ball foul by K. Singler (drawn by Z. Randolph),,67-74,,
9:02.0,,,67-74,,M. Gasol enters the game for Z. Randolph
8:50.0,,,67-76,2,K. Koufos makes 2-pt shot from 1 ft (assist by V. Carter)
8:36.0,B. Jennings misses 2-pt shot from 1 ft (block by K. Koufos),,67-76,,
8:36.0,,,67-76,,Defensive rebound by Team
8:18.0,,,67-76,,C. Lee misses 3-pt shot from 22 ft
8:17.0,,,67-76,,Offensive rebound by V. Carter
8:15.0,,,67-76,,V. Carter misses 2-pt shot from 2 ft
8:14.0,,,67-76,,Offensive rebound by V. Carter
8:14.0,,,67-76,,V. Carter misses 2-pt shot from 2 ft
8:11.0,Defensive rebound by K. Singler,,67-76,,
7:54.0,J. Jerebko makes 2-pt shot from 8 ft,2,69-76,,
7:41.0,,,69-78,2,M. Gasol makes 2-pt shot from 4 ft (assist by V. Carter)
7:26.0,K. Singler makes 3-pt shot from 26 ft (assist by D. Augustin),3,72-78,,
7:06.0,,,72-80,2,B. Udrih makes 2-pt shot from 1 ft (assist by M. Gasol)
6:55.0,,,72-80,,Personal foul by B. Udrih (drawn by D. Augustin)
6:49.0,D. Augustin misses 3-pt shot from 24 ft,,72-80,,
6:48.0,Offensive rebound by A. Drummond,,72-80,,
6:48.0,A. Drummond misses 2-pt shot at rim,,72-80,,
6:46.0,,,72-80,,Defensive rebound by V. Carter
6:39.0,,,72-80,,Turnover by B. Udrih (bad pass; steal by K. Singler)
6:18.0,D. Augustin misses 2-pt shot from 8 ft,,72-80,,
6:18.0,,,72-80,,Defensive rebound by Team
6:18.0,Loose ball foul by A. Drummond (drawn by M. Gasol),,72-80,,
6:18.0,G. Monroe enters the game for A. Drummond,,72-80,,
6:02.0,,,72-80,,Shooting foul by G. Monroe (drawn by M. Gasol)
6:02.0,,,72-81,1,M. Gasol makes free throw 1 of 2
6:02.0,,,72-82,1,M. Gasol makes free throw 2 of 2
5:47.0,B. Jennings makes 3-pt shot from 23 ft,3,75-82,,
5:29.0,,,75-84,2,B. Udrih makes 2-pt shot from 20 ft
5:28.0,Detroit full timeout,,75-84,,
5:28.0,Official timeout,,75-84,,
5:28.0,,,75-84,,Z. Randolph enters the game for K. Koufos
5:28.0,,,75-84,,M. Conley enters the game for V. Carter
5:28.0,J. Smith enters the game for D. Augustin,,75-84,,
5:09.0,B. Jennings misses 3-pt shot from 25 ft,,75-84,,
5:07.0,Offensive rebound by K. Singler,,75-84,,
5:04.0,,,75-84,,Personal foul by M. Conley (drawn by B. Jennings)
5:04.0,Turnover by J. Smith (bad pass),,75-84,,
4:48.0,,,75-84,,Z. Randolph misses 2-pt shot from 3 ft (block by J. Smith)
4:46.0,,,75-84,,Offensive rebound by Z. Randolph
4:43.0,,,75-84,,M. Gasol misses 3-pt shot from 25 ft
4:42.0,,,75-84,,Offensive rebound by Z. Randolph
4:41.0,,,75-84,,Z. Randolph misses 2-pt shot from 2 ft (block by K. Singler)
4:41.0,,,75-84,,Offensive rebound by Z. Randolph
4:40.0,,,75-84,,Z. Randolph misses 2-pt shot from 2 ft
4:39.0,Defensive rebound by K. Singler,,75-84,,
4:33.0,B. Jennings misses 2-pt shot from 4 ft,,75-84,,
4:29.0,,,75-84,,Defensive rebound by Z. Randolph
4:15.0,,,75-86,2,C. Lee makes 2-pt shot at rim
3:54.0,Turnover by J. Smith (bad pass; steal by M. Gasol),,75-86,,
3:52.0,Violation by B. Jennings (kicked ball),,75-86,,
3:43.0,,,75-86,,B. Udrih misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by B. Jennings,,75-86,,
3:30.0,B. Jennings makes 2-pt shot at rim (assist by G. Monroe),2,77-86,,
3:12.0,,,77-86,,M. Gasol misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by G. Monroe,,77-86,,
2:57.0,Shooting foul by M. Gasol (drawn by K. Singler),,77-86,,
2:57.0,,,77-86,,Memphis full timeout
2:57.0,K. Singler makes free throw 1 of 2,1,78-86,,
2:57.0,K. Singler makes free throw 2 of 2,1,79-86,,
2:43.0,,,79-86,,Shooting foul by J. Smith (drawn by M. Gasol)
2:43.0,Technical foul by J. Smith (drawn by M. Gasol),,79-86,,
2:43.0,,,79-86,,T. Allen enters the game for B. Udrih
2:43.0,,,79-87,1,C. Lee makes technical free throw
2:43.0,,,79-88,1,M. Gasol makes free throw 1 of 2
2:43.0,,,79-89,1,M. Gasol makes free throw 2 of 2
