time,Charlotte,pts.away,score,pts.home,Boston
7:33.0,G. Henderson enters the game for M. Kidd-Gilchrist,,30-33,,
7:33.0,C. Zeller enters the game for M. Williams,,30-33,,
7:23.0,,,30-35,2,I. Thomas makes 2-pt shot from 11 ft (assist by B. Bass)
7:03.0,G. Henderson makes 2-pt shot from 10 ft,2,32-35,,
6:55.0,Personal foul by J. Maxiell (drawn by B. Bass),,32-35,,
6:55.0,A. Jefferson enters the game for J. Maxiell,,32-35,,
6:55.0,M. Williams enters the game for B. Roberts,,32-35,,
6:47.0,,,32-37,2,A. Bradley makes 2-pt shot from 16 ft (assist by I. Thomas)
6:28.0,Turnover by C. Zeller (bad pass; steal by A. Bradley),,32-37,,
6:24.0,,,32-39,2,J. Young makes 2-pt shot at rim (assist by A. Bradley)
6:10.0,M. Williams makes 2-pt shot from 19 ft,2,34-39,,
5:56.0,,,34-42,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
5:49.0,Charlotte full timeout,,34-42,,
5:43.0,A. Jefferson misses 2-pt shot from 2 ft (block by J. Jerebko),,34-42,,
5:42.0,,,34-42,,Defensive rebound by B. Bass
5:37.0,,,34-42,,I. Thomas misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by G. Henderson,,34-42,,
5:31.0,Turnover by G. Henderson (bad pass; steal by J. Young),,34-42,,
5:29.0,,,34-42,,B. Bass misses 2-pt shot from 1 ft (block by G. Henderson)
5:28.0,,,34-42,,Offensive rebound by B. Bass
5:27.0,,,34-42,,Shooting foul by G. Henderson (drawn by B. Bass)
5:27.0,,,34-43,1,B. Bass makes free throw 1 of 2
5:27.0,,,34-44,1,B. Bass makes free throw 2 of 2
5:14.0,M. Williams misses 3-pt shot from 25 ft,,34-44,,
5:13.0,Offensive rebound by Team,,34-44,,
5:13.0,,,34-44,,Loose ball foul by J. Jerebko (drawn by C. Zeller)
5:13.0,,,34-44,,M. Smart enters the game for I. Thomas
5:08.0,L. Stephenson makes 2-pt shot from 14 ft,2,36-44,,
4:55.0,,,36-44,,J. Young misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by G. Henderson,,36-44,,
4:42.0,A. Jefferson misses 2-pt shot from 8 ft,,36-44,,
4:41.0,,,36-44,,Defensive rebound by J. Jerebko
4:33.0,,,36-44,,Turnover by B. Bass (bad pass; steal by G. Henderson)
4:29.0,Turnover by G. Henderson (lost ball; steal by J. Young),,36-44,,
4:18.0,,,36-44,,J. Young misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by A. Jefferson,,36-44,,
4:04.0,A. Jefferson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,38-44,,
3:57.0,,,38-44,,Boston full timeout
3:57.0,,,38-44,,E. Turner enters the game for J. Jerebko
3:57.0,,,38-44,,T. Zeller enters the game for J. Young
3:47.0,,,38-44,,Turnover by A. Bradley (lost ball; steal by C. Zeller)
3:25.0,A. Jefferson makes 2-pt shot from 4 ft (assist by M. Williams),2,40-44,,
3:16.0,Personal foul by L. Stephenson (drawn by E. Turner),,40-44,,
3:10.0,,,40-44,,E. Turner misses 2-pt shot from 13 ft
3:09.0,Defensive rebound by M. Williams,,40-44,,
3:05.0,Shooting foul by B. Bass (drawn by M. Williams),,40-44,,
3:05.0,M. Williams makes free throw 1 of 2,1,41-44,,
3:05.0,,,41-44,,I. Thomas enters the game for A. Bradley
3:05.0,,,41-44,,J. Crowder enters the game for B. Bass
3:05.0,M. Williams makes free throw 2 of 2,1,42-44,,
2:43.0,,,42-44,,Turnover by E. Turner (bad pass; steal by M. Williams)
2:39.0,M. Williams misses 2-pt shot from 1 ft,,42-44,,
2:38.0,,,42-44,,Defensive rebound by Team
2:29.0,,,42-44,,I. Thomas misses 2-pt shot from 2 ft (block by C. Zeller)
2:27.0,Defensive rebound by C. Zeller,,42-44,,
2:15.0,A. Jefferson makes 2-pt shot from 2 ft,2,44-44,,
1:55.0,,,44-44,,J. Crowder misses 3-pt shot from 23 ft
1:53.0,Defensive rebound by A. Jefferson,,44-44,,
1:39.0,A. Jefferson misses 2-pt shot from 13 ft,,44-44,,
1:38.0,,,44-44,,Defensive rebound by M. Smart
1:32.0,,,44-44,,M. Smart misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by C. Zeller,,44-44,,
1:19.0,G. Henderson makes 3-pt shot from 25 ft (assist by C. Zeller),3,47-44,,
1:09.0,Personal foul by M. Williams (drawn by I. Thomas),,47-44,,
1:09.0,,,47-44,,I. Thomas misses free throw 1 of 2
1:09.0,,,47-44,,Offensive rebound by Team
1:09.0,,,47-45,1,I. Thomas makes free throw 2 of 2
0:52.0,Turnover by M. Williams (lost ball; steal by I. Thomas),,47-45,,
0:48.0,,,47-45,,Turnover by I. Thomas (lost ball; steal by C. Zeller)
0:41.0,C. Zeller misses 2-pt shot at rim,,47-45,,
0:40.0,Offensive rebound by L. Stephenson,,47-45,,
0:32.0,C. Zeller makes 2-pt shot from 1 ft (assist by L. Stephenson),2,49-45,,
0:10.0,,,49-45,,Turnover by I. Thomas (bad pass; steal by L. Stephenson)
0:01.0,M. Williams misses 3-pt shot from 25 ft,,49-45,,
0:00.0,Offensive rebound by Team,,49-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Jefferson misses 2-pt shot from 16 ft,,49-45,,
11:47.0,Offensive rebound by M. Kidd-Gilchrist,,49-45,,
11:43.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,52-45,,
11:31.0,,,52-45,,A. Bradley misses 2-pt shot from 18 ft
11:30.0,,,52-45,,Offensive rebound by Team
11:30.0,Loose ball foul by M. Williams (drawn by T. Zeller),,52-45,,
11:24.0,Personal foul by M. Williams (drawn by M. Smart),,52-45,,
11:15.0,,,52-45,,A. Bradley misses 2-pt shot from 18 ft
11:14.0,Defensive rebound by M. Kidd-Gilchrist,,52-45,,
11:05.0,G. Henderson makes 2-pt shot from 14 ft (assist by M. Williams),2,54-45,,
10:51.0,,,54-45,,A. Bradley misses 2-pt shot from 15 ft
10:50.0,Defensive rebound by M. Kidd-Gilchrist,,54-45,,
10:34.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Williams),3,57-45,,
10:33.0,,,57-45,,Boston full timeout
10:19.0,,,57-45,,T. Zeller misses 2-pt shot from 5 ft
10:17.0,Defensive rebound by A. Jefferson,,57-45,,
9:59.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,57-45,,
9:59.0,,,57-45,,Defensive rebound by Team
9:59.0,Loose ball foul by A. Jefferson (drawn by T. Zeller),,57-45,,
9:45.0,,,57-45,,M. Smart misses 3-pt shot from 25 ft
9:43.0,,,57-45,,Offensive rebound by T. Zeller
9:42.0,,,57-45,,T. Zeller misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
9:40.0,Defensive rebound by M. Kidd-Gilchrist,,57-45,,
9:37.0,C. Zeller misses 2-pt shot from 4 ft (block by B. Bass),,57-45,,
9:35.0,Offensive rebound by C. Zeller,,57-45,,
9:31.0,Turnover by C. Zeller (traveling),,57-45,,
9:12.0,,,57-45,,E. Turner misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by C. Zeller,,57-45,,
9:05.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,59-45,,
8:40.0,,,59-47,2,A. Bradley makes 2-pt shot from 21 ft
8:20.0,G. Henderson misses 2-pt shot from 20 ft,,59-47,,
8:19.0,,,59-47,,Defensive rebound by E. Turner
8:13.0,,,59-50,3,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner)
7:53.0,C. Zeller misses 2-pt shot from 2 ft,,59-50,,
7:52.0,,,59-50,,Defensive rebound by B. Bass
7:45.0,,,59-50,,A. Bradley misses 2-pt shot from 13 ft
7:43.0,,,59-50,,Offensive rebound by T. Zeller
7:36.0,,,59-50,,M. Smart misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by M. Kidd-Gilchrist,,59-50,,
7:20.0,M. Williams misses 2-pt shot from 2 ft,,59-50,,
7:19.0,,,59-50,,Defensive rebound by M. Smart
7:08.0,,,59-50,,B. Bass misses 2-pt shot from 1 ft (block by A. Jefferson)
7:07.0,,,59-50,,Offensive rebound by B. Bass
7:05.0,,,59-50,,B. Bass misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by M. Williams,,59-50,,
6:39.0,M. Williams makes 3-pt shot from 24 ft (assist by G. Henderson),3,62-50,,
6:24.0,,,62-52,2,E. Turner makes 2-pt shot from 2 ft
6:09.0,G. Henderson makes 2-pt shot from 11 ft,2,64-52,,
6:01.0,,,64-52,,T. Zeller misses 2-pt shot from 5 ft
5:59.0,Defensive rebound by C. Zeller,,64-52,,
5:40.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,64-52,,
5:39.0,,,64-52,,Defensive rebound by E. Turner
5:30.0,,,64-54,2,A. Bradley makes 2-pt shot from 16 ft (assist by E. Turner)
5:17.0,M. Williams makes 3-pt shot from 24 ft,3,67-54,,
4:59.0,,,67-54,,B. Bass misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by A. Jefferson,,67-54,,
4:45.0,Shooting foul by A. Bradley (drawn by M. Williams),,67-54,,
4:45.0,M. Williams misses free throw 1 of 3,,67-54,,
4:45.0,Offensive rebound by Team,,67-54,,
4:45.0,M. Williams makes free throw 2 of 3,1,68-54,,
4:45.0,,,68-54,,I. Thomas enters the game for M. Smart
4:45.0,,,68-54,,J. Crowder enters the game for B. Bass
4:45.0,M. Williams enters the game for C. Zeller,,68-54,,
4:45.0,M. Williams misses free throw 3 of 3,,68-54,,
4:45.0,,,68-54,,Defensive rebound by E. Turner
4:29.0,,,68-57,3,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas)
4:10.0,M. Williams makes 3-pt shot from 26 ft,3,71-57,,
3:46.0,,,71-57,,I. Thomas misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by A. Jefferson,,71-57,,
3:27.0,M. Williams makes 2-pt shot from 2 ft (assist by M. Williams),2,73-57,,
3:10.0,,,73-57,,J. Crowder misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by A. Jefferson,,73-57,,
2:54.0,G. Henderson misses 3-pt shot from 23 ft,,73-57,,
2:53.0,,,73-57,,Defensive rebound by T. Zeller
2:41.0,,,73-59,2,T. Zeller makes 2-pt shot from 4 ft (assist by E. Turner)
2:25.0,Turnover by M. Williams (bad pass; steal by T. Zeller),,73-59,,
2:24.0,Personal foul by M. Williams (drawn by T. Zeller),,73-59,,
2:24.0,Charlotte full timeout,,73-59,,
2:24.0,L. Stephenson enters the game for A. Jefferson,,73-59,,
2:24.0,B. Roberts enters the game for G. Henderson,,73-59,,
2:24.0,J. Maxiell enters the game for M. Williams,,73-59,,
2:08.0,,,73-62,3,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner)
1:54.0,,,73-62,,Personal block foul by I. Thomas (drawn by B. Roberts)
1:54.0,,,73-62,,J. Jerebko enters the game for T. Zeller
1:42.0,Turnover by L. Stephenson (discontinued dribble),,73-62,,
1:33.0,,,73-62,,Shooting foul by B. Roberts (drawn by I. Thomas)
1:33.0,,,73-63,1,I. Thomas makes free throw 1 of 2
1:33.0,,,73-64,1,I. Thomas makes free throw 2 of 2
1:12.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,73-64,,
1:12.0,,,73-64,,Defensive rebound by J. Jerebko
1:03.0,,,73-64,,Turnover by A. Bradley (lost ball; steal by M. Williams)
0:48.0,Turnover by L. Stephenson (bad pass),,73-64,,
0:38.0,,,73-66,2,I. Thomas makes 2-pt shot at rim
0:19.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by L. Stephenson),2,75-66,,
0:02.0,,,75-69,3,I. Thomas makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,75-71,2,I. Thomas makes 2-pt shot from 2 ft
11:32.0,Turnover by L. Stephenson (bad pass),,75-71,,
11:23.0,,,75-71,,I. Thomas misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by M. Williams,,75-71,,
11:16.0,L. Stephenson misses 2-pt shot from 8 ft,,75-71,,
11:15.0,,,75-71,,Defensive rebound by J. Crowder
11:09.0,,,75-71,,Shooting foul by M. Kidd-Gilchrist (drawn by I. Thomas)
11:09.0,,,75-71,,I. Thomas misses free throw 1 of 2
11:09.0,,,75-71,,Offensive rebound by Team
11:09.0,G. Henderson enters the game for M. Kidd-Gilchrist,,75-71,,
11:09.0,,,75-72,1,I. Thomas makes free throw 2 of 2
10:52.0,B. Roberts misses 3-pt shot from 25 ft,,75-72,,
10:51.0,,,75-72,,Defensive rebound by J. Jerebko
10:45.0,,,75-72,,J. Crowder misses 3-pt shot from 22 ft
10:41.0,,,75-72,,Offensive rebound by J. Jerebko
10:36.0,,,75-72,,J. Young misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by M. Williams,,75-72,,
10:27.0,B. Roberts makes 3-pt shot from 25 ft (assist by L. Stephenson),3,78-72,,
10:12.0,,,78-75,3,J. Jerebko makes 3-pt shot from 23 ft (assist by I. Thomas)
9:51.0,G. Henderson misses 2-pt shot from 15 ft,,78-75,,
9:49.0,Offensive rebound by L. Stephenson,,78-75,,
9:36.0,,,78-75,,Personal foul by M. Smart (drawn by G. Henderson)
9:36.0,C. Zeller enters the game for J. Maxiell,,78-75,,
9:32.0,,,78-75,,Personal foul by M. Smart (drawn by G. Henderson)
9:21.0,L. Stephenson makes 2-pt shot from 1 ft,2,80-75,,
9:09.0,,,80-77,2,I. Thomas makes 2-pt shot from 1 ft
8:58.0,Offensive foul by M. Williams,,80-77,,
8:58.0,Turnover by M. Williams (offensive foul),,80-77,,
8:58.0,Official timeout,,80-77,,
8:48.0,,,80-80,3,I. Thomas makes 3-pt shot from 24 ft
8:34.0,,,80-80,,Shooting block foul by J. Jerebko (drawn by C. Zeller)
8:34.0,C. Zeller makes free throw 1 of 2,1,81-80,,
8:34.0,M. Williams enters the game for B. Roberts,,81-80,,
8:34.0,A. Jefferson enters the game for M. Williams,,81-80,,
8:34.0,C. Zeller makes free throw 2 of 2,1,82-80,,
8:24.0,,,82-82,2,I. Thomas makes 2-pt shot from 2 ft
8:09.0,Offensive foul by G. Henderson,,82-82,,
8:09.0,Turnover by G. Henderson (offensive foul),,82-82,,
7:55.0,,,82-82,,J. Crowder misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by M. Williams,,82-82,,
7:46.0,C. Zeller makes 2-pt shot at rim (assist by A. Jefferson),2,84-82,,
7:28.0,,,84-82,,Turnover by M. Smart (bad pass; steal by C. Zeller)
7:21.0,G. Henderson makes 2-pt shot from 19 ft (assist by L. Stephenson),2,86-82,,
6:56.0,,,86-82,,J. Jerebko misses 2-pt shot from 11 ft
6:55.0,,,86-82,,Offensive rebound by J. Young
6:51.0,,,86-82,,I. Thomas misses 3-pt shot from 27 ft
6:50.0,,,86-82,,Offensive rebound by J. Jerebko
6:37.0,,,86-85,3,J. Jerebko makes 3-pt shot from 26 ft (assist by M. Smart)
6:11.0,A. Jefferson misses 2-pt shot from 9 ft,,86-85,,
6:10.0,Offensive rebound by C. Zeller,,86-85,,
6:10.0,C. Zeller makes 2-pt shot at rim,2,88-85,,
5:54.0,,,88-87,2,J. Crowder makes 2-pt shot from 2 ft (assist by J. Jerebko)
5:38.0,M. Williams misses 2-pt shot from 17 ft,,88-87,,
5:37.0,,,88-87,,Defensive rebound by J. Crowder
5:32.0,,,88-87,,I. Thomas misses 2-pt shot from 2 ft
5:31.0,,,88-87,,Offensive rebound by J. Jerebko
5:30.0,,,88-89,2,J. Jerebko makes 2-pt shot from 1 ft
5:28.0,Charlotte full timeout,,88-89,,
5:28.0,,,88-89,,A. Bradley enters the game for J. Young
5:28.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,88-89,,
5:12.0,Turnover by G. Henderson (traveling),,88-89,,
5:02.0,,,88-92,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
4:46.0,Shooting foul by M. Smart (drawn by C. Zeller),,88-92,,
4:46.0,C. Zeller makes free throw 1 of 2,1,89-92,,
4:46.0,,,89-92,,J. Young enters the game for M. Smart
4:46.0,C. Zeller misses free throw 2 of 2,,89-92,,
4:45.0,,,89-92,,Defensive rebound by I. Thomas
4:29.0,,,89-92,,J. Young misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by G. Henderson,,89-92,,
4:07.0,M. Williams misses 3-pt shot from 23 ft,,89-92,,
4:05.0,Offensive rebound by M. Williams,,89-92,,
4:02.0,M. Williams misses 2-pt shot from 10 ft,,89-92,,
4:00.0,,,89-92,,Defensive rebound by A. Bradley
3:44.0,,,89-92,,Shooting foul by A. Jefferson (drawn by I. Thomas)
3:44.0,,,89-93,1,I. Thomas makes free throw 1 of 2
3:44.0,M. Williams enters the game for C. Zeller,,89-93,,
3:44.0,,,89-93,,E. Turner enters the game for J. Young
3:44.0,,,89-94,1,I. Thomas makes free throw 2 of 2
3:32.0,Shooting foul by J. Crowder (drawn by A. Jefferson),,89-94,,
3:32.0,A. Jefferson makes free throw 1 of 2,1,90-94,,
3:32.0,A. Jefferson makes free throw 2 of 2,1,91-94,,
3:14.0,,,91-94,,A. Bradley misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by Team,,91-94,,
2:59.0,Shooting foul by I. Thomas (drawn by M. Williams),,91-94,,
2:59.0,,,91-94,,Boston full timeout
2:59.0,M. Williams makes free throw 1 of 2,1,92-94,,
2:59.0,C. Zeller enters the game for A. Jefferson,,92-94,,
2:59.0,M. Williams makes free throw 2 of 2,1,93-94,,
2:45.0,,,93-96,2,J. Jerebko makes 2-pt shot from 4 ft (assist by I. Thomas)
2:29.0,Shooting foul by I. Thomas (drawn by M. Williams),,93-96,,
2:29.0,M. Williams makes free throw 1 of 2,1,94-96,,
2:29.0,A. Jefferson enters the game for C. Zeller,,94-96,,
