time,Boston,pts.away,score,pts.home,San Antonio
9:00.0,,,23-40,,Defensive rebound by M. Belinelli
8:55.0,,,23-40,,Turnover by M. Belinelli (bad pass; steal by J. Jerebko)
8:48.0,L. Datome misses 2-pt shot from 8 ft,,23-40,,
8:47.0,,,23-40,,Defensive rebound by M. Belinelli
8:35.0,,,23-40,,D. Green misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by L. Datome,,23-40,,
8:27.0,Turnover by L. Datome (bad pass; steal by P. Mills),,23-40,,
8:21.0,,,23-42,2,B. Diaw makes 2-pt shot from 2 ft (assist by P. Mills)
8:20.0,Boston full timeout,,23-42,,
8:20.0,,,23-42,,T. Splitter enters the game for A. Baynes
8:06.0,Turnover by E. Turner (lost ball; steal by D. Green),,23-42,,
7:59.0,,,23-42,,P. Mills misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by T. Zeller,,23-42,,
7:45.0,J. Crowder makes 2-pt shot at rim (assist by E. Turner),2,25-42,,
7:33.0,,,25-42,,M. Belinelli misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by J. Jerebko,,25-42,,
7:26.0,J. Crowder misses 2-pt shot from 8 ft,,25-42,,
7:25.0,Offensive rebound by J. Jerebko,,25-42,,
7:14.0,M. Smart enters the game for L. Datome,,25-42,,
7:14.0,,,25-42,,K. Leonard enters the game for B. Diaw
7:02.0,E. Turner makes 2-pt shot from 14 ft,2,27-42,,
6:39.0,,,27-42,,P. Mills misses 2-pt shot from 20 ft
6:38.0,Defensive rebound by J. Crowder,,27-42,,
6:30.0,Turnover by J. Jerebko (bad pass; steal by D. Green),,27-42,,
6:12.0,,,27-44,2,P. Mills makes 2-pt shot from 1 ft (assist by T. Splitter)
5:58.0,Shooting foul by M. Belinelli (drawn by J. Crowder),,27-44,,
5:58.0,Official timeout,,27-44,,
5:58.0,K. Olynyk enters the game for T. Zeller,,27-44,,
5:58.0,B. Bass enters the game for J. Jerebko,,27-44,,
5:58.0,,,27-44,,T. Parker enters the game for P. Mills
5:58.0,,,27-44,,T. Duncan enters the game for M. Belinelli
5:58.0,J. Crowder misses free throw 1 of 2,,27-44,,
5:58.0,Offensive rebound by Team,,27-44,,
5:58.0,J. Crowder makes free throw 2 of 2,1,28-44,,
5:40.0,,,28-46,2,T. Parker makes 2-pt shot from 9 ft (assist by D. Green)
5:26.0,B. Bass makes 2-pt shot from 16 ft (assist by M. Smart),2,30-46,,
5:02.0,,,30-48,2,K. Leonard makes 2-pt shot from 19 ft (assist by T. Duncan)
4:42.0,B. Bass misses 2-pt shot from 17 ft,,30-48,,
4:41.0,Offensive rebound by J. Crowder,,30-48,,
4:37.0,Shooting foul by T. Parker (drawn by M. Smart),,30-48,,
4:37.0,M. Smart makes free throw 1 of 3,1,31-48,,
4:37.0,M. Smart makes free throw 2 of 3,1,32-48,,
4:37.0,G. Wallace enters the game for J. Crowder,,32-48,,
4:37.0,M. Smart makes free throw 3 of 3,1,33-48,,
4:26.0,,,33-50,2,D. Green makes 2-pt shot at rim (assist by T. Splitter)
4:15.0,K. Olynyk misses 2-pt shot from 1 ft,,33-50,,
4:13.0,,,33-50,,Defensive rebound by T. Splitter
4:05.0,,,33-50,,T. Parker misses 2-pt shot from 8 ft
4:04.0,,,33-50,,Offensive rebound by T. Splitter
4:04.0,,,33-50,,T. Splitter misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by B. Bass,,33-50,,
3:53.0,B. Bass makes 2-pt shot at rim (assist by M. Smart),2,35-50,,
3:53.0,,,35-50,,San Antonio full timeout
3:53.0,A. Bradley enters the game for E. Turner,,35-50,,
3:33.0,,,35-50,,K. Leonard misses 2-pt shot from 19 ft
3:32.0,Defensive rebound by G. Wallace,,35-50,,
3:12.0,M. Smart makes 3-pt shot from 24 ft (assist by G. Wallace),3,38-50,,
2:55.0,,,38-50,,Turnover by T. Parker (lost ball; steal by A. Bradley)
2:48.0,M. Smart misses 3-pt shot from 25 ft,,38-50,,
2:47.0,,,38-50,,Defensive rebound by K. Leonard
2:34.0,,,38-52,2,T. Splitter makes 2-pt shot from 7 ft (assist by T. Duncan)
2:17.0,B. Bass misses 2-pt shot from 18 ft,,38-52,,
2:15.0,,,38-52,,Defensive rebound by T. Duncan
2:13.0,,,38-54,2,T. Splitter makes 2-pt shot at rim (assist by D. Green)
2:13.0,,,38-54,,Shooting foul by G. Wallace (drawn by T. Splitter)
2:13.0,J. Crowder enters the game for K. Olynyk,,38-54,,
2:13.0,,,38-54,,T. Splitter misses free throw 1 of 1
2:11.0,Defensive rebound by Team,,38-54,,
1:59.0,A. Bradley misses 2-pt shot from 19 ft,,38-54,,
1:58.0,Offensive rebound by B. Bass,,38-54,,
1:47.0,A. Bradley misses 2-pt shot from 9 ft,,38-54,,
1:46.0,,,38-54,,Defensive rebound by K. Leonard
1:41.0,,,38-54,,K. Leonard misses 2-pt shot from 4 ft (block by J. Crowder)
1:41.0,Defensive rebound by J. Crowder,,38-54,,
1:41.0,,,38-54,,Personal foul by T. Splitter (drawn by J. Crowder)
1:41.0,,,38-54,,M. Belinelli enters the game for T. Splitter
1:26.0,A. Bradley misses 3-pt shot from 23 ft,,38-54,,
1:25.0,,,38-54,,Defensive rebound by T. Duncan
1:15.0,,,38-54,,Turnover by T. Parker (bad pass; steal by M. Smart)
1:09.0,J. Crowder misses 2-pt shot from 20 ft,,38-54,,
1:08.0,,,38-54,,Defensive rebound by T. Duncan
0:48.0,,,38-54,,Turnover by T. Parker (lost ball; steal by A. Bradley)
0:44.0,A. Bradley makes 2-pt shot from 1 ft,2,40-54,,
0:30.0,Shooting block foul by M. Smart (drawn by D. Green),,40-54,,
0:30.0,,,40-55,1,D. Green makes free throw 1 of 2
0:30.0,,,40-56,1,D. Green makes free throw 2 of 2
0:15.0,M. Smart makes 2-pt shot at rim,2,42-56,,
0:01.0,,,42-56,,D. Green misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by B. Bass,,42-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Crowder makes 2-pt shot at rim (assist by M. Smart),2,44-56,,
11:23.0,,,44-58,2,T. Parker makes 2-pt shot from 9 ft
11:06.0,J. Crowder makes 2-pt shot from 2 ft (assist by E. Turner),2,46-58,,
10:52.0,,,46-58,,Shooting foul by E. Turner (drawn by T. Parker)
10:52.0,,,46-59,1,T. Parker makes free throw 1 of 2
10:52.0,,,46-59,,B. Diaw enters the game for T. Splitter
10:52.0,,,46-60,1,T. Parker makes free throw 2 of 2
10:36.0,E. Turner misses 2-pt shot from 1 ft,,46-60,,
10:35.0,Offensive rebound by B. Bass,,46-60,,
10:35.0,B. Bass makes 2-pt shot at rim,2,48-60,,
10:09.0,,,48-62,2,T. Duncan makes 2-pt shot from 1 ft
9:53.0,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart),2,50-62,,
9:33.0,,,50-62,,K. Leonard misses 2-pt shot from 13 ft
9:32.0,,,50-62,,Offensive rebound by T. Duncan
9:32.0,Loose ball foul by A. Bradley (drawn by T. Duncan),,50-62,,
9:18.0,,,50-64,2,T. Duncan makes 2-pt shot from 9 ft (assist by B. Diaw)
9:08.0,J. Crowder misses 2-pt shot from 2 ft,,50-64,,
9:06.0,Offensive rebound by A. Bradley,,50-64,,
9:06.0,A. Bradley makes 2-pt shot at rim,2,52-64,,
8:57.0,,,52-64,,Shooting foul by E. Turner (drawn by T. Parker)
8:57.0,,,52-64,,T. Parker misses free throw 1 of 2
8:57.0,,,52-64,,Offensive rebound by Team
8:57.0,,,52-65,1,T. Parker makes free throw 2 of 2
8:35.0,M. Smart misses 3-pt shot from 26 ft,,52-65,,
8:34.0,,,52-65,,Defensive rebound by K. Leonard
8:31.0,,,52-65,,Shooting foul by E. Turner (drawn by B. Diaw)
8:31.0,,,52-66,1,B. Diaw makes free throw 1 of 2
8:31.0,P. Pressey enters the game for E. Turner,,52-66,,
8:31.0,,,52-67,1,B. Diaw makes free throw 2 of 2
8:19.0,A. Bradley makes 2-pt shot from 21 ft (assist by B. Bass),2,54-67,,
8:01.0,,,54-67,,Offensive foul by B. Diaw
8:01.0,,,54-67,,Turnover by B. Diaw (offensive foul)
7:47.0,Turnover by M. Smart (bad pass; steal by K. Leonard),,54-67,,
7:47.0,Personal foul by A. Bradley (drawn by K. Leonard),,54-67,,
7:47.0,,,54-68,1,K. Leonard makes free throw 1 of 2
7:47.0,,,54-69,1,K. Leonard makes free throw 2 of 2
7:25.0,M. Smart misses 2-pt shot from 2 ft (block by T. Duncan),,54-69,,
7:25.0,Offensive rebound by Team,,54-69,,
7:22.0,Turnover by Team (shot clock),,54-69,,
7:10.0,,,54-69,,Turnover by B. Diaw (bad pass; steal by J. Crowder)
7:01.0,M. Smart misses 2-pt shot from 1 ft,,54-69,,
7:00.0,,,54-69,,Defensive rebound by B. Diaw
6:53.0,,,54-69,,T. Parker misses 2-pt shot from 4 ft
6:52.0,Defensive rebound by P. Pressey,,54-69,,
6:47.0,M. Smart misses 2-pt shot from 2 ft,,54-69,,
6:46.0,,,54-69,,Defensive rebound by D. Green
6:41.0,,,54-69,,K. Leonard misses 3-pt shot from 26 ft
6:40.0,,,54-69,,Offensive rebound by D. Green
6:39.0,,,54-69,,D. Green misses 2-pt shot from 1 ft (block by A. Bradley)
6:39.0,,,54-69,,Offensive rebound by Team
6:39.0,,,54-69,,San Antonio full timeout
6:39.0,E. Turner enters the game for B. Bass,,54-69,,
6:39.0,T. Zeller enters the game for M. Smart,,54-69,,
6:23.0,,,54-69,,Turnover by T. Parker (lost ball; steal by P. Pressey)
6:18.0,A. Bradley makes 2-pt shot at rim (assist by P. Pressey),2,56-69,,
6:07.0,,,56-71,2,K. Leonard makes 2-pt shot from 5 ft (assist by T. Parker)
5:53.0,Turnover by E. Turner (lost ball; steal by K. Leonard),,56-71,,
5:49.0,,,56-73,2,K. Leonard makes 2-pt shot at rim
5:32.0,E. Turner makes 2-pt shot from 14 ft,2,58-73,,
5:17.0,Personal foul by E. Turner (drawn by K. Leonard),,58-73,,
5:17.0,,,58-74,1,K. Leonard makes free throw 1 of 2
5:17.0,,,58-74,,T. Splitter enters the game for T. Duncan
5:17.0,,,58-74,,P. Mills enters the game for T. Parker
5:17.0,,,58-75,1,K. Leonard makes free throw 2 of 2
4:57.0,A. Bradley misses 2-pt shot from 20 ft,,58-75,,
4:56.0,,,58-75,,Defensive rebound by K. Leonard
4:41.0,,,58-75,,B. Diaw misses 2-pt shot from 3 ft
4:41.0,Defensive rebound by P. Pressey,,58-75,,
4:34.0,J. Crowder misses 2-pt shot from 3 ft,,58-75,,
4:33.0,,,58-75,,Defensive rebound by D. Green
4:28.0,,,58-77,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Mills)
4:10.0,Offensive foul by T. Zeller,,58-77,,
4:10.0,Turnover by T. Zeller (offensive foul),,58-77,,
4:10.0,,,58-77,,M. Belinelli enters the game for D. Green
4:10.0,K. Olynyk enters the game for T. Zeller,,58-77,,
4:10.0,J. Jerebko enters the game for J. Crowder,,58-77,,
3:50.0,,,58-77,,M. Belinelli misses 2-pt shot from 10 ft
3:48.0,Defensive rebound by J. Jerebko,,58-77,,
3:37.0,A. Bradley misses 3-pt shot from 25 ft,,58-77,,
3:37.0,,,58-77,,Defensive rebound by K. Leonard
3:16.0,,,58-80,3,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw)
3:08.0,Boston full timeout,,58-80,,
3:08.0,,,58-80,,R. Williams enters the game for K. Leonard
3:01.0,J. Jerebko misses 3-pt shot from 24 ft,,58-80,,
3:00.0,,,58-80,,Defensive rebound by M. Belinelli
2:38.0,,,58-80,,B. Diaw misses 3-pt shot from 25 ft
2:37.0,,,58-80,,Offensive rebound by T. Splitter
2:19.0,,,58-80,,Turnover by B. Diaw (bad pass; steal by K. Olynyk)
2:12.0,K. Olynyk misses 2-pt shot from 8 ft,,58-80,,
2:12.0,Offensive rebound by J. Jerebko,,58-80,,
2:12.0,J. Jerebko misses 2-pt shot from 1 ft,,58-80,,
2:10.0,,,58-80,,Defensive rebound by R. Williams
2:02.0,,,58-82,2,M. Belinelli makes 2-pt shot from 19 ft (assist by P. Mills)
1:39.0,Shooting foul by P. Mills (drawn by J. Jerebko),,58-82,,
1:39.0,J. Jerebko makes free throw 1 of 2,1,59-82,,
1:39.0,G. Wallace enters the game for A. Bradley,,59-82,,
1:39.0,J. Jerebko makes free throw 2 of 2,1,60-82,,
1:16.0,,,60-84,2,T. Splitter makes 2-pt shot from 6 ft (assist by M. Belinelli)
0:53.0,Turnover by P. Pressey (bad pass; steal by T. Splitter),,60-84,,
0:33.0,,,60-84,,M. Belinelli misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by E. Turner,,60-84,,
0:22.0,J. Jerebko makes 3-pt shot from 25 ft (assist by E. Turner),3,63-84,,
0:00.0,,,63-84,,M. Belinelli misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by J. Jerebko,,63-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,63-84,,Turnover by R. Williams (lost ball)
11:30.0,E. Turner misses 2-pt shot from 1 ft,,63-84,,
11:29.0,,,63-84,,Defensive rebound by R. Williams
11:10.0,,,63-84,,P. Mills misses 3-pt shot from 24 ft
11:09.0,,,63-84,,Offensive rebound by A. Baynes
11:02.0,,,63-86,2,A. Baynes makes 2-pt shot from 15 ft (assist by R. Williams)
10:40.0,Turnover by T. Zeller (bad pass; steal by T. Splitter),,63-86,,
10:32.0,,,63-86,,M. Belinelli misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by J. Jerebko,,63-86,,
10:21.0,J. Jerebko misses 3-pt shot from 24 ft,,63-86,,
10:19.0,,,63-86,,Defensive rebound by M. Belinelli
10:11.0,,,63-88,2,T. Splitter makes 2-pt shot from 2 ft (assist by R. Williams)
9:53.0,E. Turner makes 2-pt shot from 16 ft (assist by T. Zeller),2,65-88,,
9:42.0,,,65-88,,P. Mills misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by J. Jerebko,,65-88,,
9:34.0,G. Wallace misses 2-pt shot at rim,,65-88,,
9:33.0,,,65-88,,Defensive rebound by T. Splitter
9:27.0,,,65-88,,P. Mills misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by G. Wallace,,65-88,,
9:19.0,Shooting foul by A. Baynes (drawn by E. Turner),,65-88,,
9:19.0,E. Turner makes free throw 1 of 2,1,66-88,,
9:19.0,,,66-88,,M. Bonner enters the game for T. Splitter
9:19.0,E. Turner misses free throw 2 of 2,,66-88,,
9:18.0,,,66-88,,Defensive rebound by A. Baynes
9:03.0,Personal foul by T. Zeller (drawn by A. Baynes),,66-88,,
8:56.0,Official timeout,,66-88,,
8:56.0,M. Smart ejected from game,,66-88,,
8:56.0,J. Crowder enters the game for M. Smart,,66-88,,
8:56.0,,,66-89,1,M. Bonner makes flagrant free throw 1 of 2
8:56.0,,,66-89,,M. Bonner misses flagrant free throw 2 of 2
8:56.0,,,66-89,,Offensive rebound by Team
8:47.0,,,66-89,,M. Belinelli misses 2-pt shot from 21 ft
8:46.0,Defensive rebound by G. Wallace,,66-89,,
8:40.0,Shooting foul by M. Belinelli (drawn by J. Crowder),,66-89,,
8:40.0,J. Crowder misses free throw 1 of 3,,66-89,,
8:40.0,Offensive rebound by Team,,66-89,,
8:40.0,J. Crowder makes free throw 2 of 3,1,67-89,,
8:40.0,J. Crowder makes free throw 3 of 3,1,68-89,,
8:19.0,,,68-91,2,R. Williams makes 2-pt shot from 7 ft (assist by P. Mills)
8:06.0,,,68-91,,Shooting block foul by R. Williams (drawn by E. Turner)
8:06.0,E. Turner makes free throw 1 of 2,1,69-91,,
8:06.0,E. Turner misses free throw 2 of 2,,69-91,,
8:05.0,,,69-91,,Defensive rebound by A. Baynes
7:44.0,,,69-91,,M. Belinelli misses 3-pt shot from 27 ft
7:43.0,Defensive rebound by T. Zeller,,69-91,,
7:35.0,J. Crowder misses 2-pt shot from 1 ft,,69-91,,
7:34.0,Offensive rebound by G. Wallace,,69-91,,
7:33.0,G. Wallace makes 2-pt shot from 1 ft,2,71-91,,
7:12.0,,,71-91,,P. Mills misses 3-pt shot from 22 ft
7:11.0,Defensive rebound by J. Jerebko,,71-91,,
7:04.0,,,71-91,,Personal foul by R. Williams (drawn by T. Zeller)
6:59.0,G. Wallace makes 2-pt shot from 2 ft (assist by E. Turner),2,73-91,,
6:59.0,Shooting foul by R. Williams (drawn by G. Wallace),,73-91,,
6:59.0,,,73-91,,San Antonio full timeout
6:59.0,,,73-91,,D. Green enters the game for R. Williams
6:59.0,G. Wallace misses free throw 1 of 1,,73-91,,
6:58.0,Offensive rebound by J. Jerebko,,73-91,,
6:46.0,E. Turner makes 2-pt shot from 1 ft,2,75-91,,
6:25.0,,,75-91,,D. Green misses 2-pt shot from 11 ft
6:24.0,Defensive rebound by J. Jerebko,,75-91,,
6:16.0,E. Turner makes 2-pt shot from 18 ft,2,77-91,,
5:58.0,,,77-91,,M. Belinelli misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by T. Zeller,,77-91,,
5:45.0,E. Turner makes 3-pt shot from 24 ft (assist by T. Zeller),3,80-91,,
5:22.0,,,80-91,,P. Mills misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by J. Jerebko,,80-91,,
5:13.0,G. Wallace misses 2-pt shot from 2 ft (block by D. Green),,80-91,,
5:12.0,Offensive rebound by G. Wallace,,80-91,,
5:12.0,G. Wallace makes 2-pt shot from 2 ft,2,82-91,,
5:12.0,,,82-91,,San Antonio full timeout
5:12.0,,,82-91,,K. Leonard enters the game for M. Belinelli
5:12.0,,,82-91,,T. Parker enters the game for P. Mills
5:12.0,,,82-91,,B. Diaw enters the game for M. Bonner
5:12.0,,,82-91,,T. Splitter enters the game for A. Baynes
4:59.0,,,82-91,,B. Diaw misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by T. Zeller,,82-91,,
4:43.0,J. Crowder misses 3-pt shot from 25 ft,,82-91,,
4:42.0,Offensive rebound by T. Zeller,,82-91,,
4:38.0,T. Zeller makes 2-pt shot from 8 ft,2,84-91,,
4:19.0,,,84-91,,D. Green misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by T. Zeller,,84-91,,
4:02.0,E. Turner misses 2-pt shot from 17 ft,,84-91,,
4:01.0,,,84-91,,Defensive rebound by K. Leonard
3:45.0,,,84-93,2,T. Parker makes 2-pt shot from 17 ft
3:35.0,Boston full timeout,,84-93,,
3:35.0,A. Bradley enters the game for G. Wallace,,84-93,,
3:25.0,T. Zeller misses 2-pt shot at rim,,84-93,,
3:24.0,,,84-93,,Defensive rebound by T. Splitter
3:09.0,,,84-95,2,T. Splitter makes 2-pt shot from 8 ft (assist by B. Diaw)
2:47.0,J. Jerebko misses 2-pt shot from 7 ft,,84-95,,
2:47.0,Offensive rebound by Team,,84-95,,
2:47.0,,,84-95,,Loose ball foul by T. Splitter (drawn by T. Zeller)
2:47.0,T. Zeller misses free throw 1 of 2,,84-95,,
2:47.0,Offensive rebound by Team,,84-95,,
