time,San Antonio,pts.away,score,pts.home,Dallas
8:45.0,M. Belinelli makes free throw 2 of 2,1,35-23,,
8:27.0,,,35-23,,Turnover by R. Rondo (step out of bounds)
8:15.0,,,35-23,,Personal foul by A. Aminu (drawn by B. Diaw)
8:07.0,M. Belinelli misses 2-pt shot from 7 ft,,35-23,,
8:05.0,Offensive rebound by J. Ayres,,35-23,,
8:05.0,J. Ayres misses 2-pt shot from 1 ft,,35-23,,
8:04.0,,,35-23,,Defensive rebound by Team
7:58.0,,,35-26,3,C. Parsons makes 3-pt shot from 24 ft (assist by R. Rondo)
7:39.0,B. Diaw misses 2-pt shot from 18 ft,,35-26,,
7:38.0,,,35-26,,Defensive rebound by R. Rondo
7:23.0,,,35-26,,M. Ellis misses 2-pt shot from 20 ft
7:21.0,Defensive rebound by C. Joseph,,35-26,,
7:08.0,Turnover by M. Belinelli (lost ball; steal by M. Ellis),,35-26,,
7:02.0,,,35-28,2,A. Aminu makes 2-pt shot at rim (assist by R. Rondo)
7:01.0,San Antonio full timeout,,35-28,,
6:38.0,M. Belinelli misses 2-pt shot from 18 ft,,35-28,,
6:35.0,Offensive rebound by J. Ayres,,35-28,,
6:35.0,J. Ayres misses 2-pt shot from 1 ft,,35-28,,
6:33.0,Offensive rebound by M. Belinelli,,35-28,,
6:28.0,Offensive foul by M. Belinelli,,35-28,,
6:28.0,Turnover by M. Belinelli (offensive foul),,35-28,,
6:28.0,A. Baynes enters the game for J. Ayres,,35-28,,
6:10.0,,,35-28,,M. Ellis misses 2-pt shot from 19 ft
6:10.0,,,35-28,,Offensive rebound by R. Rondo
6:01.0,,,35-28,,A. Aminu misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by K. Anderson,,35-28,,
5:44.0,A. Baynes misses 2-pt shot from 2 ft (block by A. Aminu),,35-28,,
5:43.0,,,35-28,,Defensive rebound by C. Parsons
5:43.0,Personal foul by A. Baynes (drawn by C. Parsons),,35-28,,
5:43.0,A. Daye enters the game for C. Joseph,,35-28,,
5:21.0,,,35-28,,Turnover by C. Parsons (lost ball; steal by A. Baynes)
5:21.0,,,35-28,,Loose ball foul by C. Parsons (drawn by A. Baynes)
5:21.0,A. Baynes makes free throw 1 of 2,1,36-28,,
5:21.0,,,36-28,,G. Smith enters the game for T. Chandler
5:21.0,,,36-28,,D. Nowitzki enters the game for A. Aminu
5:21.0,M. Bonner enters the game for A. Daye,,36-28,,
5:21.0,A. Baynes makes free throw 2 of 2,1,37-28,,
5:12.0,,,37-28,,Offensive charge foul by M. Ellis
5:12.0,,,37-28,,Turnover by M. Ellis (offensive foul)
4:59.0,Turnover by B. Diaw (traveling),,37-28,,
4:47.0,,,37-28,,D. Nowitzki misses 2-pt shot from 14 ft
4:46.0,,,37-28,,Offensive rebound by R. Rondo
4:40.0,,,37-31,3,M. Ellis makes 3-pt shot from 24 ft (assist by R. Rondo)
4:25.0,M. Bonner makes 2-pt shot from 5 ft,2,39-31,,
4:04.0,,,39-33,2,D. Nowitzki makes 2-pt shot from 14 ft
3:50.0,Turnover by B. Diaw (lost ball),,39-33,,
3:50.0,C. Joseph enters the game for K. Anderson,,39-33,,
3:42.0,,,39-33,,M. Ellis misses 2-pt shot from 1 ft
3:40.0,Defensive rebound by A. Baynes,,39-33,,
3:24.0,C. Joseph misses 3-pt shot from 22 ft,,39-33,,
3:23.0,,,39-33,,Defensive rebound by R. Rondo
3:12.0,,,39-33,,D. Nowitzki misses 2-pt shot from 14 ft
3:11.0,,,39-33,,Offensive rebound by G. Smith
3:09.0,,,39-33,,Turnover by D. Nowitzki (bad pass)
2:50.0,M. Belinelli misses 2-pt shot from 10 ft,,39-33,,
2:49.0,,,39-33,,Defensive rebound by Team
2:49.0,,,39-33,,Dallas full timeout
2:49.0,,,39-33,,T. Chandler enters the game for R. Rondo
2:49.0,,,39-33,,D. Harris enters the game for G. Smith
2:29.0,,,39-35,2,C. Parsons makes 2-pt shot from 9 ft
2:03.0,M. Bonner makes 2-pt shot from 9 ft,2,41-35,,
1:45.0,,,41-35,,C. Parsons misses 2-pt shot from 2 ft (block by A. Baynes)
1:43.0,Defensive rebound by A. Baynes,,41-35,,
1:26.0,B. Diaw makes 2-pt shot from 21 ft,2,43-35,,
1:13.0,,,43-35,,D. Harris misses 3-pt shot from 23 ft
1:12.0,Defensive rebound by Team,,43-35,,
1:12.0,,,43-35,,Loose ball foul by D. Nowitzki (drawn by M. Bonner)
1:12.0,M. Bonner makes free throw 1 of 2,1,44-35,,
1:12.0,M. Bonner makes free throw 2 of 2,1,45-35,,
1:05.0,Shooting block foul by A. Baynes (drawn by T. Chandler),,45-35,,
1:05.0,,,45-36,1,T. Chandler makes free throw 1 of 2
1:05.0,,,45-37,1,T. Chandler makes free throw 2 of 2
0:52.0,M. Belinelli makes 2-pt shot from 20 ft,2,47-37,,
0:36.0,,,47-40,3,M. Ellis makes 3-pt shot from 23 ft (assist by D. Harris)
0:19.0,Turnover by B. Diaw (lost ball),,47-40,,
0:04.0,,,47-42,2,D. Harris makes 2-pt shot from 13 ft
0:00.0,C. Joseph misses 3-pt shot from 33 ft,,47-42,,
0:00.0,Offensive rebound by Team,,47-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Violation by Team (delay of game),,47-42,,
11:43.0,A. Baynes misses 2-pt shot from 15 ft,,47-42,,
11:42.0,,,47-42,,Defensive rebound by R. Rondo
11:30.0,,,47-42,,C. Parsons misses 2-pt shot from 12 ft
11:29.0,,,47-42,,Offensive rebound by C. Parsons
11:27.0,,,47-44,2,C. Parsons makes 2-pt shot from 3 ft
11:04.0,C. Joseph misses 2-pt shot from 4 ft,,47-44,,
11:02.0,Offensive rebound by M. Belinelli,,47-44,,
10:57.0,K. Anderson makes 2-pt shot from 1 ft,2,49-44,,
10:48.0,,,49-44,,D. Nowitzki misses 2-pt shot from 19 ft
10:46.0,Defensive rebound by K. Anderson,,49-44,,
10:22.0,K. Anderson misses 2-pt shot from 14 ft,,49-44,,
10:20.0,,,49-44,,Defensive rebound by C. Parsons
10:11.0,,,49-44,,C. Parsons misses 2-pt shot from 13 ft
10:10.0,Defensive rebound by A. Baynes,,49-44,,
9:58.0,A. Baynes makes 2-pt shot from 6 ft (assist by B. Diaw),2,51-44,,
9:38.0,,,51-44,,Shooting foul by K. Anderson (drawn by D. Nowitzki)
9:38.0,,,51-45,1,D. Nowitzki makes free throw 1 of 2
9:38.0,,,51-46,1,D. Nowitzki makes free throw 2 of 2
9:27.0,Shooting foul by T. Chandler (drawn by A. Baynes),,51-46,,
9:27.0,A. Baynes makes free throw 1 of 2,1,52-46,,
9:27.0,A. Baynes makes free throw 2 of 2,1,53-46,,
9:15.0,,,53-48,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo)
8:52.0,B. Diaw misses 3-pt shot from 24 ft,,53-48,,
8:51.0,Offensive rebound by C. Joseph,,53-48,,
8:47.0,M. Belinelli misses 3-pt shot from 25 ft,,53-48,,
8:46.0,,,53-48,,Defensive rebound by C. Parsons
8:38.0,,,53-48,,C. Parsons misses 3-pt shot from 25 ft
8:36.0,,,53-48,,Offensive rebound by T. Chandler
8:31.0,,,53-48,,D. Nowitzki misses 2-pt shot from 15 ft
8:28.0,,,53-48,,Offensive rebound by T. Chandler
8:28.0,,,53-48,,T. Chandler misses 2-pt shot from 1 ft
8:26.0,Defensive rebound by B. Diaw,,53-48,,
8:16.0,Turnover by A. Baynes (bad pass; steal by C. Parsons),,53-48,,
8:13.0,,,53-48,,Turnover by C. Parsons (bad pass)
8:02.0,Turnover by K. Anderson (bad pass; steal by R. Rondo),,53-48,,
7:59.0,Violation by B. Diaw (def goaltending),,53-48,,
7:59.0,,,53-50,2,R. Rondo makes 2-pt shot at rim
7:50.0,M. Belinelli makes 2-pt shot from 21 ft,2,55-50,,
7:35.0,,,55-50,,R. Rondo misses 2-pt shot from 5 ft
7:33.0,Defensive rebound by A. Baynes,,55-50,,
7:19.0,M. Belinelli misses 3-pt shot from 24 ft,,55-50,,
7:17.0,,,55-50,,Defensive rebound by Team
7:13.0,,,55-50,,Shooting foul by C. Joseph (drawn by C. Parsons)
7:13.0,,,55-51,1,C. Parsons makes free throw 1 of 2
7:13.0,M. Bonner enters the game for K. Anderson,,55-51,,
7:13.0,,,55-51,,R. Jefferson enters the game for D. Nowitzki
7:13.0,,,55-52,1,C. Parsons makes free throw 2 of 2
7:02.0,C. Joseph makes 2-pt shot from 1 ft,2,57-52,,
6:44.0,,,57-52,,Shooting foul by M. Bonner (drawn by T. Chandler)
6:44.0,,,57-53,1,T. Chandler makes free throw 1 of 2
6:44.0,,,57-54,1,T. Chandler makes free throw 2 of 2
6:26.0,B. Diaw makes 2-pt shot from 5 ft,2,59-54,,
6:06.0,,,59-56,2,R. Rondo makes 2-pt shot from 8 ft (assist by R. Jefferson)
5:49.0,,,59-56,,Personal foul by R. Rondo (drawn by M. Belinelli)
5:49.0,,,59-56,,Dallas full timeout
5:40.0,B. Diaw misses 2-pt shot from 6 ft,,59-56,,
5:37.0,Offensive rebound by B. Diaw,,59-56,,
5:36.0,B. Diaw misses 2-pt shot from 2 ft (block by T. Chandler),,59-56,,
5:34.0,,,59-56,,Defensive rebound by C. Parsons
5:26.0,,,59-56,,C. Parsons misses 2-pt shot from 7 ft
5:24.0,Defensive rebound by B. Diaw,,59-56,,
5:21.0,Offensive foul by A. Baynes,,59-56,,
5:21.0,Turnover by A. Baynes (offensive foul),,59-56,,
5:11.0,,,59-58,2,C. Parsons makes 2-pt shot at rim (assist by R. Rondo)
5:11.0,,,59-58,,Shooting foul by M. Bonner (drawn by C. Parsons)
5:11.0,K. Anderson enters the game for M. Belinelli,,59-58,,
5:11.0,,,59-59,1,C. Parsons makes free throw 1 of 1
4:58.0,,,59-59,,Personal foul by R. Jefferson (drawn by B. Diaw)
4:49.0,,,59-59,,Personal foul by C. Parsons (drawn by C. Joseph)
4:36.0,C. Joseph misses 2-pt shot from 8 ft,,59-59,,
4:33.0,Offensive rebound by A. Baynes,,59-59,,
4:33.0,A. Baynes makes 2-pt shot from 1 ft,2,61-59,,
4:17.0,,,61-59,,C. Parsons misses 3-pt shot from 22 ft
4:16.0,Defensive rebound by C. Joseph,,61-59,,
4:12.0,,,61-59,,Personal foul by C. Parsons (drawn by C. Joseph)
4:12.0,,,61-59,,Technical foul by T. Chandler
4:12.0,M. Bonner makes technical free throw,1,62-59,,
4:12.0,C. Joseph makes free throw 1 of 2,1,63-59,,
4:12.0,,,63-59,,A. Aminu enters the game for C. Parsons
4:12.0,,,63-59,,D. Nowitzki enters the game for T. Chandler
4:12.0,,,63-59,,G. Smith enters the game for R. Rondo
4:12.0,,,63-59,,D. Harris enters the game for R. Jefferson
4:12.0,C. Joseph makes free throw 2 of 2,1,64-59,,
3:55.0,,,64-59,,M. Ellis misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by A. Baynes,,64-59,,
3:37.0,A. Baynes makes 2-pt shot from 4 ft,2,66-59,,
3:36.0,,,66-59,,Dallas full timeout
3:36.0,M. Belinelli enters the game for B. Diaw,,66-59,,
3:22.0,A. Daye enters the game for C. Joseph,,66-59,,
3:16.0,,,66-62,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki)
2:52.0,M. Belinelli misses 2-pt shot from 7 ft,,66-62,,
2:49.0,Offensive rebound by A. Baynes,,66-62,,
2:49.0,A. Baynes makes 2-pt shot at rim,2,68-62,,
2:40.0,,,68-64,2,M. Ellis makes 2-pt shot from 2 ft (assist by D. Harris)
2:40.0,Shooting block foul by A. Baynes (drawn by M. Ellis),,68-64,,
2:40.0,,,68-64,,C. Parsons enters the game for A. Aminu
2:40.0,,,68-65,1,M. Ellis makes free throw 1 of 1
2:26.0,A. Daye makes 3-pt shot from 23 ft (assist by A. Baynes),3,71-65,,
2:15.0,,,71-67,2,M. Ellis makes 2-pt shot from 21 ft
1:56.0,A. Baynes misses 2-pt shot from 10 ft,,71-67,,
1:54.0,,,71-67,,Defensive rebound by C. Parsons
1:50.0,,,71-67,,Turnover by M. Ellis (lost ball; steal by K. Anderson)
1:48.0,Shooting foul by G. Smith (drawn by K. Anderson),,71-67,,
1:48.0,J. Ayres enters the game for A. Baynes,,71-67,,
1:48.0,K. Anderson makes free throw 1 of 2,1,72-67,,
1:48.0,K. Anderson makes free throw 2 of 2,1,73-67,,
1:42.0,Personal block foul by K. Anderson (drawn by M. Ellis),,73-67,,
1:42.0,,,73-67,,M. Ellis misses free throw 1 of 2
1:42.0,,,73-67,,Offensive rebound by Team
1:42.0,,,73-67,,C. Villanueva enters the game for G. Smith
1:42.0,,,73-68,1,M. Ellis makes free throw 2 of 2
1:25.0,Turnover by K. Anderson (bad pass; steal by M. Ellis),,73-68,,
1:24.0,Personal foul by M. Belinelli (drawn by M. Ellis),,73-68,,
1:24.0,,,73-69,1,M. Ellis makes free throw 1 of 2
1:24.0,C. Joseph enters the game for M. Bonner,,73-69,,
1:24.0,,,73-69,,M. Ellis misses free throw 2 of 2
1:23.0,Defensive rebound by K. Anderson,,73-69,,
1:12.0,K. Anderson makes 2-pt shot from 1 ft (assist by M. Belinelli),2,75-69,,
1:01.0,,,75-69,,M. Ellis misses 2-pt shot from 2 ft
0:59.0,,,75-69,,Offensive rebound by C. Villanueva
0:59.0,,,75-69,,C. Villanueva misses 2-pt shot at rim
0:57.0,Defensive rebound by C. Joseph,,75-69,,
0:42.0,C. Joseph misses 2-pt shot from 6 ft,,75-69,,
0:39.0,,,75-69,,Defensive rebound by D. Nowitzki
0:35.0,,,75-72,3,D. Harris makes 3-pt shot from 24 ft
0:14.0,,,75-72,,Personal block foul by C. Parsons (drawn by C. Joseph)
0:14.0,C. Joseph makes free throw 1 of 2,1,76-72,,
0:14.0,,,76-72,,T. Chandler enters the game for C. Villanueva
