time,New Orleans,pts.away,score,pts.home,Washington
7:02.0,New Orleans full timeout,,2-10,,
6:43.0,J. Holiday makes 2-pt shot from 18 ft,2,4-10,,
6:26.0,,,4-10,,B. Beal misses 3-pt shot from 26 ft
6:25.0,,,4-10,,Offensive rebound by P. Pierce
6:21.0,,,4-10,,Turnover by P. Pierce (bad pass; steal by T. Evans)
6:18.0,Shooting foul by B. Beal (drawn by A. Davis),,4-10,,
6:18.0,A. Davis makes free throw 1 of 2,1,5-10,,
6:18.0,A. Davis misses free throw 2 of 2,,5-10,,
6:17.0,Offensive rebound by Team,,5-10,,
6:04.0,T. Evans misses 2-pt shot from 8 ft (block by P. Pierce),,5-10,,
6:03.0,,,5-10,,Defensive rebound by M. Gortat
5:52.0,,,5-10,,J. Wall misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by T. Evans,,5-10,,
5:41.0,A. Davis makes 2-pt shot from 20 ft (assist by A. Rivers),2,7-10,,
5:18.0,,,7-10,,B. Beal misses 2-pt shot from 19 ft
5:17.0,,,7-10,,Offensive rebound by M. Gortat
5:11.0,,,7-10,,P. Pierce misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by A. Davis,,7-10,,
5:00.0,J. Holiday makes 3-pt shot from 25 ft,3,10-10,,
4:37.0,,,10-10,,Shooting foul by J. Holiday (drawn by P. Pierce)
4:37.0,,,10-11,1,P. Pierce makes free throw 1 of 2
4:37.0,R. Anderson enters the game for O. Asik,,10-11,,
4:37.0,,,10-12,1,P. Pierce makes free throw 2 of 2
4:21.0,J. Holiday makes 2-pt shot from 3 ft,2,12-12,,
4:09.0,,,12-12,,Turnover by J. Wall (traveling)
3:51.0,Turnover by A. Rivers (lost ball; steal by J. Wall),,12-12,,
3:47.0,,,12-14,2,J. Wall makes 2-pt shot at rim
3:30.0,,,12-14,,D. Gooden enters the game for K. Humphries
3:30.0,,,12-14,,R. Butler enters the game for P. Pierce
3:30.0,J. Salmons enters the game for A. Rivers,,12-14,,
3:22.0,A. Davis misses 2-pt shot from 15 ft,,12-14,,
3:21.0,Offensive rebound by J. Holiday,,12-14,,
3:07.0,R. Anderson misses 2-pt shot from 19 ft,,12-14,,
3:06.0,,,12-14,,Defensive rebound by D. Gooden
3:00.0,,,12-14,,J. Wall misses 2-pt shot at rim
2:58.0,Defensive rebound by R. Anderson,,12-14,,
2:52.0,R. Anderson misses 3-pt shot from 25 ft,,12-14,,
2:50.0,,,12-14,,Defensive rebound by J. Wall
2:36.0,,,12-16,2,M. Gortat makes 2-pt shot from 16 ft (assist by R. Butler)
2:17.0,T. Evans misses 3-pt shot from 26 ft,,12-16,,
2:16.0,Offensive rebound by R. Anderson,,12-16,,
2:13.0,R. Anderson makes 2-pt shot from 1 ft,2,14-16,,
1:58.0,Personal foul by R. Anderson (drawn by M. Gortat),,14-16,,
1:58.0,,,14-16,,Washington full timeout
1:42.0,,,14-19,3,B. Beal makes 3-pt shot from 27 ft
1:25.0,T. Evans makes 2-pt shot at rim,2,16-19,,
1:05.0,Violation by A. Davis (kicked ball),,16-19,,
1:05.0,,,16-19,,O. Porter enters the game for B. Beal
1:05.0,,,16-19,,A. Miller enters the game for J. Wall
1:05.0,A. Rivers enters the game for J. Holiday,,16-19,,
0:54.0,,,16-21,2,M. Gortat makes 2-pt shot from 10 ft
0:38.0,T. Evans misses 2-pt shot from 21 ft,,16-21,,
0:37.0,,,16-21,,Defensive rebound by Team
0:37.0,Loose ball foul by R. Anderson (drawn by D. Gooden),,16-21,,
0:37.0,,,16-22,1,D. Gooden makes free throw 1 of 2
0:37.0,L. Babbitt enters the game for T. Evans,,16-22,,
0:37.0,,,16-23,1,D. Gooden makes free throw 2 of 2
0:28.0,Shooting foul by D. Gooden (drawn by A. Rivers),,16-23,,
0:28.0,A. Rivers makes free throw 1 of 2,1,17-23,,
0:28.0,O. Asik enters the game for R. Anderson,,17-23,,
0:28.0,A. Rivers makes free throw 2 of 2,1,18-23,,
0:08.0,,,18-23,,D. Gooden misses 2-pt shot from 22 ft
0:07.0,Defensive rebound by A. Davis,,18-23,,
0:01.0,A. Davis misses 3-pt shot from 24 ft,,18-23,,
0:00.0,,,18-23,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,18-23,,Personal foul by K. Seraphin (drawn by O. Asik)
11:35.0,A. Rivers misses 3-pt shot from 26 ft,,18-23,,
11:35.0,Offensive rebound by Team,,18-23,,
11:35.0,,,18-23,,Loose ball foul by O. Porter (drawn by O. Asik)
11:16.0,A. Davis makes 2-pt shot at rim,2,20-23,,
10:57.0,Personal foul by L. Babbitt (drawn by R. Butler),,20-23,,
10:50.0,,,20-23,,Turnover by D. Gooden (bad pass; steal by O. Asik)
10:42.0,A. Rivers misses 2-pt shot at rim,,20-23,,
10:41.0,,,20-23,,Defensive rebound by K. Seraphin
10:34.0,,,20-23,,Turnover by K. Seraphin (lost ball; steal by J. Salmons)
10:08.0,L. Babbitt misses 2-pt shot from 14 ft,,20-23,,
10:07.0,Offensive rebound by O. Asik,,20-23,,
10:05.0,O. Asik misses 2-pt shot at rim (block by O. Porter),,20-23,,
10:03.0,,,20-23,,Defensive rebound by R. Butler
9:43.0,,,20-23,,A. Miller misses 2-pt shot from 3 ft
9:42.0,Defensive rebound by A. Davis,,20-23,,
9:25.0,A. Davis misses 2-pt shot from 18 ft,,20-23,,
9:24.0,,,20-23,,Defensive rebound by O. Porter
9:13.0,,,20-23,,Offensive foul by D. Gooden
9:13.0,,,20-23,,Turnover by D. Gooden (offensive foul)
9:13.0,,,20-23,,K. Humphries enters the game for D. Gooden
9:13.0,R. Anderson enters the game for A. Davis,,20-23,,
8:58.0,L. Babbitt misses 3-pt shot from 27 ft,,20-23,,
8:57.0,,,20-23,,Defensive rebound by R. Butler
8:47.0,,,20-25,2,A. Miller makes 2-pt shot from 16 ft
8:25.0,R. Anderson makes 2-pt shot from 14 ft,2,22-25,,
8:08.0,,,22-25,,Turnover by K. Humphries (lost ball; steal by R. Anderson)
7:56.0,J. Salmons misses 2-pt shot from 18 ft,,22-25,,
7:56.0,,,22-25,,Defensive rebound by A. Miller
7:50.0,,,22-27,2,R. Butler makes 2-pt shot at rim (assist by A. Miller)
7:31.0,O. Asik misses 2-pt shot at rim (block by O. Porter),,22-27,,
7:29.0,Offensive rebound by Team,,22-27,,
7:29.0,Official timeout,,22-27,,
7:29.0,T. Evans enters the game for L. Babbitt,,22-27,,
7:23.0,J. Salmons makes 2-pt shot from 19 ft,2,24-27,,
6:59.0,,,24-27,,A. Miller misses 2-pt shot from 4 ft
6:58.0,,,24-27,,Offensive rebound by O. Porter
6:52.0,,,24-27,,R. Butler misses 2-pt shot from 18 ft
6:51.0,,,24-27,,Offensive rebound by K. Seraphin
6:34.0,,,24-27,,Shooting foul by J. Salmons (drawn by O. Porter)
6:34.0,,,24-27,,O. Porter misses free throw 1 of 2
6:34.0,,,24-27,,Offensive rebound by Team
6:34.0,,,24-27,,B. Beal enters the game for R. Butler
6:34.0,,,24-28,1,O. Porter makes free throw 2 of 2
6:20.0,J. Salmons makes 2-pt shot from 18 ft (assist by A. Rivers),2,26-28,,
6:08.0,,,26-28,,Turnover by K. Seraphin (traveling)
5:56.0,J. Salmons misses 2-pt shot from 21 ft,,26-28,,
5:55.0,,,26-28,,Defensive rebound by K. Seraphin
5:45.0,,,26-30,2,K. Seraphin makes 2-pt shot from 19 ft (assist by A. Miller)
5:28.0,T. Evans makes 2-pt shot from 5 ft,2,28-30,,
5:17.0,Personal foul by R. Anderson (drawn by K. Humphries),,28-30,,
5:17.0,,,28-30,,Washington full timeout
5:17.0,,,28-30,,J. Wall enters the game for A. Miller
5:17.0,,,28-30,,M. Gortat enters the game for K. Seraphin
5:17.0,A. Ajinca enters the game for O. Asik,,28-30,,
5:17.0,A. Davis enters the game for A. Rivers,,28-30,,
5:17.0,J. Holiday enters the game for R. Anderson,,28-30,,
5:12.0,Personal foul by A. Ajinca (drawn by M. Gortat),,28-30,,
5:08.0,,,28-32,2,M. Gortat makes 2-pt shot from 15 ft (assist by B. Beal)
4:44.0,A. Ajinca misses 2-pt shot from 15 ft,,28-32,,
4:43.0,,,28-32,,Defensive rebound by K. Humphries
4:25.0,,,28-32,,J. Wall misses 2-pt shot from 18 ft
4:24.0,Defensive rebound by T. Evans,,28-32,,
4:03.0,Shooting foul by K. Humphries (drawn by A. Davis),,28-32,,
4:03.0,A. Davis makes free throw 1 of 2,1,29-32,,
4:03.0,,,29-32,,P. Pierce enters the game for O. Porter
4:03.0,A. Davis makes free throw 2 of 2,1,30-32,,
3:45.0,,,30-34,2,K. Humphries makes 2-pt shot from 15 ft (assist by J. Wall)
3:26.0,T. Evans misses 3-pt shot from 23 ft,,30-34,,
3:25.0,Offensive rebound by A. Davis,,30-34,,
3:19.0,J. Holiday makes 2-pt shot from 14 ft,2,32-34,,
3:01.0,,,32-34,,Turnover by M. Gortat (lost ball; steal by T. Evans)
2:55.0,Turnover by A. Davis (offensive goaltending),,32-34,,
2:55.0,New Orleans full timeout,,32-34,,
2:34.0,,,32-34,,B. Beal misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by Team,,32-34,,
2:26.0,Turnover by J. Holiday (lost ball; steal by J. Wall),,32-34,,
2:21.0,,,32-36,2,J. Wall makes 2-pt shot at rim
1:55.0,Shooting foul by P. Pierce (drawn by A. Davis),,32-36,,
1:55.0,A. Davis makes free throw 1 of 2,1,33-36,,
1:55.0,O. Asik enters the game for A. Ajinca,,33-36,,
1:55.0,A. Davis makes free throw 2 of 2,1,34-36,,
1:37.0,,,34-36,,M. Gortat misses 2-pt shot at rim
1:36.0,Defensive rebound by A. Davis,,34-36,,
1:27.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,36-36,,
1:06.0,,,36-38,2,J. Wall makes 2-pt shot from 4 ft
0:55.0,J. Holiday misses 3-pt shot from 26 ft,,36-38,,
0:54.0,,,36-38,,Defensive rebound by M. Gortat
0:43.0,,,36-38,,J. Wall misses 2-pt shot from 18 ft
0:42.0,Defensive rebound by J. Holiday,,36-38,,
0:33.0,Turnover by J. Holiday (lost ball; steal by B. Beal),,36-38,,
0:33.0,,,36-38,,Turnover by B. Beal (step out of bounds)
0:24.0,Turnover by O. Asik (bad pass; steal by K. Humphries),,36-38,,
0:21.0,,,36-40,2,K. Humphries makes 2-pt shot at rim
0:01.0,T. Evans misses 2-pt shot from 19 ft,,36-40,,
0:00.0,Offensive rebound by Team,,36-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,38-40,,
11:26.0,,,38-42,2,B. Beal makes 2-pt shot from 16 ft (assist by M. Gortat)
10:58.0,T. Evans misses 2-pt shot from 4 ft,,38-42,,
10:57.0,Offensive rebound by O. Asik,,38-42,,
10:56.0,Shooting foul by M. Gortat (drawn by O. Asik),,38-42,,
10:56.0,O. Asik makes free throw 1 of 2,1,39-42,,
10:56.0,O. Asik misses free throw 2 of 2,,39-42,,
10:55.0,,,39-42,,Defensive rebound by K. Humphries
10:40.0,,,39-42,,M. Gortat misses 2-pt shot from 6 ft
10:39.0,Defensive rebound by O. Asik,,39-42,,
10:27.0,J. Holiday makes 3-pt shot from 24 ft,3,42-42,,
10:10.0,,,42-45,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
9:53.0,T. Evans misses 2-pt shot at rim (block by P. Pierce),,42-45,,
9:52.0,,,42-45,,Defensive rebound by K. Humphries
9:36.0,,,42-45,,M. Gortat misses 2-pt shot from 14 ft
9:35.0,Defensive rebound by O. Asik,,42-45,,
9:18.0,A. Davis misses 2-pt shot from 10 ft,,42-45,,
9:17.0,,,42-45,,Defensive rebound by K. Humphries
9:06.0,,,42-45,,Turnover by P. Pierce (bad pass)
8:41.0,J. Holiday makes 3-pt shot from 26 ft (assist by A. Rivers),3,45-45,,
8:31.0,Personal foul by J. Holiday (drawn by P. Pierce),,45-45,,
8:23.0,,,45-45,,B. Beal misses 2-pt shot from 20 ft
8:22.0,Defensive rebound by O. Asik,,45-45,,
8:17.0,Turnover by J. Holiday (bad pass; steal by B. Beal),,45-45,,
8:06.0,,,45-48,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall)
7:42.0,O. Asik misses 2-pt shot from 1 ft (block by M. Gortat),,45-48,,
7:42.0,Offensive rebound by A. Davis,,45-48,,
7:42.0,Shooting foul by K. Humphries (drawn by A. Davis),,45-48,,
7:42.0,A. Davis makes free throw 1 of 2,1,46-48,,
7:42.0,A. Davis makes free throw 2 of 2,1,47-48,,
7:21.0,,,47-50,2,M. Gortat makes 2-pt shot from 5 ft
7:14.0,Turnover by T. Evans (lost ball; steal by J. Wall),,47-50,,
7:09.0,,,47-50,,Shooting foul by J. Holiday (drawn by K. Humphries)
7:09.0,,,47-51,1,K. Humphries makes free throw 1 of 2
7:09.0,,,47-52,1,K. Humphries makes free throw 2 of 2
6:59.0,J. Holiday misses 2-pt shot from 7 ft,,47-52,,
6:59.0,Offensive rebound by Team,,47-52,,
6:59.0,,,47-52,,Loose ball foul by K. Humphries (drawn by A. Davis)
6:43.0,A. Davis makes 2-pt shot at rim,2,49-52,,
6:26.0,,,49-54,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:06.0,Turnover by A. Davis (bad pass),,49-54,,
6:06.0,,,49-54,,Washington full timeout
5:49.0,,,49-54,,K. Humphries misses 2-pt shot from 12 ft
5:48.0,Defensive rebound by O. Asik,,49-54,,
5:33.0,J. Holiday misses 2-pt shot from 16 ft,,49-54,,
5:32.0,,,49-54,,Defensive rebound by Team
5:18.0,,,49-54,,Turnover by B. Beal (bad pass; steal by A. Davis)
5:07.0,J. Salmons enters the game for A. Rivers,,49-54,,
5:03.0,A. Davis misses 2-pt shot from 2 ft,,49-54,,
5:02.0,,,49-54,,Defensive rebound by K. Humphries
4:56.0,,,49-54,,J. Wall misses 2-pt shot from 13 ft
4:54.0,Defensive rebound by A. Davis,,49-54,,
4:46.0,J. Holiday misses 2-pt shot from 1 ft (block by M. Gortat),,49-54,,
4:44.0,Offensive rebound by J. Holiday,,49-54,,
4:35.0,J. Holiday misses 2-pt shot from 2 ft,,49-54,,
4:34.0,Offensive rebound by J. Holiday,,49-54,,
4:29.0,Turnover by A. Davis (lost ball; steal by M. Gortat),,49-54,,
4:29.0,Loose ball foul by A. Davis (drawn by M. Gortat),,49-54,,
4:29.0,R. Anderson enters the game for O. Asik,,49-54,,
4:17.0,,,49-54,,Turnover by P. Pierce (bad pass; steal by T. Evans)
4:08.0,T. Evans misses 2-pt shot from 3 ft,,49-54,,
4:07.0,,,49-54,,Defensive rebound by K. Humphries
4:06.0,Personal foul by J. Salmons (drawn by B. Beal),,49-54,,
4:06.0,,,49-54,,D. Gooden enters the game for K. Humphries
3:45.0,,,49-54,,Turnover by J. Wall (bad pass; steal by T. Evans)
3:32.0,Turnover by J. Holiday (bad pass; steal by M. Gortat),,49-54,,
3:30.0,Personal foul by J. Holiday (drawn by J. Wall),,49-54,,
3:30.0,,,49-54,,J. Wall misses free throw 1 of 2
3:30.0,,,49-54,,Offensive rebound by Team
3:30.0,A. Rivers enters the game for J. Holiday,,49-54,,
3:30.0,,,49-55,1,J. Wall makes free throw 2 of 2
3:12.0,A. Davis makes 2-pt shot from 16 ft (assist by T. Evans),2,51-55,,
2:52.0,,,51-57,2,M. Gortat makes 2-pt shot from 9 ft
2:24.0,R. Anderson makes 2-pt shot from 17 ft,2,53-57,,
2:12.0,,,53-59,2,M. Gortat makes 2-pt shot from 7 ft (assist by D. Gooden)
1:55.0,T. Evans misses 2-pt shot at rim,,53-59,,
1:54.0,Offensive rebound by T. Evans,,53-59,,
1:51.0,T. Evans misses 2-pt shot at rim (block by M. Gortat),,53-59,,
1:50.0,,,53-59,,Defensive rebound by M. Gortat
1:45.0,,,53-59,,Offensive foul by J. Wall
1:45.0,,,53-59,,Turnover by J. Wall (offensive foul)
1:45.0,New Orleans full timeout,,53-59,,
1:45.0,,,53-59,,R. Butler enters the game for P. Pierce
1:45.0,L. Babbitt enters the game for T. Evans,,53-59,,
1:33.0,A. Rivers makes 2-pt shot from 1 ft,2,55-59,,
1:12.0,,,55-61,2,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal)
0:55.0,J. Salmons makes 2-pt shot from 15 ft,2,57-61,,
0:47.0,,,57-63,2,J. Wall makes 2-pt shot from 1 ft
0:31.0,R. Anderson misses 2-pt shot from 20 ft,,57-63,,
0:29.0,,,57-63,,Defensive rebound by J. Wall
0:09.0,,,57-65,2,J. Wall makes 2-pt shot from 1 ft
0:05.0,,,57-65,,Personal foul by J. Wall (drawn by A. Rivers)
0:05.0,,,57-65,,A. Miller enters the game for J. Wall
0:05.0,,,57-65,,O. Porter enters the game for B. Beal
0:02.0,R. Anderson misses 3-pt shot from 23 ft,,57-65,,
0:00.0,,,57-65,,Defensive rebound by R. Butler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,57-65,,M. Gortat misses 2-pt shot from 5 ft
11:38.0,,,57-65,,Offensive rebound by D. Gooden
11:35.0,,,57-65,,D. Gooden misses 2-pt shot at rim
11:34.0,,,57-65,,Offensive rebound by D. Gooden
11:33.0,,,57-67,2,D. Gooden makes 2-pt shot from 1 ft
11:11.0,J. Salmons makes 3-pt shot from 27 ft,3,60-67,,
10:55.0,Violation by R. Anderson (kicked ball),,60-67,,
10:41.0,,,60-67,,D. Gooden misses 2-pt shot from 18 ft
10:40.0,Defensive rebound by A. Davis,,60-67,,
10:29.0,,,60-67,,Personal foul by A. Miller (drawn by A. Davis)
10:15.0,A. Rivers misses 2-pt shot from 16 ft,,60-67,,
10:13.0,,,60-67,,Defensive rebound by R. Butler
10:07.0,,,60-69,2,O. Porter makes 2-pt shot at rim (assist by A. Miller)
9:55.0,Shooting foul by A. Miller (drawn by A. Rivers),,60-69,,
9:55.0,A. Rivers misses free throw 1 of 2,,60-69,,
9:55.0,Offensive rebound by Team,,60-69,,
9:55.0,A. Rivers misses free throw 2 of 2,,60-69,,
9:55.0,,,60-69,,Defensive rebound by R. Butler
9:39.0,,,60-69,,A. Miller misses 2-pt shot at rim
9:38.0,,,60-69,,Offensive rebound by O. Porter
9:36.0,,,60-69,,O. Porter misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by A. Rivers,,60-69,,
9:25.0,Shooting foul by D. Gooden (drawn by R. Anderson),,60-69,,
9:25.0,R. Anderson misses free throw 1 of 2,,60-69,,
9:25.0,Offensive rebound by Team,,60-69,,
9:25.0,O. Asik enters the game for A. Davis,,60-69,,
9:25.0,J. Holiday enters the game for A. Rivers,,60-69,,
9:25.0,R. Anderson makes free throw 2 of 2,1,61-69,,
9:01.0,,,61-71,2,M. Gortat makes 2-pt shot at rim (assist by A. Miller)
8:39.0,J. Holiday makes 2-pt shot at rim,2,63-71,,
8:24.0,,,63-71,,M. Gortat misses 2-pt shot at rim
8:23.0,,,63-71,,Offensive rebound by M. Gortat
8:22.0,,,63-71,,M. Gortat misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by O. Asik,,63-71,,
8:12.0,Shooting foul by M. Gortat (drawn by L. Babbitt),,63-71,,
8:12.0,Official timeout,,63-71,,
8:12.0,L. Babbitt makes free throw 1 of 2,1,64-71,,
8:12.0,L. Babbitt misses free throw 2 of 2,,64-71,,
8:11.0,,,64-71,,Defensive rebound by M. Gortat
7:53.0,,,64-74,3,R. Butler makes 3-pt shot from 24 ft (assist by A. Miller)
7:30.0,R. Anderson makes 3-pt shot from 29 ft (assist by L. Babbitt),3,67-74,,
7:13.0,,,67-74,,R. Butler misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by L. Babbitt,,67-74,,
6:56.0,J. Holiday misses 2-pt shot from 5 ft,,67-74,,
6:55.0,,,67-74,,Defensive rebound by M. Gortat
6:30.0,,,67-74,,D. Gooden misses 2-pt shot from 11 ft
6:29.0,Defensive rebound by O. Asik,,67-74,,
6:16.0,L. Babbitt makes 3-pt shot from 23 ft (assist by J. Holiday),3,70-74,,
5:59.0,,,70-74,,A. Miller misses 3-pt shot from 25 ft
5:58.0,,,70-74,,Offensive rebound by A. Miller
5:52.0,,,70-76,2,A. Miller makes 2-pt shot from 1 ft
5:39.0,J. Holiday misses 2-pt shot from 2 ft,,70-76,,
5:38.0,Offensive rebound by O. Asik,,70-76,,
5:35.0,Turnover by O. Asik (lost ball; steal by D. Gooden),,70-76,,
5:31.0,,,70-76,,Washington full timeout
5:31.0,,,70-76,,J. Wall enters the game for A. Miller
5:31.0,,,70-76,,P. Pierce enters the game for D. Gooden
5:31.0,,,70-76,,B. Beal enters the game for O. Porter
5:31.0,T. Evans enters the game for O. Asik,,70-76,,
5:31.0,A. Davis enters the game for J. Salmons,,70-76,,
5:15.0,,,70-76,,J. Wall misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by R. Anderson,,70-76,,
4:57.0,A. Davis makes 2-pt shot at rim (assist by R. Anderson),2,72-76,,
4:40.0,,,72-76,,Shooting foul by T. Evans (drawn by B. Beal)
4:40.0,,,72-76,,B. Beal misses free throw 1 of 2
4:40.0,,,72-76,,Offensive rebound by Team
4:40.0,,,72-76,,B. Beal misses free throw 2 of 2
4:38.0,Defensive rebound by T. Evans,,72-76,,
4:25.0,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday),2,74-76,,
4:25.0,Shooting foul by J. Wall (drawn by A. Davis),,74-76,,
4:25.0,A. Davis makes free throw 1 of 1,1,75-76,,
4:07.0,,,75-76,,R. Butler misses 2-pt shot from 19 ft
4:06.0,Defensive rebound by A. Davis,,75-76,,
3:48.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,77-76,,
3:31.0,,,77-76,,J. Wall misses 2-pt shot from 4 ft
3:29.0,Defensive rebound by A. Davis,,77-76,,
3:11.0,J. Holiday misses 2-pt shot from 15 ft,,77-76,,
3:10.0,Offensive rebound by R. Anderson,,77-76,,
3:07.0,R. Anderson misses 2-pt shot from 2 ft,,77-76,,
3:06.0,Offensive rebound by R. Anderson,,77-76,,
3:05.0,R. Anderson misses 2-pt shot from 2 ft,,77-76,,
3:04.0,,,77-76,,Defensive rebound by M. Gortat
2:58.0,,,77-78,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
2:33.0,J. Holiday misses 2-pt shot from 17 ft,,77-78,,
2:32.0,,,77-78,,Defensive rebound by M. Gortat
2:13.0,,,77-81,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall)
2:12.0,New Orleans full timeout,,77-81,,
2:01.0,R. Anderson misses 3-pt shot from 23 ft (block by P. Pierce),,77-81,,
2:00.0,Offensive rebound by Team,,77-81,,
1:51.0,T. Evans misses 2-pt shot from 6 ft,,77-81,,
1:49.0,Offensive rebound by A. Davis,,77-81,,
1:48.0,Turnover by Team (shot clock),,77-81,,
1:27.0,,,77-81,,J. Wall misses 2-pt shot from 16 ft
1:26.0,Defensive rebound by A. Davis,,77-81,,
1:09.0,,,77-81,,Personal foul by B. Beal (drawn by R. Anderson)
1:09.0,R. Anderson makes free throw 1 of 2,1,78-81,,
1:09.0,J. Salmons enters the game for L. Babbitt,,78-81,,
1:09.0,R. Anderson misses free throw 2 of 2,,78-81,,
1:08.0,,,78-81,,Defensive rebound by M. Gortat
0:47.0,,,78-81,,M. Gortat misses 2-pt shot from 9 ft
0:47.0,,,78-81,,Offensive rebound by B. Beal
0:47.0,,,78-83,2,B. Beal makes 2-pt shot from 1 ft
0:33.0,A. Davis makes 2-pt shot at rim (assist by R. Anderson),2,80-83,,
0:13.0,,,80-83,,B. Beal misses 2-pt shot from 10 ft
0:12.0,Defensive rebound by R. Anderson,,80-83,,
0:12.0,New Orleans full timeout,,80-83,,
0:02.0,T. Evans misses 3-pt shot from 26 ft,,80-83,,
0:01.0,,,80-83,,Defensive rebound by R. Butler
0:00.0,End of 4th quarter,,,,End of 4th quarter
