time,Indiana,pts.away,score,pts.home,LA Clippers
10:17.0,R. Stuckey misses 2-pt shot from 9 ft,,54-56,,
10:16.0,,,54-56,,Defensive rebound by D. Jordan
10:08.0,,,54-56,,Shooting foul by R. Hibbert (drawn by B. Griffin)
10:08.0,,,54-57,1,B. Griffin makes free throw 1 of 2
10:08.0,L. Allen enters the game for R. Hibbert,,54-57,,
10:08.0,,,54-58,1,B. Griffin makes free throw 2 of 2
9:47.0,Turnover by S. Hill (bad pass; steal by C. Paul),,54-58,,
9:41.0,,,54-58,,J. Redick misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by R. Stuckey,,54-58,,
9:32.0,C. Watson misses 3-pt shot from 24 ft,,54-58,,
9:29.0,Offensive rebound by L. Allen,,54-58,,
9:17.0,L. Allen makes 2-pt shot from 2 ft (assist by C. Watson),2,56-58,,
8:53.0,,,56-58,,Turnover by D. Jordan (bad pass; steal by D. West)
8:48.0,Turnover by C. Watson (lost ball; steal by C. Paul),,56-58,,
8:35.0,,,56-58,,C. Paul misses 2-pt shot from 10 ft
8:33.0,,,56-58,,Offensive rebound by B. Griffin
8:33.0,,,56-58,,Turnover by M. Barnes (step out of bounds)
8:24.0,D. West misses 2-pt shot from 19 ft,,56-58,,
8:23.0,,,56-58,,Defensive rebound by B. Griffin
8:14.0,,,56-60,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
7:55.0,L. Allen misses 2-pt shot from 7 ft,,56-60,,
7:54.0,Offensive rebound by D. West,,56-60,,
7:51.0,D. West makes 2-pt shot from 1 ft,2,58-60,,
7:40.0,,,58-60,,B. Griffin misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by R. Stuckey,,58-60,,
7:35.0,R. Stuckey makes 2-pt shot from 2 ft,2,60-60,,
7:35.0,Shooting foul by M. Barnes (drawn by R. Stuckey),,60-60,,
7:35.0,R. Stuckey misses free throw 1 of 2,,60-60,,
7:35.0,Offensive rebound by Team,,60-60,,
7:35.0,R. Stuckey misses free throw 2 of 2,,60-60,,
7:33.0,Offensive rebound by D. West,,60-60,,
7:28.0,S. Hill misses 3-pt shot from 25 ft,,60-60,,
7:26.0,Offensive rebound by L. Allen,,60-60,,
7:16.0,C. Watson makes 2-pt shot from 10 ft,2,62-60,,
7:07.0,,,62-60,,LA Clippers full timeout
7:00.0,,,62-63,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
6:43.0,Turnover by L. Allen (offensive goaltending),,62-63,,
6:30.0,,,62-63,,C. Paul misses 2-pt shot from 14 ft
6:28.0,Defensive rebound by L. Allen,,62-63,,
6:16.0,R. Stuckey misses 3-pt shot from 25 ft,,62-63,,
6:14.0,,,62-63,,Defensive rebound by D. Jordan
6:09.0,,,62-63,,Turnover by B. Griffin (bad pass)
5:50.0,S. Hill misses 2-pt shot from 2 ft,,62-63,,
5:49.0,,,62-63,,Defensive rebound by D. Jordan
5:39.0,,,62-63,,Shooting foul by D. West (drawn by D. Jordan)
5:39.0,,,62-63,,D. Jordan misses free throw 1 of 2
5:39.0,,,62-63,,Offensive rebound by Team
5:39.0,C. Miles enters the game for S. Hill,,62-63,,
5:39.0,,,62-64,1,D. Jordan makes free throw 2 of 2
5:30.0,Turnover by C. Watson (dbl dribble),,62-64,,
5:21.0,,,62-66,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
5:17.0,Indiana full timeout,,62-66,,
5:04.0,L. Allen misses 2-pt shot from 6 ft,,62-66,,
5:01.0,,,62-66,,Defensive rebound by D. Jordan
4:54.0,,,62-68,2,C. Paul makes 2-pt shot from 19 ft
4:32.0,D. West misses 2-pt shot from 7 ft,,62-68,,
4:29.0,,,62-68,,Defensive rebound by B. Griffin
4:16.0,,,62-68,,B. Griffin misses 2-pt shot from 9 ft
4:15.0,Defensive rebound by D. West,,62-68,,
4:09.0,C. Watson misses 3-pt shot from 24 ft,,62-68,,
4:07.0,,,62-68,,Defensive rebound by B. Griffin
4:00.0,Personal foul by C. Watson (drawn by C. Paul),,62-68,,
4:00.0,,,62-69,1,C. Paul makes free throw 1 of 2
4:00.0,,,62-69,,J. Crawford enters the game for M. Barnes
4:00.0,,,62-70,1,C. Paul makes free throw 2 of 2
3:47.0,C. Watson misses 2-pt shot from 12 ft,,62-70,,
3:46.0,Offensive rebound by L. Allen,,62-70,,
3:39.0,D. West makes 2-pt shot from 18 ft (assist by C. Miles),2,64-70,,
3:27.0,,,64-70,,Shooting foul by R. Stuckey (drawn by D. Jordan)
3:27.0,,,64-70,,D. Jordan misses free throw 1 of 2
3:27.0,,,64-70,,Offensive rebound by Team
3:27.0,S. Hill enters the game for R. Stuckey,,64-70,,
3:27.0,,,64-71,1,D. Jordan makes free throw 2 of 2
3:05.0,D. West makes 2-pt shot from 9 ft (assist by S. Hill),2,66-71,,
2:53.0,,,66-73,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
2:44.0,D. West makes 2-pt shot from 16 ft (assist by C. Watson),2,68-73,,
2:34.0,Personal foul by S. Hill (drawn by J. Redick),,68-73,,
2:34.0,,,68-73,,J. Redick misses free throw 1 of 2
2:34.0,,,68-73,,Offensive rebound by Team
2:34.0,,,68-74,1,J. Redick makes free throw 2 of 2
2:19.0,Turnover by C. Watson (bad pass; steal by C. Paul),,68-74,,
2:04.0,,,68-74,,B. Griffin misses 2-pt shot from 3 ft
2:02.0,,,68-74,,Offensive rebound by B. Griffin
2:02.0,,,68-74,,B. Griffin misses 2-pt shot from 1 ft
2:02.0,,,68-74,,Offensive rebound by D. Jordan
2:02.0,,,68-74,,Shooting foul by D. West (drawn by D. Jordan)
2:02.0,,,68-74,,D. Jordan misses free throw 1 of 2
2:02.0,,,68-74,,Offensive rebound by Team
2:02.0,D. Sloan enters the game for C. Watson,,68-74,,
2:02.0,,,68-74,,D. Jordan misses free throw 2 of 2
2:00.0,Defensive rebound by C. Miles,,68-74,,
1:46.0,L. Allen misses 2-pt shot from 17 ft,,68-74,,
1:45.0,,,68-74,,Defensive rebound by B. Griffin
1:39.0,,,68-76,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
1:21.0,C. Miles misses 3-pt shot from 26 ft,,68-76,,
1:19.0,,,68-76,,Defensive rebound by B. Griffin
1:13.0,,,68-76,,C. Paul misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by C. Miles,,68-76,,
0:59.0,Shooting foul by D. Jordan (drawn by C. Miles),,68-76,,
0:59.0,C. Miles makes free throw 1 of 2,1,69-76,,
0:59.0,,,69-76,,G. Davis enters the game for D. Jordan
0:59.0,,,69-76,,J. Farmar enters the game for J. Redick
0:59.0,L. Scola enters the game for D. West,,69-76,,
0:59.0,C. Miles makes free throw 2 of 2,1,70-76,,
0:43.0,,,70-76,,B. Griffin misses 2-pt shot from 11 ft
0:41.0,Defensive rebound by L. Scola,,70-76,,
0:32.0,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan),2,72-76,,
0:12.0,,,72-78,2,C. Paul makes 2-pt shot from 20 ft
0:01.0,Turnover by D. Sloan (lost ball; steal by B. Griffin),,72-78,,
0:01.0,,,72-78,,B. Griffin misses 3-pt shot from 58 ft
0:00.0,,,72-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. Miles makes 3-pt shot from 26 ft (assist by L. Scola),3,75-78,,
11:28.0,,,75-78,,J. Crawford misses 2-pt shot from 20 ft
11:26.0,Defensive rebound by S. Hill,,75-78,,
11:22.0,Shooting foul by J. Crawford (drawn by C. Miles),,75-78,,
11:22.0,C. Miles misses free throw 1 of 3,,75-78,,
11:22.0,Offensive rebound by Team,,75-78,,
11:22.0,C. Miles misses free throw 2 of 3,,75-78,,
11:22.0,Offensive rebound by Team,,75-78,,
11:22.0,,,75-78,,C. Douglas-Roberts enters the game for C. Paul
11:22.0,C. Miles makes free throw 3 of 3,1,76-78,,
11:10.0,,,76-78,,J. Farmar misses 2-pt shot from 18 ft
11:09.0,Defensive rebound by L. Allen,,76-78,,
10:56.0,S. Hill misses 2-pt shot from 2 ft (block by G. Davis),,76-78,,
10:54.0,,,76-78,,Defensive rebound by D. Jordan
10:35.0,,,76-81,3,J. Farmar makes 3-pt shot from 26 ft
10:16.0,L. Scola makes 2-pt shot from 1 ft,2,78-81,,
9:59.0,,,78-81,,Turnover by J. Farmar (back court)
9:38.0,C. Miles misses 3-pt shot from 24 ft,,78-81,,
9:37.0,Offensive rebound by L. Allen,,78-81,,
9:35.0,L. Allen makes 2-pt shot from 1 ft,2,80-81,,
9:20.0,,,80-81,,D. Jordan misses 2-pt shot from 2 ft
9:18.0,Defensive rebound by L. Scola,,80-81,,
9:15.0,D. Sloan makes 2-pt shot from 3 ft,2,82-81,,
9:15.0,,,82-81,,Shooting block foul by C. Douglas-Roberts (drawn by D. Sloan)
9:15.0,D. Sloan makes free throw 1 of 1,1,83-81,,
9:03.0,,,83-81,,J. Crawford misses 2-pt shot from 11 ft
9:02.0,Defensive rebound by L. Scola,,83-81,,
8:50.0,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan),2,85-81,,
8:39.0,Personal foul by S. Hill (drawn by J. Crawford),,85-81,,
8:39.0,Official timeout,,85-81,,
8:39.0,,,85-81,,C. Paul enters the game for J. Farmar
8:39.0,,,85-81,,B. Griffin enters the game for G. Davis
8:33.0,,,85-83,2,C. Paul makes 2-pt shot from 13 ft
8:18.0,L. Scola misses 2-pt shot from 18 ft,,85-83,,
8:16.0,Offensive rebound by L. Allen,,85-83,,
8:16.0,L. Allen makes 2-pt shot from 2 ft,2,87-83,,
8:03.0,,,87-83,,C. Paul misses 2-pt shot from 11 ft
8:01.0,Defensive rebound by L. Allen,,87-83,,
7:44.0,C. Miles makes 2-pt shot at rim (assist by L. Allen),2,89-83,,
7:23.0,Personal foul by L. Scola (drawn by B. Griffin),,89-83,,
7:23.0,,,89-83,,J. Redick enters the game for J. Crawford
7:23.0,,,89-83,,M. Barnes enters the game for C. Douglas-Roberts
7:23.0,Technical foul by Team,,89-83,,
7:23.0,,,89-84,1,J. Redick makes technical free throw
7:16.0,,,89-84,,J. Redick misses 2-pt shot from 20 ft
7:14.0,,,89-84,,Offensive rebound by D. Jordan
7:11.0,,,89-84,,D. Jordan misses 2-pt shot from 1 ft (block by L. Allen)
7:10.0,,,89-84,,Offensive rebound by Team
7:07.0,Personal foul by L. Scola (drawn by C. Paul),,89-84,,
7:07.0,R. Stuckey enters the game for S. Hill,,89-84,,
6:59.0,,,89-86,2,B. Griffin makes 2-pt shot from 8 ft
6:50.0,,,89-86,,Personal foul by M. Barnes (drawn by C. Miles)
6:38.0,L. Scola misses 3-pt shot from 22 ft,,89-86,,
6:34.0,Offensive rebound by L. Allen,,89-86,,
6:34.0,L. Allen misses 2-pt shot from 1 ft,,89-86,,
6:32.0,,,89-86,,Defensive rebound by D. Jordan
6:29.0,,,89-88,2,C. Paul makes 2-pt shot at rim
6:07.0,L. Allen makes 2-pt shot from 16 ft (assist by C. Miles),2,91-88,,
5:48.0,,,91-88,,B. Griffin misses 2-pt shot from 8 ft (block by L. Scola)
5:45.0,,,91-88,,Offensive rebound by B. Griffin
5:45.0,,,91-88,,B. Griffin misses 2-pt shot from 1 ft
5:41.0,Defensive rebound by L. Scola,,91-88,,
5:36.0,R. Stuckey makes 2-pt shot from 12 ft,2,93-88,,
