time,LA Lakers,pts.away,score,pts.home,Miami
3:31.0,,,20-19,,M. Chalmers enters the game for D. Wade
3:17.0,,,20-21,2,L. Deng makes 2-pt shot at rim
2:59.0,Shooting foul by M. Chalmers (drawn by J. Lin),,20-21,,
2:59.0,LA Lakers full timeout,,20-21,,
2:59.0,J. Lin makes free throw 1 of 2,1,21-21,,
2:59.0,J. Lin misses free throw 2 of 2,,21-21,,
2:58.0,,,21-21,,Defensive rebound by H. Whiteside
2:43.0,,,21-21,,Shooting foul by J. Hill (drawn by L. Deng)
2:43.0,,,21-22,1,L. Deng makes free throw 1 of 2
2:43.0,,,21-23,1,L. Deng makes free throw 2 of 2
2:21.0,Turnover by J. Clarkson (traveling),,21-23,,
2:13.0,Personal foul by J. Clarkson (drawn by G. Dragic),,21-23,,
2:13.0,,,21-24,1,G. Dragic makes free throw 1 of 2
2:13.0,,,21-25,1,G. Dragic makes free throw 2 of 2
1:54.0,Turnover by J. Hill (lost ball; steal by G. Dragic),,21-25,,
1:53.0,,,21-25,,Miami full timeout
1:44.0,,,21-25,,Turnover by G. Dragic (bad pass; steal by J. Lin)
1:35.0,E. Davis makes 2-pt shot at rim (assist by J. Clarkson),2,23-25,,
1:17.0,,,23-27,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:03.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,25-27,,
0:48.0,Personal foul by W. Johnson (drawn by L. Deng),,25-27,,
0:48.0,,,25-27,,L. Deng misses free throw 1 of 2
0:48.0,,,25-27,,Offensive rebound by Team
0:48.0,,,25-27,,T. Johnson enters the game for G. Dragic
0:48.0,,,25-27,,C. Andersen enters the game for H. Whiteside
0:48.0,,,25-28,1,L. Deng makes free throw 2 of 2
0:25.0,J. Hill misses 2-pt shot from 18 ft,,25-28,,
0:24.0,,,25-28,,Defensive rebound by L. Deng
0:03.0,,,25-28,,H. Walker misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by J. Hill,,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Lin makes 2-pt shot from 15 ft,2,27-28,,
11:24.0,,,27-28,,Shooting foul by J. Lin (drawn by T. Johnson)
11:24.0,,,27-29,1,T. Johnson makes free throw 1 of 2
11:24.0,,,27-29,,T. Johnson misses free throw 2 of 2
11:23.0,Defensive rebound by E. Davis,,27-29,,
11:11.0,J. Lin makes 2-pt shot from 2 ft,2,29-29,,
10:52.0,,,29-31,2,M. Beasley makes 2-pt shot at rim
10:33.0,W. Johnson misses 2-pt shot from 19 ft,,29-31,,
10:32.0,,,29-31,,Defensive rebound by H. Walker
10:24.0,,,29-31,,C. Andersen misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by E. Davis,,29-31,,
10:12.0,Turnover by J. Hill (lost ball; steal by M. Chalmers),,29-31,,
9:48.0,,,29-34,3,H. Walker makes 3-pt shot from 26 ft (assist by T. Johnson)
9:29.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,31-34,,
9:15.0,,,31-34,,Turnover by M. Chalmers (lost ball; steal by J. Lin)
9:05.0,J. Hill misses 2-pt shot from 1 ft,,31-34,,
9:04.0,Offensive rebound by E. Davis,,31-34,,
9:03.0,E. Davis makes 2-pt shot at rim,2,33-34,,
8:48.0,,,33-34,,Offensive charge foul by M. Beasley
8:48.0,,,33-34,,Turnover by M. Beasley (offensive foul)
8:48.0,Official timeout,,33-34,,
8:27.0,J. Lin misses 3-pt shot from 24 ft,,33-34,,
8:26.0,Offensive rebound by Team,,33-34,,
8:22.0,Turnover by W. Johnson (bad pass; steal by C. Andersen),,33-34,,
8:00.0,,,33-34,,H. Walker misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by J. Hill,,33-34,,
7:49.0,J. Hill misses 2-pt shot from 14 ft,,33-34,,
7:48.0,,,33-34,,Defensive rebound by C. Andersen
7:36.0,,,33-34,,C. Andersen misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by E. Davis,,33-34,,
7:18.0,W. Johnson makes 2-pt shot at rim (assist by J. Hill),2,35-34,,
7:04.0,,,35-34,,C. Andersen misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by W. Johnson,,35-34,,
6:55.0,W. Ellington misses 3-pt shot from 23 ft,,35-34,,
6:54.0,,,35-34,,Defensive rebound by M. Beasley
6:43.0,,,35-34,,M. Chalmers misses 2-pt shot from 20 ft
6:42.0,Defensive rebound by E. Davis,,35-34,,
6:29.0,W. Ellington makes 2-pt shot from 5 ft (assist by J. Lin),2,37-34,,
6:24.0,,,37-34,,Miami full timeout
6:24.0,R. Sacre enters the game for E. Davis,,37-34,,
6:24.0,,,37-34,,D. Wade enters the game for M. Chalmers
6:24.0,,,37-34,,G. Dragic enters the game for T. Johnson
6:24.0,,,37-34,,H. Whiteside enters the game for C. Andersen
6:09.0,,,37-34,,Shooting foul by W. Johnson (drawn by M. Beasley)
6:09.0,,,37-35,1,M. Beasley makes free throw 1 of 2
6:09.0,,,37-35,,L. Deng enters the game for H. Walker
6:09.0,,,37-36,1,M. Beasley makes free throw 2 of 2
5:53.0,W. Johnson makes 3-pt shot from 24 ft (assist by W. Ellington),3,40-36,,
5:33.0,,,40-36,,L. Deng misses 3-pt shot from 23 ft
5:32.0,,,40-36,,Offensive rebound by H. Whiteside
5:30.0,,,40-36,,Turnover by H. Whiteside (bad pass)
5:14.0,J. Hill makes 2-pt shot from 19 ft (assist by J. Lin),2,42-36,,
5:03.0,,,42-38,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
4:43.0,Turnover by W. Johnson (lost ball),,42-38,,
4:43.0,R. Kelly enters the game for J. Lin,,42-38,,
4:43.0,C. Boozer enters the game for J. Hill,,42-38,,
4:41.0,J. Clarkson enters the game for W. Johnson,,42-38,,
4:08.0,,,42-38,,D. Wade misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by J. Clarkson,,42-38,,
4:03.0,J. Clarkson misses 2-pt shot from 17 ft,,42-38,,
4:02.0,,,42-38,,Defensive rebound by Team
3:41.0,,,42-40,2,G. Dragic makes 2-pt shot from 4 ft
3:19.0,C. Boozer misses 2-pt shot from 6 ft,,42-40,,
3:18.0,,,42-40,,Defensive rebound by L. Deng
3:13.0,,,42-40,,Offensive foul by H. Whiteside
3:13.0,,,42-40,,Turnover by H. Whiteside (offensive foul)
2:58.0,W. Ellington makes 3-pt shot from 24 ft,3,45-40,,
2:42.0,,,45-42,2,D. Wade makes 2-pt shot from 7 ft
2:27.0,,,45-42,,Shooting block foul by H. Whiteside (drawn by C. Boozer)
2:27.0,LA Lakers full timeout,,45-42,,
2:27.0,,,45-42,,C. Andersen enters the game for H. Whiteside
2:27.0,C. Boozer makes free throw 1 of 2,1,46-42,,
2:27.0,C. Boozer makes free throw 2 of 2,1,47-42,,
2:07.0,,,47-44,2,G. Dragic makes 2-pt shot from 1 ft
1:49.0,C. Boozer makes 2-pt shot from 14 ft (assist by J. Clarkson),2,49-44,,
1:28.0,,,49-46,2,L. Deng makes 2-pt shot from 7 ft
1:12.0,C. Boozer makes 2-pt shot from 2 ft (assist by J. Clarkson),2,51-46,,
0:53.0,,,51-46,,M. Beasley misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by J. Clarkson,,51-46,,
0:43.0,,,51-46,,Violation by G. Dragic (kicked ball)
0:30.0,C. Boozer misses 2-pt shot from 15 ft,,51-46,,
0:29.0,,,51-46,,Defensive rebound by M. Beasley
0:06.0,,,51-46,,D. Wade misses 2-pt shot from 17 ft
0:05.0,Defensive rebound by J. Clarkson,,51-46,,
0:02.0,Turnover by J. Clarkson (lost ball; steal by G. Dragic),,51-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,C. Boozer misses 2-pt shot from 14 ft,,51-46,,
11:34.0,,,51-46,,Defensive rebound by G. Dragic
11:30.0,,,51-46,,Shooting foul by J. Clarkson (drawn by G. Dragic)
11:30.0,,,51-47,1,G. Dragic makes free throw 1 of 2
11:30.0,,,51-48,1,G. Dragic makes free throw 2 of 2
11:10.0,R. Sacre misses 2-pt shot from 12 ft,,51-48,,
11:09.0,,,51-48,,Defensive rebound by U. Haslem
10:57.0,Personal foul by R. Sacre (drawn by H. Whiteside),,51-48,,
10:51.0,,,51-48,,Turnover by G. Dragic (lost ball; steal by R. Sacre)
10:45.0,Shooting foul by L. Deng (drawn by C. Boozer),,51-48,,
10:45.0,C. Boozer makes free throw 1 of 2,1,52-48,,
10:45.0,C. Boozer misses free throw 2 of 2,,52-48,,
10:44.0,,,52-48,,Defensive rebound by H. Whiteside
10:30.0,,,52-48,,Shooting foul by R. Kelly (drawn by H. Whiteside)
10:30.0,,,52-48,,H. Whiteside misses free throw 1 of 2
10:30.0,,,52-48,,Offensive rebound by Team
10:30.0,,,52-48,,H. Whiteside misses free throw 2 of 2
10:29.0,Defensive rebound by C. Boozer,,52-48,,
10:09.0,J. Clarkson makes 3-pt shot from 24 ft (assist by R. Kelly),3,55-48,,
9:58.0,,,55-48,,Shooting foul by W. Ellington (drawn by D. Wade)
9:58.0,,,55-49,1,D. Wade makes free throw 1 of 2
9:58.0,,,55-50,1,D. Wade makes free throw 2 of 2
9:42.0,J. Clarkson misses 3-pt shot from 25 ft,,55-50,,
9:41.0,,,55-50,,Defensive rebound by H. Whiteside
9:33.0,Personal foul by R. Kelly (drawn by D. Wade),,55-50,,
9:33.0,,,55-51,1,D. Wade makes free throw 1 of 2
9:33.0,,,55-52,1,D. Wade makes free throw 2 of 2
9:21.0,Offensive foul by R. Sacre,,55-52,,
9:21.0,Turnover by R. Sacre (offensive foul),,55-52,,
9:11.0,,,55-52,,D. Wade misses 2-pt shot from 17 ft
9:10.0,,,55-52,,Offensive rebound by Team
9:10.0,Loose ball foul by R. Sacre (drawn by H. Whiteside),,55-52,,
9:10.0,,,55-53,1,H. Whiteside makes free throw 1 of 2
9:10.0,,,55-53,,H. Whiteside misses free throw 2 of 2
9:09.0,Defensive rebound by R. Kelly,,55-53,,
8:56.0,C. Boozer misses 2-pt shot from 2 ft (block by H. Whiteside),,55-53,,
8:53.0,,,55-53,,Defensive rebound by U. Haslem
8:46.0,,,55-55,2,D. Wade makes 2-pt shot from 13 ft
8:30.0,R. Sacre misses 2-pt shot from 9 ft (block by H. Whiteside),,55-55,,
8:29.0,,,55-55,,Defensive rebound by H. Whiteside
8:23.0,,,55-57,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
8:18.0,LA Lakers full timeout,,55-57,,
8:18.0,E. Davis enters the game for R. Sacre,,55-57,,
8:07.0,E. Davis makes 2-pt shot from 10 ft,2,57-57,,
7:48.0,,,57-57,,L. Deng misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by E. Davis,,57-57,,
7:36.0,E. Davis misses 2-pt shot from 14 ft (block by H. Whiteside),,57-57,,
7:35.0,,,57-57,,Defensive rebound by G. Dragic
7:20.0,,,57-57,,U. Haslem misses 2-pt shot from 19 ft
7:19.0,,,57-57,,Offensive rebound by G. Dragic
7:17.0,,,57-59,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
7:00.0,W. Ellington misses 2-pt shot from 10 ft,,57-59,,
6:59.0,,,57-59,,Defensive rebound by H. Whiteside
6:54.0,,,57-59,,U. Haslem misses 2-pt shot at rim
6:53.0,Defensive rebound by R. Kelly,,57-59,,
6:48.0,R. Kelly misses 2-pt shot from 7 ft,,57-59,,
6:47.0,,,57-59,,Defensive rebound by U. Haslem
6:45.0,,,57-59,,Shooting foul by J. Clarkson (drawn by G. Dragic)
6:45.0,,,57-60,1,G. Dragic makes free throw 1 of 2
6:45.0,,,57-61,1,G. Dragic makes free throw 2 of 2
6:32.0,J. Clarkson misses 3-pt shot from 23 ft,,57-61,,
6:31.0,,,57-61,,Defensive rebound by H. Whiteside
6:26.0,,,57-63,2,U. Haslem makes 2-pt shot at rim (assist by D. Wade)
6:11.0,,,57-63,,Personal foul by L. Deng (drawn by W. Ellington)
6:11.0,J. Hill enters the game for C. Boozer,,57-63,,
6:11.0,,,57-63,,M. Chalmers enters the game for G. Dragic
6:03.0,J. Hill makes 2-pt shot at rim (assist by J. Clarkson),2,59-63,,
5:47.0,,,59-63,,D. Wade misses 2-pt shot from 19 ft
5:45.0,,,59-63,,Offensive rebound by H. Whiteside
5:43.0,,,59-63,,H. Whiteside misses 2-pt shot from 6 ft
5:40.0,Defensive rebound by R. Kelly,,59-63,,
5:34.0,W. Ellington misses 2-pt shot at rim,,59-63,,
5:33.0,,,59-63,,Defensive rebound by L. Deng
5:21.0,,,59-65,2,D. Wade makes 2-pt shot at rim
4:57.0,W. Ellington misses 3-pt shot from 24 ft,,59-65,,
4:56.0,,,59-65,,Defensive rebound by H. Whiteside
4:48.0,,,59-65,,Turnover by U. Haslem (lost ball; steal by E. Davis)
4:39.0,W. Ellington misses 2-pt shot from 8 ft (block by H. Whiteside),,59-65,,
4:38.0,Offensive rebound by J. Clarkson,,59-65,,
4:37.0,Turnover by J. Clarkson (lost ball),,59-65,,
4:37.0,J. Lin enters the game for W. Ellington,,59-65,,
4:12.0,,,59-65,,D. Wade misses 2-pt shot from 3 ft
4:11.0,,,59-65,,Offensive rebound by Team
4:01.0,,,59-65,,Offensive foul by H. Whiteside
4:01.0,,,59-65,,Turnover by H. Whiteside (offensive foul)
3:48.0,J. Lin misses 2-pt shot from 16 ft,,59-65,,
3:47.0,,,59-65,,Defensive rebound by D. Wade
3:38.0,,,59-65,,Shooting foul by J. Clarkson (drawn by D. Wade)
3:38.0,,,59-66,1,D. Wade makes free throw 1 of 2
3:38.0,W. Ellington enters the game for J. Clarkson,,59-66,,
3:38.0,,,59-66,,H. Walker enters the game for U. Haslem
3:38.0,,,59-66,,M. Beasley enters the game for L. Deng
3:38.0,,,59-67,1,D. Wade makes free throw 2 of 2
3:22.0,E. Davis misses 2-pt shot from 3 ft,,59-67,,
3:21.0,Offensive rebound by J. Hill,,59-67,,
3:21.0,Shooting foul by M. Beasley (drawn by J. Hill),,59-67,,
3:21.0,J. Hill makes free throw 1 of 2,1,60-67,,
3:21.0,,,60-67,,G. Dragic enters the game for D. Wade
3:21.0,J. Hill misses free throw 2 of 2,,60-67,,
3:20.0,,,60-67,,Defensive rebound by H. Whiteside
3:04.0,,,60-70,3,H. Walker makes 3-pt shot from 25 ft (assist by M. Chalmers)
2:45.0,J. Lin misses 2-pt shot from 1 ft,,60-70,,
2:44.0,Offensive rebound by E. Davis,,60-70,,
2:43.0,E. Davis makes 2-pt shot at rim,2,62-70,,
2:29.0,,,62-70,,M. Beasley misses 2-pt shot from 18 ft
2:28.0,Defensive rebound by J. Hill,,62-70,,
2:18.0,Turnover by J. Hill (bad pass; steal by H. Walker),,62-70,,
2:12.0,,,62-70,,G. Dragic misses 2-pt shot from 1 ft
2:11.0,Defensive rebound by E. Davis,,62-70,,
2:05.0,R. Kelly makes 3-pt shot from 24 ft (assist by W. Ellington),3,65-70,,
2:05.0,Shooting foul by M. Beasley (drawn by R. Kelly),,65-70,,
2:05.0,,,65-70,,Miami full timeout
2:05.0,,,65-70,,Technical foul by H. Whiteside
2:05.0,,,65-70,,C. Andersen enters the game for H. Whiteside
2:05.0,R. Kelly misses technical free throw,,65-70,,
2:05.0,Offensive rebound by Team,,65-70,,
2:05.0,R. Kelly makes free throw 1 of 1,1,66-70,,
1:55.0,,,66-70,,Turnover by H. Walker (bad pass; steal by J. Lin)
1:51.0,J. Lin misses 2-pt shot from 1 ft,,66-70,,
1:50.0,Offensive rebound by W. Ellington,,66-70,,
1:49.0,W. Ellington makes 2-pt shot at rim,2,68-70,,
1:35.0,,,68-70,,M. Beasley misses 2-pt shot from 3 ft
1:34.0,,,68-70,,Offensive rebound by C. Andersen
1:33.0,,,68-72,2,C. Andersen makes 2-pt shot at rim
1:13.0,E. Davis misses 2-pt shot from 3 ft (block by C. Andersen),,68-72,,
1:12.0,,,68-72,,Defensive rebound by M. Beasley
1:00.0,,,68-72,,M. Beasley misses 2-pt shot from 8 ft
0:59.0,Defensive rebound by J. Hill,,68-72,,
0:53.0,J. Lin makes 3-pt shot from 25 ft (assist by W. Ellington),3,71-72,,
0:44.0,Personal foul by W. Ellington (drawn by G. Dragic),,71-72,,
0:44.0,,,71-73,1,G. Dragic makes free throw 1 of 2
0:44.0,W. Johnson enters the game for R. Kelly,,71-73,,
0:44.0,,,71-74,1,G. Dragic makes free throw 2 of 2
0:29.0,W. Ellington misses 2-pt shot from 21 ft,,71-74,,
0:28.0,Offensive rebound by Team,,71-74,,
0:28.0,,,71-74,,Loose ball foul by M. Chalmers (drawn by J. Hill)
0:28.0,J. Hill makes free throw 1 of 2,1,72-74,,
0:28.0,J. Hill makes free throw 2 of 2,1,73-74,,
0:08.0,,,73-76,2,C. Andersen makes 2-pt shot at rim (assist by G. Dragic)
0:02.0,Turnover by J. Lin (lost ball; steal by G. Dragic),,73-76,,
0:00.0,,,73-76,,M. Chalmers misses 3-pt shot from 52 ft
0:00.0,,,73-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,73-76,,M. Beasley misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by J. Lin,,73-76,,
11:33.0,W. Johnson makes 2-pt shot from 1 ft (assist by J. Lin),2,75-76,,
11:11.0,,,75-78,2,M. Chalmers makes 2-pt shot from 7 ft (assist by G. Dragic)
10:50.0,W. Johnson makes 3-pt shot from 23 ft,3,78-78,,
10:34.0,,,78-78,,G. Dragic misses 2-pt shot from 16 ft
10:33.0,,,78-78,,Offensive rebound by C. Andersen
10:29.0,,,78-78,,C. Andersen misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by J. Hill,,78-78,,
10:22.0,J. Lin misses 3-pt shot from 24 ft,,78-78,,
10:21.0,,,78-78,,Defensive rebound by C. Andersen
10:07.0,,,78-78,,C. Andersen misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by E. Davis,,78-78,,
9:52.0,J. Hill misses 2-pt shot from 7 ft,,78-78,,
9:51.0,,,78-78,,Defensive rebound by C. Andersen
9:45.0,,,78-80,2,G. Dragic makes 2-pt shot at rim
9:28.0,J. Lin makes 2-pt shot from 1 ft,2,80-80,,
9:06.0,,,80-80,,H. Walker misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by W. Johnson,,80-80,,
9:00.0,Turnover by W. Johnson (bad pass),,80-80,,
8:54.0,,,80-80,,Turnover by G. Dragic (lost ball; steal by E. Davis)
8:48.0,W. Johnson misses 2-pt shot from 15 ft,,80-80,,
8:47.0,,,80-80,,Defensive rebound by M. Beasley
8:33.0,,,80-80,,Turnover by M. Chalmers (bad pass; steal by J. Lin)
8:30.0,,,80-80,,Personal foul by G. Dragic (drawn by J. Lin)
8:30.0,Official timeout,,80-80,,
8:30.0,,,80-80,,L. Deng enters the game for H. Walker
8:17.0,W. Johnson misses 3-pt shot from 25 ft,,80-80,,
8:16.0,,,80-80,,Defensive rebound by C. Andersen
8:00.0,,,80-80,,C. Andersen misses 2-pt shot from 4 ft
7:59.0,Defensive rebound by J. Hill,,80-80,,
7:50.0,J. Hill makes 2-pt shot from 18 ft (assist by W. Johnson),2,82-80,,
7:47.0,,,82-80,,Turnover by M. Beasley (bad pass; steal by E. Davis)
7:29.0,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin),2,84-80,,
7:29.0,Shooting foul by M. Beasley (drawn by E. Davis),,84-80,,
7:29.0,,,84-80,,D. Wade enters the game for G. Dragic
7:29.0,,,84-80,,H. Whiteside enters the game for C. Andersen
7:29.0,E. Davis misses free throw 1 of 1,,84-80,,
7:28.0,,,84-80,,Defensive rebound by L. Deng
7:15.0,,,84-80,,Shooting foul by W. Ellington (drawn by D. Wade)
7:15.0,,,84-81,1,D. Wade makes free throw 1 of 2
7:15.0,,,84-81,,H. Walker enters the game for M. Beasley
7:15.0,,,84-81,,D. Wade misses free throw 2 of 2
7:13.0,Defensive rebound by J. Hill,,84-81,,
6:58.0,W. Ellington misses 2-pt shot from 19 ft,,84-81,,
6:57.0,,,84-81,,Defensive rebound by H. Whiteside
6:42.0,,,84-81,,H. Walker misses 2-pt shot at rim (block by E. Davis)
6:41.0,,,84-81,,Offensive rebound by D. Wade
6:33.0,,,84-81,,Shooting foul by E. Davis (drawn by L. Deng)
6:33.0,,,84-82,1,L. Deng makes free throw 1 of 2
6:33.0,,,84-83,1,L. Deng makes free throw 2 of 2
6:20.0,W. Johnson makes 2-pt shot from 21 ft,2,86-83,,
6:02.0,,,86-85,2,D. Wade makes 2-pt shot from 1 ft
5:51.0,J. Lin makes 2-pt shot from 18 ft,2,88-85,,
5:32.0,,,88-85,,D. Wade misses 2-pt shot from 15 ft
5:32.0,,,88-85,,Offensive rebound by H. Whiteside
5:32.0,Personal foul by J. Hill (drawn by H. Whiteside),,88-85,,
5:32.0,,,88-85,,Miami full timeout
5:17.0,,,88-85,,H. Walker misses 2-pt shot from 1 ft
5:16.0,,,88-85,,Offensive rebound by H. Whiteside
5:15.0,,,88-85,,Shooting foul by E. Davis (drawn by H. Whiteside)
5:15.0,,,88-85,,H. Whiteside misses free throw 1 of 2
5:15.0,,,88-85,,Offensive rebound by Team
5:15.0,,,88-85,,H. Whiteside misses free throw 2 of 2
5:14.0,Defensive rebound by E. Davis,,88-85,,
4:56.0,J. Hill misses 2-pt shot from 4 ft (block by D. Wade),,88-85,,
4:55.0,Offensive rebound by Team,,88-85,,
4:54.0,,,88-85,,G. Dragic enters the game for M. Chalmers
4:50.0,J. Hill misses 2-pt shot from 19 ft,,88-85,,
4:49.0,,,88-85,,Defensive rebound by Team
4:35.0,,,88-85,,H. Walker misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by J. Lin,,88-85,,
4:19.0,J. Hill misses 2-pt shot from 15 ft,,88-85,,
4:18.0,,,88-85,,Defensive rebound by D. Wade
4:02.0,,,88-87,2,D. Wade makes 2-pt shot from 9 ft
3:47.0,J. Lin misses 2-pt shot from 15 ft,,88-87,,
3:46.0,,,88-87,,Defensive rebound by H. Whiteside
3:30.0,,,88-90,3,G. Dragic makes 3-pt shot from 25 ft (assist by H. Walker)
3:19.0,LA Lakers full timeout,,88-90,,
