time,Memphis,pts.away,score,pts.home,Orlando
6:17.0,,,36-39,3,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Payton)
6:05.0,Z. Randolph misses 2-pt shot from 7 ft,,36-39,,
6:05.0,,,36-39,,Defensive rebound by C. Frye
6:05.0,Personal foul by T. Allen (drawn by C. Frye),,36-39,,
6:05.0,,,36-40,1,C. Frye makes free throw 1 of 2
6:05.0,,,36-41,1,C. Frye makes free throw 2 of 2
5:51.0,Turnover by T. Allen (bad pass),,36-41,,
5:51.0,,,36-41,,Orlando full timeout
5:51.0,M. Gasol enters the game for K. Koufos,,36-41,,
5:27.0,,,36-41,,N. Vucevic misses 2-pt shot from 19 ft
5:26.0,Defensive rebound by Z. Randolph,,36-41,,
5:10.0,J. Green misses 2-pt shot from 5 ft (block by C. Frye),,36-41,,
5:10.0,,,36-41,,Defensive rebound by Team
5:04.0,,,36-41,,Turnover by E. Payton (bad pass; steal by N. Calathes)
4:58.0,Turnover by N. Calathes (lost ball; steal by E. Payton),,36-41,,
4:52.0,,,36-41,,E. Payton misses 2-pt shot from 12 ft
4:49.0,Defensive rebound by M. Gasol,,36-41,,
4:33.0,M. Gasol misses 2-pt shot from 16 ft,,36-41,,
4:32.0,Offensive rebound by T. Allen,,36-41,,
4:30.0,T. Allen makes 2-pt shot from 2 ft,2,38-41,,
4:22.0,,,38-41,,Turnover by V. Oladipo (lost ball; steal by T. Allen)
4:17.0,M. Gasol makes 2-pt shot from 5 ft (assist by J. Green),2,40-41,,
4:17.0,Shooting foul by C. Frye (drawn by M. Gasol),,40-41,,
4:17.0,,,40-41,,D. Marble enters the game for E. Fournier
4:17.0,B. Udrih enters the game for J. Green,,40-41,,
4:17.0,C. Lee enters the game for N. Calathes,,40-41,,
4:17.0,M. Gasol makes free throw 1 of 1,1,41-41,,
4:05.0,,,41-41,,E. Payton misses 2-pt shot from 11 ft
4:04.0,Defensive rebound by M. Gasol,,41-41,,
3:47.0,M. Gasol misses 2-pt shot from 18 ft,,41-41,,
3:46.0,,,41-41,,Defensive rebound by C. Frye
3:35.0,,,41-41,,Turnover by N. Vucevic (bad pass)
3:17.0,Z. Randolph misses 2-pt shot from 17 ft,,41-41,,
3:16.0,,,41-41,,Defensive rebound by N. Vucevic
3:04.0,,,41-41,,C. Frye misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by M. Gasol,,41-41,,
2:51.0,,,41-41,,Personal block foul by D. Marble (drawn by C. Lee)
2:51.0,Memphis full timeout,,41-41,,
2:51.0,C. Lee makes free throw 1 of 2,1,42-41,,
2:51.0,C. Lee makes free throw 2 of 2,1,43-41,,
2:31.0,,,43-43,2,N. Vucevic makes 2-pt shot from 7 ft
2:10.0,B. Udrih misses 3-pt shot from 24 ft,,43-43,,
2:08.0,,,43-43,,Defensive rebound by C. Frye
1:50.0,,,43-45,2,E. Payton makes 2-pt shot from 2 ft (assist by V. Oladipo)
1:30.0,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen),2,45-45,,
1:21.0,,,45-47,2,V. Oladipo makes 2-pt shot from 2 ft
1:07.0,B. Udrih misses 2-pt shot from 2 ft (block by C. Frye),,45-47,,
1:07.0,Offensive rebound by Team,,45-47,,
0:55.0,C. Lee misses 3-pt shot from 24 ft,,45-47,,
0:54.0,,,45-47,,Defensive rebound by N. Vucevic
0:46.0,,,45-49,2,E. Payton makes 2-pt shot at rim
0:30.0,T. Allen makes 3-pt shot from 25 ft (assist by B. Udrih),3,48-49,,
0:08.0,,,48-49,,Turnover by D. Marble (bad pass; steal by T. Allen)
0:01.0,B. Udrih misses 3-pt shot from 25 ft,,48-49,,
0:00.0,,,48-49,,Defensive rebound by N. Vucevic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Personal foul by T. Allen (drawn by V. Oladipo),,48-49,,
11:35.0,,,48-51,2,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton)
11:09.0,B. Udrih misses 2-pt shot from 19 ft,,48-51,,
11:08.0,,,48-51,,Defensive rebound by V. Oladipo
10:57.0,,,48-51,,V. Oladipo misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by B. Udrih,,48-51,,
10:50.0,C. Lee makes 3-pt shot from 24 ft (assist by B. Udrih),3,51-51,,
10:36.0,,,51-51,,V. Oladipo misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by M. Gasol,,51-51,,
10:26.0,Z. Randolph misses 2-pt shot at rim (block by V. Oladipo),,51-51,,
10:26.0,,,51-51,,Defensive rebound by E. Payton
10:26.0,Personal foul by B. Udrih (drawn by E. Payton),,51-51,,
10:13.0,,,51-51,,D. Marble misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by M. Gasol,,51-51,,
10:02.0,Memphis full timeout,,51-51,,
10:01.0,Offensive foul by M. Gasol,,51-51,,
10:01.0,Turnover by M. Gasol (offensive foul),,51-51,,
10:01.0,Technical foul by Team,,51-51,,
10:01.0,,,51-52,1,C. Frye makes technical free throw
9:48.0,,,51-52,,Turnover by N. Vucevic (bad pass; steal by C. Lee)
9:39.0,Z. Randolph makes 2-pt shot from 4 ft (assist by C. Lee),2,53-52,,
9:29.0,,,53-54,2,D. Marble makes 2-pt shot from 12 ft (assist by E. Payton)
9:12.0,Shooting foul by V. Oladipo (drawn by T. Allen),,53-54,,
9:12.0,T. Allen misses free throw 1 of 2,,53-54,,
9:12.0,Offensive rebound by Team,,53-54,,
9:12.0,T. Allen makes free throw 2 of 2,1,54-54,,
9:03.0,,,54-57,3,D. Marble makes 3-pt shot from 25 ft (assist by V. Oladipo)
8:50.0,Shooting foul by V. Oladipo (drawn by T. Allen),,54-57,,
8:50.0,T. Allen makes free throw 1 of 2,1,55-57,,
8:50.0,T. Allen makes free throw 2 of 2,1,56-57,,
8:35.0,,,56-59,2,V. Oladipo makes 2-pt shot at rim (assist by C. Frye)
8:18.0,T. Allen misses 2-pt shot from 9 ft,,56-59,,
8:17.0,,,56-59,,Defensive rebound by E. Payton
8:17.0,Personal foul by T. Allen (drawn by E. Payton),,56-59,,
8:17.0,J. Green enters the game for T. Allen,,56-59,,
8:06.0,,,56-59,,Turnover by E. Payton (step out of bounds)
7:54.0,B. Udrih makes 2-pt shot from 1 ft,2,58-59,,
7:44.0,,,58-59,,C. Frye misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by J. Green,,58-59,,
7:33.0,J. Green makes 2-pt shot at rim,2,60-59,,
7:33.0,Shooting foul by V. Oladipo (drawn by J. Green),,60-59,,
7:33.0,J. Green makes free throw 1 of 1,1,61-59,,
7:17.0,,,61-59,,Shooting foul by M. Gasol (drawn by N. Vucevic)
7:17.0,,,61-60,1,N. Vucevic makes free throw 1 of 2
7:17.0,,,61-61,1,N. Vucevic makes free throw 2 of 2
7:01.0,B. Udrih makes 2-pt shot from 2 ft (assist by M. Gasol),2,63-61,,
6:52.0,,,63-63,2,E. Payton makes 2-pt shot from 5 ft
6:36.0,Z. Randolph misses 2-pt shot from 19 ft,,63-63,,
6:36.0,Offensive rebound by Team,,63-63,,
6:36.0,,,63-63,,Personal foul by N. Vucevic (drawn by M. Gasol)
6:28.0,B. Udrih misses 2-pt shot from 5 ft,,63-63,,
6:27.0,Offensive rebound by Z. Randolph,,63-63,,
6:22.0,C. Lee makes 2-pt shot from 16 ft (assist by B. Udrih),2,65-63,,
6:03.0,,,65-63,,N. Vucevic misses 2-pt shot from 6 ft (block by M. Gasol)
6:01.0,Defensive rebound by M. Gasol,,65-63,,
5:51.0,Z. Randolph misses 2-pt shot from 9 ft,,65-63,,
5:49.0,Offensive rebound by Z. Randolph,,65-63,,
5:42.0,C. Lee misses 2-pt shot from 11 ft,,65-63,,
5:41.0,,,65-63,,Defensive rebound by C. Frye
5:31.0,,,65-63,,E. Payton misses 2-pt shot from 4 ft (block by M. Gasol)
5:29.0,Defensive rebound by C. Lee,,65-63,,
5:28.0,Turnover by Z. Randolph (traveling),,65-63,,
5:17.0,,,65-63,,V. Oladipo misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by Z. Randolph,,65-63,,
4:52.0,B. Udrih makes 2-pt shot from 12 ft,2,67-63,,
4:38.0,Personal foul by J. Green (drawn by D. Marble),,67-63,,
4:38.0,,,67-64,1,D. Marble makes free throw 1 of 2
4:38.0,K. Koufos enters the game for M. Gasol,,67-64,,
4:38.0,,,67-64,,E. Fournier enters the game for V. Oladipo
4:38.0,,,67-64,,D. Marble misses free throw 2 of 2
4:38.0,Defensive rebound by Z. Randolph,,67-64,,
4:21.0,Shooting foul by E. Fournier (drawn by C. Lee),,67-64,,
4:21.0,C. Lee misses free throw 1 of 2,,67-64,,
4:21.0,Offensive rebound by Team,,67-64,,
4:21.0,,,67-64,,B. Gordon enters the game for D. Marble
4:21.0,C. Lee makes free throw 2 of 2,1,68-64,,
4:15.0,Personal foul by C. Lee (drawn by B. Gordon),,68-64,,
4:15.0,,,68-65,1,B. Gordon makes free throw 1 of 2
4:15.0,,,68-66,1,B. Gordon makes free throw 2 of 2
3:53.0,J. Green misses 2-pt shot from 2 ft,,68-66,,
3:52.0,Offensive rebound by J. Green,,68-66,,
3:52.0,J. Green makes 2-pt shot from 2 ft,2,70-66,,
3:42.0,,,70-66,,E. Fournier misses 2-pt shot from 5 ft
3:41.0,,,70-66,,Offensive rebound by N. Vucevic
3:41.0,,,70-68,2,N. Vucevic makes 2-pt shot from 1 ft
3:27.0,C. Lee makes 2-pt shot from 19 ft (assist by Z. Randolph),2,72-68,,
3:19.0,,,72-68,,Orlando full timeout
3:08.0,,,72-70,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
2:49.0,Shooting foul by N. Vucevic (drawn by Z. Randolph),,72-70,,
2:49.0,Z. Randolph makes free throw 1 of 2,1,73-70,,
2:49.0,Z. Randolph misses free throw 2 of 2,,73-70,,
2:48.0,,,73-70,,Defensive rebound by C. Frye
2:29.0,,,73-72,2,N. Vucevic makes 2-pt shot from 10 ft
2:15.0,J. Green misses 3-pt shot from 25 ft,,73-72,,
2:13.0,Offensive rebound by Team,,73-72,,
2:13.0,,,73-72,,K. O'Quinn enters the game for N. Vucevic
2:03.0,Shooting foul by K. O'Quinn (drawn by Z. Randolph),,73-72,,
2:03.0,Z. Randolph makes free throw 1 of 2,1,74-72,,
2:03.0,,,74-72,,L. Ridnour enters the game for E. Payton
2:03.0,Z. Randolph makes free throw 2 of 2,1,75-72,,
1:42.0,,,75-72,,Shooting foul by K. Koufos (drawn by K. O'Quinn)
1:42.0,Violation by Team (delay of game),,75-72,,
1:42.0,,,75-73,1,K. O'Quinn makes free throw 1 of 2
1:42.0,,,75-74,1,K. O'Quinn makes free throw 2 of 2
1:23.0,Z. Randolph makes 2-pt shot from 16 ft,2,77-74,,
1:09.0,,,77-74,,Turnover by C. Frye (traveling)
1:03.0,,,77-74,,Personal foul by K. O'Quinn (drawn by Z. Randolph)
1:03.0,Z. Randolph makes free throw 1 of 2,1,78-74,,
1:03.0,Z. Randolph makes free throw 2 of 2,1,79-74,,
0:41.0,,,79-74,,B. Gordon misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by Z. Randolph,,79-74,,
0:31.0,B. Udrih makes 2-pt shot from 7 ft,2,81-74,,
0:09.0,,,81-74,,L. Ridnour misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by J. Green,,81-74,,
0:00.0,J. Green misses 3-pt shot from 25 ft,,81-74,,
0:00.0,,,81-74,,Defensive rebound by C. Frye
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,K. Koufos makes 2-pt shot from 8 ft (assist by N. Calathes),2,83-74,,
11:37.0,,,83-74,,K. O'Quinn misses 2-pt shot from 14 ft
11:35.0,Defensive rebound by M. Gasol,,83-74,,
11:29.0,J. Green makes 2-pt shot from 2 ft (assist by N. Calathes),2,85-74,,
11:15.0,,,85-77,3,E. Fournier makes 3-pt shot from 27 ft
10:56.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,87-77,,
10:44.0,,,87-77,,Turnover by N. Vucevic (lost ball)
10:44.0,,,87-77,,V. Oladipo enters the game for E. Fournier
10:28.0,N. Calathes misses 3-pt shot from 25 ft,,87-77,,
10:26.0,,,87-77,,Defensive rebound by K. O'Quinn
10:16.0,,,87-80,3,V. Oladipo makes 3-pt shot from 25 ft (assist by K. O'Quinn)
10:02.0,M. Gasol misses 2-pt shot from 19 ft,,87-80,,
10:01.0,,,87-80,,Defensive rebound by K. O'Quinn
9:51.0,,,87-80,,B. Gordon misses 2-pt shot at rim
9:49.0,Defensive rebound by K. Koufos,,87-80,,
9:45.0,N. Calathes makes 2-pt shot from 6 ft (assist by K. Koufos),2,89-80,,
9:45.0,Shooting foul by L. Ridnour (drawn by N. Calathes),,89-80,,
9:45.0,,,89-80,,E. Payton enters the game for L. Ridnour
9:45.0,N. Calathes misses free throw 1 of 1,,89-80,,
9:43.0,,,89-80,,Defensive rebound by K. O'Quinn
9:34.0,,,89-80,,K. O'Quinn misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by C. Lee,,89-80,,
9:17.0,J. Green misses 2-pt shot from 5 ft,,89-80,,
9:16.0,,,89-80,,Defensive rebound by N. Vucevic
9:02.0,,,89-80,,V. Oladipo misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by K. Koufos,,89-80,,
8:44.0,Shooting foul by E. Payton (drawn by K. Koufos),,89-80,,
8:44.0,Official timeout,,89-80,,
8:44.0,K. Koufos misses free throw 1 of 2,,89-80,,
8:44.0,Offensive rebound by Team,,89-80,,
8:44.0,K. Koufos makes free throw 2 of 2,1,90-80,,
8:25.0,,,90-80,,Turnover by E. Payton (lost ball; steal by M. Gasol)
8:09.0,J. Green misses 2-pt shot from 8 ft,,90-80,,
8:08.0,,,90-80,,Defensive rebound by K. O'Quinn
7:57.0,,,90-80,,B. Gordon misses 2-pt shot from 8 ft
7:54.0,Defensive rebound by M. Gasol,,90-80,,
7:45.0,T. Allen enters the game for C. Lee,,90-80,,
7:45.0,,,90-80,,C. Frye enters the game for K. O'Quinn
7:45.0,,,90-80,,D. Marble enters the game for B. Gordon
7:39.0,N. Calathes misses 2-pt shot from 7 ft,,90-80,,
7:37.0,,,90-80,,Defensive rebound by N. Vucevic
7:21.0,Personal block foul by K. Koufos (drawn by V. Oladipo),,90-80,,
7:12.0,,,90-80,,C. Frye misses 2-pt shot from 20 ft
7:11.0,,,90-80,,Offensive rebound by D. Marble
7:06.0,,,90-83,3,C. Frye makes 3-pt shot from 25 ft (assist by D. Marble)
6:44.0,M. Gasol misses 2-pt shot from 11 ft,,90-83,,
6:43.0,,,90-83,,Defensive rebound by V. Oladipo
6:37.0,,,90-83,,D. Marble misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by J. Green,,90-83,,
6:26.0,T. Allen misses 2-pt shot from 6 ft,,90-83,,
6:25.0,Offensive rebound by T. Allen,,90-83,,
6:25.0,Memphis full timeout,,90-83,,
6:25.0,Z. Randolph enters the game for K. Koufos,,90-83,,
6:11.0,J. Green makes 2-pt shot from 6 ft (assist by M. Gasol),2,92-83,,
5:44.0,,,92-85,2,E. Payton makes 2-pt shot from 2 ft (assist by C. Frye)
5:26.0,M. Gasol makes 2-pt shot from 18 ft,2,94-85,,
5:14.0,,,94-85,,N. Vucevic misses 2-pt shot from 5 ft
5:13.0,Defensive rebound by Z. Randolph,,94-85,,
5:00.0,M. Gasol misses 2-pt shot from 15 ft,,94-85,,
4:58.0,,,94-85,,Defensive rebound by D. Marble
4:46.0,,,94-85,,Shooting foul by N. Calathes (drawn by E. Payton)
4:46.0,,,94-85,,E. Payton misses free throw 1 of 2
4:46.0,,,94-85,,Offensive rebound by Team
4:46.0,,,94-86,1,E. Payton makes free throw 2 of 2
4:29.0,J. Green makes 2-pt shot from 11 ft (assist by N. Calathes),2,96-86,,
4:17.0,,,96-89,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
4:02.0,,,96-89,,Personal foul by E. Payton (drawn by T. Allen)
3:49.0,T. Allen makes 2-pt shot from 9 ft (assist by J. Green),2,98-89,,
3:37.0,,,98-91,2,E. Payton makes 2-pt shot from 7 ft
3:27.0,,,98-91,,Personal foul by E. Payton (drawn by N. Calathes)
3:24.0,Turnover by J. Green (traveling),,98-91,,
3:06.0,,,98-91,,V. Oladipo misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by N. Calathes,,98-91,,
2:49.0,Z. Randolph misses 2-pt shot from 7 ft,,98-91,,
2:47.0,,,98-91,,Defensive rebound by C. Frye
2:40.0,,,98-91,,C. Frye misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by M. Gasol,,98-91,,
2:31.0,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Gasol),2,100-91,,
2:31.0,,,100-91,,Orlando full timeout
2:31.0,B. Udrih enters the game for N. Calathes,,100-91,,
2:11.0,,,100-93,2,E. Payton makes 2-pt shot from 6 ft
