time,Orlando,pts.away,score,pts.home,Charlotte
8:23.0,,,6-4,,Shooting foul by K. O'Quinn (drawn by M. Kidd-Gilchrist)
8:23.0,,,6-5,1,M. Kidd-Gilchrist makes free throw 1 of 1
8:01.0,N. Vucevic misses 2-pt shot from 5 ft (block by K. Walker),,6-5,,
8:01.0,,,6-5,,Defensive rebound by Team
7:44.0,,,6-5,,A. Jefferson misses 2-pt shot from 14 ft
7:43.0,Defensive rebound by K. O'Quinn,,6-5,,
7:31.0,Turnover by V. Oladipo (bad pass; steal by G. Henderson),,6-5,,
7:28.0,,,6-5,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Harris)
7:28.0,,,6-5,,Offensive rebound by Team
7:24.0,,,6-5,,G. Henderson misses 2-pt shot from 15 ft
7:23.0,,,6-5,,Offensive rebound by M. Kidd-Gilchrist
7:19.0,,,6-8,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
6:57.0,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn),2,8-8,,
6:38.0,,,8-8,,Turnover by A. Jefferson (bad pass; steal by T. Harris)
6:34.0,T. Harris makes 2-pt shot from 4 ft,2,10-8,,
6:34.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Harris),,10-8,,
6:34.0,T. Harris makes free throw 1 of 1,1,11-8,,
6:20.0,,,11-8,,K. Walker misses 3-pt shot from 26 ft
6:18.0,,,11-8,,Offensive rebound by A. Jefferson
6:08.0,,,11-8,,Shooting foul by K. O'Quinn (drawn by C. Zeller)
6:08.0,,,11-8,,C. Zeller misses free throw 1 of 2
6:08.0,,,11-8,,Offensive rebound by Team
6:08.0,,,11-9,1,C. Zeller makes free throw 2 of 2
5:49.0,N. Vucevic misses 2-pt shot from 10 ft,,11-9,,
5:48.0,,,11-9,,Defensive rebound by K. Walker
5:36.0,,,11-9,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
5:35.0,Defensive rebound by V. Oladipo,,11-9,,
5:30.0,N. Vucevic makes 2-pt shot at rim (assist by T. Harris),2,13-9,,
5:09.0,,,13-11,2,A. Jefferson makes 2-pt shot from 9 ft
4:50.0,N. Vucevic makes 2-pt shot from 8 ft (assist by K. O'Quinn),2,15-11,,
4:38.0,,,15-13,2,K. Walker makes 2-pt shot from 7 ft
4:26.0,K. O'Quinn misses 2-pt shot from 14 ft,,15-13,,
4:25.0,,,15-13,,Defensive rebound by C. Zeller
4:11.0,,,15-13,,Turnover by C. Zeller (traveling)
4:11.0,,,15-13,,Charlotte full timeout
4:11.0,E. Fournier enters the game for K. O'Quinn,,15-13,,
4:11.0,,,15-13,,G. Neal enters the game for C. Zeller
4:11.0,,,15-13,,M. Williams enters the game for A. Jefferson
4:11.0,,,15-13,,B. Biyombo enters the game for G. Henderson
3:50.0,V. Oladipo misses 2-pt shot from 20 ft,,15-13,,
3:48.0,Offensive rebound by N. Vucevic,,15-13,,
3:37.0,N. Vucevic misses 2-pt shot from 13 ft,,15-13,,
3:36.0,,,15-13,,Defensive rebound by M. Kidd-Gilchrist
3:26.0,,,15-15,2,K. Walker makes 2-pt shot from 8 ft
3:26.0,Orlando full timeout,,15-15,,
3:26.0,B. Gordon enters the game for N. Vucevic,,15-15,,
3:26.0,C. Frye enters the game for E. Payton,,15-15,,
3:11.0,V. Oladipo makes 2-pt shot from 1 ft,2,17-15,,
2:47.0,,,17-15,,G. Neal misses 2-pt shot from 6 ft (block by B. Gordon)
2:44.0,,,17-15,,Offensive rebound by G. Neal
2:43.0,,,17-15,,G. Neal misses 2-pt shot from 1 ft
2:40.0,,,17-15,,Offensive rebound by M. Kidd-Gilchrist
2:33.0,,,17-15,,M. Williams misses 3-pt shot from 25 ft
2:33.0,,,17-15,,Offensive rebound by Team
2:33.0,Loose ball foul by C. Frye (drawn by B. Biyombo),,17-15,,
2:33.0,D. Dedmon enters the game for T. Harris,,17-15,,
2:23.0,,,17-15,,G. Neal misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by V. Oladipo,,17-15,,
2:15.0,C. Frye misses 3-pt shot from 25 ft,,17-15,,
2:13.0,,,17-15,,Defensive rebound by M. Williams
2:02.0,,,17-15,,K. Walker misses 2-pt shot from 17 ft
2:01.0,Defensive rebound by C. Frye,,17-15,,
1:53.0,B. Gordon misses 2-pt shot from 19 ft,,17-15,,
1:51.0,,,17-15,,Defensive rebound by M. Williams
1:46.0,,,17-18,3,G. Neal makes 3-pt shot from 25 ft (assist by M. Williams)
1:32.0,D. Dedmon makes 2-pt shot at rim (assist by V. Oladipo),2,19-18,,
1:09.0,,,19-18,,B. Roberts enters the game for K. Walker
1:09.0,,,19-18,,P. Hairston enters the game for M. Kidd-Gilchrist
1:09.0,E. Payton enters the game for V. Oladipo,,19-18,,
1:03.0,,,19-18,,M. Williams misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by E. Payton,,19-18,,
0:47.0,E. Fournier misses 3-pt shot from 25 ft,,19-18,,
0:46.0,,,19-18,,Defensive rebound by B. Biyombo
0:26.0,,,19-18,,G. Neal misses 2-pt shot from 2 ft
0:25.0,Defensive rebound by D. Dedmon,,19-18,,
0:21.0,B. Gordon makes 3-pt shot from 25 ft,3,22-18,,
0:21.0,,,22-18,,Charlotte full timeout
0:21.0,V. Oladipo enters the game for C. Frye,,22-18,,
0:01.0,,,22-18,,P. Hairston misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by E. Fournier,,22-18,,
0:00.0,E. Fournier misses 3-pt shot from 56 ft,,22-18,,
0:00.0,Offensive rebound by Team,,22-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,22-21,3,B. Roberts makes 3-pt shot from 25 ft
11:22.0,B. Gordon misses 2-pt shot from 20 ft,,22-21,,
11:22.0,,,22-21,,Defensive rebound by B. Roberts
11:14.0,,,22-21,,Turnover by B. Roberts (traveling)
11:01.0,Turnover by B. Gordon (bad pass; steal by P. Hairston),,22-21,,
10:48.0,,,22-21,,P. Hairston misses 2-pt shot at rim
10:46.0,Defensive rebound by E. Payton,,22-21,,
10:38.0,E. Fournier misses 2-pt shot from 3 ft (block by B. Biyombo),,22-21,,
10:36.0,,,22-21,,Defensive rebound by B. Roberts
10:29.0,,,22-21,,Turnover by G. Neal (bad pass; steal by E. Payton)
10:25.0,E. Payton makes 2-pt shot at rim,2,24-21,,
10:08.0,,,24-23,2,M. Williams makes 2-pt shot from 1 ft (assist by B. Roberts)
9:53.0,Shooting foul by P. Hairston (drawn by E. Fournier),,24-23,,
9:53.0,E. Fournier makes 2-pt shot from 2 ft,2,26-23,,
9:53.0,E. Fournier misses free throw 1 of 1,,26-23,,
9:51.0,,,26-23,,Defensive rebound by M. Williams
9:37.0,,,26-25,2,G. Neal makes 2-pt shot from 6 ft (assist by B. Roberts)
9:23.0,E. Fournier misses 2-pt shot at rim,,26-25,,
9:21.0,,,26-25,,Defensive rebound by B. Biyombo
9:11.0,,,26-25,,M. Williams misses 2-pt shot from 11 ft
9:10.0,Defensive rebound by C. Frye,,26-25,,
9:01.0,E. Payton makes 2-pt shot from 1 ft,2,28-25,,
8:46.0,,,28-25,,B. Roberts misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by E. Payton,,28-25,,
8:27.0,E. Fournier makes 3-pt shot from 25 ft,3,31-25,,
8:12.0,,,31-25,,B. Roberts misses 2-pt shot from 18 ft
8:11.0,Defensive rebound by D. Dedmon,,31-25,,
7:57.0,E. Fournier misses 2-pt shot from 2 ft,,31-25,,
7:57.0,Offensive rebound by Team,,31-25,,
7:57.0,,,31-25,,Loose ball foul by B. Roberts (drawn by C. Frye)
7:57.0,Official timeout,,31-25,,
7:57.0,K. O'Quinn enters the game for D. Dedmon,,31-25,,
7:57.0,,,31-25,,C. Zeller enters the game for B. Biyombo
7:57.0,,,31-25,,A. Jefferson enters the game for M. Williams
7:50.0,K. O'Quinn misses 3-pt shot from 25 ft,,31-25,,
7:49.0,,,31-25,,Defensive rebound by G. Neal
7:42.0,,,31-25,,Offensive foul by C. Zeller
7:42.0,,,31-25,,Turnover by C. Zeller (offensive foul)
7:42.0,,,31-25,,M. Kidd-Gilchrist enters the game for P. Hairston
7:31.0,E. Fournier makes 3-pt shot from 23 ft (assist by K. O'Quinn),3,34-25,,
7:18.0,,,34-25,,K. Walker enters the game for B. Roberts
7:18.0,V. Oladipo enters the game for B. Gordon,,34-25,,
7:16.0,,,34-27,2,G. Neal makes 2-pt shot from 19 ft (assist by M. Kidd-Gilchrist)
7:02.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton),3,37-27,,
6:35.0,,,37-27,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by V. Oladipo,,37-27,,
6:29.0,Offensive charge foul by V. Oladipo,,37-27,,
6:29.0,Turnover by V. Oladipo (offensive foul),,37-27,,
6:29.0,N. Vucevic enters the game for K. O'Quinn,,37-27,,
6:29.0,,,37-27,,M. Williams enters the game for C. Zeller
6:24.0,T. Harris enters the game for E. Payton,,37-27,,
6:14.0,,,37-27,,A. Jefferson misses 2-pt shot from 12 ft
6:12.0,Defensive rebound by C. Frye,,37-27,,
5:55.0,T. Harris misses 2-pt shot from 19 ft,,37-27,,
5:53.0,,,37-27,,Defensive rebound by G. Neal
5:46.0,,,37-27,,G. Neal misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by V. Oladipo,,37-27,,
5:42.0,Orlando full timeout,,37-27,,
5:42.0,,,37-27,,G. Henderson enters the game for G. Neal
5:37.0,,,37-27,,Personal foul by M. Kidd-Gilchrist (drawn by T. Harris)
5:32.0,E. Fournier misses 2-pt shot from 20 ft,,37-27,,
5:30.0,,,37-27,,Defensive rebound by Team
5:13.0,,,37-29,2,A. Jefferson makes 2-pt shot from 3 ft
4:59.0,Turnover by T. Harris (traveling),,37-29,,
4:40.0,,,37-29,,K. Walker misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by N. Vucevic,,37-29,,
4:29.0,Turnover by C. Frye (bad pass),,37-29,,
4:13.0,,,37-31,2,A. Jefferson makes 2-pt shot from 11 ft
3:49.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier),2,39-31,,
3:33.0,,,39-31,,Turnover by K. Walker (lost ball; steal by C. Frye)
3:25.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Fournier),2,41-31,,
3:04.0,,,41-34,3,G. Henderson makes 3-pt shot from 23 ft (assist by K. Walker)
2:42.0,T. Harris makes 3-pt shot from 26 ft (assist by N. Vucevic),3,44-34,,
2:20.0,,,44-36,2,G. Henderson makes 2-pt shot at rim (assist by A. Jefferson)
2:00.0,V. Oladipo misses 3-pt shot from 25 ft,,44-36,,
1:58.0,,,44-36,,Defensive rebound by G. Henderson
1:52.0,,,44-36,,Turnover by K. Walker (lost ball; steal by N. Vucevic)
1:48.0,V. Oladipo makes 2-pt shot at rim (assist by N. Vucevic),2,46-36,,
1:27.0,,,46-38,2,A. Jefferson makes 2-pt shot from 15 ft
1:03.0,N. Vucevic makes 2-pt shot from 9 ft,2,48-38,,
0:47.0,,,48-40,2,A. Jefferson makes 2-pt shot from 3 ft
0:32.0,V. Oladipo makes 2-pt shot from 2 ft,2,50-40,,
0:15.0,,,50-42,2,G. Henderson makes 2-pt shot from 2 ft (assist by K. Walker)
0:03.0,V. Oladipo makes 2-pt shot from 1 ft,2,52-42,,
0:00.0,,,52-42,,K. Walker misses 3-pt shot from 31 ft
0:00.0,,,52-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Technical foul by V. Oladipo,,52-42,,
12:00.0,,,52-43,1,K. Walker makes technical free throw
11:47.0,,,52-45,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
11:27.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,54-45,,
11:11.0,,,54-45,,C. Zeller misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by N. Vucevic,,54-45,,
10:54.0,T. Harris misses 3-pt shot from 23 ft,,54-45,,
10:52.0,Offensive rebound by Team,,54-45,,
10:37.0,E. Payton misses 3-pt shot from 25 ft,,54-45,,
10:36.0,,,54-45,,Defensive rebound by G. Henderson
10:16.0,,,54-48,3,K. Walker makes 3-pt shot from 23 ft (assist by G. Henderson)
10:05.0,,,54-48,,Violation by C. Zeller (kicked ball)
9:55.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,56-48,,
9:39.0,Personal foul by E. Payton (drawn by K. Walker),,56-48,,
9:33.0,,,56-48,,G. Henderson misses 2-pt shot from 11 ft
9:32.0,Defensive rebound by N. Vucevic,,56-48,,
9:20.0,T. Harris misses 3-pt shot from 22 ft,,56-48,,
9:20.0,Offensive rebound by Team,,56-48,,
9:17.0,N. Vucevic misses 2-pt shot from 17 ft,,56-48,,
9:16.0,,,56-48,,Defensive rebound by A. Jefferson
9:02.0,,,56-48,,A. Jefferson misses 2-pt shot from 12 ft
9:01.0,Defensive rebound by V. Oladipo,,56-48,,
8:44.0,N. Vucevic misses 2-pt shot from 11 ft,,56-48,,
8:43.0,Offensive rebound by T. Harris,,56-48,,
8:41.0,T. Harris misses 2-pt shot at rim (block by M. Kidd-Gilchrist),,56-48,,
8:41.0,Offensive rebound by E. Payton,,56-48,,
8:41.0,E. Payton misses 2-pt shot from 1 ft,,56-48,,
8:41.0,Offensive rebound by Team,,56-48,,
8:36.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,58-48,,
8:18.0,,,58-48,,Turnover by G. Henderson (bad pass; steal by V. Oladipo)
7:57.0,K. O'Quinn makes 3-pt shot from 26 ft (assist by N. Vucevic),3,61-48,,
7:49.0,,,61-48,,Charlotte full timeout
7:49.0,,,61-48,,M. Williams enters the game for C. Zeller
7:35.0,,,61-50,2,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker)
7:16.0,V. Oladipo makes 2-pt shot from 1 ft,2,63-50,,
7:01.0,,,63-50,,M. Williams misses 2-pt shot from 21 ft
7:00.0,Defensive rebound by T. Harris,,63-50,,
6:50.0,Shooting foul by G. Henderson (drawn by T. Harris),,63-50,,
6:50.0,T. Harris makes free throw 1 of 2,1,64-50,,
6:50.0,E. Fournier enters the game for K. O'Quinn,,64-50,,
6:50.0,T. Harris misses free throw 2 of 2,,64-50,,
6:48.0,,,64-50,,Defensive rebound by M. Kidd-Gilchrist
6:38.0,,,64-50,,K. Walker misses 2-pt shot from 10 ft
6:37.0,Defensive rebound by N. Vucevic,,64-50,,
6:22.0,T. Harris misses 2-pt shot from 8 ft,,64-50,,
6:20.0,,,64-50,,Defensive rebound by A. Jefferson
6:00.0,,,64-53,3,K. Walker makes 3-pt shot from 26 ft
5:43.0,E. Payton misses 2-pt shot from 2 ft,,64-53,,
5:42.0,Offensive rebound by E. Payton,,64-53,,
5:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by E. Payton),,64-53,,
5:42.0,E. Payton makes free throw 1 of 2,1,65-53,,
5:42.0,E. Payton makes free throw 2 of 2,1,66-53,,
5:31.0,,,66-53,,Technical foul by A. Jefferson
5:31.0,T. Harris makes technical free throw,1,67-53,,
5:29.0,Personal foul by V. Oladipo (drawn by G. Henderson),,67-53,,
5:14.0,,,67-53,,G. Henderson misses 2-pt shot from 19 ft
5:13.0,,,67-53,,Offensive rebound by M. Williams
5:09.0,,,67-53,,M. Williams misses 3-pt shot from 23 ft
5:08.0,Defensive rebound by E. Payton,,67-53,,
4:46.0,V. Oladipo misses 3-pt shot from 29 ft,,67-53,,
4:44.0,,,67-53,,Defensive rebound by M. Williams
4:26.0,,,67-55,2,K. Walker makes 2-pt shot from 17 ft
4:12.0,N. Vucevic misses 2-pt shot from 10 ft,,67-55,,
4:10.0,,,67-55,,Defensive rebound by M. Kidd-Gilchrist
3:58.0,,,67-57,2,K. Walker makes 2-pt shot from 17 ft
3:57.0,Orlando full timeout,,67-57,,
3:57.0,B. Gordon enters the game for E. Payton,,67-57,,
3:56.0,,,67-57,,B. Biyombo enters the game for A. Jefferson
3:56.0,,,67-57,,G. Neal enters the game for G. Henderson
3:42.0,T. Harris makes 2-pt shot from 17 ft (assist by V. Oladipo),2,69-57,,
3:25.0,,,69-60,3,K. Walker makes 3-pt shot from 26 ft (assist by G. Neal)
3:01.0,Shooting foul by B. Biyombo (drawn by N. Vucevic),,69-60,,
3:01.0,N. Vucevic makes free throw 1 of 2,1,70-60,,
3:01.0,,,70-60,,P. Hairston enters the game for M. Kidd-Gilchrist
3:01.0,N. Vucevic makes free throw 2 of 2,1,71-60,,
2:46.0,,,71-60,,P. Hairston misses 2-pt shot from 14 ft
2:44.0,,,71-60,,Offensive rebound by M. Williams
2:42.0,,,71-60,,Turnover by B. Biyombo (lost ball; steal by T. Harris)
2:31.0,,,71-60,,Personal foul by M. Williams (drawn by N. Vucevic)
2:29.0,C. Frye enters the game for N. Vucevic,,71-60,,
2:21.0,B. Gordon makes 3-pt shot from 23 ft (assist by V. Oladipo),3,74-60,,
2:13.0,,,74-60,,Charlotte full timeout
2:13.0,D. Dedmon enters the game for T. Harris,,74-60,,
2:13.0,,,74-60,,C. Zeller enters the game for B. Biyombo
2:04.0,,,74-60,,G. Neal misses 3-pt shot from 26 ft
2:03.0,,,74-60,,Offensive rebound by C. Zeller
1:56.0,Personal foul by D. Dedmon (drawn by M. Williams),,74-60,,
1:40.0,,,74-62,2,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker)
1:40.0,,,74-62,,Shooting foul by D. Dedmon (drawn by M. Williams)
1:40.0,,,74-63,1,M. Williams makes free throw 1 of 1
1:26.0,,,74-63,,Personal foul by P. Hairston (drawn by B. Gordon)
1:26.0,B. Gordon makes free throw 1 of 2,1,75-63,,
1:26.0,E. Payton enters the game for V. Oladipo,,75-63,,
1:26.0,B. Gordon makes free throw 2 of 2,1,76-63,,
1:12.0,,,76-65,2,K. Walker makes 2-pt shot from 17 ft
0:57.0,,,76-65,,Def 3 sec tech foul by C. Zeller
0:57.0,B. Gordon makes technical free throw,1,77-65,,
0:42.0,C. Frye makes 2-pt shot from 17 ft (assist by E. Payton),2,79-65,,
0:33.0,,,79-67,2,K. Walker makes 2-pt shot from 1 ft
0:33.0,,,79-67,,Shooting foul by D. Dedmon (drawn by K. Walker)
0:33.0,,,79-68,1,K. Walker makes free throw 1 of 1
0:12.0,E. Payton misses 2-pt shot from 8 ft,,79-68,,
0:12.0,Offensive rebound by Team,,79-68,,
0:12.0,,,79-68,,Loose ball foul by C. Zeller (drawn by D. Dedmon)
0:12.0,D. Dedmon makes free throw 1 of 2,1,80-68,,
0:12.0,V. Oladipo enters the game for C. Frye,,80-68,,
0:12.0,D. Dedmon makes free throw 2 of 2,1,81-68,,
0:00.0,,,81-68,,K. Walker misses 3-pt shot from 25 ft
0:00.0,,,81-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Offensive foul by D. Dedmon,,81-68,,
11:49.0,Turnover by D. Dedmon (offensive foul),,81-68,,
11:26.0,,,81-70,2,K. Walker makes 2-pt shot from 17 ft
10:59.0,B. Gordon makes 2-pt shot from 4 ft,2,83-70,,
10:48.0,,,83-70,,K. Walker misses 2-pt shot from 1 ft
10:48.0,,,83-70,,Offensive rebound by Team
10:26.0,,,83-70,,K. Walker misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by D. Dedmon,,83-70,,
10:14.0,E. Payton makes 2-pt shot from 8 ft,2,85-70,,
9:54.0,,,85-70,,C. Zeller misses 2-pt shot from 1 ft (block by D. Dedmon)
9:54.0,,,85-70,,Offensive rebound by Team
9:54.0,,,85-70,,A. Jefferson enters the game for C. Zeller
9:54.0,N. Vucevic enters the game for D. Dedmon,,85-70,,
9:50.0,,,85-73,3,K. Walker makes 3-pt shot from 26 ft
9:34.0,Shooting foul by A. Jefferson (drawn by E. Payton),,85-73,,
9:34.0,E. Payton misses free throw 1 of 2,,85-73,,
9:34.0,Offensive rebound by Team,,85-73,,
9:34.0,E. Payton makes free throw 2 of 2,1,86-73,,
9:16.0,,,86-73,,K. Walker misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by C. Frye,,86-73,,
9:04.0,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton),2,88-73,,
8:57.0,,,88-73,,Charlotte full timeout
8:57.0,,,88-73,,M. Kidd-Gilchrist enters the game for M. Williams
8:44.0,,,88-75,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
8:44.0,,,88-75,,Shooting foul by C. Frye (drawn by M. Kidd-Gilchrist)
8:44.0,T. Harris enters the game for C. Frye,,88-75,,
8:44.0,,,88-75,,B. Roberts enters the game for P. Hairston
8:44.0,,,88-76,1,M. Kidd-Gilchrist makes free throw 1 of 1
8:23.0,E. Fournier makes 2-pt shot from 1 ft,2,90-76,,
8:14.0,,,90-78,2,K. Walker makes 2-pt shot from 1 ft
8:14.0,,,90-78,,Shooting foul by T. Harris (drawn by K. Walker)
8:14.0,V. Oladipo enters the game for E. Payton,,90-78,,
8:14.0,,,90-78,,K. Walker misses free throw 1 of 1
8:12.0,Defensive rebound by N. Vucevic,,90-78,,
7:55.0,T. Harris misses 2-pt shot from 1 ft,,90-78,,
7:54.0,,,90-78,,Defensive rebound by M. Kidd-Gilchrist
7:45.0,,,90-78,,Shooting foul by T. Harris (drawn by K. Walker)
7:45.0,,,90-79,1,K. Walker makes free throw 1 of 2
7:45.0,,,90-80,1,K. Walker makes free throw 2 of 2
7:42.0,Orlando full timeout,,90-80,,
7:36.0,E. Fournier makes 2-pt shot at rim,2,92-80,,
7:25.0,,,92-80,,Shooting foul by V. Oladipo (drawn by K. Walker)
7:25.0,,,92-80,,K. Walker misses free throw 1 of 2
7:25.0,,,92-80,,Offensive rebound by Team
7:25.0,,,92-80,,G. Henderson enters the game for B. Roberts
7:25.0,,,92-81,1,K. Walker makes free throw 2 of 2
7:01.0,T. Harris misses 2-pt shot from 14 ft,,92-81,,
7:01.0,,,92-81,,Defensive rebound by G. Neal
6:44.0,,,92-81,,Shooting foul by N. Vucevic (drawn by M. Kidd-Gilchrist)
6:44.0,,,92-82,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:44.0,E. Payton enters the game for B. Gordon,,92-82,,
6:44.0,,,92-82,,M. Kidd-Gilchrist misses free throw 2 of 2
6:43.0,Defensive rebound by T. Harris,,92-82,,
6:26.0,E. Fournier misses 3-pt shot from 25 ft,,92-82,,
6:25.0,,,92-82,,Defensive rebound by M. Kidd-Gilchrist
6:10.0,,,92-82,,A. Jefferson misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by E. Fournier,,92-82,,
5:52.0,E. Payton makes 2-pt shot from 11 ft,2,94-82,,
5:37.0,,,94-82,,Shooting foul by N. Vucevic (drawn by K. Walker)
5:37.0,,,94-83,1,K. Walker makes free throw 1 of 2
5:37.0,,,94-84,1,K. Walker makes free throw 2 of 2
5:14.0,N. Vucevic misses 2-pt shot from 7 ft (block by A. Jefferson),,94-84,,
5:12.0,Offensive rebound by N. Vucevic,,94-84,,
5:12.0,N. Vucevic misses 2-pt shot from 12 ft,,94-84,,
5:10.0,,,94-84,,Defensive rebound by G. Neal
4:58.0,,,94-84,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
4:57.0,Defensive rebound by N. Vucevic,,94-84,,
4:43.0,,,94-84,,Violation by K. Walker (kicked ball)
4:37.0,E. Payton misses 2-pt shot from 9 ft,,94-84,,
4:37.0,Offensive rebound by Team,,94-84,,
4:37.0,,,94-84,,Loose ball foul by A. Jefferson (drawn by N. Vucevic)
4:24.0,E. Fournier misses 3-pt shot from 26 ft,,94-84,,
4:22.0,,,94-84,,Defensive rebound by A. Jefferson
4:10.0,,,94-84,,Turnover by A. Jefferson (offensive goaltending)
3:50.0,,,94-84,,Personal foul by G. Henderson (drawn by T. Harris)
3:47.0,,,94-84,,Personal foul by G. Henderson (drawn by N. Vucevic)
3:35.0,N. Vucevic misses 2-pt shot from 7 ft (block by A. Jefferson),,94-84,,
3:35.0,Offensive rebound by Team,,94-84,,
3:32.0,N. Vucevic misses 2-pt shot from 17 ft,,94-84,,
3:30.0,,,94-84,,Defensive rebound by M. Kidd-Gilchrist
3:17.0,,,94-86,2,A. Jefferson makes 2-pt shot from 1 ft
2:55.0,E. Payton misses 2-pt shot from 3 ft (block by A. Jefferson),,94-86,,
2:55.0,Offensive rebound by Team,,94-86,,
2:55.0,Official timeout,,94-86,,
2:49.0,T. Harris misses 2-pt shot from 9 ft,,94-86,,
2:48.0,,,94-86,,Defensive rebound by K. Walker
2:34.0,,,94-86,,K. Walker misses 2-pt shot at rim
2:32.0,,,94-86,,Offensive rebound by K. Walker
2:32.0,,,94-86,,K. Walker misses 2-pt shot from 3 ft
2:30.0,Defensive rebound by V. Oladipo,,94-86,,
2:08.0,E. Fournier misses 3-pt shot from 29 ft,,94-86,,
2:07.0,,,94-86,,Defensive rebound by A. Jefferson
1:53.0,,,94-86,,G. Henderson misses 2-pt shot from 12 ft
1:51.0,Defensive rebound by T. Harris,,94-86,,
1:35.0,T. Harris makes 3-pt shot from 25 ft (assist by E. Payton),3,97-86,,
1:35.0,,,97-86,,Charlotte full timeout
1:35.0,,,97-86,,M. Williams enters the game for M. Kidd-Gilchrist
1:25.0,,,97-88,2,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Henderson)
