time,Washington,pts.away,score,pts.home,Utah
2:49.0,D. Gooden makes 2-pt shot from 19 ft,2,20-18,,
2:32.0,Personal foul by J. Wall (drawn by T. Burke),,20-18,,
2:32.0,,,20-18,,Utah full timeout
2:32.0,,,20-18,,T. Burke misses free throw 1 of 2
2:32.0,,,20-18,,Offensive rebound by Team
2:32.0,,,20-19,1,T. Burke makes free throw 2 of 2
2:17.0,D. Gooden misses 2-pt shot from 22 ft,,20-19,,
2:16.0,,,20-19,,Defensive rebound by T. Booker
1:57.0,,,20-19,,Turnover by T. Burke (lost ball; steal by M. Gortat)
1:46.0,D. Gooden misses 2-pt shot from 17 ft,,20-19,,
1:46.0,,,20-19,,Defensive rebound by Team
1:46.0,,,20-19,,J. Ingles enters the game for G. Hayward
1:33.0,,,20-21,2,T. Booker makes 2-pt shot from 11 ft (assist by T. Burke)
1:19.0,Turnover by J. Wall (bad pass; steal by E. Millsap),,20-21,,
1:06.0,,,20-21,,T. Booker misses 2-pt shot from 9 ft
1:05.0,Defensive rebound by J. Wall,,20-21,,
1:01.0,R. Butler makes 2-pt shot at rim (assist by J. Wall),2,22-21,,
0:41.0,,,22-21,,J. Ingles misses 2-pt shot from 22 ft
0:38.0,Defensive rebound by R. Sessions,,22-21,,
0:35.0,Shooting foul by T. Burke (drawn by R. Sessions),,22-21,,
0:35.0,R. Sessions makes free throw 1 of 2,1,23-21,,
0:35.0,,,23-21,,D. Favors enters the game for R. Gobert
0:35.0,R. Sessions makes free throw 2 of 2,1,24-21,,
0:17.0,,,24-21,,E. Millsap misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by D. Gooden,,24-21,,
0:02.0,J. Wall makes 2-pt shot from 18 ft,2,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-23,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
11:22.0,Turnover by R. Sessions (bad pass; steal by T. Burke),,26-23,,
11:16.0,,,26-25,2,J. Ingles makes 2-pt shot from 1 ft (assist by T. Burke)
11:02.0,Turnover by K. Seraphin (lost ball; steal by J. Ingles),,26-25,,
10:39.0,,,26-25,,R. Hood misses 2-pt shot from 8 ft
10:39.0,Defensive rebound by Team,,26-25,,
10:21.0,R. Sessions makes 2-pt shot from 13 ft,2,28-25,,
10:02.0,,,28-25,,T. Burke misses 3-pt shot from 25 ft
10:01.0,,,28-25,,Offensive rebound by D. Favors
9:49.0,,,28-27,2,T. Burke makes 2-pt shot from 14 ft
9:28.0,R. Butler misses 2-pt shot from 15 ft,,28-27,,
9:27.0,,,28-27,,Defensive rebound by T. Booker
9:03.0,,,28-27,,J. Ingles misses 2-pt shot from 3 ft (block by N. Hilario)
9:01.0,Defensive rebound by N. Hilario,,28-27,,
8:58.0,K. Seraphin misses 2-pt shot from 7 ft,,28-27,,
8:52.0,,,28-27,,Defensive rebound by T. Booker
8:34.0,,,28-27,,D. Favors misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by R. Butler,,28-27,,
8:19.0,,,28-27,,Personal foul by R. Hood (drawn by B. Beal)
8:19.0,Official timeout,,28-27,,
8:19.0,,,28-27,,R. Gobert enters the game for T. Booker
8:19.0,,,28-27,,E. Millsap enters the game for R. Hood
8:10.0,Turnover by N. Hilario (bad pass),,28-27,,
8:04.0,,,28-29,2,T. Burke makes 2-pt shot from 21 ft
7:45.0,Turnover by N. Hilario (lost ball; steal by J. Ingles),,28-29,,
7:24.0,,,28-31,2,J. Ingles makes 2-pt shot from 1 ft
7:06.0,Turnover by R. Sessions (bad pass; steal by E. Millsap),,28-31,,
6:51.0,,,28-31,,Turnover by R. Gobert (lost ball; steal by R. Butler)
6:45.0,B. Beal makes 2-pt shot from 1 ft,2,30-31,,
6:19.0,,,30-31,,E. Millsap misses 2-pt shot from 5 ft (block by K. Seraphin)
6:17.0,Defensive rebound by R. Butler,,30-31,,
6:04.0,K. Seraphin makes 2-pt shot at rim,2,32-31,,
5:57.0,,,32-31,,Utah full timeout
5:57.0,,,32-31,,D. Exum enters the game for T. Burke
5:57.0,,,32-31,,G. Hayward enters the game for E. Millsap
5:44.0,,,32-31,,D. Favors misses 2-pt shot from 16 ft
5:42.0,Defensive rebound by R. Butler,,32-31,,
5:36.0,B. Beal makes 2-pt shot from 18 ft (assist by R. Butler),2,34-31,,
5:25.0,,,34-31,,Shooting foul by K. Seraphin (drawn by R. Gobert)
5:25.0,,,34-32,1,R. Gobert makes free throw 1 of 2
5:25.0,,,34-32,,J. Cooley enters the game for D. Favors
5:25.0,M. Gortat enters the game for K. Seraphin,,34-32,,
5:25.0,J. Wall enters the game for R. Sessions,,34-32,,
5:25.0,,,34-32,,R. Gobert misses free throw 2 of 2
5:23.0,Defensive rebound by R. Butler,,34-32,,
5:04.0,R. Butler misses 2-pt shot from 21 ft,,34-32,,
5:03.0,Offensive rebound by Team,,34-32,,
5:03.0,P. Pierce enters the game for R. Butler,,34-32,,
4:59.0,Offensive foul by M. Gortat,,34-32,,
4:59.0,Turnover by M. Gortat (offensive foul),,34-32,,
4:48.0,,,34-32,,Offensive charge foul by G. Hayward
4:48.0,,,34-32,,Turnover by G. Hayward (offensive foul)
4:35.0,M. Gortat misses 2-pt shot from 16 ft,,34-32,,
4:33.0,Offensive rebound by P. Pierce,,34-32,,
4:31.0,P. Pierce makes 2-pt shot from 2 ft,2,36-32,,
4:16.0,,,36-32,,J. Ingles misses 3-pt shot from 22 ft
4:12.0,,,36-32,,Offensive rebound by R. Gobert
4:12.0,,,36-32,,Shooting foul by M. Gortat (drawn by R. Gobert)
4:12.0,,,36-32,,R. Gobert misses free throw 1 of 2
4:12.0,,,36-32,,Offensive rebound by Team
4:12.0,,,36-32,,T. Booker enters the game for J. Cooley
4:12.0,,,36-33,1,R. Gobert makes free throw 2 of 2
3:53.0,Shooting foul by T. Booker (drawn by N. Hilario),,36-33,,
3:53.0,N. Hilario misses free throw 1 of 2,,36-33,,
3:53.0,Offensive rebound by Team,,36-33,,
3:53.0,N. Hilario misses free throw 2 of 2,,36-33,,
3:50.0,Offensive rebound by M. Gortat,,36-33,,
3:31.0,N. Hilario misses 2-pt shot from 4 ft (block by R. Gobert),,36-33,,
3:29.0,,,36-33,,Defensive rebound by D. Exum
3:25.0,,,36-33,,G. Hayward misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by M. Gortat,,36-33,,
3:14.0,B. Beal misses 3-pt shot from 22 ft,,36-33,,
3:13.0,Offensive rebound by N. Hilario,,36-33,,
3:00.0,Turnover by M. Gortat (lost ball),,36-33,,
2:38.0,,,36-33,,J. Ingles misses 3-pt shot from 26 ft
2:36.0,,,36-33,,Offensive rebound by R. Gobert
2:34.0,,,36-35,2,R. Gobert makes 2-pt shot at rim
2:25.0,Washington full timeout,,36-35,,
2:25.0,,,36-35,,D. Favors enters the game for T. Booker
2:07.0,Turnover by Team (shot clock),,36-35,,
1:48.0,,,36-35,,D. Exum misses 2-pt shot from 9 ft
1:48.0,Defensive rebound by Team,,36-35,,
1:48.0,D. Gooden enters the game for N. Hilario,,36-35,,
1:48.0,K. Seraphin enters the game for M. Gortat,,36-35,,
1:31.0,B. Beal makes 2-pt shot from 12 ft,2,38-35,,
1:10.0,,,38-37,2,G. Hayward makes 2-pt shot from 2 ft
1:00.0,J. Wall makes 2-pt shot from 2 ft,2,40-37,,
0:52.0,,,40-39,2,G. Hayward makes 2-pt shot from 4 ft
0:52.0,,,40-39,,Shooting foul by B. Beal (drawn by G. Hayward)
0:52.0,O. Porter enters the game for P. Pierce,,40-39,,
0:52.0,,,40-39,,G. Hayward misses free throw 1 of 1
0:50.0,,,40-39,,Offensive rebound by D. Favors
0:37.0,Personal foul by O. Porter (drawn by D. Favors),,40-39,,
0:37.0,,,40-39,,D. Favors misses free throw 1 of 2
0:37.0,,,40-39,,Offensive rebound by Team
0:37.0,,,40-39,,D. Favors misses free throw 2 of 2
0:36.0,Defensive rebound by K. Seraphin,,40-39,,
0:27.0,D. Gooden misses 2-pt shot from 8 ft (block by D. Favors),,40-39,,
0:27.0,Offensive rebound by Team,,40-39,,
0:15.0,K. Seraphin makes 2-pt shot from 14 ft (assist by O. Porter),2,42-39,,
0:03.0,,,42-39,,G. Hayward misses 2-pt shot from 4 ft
0:01.0,,,42-39,,Offensive rebound by R. Gobert
0:01.0,Loose ball foul by K. Seraphin (drawn by R. Gobert),,42-39,,
0:01.0,,,42-40,1,R. Gobert makes free throw 1 of 2
0:01.0,,,42-40,,R. Gobert misses free throw 2 of 2
0:01.0,,,42-40,,Offensive rebound by J. Ingles
0:00.0,,,42-40,,J. Ingles misses 2-pt shot from 2 ft
0:00.0,,,42-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,42-42,2,G. Hayward makes 2-pt shot from 18 ft
11:22.0,N. Hilario misses 2-pt shot from 18 ft,,42-42,,
11:21.0,,,42-42,,Defensive rebound by G. Hayward
11:09.0,,,42-42,,R. Hood misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by P. Pierce,,42-42,,
10:55.0,N. Hilario makes 2-pt shot from 3 ft (assist by P. Pierce),2,44-42,,
10:33.0,,,44-44,2,R. Hood makes 2-pt shot from 21 ft (assist by R. Gobert)
10:12.0,Shooting foul by D. Favors (drawn by N. Hilario),,44-44,,
10:12.0,N. Hilario makes free throw 1 of 2,1,45-44,,
10:12.0,N. Hilario misses free throw 2 of 2,,45-44,,
10:11.0,,,45-44,,Defensive rebound by R. Gobert
10:00.0,,,45-46,2,G. Hayward makes 2-pt shot from 15 ft (assist by R. Gobert)
9:41.0,M. Gortat misses 2-pt shot from 4 ft (block by D. Favors),,45-46,,
9:38.0,,,45-46,,Defensive rebound by R. Gobert
9:35.0,,,45-46,,G. Hayward misses 2-pt shot from 3 ft
9:32.0,,,45-46,,Offensive rebound by G. Hayward
9:28.0,,,45-46,,D. Exum misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by J. Wall,,45-46,,
9:20.0,Turnover by B. Beal (bad pass; steal by R. Gobert),,45-46,,
9:14.0,,,45-48,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
8:46.0,J. Wall misses 2-pt shot from 13 ft,,45-48,,
8:44.0,,,45-48,,Defensive rebound by G. Hayward
8:32.0,,,45-50,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward)
8:32.0,Washington full timeout,,45-50,,
8:12.0,N. Hilario misses 2-pt shot from 7 ft,,45-50,,
8:11.0,,,45-50,,Defensive rebound by R. Hood
7:47.0,,,45-50,,D. Favors misses 2-pt shot from 14 ft
7:46.0,Defensive rebound by J. Wall,,45-50,,
7:44.0,,,45-50,,Personal foul by D. Exum (drawn by J. Wall)
7:38.0,P. Pierce misses 2-pt shot from 15 ft,,45-50,,
7:37.0,,,45-50,,Defensive rebound by R. Gobert
7:16.0,,,45-50,,D. Favors misses 2-pt shot from 13 ft
7:15.0,Defensive rebound by J. Wall,,45-50,,
7:11.0,Shooting foul by D. Exum (drawn by J. Wall),,45-50,,
7:11.0,J. Wall makes free throw 1 of 2,1,46-50,,
7:11.0,J. Wall makes free throw 2 of 2,1,47-50,,
6:50.0,,,47-50,,D. Exum misses 2-pt shot from 20 ft
6:50.0,,,47-50,,Offensive rebound by Team
6:50.0,,,47-50,,T. Burke enters the game for D. Exum
6:35.0,,,47-50,,D. Favors misses 2-pt shot from 1 ft
6:34.0,Defensive rebound by M. Gortat,,47-50,,
6:30.0,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat),2,49-50,,
6:30.0,Shooting foul by T. Burke (drawn by J. Wall),,49-50,,
6:30.0,J. Wall makes free throw 1 of 1,1,50-50,,
6:05.0,,,50-50,,D. Favors misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by N. Hilario,,50-50,,
5:51.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,53-50,,
5:50.0,,,53-50,,Utah full timeout
5:37.0,Personal foul by P. Pierce (drawn by G. Hayward),,53-50,,
5:29.0,,,53-50,,G. Hayward misses 2-pt shot from 5 ft
5:28.0,Defensive rebound by M. Gortat,,53-50,,
5:11.0,B. Beal misses 2-pt shot from 19 ft,,53-50,,
5:10.0,,,53-50,,Defensive rebound by D. Favors
4:53.0,,,53-52,2,R. Hood makes 2-pt shot from 4 ft
4:39.0,J. Wall makes 2-pt shot from 18 ft,2,55-52,,
4:26.0,,,55-52,,R. Gobert misses 2-pt shot from 4 ft
4:24.0,Defensive rebound by N. Hilario,,55-52,,
4:19.0,P. Pierce makes 3-pt shot from 23 ft (assist by B. Beal),3,58-52,,
3:59.0,,,58-54,2,R. Hood makes 2-pt shot from 12 ft
3:59.0,,,58-54,,Shooting foul by N. Hilario (drawn by R. Hood)
3:59.0,R. Sessions enters the game for B. Beal,,58-54,,
3:59.0,D. Gooden enters the game for N. Hilario,,58-54,,
3:59.0,,,58-54,,T. Booker enters the game for D. Favors
3:59.0,,,58-54,,R. Hood misses free throw 1 of 1
3:58.0,Defensive rebound by M. Gortat,,58-54,,
3:45.0,J. Wall misses 3-pt shot from 25 ft,,58-54,,
3:44.0,,,58-54,,Defensive rebound by R. Gobert
3:29.0,,,58-54,,Turnover by R. Hood (lost ball; steal by P. Pierce)
3:23.0,J. Wall makes 2-pt shot from 3 ft (assist by P. Pierce),2,60-54,,
3:03.0,,,60-54,,G. Hayward misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by J. Wall,,60-54,,
2:55.0,P. Pierce makes 3-pt shot from 24 ft (assist by R. Sessions),3,63-54,,
2:38.0,,,63-54,,R. Gobert misses 2-pt shot from 3 ft (block by M. Gortat)
2:38.0,,,63-54,,Offensive rebound by Team
2:38.0,,,63-54,,J. Ingles enters the game for R. Hood
2:38.0,O. Porter enters the game for P. Pierce,,63-54,,
2:26.0,Personal foul by R. Sessions (drawn by G. Hayward),,63-54,,
2:26.0,,,63-54,,D. Favors enters the game for R. Gobert
2:21.0,,,63-57,3,T. Burke makes 3-pt shot from 25 ft (assist by D. Favors)
2:03.0,Turnover by J. Wall (bad pass; steal by T. Burke),,63-57,,
1:57.0,,,63-59,2,G. Hayward makes 2-pt shot at rim (assist by T. Burke)
1:32.0,D. Gooden misses 3-pt shot from 24 ft,,63-59,,
1:28.0,,,63-59,,Defensive rebound by D. Favors
1:17.0,,,63-59,,T. Booker misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by D. Gooden,,63-59,,
1:01.0,J. Wall makes 2-pt shot from 20 ft,2,65-59,,
0:44.0,,,65-61,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
0:24.0,D. Gooden makes 2-pt shot from 12 ft,2,67-61,,
0:06.0,Personal foul by R. Sessions (drawn by T. Burke),,67-61,,
0:06.0,T. Murry enters the game for J. Wall,,67-61,,
0:00.0,,,67-61,,T. Booker misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by M. Gortat,,67-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by B. Beal (bad pass),,67-61,,
11:33.0,,,67-61,,T. Burke misses 2-pt shot from 4 ft
11:31.0,,,67-61,,Offensive rebound by D. Favors
11:22.0,,,67-61,,Offensive charge foul by D. Favors
11:22.0,,,67-61,,Turnover by D. Favors (offensive foul)
11:10.0,,,67-61,,Personal foul by E. Millsap (drawn by R. Sessions)
11:10.0,N. Hilario enters the game for M. Gortat,,67-61,,
10:54.0,R. Sessions misses 2-pt shot from 4 ft,,67-61,,
10:52.0,Offensive rebound by B. Beal,,67-61,,
10:42.0,Shooting foul by E. Millsap (drawn by N. Hilario),,67-61,,
10:42.0,N. Hilario misses free throw 1 of 2,,67-61,,
10:42.0,Offensive rebound by Team,,67-61,,
10:42.0,N. Hilario makes free throw 2 of 2,1,68-61,,
10:30.0,,,68-63,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke)
10:02.0,B. Beal misses 2-pt shot from 14 ft,,68-63,,
10:01.0,Offensive rebound by N. Hilario,,68-63,,
9:52.0,D. Gooden misses 2-pt shot from 15 ft,,68-63,,
9:48.0,Offensive rebound by B. Beal,,68-63,,
9:33.0,R. Sessions makes 3-pt shot from 24 ft (assist by B. Beal),3,71-63,,
9:13.0,,,71-63,,E. Millsap misses 3-pt shot from 23 ft
9:11.0,,,71-63,,Offensive rebound by T. Booker
9:07.0,,,71-65,2,T. Booker makes 2-pt shot from 9 ft
8:49.0,D. Gooden misses 2-pt shot from 19 ft,,71-65,,
8:47.0,,,71-65,,Defensive rebound by D. Favors
8:39.0,,,71-67,2,T. Booker makes 2-pt shot from 2 ft (assist by T. Burke)
8:39.0,Washington full timeout,,71-67,,
8:39.0,,,71-67,,R. Gobert enters the game for D. Favors
8:21.0,N. Hilario makes 2-pt shot from 5 ft,2,73-67,,
8:00.0,,,73-67,,T. Burke misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by Team,,73-67,,
8:00.0,,,73-67,,Personal foul by R. Gobert (drawn by N. Hilario)
8:00.0,M. Gortat enters the game for D. Gooden,,73-67,,
7:44.0,,,73-67,,R. Hood enters the game for J. Ingles
7:44.0,J. Wall enters the game for R. Sessions,,73-67,,
7:34.0,M. Gortat makes 2-pt shot from 15 ft,2,75-67,,
7:21.0,,,75-67,,T. Booker misses 2-pt shot from 12 ft
7:20.0,Defensive rebound by J. Wall,,75-67,,
7:10.0,Turnover by B. Beal (lost ball; steal by E. Millsap),,75-67,,
7:07.0,,,75-67,,Shooting foul by J. Wall (drawn by T. Booker)
7:07.0,,,75-67,,T. Booker misses free throw 1 of 2
7:07.0,,,75-67,,Offensive rebound by Team
7:07.0,,,75-67,,G. Hayward enters the game for E. Millsap
7:07.0,,,75-68,1,T. Booker makes free throw 2 of 2
6:41.0,J. Wall makes 2-pt shot from 20 ft,2,77-68,,
6:26.0,,,77-71,3,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward)
6:07.0,Turnover by M. Gortat (bad pass),,77-71,,
6:07.0,,,77-71,,D. Favors enters the game for T. Booker
5:52.0,Personal foul by O. Porter (drawn by G. Hayward),,77-71,,
5:52.0,Official timeout,,77-71,,
5:52.0,P. Pierce enters the game for O. Porter,,77-71,,
5:40.0,,,77-71,,Turnover by R. Hood (step out of bounds)
5:30.0,Shooting foul by R. Hood (drawn by M. Gortat),,77-71,,
5:30.0,M. Gortat misses free throw 1 of 2,,77-71,,
5:30.0,Offensive rebound by Team,,77-71,,
5:30.0,M. Gortat makes free throw 2 of 2,1,78-71,,
5:16.0,,,78-71,,Shooting foul by J. Wall (drawn by G. Hayward)
5:16.0,,,78-72,1,G. Hayward makes free throw 1 of 2
5:16.0,,,78-73,1,G. Hayward makes free throw 2 of 2
5:06.0,Turnover by N. Hilario (traveling),,78-73,,
4:55.0,,,78-75,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke)
4:38.0,,,78-75,,Violation by D. Favors (kicked ball)
4:31.0,B. Beal misses 2-pt shot from 16 ft,,78-75,,
4:31.0,Offensive rebound by Team,,78-75,,
4:31.0,,,78-75,,Personal foul by R. Hood (drawn by M. Gortat)
4:31.0,M. Gortat makes free throw 1 of 2,1,79-75,,
4:31.0,M. Gortat makes free throw 2 of 2,1,80-75,,
4:12.0,,,80-75,,D. Favors misses 2-pt shot from 15 ft
4:11.0,Defensive rebound by B. Beal,,80-75,,
3:56.0,J. Wall makes 2-pt shot from 16 ft,2,82-75,,
3:34.0,,,82-78,3,T. Burke makes 3-pt shot from 25 ft
3:06.0,J. Wall makes 2-pt shot from 21 ft,2,84-78,,
2:48.0,,,84-78,,D. Favors misses 2-pt shot from 1 ft
2:47.0,,,84-78,,Offensive rebound by D. Favors
2:43.0,,,84-78,,G. Hayward misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by B. Beal,,84-78,,
2:25.0,N. Hilario misses 2-pt shot from 17 ft (block by R. Gobert),,84-78,,
2:25.0,Offensive rebound by Team,,84-78,,
2:25.0,,,84-78,,Utah full timeout
2:01.0,,,84-78,,Shooting foul by M. Gortat (drawn by R. Gobert)
2:01.0,,,84-78,,R. Gobert misses free throw 1 of 2
2:01.0,,,84-78,,Offensive rebound by Team
2:01.0,,,84-78,,R. Gobert misses free throw 2 of 2
1:59.0,Defensive rebound by P. Pierce,,84-78,,
1:41.0,B. Beal misses 3-pt shot from 23 ft,,84-78,,
1:35.0,,,84-78,,Defensive rebound by R. Gobert
1:16.0,,,84-78,,Offensive foul by D. Favors
1:16.0,,,84-78,,Turnover by D. Favors (offensive foul)
0:57.0,J. Wall misses 2-pt shot from 16 ft,,84-78,,
0:56.0,,,84-78,,Defensive rebound by G. Hayward
0:47.0,,,84-80,2,D. Favors makes 2-pt shot from 12 ft (assist by R. Hood)
0:47.0,Washington full timeout,,84-80,,
0:47.0,,,84-80,,D. Exum enters the game for T. Burke
0:47.0,,,84-80,,T. Booker enters the game for R. Gobert
0:24.0,B. Beal misses 2-pt shot from 2 ft (block by D. Favors),,84-80,,
0:21.0,,,84-80,,Defensive rebound by R. Hood
0:20.0,,,84-80,,Turnover by R. Hood (lost ball)
0:20.0,Washington full timeout,,84-80,,
0:20.0,,,84-80,,R. Gobert enters the game for D. Favors
0:20.0,,,84-80,,E. Millsap enters the game for D. Exum
0:20.0,R. Sessions enters the game for N. Hilario,,84-80,,
0:20.0,Turnover by P. Pierce (traveling),,84-80,,
0:20.0,,,84-80,,Utah full timeout
0:20.0,,,84-80,,J. Ingles enters the game for E. Millsap
0:20.0,,,84-80,,D. Favors enters the game for T. Booker
0:20.0,N. Hilario enters the game for M. Gortat,,84-80,,
0:20.0,,,84-80,,T. Burke enters the game for R. Gobert
0:15.0,,,84-80,,Shooting foul by B. Beal (drawn by G. Hayward)
0:15.0,,,84-81,1,G. Hayward makes free throw 1 of 2
0:15.0,M. Gortat enters the game for R. Sessions,,84-81,,
0:15.0,,,84-81,,R. Gobert enters the game for D. Favors
0:15.0,,,84-81,,D. Exum enters the game for T. Burke
0:15.0,,,84-81,,E. Millsap enters the game for J. Ingles
0:15.0,,,84-82,1,G. Hayward makes free throw 2 of 2
0:13.0,,,84-82,,Personal foul by E. Millsap (drawn by P. Pierce)
0:13.0,P. Pierce makes free throw 1 of 2,1,85-82,,
0:13.0,,,85-82,,D. Favors enters the game for E. Millsap
0:13.0,P. Pierce makes free throw 2 of 2,1,86-82,,
0:13.0,,,86-82,,Utah full timeout
0:13.0,R. Sessions enters the game for M. Gortat,,86-82,,
