time,Atlanta,pts.away,score,pts.home,Portland
7:53.0,A. Horford makes free throw 1 of 1,1,7-12,,
7:38.0,,,7-12,,L. Aldridge misses 2-pt shot from 18 ft
7:37.0,Defensive rebound by D. Carroll,,7-12,,
7:18.0,D. Carroll makes 2-pt shot from 2 ft,2,9-12,,
6:53.0,,,9-15,3,N. Batum makes 3-pt shot from 24 ft
6:37.0,A. Horford makes 2-pt shot from 1 ft,2,11-15,,
6:20.0,,,11-17,2,J. Freeland makes 2-pt shot from 1 ft (assist by N. Batum)
6:04.0,Shooting foul by N. Batum (drawn by P. Millsap),,11-17,,
6:04.0,P. Millsap misses free throw 1 of 2,,11-17,,
6:04.0,Offensive rebound by Team,,11-17,,
6:04.0,,,11-17,,C. Kaman enters the game for J. Freeland
6:04.0,,,11-17,,S. Blake enters the game for W. Matthews
6:04.0,P. Antic enters the game for A. Horford,,11-17,,
6:04.0,P. Millsap makes free throw 2 of 2,1,12-17,,
5:51.0,,,12-17,,D. Lillard misses 2-pt shot from 13 ft
5:49.0,Defensive rebound by K. Korver,,12-17,,
5:38.0,P. Antic makes 2-pt shot from 1 ft (assist by J. Teague),2,14-17,,
5:21.0,,,14-17,,Turnover by N. Batum (bad pass)
5:21.0,T. Sefolosha enters the game for D. Carroll,,14-17,,
5:04.0,P. Antic misses 3-pt shot from 24 ft,,14-17,,
5:03.0,Offensive rebound by P. Millsap,,14-17,,
5:03.0,Shooting foul by L. Aldridge (drawn by P. Millsap),,14-17,,
5:03.0,P. Millsap makes free throw 1 of 2,1,15-17,,
5:03.0,P. Millsap makes free throw 2 of 2,1,16-17,,
4:45.0,,,16-17,,S. Blake misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by K. Korver,,16-17,,
4:36.0,J. Teague makes 2-pt shot from 12 ft,2,18-17,,
4:21.0,Personal foul by P. Antic (drawn by L. Aldridge),,18-17,,
4:11.0,,,18-17,,Turnover by L. Aldridge (lost ball)
3:57.0,P. Millsap makes 2-pt shot from 1 ft,2,20-17,,
3:57.0,,,20-17,,Portland full timeout
3:41.0,,,20-17,,Turnover by C. Kaman (lost ball)
3:26.0,P. Millsap misses 2-pt shot at rim,,20-17,,
3:25.0,Offensive rebound by P. Millsap,,20-17,,
3:25.0,P. Millsap makes 2-pt shot at rim,2,22-17,,
3:14.0,,,22-17,,Turnover by D. Lillard (bad pass; steal by T. Sefolosha)
3:02.0,Shooting foul by S. Blake (drawn by J. Teague),,22-17,,
3:02.0,J. Teague makes free throw 1 of 2,1,23-17,,
3:02.0,,,23-17,,A. Crabbe enters the game for N. Batum
3:02.0,,,23-17,,W. Matthews enters the game for D. Lillard
3:02.0,J. Teague makes free throw 2 of 2,1,24-17,,
2:45.0,,,24-20,3,W. Matthews makes 3-pt shot from 26 ft (assist by S. Blake)
2:18.0,J. Teague misses 3-pt shot from 23 ft,,24-20,,
2:17.0,,,24-20,,Defensive rebound by L. Aldridge
2:17.0,,,24-20,,Turnover by L. Aldridge (step out of bounds)
2:17.0,D. Schroder enters the game for J. Teague,,24-20,,
2:11.0,K. Korver misses 3-pt shot from 25 ft,,24-20,,
2:10.0,,,24-20,,Defensive rebound by S. Blake
1:56.0,,,24-20,,Turnover by S. Blake (bad pass; steal by P. Millsap)
1:50.0,P. Millsap makes 2-pt shot from 1 ft,2,26-20,,
1:35.0,A. Horford enters the game for P. Millsap,,26-20,,
1:35.0,D. Carroll enters the game for K. Korver,,26-20,,
1:31.0,,,26-20,,C. Kaman misses 2-pt shot from 19 ft (block by P. Antic)
1:31.0,Defensive rebound by P. Antic,,26-20,,
1:16.0,D. Schroder misses 2-pt shot from 1 ft,,26-20,,
1:14.0,,,26-20,,Defensive rebound by C. Kaman
1:03.0,,,26-20,,A. Crabbe misses 2-pt shot from 16 ft
1:02.0,Defensive rebound by T. Sefolosha,,26-20,,
0:47.0,P. Antic makes 3-pt shot from 26 ft (assist by D. Schroder),3,29-20,,
0:30.0,,,29-20,,Turnover by C. Kaman (lost ball; steal by D. Schroder)
0:09.0,D. Schroder misses 2-pt shot from 15 ft,,29-20,,
0:08.0,,,29-20,,Defensive rebound by L. Aldridge
0:00.0,,,29-20,,W. Matthews misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by A. Horford,,29-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-20,,Turnover by S. Blake (bad pass; steal by D. Carroll)
11:38.0,Turnover by P. Antic (traveling),,29-20,,
11:24.0,,,29-20,,C. Kaman misses 2-pt shot from 6 ft
11:22.0,Defensive rebound by T. Sefolosha,,29-20,,
11:09.0,A. Horford makes 2-pt shot from 3 ft,2,31-20,,
10:59.0,,,31-20,,D. Wright misses 3-pt shot from 25 ft
10:58.0,,,31-20,,Offensive rebound by A. Crabbe
10:49.0,,,31-23,3,D. Wright makes 3-pt shot from 23 ft (assist by C. Kaman)
10:34.0,D. Schroder makes 2-pt shot from 2 ft,2,33-23,,
10:34.0,Shooting foul by S. Blake (drawn by D. Schroder),,33-23,,
10:34.0,M. Scott enters the game for P. Antic,,33-23,,
10:34.0,D. Schroder makes free throw 1 of 1,1,34-23,,
10:11.0,,,34-25,2,C. Kaman makes 2-pt shot at rim (assist by S. Blake)
9:43.0,M. Scott misses 2-pt shot from 9 ft,,34-25,,
9:43.0,,,34-25,,Defensive rebound by C. Kaman
9:24.0,,,34-28,3,W. Matthews makes 3-pt shot from 25 ft
9:06.0,A. Horford makes 2-pt shot from 21 ft (assist by D. Schroder),2,36-28,,
8:50.0,,,36-31,3,S. Blake makes 3-pt shot from 26 ft (assist by C. Kaman)
8:36.0,M. Scott misses 2-pt shot from 11 ft,,36-31,,
8:34.0,Offensive rebound by T. Sefolosha,,36-31,,
8:34.0,T. Sefolosha misses 2-pt shot from 1 ft,,36-31,,
8:33.0,,,36-31,,Defensive rebound by C. Kaman
8:27.0,,,36-31,,Turnover by S. Blake (bad pass; steal by T. Sefolosha)
8:24.0,Shooting foul by D. Wright (drawn by T. Sefolosha),,36-31,,
8:24.0,Official timeout,,36-31,,
8:24.0,,,36-31,,D. Lillard enters the game for W. Matthews
8:24.0,,,36-31,,N. Batum enters the game for S. Blake
8:24.0,,,36-31,,Violation by C. Kaman (lane)
8:24.0,T. Sefolosha makes free throw 1 of 2,1,37-31,,
8:24.0,T. Sefolosha makes free throw 2 of 2,1,38-31,,
8:00.0,,,38-31,,Turnover by D. Wright (bad pass; steal by D. Carroll)
7:54.0,T. Sefolosha makes 2-pt shot from 2 ft,2,40-31,,
7:40.0,,,40-34,3,D. Wright makes 3-pt shot from 25 ft (assist by C. Kaman)
7:29.0,M. Scott misses 2-pt shot from 4 ft,,40-34,,
7:28.0,,,40-34,,Defensive rebound by C. Kaman
7:21.0,,,40-34,,C. Kaman misses 2-pt shot at rim
7:19.0,Defensive rebound by T. Sefolosha,,40-34,,
7:01.0,D. Schroder makes 2-pt shot from 1 ft,2,42-34,,
6:47.0,,,42-34,,Offensive foul by C. Kaman (drawn by D. Carroll)
6:47.0,,,42-34,,Turnover by C. Kaman (offensive foul)
6:47.0,,,42-34,,J. Freeland enters the game for C. Kaman
6:47.0,,,42-34,,C. McCollum enters the game for A. Crabbe
6:47.0,K. Korver enters the game for D. Carroll,,42-34,,
6:47.0,P. Antic enters the game for A. Horford,,42-34,,
6:47.0,P. Millsap enters the game for M. Scott,,42-34,,
6:36.0,Turnover by D. Schroder (lost ball; steal by D. Wright),,42-34,,
6:29.0,,,42-34,,Turnover by N. Batum (traveling)
6:16.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by K. Korver),3,45-34,,
6:16.0,,,45-34,,Portland full timeout
6:16.0,J. Teague enters the game for D. Schroder,,45-34,,
6:16.0,,,45-34,,L. Aldridge enters the game for D. Wright
6:02.0,,,45-34,,C. McCollum misses 2-pt shot from 19 ft
6:01.0,Defensive rebound by P. Millsap,,45-34,,
5:50.0,P. Antic misses 3-pt shot from 25 ft,,45-34,,
5:49.0,,,45-34,,Defensive rebound by D. Lillard
5:38.0,,,45-34,,L. Aldridge misses 2-pt shot from 21 ft
5:37.0,Defensive rebound by K. Korver,,45-34,,
5:30.0,Turnover by T. Sefolosha (lost ball),,45-34,,
5:17.0,,,45-36,2,D. Lillard makes 2-pt shot from 1 ft
5:03.0,P. Antic misses 2-pt shot from 15 ft,,45-36,,
5:02.0,,,45-36,,Defensive rebound by D. Lillard
4:52.0,,,45-39,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
4:35.0,P. Millsap misses 2-pt shot from 2 ft (block by L. Aldridge),,45-39,,
4:33.0,Offensive rebound by P. Millsap,,45-39,,
4:29.0,T. Sefolosha makes 2-pt shot from 2 ft,2,47-39,,
4:20.0,Personal foul by P. Antic (drawn by D. Lillard),,47-39,,
4:20.0,A. Horford enters the game for P. Antic,,47-39,,
4:16.0,,,47-39,,L. Aldridge misses 2-pt shot from 20 ft
4:14.0,Defensive rebound by T. Sefolosha,,47-39,,
4:00.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,50-39,,
3:40.0,,,50-41,2,C. McCollum makes 2-pt shot from 17 ft (assist by N. Batum)
3:31.0,Atlanta full timeout,,50-41,,
3:31.0,D. Carroll enters the game for T. Sefolosha,,50-41,,
3:31.0,,,50-41,,W. Matthews enters the game for C. McCollum
3:23.0,P. Millsap misses 2-pt shot from 5 ft,,50-41,,
3:22.0,,,50-41,,Defensive rebound by L. Aldridge
3:11.0,,,50-41,,Shooting foul by K. Korver (drawn by W. Matthews)
3:11.0,,,50-42,1,W. Matthews makes free throw 1 of 2
3:11.0,,,50-43,1,W. Matthews makes free throw 2 of 2
2:49.0,,,50-43,,Personal foul by D. Lillard (drawn by J. Teague)
2:43.0,Offensive foul by P. Millsap (drawn by W. Matthews),,50-43,,
2:43.0,Turnover by P. Millsap (offensive foul),,50-43,,
2:19.0,,,50-43,,Turnover by D. Lillard (lost ball; steal by J. Teague)
2:14.0,K. Korver misses 3-pt shot from 24 ft,,50-43,,
2:11.0,Offensive rebound by D. Carroll,,50-43,,
2:07.0,J. Teague misses 3-pt shot from 26 ft,,50-43,,
2:06.0,,,50-43,,Defensive rebound by J. Freeland
1:51.0,,,50-45,2,L. Aldridge makes 2-pt shot from 14 ft
1:32.0,A. Horford misses 2-pt shot from 2 ft (block by J. Freeland),,50-45,,
1:30.0,,,50-45,,Defensive rebound by N. Batum
1:20.0,,,50-47,2,L. Aldridge makes 2-pt shot at rim (assist by N. Batum)
1:20.0,Atlanta full timeout,,50-47,,
1:05.0,J. Teague misses 2-pt shot from 15 ft (block by D. Lillard),,50-47,,
1:03.0,,,50-47,,Defensive rebound by L. Aldridge
1:01.0,,,50-49,2,N. Batum makes 2-pt shot from 1 ft (assist by L. Aldridge)
0:47.0,D. Carroll misses 2-pt shot from 1 ft (block by N. Batum),,50-49,,
0:45.0,Offensive rebound by J. Teague,,50-49,,
0:41.0,K. Korver misses 3-pt shot from 24 ft,,50-49,,
0:40.0,,,50-49,,Defensive rebound by D. Lillard
0:33.0,,,50-49,,D. Lillard misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by K. Korver,,50-49,,
0:14.0,J. Teague misses 2-pt shot from 3 ft (block by L. Aldridge),,50-49,,
0:14.0,Offensive rebound by Team,,50-49,,
0:11.0,Shooting foul by J. Freeland (drawn by P. Millsap),,50-49,,
0:11.0,P. Millsap makes free throw 1 of 2,1,51-49,,
0:11.0,,,51-49,,S. Blake enters the game for J. Freeland
0:11.0,T. Sefolosha enters the game for K. Korver,,51-49,,
0:11.0,P. Millsap makes free throw 2 of 2,1,52-49,,
0:07.0,Personal foul by T. Sefolosha (drawn by D. Lillard),,52-49,,
0:00.0,,,52-49,,D. Lillard misses 2-pt shot from 2 ft
0:00.0,,,52-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-51,2,N. Batum makes 2-pt shot from 15 ft
11:28.0,,,52-51,,Loose ball foul by J. Freeland (drawn by P. Millsap)
11:21.0,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford),2,54-51,,
10:55.0,,,54-51,,N. Batum misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by D. Carroll,,54-51,,
10:40.0,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford),2,56-51,,
10:23.0,,,56-51,,W. Matthews misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by K. Korver,,56-51,,
10:17.0,Offensive foul by A. Horford (drawn by D. Lillard),,56-51,,
10:17.0,Turnover by A. Horford (offensive foul),,56-51,,
10:01.0,,,56-51,,L. Aldridge misses 2-pt shot from 20 ft
10:00.0,,,56-51,,Offensive rebound by L. Aldridge
9:41.0,,,56-51,,W. Matthews misses 2-pt shot from 11 ft
9:39.0,Defensive rebound by D. Carroll,,56-51,,
9:29.0,A. Horford makes 2-pt shot from 2 ft,2,58-51,,
9:29.0,Shooting foul by J. Freeland (drawn by A. Horford),,58-51,,
9:29.0,,,58-51,,T. Robinson enters the game for J. Freeland
9:29.0,A. Horford misses free throw 1 of 1,,58-51,,
9:28.0,,,58-51,,Defensive rebound by L. Aldridge
9:15.0,,,58-51,,L. Aldridge misses 2-pt shot from 15 ft
9:14.0,Defensive rebound by K. Korver,,58-51,,
8:59.0,A. Horford misses 2-pt shot from 5 ft,,58-51,,
8:58.0,,,58-51,,Defensive rebound by N. Batum
8:55.0,,,58-51,,Turnover by N. Batum (bad pass; steal by J. Teague)
8:51.0,D. Carroll makes 2-pt shot at rim (assist by J. Teague),2,60-51,,
8:34.0,,,60-51,,Turnover by T. Robinson (3 sec)
8:24.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,62-51,,
8:01.0,,,62-51,,L. Aldridge misses 2-pt shot from 1 ft
7:59.0,,,62-51,,Offensive rebound by L. Aldridge
7:59.0,,,62-53,2,L. Aldridge makes 2-pt shot from 1 ft
7:55.0,Shooting foul by D. Lillard (drawn by J. Teague),,62-53,,
7:55.0,J. Teague makes free throw 1 of 2,1,63-53,,
7:55.0,J. Teague makes free throw 2 of 2,1,64-53,,
7:43.0,,,64-55,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard)
7:22.0,P. Millsap makes 2-pt shot from 1 ft,2,66-55,,
7:09.0,,,66-55,,Shooting foul by A. Horford (drawn by L. Aldridge)
7:09.0,,,66-56,1,L. Aldridge makes free throw 1 of 2
7:09.0,P. Antic enters the game for A. Horford,,66-56,,
7:09.0,,,66-57,1,L. Aldridge makes free throw 2 of 2
7:00.0,J. Teague makes 2-pt shot from 14 ft,2,68-57,,
6:40.0,,,68-57,,N. Batum misses 3-pt shot from 26 ft
6:39.0,,,68-57,,Offensive rebound by Team
6:39.0,Loose ball foul by P. Millsap (drawn by T. Robinson),,68-57,,
6:35.0,,,68-57,,W. Matthews misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by K. Korver,,68-57,,
6:27.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Carroll),2,70-57,,
6:27.0,Shooting foul by T. Robinson (drawn by P. Millsap),,70-57,,
6:27.0,P. Millsap misses free throw 1 of 1,,70-57,,
6:26.0,,,70-57,,Defensive rebound by T. Robinson
6:14.0,,,70-57,,L. Aldridge misses 2-pt shot from 14 ft
6:12.0,Defensive rebound by D. Carroll,,70-57,,
6:03.0,P. Antic misses 2-pt shot from 2 ft,,70-57,,
6:02.0,,,70-57,,Defensive rebound by L. Aldridge
5:55.0,,,70-57,,W. Matthews misses 3-pt shot from 23 ft
5:55.0,,,70-57,,Offensive rebound by Team
5:55.0,Loose ball foul by P. Antic (drawn by L. Aldridge),,70-57,,
5:55.0,,,70-57,,Portland full timeout
5:55.0,,,70-57,,S. Blake enters the game for W. Matthews
5:55.0,T. Sefolosha enters the game for D. Carroll,,70-57,,
5:49.0,,,70-59,2,N. Batum makes 2-pt shot from 5 ft (assist by L. Aldridge)
5:35.0,P. Antic makes 2-pt shot from 1 ft (assist by J. Teague),2,72-59,,
5:23.0,,,72-59,,D. Lillard misses 2-pt shot from 2 ft (block by K. Korver)
5:22.0,Defensive rebound by P. Antic,,72-59,,
5:10.0,P. Millsap makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,74-59,,
4:45.0,,,74-59,,S. Blake misses 2-pt shot from 20 ft
4:44.0,Defensive rebound by T. Sefolosha,,74-59,,
4:34.0,K. Korver misses 3-pt shot from 26 ft,,74-59,,
4:33.0,,,74-59,,Defensive rebound by T. Robinson
4:25.0,,,74-59,,N. Batum misses 3-pt shot from 27 ft
4:24.0,Defensive rebound by T. Sefolosha,,74-59,,
4:20.0,K. Korver makes 3-pt shot from 27 ft (assist by T. Sefolosha),3,77-59,,
4:19.0,,,77-59,,Portland full timeout
4:19.0,,,77-59,,C. Kaman enters the game for T. Robinson
3:56.0,,,77-59,,L. Aldridge misses 2-pt shot from 18 ft
3:55.0,Defensive rebound by T. Sefolosha,,77-59,,
3:46.0,J. Teague makes 2-pt shot from 2 ft,2,79-59,,
3:29.0,,,79-61,2,N. Batum makes 2-pt shot from 18 ft (assist by L. Aldridge)
3:18.0,J. Teague makes 2-pt shot from 2 ft,2,81-61,,
2:57.0,,,81-64,3,D. Lillard makes 3-pt shot from 29 ft (assist by L. Aldridge)
2:44.0,J. Teague misses 2-pt shot from 4 ft,,81-64,,
2:42.0,,,81-64,,Defensive rebound by C. Kaman
2:39.0,,,81-66,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard)
2:39.0,Atlanta full timeout,,81-66,,
2:39.0,,,81-66,,W. Matthews enters the game for N. Batum
2:18.0,P. Millsap makes 2-pt shot at rim,2,83-66,,
1:59.0,,,83-66,,Turnover by L. Aldridge (lost ball)
1:59.0,D. Carroll enters the game for P. Millsap,,83-66,,
1:59.0,A. Horford enters the game for K. Korver,,83-66,,
1:59.0,D. Schroder enters the game for J. Teague,,83-66,,
1:38.0,D. Carroll misses 2-pt shot from 18 ft,,83-66,,
1:37.0,,,83-66,,Defensive rebound by C. Kaman
1:28.0,,,83-68,2,D. Lillard makes 2-pt shot from 16 ft
1:17.0,D. Schroder misses 2-pt shot from 16 ft,,83-68,,
1:16.0,,,83-68,,Defensive rebound by C. Kaman
0:58.0,,,83-70,2,S. Blake makes 2-pt shot from 20 ft (assist by W. Matthews)
0:37.0,Turnover by D. Carroll (traveling),,83-70,,
0:37.0,,,83-70,,N. Batum enters the game for C. Kaman
0:31.0,,,83-70,,N. Batum misses 3-pt shot from 22 ft
0:30.0,,,83-70,,Offensive rebound by L. Aldridge
0:28.0,,,83-72,2,L. Aldridge makes 2-pt shot at rim
0:06.0,A. Horford misses 2-pt shot from 9 ft,,83-72,,
0:04.0,,,83-72,,Defensive rebound by N. Batum
0:01.0,,,83-75,3,D. Lillard makes 3-pt shot from 30 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,A. Horford misses 2-pt shot from 14 ft,,83-75,,
11:36.0,Offensive rebound by P. Antic,,83-75,,
11:36.0,P. Antic makes 2-pt shot from 1 ft,2,85-75,,
11:36.0,Shooting foul by D. Wright (drawn by P. Antic),,85-75,,
11:36.0,P. Antic makes free throw 1 of 1,1,86-75,,
11:23.0,,,86-75,,W. Matthews misses 3-pt shot from 22 ft
11:22.0,Defensive rebound by T. Sefolosha,,86-75,,
11:04.0,A. Horford makes 2-pt shot from 14 ft,2,88-75,,
10:48.0,,,88-77,2,D. Lillard makes 2-pt shot at rim
10:35.0,Shooting foul by S. Blake (drawn by D. Carroll),,88-77,,
10:35.0,D. Carroll makes free throw 1 of 2,1,89-77,,
10:35.0,D. Carroll makes free throw 2 of 2,1,90-77,,
10:18.0,,,90-77,,D. Wright misses 2-pt shot from 4 ft
10:18.0,,,90-77,,Offensive rebound by Team
10:15.0,,,90-77,,Shooting foul by T. Sefolosha (drawn by W. Matthews)
10:15.0,,,90-78,1,W. Matthews makes free throw 1 of 2
10:15.0,,,90-79,1,W. Matthews makes free throw 2 of 2
10:01.0,Turnover by D. Schroder (bad pass),,90-79,,
10:01.0,P. Millsap enters the game for P. Antic,,90-79,,
10:01.0,,,90-79,,N. Batum enters the game for W. Matthews
9:47.0,,,90-79,,D. Lillard misses 2-pt shot from 10 ft (block by A. Horford)
9:45.0,Defensive rebound by A. Horford,,90-79,,
9:40.0,Turnover by T. Sefolosha (lost ball),,90-79,,
9:26.0,,,90-82,3,D. Wright makes 3-pt shot from 26 ft (assist by J. Freeland)
9:16.0,,,90-82,,Personal foul by D. Wright (drawn by P. Millsap)
9:16.0,J. Teague enters the game for D. Schroder,,90-82,,
9:16.0,K. Korver enters the game for D. Carroll,,90-82,,
9:13.0,P. Millsap misses 2-pt shot at rim (block by J. Freeland),,90-82,,
9:11.0,Offensive rebound by T. Sefolosha,,90-82,,
9:09.0,K. Korver makes 3-pt shot from 23 ft (assist by T. Sefolosha),3,93-82,,
9:09.0,,,93-82,,Portland full timeout
9:09.0,,,93-82,,C. McCollum enters the game for J. Freeland
9:09.0,,,93-82,,L. Aldridge enters the game for D. Lillard
8:51.0,,,93-82,,N. Batum misses 3-pt shot from 23 ft
8:49.0,Defensive rebound by J. Teague,,93-82,,
8:37.0,P. Millsap makes 2-pt shot from 7 ft,2,95-82,,
8:22.0,,,95-82,,Shooting foul by A. Horford (drawn by D. Wright)
8:22.0,,,95-82,,D. Wright misses free throw 1 of 2
8:22.0,,,95-82,,Offensive rebound by Team
8:22.0,,,95-83,1,D. Wright makes free throw 2 of 2
8:14.0,,,95-83,,Personal foul by D. Wright (drawn by P. Millsap)
8:14.0,,,95-83,,T. Robinson enters the game for D. Wright
8:01.0,A. Horford misses 2-pt shot from 16 ft,,95-83,,
8:00.0,,,95-83,,Defensive rebound by T. Robinson
7:51.0,,,95-83,,C. McCollum misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by P. Millsap,,95-83,,
7:32.0,P. Millsap makes 2-pt shot from 3 ft,2,97-83,,
7:14.0,,,97-85,2,L. Aldridge makes 2-pt shot from 5 ft
6:57.0,Turnover by A. Horford (bad pass; steal by N. Batum),,97-85,,
6:46.0,,,97-85,,Turnover by L. Aldridge (lost ball)
6:46.0,,,97-85,,D. Lillard enters the game for C. McCollum
6:46.0,P. Antic enters the game for A. Horford,,97-85,,
6:46.0,,,97-85,,W. Matthews enters the game for S. Blake
6:34.0,Turnover by P. Millsap (lost ball; steal by N. Batum),,97-85,,
6:29.0,,,97-85,,N. Batum misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by J. Teague,,97-85,,
6:13.0,J. Teague misses 2-pt shot from 10 ft,,97-85,,
6:12.0,,,97-85,,Defensive rebound by T. Robinson
6:07.0,,,97-87,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Robinson)
5:58.0,Atlanta full timeout,,97-87,,
5:51.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague),3,100-87,,
5:30.0,,,100-89,2,L. Aldridge makes 2-pt shot from 13 ft
5:16.0,J. Teague misses 2-pt shot at rim,,100-89,,
5:15.0,,,100-89,,Defensive rebound by T. Robinson
5:07.0,D. Carroll enters the game for T. Sefolosha,,100-89,,
5:07.0,Jump ball: K. Korver vs. T. Robinson (J. Teague gains possession),,,,Jump ball: K. Korver vs. T. Robinson (J. Teague gains possession)
5:07.0,,,100-89,,Turnover by T. Robinson (lost ball; steal by K. Korver)
4:50.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,102-89,,
4:36.0,,,102-89,,W. Matthews misses 2-pt shot from 2 ft
4:35.0,Defensive rebound by Team,,102-89,,
4:35.0,A. Horford enters the game for P. Antic,,102-89,,
4:17.0,K. Korver makes 2-pt shot from 21 ft (assist by A. Horford),2,104-89,,
4:04.0,,,104-91,2,D. Lillard makes 2-pt shot at rim
4:04.0,,,104-91,,Shooting foul by P. Millsap (drawn by D. Lillard)
4:04.0,,,104-91,,D. Lillard misses free throw 1 of 1
4:03.0,Defensive rebound by D. Carroll,,104-91,,
3:47.0,P. Millsap misses 2-pt shot from 4 ft,,104-91,,
3:45.0,Offensive rebound by D. Carroll,,104-91,,
3:43.0,D. Carroll misses 2-pt shot from 3 ft,,104-91,,
3:42.0,,,104-91,,Defensive rebound by Team
3:36.0,,,104-91,,D. Lillard misses 2-pt shot from 20 ft
3:35.0,Defensive rebound by A. Horford,,104-91,,
3:26.0,,,104-91,,Personal block foul by D. Lillard (drawn by J. Teague)
3:26.0,J. Teague makes free throw 1 of 2,1,105-91,,
3:26.0,P. Antic enters the game for P. Millsap,,105-91,,
3:26.0,,,105-91,,C. McCollum enters the game for T. Robinson
3:26.0,J. Teague makes free throw 2 of 2,1,106-91,,
3:11.0,,,106-91,,L. Aldridge misses 2-pt shot from 13 ft
3:09.0,,,106-91,,Offensive rebound by W. Matthews
3:05.0,,,106-93,2,D. Lillard makes 2-pt shot from 1 ft (assist by W. Matthews)
