time,Denver,pts.away,score,pts.home,Brooklyn
9:49.0,,,29-34,2,B. Lopez makes 2-pt shot from 2 ft
9:31.0,N. Robinson misses 2-pt shot from 19 ft,,29-34,,
9:30.0,Offensive rebound by J. Nurkic,,29-34,,
9:26.0,J. Nurkic makes 2-pt shot at rim,2,31-34,,
9:12.0,,,31-36,2,B. Bogdanovic makes 2-pt shot from 15 ft
8:58.0,T. Lawson misses 3-pt shot from 26 ft,,31-36,,
8:57.0,,,31-36,,Defensive rebound by B. Lopez
8:47.0,,,31-36,,A. Anderson misses 3-pt shot from 22 ft
8:46.0,Defensive rebound by J. Nurkic,,31-36,,
8:39.0,T. Lawson makes 2-pt shot from 1 ft,2,33-36,,
8:22.0,,,33-38,2,D. Morris makes 2-pt shot from 1 ft
8:08.0,J. Nurkic makes 2-pt shot from 18 ft (assist by T. Lawson),2,35-38,,
7:55.0,,,35-38,,B. Bogdanovic misses 3-pt shot from 25 ft
7:54.0,,,35-38,,Offensive rebound by C. Jefferson
7:53.0,,,35-40,2,C. Jefferson makes 2-pt shot from 1 ft
7:40.0,Shooting foul by D. Morris (drawn by T. Lawson),,35-40,,
7:40.0,Official timeout,,35-40,,
7:40.0,,,35-40,,M. Plumlee enters the game for B. Lopez
7:40.0,T. Lawson makes free throw 1 of 2,1,36-40,,
7:40.0,T. Lawson makes free throw 2 of 2,1,37-40,,
7:18.0,,,37-42,2,A. Anderson makes 2-pt shot from 15 ft (assist by D. Morris)
6:59.0,Offensive charge foul by T. Lawson,,37-42,,
6:59.0,Turnover by T. Lawson (offensive foul),,37-42,,
6:59.0,A. Afflalo enters the game for T. Lawson,,37-42,,
6:40.0,,,37-42,,Shooting foul by J. Nurkic (drawn by M. Plumlee)
6:40.0,,,37-43,1,M. Plumlee makes free throw 1 of 2
6:40.0,,,37-43,,M. Plumlee misses free throw 2 of 2
6:39.0,Defensive rebound by K. Faried,,37-43,,
6:14.0,,,37-43,,Shooting foul by K. Faried (drawn by C. Jefferson)
6:14.0,,,37-44,1,C. Jefferson makes free throw 1 of 2
6:14.0,,,37-44,,C. Jefferson misses free throw 2 of 2
6:13.0,Defensive rebound by J. Nurkic,,37-44,,
6:05.0,Turnover by A. Gee (bad pass; steal by M. Plumlee),,37-44,,
5:46.0,,,37-44,,C. Jefferson misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by A. Gee,,37-44,,
5:40.0,,,37-44,,Personal foul by C. Jefferson (drawn by J. Nurkic)
5:40.0,,,37-44,,Brooklyn full timeout
5:40.0,T. Lawson enters the game for N. Robinson,,37-44,,
5:40.0,W. Chandler enters the game for A. Gee,,37-44,,
5:40.0,T. Mozgov enters the game for J. Nurkic,,37-44,,
5:33.0,,,37-44,,Personal foul by M. Plumlee (drawn by K. Faried)
5:18.0,T. Lawson misses 2-pt shot from 19 ft,,37-44,,
5:16.0,Offensive rebound by T. Mozgov,,37-44,,
5:07.0,Turnover by A. Afflalo (bad pass; steal by D. Morris),,37-44,,
5:00.0,,,37-47,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by D. Morris)
4:46.0,W. Chandler makes 2-pt shot from 1 ft,2,39-47,,
4:33.0,,,39-47,,D. Morris misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by W. Chandler,,39-47,,
4:23.0,W. Chandler misses 2-pt shot from 15 ft,,39-47,,
4:22.0,,,39-47,,Defensive rebound by C. Jefferson
3:57.0,,,39-47,,B. Bogdanovic misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by K. Faried,,39-47,,
3:50.0,T. Mozgov misses 2-pt shot from 2 ft,,39-47,,
3:49.0,,,39-47,,Defensive rebound by M. Plumlee
3:36.0,,,39-47,,M. Teletovic enters the game for C. Jefferson
3:36.0,,,39-47,,J. Jack enters the game for D. Morris
3:26.0,,,39-47,,B. Bogdanovic misses 2-pt shot from 6 ft
3:25.0,Defensive rebound by T. Lawson,,39-47,,
3:19.0,T. Lawson makes 2-pt shot from 9 ft,2,41-47,,
3:05.0,,,41-49,2,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson)
2:41.0,T. Lawson makes 2-pt shot from 21 ft,2,43-49,,
2:29.0,,,43-49,,J. Jack misses 2-pt shot from 9 ft
2:28.0,Defensive rebound by T. Mozgov,,43-49,,
2:18.0,T. Lawson misses 3-pt shot from 25 ft,,43-49,,
2:17.0,Offensive rebound by T. Mozgov,,43-49,,
2:16.0,Shooting foul by M. Teletovic (drawn by T. Mozgov),,43-49,,
2:16.0,Denver full timeout,,43-49,,
2:16.0,,,43-49,,J. Johnson enters the game for B. Bogdanovic
2:16.0,T. Mozgov makes free throw 1 of 2,1,44-49,,
2:16.0,T. Mozgov misses free throw 2 of 2,,44-49,,
2:16.0,Offensive rebound by Team,,44-49,,
2:16.0,,,44-49,,Loose ball foul by A. Anderson (drawn by K. Faried)
2:16.0,K. Faried misses free throw 1 of 2,,44-49,,
2:16.0,Offensive rebound by Team,,44-49,,
2:16.0,K. Faried makes free throw 2 of 2,1,45-49,,
2:00.0,,,45-49,,Turnover by M. Plumlee (bad pass; steal by T. Mozgov)
1:55.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,47-49,,
1:36.0,,,47-51,2,J. Johnson makes 2-pt shot from 5 ft
1:22.0,T. Mozgov misses 2-pt shot from 1 ft,,47-51,,
1:21.0,,,47-51,,Defensive rebound by J. Johnson
1:07.0,,,47-54,3,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Johnson)
0:50.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,50-54,,
0:34.0,,,50-56,2,J. Jack makes 2-pt shot from 5 ft
0:29.0,,,50-56,,Personal foul by M. Teletovic (drawn by T. Mozgov)
0:29.0,T. Mozgov makes free throw 1 of 2,1,51-56,,
0:29.0,,,51-56,,S. Karasev enters the game for A. Anderson
0:29.0,T. Mozgov makes free throw 2 of 2,1,52-56,,
0:23.0,,,52-56,,Brooklyn full timeout
0:23.0,A. Gee enters the game for T. Mozgov,,52-56,,
0:10.0,,,52-56,,M. Teletovic misses 2-pt shot from 19 ft
0:09.0,,,52-56,,Offensive rebound by M. Plumlee
0:08.0,,,52-58,2,M. Plumlee makes 2-pt shot at rim
0:02.0,W. Chandler misses 3-pt shot from 25 ft,,52-58,,
0:01.0,Offensive rebound by K. Faried,,52-58,,
0:00.0,K. Faried makes 2-pt shot at rim,2,54-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-58,,K. Garnett misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by W. Chandler,,54-58,,
11:18.0,W. Chandler misses 3-pt shot from 25 ft,,54-58,,
11:17.0,,,54-58,,Defensive rebound by K. Garnett
11:06.0,,,54-61,3,J. Johnson makes 3-pt shot from 22 ft (assist by M. Plumlee)
10:47.0,Turnover by T. Lawson (bad pass; steal by K. Garnett),,54-61,,
10:39.0,,,54-61,,J. Johnson misses 3-pt shot from 22 ft
10:38.0,Defensive rebound by T. Mozgov,,54-61,,
10:20.0,W. Chandler makes 3-pt shot from 25 ft (assist by A. Afflalo),3,57-61,,
10:05.0,,,57-61,,K. Garnett misses 2-pt shot from 9 ft
10:04.0,Defensive rebound by A. Afflalo,,57-61,,
9:49.0,T. Lawson misses 2-pt shot from 20 ft,,57-61,,
9:48.0,Offensive rebound by K. Faried,,57-61,,
9:44.0,A. Afflalo misses 3-pt shot from 24 ft,,57-61,,
9:43.0,,,57-61,,Defensive rebound by K. Garnett
9:33.0,,,57-61,,J. Johnson misses 2-pt shot from 5 ft
9:32.0,,,57-61,,Offensive rebound by M. Plumlee
9:28.0,,,57-61,,M. Plumlee misses 2-pt shot from 2 ft (block by T. Mozgov)
9:27.0,Defensive rebound by K. Faried,,57-61,,
9:22.0,K. Faried makes 2-pt shot from 4 ft (assist by T. Lawson),2,59-61,,
9:01.0,,,59-63,2,J. Johnson makes 2-pt shot from 5 ft
8:47.0,K. Faried misses 2-pt shot from 14 ft,,59-63,,
8:46.0,,,59-63,,Defensive rebound by S. Karasev
8:30.0,,,59-63,,Offensive foul by K. Garnett
8:30.0,,,59-63,,Turnover by K. Garnett (offensive foul)
8:18.0,W. Chandler misses 3-pt shot from 25 ft,,59-63,,
8:17.0,,,59-63,,Defensive rebound by S. Karasev
8:11.0,,,59-63,,K. Garnett misses 2-pt shot at rim (block by K. Faried)
8:10.0,Defensive rebound by T. Mozgov,,59-63,,
8:07.0,Shooting foul by J. Jack (drawn by T. Lawson),,59-63,,
8:07.0,T. Lawson makes free throw 1 of 2,1,60-63,,
8:07.0,T. Lawson makes free throw 2 of 2,1,61-63,,
7:59.0,Personal foul by W. Chandler (drawn by J. Johnson),,61-63,,
7:47.0,,,61-65,2,S. Karasev makes 2-pt shot from 7 ft (assist by K. Garnett)
7:33.0,,,61-65,,Personal foul by K. Garnett (drawn by K. Faried)
7:22.0,A. Afflalo misses 3-pt shot from 24 ft,,61-65,,
7:21.0,,,61-65,,Defensive rebound by Team
6:58.0,,,61-65,,J. Johnson misses 2-pt shot from 22 ft
6:57.0,Defensive rebound by A. Afflalo,,61-65,,
6:54.0,K. Faried makes 2-pt shot from 2 ft (assist by A. Afflalo),2,63-65,,
6:54.0,Shooting foul by J. Johnson (drawn by K. Faried),,63-65,,
6:54.0,K. Faried makes free throw 1 of 1,1,64-65,,
6:42.0,,,64-65,,Turnover by J. Jack (bad pass; steal by W. Chandler)
6:29.0,T. Lawson makes 3-pt shot from 24 ft (assist by A. Afflalo),3,67-65,,
6:28.0,,,67-65,,Brooklyn full timeout
6:28.0,,,67-65,,M. Teletovic enters the game for K. Garnett
6:10.0,,,67-65,,M. Teletovic misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by A. Afflalo,,67-65,,
6:05.0,Offensive foul by K. Faried,,67-65,,
6:05.0,Turnover by K. Faried (offensive foul),,67-65,,
5:48.0,,,67-65,,Turnover by M. Plumlee (bad pass; steal by K. Faried)
5:42.0,A. Afflalo makes 2-pt shot at rim (assist by K. Faried),2,69-65,,
5:26.0,,,69-67,2,J. Jack makes 2-pt shot from 9 ft
5:04.0,Turnover by K. Faried (traveling),,69-67,,
5:04.0,Violation by Team (delay of game),,69-67,,
4:45.0,,,69-67,,Turnover by J. Jack (traveling)
4:37.0,Offensive foul by W. Chandler,,69-67,,
4:37.0,Turnover by W. Chandler (offensive foul),,69-67,,
4:20.0,,,69-70,3,J. Johnson makes 3-pt shot from 23 ft (assist by M. Plumlee)
3:57.0,A. Afflalo misses 2-pt shot from 4 ft,,69-70,,
3:56.0,Offensive rebound by A. Afflalo,,69-70,,
3:54.0,A. Afflalo makes 2-pt shot from 4 ft,2,71-70,,
3:35.0,Personal foul by K. Faried (drawn by M. Plumlee),,71-70,,
3:28.0,,,71-70,,M. Teletovic misses 2-pt shot from 3 ft
3:27.0,Defensive rebound by W. Chandler,,71-70,,
3:21.0,T. Lawson makes 3-pt shot from 22 ft (assist by W. Chandler),3,74-70,,
3:06.0,,,74-70,,M. Teletovic misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by A. Afflalo,,74-70,,
2:59.0,W. Chandler misses 3-pt shot from 25 ft,,74-70,,
2:58.0,,,74-70,,Defensive rebound by M. Plumlee
2:41.0,,,74-70,,S. Karasev misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by K. Faried,,74-70,,
2:30.0,T. Lawson misses 2-pt shot from 5 ft,,74-70,,
2:29.0,Offensive rebound by Team,,74-70,,
2:29.0,,,74-70,,Loose ball foul by J. Johnson (drawn by T. Mozgov)
2:29.0,Denver full timeout,,74-70,,
2:29.0,,,74-70,,B. Lopez enters the game for M. Plumlee
2:29.0,,,74-70,,A. Anderson enters the game for J. Johnson
2:29.0,,,74-70,,B. Bogdanovic enters the game for S. Karasev
2:29.0,A. Gee enters the game for K. Faried,,74-70,,
2:11.0,A. Afflalo misses 3-pt shot from 24 ft,,74-70,,
2:10.0,,,74-70,,Defensive rebound by M. Teletovic
1:58.0,,,74-72,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack)
1:35.0,T. Mozgov misses 2-pt shot at rim,,74-72,,
1:34.0,,,74-72,,Defensive rebound by A. Anderson
1:26.0,,,74-72,,A. Anderson misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by T. Mozgov,,74-72,,
1:20.0,Shooting foul by B. Bogdanovic (drawn by A. Gee),,74-72,,
1:20.0,A. Gee makes free throw 1 of 2,1,75-72,,
1:20.0,J. Nurkic enters the game for T. Mozgov,,75-72,,
1:20.0,A. Gee makes free throw 2 of 2,1,76-72,,
1:12.0,Personal foul by J. Nurkic (drawn by B. Lopez),,76-72,,
1:09.0,Personal block foul by J. Nurkic (drawn by J. Jack),,76-72,,
1:09.0,,,76-73,1,J. Jack makes free throw 1 of 2
1:09.0,,,76-74,1,J. Jack makes free throw 2 of 2
0:57.0,Shooting foul by M. Teletovic (drawn by T. Lawson),,76-74,,
0:57.0,T. Lawson misses free throw 1 of 2,,76-74,,
0:57.0,Offensive rebound by Team,,76-74,,
0:57.0,N. Robinson enters the game for A. Afflalo,,76-74,,
0:57.0,T. Lawson makes free throw 2 of 2,1,77-74,,
0:46.0,,,77-74,,Turnover by A. Anderson (lost ball)
0:40.0,,,77-74,,D. Morris enters the game for J. Jack
0:32.0,T. Lawson misses 2-pt shot from 3 ft,,77-74,,
0:31.0,,,77-74,,Defensive rebound by B. Lopez
0:10.0,,,77-76,2,B. Lopez makes 2-pt shot from 11 ft (assist by A. Anderson)
0:02.0,N. Robinson misses 3-pt shot from 24 ft,,77-76,,
0:01.0,Offensive rebound by J. Nurkic,,77-76,,
0:00.0,J. Nurkic misses 2-pt shot from 3 ft,,77-76,,
0:00.0,Offensive rebound by Team,,77-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,K. Faried misses 2-pt shot from 3 ft,,77-76,,
11:37.0,,,77-76,,Defensive rebound by B. Lopez
11:22.0,,,77-78,2,D. Morris makes 2-pt shot from 2 ft
11:04.0,N. Robinson makes 2-pt shot from 12 ft,2,79-78,,
10:48.0,,,79-78,,M. Teletovic misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by A. Afflalo,,79-78,,
10:34.0,K. Faried makes 2-pt shot from 4 ft,2,81-78,,
10:34.0,,,81-78,,Away from play foul by M. Teletovic (drawn by J. Nurkic)
10:34.0,,,81-78,,M. Plumlee enters the game for B. Lopez
10:34.0,J. Nurkic misses free throw 1 of 1,,81-78,,
10:33.0,,,81-78,,Defensive rebound by A. Anderson
10:19.0,,,81-78,,B. Bogdanovic misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by A. Gee,,81-78,,
10:06.0,A. Afflalo misses 3-pt shot from 25 ft,,81-78,,
10:05.0,,,81-78,,Defensive rebound by A. Anderson
9:44.0,,,81-78,,B. Bogdanovic misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by K. Faried,,81-78,,
9:37.0,K. Faried makes 2-pt shot from 1 ft,2,83-78,,
9:37.0,,,83-78,,Brooklyn full timeout
9:37.0,,,83-78,,J. Jack enters the game for D. Morris
9:37.0,,,83-78,,J. Johnson enters the game for M. Teletovic
9:37.0,,,83-78,,S. Karasev enters the game for B. Bogdanovic
9:15.0,,,83-78,,J. Johnson misses 2-pt shot from 8 ft
9:14.0,Defensive rebound by K. Faried,,83-78,,
9:00.0,Shooting foul by S. Karasev (drawn by K. Faried),,83-78,,
9:00.0,K. Faried makes free throw 1 of 2,1,84-78,,
9:00.0,K. Faried makes free throw 2 of 2,1,85-78,,
8:46.0,,,85-80,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
8:26.0,J. Nurkic misses 2-pt shot at rim (block by M. Plumlee),,85-80,,
8:25.0,,,85-80,,Defensive rebound by J. Jack
8:17.0,,,85-80,,A. Anderson misses 3-pt shot from 23 ft
8:16.0,,,85-80,,Offensive rebound by A. Anderson
8:08.0,,,85-82,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Johnson)
8:08.0,,,85-82,,Shooting foul by N. Robinson (drawn by M. Plumlee)
8:08.0,Denver full timeout,,85-82,,
8:08.0,W. Chandler enters the game for K. Faried,,85-82,,
8:08.0,,,85-82,,M. Plumlee misses free throw 1 of 1
8:07.0,Defensive rebound by A. Gee,,85-82,,
7:47.0,Turnover by J. Nurkic (traveling),,85-82,,
7:36.0,,,85-82,,J. Johnson misses 2-pt shot from 3 ft
7:35.0,Defensive rebound by J. Nurkic,,85-82,,
7:24.0,Turnover by A. Afflalo (lost ball; steal by A. Anderson),,85-82,,
7:20.0,,,85-82,,Shooting foul by N. Robinson (drawn by S. Karasev)
7:20.0,,,85-83,1,S. Karasev makes free throw 1 of 2
7:20.0,,,85-84,1,S. Karasev makes free throw 2 of 2
7:02.0,W. Chandler misses 2-pt shot from 1 ft,,85-84,,
7:01.0,Offensive rebound by A. Afflalo,,85-84,,
6:56.0,A. Gee misses 2-pt shot from 2 ft (block by M. Plumlee),,85-84,,
6:55.0,,,85-84,,Defensive rebound by Team
6:55.0,J. Hickson enters the game for J. Nurkic,,85-84,,
6:55.0,T. Lawson enters the game for N. Robinson,,85-84,,
6:55.0,Jump ball: A. Gee vs. M. Plumlee (A. Anderson gains possession),,,,Jump ball: A. Gee vs. M. Plumlee (A. Anderson gains possession)
6:40.0,,,85-86,2,J. Johnson makes 2-pt shot from 15 ft
6:20.0,Shooting foul by A. Anderson (drawn by J. Hickson),,85-86,,
6:20.0,J. Hickson makes free throw 1 of 2,1,86-86,,
6:20.0,J. Hickson makes free throw 2 of 2,1,87-86,,
6:07.0,,,87-89,3,J. Johnson makes 3-pt shot from 26 ft (assist by J. Jack)
5:54.0,W. Chandler misses 3-pt shot from 24 ft,,87-89,,
5:53.0,,,87-89,,Defensive rebound by M. Plumlee
5:37.0,,,87-89,,J. Jack misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by W. Chandler,,87-89,,
5:14.0,J. Hickson makes 2-pt shot from 1 ft,2,89-89,,
4:56.0,,,89-89,,S. Karasev misses 3-pt shot from 23 ft
4:55.0,,,89-89,,Offensive rebound by M. Plumlee
4:53.0,,,89-91,2,M. Plumlee makes 2-pt shot at rim
4:38.0,W. Chandler misses 3-pt shot from 23 ft,,89-91,,
4:37.0,,,89-91,,Defensive rebound by M. Plumlee
4:26.0,,,89-91,,Shooting foul by A. Gee (drawn by S. Karasev)
4:26.0,,,89-92,1,S. Karasev makes free throw 1 of 2
4:26.0,Denver full timeout,,89-92,,
4:26.0,N. Robinson enters the game for A. Gee,,89-92,,
4:26.0,,,89-93,1,S. Karasev makes free throw 2 of 2
4:17.0,J. Hickson misses 2-pt shot from 10 ft,,89-93,,
4:16.0,,,89-93,,Defensive rebound by J. Johnson
3:53.0,,,89-93,,J. Johnson misses 2-pt shot from 11 ft
3:52.0,,,89-93,,Offensive rebound by Team
3:52.0,Loose ball foul by J. Hickson (drawn by M. Plumlee),,89-93,,
3:42.0,,,89-95,2,J. Jack makes 2-pt shot from 8 ft (assist by J. Johnson)
3:25.0,Turnover by A. Afflalo (bad pass; steal by J. Jack),,89-95,,
3:05.0,,,89-95,,J. Jack misses 2-pt shot from 4 ft
3:04.0,,,89-95,,Offensive rebound by M. Plumlee
2:41.0,,,89-97,2,J. Johnson makes 2-pt shot from 11 ft
2:40.0,Denver full timeout,,89-97,,
2:40.0,K. Faried enters the game for J. Hickson,,89-97,,
2:33.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,91-97,,
2:16.0,,,91-99,2,J. Jack makes 2-pt shot from 8 ft
2:01.0,W. Chandler misses 2-pt shot from 9 ft,,91-99,,
2:00.0,Offensive rebound by Team,,91-99,,
2:00.0,,,91-99,,Loose ball foul by M. Plumlee (drawn by K. Faried)
1:51.0,T. Lawson misses 2-pt shot from 21 ft,,91-99,,
