time,Washington,pts.away,score,pts.home,Orlando
4:19.0,,,39-37,,Shooting foul by J. Wall (drawn by T. Harris)
4:19.0,,,39-38,1,T. Harris makes free throw 1 of 2
4:19.0,,,39-39,1,T. Harris makes free throw 2 of 2
4:05.0,P. Pierce makes 2-pt shot from 8 ft,2,41-39,,
3:48.0,,,41-39,,Shooting foul by G. Rice (drawn by W. Green)
3:48.0,,,41-40,1,W. Green makes free throw 1 of 2
3:48.0,G. Temple enters the game for G. Rice,,41-40,,
3:48.0,,,41-40,,D. Dedmon enters the game for N. Vucevic
3:48.0,,,41-41,1,W. Green makes free throw 2 of 2
3:41.0,,,41-41,,Personal foul by E. Fournier (drawn by P. Pierce)
3:41.0,,,41-41,,A. Gordon enters the game for W. Green
3:33.0,J. Wall misses 3-pt shot from 22 ft,,41-41,,
3:31.0,,,41-41,,Defensive rebound by E. Fournier
3:20.0,,,41-41,,A. Gordon misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by Team,,41-41,,
3:01.0,P. Pierce misses 2-pt shot from 18 ft,,41-41,,
3:00.0,,,41-41,,Defensive rebound by D. Dedmon
2:45.0,,,41-44,3,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton)
2:22.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,44-44,,
2:22.0,Loose ball foul by N. Hilario (drawn by T. Harris),,44-44,,
2:22.0,Washington full timeout,,44-44,,
2:22.0,,,44-44,,T. Harris misses free throw 1 of 2
2:22.0,,,44-44,,Offensive rebound by Team
2:22.0,,,44-45,1,T. Harris makes free throw 2 of 2
2:06.0,M. Gortat misses 2-pt shot at rim,,44-45,,
2:01.0,,,44-45,,Defensive rebound by E. Fournier
1:50.0,,,44-48,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
1:35.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,47-48,,
1:21.0,,,47-48,,Orlando full timeout
1:21.0,D. Gooden enters the game for N. Hilario,,47-48,,
1:21.0,,,47-48,,C. Frye enters the game for D. Dedmon
1:10.0,,,47-48,,C. Frye misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by D. Gooden,,47-48,,
1:06.0,Turnover by D. Gooden (bad pass; steal by E. Fournier),,47-48,,
1:04.0,,,47-50,2,E. Fournier makes 2-pt shot from 1 ft
0:48.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,49-50,,
0:41.0,Personal block foul by P. Pierce (drawn by E. Payton),,49-50,,
0:41.0,,,49-51,1,E. Payton makes free throw 1 of 2
0:41.0,O. Porter enters the game for P. Pierce,,49-51,,
0:41.0,,,49-51,,E. Payton misses free throw 2 of 2
0:39.0,Defensive rebound by D. Gooden,,49-51,,
0:28.0,G. Temple misses 3-pt shot from 25 ft,,49-51,,
0:27.0,Offensive rebound by M. Gortat,,49-51,,
0:27.0,M. Gortat makes 2-pt shot at rim,2,51-51,,
0:04.0,,,51-51,,E. Payton misses 2-pt shot from 3 ft
0:03.0,Defensive rebound by M. Gortat,,51-51,,
0:00.0,J. Wall makes 3-pt shot from 25 ft,3,54-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-51,,N. Vucevic misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by J. Wall,,54-51,,
11:29.0,N. Hilario misses 2-pt shot from 13 ft,,54-51,,
11:29.0,Offensive rebound by Team,,54-51,,
11:29.0,,,54-51,,Loose ball foul by E. Fournier (drawn by M. Gortat)
11:22.0,J. Wall misses 3-pt shot from 23 ft,,54-51,,
11:20.0,Offensive rebound by Team,,54-51,,
11:20.0,,,54-51,,Loose ball foul by T. Harris (drawn by P. Pierce)
11:07.0,M. Gortat makes 2-pt shot from 11 ft,2,56-51,,
11:00.0,,,56-51,,Technical foul by Team
11:00.0,J. Wall makes technical free throw,1,57-51,,
10:47.0,,,57-53,2,N. Vucevic makes 2-pt shot from 1 ft
10:29.0,P. Pierce makes 2-pt shot from 18 ft,2,59-53,,
10:10.0,,,59-53,,Offensive charge foul by T. Harris
10:10.0,,,59-53,,Turnover by T. Harris (offensive foul)
9:55.0,J. Wall makes 2-pt shot from 18 ft,2,61-53,,
9:40.0,,,61-53,,T. Harris misses 2-pt shot from 9 ft
9:39.0,Defensive rebound by G. Temple,,61-53,,
9:39.0,,,61-53,,Personal foul by E. Fournier (drawn by G. Temple)
9:15.0,J. Wall misses 2-pt shot from 20 ft,,61-53,,
9:15.0,,,61-53,,Defensive rebound by Team
9:06.0,Loose ball foul by M. Gortat (drawn by C. Frye),,61-53,,
9:06.0,,,61-53,,Turnover by E. Payton (step out of bounds)
8:53.0,M. Gortat makes 2-pt shot from 2 ft (assist by N. Hilario),2,63-53,,
8:52.0,,,63-53,,Orlando full timeout
8:27.0,,,63-53,,N. Vucevic misses 2-pt shot from 17 ft
8:27.0,,,63-53,,Offensive rebound by Team
8:27.0,Loose ball foul by N. Hilario (drawn by C. Frye),,63-53,,
8:23.0,,,63-53,,Turnover by E. Fournier (bad pass; steal by N. Hilario)
8:18.0,J. Wall misses 2-pt shot from 18 ft,,63-53,,
8:14.0,,,63-53,,Defensive rebound by N. Vucevic
8:03.0,,,63-55,2,T. Harris makes 2-pt shot from 5 ft (assist by E. Payton)
7:50.0,,,63-55,,Personal foul by E. Fournier (drawn by N. Hilario)
7:46.0,J. Wall makes 2-pt shot at rim (assist by N. Hilario),2,65-55,,
7:32.0,,,65-55,,Turnover by E. Fournier (lost ball; steal by J. Wall)
7:29.0,J. Wall makes 2-pt shot from 1 ft (assist by N. Hilario),2,67-55,,
7:29.0,,,67-55,,Orlando full timeout
7:29.0,,,67-55,,B. Gordon enters the game for E. Fournier
7:17.0,,,67-55,,E. Payton misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by N. Hilario,,67-55,,
7:05.0,Shooting foul by E. Payton (drawn by P. Pierce),,67-55,,
7:05.0,P. Pierce makes free throw 1 of 2,1,68-55,,
7:05.0,P. Pierce makes free throw 2 of 2,1,69-55,,
6:44.0,,,69-57,2,B. Gordon makes 2-pt shot from 6 ft
6:25.0,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall),3,72-57,,
6:18.0,Personal foul by G. Temple (drawn by B. Gordon),,72-57,,
6:12.0,,,72-59,2,B. Gordon makes 2-pt shot from 18 ft
5:49.0,J. Wall makes 2-pt shot from 18 ft,2,74-59,,
5:39.0,,,74-61,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
5:20.0,M. Gortat misses 2-pt shot from 1 ft,,74-61,,
5:19.0,,,74-61,,Defensive rebound by N. Vucevic
5:06.0,,,74-61,,Turnover by B. Gordon (lost ball; steal by P. Pierce)
4:58.0,G. Temple makes 2-pt shot from 1 ft (assist by P. Pierce),2,76-61,,
4:42.0,,,76-61,,N. Vucevic misses 2-pt shot from 1 ft
4:41.0,,,76-61,,Offensive rebound by N. Vucevic
4:41.0,,,76-61,,N. Vucevic misses 2-pt shot from 1 ft
4:37.0,,,76-61,,Offensive rebound by E. Payton
4:35.0,,,76-61,,T. Harris misses 3-pt shot from 22 ft
4:33.0,Defensive rebound by M. Gortat,,76-61,,
4:09.0,P. Pierce misses 2-pt shot from 20 ft,,76-61,,
4:06.0,,,76-61,,Defensive rebound by N. Vucevic
3:51.0,,,76-61,,T. Harris misses 2-pt shot from 6 ft
3:50.0,Defensive rebound by M. Gortat,,76-61,,
3:30.0,J. Wall misses 2-pt shot from 18 ft,,76-61,,
3:28.0,,,76-61,,Defensive rebound by N. Vucevic
3:24.0,,,76-61,,Offensive charge foul by E. Payton
3:24.0,,,76-61,,Turnover by E. Payton (offensive foul)
3:24.0,Washington full timeout,,76-61,,
3:24.0,D. Gooden enters the game for P. Pierce,,76-61,,
3:24.0,O. Porter enters the game for N. Hilario,,76-61,,
3:24.0,,,76-61,,D. Dedmon enters the game for C. Frye
3:24.0,,,76-61,,A. Gordon enters the game for N. Vucevic
3:24.0,,,76-61,,L. Ridnour enters the game for E. Payton
3:04.0,D. Gooden misses 2-pt shot from 12 ft,,76-61,,
3:01.0,,,76-61,,Defensive rebound by D. Dedmon
2:41.0,,,76-61,,B. Gordon misses 2-pt shot from 21 ft
2:40.0,Defensive rebound by M. Gortat,,76-61,,
2:25.0,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall),2,78-61,,
2:11.0,,,78-63,2,L. Ridnour makes 2-pt shot from 22 ft
1:50.0,M. Gortat makes 2-pt shot from 2 ft,2,80-63,,
1:35.0,,,80-66,3,B. Gordon makes 3-pt shot from 25 ft (assist by L. Ridnour)
1:11.0,J. Wall makes 2-pt shot from 11 ft,2,82-66,,
1:11.0,Violation by Team (delay of game),,82-66,,
1:01.0,,,82-66,,L. Ridnour misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by M. Gortat,,82-66,,
0:55.0,Turnover by O. Porter (bad pass),,82-66,,
0:55.0,A. Miller enters the game for J. Wall,,82-66,,
0:39.0,,,82-66,,A. Gordon misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by A. Miller,,82-66,,
0:27.0,D. Gooden misses 3-pt shot from 25 ft,,82-66,,
0:26.0,Offensive rebound by O. Porter,,82-66,,
0:07.0,Turnover by D. Gooden (step out of bounds),,82-66,,
0:02.0,Personal foul by G. Temple (drawn by L. Ridnour),,82-66,,
0:00.0,,,82-66,,B. Gordon misses 3-pt shot from 25 ft
0:00.0,,,82-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Miller misses 2-pt shot from 11 ft,,82-66,,
11:35.0,,,82-66,,Defensive rebound by N. Vucevic
11:17.0,,,82-66,,Shooting foul by D. Gooden (drawn by B. Gordon)
11:17.0,,,82-67,1,B. Gordon makes free throw 1 of 2
11:17.0,K. Seraphin enters the game for M. Gortat,,82-67,,
11:17.0,,,82-67,,B. Gordon misses free throw 2 of 2
11:16.0,,,82-67,,Offensive rebound by Team
11:12.0,,,82-67,,B. Gordon misses 2-pt shot from 19 ft
11:11.0,Defensive rebound by K. Seraphin,,82-67,,
10:55.0,K. Seraphin misses 2-pt shot from 7 ft,,82-67,,
10:54.0,Offensive rebound by D. Gooden,,82-67,,
10:54.0,D. Gooden makes 2-pt shot from 1 ft,2,84-67,,
10:34.0,,,84-67,,A. Nicholson misses 2-pt shot from 22 ft
10:33.0,,,84-67,,Offensive rebound by E. Fournier
10:22.0,,,84-69,2,N. Vucevic makes 2-pt shot from 1 ft (assist by L. Ridnour)
10:22.0,,,84-69,,Shooting foul by O. Porter (drawn by N. Vucevic)
10:22.0,,,84-70,1,N. Vucevic makes free throw 1 of 1
10:03.0,O. Porter misses 2-pt shot from 2 ft,,84-70,,
10:00.0,,,84-70,,Defensive rebound by A. Nicholson
9:58.0,Personal foul by K. Seraphin (drawn by N. Vucevic),,84-70,,
9:50.0,,,84-72,2,N. Vucevic makes 2-pt shot from 10 ft
9:40.0,Offensive foul by K. Seraphin,,84-72,,
9:40.0,Turnover by K. Seraphin (offensive foul),,84-72,,
9:23.0,,,84-75,3,B. Gordon makes 3-pt shot from 26 ft (assist by A. Nicholson)
9:21.0,Washington full timeout,,84-75,,
9:21.0,N. Hilario enters the game for K. Seraphin,,84-75,,
9:05.0,Shooting foul by A. Nicholson (drawn by A. Miller),,84-75,,
9:05.0,A. Miller makes free throw 1 of 2,1,85-75,,
9:05.0,A. Miller makes free throw 2 of 2,1,86-75,,
8:47.0,Personal foul by O. Porter (drawn by A. Nicholson),,86-75,,
8:36.0,Personal foul by G. Rice (drawn by B. Gordon),,86-75,,
8:36.0,,,86-76,1,B. Gordon makes free throw 1 of 2
8:36.0,,,86-77,1,B. Gordon makes free throw 2 of 2
8:22.0,Shooting foul by N. Vucevic (drawn by N. Hilario),,86-77,,
8:22.0,N. Hilario misses free throw 1 of 2,,86-77,,
8:22.0,Offensive rebound by Team,,86-77,,
8:22.0,N. Hilario makes free throw 2 of 2,1,87-77,,
8:09.0,,,87-79,2,N. Vucevic makes 2-pt shot from 5 ft
7:47.0,G. Rice makes 3-pt shot from 22 ft (assist by N. Hilario),3,90-79,,
7:40.0,,,90-81,2,N. Vucevic makes 2-pt shot from 16 ft (assist by L. Ridnour)
7:26.0,Turnover by G. Rice (offensive foul),,90-81,,
7:26.0,Offensive foul by G. Rice,,90-81,,
7:26.0,G. Temple enters the game for A. Miller,,90-81,,
7:26.0,P. Pierce enters the game for G. Rice,,90-81,,
7:26.0,J. Wall enters the game for O. Porter,,90-81,,
7:06.0,,,90-81,,N. Vucevic misses 2-pt shot from 3 ft
7:05.0,Defensive rebound by P. Pierce,,90-81,,
6:48.0,J. Wall makes 2-pt shot from 15 ft (assist by N. Hilario),2,92-81,,
6:47.0,,,92-81,,Orlando full timeout
6:47.0,,,92-81,,T. Harris enters the game for A. Nicholson
6:25.0,,,92-83,2,E. Fournier makes 2-pt shot from 22 ft (assist by B. Gordon)
6:06.0,M. Gortat enters the game for D. Gooden,,92-83,,
6:03.0,Shooting foul by E. Fournier (drawn by J. Wall),,92-83,,
6:03.0,J. Wall makes free throw 1 of 2,1,93-83,,
6:03.0,J. Wall makes free throw 2 of 2,1,94-83,,
5:52.0,,,94-83,,L. Ridnour misses 2-pt shot from 10 ft
5:50.0,Defensive rebound by P. Pierce,,94-83,,
5:34.0,Shooting foul by B. Gordon (drawn by M. Gortat),,94-83,,
5:34.0,M. Gortat misses free throw 1 of 2,,94-83,,
5:34.0,Offensive rebound by Team,,94-83,,
5:34.0,M. Gortat misses free throw 2 of 2,,94-83,,
5:33.0,,,94-83,,Defensive rebound by T. Harris
5:22.0,,,94-85,2,B. Gordon makes 2-pt shot from 21 ft
4:58.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,96-85,,
4:46.0,,,96-85,,Shooting foul by J. Wall (drawn by T. Harris)
4:46.0,,,96-87,2,T. Harris makes 2-pt shot from 2 ft (assist by B. Gordon)
4:46.0,,,96-88,1,T. Harris makes free throw 1 of 1
4:27.0,J. Wall misses 2-pt shot from 18 ft,,96-88,,
4:26.0,Offensive rebound by Team,,96-88,,
4:22.0,G. Temple misses 2-pt shot from 21 ft,,96-88,,
4:22.0,,,96-88,,Defensive rebound by Team
4:03.0,,,96-90,2,L. Ridnour makes 2-pt shot from 19 ft
3:36.0,P. Pierce misses 2-pt shot from 22 ft,,96-90,,
3:33.0,,,96-90,,Defensive rebound by E. Fournier
3:27.0,,,96-93,3,E. Fournier makes 3-pt shot from 24 ft
3:26.0,Washington full timeout,,96-93,,
3:06.0,J. Wall misses 3-pt shot from 26 ft,,96-93,,
3:05.0,,,96-93,,Defensive rebound by L. Ridnour
2:44.0,,,96-93,,N. Vucevic misses 2-pt shot from 6 ft
2:42.0,Defensive rebound by M. Gortat,,96-93,,
2:22.0,P. Pierce makes 2-pt shot from 14 ft,2,98-93,,
2:10.0,,,98-93,,Shooting foul by P. Pierce (drawn by E. Fournier)
2:10.0,,,98-94,1,E. Fournier makes free throw 1 of 2
2:10.0,,,98-95,1,E. Fournier makes free throw 2 of 2
1:53.0,P. Pierce makes 2-pt shot from 15 ft,2,100-95,,
1:46.0,,,100-95,,Turnover by T. Harris (lost ball; steal by N. Hilario)
1:21.0,P. Pierce misses 2-pt shot from 2 ft,,100-95,,
1:20.0,Offensive rebound by P. Pierce,,100-95,,
1:20.0,P. Pierce misses 2-pt shot from 2 ft,,100-95,,
1:18.0,,,100-95,,Defensive rebound by T. Harris
1:11.0,,,100-95,,N. Vucevic misses 2-pt shot from 14 ft
1:10.0,Defensive rebound by J. Wall,,100-95,,
0:50.0,J. Wall misses 2-pt shot from 16 ft,,100-95,,
0:48.0,,,100-95,,Defensive rebound by Team
0:48.0,,,100-95,,Orlando full timeout
0:48.0,O. Porter enters the game for M. Gortat,,100-95,,
0:44.0,,,100-95,,Shooting foul by O. Porter (drawn by B. Gordon)
0:44.0,,,100-96,1,B. Gordon makes free throw 1 of 3
0:44.0,,,100-97,1,B. Gordon makes free throw 2 of 3
0:44.0,,,100-97,,A. Gordon enters the game for L. Ridnour
0:44.0,M. Gortat enters the game for O. Porter,,100-97,,
