time,Utah,pts.away,score,pts.home,Phoenix
4:26.0,,,20-10,,G. Dragic misses 2-pt shot from 17 ft
4:24.0,Defensive rebound by D. Favors,,20-10,,
4:14.0,Turnover by J. Ingles (bad pass; steal by B. Wright),,20-10,,
4:05.0,,,20-10,,Shooting foul by D. Favors (drawn by M. Morris)
4:05.0,,,20-10,,M. Morris misses free throw 1 of 2
4:05.0,,,20-10,,Offensive rebound by Team
4:05.0,,,20-10,,I. Thomas enters the game for G. Dragic
4:05.0,T. Burke enters the game for D. Exum,,20-10,,
4:05.0,,,20-11,1,M. Morris makes free throw 2 of 2
3:52.0,G. Hayward makes 2-pt shot from 18 ft,2,22-11,,
3:37.0,,,22-11,,Shooting foul by G. Hayward (drawn by M. Morris)
3:37.0,,,22-12,1,M. Morris makes free throw 1 of 2
3:37.0,,,22-13,1,M. Morris makes free throw 2 of 2
3:23.0,Turnover by D. Favors (lost ball; steal by E. Bledsoe),,22-13,,
3:17.0,,,22-15,2,I. Thomas makes 2-pt shot from 15 ft (assist by E. Bledsoe)
3:02.0,G. Hayward misses 2-pt shot from 5 ft,,22-15,,
3:00.0,Offensive rebound by J. Ingles,,22-15,,
2:57.0,D. Favors misses 2-pt shot from 17 ft,,22-15,,
2:55.0,,,22-15,,Defensive rebound by M. Morris
2:51.0,,,22-15,,B. Wright misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by R. Gobert,,22-15,,
2:40.0,T. Burke misses 2-pt shot from 19 ft,,22-15,,
2:38.0,,,22-15,,Defensive rebound by M. Morris
2:24.0,Personal foul by D. Favors (drawn by B. Wright),,22-15,,
2:24.0,Utah full timeout,,22-15,,
2:24.0,,,22-15,,P. Tucker enters the game for M. Morris
2:24.0,E. Millsap enters the game for D. Favors,,22-15,,
2:24.0,T. Booker enters the game for J. Ingles,,22-15,,
2:15.0,,,22-18,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
1:48.0,G. Hayward misses 3-pt shot from 26 ft,,22-18,,
1:46.0,,,22-18,,Defensive rebound by M. Morris
1:29.0,,,22-18,,I. Thomas misses 3-pt shot from 24 ft (block by T. Burke)
1:26.0,Defensive rebound by R. Gobert,,22-18,,
1:21.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,24-18,,
1:03.0,,,24-21,3,M. Morris makes 3-pt shot from 24 ft (assist by P. Tucker)
0:42.0,E. Millsap misses 2-pt shot from 2 ft,,24-21,,
0:40.0,,,24-21,,Defensive rebound by B. Wright
0:30.0,,,24-23,2,M. Morris makes 2-pt shot from 15 ft
0:16.0,Turnover by E. Millsap (bad pass; steal by E. Bledsoe),,24-23,,
0:12.0,,,24-25,2,E. Bledsoe makes 2-pt shot from 1 ft
0:02.0,T. Burke misses 3-pt shot from 24 ft,,24-25,,
0:00.0,,,24-25,,Defensive rebound by M. Morris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,24-27,2,M. Morris makes 2-pt shot from 17 ft
11:18.0,Shooting foul by P. Tucker (drawn by T. Booker),,24-27,,
11:18.0,T. Booker makes free throw 1 of 2,1,25-27,,
11:18.0,E. Kanter enters the game for R. Gobert,,25-27,,
11:18.0,,,25-27,,G. Green enters the game for E. Bledsoe
11:18.0,T. Booker misses free throw 2 of 2,,25-27,,
11:17.0,,,25-27,,Defensive rebound by M. Morris
10:56.0,,,25-27,,B. Wright misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by T. Booker,,25-27,,
10:35.0,T. Booker misses 2-pt shot from 5 ft (block by B. Wright),,25-27,,
10:33.0,,,25-27,,Defensive rebound by Team
10:16.0,,,25-29,2,M. Morris makes 2-pt shot from 1 ft
9:54.0,E. Kanter makes 2-pt shot from 2 ft,2,27-29,,
9:36.0,,,27-29,,Turnover by I. Thomas (lost ball; steal by E. Millsap)
9:32.0,E. Millsap misses 2-pt shot from 1 ft (block by M. Morris),,27-29,,
9:30.0,,,27-29,,Defensive rebound by G. Green
9:26.0,,,27-29,,G. Green misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by D. Exum,,27-29,,
9:13.0,T. Booker misses 2-pt shot from 16 ft,,27-29,,
9:12.0,,,27-29,,Defensive rebound by I. Thomas
9:01.0,,,27-29,,M. Morris misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by E. Kanter,,27-29,,
8:40.0,D. Exum misses 2-pt shot from 2 ft,,27-29,,
8:37.0,,,27-29,,Defensive rebound by M. Morris
8:31.0,,,27-32,3,P. Tucker makes 3-pt shot from 22 ft (assist by I. Thomas)
8:30.0,Utah full timeout,,27-32,,
8:30.0,C. Johnson enters the game for T. Booker,,27-32,,
8:30.0,D. Favors enters the game for E. Millsap,,27-32,,
8:30.0,,,27-32,,M. Plumlee enters the game for B. Wright
8:08.0,D. Exum makes 3-pt shot from 24 ft (assist by C. Johnson),3,30-32,,
7:54.0,,,30-34,2,G. Green makes 2-pt shot from 21 ft (assist by I. Thomas)
7:32.0,Offensive charge foul by E. Kanter,,30-34,,
7:32.0,Turnover by E. Kanter (offensive foul),,30-34,,
7:32.0,R. Gobert enters the game for E. Kanter,,30-34,,
7:22.0,,,30-34,,G. Green misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by R. Gobert,,30-34,,
7:11.0,,,30-34,,Personal foul by G. Green (drawn by T. Burke)
7:01.0,C. Johnson makes 3-pt shot from 25 ft (assist by T. Burke),3,33-34,,
6:35.0,,,33-34,,Turnover by M. Morris (bad pass; steal by D. Favors)
6:22.0,T. Burke misses 2-pt shot from 4 ft,,33-34,,
6:21.0,Offensive rebound by R. Gobert,,33-34,,
6:21.0,R. Gobert makes 2-pt shot from 1 ft,2,35-34,,
6:21.0,,,35-34,,Phoenix full timeout
6:21.0,J. Ingles enters the game for D. Exum,,35-34,,
6:04.0,,,35-37,3,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas)
5:42.0,C. Johnson makes 3-pt shot from 25 ft (assist by T. Burke),3,38-37,,
5:26.0,,,38-37,,M. Morris misses 2-pt shot from 3 ft (block by R. Gobert)
5:23.0,Defensive rebound by J. Ingles,,38-37,,
5:15.0,Turnover by D. Favors (bad pass; steal by M. Plumlee),,38-37,,
4:58.0,,,38-37,,M. Plumlee misses 2-pt shot from 15 ft
4:54.0,Defensive rebound by J. Ingles,,38-37,,
4:49.0,D. Favors makes 2-pt shot from 2 ft (assist by C. Johnson),2,40-37,,
4:38.0,,,40-40,3,I. Thomas makes 3-pt shot from 24 ft
4:20.0,T. Burke misses 2-pt shot from 16 ft,,40-40,,
4:18.0,,,40-40,,Defensive rebound by M. Morris
4:08.0,,,40-43,3,M. Morris makes 3-pt shot from 25 ft (assist by I. Thomas)
3:46.0,R. Gobert makes 2-pt shot from 1 ft,2,42-43,,
3:30.0,,,42-43,,I. Thomas misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by R. Gobert,,42-43,,
3:25.0,Turnover by R. Gobert (bad pass; steal by P. Tucker),,42-43,,
3:14.0,,,42-46,3,M. Morris makes 3-pt shot from 24 ft (assist by P. Tucker)
3:14.0,Utah full timeout,,42-46,,
3:14.0,E. Kanter enters the game for D. Favors,,42-46,,
3:14.0,G. Hayward enters the game for T. Burke,,42-46,,
3:14.0,D. Exum enters the game for C. Johnson,,42-46,,
3:14.0,,,42-46,,G. Dragic enters the game for P. Tucker
3:14.0,,,42-46,,E. Bledsoe enters the game for I. Thomas
3:14.0,,,42-46,,M. Morris enters the game for G. Green
3:03.0,G. Hayward misses 2-pt shot from 16 ft,,42-46,,
3:03.0,Offensive rebound by R. Gobert,,42-46,,
3:03.0,R. Gobert misses 2-pt shot from 1 ft (block by M. Morris),,42-46,,
3:01.0,,,42-46,,Defensive rebound by M. Morris
2:52.0,,,42-48,2,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe)
2:34.0,Turnover by D. Exum (bad pass; steal by M. Plumlee),,42-48,,
2:31.0,,,42-50,2,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic)
2:26.0,Utah full timeout,,42-50,,
2:14.0,G. Hayward misses 2-pt shot from 21 ft,,42-50,,
2:13.0,,,42-50,,Defensive rebound by M. Morris
1:57.0,,,42-50,,M. Morris misses 2-pt shot from 16 ft
1:56.0,Defensive rebound by D. Exum,,42-50,,
1:42.0,E. Kanter misses 2-pt shot from 16 ft,,42-50,,
1:40.0,,,42-50,,Defensive rebound by M. Morris
1:22.0,,,42-52,2,M. Morris makes 2-pt shot from 14 ft
1:03.0,Turnover by D. Exum (bad pass; steal by E. Bledsoe),,42-52,,
1:00.0,,,42-54,2,G. Dragic makes 2-pt shot from 1 ft
0:56.0,,,42-54,,Personal foul by M. Plumlee (drawn by R. Gobert)
0:56.0,,,42-54,,B. Wright enters the game for M. Plumlee
0:50.0,,,42-54,,Personal foul by E. Bledsoe (drawn by R. Gobert)
0:50.0,R. Gobert misses free throw 1 of 2,,42-54,,
0:50.0,Offensive rebound by Team,,42-54,,
0:50.0,R. Gobert misses free throw 2 of 2,,42-54,,
0:49.0,,,42-54,,Defensive rebound by M. Morris
0:30.0,,,42-54,,E. Bledsoe misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by R. Gobert,,42-54,,
0:05.0,G. Hayward misses 2-pt shot from 15 ft,,42-54,,
0:03.0,,,42-54,,Defensive rebound by M. Morris
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,42-57,3,E. Bledsoe makes 3-pt shot from 22 ft (assist by G. Dragic)
11:31.0,J. Ingles misses 3-pt shot from 24 ft,,42-57,,
11:29.0,,,42-57,,Defensive rebound by P. Tucker
11:18.0,,,42-57,,E. Bledsoe misses 2-pt shot from 15 ft
11:16.0,Defensive rebound by J. Ingles,,42-57,,
10:56.0,Shooting foul by E. Bledsoe (drawn by J. Ingles),,42-57,,
10:56.0,J. Ingles makes free throw 1 of 2,1,43-57,,
10:56.0,J. Ingles makes free throw 2 of 2,1,44-57,,
10:47.0,,,44-57,,Turnover by P. Tucker (bad pass)
10:34.0,J. Ingles makes 2-pt shot from 7 ft,2,46-57,,
10:17.0,,,46-57,,Turnover by G. Dragic (traveling)
9:59.0,D. Favors misses 2-pt shot from 7 ft,,46-57,,
9:57.0,,,46-57,,Defensive rebound by M. Morris
9:52.0,,,46-57,,G. Dragic misses 2-pt shot from 1 ft
9:49.0,,,46-57,,Offensive rebound by M. Morris
9:49.0,,,46-59,2,M. Morris makes 2-pt shot from 1 ft
9:41.0,J. Ingles makes 2-pt shot from 15 ft,2,48-59,,
9:32.0,,,48-59,,Turnover by M. Morris (bad pass; steal by E. Kanter)
9:18.0,D. Favors makes 2-pt shot at rim,2,50-59,,
9:01.0,,,50-59,,G. Dragic misses 2-pt shot from 8 ft
8:59.0,Defensive rebound by G. Hayward,,50-59,,
8:52.0,G. Hayward makes 2-pt shot from 9 ft,2,52-59,,
8:31.0,,,52-59,,M. Morris misses 2-pt shot from 2 ft
8:29.0,,,52-59,,Offensive rebound by M. Morris
8:29.0,,,52-59,,M. Morris misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by G. Hayward,,52-59,,
8:22.0,E. Kanter makes 2-pt shot from 6 ft (assist by D. Exum),2,54-59,,
8:12.0,,,54-59,,Phoenix full timeout
8:00.0,,,54-59,,M. Morris misses 2-pt shot from 9 ft
7:57.0,,,54-59,,Offensive rebound by M. Plumlee
7:57.0,,,54-59,,M. Plumlee misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by D. Favors,,54-59,,
7:43.0,D. Favors misses 2-pt shot from 15 ft,,54-59,,
7:42.0,,,54-59,,Defensive rebound by G. Dragic
7:26.0,,,54-62,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by G. Dragic)
7:10.0,J. Ingles misses 2-pt shot from 7 ft,,54-62,,
7:09.0,Offensive rebound by D. Exum,,54-62,,
7:03.0,D. Exum misses 3-pt shot from 24 ft,,54-62,,
7:02.0,,,54-62,,Defensive rebound by E. Bledsoe
6:57.0,,,54-64,2,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe)
6:36.0,G. Hayward makes 2-pt shot from 7 ft,2,56-64,,
6:18.0,,,56-66,2,M. Morris makes 2-pt shot at rim (assist by G. Dragic)
6:07.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,58-66,,
5:49.0,,,58-69,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by G. Dragic)
5:36.0,Shooting foul by M. Plumlee (drawn by D. Favors),,58-69,,
5:36.0,D. Favors makes free throw 1 of 2,1,59-69,,
5:36.0,,,59-69,,Violation by P. Tucker (lane)
5:36.0,D. Favors makes free throw 2 of 2,1,60-69,,
5:16.0,,,60-69,,Turnover by M. Morris (bad pass; steal by D. Favors)
5:05.0,E. Kanter misses 2-pt shot from 15 ft,,60-69,,
5:03.0,,,60-69,,Defensive rebound by M. Plumlee
4:55.0,,,60-69,,E. Bledsoe misses 2-pt shot from 14 ft
4:51.0,Defensive rebound by E. Kanter,,60-69,,
4:32.0,D. Favors misses 2-pt shot from 13 ft,,60-69,,
4:30.0,,,60-69,,Defensive rebound by M. Plumlee
4:19.0,Personal foul by D. Exum (drawn by M. Plumlee),,60-69,,
4:19.0,,,60-69,,B. Wright enters the game for M. Plumlee
4:19.0,R. Gobert enters the game for E. Kanter,,60-69,,
4:05.0,,,60-72,3,G. Dragic makes 3-pt shot from 23 ft (assist by E. Bledsoe)
3:48.0,Turnover by G. Hayward (lost ball),,60-72,,
3:48.0,T. Burke enters the game for D. Exum,,60-72,,
3:48.0,,,60-72,,I. Thomas enters the game for E. Bledsoe
3:33.0,,,60-72,,Turnover by M. Morris (bad pass; steal by R. Gobert)
3:31.0,Shooting foul by G. Dragic (drawn by G. Hayward),,60-72,,
3:31.0,G. Hayward makes free throw 1 of 2,1,61-72,,
3:31.0,C. Johnson enters the game for J. Ingles,,61-72,,
3:31.0,,,61-72,,M. Morris enters the game for P. Tucker
3:31.0,G. Hayward makes free throw 2 of 2,1,62-72,,
3:14.0,,,62-72,,M. Morris misses 2-pt shot from 12 ft
3:10.0,Defensive rebound by R. Gobert,,62-72,,
3:03.0,D. Favors misses 2-pt shot from 5 ft,,62-72,,
3:02.0,Offensive rebound by Team,,62-72,,
3:02.0,Utah full timeout,,62-72,,
2:49.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hayward),2,64-72,,
2:31.0,,,64-72,,M. Morris misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by C. Johnson,,64-72,,
2:27.0,,,64-72,,Personal foul by I. Thomas (drawn by D. Favors)
2:21.0,T. Burke misses 3-pt shot from 25 ft,,64-72,,
2:20.0,,,64-72,,Defensive rebound by Team
2:06.0,,,64-72,,I. Thomas misses 2-pt shot from 5 ft (block by T. Burke)
2:03.0,,,64-72,,Offensive rebound by I. Thomas
2:01.0,,,64-72,,M. Morris misses 2-pt shot at rim (block by D. Favors)
1:58.0,Defensive rebound by T. Burke,,64-72,,
1:54.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,66-72,,
1:33.0,,,66-74,2,M. Morris makes 2-pt shot from 16 ft
1:05.0,C. Johnson misses 3-pt shot from 24 ft,,66-74,,
1:03.0,,,66-74,,Defensive rebound by I. Thomas
0:54.0,,,66-74,,Turnover by M. Morris (lost ball; steal by C. Johnson)
0:51.0,Shooting foul by M. Morris (drawn by G. Hayward),,66-74,,
0:51.0,G. Hayward makes free throw 1 of 2,1,67-74,,
0:51.0,,,67-74,,P. Tucker enters the game for M. Morris
0:51.0,G. Hayward makes free throw 2 of 2,1,68-74,,
0:34.0,,,68-76,2,P. Tucker makes 2-pt shot from 3 ft
0:26.0,T. Burke makes 3-pt shot from 24 ft (assist by R. Gobert),3,71-76,,
0:01.0,,,71-76,,Turnover by Team (shot clock)
0:00.0,T. Burke misses 3-pt shot from 56 ft (block by I. Thomas),,71-76,,
0:00.0,Offensive rebound by Team,,71-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,T. Burke misses 2-pt shot from 5 ft,,71-76,,
11:38.0,,,71-76,,Defensive rebound by Team
11:38.0,Personal foul by R. Gobert (drawn by P. Tucker),,71-76,,
11:28.0,,,71-79,3,I. Thomas makes 3-pt shot from 25 ft (assist by G. Green)
11:19.0,R. Gobert makes 2-pt shot at rim (assist by C. Johnson),2,73-79,,
10:58.0,,,73-79,,M. Morris misses 2-pt shot from 16 ft
10:56.0,,,73-79,,Offensive rebound by B. Wright
10:51.0,Violation by T. Burke (kicked ball),,73-79,,
10:46.0,,,73-79,,G. Green misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by R. Gobert,,73-79,,
10:21.0,J. Ingles misses 3-pt shot from 22 ft,,73-79,,
10:20.0,,,73-79,,Defensive rebound by M. Morris
10:15.0,,,73-79,,I. Thomas misses 3-pt shot from 24 ft
10:11.0,,,73-79,,Offensive rebound by G. Green
10:09.0,,,73-82,3,P. Tucker makes 3-pt shot from 25 ft (assist by G. Green)
9:50.0,T. Burke misses 3-pt shot from 25 ft,,73-82,,
9:48.0,,,73-82,,Defensive rebound by B. Wright
9:48.0,Personal foul by R. Gobert (drawn by B. Wright),,73-82,,
9:32.0,,,73-84,2,M. Morris makes 2-pt shot from 14 ft
9:13.0,T. Booker makes 2-pt shot from 1 ft,2,75-84,,
8:55.0,,,75-84,,P. Tucker misses 3-pt shot from 24 ft
8:54.0,,,75-84,,Offensive rebound by B. Wright
8:46.0,,,75-84,,I. Thomas misses 2-pt shot from 1 ft
8:44.0,Defensive rebound by R. Gobert,,75-84,,
8:37.0,C. Johnson misses 3-pt shot from 24 ft,,75-84,,
8:36.0,,,75-84,,Defensive rebound by P. Tucker
8:36.0,Personal foul by C. Johnson (drawn by P. Tucker),,75-84,,
8:36.0,Official timeout,,75-84,,
8:36.0,E. Kanter enters the game for R. Gobert,,75-84,,
8:21.0,,,75-84,,M. Morris misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by J. Ingles,,75-84,,
8:01.0,E. Kanter misses 2-pt shot from 5 ft,,75-84,,
7:58.0,,,75-84,,Defensive rebound by P. Tucker
7:53.0,,,75-84,,G. Green misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by E. Kanter,,75-84,,
7:38.0,T. Burke makes 2-pt shot from 18 ft,2,77-84,,
7:12.0,,,77-84,,M. Morris misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by C. Johnson,,77-84,,
6:57.0,T. Burke misses 3-pt shot from 25 ft,,77-84,,
6:57.0,Offensive rebound by Team,,77-84,,
6:57.0,,,77-84,,Loose ball foul by I. Thomas (drawn by E. Kanter)
6:57.0,G. Hayward enters the game for J. Ingles,,77-84,,
6:57.0,D. Favors enters the game for T. Burke,,77-84,,
6:57.0,D. Exum enters the game for T. Booker,,77-84,,
6:57.0,,,77-84,,M. Morris enters the game for P. Tucker
6:57.0,,,77-84,,E. Bledsoe enters the game for G. Green
6:49.0,Turnover by G. Hayward (bad pass; steal by M. Morris),,77-84,,
6:30.0,,,77-86,2,E. Bledsoe makes 2-pt shot from 19 ft
6:12.0,E. Kanter misses 2-pt shot from 19 ft,,77-86,,
6:10.0,,,77-86,,Defensive rebound by E. Bledsoe
6:02.0,,,77-86,,I. Thomas misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by G. Hayward,,77-86,,
5:50.0,Turnover by G. Hayward (lost ball; steal by E. Bledsoe),,77-86,,
5:50.0,Personal foul by D. Exum (drawn by E. Bledsoe),,77-86,,
5:50.0,,,77-86,,Phoenix full timeout
5:50.0,,,77-86,,M. Plumlee enters the game for B. Wright
5:50.0,R. Gobert enters the game for E. Kanter,,77-86,,
5:28.0,,,77-88,2,M. Morris makes 2-pt shot from 12 ft
5:16.0,Turnover by G. Hayward (bad pass; steal by M. Morris),,77-88,,
5:13.0,,,77-90,2,M. Morris makes 2-pt shot from 1 ft
5:00.0,G. Hayward makes 2-pt shot at rim,2,79-90,,
4:30.0,,,79-90,,E. Bledsoe misses 2-pt shot from 18 ft
4:28.0,,,79-90,,Offensive rebound by M. Morris
4:22.0,,,79-90,,M. Morris misses 2-pt shot from 6 ft
4:18.0,,,79-90,,Offensive rebound by M. Plumlee
4:14.0,Personal foul by D. Exum (drawn by I. Thomas),,79-90,,
4:14.0,,,79-91,1,I. Thomas makes free throw 1 of 2
4:14.0,T. Burke enters the game for D. Exum,,79-91,,
4:14.0,,,79-92,1,I. Thomas makes free throw 2 of 2
4:02.0,G. Hayward makes 2-pt shot from 20 ft,2,81-92,,
3:39.0,,,81-92,,M. Morris misses 2-pt shot from 14 ft
3:38.0,Defensive rebound by Team,,81-92,,
3:38.0,,,81-92,,G. Dragic enters the game for I. Thomas
3:29.0,C. Johnson misses 2-pt shot from 3 ft,,81-92,,
3:27.0,,,81-92,,Defensive rebound by M. Morris
3:16.0,,,81-92,,E. Bledsoe misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by D. Favors,,81-92,,
3:16.0,,,81-92,,Personal foul by M. Plumlee (drawn by D. Favors)
3:01.0,G. Hayward misses 2-pt shot from 6 ft,,81-92,,
2:58.0,,,81-92,,Defensive rebound by G. Dragic
2:49.0,,,81-92,,M. Morris misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by T. Burke,,81-92,,
2:45.0,Shooting foul by G. Dragic (drawn by R. Gobert),,81-92,,
2:45.0,Utah full timeout,,81-92,,
2:45.0,R. Gobert makes free throw 1 of 2,1,82-92,,
2:45.0,R. Gobert makes free throw 2 of 2,1,83-92,,
2:27.0,,,83-92,,M. Plumlee misses 2-pt shot from 9 ft
2:24.0,Defensive rebound by T. Burke,,83-92,,
2:12.0,T. Burke misses 2-pt shot from 7 ft,,83-92,,
2:09.0,Offensive rebound by R. Gobert,,83-92,,
2:06.0,D. Favors makes 2-pt shot from 14 ft (assist by R. Gobert),2,85-92,,
1:38.0,,,85-92,,Shooting foul by R. Gobert (drawn by M. Morris)
1:38.0,,,85-93,1,M. Morris makes free throw 1 of 2
1:38.0,,,85-93,,P. Tucker enters the game for M. Plumlee
1:38.0,,,85-94,1,M. Morris makes free throw 2 of 2
1:25.0,T. Burke misses 3-pt shot from 23 ft,,85-94,,
1:23.0,,,85-94,,Defensive rebound by M. Morris
1:21.0,,,85-94,,Turnover by M. Morris (bad pass; steal by C. Johnson)
1:21.0,,,85-94,,Loose ball foul by G. Dragic (drawn by C. Johnson)
1:10.0,C. Johnson makes 3-pt shot from 26 ft (assist by D. Favors),3,88-94,,
1:00.0,,,88-97,3,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe)
0:51.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,90-97,,
0:33.0,,,90-97,,Turnover by P. Tucker (traveling)
0:27.0,G. Hayward misses 2-pt shot from 16 ft,,90-97,,
0:25.0,,,90-97,,Defensive rebound by G. Dragic
0:24.0,Personal take foul by T. Burke (drawn by G. Dragic),,90-97,,
0:24.0,,,90-97,,G. Dragic misses free throw 1 of 2
0:24.0,,,90-97,,Offensive rebound by Team
0:24.0,,,90-97,,G. Dragic misses free throw 2 of 2
0:23.0,,,90-97,,Offensive rebound by M. Morris
0:19.0,Personal take foul by G. Hayward (drawn by M. Morris),,90-97,,
0:19.0,,,90-98,1,M. Morris makes free throw 1 of 2
0:19.0,,,90-99,1,M. Morris makes free throw 2 of 2
0:13.0,,,90-99,,Personal foul by M. Morris (drawn by G. Hayward)
0:13.0,G. Hayward makes free throw 1 of 2,1,91-99,,
0:13.0,G. Hayward misses free throw 2 of 2,,91-99,,
0:12.0,,,91-99,,Defensive rebound by P. Tucker
0:11.0,Personal take foul by D. Favors (drawn by P. Tucker),,91-99,,
0:11.0,,,91-100,1,P. Tucker makes free throw 1 of 2
0:11.0,,,91-100,,P. Tucker misses free throw 2 of 2
0:10.0,Defensive rebound by R. Gobert,,91-100,,
0:05.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,93-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
