time,Indiana,pts.away,score,pts.home,Golden State
0:23.0,S. Hill misses 3-pt shot from 29 ft,,50-50,,
0:23.0,,,50-50,,Defensive rebound by Team
0:06.0,,,50-50,,S. Curry misses 3-pt shot from 28 ft
0:05.0,Defensive rebound by D. Sloan,,50-50,,
0:01.0,D. Sloan misses 3-pt shot from 27 ft,,50-50,,
0:00.0,Offensive rebound by Team,,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Turnover by L. Allen (bad pass),,50-50,,
11:57.0,,,50-50,,K. Thompson misses 2-pt shot from 17 ft
11:56.0,Defensive rebound by D. West,,50-50,,
11:42.0,C. Miles misses 3-pt shot from 24 ft,,50-50,,
11:41.0,,,50-50,,Defensive rebound by K. Thompson
11:31.0,,,50-50,,D. Green misses 2-pt shot from 10 ft
11:30.0,Defensive rebound by D. West,,50-50,,
11:19.0,D. West misses 2-pt shot from 18 ft,,50-50,,
11:17.0,,,50-50,,Defensive rebound by S. Curry
11:09.0,,,50-53,3,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry)
10:54.0,,,50-53,,Personal foul by D. Green (drawn by D. West)
10:52.0,Turnover by C. Miles (bad pass; steal by D. Green),,50-53,,
10:48.0,,,50-55,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
10:35.0,Turnover by C. Watson (bad pass),,50-55,,
10:22.0,,,50-55,,Shooting foul by L. Allen (drawn by M. Speights)
10:22.0,,,50-56,1,M. Speights makes free throw 1 of 2
10:22.0,,,50-57,1,M. Speights makes free throw 2 of 2
10:03.0,L. Allen misses 2-pt shot from 2 ft (block by K. Thompson),,50-57,,
10:02.0,,,50-57,,Defensive rebound by M. Speights
9:57.0,,,50-60,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
9:56.0,Indiana full timeout,,50-60,,
9:41.0,Shooting foul by H. Barnes (drawn by S. Hill),,50-60,,
9:41.0,S. Hill misses free throw 1 of 2,,50-60,,
9:41.0,Offensive rebound by Team,,50-60,,
9:41.0,S. Hill makes free throw 2 of 2,1,51-60,,
9:30.0,,,51-62,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Curry)
9:12.0,C. Miles misses 3-pt shot from 25 ft,,51-62,,
9:11.0,,,51-62,,Defensive rebound by D. Green
8:46.0,,,51-62,,K. Thompson misses 2-pt shot from 4 ft
8:45.0,,,51-62,,Offensive rebound by H. Barnes
8:45.0,,,51-64,2,H. Barnes makes 2-pt shot at rim
8:27.0,D. West makes 2-pt shot from 2 ft (assist by L. Allen),2,53-64,,
8:17.0,Personal foul by S. Hill (drawn by D. Green),,53-64,,
8:17.0,C. Copeland enters the game for C. Miles,,53-64,,
8:07.0,,,53-64,,S. Curry misses 2-pt shot from 20 ft
8:06.0,Defensive rebound by C. Copeland,,53-64,,
7:53.0,,,53-64,,Personal foul by D. Green (drawn by L. Allen)
7:45.0,L. Allen makes 2-pt shot from 20 ft (assist by C. Watson),2,55-64,,
7:21.0,,,55-64,,K. Thompson misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by L. Allen,,55-64,,
7:15.0,,,55-64,,Personal foul by D. Green (drawn by C. Watson)
7:15.0,,,55-64,,A. Iguodala enters the game for D. Green
7:08.0,L. Allen makes 2-pt shot from 6 ft (assist by D. West),2,57-64,,
6:59.0,,,57-66,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Curry)
6:34.0,S. Hill makes 2-pt shot at rim,2,59-66,,
6:28.0,,,59-66,,Golden State full timeout
6:21.0,,,59-66,,A. Iguodala misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by C. Copeland,,59-66,,
6:13.0,,,59-66,,Personal foul by S. Curry (drawn by L. Allen)
6:13.0,L. Allen makes free throw 1 of 2,1,60-66,,
6:13.0,,,60-66,,D. Lee enters the game for H. Barnes
6:13.0,L. Allen makes free throw 2 of 2,1,61-66,,
6:02.0,,,61-68,2,D. Lee makes 2-pt shot at rim (assist by S. Curry)
5:43.0,S. Hill misses 2-pt shot from 1 ft,,61-68,,
5:42.0,,,61-68,,Defensive rebound by D. Lee
5:33.0,,,61-68,,A. Iguodala misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by L. Allen,,61-68,,
5:27.0,,,61-68,,Personal foul by S. Curry (drawn by C. Watson)
5:27.0,C. Watson makes free throw 1 of 2,1,62-68,,
5:27.0,,,62-68,,S. Livingston enters the game for S. Curry
5:27.0,C. Watson makes free throw 2 of 2,1,63-68,,
5:12.0,,,63-68,,K. Thompson misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by S. Hill,,63-68,,
5:01.0,S. Hill makes 2-pt shot from 1 ft (assist by D. West),2,65-68,,
4:43.0,,,65-68,,Shooting foul by D. West (drawn by D. Lee)
4:43.0,,,65-68,,D. Lee misses free throw 1 of 2
4:43.0,,,65-68,,Offensive rebound by Team
4:43.0,,,65-68,,A. Bogut enters the game for M. Speights
4:43.0,,,65-69,1,D. Lee makes free throw 2 of 2
4:28.0,C. Copeland makes 3-pt shot from 25 ft (assist by S. Hill),3,68-69,,
4:07.0,,,68-69,,S. Livingston misses 2-pt shot from 12 ft
4:05.0,Defensive rebound by L. Allen,,68-69,,
3:51.0,Turnover by C. Watson (lost ball; steal by D. Lee),,68-69,,
3:47.0,,,68-71,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
3:30.0,S. Hill makes 2-pt shot from 8 ft,2,70-71,,
3:10.0,,,70-73,2,D. Lee makes 2-pt shot from 7 ft (assist by A. Iguodala)
2:52.0,C. Copeland misses 3-pt shot from 22 ft,,70-73,,
2:51.0,,,70-73,,Defensive rebound by D. Lee
2:44.0,,,70-75,2,S. Livingston makes 2-pt shot from 11 ft
2:44.0,,,70-75,,Shooting foul by D. West (drawn by S. Livingston)
2:44.0,L. Scola enters the game for L. Allen,,70-75,,
2:44.0,D. Sloan enters the game for C. Watson,,70-75,,
2:44.0,,,70-75,,S. Livingston misses free throw 1 of 1
2:43.0,Defensive rebound by D. Sloan,,70-75,,
2:29.0,D. West makes 2-pt shot from 19 ft,2,72-75,,
2:07.0,,,72-77,2,D. Lee makes 2-pt shot from 7 ft
1:56.0,,,72-77,,Personal foul by D. Lee (drawn by D. West)
1:56.0,D. West makes free throw 1 of 2,1,73-77,,
1:56.0,D. West makes free throw 2 of 2,1,74-77,,
1:37.0,,,74-79,2,D. Lee makes 2-pt shot from 13 ft (assist by S. Livingston)
1:17.0,C. Copeland makes 2-pt shot from 17 ft,2,76-79,,
1:08.0,,,76-79,,Turnover by D. Lee (lost ball; steal by D. West)
0:59.0,D. West misses 2-pt shot from 16 ft,,76-79,,
0:57.0,,,76-79,,Defensive rebound by K. Thompson
0:41.0,,,76-81,2,K. Thompson makes 2-pt shot from 20 ft (assist by S. Livingston)
0:24.0,S. Hill misses 3-pt shot from 23 ft,,76-81,,
0:23.0,,,76-81,,Defensive rebound by S. Livingston
0:03.0,,,76-84,3,K. Thompson makes 3-pt shot from 22 ft (assist by S. Livingston)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-87,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Lee)
11:21.0,D. Sloan misses 3-pt shot from 26 ft,,76-87,,
11:20.0,,,76-87,,Defensive rebound by A. Bogut
11:15.0,Violation by C. Miles (kicked ball),,76-87,,
11:13.0,Personal foul by C. Miles (drawn by K. Thompson),,76-87,,
11:08.0,,,76-87,,D. Lee misses 2-pt shot from 1 ft
11:06.0,,,76-87,,Offensive rebound by A. Bogut
11:06.0,,,76-87,,A. Bogut misses 2-pt shot at rim
11:05.0,,,76-87,,Offensive rebound by A. Bogut
11:02.0,,,76-87,,K. Thompson misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by D. Sloan,,76-87,,
10:54.0,C. Miles makes 3-pt shot from 26 ft (assist by D. Sloan),3,79-87,,
10:42.0,,,79-87,,Shooting foul by C. Miles (drawn by K. Thompson)
10:42.0,,,79-88,1,K. Thompson makes free throw 1 of 2
10:42.0,,,79-89,1,K. Thompson makes free throw 2 of 2
10:20.0,C. Miles misses 3-pt shot from 27 ft,,79-89,,
10:19.0,,,79-89,,Defensive rebound by A. Bogut
10:09.0,,,79-91,2,K. Thompson makes 2-pt shot at rim
10:06.0,Indiana full timeout,,79-91,,
9:53.0,,,79-91,,Personal foul by D. Lee (drawn by L. Scola)
9:43.0,L. Scola misses 2-pt shot from 1 ft,,79-91,,
9:42.0,Offensive rebound by D. Sloan,,79-91,,
9:40.0,D. Sloan makes 2-pt shot from 5 ft,2,81-91,,
9:29.0,,,81-91,,Offensive foul by D. Lee
9:29.0,,,81-91,,Turnover by D. Lee (offensive foul)
9:29.0,,,81-91,,D. Green enters the game for D. Lee
9:29.0,,,81-91,,S. Curry enters the game for S. Livingston
9:13.0,C. Miles makes 3-pt shot from 28 ft (assist by C. Copeland),3,84-91,,
8:59.0,,,84-91,,S. Curry misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by L. Scola,,84-91,,
8:50.0,C. Copeland misses 3-pt shot from 23 ft,,84-91,,
8:49.0,,,84-91,,Defensive rebound by A. Bogut
8:38.0,,,84-91,,Turnover by D. Green (bad pass; steal by C. Copeland)
8:30.0,Turnover by L. Scola (bad pass),,84-91,,
8:18.0,,,84-93,2,A. Bogut makes 2-pt shot from 3 ft (assist by S. Curry)
7:56.0,Turnover by L. Scola (bad pass; steal by A. Iguodala),,84-93,,
7:53.0,,,84-93,,Shooting foul by C. Copeland (drawn by K. Thompson)
7:53.0,,,84-94,1,K. Thompson makes free throw 1 of 2
7:53.0,,,84-95,1,K. Thompson makes free throw 2 of 2
7:38.0,C. Miles misses 2-pt shot from 10 ft,,84-95,,
7:37.0,,,84-95,,Defensive rebound by A. Bogut
7:30.0,,,84-98,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
7:21.0,Indiana full timeout,,84-98,,
7:21.0,,,84-98,,M. Speights enters the game for A. Bogut
7:21.0,C. Watson enters the game for L. Allen,,84-98,,
7:21.0,D. West enters the game for C. Copeland,,84-98,,
7:21.0,S. Hill enters the game for D. Sloan,,84-98,,
7:09.0,C. Miles misses 3-pt shot from 28 ft,,84-98,,
7:08.0,Offensive rebound by Team,,84-98,,
7:08.0,,,84-98,,Loose ball foul by D. Green (drawn by L. Scola)
7:08.0,,,84-98,,D. Lee enters the game for D. Green
6:54.0,C. Watson misses 3-pt shot from 26 ft,,84-98,,
6:53.0,,,84-98,,Defensive rebound by K. Thompson
6:45.0,,,84-98,,Technical foul by D. Green
6:45.0,C. Watson makes technical free throw,1,85-98,,
6:38.0,,,85-98,,Turnover by S. Curry (bad pass)
6:20.0,,,85-98,,Personal foul by S. Curry (drawn by L. Scola)
6:20.0,L. Scola makes free throw 1 of 2,1,86-98,,
6:20.0,L. Scola makes free throw 2 of 2,1,87-98,,
6:10.0,,,87-98,,Offensive foul by M. Speights
6:10.0,,,87-98,,Turnover by M. Speights (offensive foul)
5:58.0,S. Hill makes 2-pt shot at rim (assist by D. West),2,89-98,,
5:51.0,,,89-98,,Golden State full timeout
5:44.0,,,89-100,2,S. Curry makes 2-pt shot from 6 ft
5:28.0,Shooting foul by A. Iguodala (drawn by C. Miles),,89-100,,
5:28.0,C. Miles makes free throw 1 of 2,1,90-100,,
5:28.0,C. Miles makes free throw 2 of 2,1,91-100,,
5:12.0,,,91-102,2,M. Speights makes 2-pt shot from 18 ft (assist by A. Iguodala)
4:53.0,L. Scola misses 2-pt shot from 17 ft,,91-102,,
4:52.0,Offensive rebound by D. West,,91-102,,
4:47.0,Turnover by D. West (bad pass; steal by S. Curry),,91-102,,
4:43.0,,,91-102,,S. Curry misses 2-pt shot from 5 ft
4:43.0,Defensive rebound by Team,,91-102,,
4:43.0,,,91-102,,Loose ball foul by D. Lee (drawn by S. Hill)
4:43.0,S. Hill makes free throw 1 of 2,1,92-102,,
4:43.0,,,92-102,,D. Green enters the game for D. Lee
4:43.0,L. Allen enters the game for L. Scola,,92-102,,
4:43.0,S. Hill makes free throw 2 of 2,1,93-102,,
4:37.0,,,93-105,3,S. Curry makes 3-pt shot from 24 ft
4:17.0,,,93-105,,Personal foul by S. Curry (drawn by D. West)
4:17.0,D. West makes free throw 1 of 2,1,94-105,,
4:17.0,D. West makes free throw 2 of 2,1,95-105,,
4:04.0,,,95-105,,K. Thompson misses 3-pt shot from 23 ft
4:04.0,,,95-105,,Offensive rebound by Team
4:04.0,Personal block foul by D. West (drawn by D. Green),,95-105,,
4:04.0,C. Copeland enters the game for C. Miles,,95-105,,
3:58.0,,,95-105,,S. Curry misses 3-pt shot from 28 ft
3:57.0,Defensive rebound by C. Copeland,,95-105,,
3:43.0,Turnover by L. Allen (bad pass; steal by K. Thompson),,95-105,,
3:37.0,,,95-107,2,M. Speights makes 2-pt shot from 1 ft (assist by K. Thompson)
3:26.0,C. Watson misses 3-pt shot from 25 ft,,95-107,,
3:24.0,,,95-107,,Defensive rebound by D. Green
3:04.0,,,95-107,,K. Thompson misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by C. Copeland,,95-107,,
2:45.0,C. Watson misses 3-pt shot from 23 ft,,95-107,,
2:44.0,,,95-107,,Defensive rebound by D. Green
2:22.0,,,95-109,2,M. Speights makes 2-pt shot from 18 ft (assist by K. Thompson)
2:01.0,S. Hill misses 2-pt shot from 2 ft,,95-109,,
2:00.0,Offensive rebound by Team,,95-109,,
2:00.0,Official timeout,,95-109,,
2:00.0,C. Miles enters the game for S. Hill,,95-109,,
1:51.0,C. Copeland misses 3-pt shot from 24 ft,,95-109,,
