time,Memphis,pts.away,score,pts.home,LA Clippers
5:28.0,M. Conley enters the game for N. Calathes,,31-32,,
5:19.0,,,31-32,,Turnover by C. Paul (bad pass)
5:02.0,Turnover by M. Gasol (3 sec),,31-32,,
4:46.0,,,31-32,,J. Crawford misses 2-pt shot from 4 ft
4:43.0,,,31-32,,Offensive rebound by J. Crawford
4:43.0,,,31-32,,J. Crawford misses 2-pt shot from 8 ft (block by M. Gasol)
4:39.0,Defensive rebound by J. Leuer,,31-32,,
4:36.0,T. Allen misses 2-pt shot from 5 ft (block by M. Barnes),,31-32,,
4:36.0,Offensive rebound by T. Allen,,31-32,,
4:36.0,Shooting foul by D. Jordan (drawn by T. Allen),,31-32,,
4:36.0,T. Allen makes free throw 1 of 2,1,32-32,,
4:36.0,T. Allen misses free throw 2 of 2,,32-32,,
4:35.0,,,32-32,,Defensive rebound by D. Jordan
4:18.0,,,32-34,2,C. Paul makes 2-pt shot from 20 ft
3:58.0,M. Gasol misses 2-pt shot from 7 ft,,32-34,,
3:56.0,,,32-34,,Defensive rebound by D. Jordan
3:56.0,C. Lee enters the game for T. Allen,,32-34,,
3:56.0,,,32-34,,J. Redick enters the game for J. Crawford
3:35.0,,,32-37,3,C. Paul makes 3-pt shot from 25 ft
3:10.0,M. Conley makes 2-pt shot from 2 ft (assist by C. Lee),2,34-37,,
3:04.0,,,34-39,2,C. Paul makes 2-pt shot from 3 ft
2:58.0,Memphis full timeout,,34-39,,
2:58.0,Z. Randolph enters the game for J. Leuer,,34-39,,
2:50.0,C. Lee makes 2-pt shot from 18 ft (assist by M. Conley),2,36-39,,
2:32.0,,,36-39,,S. Hawes misses 2-pt shot from 21 ft
2:31.0,Defensive rebound by M. Gasol,,36-39,,
2:22.0,Turnover by M. Conley (bad pass),,36-39,,
2:16.0,,,36-41,2,C. Paul makes 2-pt shot from 12 ft
1:59.0,M. Conley misses 3-pt shot from 27 ft,,36-41,,
1:58.0,,,36-41,,Defensive rebound by D. Jordan
1:53.0,,,36-43,2,S. Hawes makes 2-pt shot from 1 ft (assist by C. Paul)
1:30.0,C. Lee misses 2-pt shot from 20 ft,,36-43,,
1:29.0,Offensive rebound by J. Green,,36-43,,
1:16.0,M. Conley misses 2-pt shot from 1 ft,,36-43,,
1:14.0,,,36-43,,Defensive rebound by D. Jordan
1:08.0,,,36-43,,Turnover by M. Barnes (bad pass; steal by M. Gasol)
1:04.0,Turnover by M. Gasol (bad pass; steal by C. Paul),,36-43,,
1:02.0,,,36-43,,C. Paul misses 2-pt shot from 13 ft
1:00.0,Defensive rebound by J. Green,,36-43,,
0:58.0,Turnover by J. Green (lost ball; steal by C. Paul),,36-43,,
0:51.0,,,36-43,,LA Clippers full timeout
0:51.0,,,36-43,,G. Davis enters the game for D. Jordan
0:37.0,,,36-43,,Shooting foul by C. Lee (drawn by J. Redick)
0:37.0,,,36-43,,J. Redick misses free throw 1 of 2
0:37.0,,,36-43,,Offensive rebound by Team
0:37.0,,,36-44,1,J. Redick makes free throw 2 of 2
0:29.0,Shooting foul by G. Davis (drawn by M. Gasol),,36-44,,
0:29.0,M. Gasol makes free throw 1 of 2,1,37-44,,
0:29.0,T. Allen enters the game for C. Lee,,37-44,,
0:29.0,,,37-44,,J. Crawford enters the game for M. Barnes
0:29.0,M. Gasol makes free throw 2 of 2,1,38-44,,
0:06.0,,,38-44,,C. Paul misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by T. Allen,,38-44,,
0:02.0,Z. Randolph misses 2-pt shot from 21 ft,,38-44,,
0:00.0,Offensive rebound by Team,,38-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,38-44,,J. Redick misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by M. Conley,,38-44,,
11:29.0,M. Gasol makes 2-pt shot from 17 ft (assist by Z. Randolph),2,40-44,,
11:15.0,,,40-47,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick)
10:57.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,42-47,,
10:32.0,,,42-47,,J. Redick misses 3-pt shot from 28 ft
10:30.0,Defensive rebound by Z. Randolph,,42-47,,
10:17.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,44-47,,
10:06.0,,,44-49,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:40.0,J. Green makes 3-pt shot from 22 ft (assist by M. Conley),3,47-49,,
9:27.0,,,47-49,,J. Redick misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by Z. Randolph,,47-49,,
9:16.0,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley),2,49-49,,
9:00.0,,,49-49,,M. Barnes misses 3-pt shot from 27 ft
8:58.0,Defensive rebound by Z. Randolph,,49-49,,
8:49.0,,,49-49,,Personal foul by S. Hawes (drawn by M. Gasol)
8:44.0,Turnover by M. Gasol (bad pass; steal by J. Redick),,49-49,,
8:38.0,,,49-52,3,M. Barnes makes 3-pt shot from 26 ft (assist by C. Paul)
8:11.0,M. Conley makes 3-pt shot from 29 ft,3,52-52,,
7:42.0,,,52-52,,M. Barnes misses 3-pt shot from 28 ft
7:40.0,Defensive rebound by M. Conley,,52-52,,
7:36.0,Turnover by J. Green (traveling),,52-52,,
7:15.0,,,52-54,2,S. Hawes makes 2-pt shot from 17 ft (assist by C. Paul)
6:54.0,,,52-54,,Personal foul by J. Redick (drawn by M. Conley)
6:43.0,Shooting foul by S. Hawes (drawn by Z. Randolph),,52-54,,
6:43.0,Z. Randolph misses free throw 1 of 2,,52-54,,
6:43.0,Offensive rebound by Team,,52-54,,
6:43.0,Z. Randolph makes free throw 2 of 2,1,53-54,,
6:35.0,,,53-54,,J. Redick misses 2-pt shot from 2 ft (block by M. Gasol)
6:34.0,Defensive rebound by M. Gasol,,53-54,,
6:27.0,C. Lee misses 2-pt shot from 16 ft,,53-54,,
6:25.0,,,53-54,,Defensive rebound by M. Barnes
6:12.0,,,53-54,,S. Hawes misses 2-pt shot from 20 ft
6:11.0,,,53-54,,Offensive rebound by D. Jordan
6:07.0,,,53-56,2,D. Jordan makes 2-pt shot from 11 ft
5:50.0,Shooting foul by S. Hawes (drawn by M. Conley),,53-56,,
5:50.0,,,53-56,,LA Clippers full timeout
5:50.0,M. Conley makes free throw 1 of 2,1,54-56,,
5:50.0,M. Conley makes free throw 2 of 2,1,55-56,,
5:39.0,,,55-56,,S. Hawes misses 3-pt shot from 22 ft
