time,Milwaukee,pts.away,score,pts.home,Charlotte
0:55.0,,,63-57,,Violation by G. Neal (kicked ball)
0:51.0,O. Mayo misses 2-pt shot from 18 ft,,63-57,,
0:50.0,,,63-57,,Defensive rebound by C. Zeller
0:40.0,,,63-59,2,K. Walker makes 2-pt shot at rim
0:32.0,J. Bayless makes 2-pt shot from 18 ft,2,65-59,,
0:14.0,,,65-59,,Shooting foul by J. Dudley (drawn by G. Neal)
0:14.0,,,65-60,1,G. Neal makes free throw 1 of 2
0:14.0,,,65-61,1,G. Neal makes free throw 2 of 2
0:00.0,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless),3,68-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,68-61,,G. Neal misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by J. Dudley,,68-61,,
11:39.0,J. Bayless misses 2-pt shot from 1 ft,,68-61,,
11:36.0,,,68-61,,Defensive rebound by G. Neal
11:31.0,,,68-61,,G. Neal misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by J. Bayless,,68-61,,
11:15.0,O. Mayo misses 3-pt shot from 25 ft,,68-61,,
11:14.0,,,68-61,,Defensive rebound by M. Williams
10:59.0,,,68-64,3,P. Hairston makes 3-pt shot from 26 ft (assist by K. Walker)
10:32.0,J. Dudley makes 2-pt shot from 19 ft (assist by K. Marshall),2,70-64,,
10:16.0,,,70-64,,G. Neal misses 3-pt shot from 27 ft
10:14.0,Defensive rebound by J. Dudley,,70-64,,
10:03.0,J. Henson makes 2-pt shot from 2 ft (assist by O. Mayo),2,72-64,,
9:39.0,,,72-66,2,G. Neal makes 2-pt shot from 1 ft
9:28.0,Shooting foul by C. Zeller (drawn by J. Henson),,72-66,,
9:28.0,J. Henson makes free throw 1 of 2,1,73-66,,
9:28.0,J. Henson makes free throw 2 of 2,1,74-66,,
9:16.0,,,74-66,,C. Zeller misses 2-pt shot from 2 ft (block by J. Henson)
9:14.0,Defensive rebound by J. Dudley,,74-66,,
9:00.0,J. Dudley misses 3-pt shot from 23 ft,,74-66,,
8:59.0,,,74-66,,Defensive rebound by P. Hairston
8:52.0,,,74-66,,K. Walker misses 2-pt shot from 16 ft
8:52.0,,,74-66,,Offensive rebound by Team
8:52.0,Loose ball foul by K. Marshall (drawn by C. Zeller),,74-66,,
8:52.0,Official timeout,,74-66,,
8:52.0,G. Antetokounmpo enters the game for J. Dudley,,74-66,,
8:52.0,,,74-66,,G. Henderson enters the game for C. Zeller
8:52.0,,,74-66,,A. Jefferson enters the game for P. Hairston
8:36.0,,,74-66,,Turnover by A. Jefferson (traveling)
8:18.0,J. Bayless misses 2-pt shot from 18 ft,,74-66,,
8:16.0,,,74-66,,Defensive rebound by M. Williams
8:03.0,,,74-66,,G. Neal misses 2-pt shot from 9 ft
8:03.0,Defensive rebound by Team,,74-66,,
8:03.0,,,74-66,,Loose ball foul by A. Jefferson (drawn by J. Henson)
7:51.0,O. Mayo misses 2-pt shot from 1 ft,,74-66,,
7:50.0,,,74-66,,Defensive rebound by A. Jefferson
7:34.0,,,74-66,,A. Jefferson misses 2-pt shot from 2 ft
7:32.0,,,74-66,,Offensive rebound by A. Jefferson
7:32.0,,,74-66,,A. Jefferson misses 2-pt shot at rim (block by G. Antetokounmpo)
7:30.0,,,74-66,,Offensive rebound by G. Neal
7:25.0,,,74-66,,G. Neal misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by G. Antetokounmpo,,74-66,,
7:18.0,O. Mayo makes 3-pt shot from 23 ft (assist by K. Marshall),3,77-66,,
7:10.0,,,77-66,,Charlotte full timeout
7:08.0,,,77-66,,B. Roberts enters the game for A. Jefferson
7:08.0,,,77-66,,C. Zeller enters the game for G. Neal
7:08.0,Z. Pachulia enters the game for J. Henson,,77-66,,
6:52.0,,,77-68,2,K. Walker makes 2-pt shot at rim (assist by G. Henderson)
6:52.0,,,77-68,,Shooting foul by J. Bayless (drawn by K. Walker)
6:52.0,,,77-69,1,K. Walker makes free throw 1 of 1
6:41.0,Turnover by K. Marshall (bad pass; steal by B. Roberts),,77-69,,
6:23.0,,,77-69,,K. Walker misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by G. Antetokounmpo,,77-69,,
6:04.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,79-69,,
5:55.0,Violation by Z. Pachulia (kicked ball),,79-69,,
5:39.0,,,79-72,3,B. Roberts makes 3-pt shot from 25 ft (assist by M. Williams)
5:29.0,Offensive foul by Z. Pachulia,,79-72,,
5:29.0,Turnover by J. Bayless (offensive foul),,79-72,,
5:29.0,B. Knight enters the game for K. Marshall,,79-72,,
5:14.0,,,79-74,2,G. Henderson makes 2-pt shot from 17 ft
4:55.0,O. Mayo misses 3-pt shot from 24 ft,,79-74,,
4:54.0,,,79-74,,Defensive rebound by Team
4:47.0,,,79-74,,Offensive foul by M. Williams
4:47.0,,,79-74,,Turnover by M. Williams (offensive foul)
4:47.0,J. Dudley enters the game for Z. Pachulia,,79-74,,
4:33.0,J. Bayless misses 3-pt shot from 23 ft,,79-74,,
4:32.0,,,79-74,,Defensive rebound by G. Henderson
4:26.0,,,79-74,,Turnover by K. Walker (lost ball; steal by J. Dudley)
4:17.0,J. Dudley misses 3-pt shot from 25 ft,,79-74,,
4:16.0,,,79-74,,Defensive rebound by M. Williams
4:01.0,,,79-76,2,G. Henderson makes 2-pt shot from 15 ft (assist by M. Williams)
3:39.0,B. Knight misses 3-pt shot from 26 ft,,79-76,,
3:38.0,,,79-76,,Defensive rebound by M. Williams
3:31.0,,,79-76,,Shooting foul by J. Bayless (drawn by K. Walker)
3:31.0,,,79-77,1,K. Walker makes free throw 1 of 2
3:31.0,K. Middleton enters the game for J. Bayless,,79-77,,
3:31.0,,,79-78,1,K. Walker makes free throw 2 of 2
