time,Milwaukee,pts.away,score,pts.home,Detroit
3:13.0,,,98-80,,D. Augustin enters the game for S. Dinwiddie
3:01.0,,,98-82,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Smith)
2:34.0,J. Bayless makes 3-pt shot from 26 ft (assist by E. Ilyasova),3,101-82,,
2:13.0,,,101-82,,K. Caldwell-Pope misses 2-pt shot from 5 ft
2:12.0,,,101-82,,Offensive rebound by A. Drummond
2:11.0,,,101-84,2,A. Drummond makes 2-pt shot at rim
1:53.0,Turnover by J. Dudley (palming),,101-84,,
1:53.0,Official timeout,,101-84,,
1:33.0,,,101-86,2,K. Singler makes 2-pt shot from 16 ft (assist by D. Augustin)
1:12.0,Turnover by J. Bayless (lost ball; steal by J. Smith),,101-86,,
1:08.0,,,101-88,2,K. Singler makes 2-pt shot at rim
0:47.0,J. Bayless makes 3-pt shot from 22 ft (assist by K. Marshall),3,104-88,,
0:39.0,Personal foul by K. Marshall (drawn by D. Augustin),,104-88,,
0:31.0,,,104-88,,A. Drummond misses 2-pt shot from 4 ft
0:30.0,Defensive rebound by E. Ilyasova,,104-88,,
0:10.0,J. Bayless misses 3-pt shot from 23 ft,,104-88,,
0:09.0,,,104-88,,Defensive rebound by A. Drummond
0:01.0,,,104-88,,K. Caldwell-Pope misses 2-pt shot from 7 ft (block by J. Dudley)
0:00.0,,,104-88,,Offensive rebound by K. Caldwell-Pope
0:00.0,End of 4th quarter,,,,End of 4th quarter
