time,Brooklyn,pts.away,score,pts.home,Atlanta
5:47.0,B. Bogdanovic misses 3-pt shot from 26 ft,,8-16,,
5:45.0,,,8-16,,Defensive rebound by A. Horford
5:33.0,,,8-16,,A. Horford misses 2-pt shot from 22 ft
5:33.0,Defensive rebound by Team,,8-16,,
5:33.0,,,8-16,,P. Antic enters the game for A. Horford
5:33.0,,,8-16,,K. Bazemore enters the game for K. Korver
5:18.0,Turnover by J. Johnson (lost ball; steal by D. Carroll),,8-16,,
5:13.0,,,8-18,2,D. Carroll makes 2-pt shot from 2 ft
4:57.0,D. Williams misses 3-pt shot from 23 ft,,8-18,,
4:55.0,,,8-18,,Defensive rebound by D. Carroll
4:49.0,,,8-21,3,J. Teague makes 3-pt shot from 25 ft
4:34.0,A. Anderson enters the game for B. Bogdanovic,,8-21,,
4:25.0,Shooting foul by P. Millsap (drawn by B. Lopez),,8-21,,
4:25.0,B. Lopez makes free throw 1 of 2,1,9-21,,
4:25.0,B. Lopez makes free throw 2 of 2,1,10-21,,
4:15.0,Personal foul by B. Lopez (drawn by J. Teague),,10-21,,
4:02.0,,,10-21,,P. Millsap misses 3-pt shot from 23 ft
3:58.0,,,10-21,,Offensive rebound by K. Bazemore
3:50.0,,,10-21,,K. Bazemore misses 2-pt shot from 3 ft
3:48.0,Defensive rebound by A. Anderson,,10-21,,
3:39.0,T. Young misses 2-pt shot from 2 ft,,10-21,,
3:38.0,,,10-21,,Defensive rebound by D. Carroll
3:35.0,,,10-21,,Atlanta full timeout
3:35.0,J. Jack enters the game for J. Johnson,,10-21,,
3:35.0,,,10-21,,D. Schroder enters the game for J. Teague
3:21.0,,,10-23,2,K. Bazemore makes 2-pt shot from 4 ft (assist by D. Schroder)
2:59.0,A. Anderson makes 2-pt shot from 19 ft,2,12-23,,
2:44.0,,,12-25,2,D. Schroder makes 2-pt shot from 2 ft (assist by P. Millsap)
2:30.0,J. Jack misses 2-pt shot from 13 ft,,12-25,,
2:29.0,,,12-25,,Defensive rebound by P. Antic
2:22.0,,,12-25,,D. Schroder misses 2-pt shot from 20 ft
2:21.0,Defensive rebound by T. Young,,12-25,,
2:13.0,B. Lopez makes 2-pt shot from 9 ft (assist by D. Williams),2,14-25,,
1:54.0,,,14-25,,K. Bazemore misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by D. Williams,,14-25,,
1:46.0,D. Williams misses 2-pt shot from 18 ft,,14-25,,
1:44.0,,,14-25,,Defensive rebound by D. Schroder
1:27.0,,,14-27,2,P. Millsap makes 2-pt shot from 19 ft
1:09.0,T. Young makes 2-pt shot from 2 ft (assist by D. Williams),2,16-27,,
0:51.0,,,16-27,,K. Bazemore misses 3-pt shot from 24 ft
0:49.0,,,16-27,,Offensive rebound by Team
0:49.0,,,16-27,,K. Korver enters the game for D. Carroll
0:49.0,,,16-27,,A. Horford enters the game for P. Millsap
0:49.0,M. Plumlee enters the game for B. Lopez,,16-27,,
0:42.0,,,16-30,3,P. Antic makes 3-pt shot from 24 ft (assist by D. Schroder)
0:30.0,J. Jack misses 2-pt shot from 13 ft,,16-30,,
0:29.0,,,16-30,,Defensive rebound by K. Korver
0:11.0,,,16-30,,Turnover by D. Schroder (lost ball; steal by M. Plumlee)
0:07.0,Turnover by M. Plumlee (lost ball),,16-30,,
0:04.0,Personal foul by T. Young (drawn by D. Schroder),,16-30,,
0:04.0,,,16-30,,D. Carroll enters the game for K. Bazemore
0:00.0,,,16-33,3,D. Carroll makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,Turnover by Team (shot clock),,16-33,,
11:22.0,,,16-33,,K. Korver misses 3-pt shot from 23 ft (block by B. Bogdanovic)
11:20.0,Defensive rebound by J. Johnson,,16-33,,
11:06.0,B. Bogdanovic misses 3-pt shot from 24 ft,,16-33,,
11:05.0,,,16-33,,Defensive rebound by A. Horford
10:54.0,,,16-33,,P. Antic misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by A. Anderson,,16-33,,
10:41.0,J. Jack makes 2-pt shot from 16 ft,2,18-33,,
10:26.0,,,18-33,,M. Scott enters the game for P. Antic
10:18.0,,,18-33,,D. Schroder misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by J. Johnson,,18-33,,
9:54.0,A. Anderson makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,21-33,,
9:47.0,,,21-33,,K. Bazemore misses 2-pt shot from 3 ft (block by M. Plumlee)
9:47.0,,,21-33,,Offensive rebound by Team
9:47.0,,,21-33,,S. Mack enters the game for K. Bazemore
9:42.0,,,21-33,,Turnover by D. Schroder (bad pass)
9:25.0,A. Anderson makes 3-pt shot from 25 ft,3,24-33,,
9:18.0,,,24-33,,Atlanta full timeout
9:18.0,,,24-33,,J. Teague enters the game for D. Schroder
9:18.0,,,24-33,,D. Carroll enters the game for S. Mack
9:00.0,,,24-33,,D. Carroll misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by J. Jack,,24-33,,
8:38.0,J. Johnson makes 3-pt shot from 24 ft,3,27-33,,
8:17.0,Personal foul by B. Bogdanovic (drawn by J. Teague),,27-33,,
8:17.0,,,27-33,,P. Millsap enters the game for M. Scott
8:00.0,,,27-33,,J. Teague misses 3-pt shot from 26 ft
7:57.0,,,27-33,,Offensive rebound by P. Millsap
7:55.0,,,27-35,2,P. Millsap makes 2-pt shot from 1 ft
7:34.0,Shooting foul by A. Horford (drawn by J. Johnson),,27-35,,
7:34.0,J. Johnson makes free throw 1 of 2,1,28-35,,
7:34.0,J. Johnson misses free throw 2 of 2,,28-35,,
7:33.0,,,28-35,,Defensive rebound by A. Horford
7:18.0,,,28-37,2,D. Carroll makes 2-pt shot from 16 ft (assist by A. Horford)
7:01.0,J. Jack misses 2-pt shot from 10 ft,,28-37,,
7:00.0,,,28-37,,Defensive rebound by D. Carroll
6:48.0,,,28-37,,P. Millsap misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by J. Johnson,,28-37,,
6:40.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,30-37,,
6:22.0,,,30-40,3,J. Teague makes 3-pt shot from 25 ft (assist by K. Korver)
5:59.0,Turnover by J. Jack (lost ball; steal by J. Teague),,30-40,,
5:54.0,,,30-40,,Shooting foul by M. Plumlee (drawn by D. Carroll)
5:54.0,Official timeout,,30-40,,
5:54.0,D. Williams enters the game for B. Bogdanovic,,30-40,,
5:54.0,B. Lopez enters the game for M. Plumlee,,30-40,,
5:54.0,,,30-40,,P. Antic enters the game for A. Horford
5:54.0,,,30-40,,K. Bazemore enters the game for K. Korver
5:54.0,,,30-41,1,D. Carroll makes free throw 1 of 2
5:54.0,,,30-42,1,D. Carroll makes free throw 2 of 2
5:43.0,,,30-42,,Violation by J. Teague (kicked ball)
5:33.0,A. Anderson makes 2-pt shot from 16 ft (assist by J. Jack),2,32-42,,
5:16.0,,,32-42,,Turnover by P. Millsap (lost ball)
5:10.0,Shooting foul by P. Millsap (drawn by B. Lopez),,32-42,,
5:10.0,B. Lopez makes free throw 1 of 2,1,33-42,,
5:10.0,,,33-42,,K. Korver enters the game for K. Bazemore
5:10.0,B. Lopez makes free throw 2 of 2,1,34-42,,
4:59.0,,,34-42,,K. Korver misses 3-pt shot from 23 ft
4:57.0,Defensive rebound by J. Jack,,34-42,,
4:41.0,J. Jack misses 2-pt shot from 5 ft,,34-42,,
4:40.0,,,34-42,,Defensive rebound by P. Millsap
4:36.0,,,34-42,,Shooting foul by D. Williams (drawn by P. Antic)
4:36.0,,,34-43,1,P. Antic makes free throw 1 of 2
4:36.0,,,34-44,1,P. Antic makes free throw 2 of 2
4:18.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack),2,36-44,,
3:59.0,,,36-46,2,D. Carroll makes 2-pt shot from 2 ft (assist by K. Korver)
3:49.0,D. Williams misses 2-pt shot from 2 ft,,36-46,,
3:47.0,Offensive rebound by D. Williams,,36-46,,
3:47.0,D. Williams misses 2-pt shot from 1 ft,,36-46,,
3:46.0,,,36-46,,Defensive rebound by P. Antic
3:38.0,,,36-46,,J. Teague misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by A. Anderson,,36-46,,
3:22.0,B. Lopez misses 2-pt shot from 6 ft,,36-46,,
3:21.0,,,36-46,,Defensive rebound by P. Antic
3:11.0,,,36-46,,D. Carroll misses 2-pt shot from 6 ft
3:08.0,Defensive rebound by D. Williams,,36-46,,
3:03.0,D. Williams makes 2-pt shot from 7 ft,2,38-46,,
2:44.0,,,38-46,,J. Teague misses 2-pt shot from 7 ft (block by B. Lopez)
2:44.0,,,38-46,,Offensive rebound by Team
2:44.0,Brooklyn full timeout,,38-46,,
2:44.0,,,38-46,,A. Horford enters the game for P. Antic
2:44.0,T. Young enters the game for D. Williams,,38-46,,
2:39.0,,,38-46,,A. Horford misses 2-pt shot from 3 ft
2:37.0,Defensive rebound by B. Lopez,,38-46,,
2:23.0,Jump ball: A. Anderson vs. K. Korver (T. Young gains possession),,,,Jump ball: A. Anderson vs. K. Korver (T. Young gains possession)
2:13.0,T. Young misses 2-pt shot from 20 ft,,38-46,,
2:11.0,,,38-46,,Defensive rebound by A. Horford
2:03.0,,,38-46,,A. Horford misses 2-pt shot from 20 ft
2:01.0,Defensive rebound by A. Anderson,,38-46,,
1:44.0,B. Lopez misses 2-pt shot from 8 ft (block by A. Horford),,38-46,,
1:43.0,,,38-46,,Defensive rebound by K. Korver
1:38.0,,,38-48,2,J. Teague makes 2-pt shot from 8 ft
1:19.0,Turnover by A. Anderson (bad pass; steal by K. Korver),,38-48,,
1:14.0,,,38-48,,K. Korver misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by J. Jack,,38-48,,
1:07.0,A. Anderson makes 3-pt shot from 23 ft (assist by T. Young),3,41-48,,
1:07.0,Shooting foul by K. Korver (drawn by A. Anderson),,41-48,,
1:07.0,,,41-48,,P. Antic enters the game for P. Millsap
1:07.0,A. Anderson makes free throw 1 of 1,1,42-48,,
0:56.0,,,42-50,2,A. Horford makes 2-pt shot from 6 ft (assist by J. Teague)
0:39.0,B. Lopez misses 2-pt shot from 10 ft,,42-50,,
0:38.0,,,42-50,,Defensive rebound by K. Korver
0:27.0,,,42-53,3,D. Carroll makes 3-pt shot from 25 ft (assist by A. Horford)
0:17.0,Brooklyn full timeout,,42-53,,
0:17.0,,,42-53,,K. Bazemore enters the game for A. Horford
0:17.0,B. Bogdanovic enters the game for T. Young,,42-53,,
0:13.0,A. Anderson makes 2-pt shot at rim (assist by J. Jack),2,44-53,,
0:13.0,,,44-53,,Atlanta full timeout
0:13.0,,,44-53,,P. Millsap enters the game for P. Antic
0:13.0,,,44-53,,A. Horford enters the game for K. Bazemore
0:13.0,M. Plumlee enters the game for B. Lopez,,44-53,,
0:03.0,Personal take foul by J. Jack (drawn by J. Teague),,44-53,,
0:00.0,,,44-53,,P. Millsap misses 2-pt shot from 8 ft
0:00.0,,,44-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Anderson misses 2-pt shot from 15 ft,,44-53,,
11:45.0,Offensive rebound by A. Anderson,,44-53,,
11:45.0,A. Anderson makes 2-pt shot from 15 ft,2,46-53,,
11:25.0,,,46-53,,K. Korver misses 2-pt shot from 20 ft
11:22.0,Defensive rebound by J. Johnson,,46-53,,
11:08.0,D. Williams misses 2-pt shot from 4 ft,,46-53,,
11:05.0,,,46-53,,Defensive rebound by A. Horford
11:01.0,,,46-53,,D. Carroll misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by T. Young,,46-53,,
10:52.0,Turnover by D. Williams (bad pass; steal by J. Teague),,46-53,,
10:46.0,,,46-55,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
10:23.0,A. Anderson misses 2-pt shot from 3 ft,,46-55,,
10:21.0,,,46-55,,Defensive rebound by J. Teague
10:16.0,,,46-57,2,J. Teague makes 2-pt shot from 1 ft
10:16.0,Brooklyn full timeout,,46-57,,
10:06.0,J. Johnson misses 3-pt shot from 24 ft (block by A. Horford),,46-57,,
10:06.0,Offensive rebound by Team,,46-57,,
10:02.0,,,46-57,,Personal foul by J. Teague (drawn by D. Williams)
9:55.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Williams),2,48-57,,
9:51.0,,,48-57,,Atlanta full timeout
9:51.0,,,48-57,,D. Schroder enters the game for J. Teague
9:29.0,,,48-57,,Turnover by A. Horford (lost ball; steal by D. Williams)
9:25.0,,,48-57,,Personal foul by D. Schroder (drawn by D. Williams)
9:19.0,B. Lopez makes 2-pt shot from 4 ft,2,50-57,,
9:19.0,Shooting foul by A. Horford (drawn by B. Lopez),,50-57,,
9:19.0,B. Lopez makes free throw 1 of 1,1,51-57,,
9:00.0,,,51-59,2,P. Millsap makes 2-pt shot from 7 ft
8:48.0,T. Young misses 2-pt shot from 17 ft,,51-59,,
8:47.0,,,51-59,,Defensive rebound by A. Horford
8:38.0,Personal block foul by T. Young (drawn by P. Millsap),,51-59,,
8:30.0,,,51-62,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
8:14.0,B. Lopez misses 2-pt shot from 22 ft,,51-62,,
8:13.0,,,51-62,,Defensive rebound by K. Korver
7:54.0,,,51-62,,P. Millsap misses 2-pt shot from 1 ft (block by B. Lopez)
7:52.0,,,51-62,,Offensive rebound by A. Horford
7:51.0,,,51-64,2,A. Horford makes 2-pt shot at rim
7:32.0,T. Young makes 2-pt shot from 9 ft (assist by D. Williams),2,53-64,,
7:18.0,Personal foul by D. Williams (drawn by K. Korver),,53-64,,
7:18.0,,,53-64,,J. Teague enters the game for D. Schroder
7:10.0,,,53-64,,P. Millsap misses 2-pt shot from 20 ft
7:08.0,Defensive rebound by J. Johnson,,53-64,,
6:59.0,J. Johnson makes 2-pt shot from 19 ft,2,55-64,,
6:43.0,,,55-66,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
6:29.0,,,55-66,,Def 3 sec tech foul by A. Horford
6:29.0,D. Williams makes technical free throw,1,56-66,,
6:18.0,Turnover by B. Lopez (bad pass; steal by D. Carroll),,56-66,,
6:17.0,,,56-66,,Shooting foul by J. Johnson (drawn by D. Carroll)
6:17.0,,,56-66,,P. Antic enters the game for A. Horford
6:17.0,,,56-66,,D. Carroll misses free throw 1 of 2
6:17.0,,,56-66,,Offensive rebound by Team
6:17.0,,,56-67,1,D. Carroll makes free throw 2 of 2
6:02.0,T. Young misses 2-pt shot from 3 ft (block by P. Antic),,56-67,,
6:00.0,Offensive rebound by T. Young,,56-67,,
5:59.0,T. Young makes 2-pt shot at rim,2,58-67,,
5:45.0,,,58-70,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll)
5:24.0,D. Williams makes 2-pt shot from 18 ft (assist by J. Johnson),2,60-70,,
4:55.0,,,60-73,3,P. Antic makes 3-pt shot from 23 ft (assist by J. Teague)
4:36.0,D. Williams misses 3-pt shot from 25 ft,,60-73,,
4:34.0,,,60-73,,Defensive rebound by P. Antic
4:23.0,,,60-73,,J. Teague misses 2-pt shot from 2 ft
4:21.0,Defensive rebound by B. Lopez,,60-73,,
4:05.0,Shooting foul by P. Antic (drawn by T. Young),,60-73,,
4:05.0,T. Young makes free throw 1 of 2,1,61-73,,
4:05.0,J. Jack enters the game for D. Williams,,61-73,,
4:05.0,,,61-73,,K. Bazemore enters the game for D. Carroll
4:05.0,B. Bogdanovic enters the game for J. Johnson,,61-73,,
4:05.0,T. Young misses free throw 2 of 2,,61-73,,
4:03.0,,,61-73,,Defensive rebound by Team
3:46.0,,,61-73,,J. Teague misses 2-pt shot from 2 ft
3:46.0,,,61-73,,Offensive rebound by Team
3:46.0,Loose ball foul by A. Anderson (drawn by P. Antic),,61-73,,
3:46.0,J. Johnson enters the game for T. Young,,61-73,,
3:39.0,,,61-73,,K. Korver misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by A. Anderson,,61-73,,
3:23.0,A. Anderson makes 3-pt shot from 25 ft (assist by J. Jack),3,64-73,,
3:12.0,Personal foul by A. Anderson (drawn by J. Teague),,64-73,,
3:12.0,,,64-73,,J. Teague misses free throw 1 of 2
3:12.0,,,64-73,,Offensive rebound by Team
3:12.0,T. Young enters the game for B. Lopez,,64-73,,
3:12.0,,,64-74,1,J. Teague makes free throw 2 of 2
2:55.0,J. Johnson misses 3-pt shot from 23 ft,,64-74,,
2:54.0,,,64-74,,Defensive rebound by K. Bazemore
2:39.0,,,64-77,3,K. Korver makes 3-pt shot from 27 ft (assist by P. Antic)
2:13.0,B. Bogdanovic misses 2-pt shot from 3 ft,,64-77,,
2:12.0,,,64-77,,Defensive rebound by K. Korver
1:57.0,,,64-77,,Shooting foul by J. Johnson (drawn by P. Millsap)
1:57.0,,,64-77,,P. Millsap misses free throw 1 of 2
1:57.0,,,64-77,,Offensive rebound by Team
1:57.0,,,64-77,,D. Schroder enters the game for J. Teague
1:57.0,,,64-77,,D. Carroll enters the game for K. Korver
1:57.0,,,64-78,1,P. Millsap makes free throw 2 of 2
1:37.0,A. Anderson makes 2-pt shot from 1 ft,2,66-78,,
1:23.0,,,66-80,2,D. Schroder makes 2-pt shot from 1 ft
1:13.0,,,66-80,,A. Horford enters the game for P. Millsap
1:11.0,Shooting foul by D. Schroder (drawn by J. Jack),,66-80,,
1:11.0,J. Jack makes free throw 1 of 2,1,67-80,,
1:11.0,B. Lopez enters the game for T. Young,,67-80,,
1:11.0,J. Jack makes free throw 2 of 2,1,68-80,,
1:02.0,,,68-80,,Shooting foul by J. Jack (drawn by D. Schroder)
1:02.0,,,68-81,1,D. Schroder makes free throw 1 of 2
1:02.0,,,68-82,1,D. Schroder makes free throw 2 of 2
0:48.0,Turnover by A. Anderson (bad pass),,68-82,,
0:32.0,,,68-82,,Turnover by D. Schroder (bad pass; steal by J. Jack)
0:10.0,J. Jack makes 2-pt shot from 19 ft,2,70-82,,
0:01.0,,,70-82,,A. Horford misses 2-pt shot from 16 ft (block by B. Lopez)
0:01.0,,,70-82,,Offensive rebound by A. Horford
0:00.0,,,70-82,,A. Horford misses 2-pt shot from 16 ft
0:00.0,,,70-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,70-82,,A. Horford misses 2-pt shot from 2 ft
11:35.0,Defensive rebound by B. Bogdanovic,,70-82,,
11:20.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Jack),2,72-82,,
11:07.0,,,72-82,,Shooting foul by J. Johnson (drawn by P. Millsap)
11:07.0,,,72-82,,P. Millsap misses free throw 1 of 2
11:07.0,,,72-82,,Offensive rebound by Team
11:07.0,,,72-82,,P. Millsap misses free throw 2 of 2
11:06.0,Defensive rebound by B. Lopez,,72-82,,
10:45.0,J. Johnson makes 2-pt shot from 21 ft,2,74-82,,
10:17.0,,,74-82,,K. Korver misses 3-pt shot from 25 ft
10:16.0,,,74-82,,Offensive rebound by P. Millsap
10:04.0,,,74-82,,Turnover by A. Horford (lost ball)
9:53.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Williams),3,77-82,,
9:46.0,,,77-82,,Atlanta full timeout
9:31.0,,,77-82,,Turnover by J. Teague (bad pass)
9:19.0,J. Jack makes 2-pt shot from 16 ft (assist by B. Lopez),2,79-82,,
8:56.0,,,79-82,,P. Millsap misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by B. Bogdanovic,,79-82,,
8:31.0,B. Lopez misses 2-pt shot from 23 ft,,79-82,,
8:30.0,,,79-82,,Defensive rebound by D. Carroll
8:22.0,,,79-82,,Turnover by J. Teague (bad pass; steal by J. Jack)
8:19.0,Turnover by D. Williams (lost ball; steal by A. Horford),,79-82,,
8:14.0,,,79-84,2,A. Horford makes 2-pt shot from 2 ft
7:59.0,J. Johnson misses 3-pt shot from 23 ft,,79-84,,
7:56.0,,,79-84,,Defensive rebound by Team
7:47.0,,,79-84,,K. Korver misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by D. Williams,,79-84,,
7:31.0,B. Lopez misses 2-pt shot from 10 ft,,79-84,,
7:30.0,,,79-84,,Defensive rebound by P. Millsap
7:18.0,,,79-84,,D. Carroll misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by D. Williams,,79-84,,
7:09.0,J. Jack makes 3-pt shot from 25 ft (assist by D. Williams),3,82-84,,
6:49.0,,,82-87,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
6:32.0,B. Bogdanovic misses 3-pt shot from 24 ft,,82-87,,
6:30.0,Offensive rebound by D. Williams,,82-87,,
6:27.0,J. Johnson misses 3-pt shot from 25 ft,,82-87,,
6:26.0,,,82-87,,Defensive rebound by A. Horford
6:17.0,,,82-87,,D. Carroll misses 3-pt shot from 25 ft
6:15.0,,,82-87,,Offensive rebound by A. Horford
6:06.0,,,82-87,,Offensive foul by A. Horford
6:06.0,,,82-87,,Turnover by A. Horford (offensive foul)
6:06.0,Brooklyn full timeout,,82-87,,
5:53.0,J. Jack makes 3-pt shot from 25 ft,3,85-87,,
5:34.0,,,85-90,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
5:15.0,J. Jack makes 2-pt shot from 14 ft,2,87-90,,
4:53.0,,,87-90,,P. Millsap misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by J. Jack,,87-90,,
4:41.0,J. Jack makes 2-pt shot from 7 ft,2,89-90,,
4:24.0,,,89-93,3,J. Teague makes 3-pt shot from 24 ft
4:01.0,Turnover by J. Jack (lost ball; steal by J. Teague),,89-93,,
3:55.0,,,89-93,,D. Carroll misses 2-pt shot from 2 ft
3:53.0,,,89-93,,Offensive rebound by A. Horford
3:48.0,,,89-95,2,D. Carroll makes 2-pt shot from 2 ft (assist by P. Millsap)
3:48.0,Brooklyn full timeout,,89-95,,
3:34.0,B. Lopez misses 2-pt shot from 12 ft,,89-95,,
3:32.0,,,89-95,,Defensive rebound by J. Teague
3:30.0,Personal foul by D. Williams (drawn by J. Teague),,89-95,,
3:30.0,A. Anderson enters the game for D. Williams,,89-95,,
3:19.0,,,89-95,,K. Korver misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by A. Anderson,,89-95,,
3:00.0,J. Johnson makes 3-pt shot from 25 ft (assist by B. Lopez),3,92-95,,
2:39.0,,,92-97,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
2:20.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack),3,95-97,,
2:11.0,Personal foul by B. Lopez (drawn by A. Horford),,95-97,,
2:11.0,,,95-97,,Atlanta full timeout
2:05.0,,,95-97,,Turnover by P. Millsap (traveling)
1:45.0,J. Johnson misses 2-pt shot from 1 ft,,95-97,,
1:44.0,,,95-97,,Defensive rebound by P. Millsap
1:32.0,,,95-99,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
1:18.0,Turnover by J. Jack (traveling),,95-99,,
1:07.0,,,95-101,2,J. Teague makes 2-pt shot at rim
1:07.0,Brooklyn full timeout,,95-101,,
1:07.0,D. Williams enters the game for B. Bogdanovic,,95-101,,
1:00.0,J. Jack misses 3-pt shot from 26 ft,,95-101,,
0:58.0,,,95-101,,Defensive rebound by P. Millsap
0:42.0,,,95-103,2,J. Teague makes 2-pt shot from 6 ft
0:34.0,J. Johnson makes 2-pt shot from 5 ft,2,97-103,,
0:30.0,Personal take foul by J. Jack (drawn by K. Korver),,97-103,,
0:30.0,B. Bogdanovic enters the game for D. Williams,,97-103,,
0:30.0,Personal take foul by J. Jack (drawn by K. Korver),,97-103,,
0:30.0,,,97-104,1,J. Teague makes free throw 1 of 2
0:30.0,,,97-105,1,J. Teague makes free throw 2 of 2
0:24.0,J. Jack misses 2-pt shot from 1 ft,,97-105,,
0:23.0,,,97-105,,Defensive rebound by D. Carroll
0:20.0,Personal take foul by A. Anderson (drawn by D. Carroll),,97-105,,
0:20.0,,,97-106,1,D. Carroll makes free throw 1 of 2
0:20.0,,,97-106,,P. Antic enters the game for A. Horford
0:20.0,,,97-106,,K. Bazemore enters the game for K. Korver
0:20.0,,,97-107,1,D. Carroll makes free throw 2 of 2
0:14.0,J. Johnson misses 3-pt shot from 29 ft,,97-107,,
0:13.0,,,97-107,,Defensive rebound by D. Carroll
0:00.0,End of 4th quarter,,,,End of 4th quarter
