time,Indiana,pts.away,score,pts.home,New York
8:39.0,,,29-24,2,A. Bargnani makes 2-pt shot at rim
8:39.0,,,29-24,,Shooting foul by I. Mahinmi (drawn by A. Bargnani)
8:39.0,Official timeout,,29-24,,
8:39.0,,,29-24,,L. Galloway enters the game for S. Larkin
8:39.0,,,29-25,1,A. Bargnani makes free throw 1 of 1
8:17.0,Shooting foul by T. Hardaway (drawn by R. Stuckey),,29-25,,
8:17.0,R. Stuckey makes free throw 1 of 2,1,30-25,,
8:17.0,R. Stuckey makes free throw 2 of 2,1,31-25,,
7:55.0,,,31-25,,Turnover by T. Wear (bad pass; steal by R. Stuckey)
7:50.0,R. Stuckey misses 2-pt shot from 5 ft,,31-25,,
7:49.0,,,31-25,,Defensive rebound by Q. Acy
7:44.0,,,31-25,,Shooting foul by D. Rudez (drawn by L. Galloway)
7:44.0,,,31-25,,L. Galloway misses free throw 1 of 2
7:44.0,,,31-25,,Offensive rebound by Team
7:44.0,,,31-25,,L. Galloway misses free throw 2 of 2
7:43.0,Defensive rebound by D. Rudez,,31-25,,
7:22.0,Turnover by D. Rudez (traveling),,31-25,,
7:03.0,,,31-25,,T. Wear misses 2-pt shot from 2 ft
7:02.0,Defensive rebound by R. Stuckey,,31-25,,
6:47.0,L. Scola misses 2-pt shot from 13 ft,,31-25,,
6:46.0,,,31-25,,Defensive rebound by Team
6:46.0,Loose ball foul by I. Mahinmi (drawn by Q. Acy),,31-25,,
6:46.0,,,31-26,1,Q. Acy makes free throw 1 of 2
6:46.0,R. Hibbert enters the game for I. Mahinmi,,31-26,,
6:46.0,,,31-26,,C. Early enters the game for T. Wear
6:46.0,,,31-27,1,Q. Acy makes free throw 2 of 2
6:34.0,C. Watson misses 2-pt shot from 2 ft (block by A. Bargnani),,31-27,,
6:33.0,,,31-27,,Defensive rebound by Team
6:33.0,,,31-27,,J. Smith enters the game for Q. Acy
6:16.0,,,31-29,2,C. Early makes 2-pt shot from 14 ft
5:53.0,Turnover by R. Hibbert (3 sec),,31-29,,
5:53.0,,,31-29,,New York full timeout
5:42.0,,,31-29,,Offensive foul by L. Galloway
5:42.0,,,31-29,,Turnover by L. Galloway (offensive foul)
5:26.0,L. Scola misses 2-pt shot from 19 ft,,31-29,,
5:25.0,,,31-29,,Defensive rebound by A. Bargnani
5:19.0,,,31-29,,T. Hardaway misses 2-pt shot from 2 ft
5:18.0,Defensive rebound by R. Stuckey,,31-29,,
4:58.0,R. Stuckey makes 2-pt shot from 1 ft,2,33-29,,
4:43.0,,,33-29,,J. Smith misses 2-pt shot from 13 ft
4:42.0,Defensive rebound by R. Hibbert,,33-29,,
4:26.0,L. Scola misses 2-pt shot from 4 ft,,33-29,,
4:25.0,,,33-29,,Defensive rebound by T. Hardaway
4:15.0,,,33-29,,A. Bargnani misses 2-pt shot from 4 ft
4:14.0,Defensive rebound by R. Hibbert,,33-29,,
4:13.0,,,33-29,,Personal foul by A. Bargnani (drawn by R. Hibbert)
4:13.0,C. Miles enters the game for C. Watson,,33-29,,
4:13.0,G. Hill enters the game for D. Rudez,,33-29,,
4:13.0,,,33-29,,A. Shved enters the game for T. Hardaway
4:00.0,L. Scola misses 2-pt shot from 16 ft,,33-29,,
3:59.0,,,33-29,,Defensive rebound by C. Early
3:44.0,,,33-29,,Shooting foul by C. Miles (drawn by A. Shved)
3:44.0,,,33-30,1,A. Shved makes free throw 1 of 2
3:44.0,D. West enters the game for L. Scola,,33-30,,
3:44.0,,,33-31,1,A. Shved makes free throw 2 of 2
3:44.0,Indiana full timeout,,33-31,,
3:30.0,C. Miles misses 3-pt shot from 26 ft,,33-31,,
3:29.0,,,33-31,,Defensive rebound by L. Galloway
3:11.0,,,33-33,2,J. Smith makes 2-pt shot from 11 ft (assist by C. Early)
2:50.0,R. Stuckey misses 2-pt shot from 10 ft,,33-33,,
2:49.0,,,33-33,,Defensive rebound by L. Galloway
2:39.0,,,33-35,2,A. Bargnani makes 2-pt shot from 20 ft (assist by L. Galloway)
2:13.0,R. Stuckey makes 3-pt shot from 22 ft (assist by G. Hill),3,36-35,,
2:00.0,,,36-37,2,A. Bargnani makes 2-pt shot from 11 ft (assist by L. Galloway)
1:40.0,C. Miles misses 2-pt shot from 19 ft,,36-37,,
1:39.0,,,36-37,,Defensive rebound by A. Bargnani
1:20.0,,,36-39,2,C. Early makes 2-pt shot from 11 ft
1:13.0,,,36-39,,Personal foul by J. Smith (drawn by D. West)
1:13.0,S. Hill enters the game for R. Stuckey,,36-39,,
1:13.0,,,36-39,,C. Aldrich enters the game for J. Smith
1:08.0,C. Miles misses 2-pt shot from 3 ft,,36-39,,
1:07.0,,,36-39,,Defensive rebound by C. Aldrich
1:00.0,,,36-39,,A. Shved misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by R. Hibbert,,36-39,,
0:49.0,R. Hibbert misses 2-pt shot from 2 ft,,36-39,,
0:48.0,,,36-39,,Defensive rebound by C. Aldrich
0:31.0,,,36-39,,C. Early misses 3-pt shot from 26 ft
0:30.0,,,36-39,,Offensive rebound by Team
0:30.0,Loose ball foul by G. Hill (drawn by A. Shved),,36-39,,
0:30.0,,,36-40,1,A. Shved makes free throw 1 of 2
0:30.0,,,36-40,,S. Larkin enters the game for L. Galloway
0:30.0,,,36-41,1,A. Shved makes free throw 2 of 2
0:09.0,R. Hibbert misses 2-pt shot from 7 ft,,36-41,,
0:08.0,Offensive rebound by S. Hill,,36-41,,
0:08.0,S. Hill misses 2-pt shot from 1 ft,,36-41,,
0:06.0,Offensive rebound by Team,,36-41,,
0:06.0,,,36-41,,Loose ball foul by A. Bargnani (drawn by D. West)
0:06.0,D. West makes free throw 1 of 2,1,37-41,,
0:06.0,I. Mahinmi enters the game for R. Hibbert,,37-41,,
0:06.0,D. West makes free throw 2 of 2,1,38-41,,
0:05.0,,,38-41,,New York full timeout
0:05.0,R. Hibbert enters the game for S. Hill,,38-41,,
0:05.0,,,38-41,,Q. Acy enters the game for C. Aldrich
0:03.0,,,38-41,,Q. Acy misses 3-pt shot from 48 ft
0:02.0,,,38-41,,Offensive rebound by C. Early
0:01.0,,,38-41,,Shooting foul by C. Miles (drawn by C. Early)
0:01.0,,,38-42,1,C. Early makes free throw 1 of 2
0:01.0,,,38-43,1,C. Early makes free throw 2 of 2
0:01.0,C. Miles misses 3-pt shot from 52 ft,,38-43,,
0:00.0,Offensive rebound by Team,,38-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by R. Hibbert (traveling),,38-43,,
11:30.0,,,38-43,,T. Hardaway misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by G. Hill,,38-43,,
11:19.0,Turnover by G. Hill (bad pass; steal by L. Galloway),,38-43,,
11:02.0,Personal foul by R. Hibbert (drawn by J. Smith),,38-43,,
10:56.0,Personal foul by G. Hill (drawn by A. Bargnani),,38-43,,
10:48.0,Personal foul by G. Hill (drawn by L. Galloway),,38-43,,
10:38.0,,,38-43,,Offensive foul by A. Bargnani
10:38.0,,,38-43,,Turnover by A. Bargnani (offensive foul)
10:20.0,C. Miles misses 3-pt shot from 25 ft,,38-43,,
10:19.0,Offensive rebound by R. Hibbert,,38-43,,
10:18.0,,,38-43,,Personal foul by J. Smith (drawn by R. Hibbert)
10:18.0,,,38-43,,C. Aldrich enters the game for J. Smith
10:12.0,C. Miles makes 2-pt shot at rim (assist by D. West),2,40-43,,
9:55.0,,,40-43,,C. Early misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by R. Hibbert,,40-43,,
9:44.0,S. Hill misses 2-pt shot at rim,,40-43,,
9:43.0,,,40-43,,Defensive rebound by L. Galloway
9:39.0,,,40-43,,Shooting foul by C. Miles (drawn by L. Galloway)
9:39.0,,,40-44,1,L. Galloway makes free throw 1 of 2
9:39.0,,,40-45,1,L. Galloway makes free throw 2 of 2
9:31.0,,,40-45,,Personal foul by L. Galloway (drawn by G. Hill)
9:25.0,G. Hill misses 3-pt shot from 25 ft,,40-45,,
9:24.0,Offensive rebound by R. Hibbert,,40-45,,
9:23.0,R. Hibbert misses 2-pt shot from 2 ft,,40-45,,
9:22.0,,,40-45,,Defensive rebound by C. Aldrich
9:10.0,,,40-45,,Turnover by C. Early (traveling)
8:54.0,G. Hill makes 2-pt shot at rim,2,42-45,,
8:38.0,,,42-47,2,A. Bargnani makes 2-pt shot from 20 ft
8:18.0,D. West misses 2-pt shot from 18 ft,,42-47,,
8:17.0,Offensive rebound by Team,,42-47,,
8:15.0,C. Miles misses 2-pt shot from 14 ft,,42-47,,
8:14.0,,,42-47,,Defensive rebound by A. Bargnani
8:01.0,,,42-47,,C. Aldrich misses 2-pt shot from 4 ft
8:00.0,Defensive rebound by G. Hill,,42-47,,
7:56.0,Shooting foul by T. Hardaway (drawn by G. Hill),,42-47,,
7:56.0,G. Hill makes free throw 1 of 2,1,43-47,,
7:56.0,G. Hill makes free throw 2 of 2,1,44-47,,
7:43.0,,,44-49,2,C. Aldrich makes 2-pt shot from 3 ft (assist by T. Hardaway)
7:33.0,Shooting foul by C. Aldrich (drawn by G. Hill),,44-49,,
7:33.0,G. Hill makes free throw 1 of 2,1,45-49,,
7:33.0,G. Hill makes free throw 2 of 2,1,46-49,,
7:15.0,,,46-51,2,A. Bargnani makes 2-pt shot from 17 ft (assist by L. Galloway)
6:56.0,D. West makes 2-pt shot from 18 ft (assist by G. Hill),2,48-51,,
6:41.0,,,48-51,,Offensive foul by A. Bargnani
6:41.0,,,48-51,,Turnover by A. Bargnani (offensive foul)
6:41.0,,,48-51,,Q. Acy enters the game for A. Bargnani
6:29.0,D. West makes 2-pt shot from 18 ft (assist by S. Hill),2,50-51,,
6:18.0,,,50-51,,T. Hardaway misses 2-pt shot from 4 ft (block by D. West)
6:17.0,Defensive rebound by S. Hill,,50-51,,
6:08.0,G. Hill misses 3-pt shot from 23 ft,,50-51,,
6:07.0,Offensive rebound by D. West,,50-51,,
6:02.0,D. West makes 2-pt shot from 16 ft (assist by C. Miles),2,52-51,,
5:53.0,,,52-51,,New York full timeout
5:53.0,,,52-51,,S. Larkin enters the game for L. Galloway
5:39.0,,,52-53,2,S. Larkin makes 2-pt shot from 7 ft
5:19.0,C. Miles misses 2-pt shot from 3 ft (block by T. Hardaway),,52-53,,
5:17.0,,,52-53,,Defensive rebound by C. Aldrich
5:07.0,,,52-53,,C. Early misses 2-pt shot from 2 ft (block by R. Hibbert)
5:06.0,Defensive rebound by S. Hill,,52-53,,
4:51.0,C. Miles makes 2-pt shot from 2 ft,2,54-53,,
4:39.0,,,54-53,,T. Hardaway misses 2-pt shot from 18 ft
4:38.0,Defensive rebound by D. West,,54-53,,
4:34.0,,,54-53,,Personal foul by C. Aldrich (drawn by R. Hibbert)
4:34.0,R. Hibbert misses free throw 1 of 2,,54-53,,
4:34.0,Offensive rebound by Team,,54-53,,
4:34.0,,,54-53,,L. Thomas enters the game for C. Early
4:34.0,,,54-53,,A. Shved enters the game for T. Hardaway
4:34.0,R. Stuckey enters the game for C. Miles,,54-53,,
4:34.0,R. Hibbert makes free throw 2 of 2,1,55-53,,
4:19.0,,,55-53,,L. Thomas misses 2-pt shot from 7 ft
4:18.0,Defensive rebound by G. Hill,,55-53,,
4:10.0,D. West makes 2-pt shot from 20 ft (assist by S. Hill),2,57-53,,
3:48.0,,,57-55,2,C. Aldrich makes 2-pt shot from 10 ft
3:25.0,S. Hill misses 2-pt shot from 3 ft,,57-55,,
3:24.0,Offensive rebound by D. West,,57-55,,
3:22.0,D. West misses 2-pt shot from 5 ft,,57-55,,
3:21.0,Offensive rebound by S. Hill,,57-55,,
3:17.0,S. Hill makes 2-pt shot from 1 ft,2,59-55,,
2:59.0,Personal foul by G. Hill (drawn by S. Larkin),,59-55,,
2:59.0,Indiana full timeout,,59-55,,
2:59.0,C. Watson enters the game for R. Hibbert,,59-55,,
2:59.0,I. Mahinmi enters the game for G. Hill,,59-55,,
2:59.0,,,59-56,1,S. Larkin makes free throw 1 of 2
2:59.0,,,59-57,1,S. Larkin makes free throw 2 of 2
2:39.0,R. Stuckey misses 2-pt shot from 21 ft,,59-57,,
2:38.0,,,59-57,,Defensive rebound by C. Aldrich
2:19.0,,,59-57,,S. Larkin misses 3-pt shot from 26 ft
2:18.0,,,59-57,,Offensive rebound by Q. Acy
2:18.0,,,59-59,2,Q. Acy makes 2-pt shot at rim
1:59.0,I. Mahinmi misses 2-pt shot from 5 ft (block by C. Aldrich),,59-59,,
1:58.0,,,59-59,,Defensive rebound by A. Shved
1:53.0,,,59-59,,A. Shved misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by I. Mahinmi,,59-59,,
1:36.0,Turnover by I. Mahinmi (lost ball; steal by L. Thomas),,59-59,,
1:25.0,Personal foul by I. Mahinmi (drawn by C. Aldrich),,59-59,,
1:25.0,,,59-60,1,C. Aldrich makes free throw 1 of 2
1:25.0,L. Scola enters the game for D. West,,59-60,,
1:25.0,,,59-61,1,C. Aldrich makes free throw 2 of 2
1:24.0,,,59-61,,Technical foul by Q. Acy
1:24.0,Technical foul by I. Mahinmi (drawn by C. Aldrich),,59-61,,
1:18.0,,,59-61,,Personal foul by S. Larkin (drawn by C. Watson)
1:18.0,C. Watson misses free throw 1 of 2,,59-61,,
1:18.0,Offensive rebound by Team,,59-61,,
1:18.0,C. Watson makes free throw 2 of 2,1,60-61,,
1:06.0,,,60-61,,A. Shved misses 2-pt shot from 1 ft
1:05.0,,,60-61,,Offensive rebound by C. Aldrich
1:02.0,,,60-61,,C. Aldrich misses 2-pt shot at rim
1:01.0,,,60-61,,Offensive rebound by A. Shved
1:00.0,,,60-63,2,A. Shved makes 2-pt shot from 1 ft
0:53.0,R. Stuckey misses 2-pt shot from 5 ft,,60-63,,
0:52.0,Offensive rebound by Team,,60-63,,
0:50.0,S. Hill misses 2-pt shot from 11 ft,,60-63,,
0:49.0,,,60-63,,Defensive rebound by C. Aldrich
0:25.0,,,60-63,,A. Shved misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by I. Mahinmi,,60-63,,
0:01.0,Jump ball: S. Larkin vs. R. Stuckey,,,,Jump ball: S. Larkin vs. R. Stuckey
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,60-65,2,S. Larkin makes 2-pt shot from 2 ft
11:23.0,L. Scola misses 2-pt shot from 18 ft,,60-65,,
11:22.0,,,60-65,,Defensive rebound by S. Larkin
11:10.0,,,60-65,,Turnover by L. Thomas (bad pass; steal by L. Scola)
11:06.0,Jump ball: L. Scola vs. L. Thomas (C. Watson gains possession),,,,Jump ball: L. Scola vs. L. Thomas (C. Watson gains possession)
11:00.0,L. Scola makes 2-pt shot at rim (assist by C. Watson),2,62-65,,
10:44.0,,,62-65,,A. Shved misses 2-pt shot from 12 ft
10:43.0,,,62-65,,Offensive rebound by A. Shved
10:42.0,Personal foul by I. Mahinmi (drawn by A. Shved),,62-65,,
10:42.0,R. Hibbert enters the game for I. Mahinmi,,62-65,,
10:33.0,,,62-67,2,A. Shved makes 2-pt shot at rim
10:17.0,Turnover by D. Rudez (bad pass; steal by S. Larkin),,62-67,,
10:13.0,,,62-69,2,A. Shved makes 2-pt shot at rim (assist by S. Larkin)
10:12.0,Indiana full timeout,,62-69,,
9:58.0,Turnover by C. Watson (bad pass; steal by L. Thomas),,62-69,,
9:54.0,,,62-69,,Shooting foul by C. Watson (drawn by L. Thomas)
9:54.0,,,62-70,1,L. Thomas makes free throw 1 of 2
9:54.0,,,62-71,1,L. Thomas makes free throw 2 of 2
9:41.0,L. Scola makes 2-pt shot from 1 ft,2,64-71,,
9:17.0,,,64-71,,C. Aldrich misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by C. Watson,,64-71,,
9:11.0,C. Watson makes 2-pt shot from 3 ft,2,66-71,,
9:11.0,Shooting foul by S. Larkin (drawn by C. Watson),,66-71,,
9:11.0,C. Watson makes free throw 1 of 1,1,67-71,,
8:59.0,,,67-73,2,A. Shved makes 2-pt shot from 16 ft
8:59.0,,,67-73,,Shooting foul by R. Stuckey (drawn by A. Shved)
8:59.0,,,67-73,,A. Shved misses free throw 1 of 1
8:58.0,Defensive rebound by L. Scola,,67-73,,
8:51.0,Shooting foul by L. Thomas (drawn by R. Stuckey),,67-73,,
8:51.0,R. Stuckey makes free throw 1 of 2,1,68-73,,
8:51.0,R. Stuckey makes free throw 2 of 2,1,69-73,,
8:32.0,,,69-73,,S. Larkin misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by C. Watson,,69-73,,
8:16.0,D. Rudez makes 3-pt shot from 24 ft (assist by R. Stuckey),3,72-73,,
8:15.0,,,72-73,,New York full timeout
8:15.0,,,72-73,,L. Galloway enters the game for C. Aldrich
8:15.0,,,72-73,,A. Bargnani enters the game for S. Larkin
8:05.0,Personal foul by L. Scola (drawn by A. Bargnani),,72-73,,
7:52.0,,,72-73,,A. Bargnani misses 2-pt shot from 18 ft
7:51.0,,,72-73,,Offensive rebound by L. Thomas
7:40.0,,,72-73,,Q. Acy misses 2-pt shot from 3 ft
7:39.0,,,72-73,,Offensive rebound by A. Shved
7:38.0,,,72-73,,A. Shved misses 2-pt shot from 2 ft
7:37.0,,,72-73,,Offensive rebound by Team
7:23.0,,,72-75,2,Q. Acy makes 2-pt shot from 20 ft (assist by L. Thomas)
7:06.0,D. Rudez makes 2-pt shot from 2 ft (assist by R. Stuckey),2,74-75,,
6:44.0,,,74-75,,Q. Acy misses 2-pt shot from 2 ft (block by R. Hibbert)
6:43.0,Defensive rebound by L. Scola,,74-75,,
6:36.0,C. Watson makes 3-pt shot from 25 ft,3,77-75,,
6:36.0,Shooting foul by L. Galloway (drawn by C. Watson),,77-75,,
6:36.0,,,77-75,,J. Smith enters the game for Q. Acy
6:36.0,C. Watson makes free throw 1 of 1,1,78-75,,
6:12.0,,,78-75,,A. Shved misses 2-pt shot from 3 ft
6:11.0,,,78-75,,Offensive rebound by L. Galloway
6:03.0,,,78-75,,Personal foul by A. Bargnani (drawn by C. Watson)
6:03.0,Personal foul by C. Watson,,78-75,,
6:03.0,G. Hill enters the game for D. Rudez,,78-75,,
5:56.0,,,78-77,2,A. Bargnani makes 2-pt shot from 6 ft (assist by L. Galloway)
5:42.0,L. Scola makes 2-pt shot from 18 ft (assist by C. Watson),2,80-77,,
5:22.0,,,80-77,,Shooting foul by R. Hibbert (drawn by L. Thomas)
5:22.0,,,80-78,1,L. Thomas makes free throw 1 of 2
5:22.0,S. Hill enters the game for R. Stuckey,,80-78,,
5:22.0,,,80-79,1,L. Thomas makes free throw 2 of 2
5:05.0,S. Hill makes 2-pt shot from 2 ft (assist by L. Scola),2,82-79,,
4:50.0,,,82-81,2,A. Bargnani makes 2-pt shot from 4 ft (assist by A. Shved)
4:34.0,L. Scola misses 2-pt shot from 15 ft,,82-81,,
