time,Oklahoma City,pts.away,score,pts.home,Charlotte
7:28.0,R. Westbrook makes free throw 1 of 1,1,15-10,,
7:15.0,,,15-12,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
7:05.0,S. Ibaka misses 3-pt shot from 26 ft,,15-12,,
7:03.0,,,15-12,,Defensive rebound by G. Henderson
6:48.0,,,15-12,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by A. Roberson,,15-12,,
6:42.0,R. Westbrook misses 2-pt shot from 20 ft,,15-12,,
6:39.0,,,15-12,,Defensive rebound by M. Kidd-Gilchrist
6:26.0,,,15-15,3,M. Williams makes 3-pt shot from 25 ft (assist by G. Henderson)
6:20.0,Oklahoma City full timeout,,15-15,,
6:20.0,A. Morrow enters the game for A. Roberson,,15-15,,
6:09.0,S. Ibaka misses 2-pt shot from 15 ft,,15-15,,
6:09.0,Offensive rebound by Team,,15-15,,
6:09.0,,,15-15,,Loose ball foul by M. Williams (drawn by R. Westbrook)
6:01.0,E. Kanter makes 2-pt shot from 16 ft (assist by R. Westbrook),2,17-15,,
5:43.0,Personal foul by A. Morrow (drawn by G. Henderson),,17-15,,
5:38.0,,,17-17,2,G. Henderson makes 2-pt shot from 18 ft
5:18.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,19-17,,
5:01.0,,,19-19,2,A. Jefferson makes 2-pt shot from 6 ft (assist by M. Williams)
4:53.0,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook),3,22-19,,
4:29.0,,,22-19,,Shooting foul by S. Ibaka (drawn by C. Zeller)
4:29.0,,,22-20,1,C. Zeller makes free throw 1 of 2
4:29.0,N. Collison enters the game for E. Kanter,,22-20,,
4:29.0,D. Waiters enters the game for K. Singler,,22-20,,
4:29.0,,,22-21,1,C. Zeller makes free throw 2 of 2
4:15.0,R. Westbrook misses 2-pt shot from 2 ft (block by C. Zeller),,22-21,,
4:14.0,,,22-21,,Defensive rebound by C. Zeller
4:12.0,,,22-21,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Waiters)
4:12.0,Defensive rebound by Team,,22-21,,
4:10.0,,,22-21,,M. Williams enters the game for C. Zeller
3:59.0,N. Collison makes 2-pt shot at rim (assist by A. Morrow),2,24-21,,
3:54.0,,,24-21,,Charlotte full timeout
3:43.0,,,24-23,2,A. Jefferson makes 2-pt shot from 6 ft (assist by G. Henderson)
3:31.0,D. Waiters misses 2-pt shot from 17 ft,,24-23,,
3:30.0,,,24-23,,Defensive rebound by A. Jefferson
3:24.0,,,24-23,,Turnover by M. Williams (bad pass; steal by D. Waiters)
3:16.0,R. Westbrook misses 2-pt shot from 19 ft,,24-23,,
3:16.0,,,24-23,,Defensive rebound by M. Williams
3:01.0,,,24-25,2,M. Kidd-Gilchrist makes 2-pt shot from 4 ft
2:41.0,R. Westbrook makes 2-pt shot from 1 ft,2,26-25,,
2:23.0,,,26-27,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by M. Williams)
2:08.0,A. Morrow makes 2-pt shot from 6 ft (assist by R. Westbrook),2,28-27,,
1:47.0,,,28-30,3,M. Williams makes 3-pt shot from 23 ft (assist by G. Henderson)
1:38.0,,,28-30,,Personal foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
1:38.0,D. Augustin enters the game for R. Westbrook,,28-30,,
1:38.0,,,28-30,,L. Stephenson enters the game for M. Williams
1:38.0,,,28-30,,B. Roberts enters the game for M. Kidd-Gilchrist
1:31.0,D. Waiters misses 2-pt shot from 17 ft,,28-30,,
1:30.0,,,28-30,,Defensive rebound by L. Stephenson
1:22.0,Personal foul by D. Augustin (drawn by G. Henderson),,28-30,,
1:16.0,,,28-30,,B. Roberts misses 3-pt shot from 25 ft
1:13.0,,,28-30,,Offensive rebound by M. Williams
1:09.0,,,28-30,,L. Stephenson misses 2-pt shot from 11 ft
1:08.0,Defensive rebound by N. Collison,,28-30,,
0:58.0,S. Ibaka misses 2-pt shot from 16 ft,,28-30,,
0:56.0,,,28-30,,Defensive rebound by G. Henderson
0:41.0,,,28-30,,A. Jefferson misses 2-pt shot from 14 ft
0:40.0,Defensive rebound by N. Collison,,28-30,,
0:29.0,S. Ibaka misses 2-pt shot from 17 ft,,28-30,,
0:28.0,,,28-30,,Defensive rebound by G. Henderson
0:16.0,,,28-30,,J. Maxiell enters the game for A. Jefferson
0:14.0,,,28-30,,G. Henderson misses 2-pt shot from 14 ft
0:13.0,Defensive rebound by D. Augustin,,28-30,,
0:00.0,S. Ibaka misses 2-pt shot from 16 ft,,28-30,,
0:00.0,Offensive rebound by Team,,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,28-30,,Turnover by J. Taylor (bad pass; steal by N. Collison)
11:37.0,Offensive foul by N. Collison,,28-30,,
11:37.0,Turnover by N. Collison (offensive foul),,28-30,,
11:24.0,,,28-30,,M. Williams misses 2-pt shot from 21 ft
11:23.0,Defensive rebound by D. Augustin,,28-30,,
11:16.0,D. Augustin misses 2-pt shot from 5 ft,,28-30,,
11:16.0,Offensive rebound by M. McGary,,28-30,,
11:16.0,M. McGary makes 2-pt shot at rim,2,30-30,,
11:16.0,Shooting foul by J. Maxiell (drawn by M. McGary),,30-30,,
11:16.0,M. McGary makes free throw 1 of 1,1,31-30,,
10:54.0,,,31-32,2,L. Stephenson makes 2-pt shot from 14 ft
10:39.0,M. McGary makes 2-pt shot at rim (assist by A. Morrow),2,33-32,,
10:11.0,,,33-32,,L. Stephenson misses 3-pt shot from 26 ft
10:10.0,Defensive rebound by M. McGary,,33-32,,
9:59.0,D. Waiters misses 3-pt shot from 23 ft,,33-32,,
9:56.0,Offensive rebound by M. McGary,,33-32,,
9:54.0,D. Waiters misses 3-pt shot from 23 ft,,33-32,,
9:52.0,Offensive rebound by M. McGary,,33-32,,
9:50.0,M. McGary makes 2-pt shot from 1 ft,2,35-32,,
9:41.0,Personal foul by A. Morrow (drawn by J. Taylor),,35-32,,
9:31.0,,,35-32,,B. Roberts misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by M. McGary,,35-32,,
9:18.0,A. Morrow misses 2-pt shot from 2 ft (block by J. Maxiell),,35-32,,
9:16.0,,,35-32,,Defensive rebound by M. Williams
9:10.0,,,35-32,,J. Taylor misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by M. McGary,,35-32,,
9:02.0,Shooting foul by J. Maxiell (drawn by D. Waiters),,35-32,,
9:02.0,D. Waiters makes free throw 1 of 2,1,36-32,,
9:02.0,D. Waiters makes free throw 2 of 2,1,37-32,,
8:52.0,,,37-32,,L. Stephenson misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by M. McGary,,37-32,,
8:45.0,D. Waiters makes 2-pt shot from 1 ft (assist by D. Augustin),2,39-32,,
8:39.0,,,39-32,,Charlotte full timeout
8:39.0,,,39-32,,M. Williams enters the game for J. Taylor
8:21.0,,,39-34,2,L. Stephenson makes 2-pt shot from 3 ft (assist by M. Williams)
8:01.0,D. Waiters misses 2-pt shot from 1 ft,,39-34,,
8:01.0,Offensive rebound by N. Collison,,39-34,,
8:01.0,N. Collison makes 2-pt shot from 1 ft,2,41-34,,
8:01.0,Shooting foul by M. Williams (drawn by N. Collison),,41-34,,
8:01.0,N. Collison makes free throw 1 of 1,1,42-34,,
7:44.0,,,42-36,2,M. Williams makes 2-pt shot from 2 ft (assist by B. Roberts)
7:32.0,M. McGary misses 2-pt shot from 17 ft,,42-36,,
7:30.0,,,42-36,,Defensive rebound by L. Stephenson
7:20.0,,,42-38,2,J. Maxiell makes 2-pt shot from 1 ft (assist by L. Stephenson)
7:04.0,D. Waiters misses 2-pt shot from 1 ft (block by J. Maxiell),,42-38,,
7:02.0,,,42-38,,Defensive rebound by M. Williams
6:56.0,,,42-38,,L. Stephenson misses 3-pt shot from 25 ft
6:52.0,,,42-38,,Offensive rebound by M. Williams
6:52.0,,,42-40,2,M. Williams makes 2-pt shot from 1 ft
6:50.0,Oklahoma City full timeout,,42-40,,
6:50.0,E. Kanter enters the game for A. Morrow,,42-40,,
6:50.0,R. Westbrook enters the game for N. Collison,,42-40,,
6:40.0,Shooting foul by B. Roberts (drawn by D. Augustin),,42-40,,
6:40.0,D. Augustin makes free throw 1 of 2,1,43-40,,
6:40.0,D. Augustin makes free throw 2 of 2,1,44-40,,
6:30.0,,,44-40,,Shooting foul by D. Waiters (drawn by L. Stephenson)
6:30.0,,,44-41,1,L. Stephenson makes free throw 1 of 2
6:30.0,S. Ibaka enters the game for M. McGary,,44-41,,
6:30.0,,,44-41,,L. Stephenson misses free throw 2 of 2
6:28.0,Defensive rebound by S. Ibaka,,44-41,,
6:14.0,R. Westbrook misses 2-pt shot from 17 ft,,44-41,,
6:11.0,Offensive rebound by E. Kanter,,44-41,,
5:58.0,D. Augustin misses 2-pt shot from 2 ft (block by B. Roberts),,44-41,,
5:56.0,Offensive rebound by S. Ibaka,,44-41,,
5:53.0,S. Ibaka makes 2-pt shot from 16 ft,2,46-41,,
5:39.0,,,46-41,,Shooting foul by E. Kanter (drawn by M. Williams)
5:39.0,,,46-41,,M. Williams misses free throw 1 of 2
5:39.0,,,46-41,,Offensive rebound by Team
5:39.0,,,46-41,,A. Jefferson enters the game for J. Maxiell
5:39.0,,,46-41,,G. Henderson enters the game for B. Roberts
5:39.0,,,46-42,1,M. Williams makes free throw 2 of 2
5:29.0,Turnover by S. Ibaka (lost ball; steal by M. Williams),,46-42,,
5:24.0,,,46-44,2,M. Williams makes 2-pt shot at rim
5:08.0,D. Augustin makes 3-pt shot from 24 ft (assist by S. Ibaka),3,49-44,,
4:56.0,,,49-44,,Turnover by M. Williams (bad pass)
4:43.0,Turnover by R. Westbrook (bad pass; steal by L. Stephenson),,49-44,,
4:34.0,,,49-44,,M. Williams misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by Team,,49-44,,
4:26.0,Offensive foul by D. Waiters,,49-44,,
4:26.0,Turnover by D. Waiters (offensive foul),,49-44,,
4:26.0,,,49-44,,C. Zeller enters the game for M. Williams
4:07.0,,,49-46,2,A. Jefferson makes 2-pt shot from 5 ft
4:07.0,,,49-46,,Shooting foul by E. Kanter (drawn by A. Jefferson)
4:07.0,,,49-47,1,A. Jefferson makes free throw 1 of 1
3:58.0,R. Westbrook makes 2-pt shot from 1 ft,2,51-47,,
3:37.0,,,51-47,,M. Williams misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by R. Westbrook,,51-47,,
3:30.0,S. Ibaka makes 2-pt shot from 5 ft (assist by D. Augustin),2,53-47,,
3:07.0,,,53-49,2,A. Jefferson makes 2-pt shot from 9 ft
2:51.0,E. Kanter misses 2-pt shot from 13 ft,,53-49,,
2:50.0,,,53-49,,Defensive rebound by G. Henderson
2:46.0,,,53-49,,Shooting foul by D. Augustin (drawn by G. Henderson)
2:46.0,Official timeout,,53-49,,
2:46.0,K. Singler enters the game for D. Waiters,,53-49,,
2:46.0,A. Roberson enters the game for D. Augustin,,53-49,,
2:46.0,,,53-50,1,G. Henderson makes free throw 1 of 2
2:46.0,,,53-51,1,G. Henderson makes free throw 2 of 2
2:32.0,K. Singler misses 3-pt shot from 25 ft,,53-51,,
2:29.0,,,53-51,,Defensive rebound by A. Jefferson
2:13.0,,,53-51,,C. Zeller misses 2-pt shot at rim
2:13.0,,,53-51,,Offensive rebound by Team
2:07.0,,,53-54,3,M. Williams makes 3-pt shot from 27 ft (assist by G. Henderson)
1:46.0,R. Westbrook makes 2-pt shot from 15 ft (assist by E. Kanter),2,55-54,,
1:30.0,,,55-56,2,M. Williams makes 2-pt shot from 17 ft
1:17.0,R. Westbrook misses 3-pt shot from 25 ft,,55-56,,
1:15.0,,,55-56,,Defensive rebound by A. Jefferson
1:05.0,,,55-56,,L. Stephenson misses 2-pt shot from 1 ft (block by K. Singler)
1:01.0,Defensive rebound by K. Singler,,55-56,,
1:00.0,R. Westbrook makes 2-pt shot from 1 ft,2,57-56,,
0:44.0,,,57-56,,G. Henderson misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by A. Roberson,,57-56,,
0:39.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook),2,59-56,,
0:18.0,,,59-56,,L. Stephenson misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by R. Westbrook,,59-56,,
0:01.0,R. Westbrook misses 3-pt shot from 28 ft,,59-56,,
0:00.0,Offensive rebound by Team,,59-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,59-56,,Technical foul by L. Stephenson
12:00.0,R. Westbrook makes technical free throw,1,60-56,,
11:37.0,,,60-56,,C. Zeller misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by E. Kanter,,60-56,,
11:14.0,E. Kanter makes 2-pt shot from 1 ft,2,62-56,,
11:00.0,,,62-56,,Turnover by M. Williams (bad pass; steal by R. Westbrook)
10:56.0,,,62-56,,Violation by G. Henderson (def goaltending)
10:56.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,64-56,,
10:43.0,,,64-56,,G. Henderson misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by S. Ibaka,,64-56,,
10:37.0,K. Singler misses 3-pt shot from 24 ft,,64-56,,
10:35.0,Offensive rebound by E. Kanter,,64-56,,
10:25.0,K. Singler misses 2-pt shot from 4 ft,,64-56,,
10:24.0,,,64-56,,Defensive rebound by C. Zeller
10:14.0,,,64-56,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by S. Ibaka,,64-56,,
10:02.0,Turnover by S. Ibaka (lost ball; steal by M. Kidd-Gilchrist),,64-56,,
9:59.0,,,64-56,,Turnover by G. Henderson (bad pass)
9:47.0,Offensive foul by S. Ibaka,,64-56,,
9:47.0,Turnover by S. Ibaka (offensive foul),,64-56,,
9:31.0,,,64-56,,M. Williams misses 2-pt shot from 19 ft
9:30.0,Defensive rebound by A. Roberson,,64-56,,
9:24.0,K. Singler makes 3-pt shot from 23 ft (assist by R. Westbrook),3,67-56,,
9:24.0,,,67-56,,Charlotte full timeout
9:06.0,Personal foul by A. Roberson (drawn by C. Zeller),,67-56,,
8:52.0,,,67-56,,G. Henderson misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by E. Kanter,,67-56,,
8:42.0,E. Kanter misses 2-pt shot from 3 ft (block by C. Zeller),,67-56,,
8:42.0,,,67-56,,Defensive rebound by Team
8:42.0,Loose ball foul by E. Kanter (drawn by A. Jefferson),,67-56,,
8:42.0,,,67-56,,Technical foul by A. Jefferson
8:42.0,R. Westbrook makes technical free throw,1,68-56,,
8:31.0,,,68-56,,M. Williams misses 2-pt shot from 20 ft
8:30.0,Defensive rebound by E. Kanter,,68-56,,
8:19.0,R. Westbrook misses 2-pt shot from 16 ft,,68-56,,
8:18.0,,,68-56,,Defensive rebound by M. Williams
7:56.0,,,68-58,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller)
7:45.0,S. Ibaka misses 3-pt shot from 25 ft,,68-58,,
7:43.0,Offensive rebound by K. Singler,,68-58,,
7:41.0,Turnover by A. Roberson (bad pass; steal by C. Zeller),,68-58,,
7:41.0,Personal foul by R. Westbrook (drawn by M. Kidd-Gilchrist),,68-58,,
7:31.0,,,68-61,3,M. Williams makes 3-pt shot from 26 ft (assist by A. Jefferson)
7:09.0,E. Kanter misses 2-pt shot from 5 ft (block by C. Zeller),,68-61,,
7:09.0,,,68-61,,Defensive rebound by Team
7:09.0,Jump ball: E. Kanter vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: E. Kanter vs. C. Zeller (A. Jefferson gains possession)
6:54.0,,,68-63,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
6:44.0,Shooting foul by C. Zeller (drawn by R. Westbrook),,68-63,,
6:44.0,R. Westbrook makes free throw 1 of 2,1,69-63,,
6:44.0,D. Waiters enters the game for A. Roberson,,69-63,,
6:44.0,R. Westbrook makes free throw 2 of 2,1,70-63,,
6:28.0,,,70-65,2,C. Zeller makes 2-pt shot from 18 ft (assist by G. Henderson)
6:14.0,R. Westbrook makes 2-pt shot from 12 ft,2,72-65,,
5:52.0,,,72-65,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
5:51.0,,,72-65,,Offensive rebound by A. Jefferson
5:48.0,,,72-65,,A. Jefferson misses 2-pt shot from 6 ft
5:46.0,,,72-65,,Offensive rebound by C. Zeller
5:46.0,,,72-65,,C. Zeller misses 2-pt shot from 1 ft (block by S. Ibaka)
5:44.0,,,72-65,,Offensive rebound by M. Williams
5:43.0,,,72-65,,A. Jefferson misses 2-pt shot from 17 ft
5:43.0,,,72-65,,Offensive rebound by Team
5:43.0,,,72-66,1,C. Zeller makes flagrant free throw 1 of 2
5:43.0,,,72-66,,C. Zeller misses flagrant free throw 2 of 2
5:27.0,,,72-66,,Offensive rebound by A. Jefferson
5:27.0,,,72-66,,A. Jefferson misses 2-pt shot from 6 ft
5:24.0,Defensive rebound by S. Ibaka,,72-66,,
5:20.0,R. Westbrook misses 2-pt shot from 2 ft (block by C. Zeller),,72-66,,
5:20.0,Offensive rebound by E. Kanter,,72-66,,
5:20.0,Shooting foul by A. Jefferson (drawn by E. Kanter),,72-66,,
5:20.0,E. Kanter misses free throw 1 of 2,,72-66,,
5:20.0,Offensive rebound by Team,,72-66,,
5:20.0,E. Kanter misses free throw 2 of 2,,72-66,,
5:19.0,,,72-66,,Defensive rebound by G. Henderson
5:03.0,,,72-68,2,G. Henderson makes 2-pt shot at rim
4:44.0,K. Singler makes 3-pt shot from 26 ft (assist by D. Waiters),3,75-68,,
4:26.0,,,75-70,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by C. Zeller)
4:13.0,,,75-70,,Personal foul by G. Henderson (drawn by D. Waiters)
4:13.0,A. Morrow enters the game for K. Singler,,75-70,,
4:13.0,M. McGary enters the game for S. Ibaka,,75-70,,
4:13.0,,,75-70,,M. Williams enters the game for C. Zeller
4:13.0,,,75-70,,L. Stephenson enters the game for G. Henderson
4:05.0,R. Westbrook misses 2-pt shot from 17 ft,,75-70,,
4:04.0,Offensive rebound by R. Westbrook,,75-70,,
4:03.0,Turnover by R. Westbrook (bad pass),,75-70,,
3:52.0,,,75-70,,Turnover by M. Williams (lost ball; steal by M. McGary)
3:48.0,R. Westbrook makes 2-pt shot at rim (assist by M. McGary),2,77-70,,
3:32.0,,,77-72,2,A. Jefferson makes 2-pt shot from 16 ft (assist by M. Williams)
3:15.0,Turnover by R. Westbrook (step out of bounds),,77-72,,
3:01.0,,,77-74,2,A. Jefferson makes 2-pt shot from 16 ft (assist by M. Williams)
2:47.0,Shooting foul by A. Jefferson (drawn by E. Kanter),,77-74,,
2:47.0,Oklahoma City full timeout,,77-74,,
2:47.0,,,77-74,,J. Maxiell enters the game for A. Jefferson
2:47.0,E. Kanter makes free throw 1 of 2,1,78-74,,
2:47.0,E. Kanter misses free throw 2 of 2,,78-74,,
2:46.0,,,78-74,,Defensive rebound by M. Williams
2:32.0,,,78-74,,Shooting foul by E. Kanter (drawn by M. Kidd-Gilchrist)
2:32.0,,,78-75,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:32.0,,,78-76,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:20.0,D. Waiters makes 2-pt shot from 19 ft,2,80-76,,
2:03.0,,,80-76,,L. Stephenson misses 2-pt shot from 1 ft
2:01.0,Defensive rebound by E. Kanter,,80-76,,
1:55.0,D. Waiters misses 2-pt shot from 17 ft,,80-76,,
1:53.0,Offensive rebound by E. Kanter,,80-76,,
1:53.0,E. Kanter misses 2-pt shot at rim,,80-76,,
1:50.0,,,80-76,,Defensive rebound by M. Kidd-Gilchrist
1:41.0,,,80-78,2,M. Williams makes 2-pt shot from 20 ft
1:27.0,R. Westbrook makes 2-pt shot from 1 ft,2,82-78,,
1:27.0,Violation by Team (delay of game),,82-78,,
1:15.0,,,82-78,,M. Williams misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by D. Waiters,,82-78,,
1:03.0,Turnover by R. Westbrook (bad pass; steal by M. Williams),,82-78,,
0:47.0,,,82-78,,Shooting foul by M. McGary (drawn by M. Williams)
0:47.0,,,82-79,1,M. Williams makes free throw 1 of 2
0:47.0,N. Collison enters the game for E. Kanter,,82-79,,
0:47.0,D. Augustin enters the game for R. Westbrook,,82-79,,
0:47.0,,,82-80,1,M. Williams makes free throw 2 of 2
0:35.0,,,82-80,,Personal foul by M. Williams (drawn by D. Augustin)
0:35.0,D. Augustin makes free throw 1 of 2,1,83-80,,
0:35.0,D. Augustin makes free throw 2 of 2,1,84-80,,
0:29.0,,,84-83,3,M. Williams makes 3-pt shot from 30 ft
0:09.0,D. Waiters makes 2-pt shot from 17 ft,2,86-83,,
0:02.0,,,86-83,,Turnover by J. Maxiell (lost ball; steal by N. Collison)
0:00.0,D. Augustin misses 3-pt shot from 63 ft,,86-83,,
0:00.0,Offensive rebound by Team,,86-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by M. McGary (bad pass; steal by M. Williams),,86-83,,
11:30.0,,,86-85,2,B. Roberts makes 2-pt shot from 8 ft (assist by G. Henderson)
11:17.0,D. Waiters misses 2-pt shot from 15 ft,,86-85,,
11:16.0,Offensive rebound by N. Collison,,86-85,,
11:16.0,Shooting foul by M. Williams (drawn by N. Collison),,86-85,,
11:16.0,N. Collison makes free throw 1 of 2,1,87-85,,
11:16.0,N. Collison makes free throw 2 of 2,1,88-85,,
10:53.0,,,88-85,,J. Maxiell misses 2-pt shot from 5 ft (block by M. McGary)
10:53.0,,,88-85,,Offensive rebound by Team
10:50.0,,,88-85,,G. Henderson misses 2-pt shot from 19 ft
10:49.0,,,88-85,,Offensive rebound by L. Stephenson
10:45.0,,,88-88,3,M. Williams makes 3-pt shot from 25 ft (assist by L. Stephenson)
10:33.0,D. Augustin makes 2-pt shot from 6 ft,2,90-88,,
10:33.0,Shooting foul by B. Roberts (drawn by D. Augustin),,90-88,,
10:33.0,D. Augustin misses free throw 1 of 1,,90-88,,
10:32.0,,,90-88,,Defensive rebound by J. Maxiell
10:12.0,,,90-88,,Shooting foul by M. McGary (drawn by J. Maxiell)
10:12.0,,,90-89,1,J. Maxiell makes free throw 1 of 2
10:12.0,,,90-89,,J. Maxiell misses free throw 2 of 2
10:11.0,Defensive rebound by D. Augustin,,90-89,,
10:03.0,D. Waiters makes 2-pt shot from 1 ft (assist by N. Collison),2,92-89,,
9:49.0,,,92-89,,G. Henderson misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by N. Collison,,92-89,,
9:34.0,M. McGary misses 2-pt shot from 2 ft (block by J. Maxiell),,92-89,,
9:34.0,Offensive rebound by Team,,92-89,,
9:25.0,A. Morrow misses 2-pt shot from 2 ft (block by B. Roberts),,92-89,,
9:23.0,Offensive rebound by A. Morrow,,92-89,,
9:02.0,D. Waiters misses 2-pt shot from 21 ft,,92-89,,
9:00.0,Offensive rebound by M. McGary,,92-89,,
8:45.0,M. McGary misses 2-pt shot from 2 ft (block by J. Maxiell),,92-89,,
8:44.0,,,92-89,,Defensive rebound by M. Williams
8:32.0,,,92-89,,J. Maxiell misses 2-pt shot from 3 ft (block by M. McGary)
8:30.0,Defensive rebound by N. Collison,,92-89,,
8:24.0,D. Waiters misses 3-pt shot from 23 ft,,92-89,,
8:23.0,,,92-89,,Defensive rebound by M. Williams
8:05.0,,,92-91,2,B. Roberts makes 2-pt shot from 7 ft (assist by L. Stephenson)
7:48.0,D. Augustin misses 2-pt shot from 1 ft,,92-91,,
7:47.0,Offensive rebound by M. McGary,,92-91,,
7:47.0,M. McGary makes 2-pt shot at rim,2,94-91,,
7:33.0,,,94-91,,G. Henderson misses 2-pt shot from 7 ft
7:32.0,Defensive rebound by M. McGary,,94-91,,
7:23.0,D. Augustin misses 2-pt shot from 8 ft,,94-91,,
7:22.0,,,94-91,,Defensive rebound by M. Williams
7:05.0,,,94-91,,Turnover by B. Roberts (lost ball; steal by M. McGary)
7:04.0,,,94-91,,Personal foul by B. Roberts (drawn by D. Augustin)
7:04.0,Official timeout,,94-91,,
7:04.0,R. Westbrook enters the game for N. Collison,,94-91,,
7:04.0,S. Ibaka enters the game for D. Waiters,,94-91,,
7:04.0,E. Kanter enters the game for M. McGary,,94-91,,
7:04.0,,,94-91,,M. Williams enters the game for G. Henderson
7:04.0,,,94-91,,A. Jefferson enters the game for B. Roberts
7:04.0,,,94-91,,M. Kidd-Gilchrist enters the game for J. Maxiell
6:52.0,R. Westbrook misses 2-pt shot from 20 ft,,94-91,,
6:50.0,Offensive rebound by S. Ibaka,,94-91,,
6:40.0,R. Westbrook misses 2-pt shot from 1 ft,,94-91,,
