time,Detroit,pts.away,score,pts.home,LA Clippers
2:46.0,,,25-20,,Offensive rebound by D. Jordan
2:41.0,,,25-22,2,B. Griffin makes 2-pt shot from 2 ft (assist by D. Jordan)
2:16.0,K. Singler misses 3-pt shot from 25 ft,,25-22,,
2:15.0,,,25-22,,Defensive rebound by B. Griffin
2:06.0,,,25-22,,B. Griffin misses 2-pt shot from 21 ft
2:03.0,,,25-22,,Offensive rebound by D. Jordan
1:59.0,,,25-22,,Turnover by B. Griffin (bad pass; steal by J. Meeks)
1:56.0,J. Smith makes 2-pt shot at rim (assist by B. Jennings),2,27-22,,
1:56.0,Violation by Team (delay of game),,27-22,,
1:43.0,,,27-24,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
1:27.0,,,27-24,,Personal foul by J. Redick (drawn by J. Meeks)
1:27.0,Detroit full timeout,,27-24,,
1:27.0,,,27-24,,J. Farmar enters the game for M. Barnes
1:27.0,,,27-24,,J. Crawford enters the game for D. Jordan
1:27.0,,,27-24,,G. Davis enters the game for J. Redick
1:27.0,C. Butler enters the game for K. Singler,,27-24,,
1:13.0,B. Jennings misses 2-pt shot from 1 ft,,27-24,,
1:11.0,Offensive rebound by G. Monroe,,27-24,,
1:11.0,G. Monroe misses 2-pt shot at rim,,27-24,,
1:09.0,,,27-24,,Defensive rebound by G. Davis
0:53.0,,,27-26,2,B. Griffin makes 2-pt shot from 19 ft (assist by G. Davis)
0:36.0,Turnover by G. Monroe (lost ball; steal by G. Davis),,27-26,,
0:30.0,,,27-26,,J. Crawford misses 2-pt shot from 19 ft
0:24.0,,,27-26,,Offensive rebound by B. Griffin
0:05.0,,,27-29,3,J. Farmar makes 3-pt shot from 24 ft (assist by J. Crawford)
0:01.0,Offensive charge foul by B. Jennings,,27-29,,
0:01.0,Turnover by B. Jennings (offensive foul),,27-29,,
0:01.0,,,27-29,,C. Douglas-Roberts enters the game for G. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Smith misses 2-pt shot from 17 ft,,27-29,,
11:35.0,Offensive rebound by G. Monroe,,27-29,,
11:35.0,Turnover by Team (shot clock),,27-29,,
11:18.0,,,27-29,,B. Griffin misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by G. Monroe,,27-29,,
11:05.0,C. Butler makes 2-pt shot from 17 ft (assist by J. Smith),2,29-29,,
10:47.0,,,29-29,,C. Douglas-Roberts misses 2-pt shot from 4 ft
10:46.0,Defensive rebound by G. Monroe,,29-29,,
10:28.0,J. Meeks misses 3-pt shot from 25 ft,,29-29,,
10:27.0,,,29-29,,Defensive rebound by G. Davis
10:17.0,,,29-29,,J. Crawford misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by J. Smith,,29-29,,
10:06.0,G. Monroe misses 2-pt shot from 9 ft,,29-29,,
10:04.0,,,29-29,,Defensive rebound by B. Griffin
9:59.0,,,29-29,,C. Douglas-Roberts misses 2-pt shot from 2 ft (block by J. Smith)
9:53.0,Defensive rebound by J. Smith,,29-29,,
9:51.0,Turnover by D. Augustin (bad pass; steal by J. Crawford),,29-29,,
9:43.0,,,29-31,2,J. Farmar makes 2-pt shot from 2 ft (assist by B. Griffin)
9:20.0,C. Butler makes 3-pt shot from 23 ft (assist by J. Smith),3,32-31,,
9:06.0,,,32-31,,Turnover by B. Griffin (bad pass)
9:06.0,A. Drummond enters the game for J. Smith,,32-31,,
9:06.0,,,32-31,,D. Jordan enters the game for B. Griffin
8:54.0,J. Meeks misses 2-pt shot from 18 ft,,32-31,,
8:53.0,,,32-31,,Defensive rebound by J. Farmar
8:45.0,,,32-33,2,J. Farmar makes 2-pt shot from 16 ft
8:26.0,Official timeout,,32-33,,
8:26.0,Jump ball: G. Davis vs. G. Monroe (D. Jordan gains possession),,,,Jump ball: G. Davis vs. G. Monroe (D. Jordan gains possession)
8:26.0,Turnover by G. Monroe (lost ball; steal by G. Davis),,32-33,,
8:01.0,,,32-36,3,J. Farmar makes 3-pt shot from 25 ft (assist by G. Davis)
7:37.0,G. Monroe makes 2-pt shot from 15 ft (assist by J. Meeks),2,34-36,,
7:25.0,,,34-36,,J. Crawford misses 2-pt shot from 16 ft
7:24.0,,,34-36,,Offensive rebound by D. Jordan
7:23.0,,,34-36,,D. Jordan misses 2-pt shot from 2 ft
7:20.0,,,34-36,,Offensive rebound by D. Jordan
7:20.0,,,34-38,2,D. Jordan makes 2-pt shot from 1 ft
7:08.0,,,34-38,,Personal foul by G. Davis (drawn by A. Drummond)
7:01.0,Turnover by J. Meeks (lost ball),,34-38,,
6:39.0,,,34-40,2,G. Davis makes 2-pt shot from 1 ft (assist by J. Farmar)
6:29.0,,,34-40,,Personal foul by J. Farmar (drawn by D. Augustin)
6:29.0,K. Caldwell-Pope enters the game for J. Meeks,,34-40,,
6:15.0,A. Drummond misses 2-pt shot from 2 ft,,34-40,,
6:12.0,Offensive rebound by G. Monroe,,34-40,,
6:12.0,G. Monroe misses 2-pt shot from 1 ft,,34-40,,
6:09.0,Offensive rebound by G. Monroe,,34-40,,
6:09.0,G. Monroe makes 2-pt shot at rim,2,36-40,,
6:01.0,Def 3 sec tech foul by A. Drummond,,36-40,,
6:01.0,,,36-41,1,J. Crawford makes technical free throw
5:49.0,,,36-43,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
5:36.0,G. Monroe misses 2-pt shot from 19 ft,,36-43,,
5:33.0,Offensive rebound by D. Augustin,,36-43,,
5:25.0,Turnover by G. Monroe (lost ball; steal by G. Davis),,36-43,,
5:13.0,,,36-45,2,J. Farmar makes 2-pt shot from 22 ft
5:04.0,Detroit full timeout,,36-45,,
5:04.0,,,36-45,,B. Griffin enters the game for G. Davis
5:04.0,B. Jennings enters the game for G. Monroe,,36-45,,
5:04.0,J. Smith enters the game for C. Butler,,36-45,,
4:51.0,A. Drummond misses 2-pt shot from 1 ft,,36-45,,
4:48.0,,,36-45,,Defensive rebound by D. Jordan
4:41.0,,,36-47,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:16.0,Turnover by D. Augustin (bad pass),,36-47,,
3:58.0,,,36-47,,B. Griffin misses 2-pt shot from 20 ft
3:56.0,,,36-47,,Offensive rebound by D. Jordan
3:52.0,,,36-47,,J. Farmar misses 3-pt shot from 23 ft
3:51.0,Defensive rebound by D. Augustin,,36-47,,
3:47.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,38-47,,
3:27.0,,,38-49,2,B. Griffin makes 2-pt shot from 12 ft (assist by J. Farmar)
3:07.0,Shooting foul by D. Jordan (drawn by J. Smith),,38-49,,
3:07.0,J. Smith misses free throw 1 of 2,,38-49,,
3:07.0,Offensive rebound by Team,,38-49,,
3:07.0,,,38-49,,C. Paul enters the game for J. Farmar
3:07.0,,,38-49,,J. Redick enters the game for J. Crawford
3:07.0,,,38-49,,M. Barnes enters the game for C. Douglas-Roberts
3:07.0,J. Meeks enters the game for D. Augustin,,38-49,,
3:07.0,J. Smith misses free throw 2 of 2,,38-49,,
3:06.0,,,38-49,,Defensive rebound by M. Barnes
2:56.0,,,38-51,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:33.0,A. Drummond makes 2-pt shot from 8 ft (assist by J. Meeks),2,40-51,,
2:21.0,,,40-53,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
2:08.0,Turnover by J. Smith (bad pass; steal by M. Barnes),,40-53,,
1:58.0,,,40-53,,LA Clippers full timeout
1:47.0,,,40-53,,M. Barnes misses 3-pt shot from 25 ft
1:45.0,,,40-53,,Offensive rebound by B. Griffin
1:37.0,,,40-53,,J. Redick misses 2-pt shot from 8 ft
1:34.0,,,40-53,,Offensive rebound by D. Jordan
1:34.0,,,40-55,2,D. Jordan makes 2-pt shot at rim
1:12.0,J. Meeks misses 2-pt shot from 14 ft,,40-55,,
1:09.0,Offensive rebound by A. Drummond,,40-55,,
1:09.0,A. Drummond makes 2-pt shot at rim,2,42-55,,
1:00.0,Personal foul by J. Smith (drawn by B. Griffin),,42-55,,
1:00.0,,,42-55,,G. Davis enters the game for D. Jordan
1:00.0,G. Monroe enters the game for J. Smith,,42-55,,
1:00.0,D. Augustin enters the game for B. Jennings,,42-55,,
0:52.0,,,42-55,,B. Griffin misses 2-pt shot from 16 ft
0:49.0,Defensive rebound by K. Caldwell-Pope,,42-55,,
0:42.0,Offensive charge foul by G. Monroe,,42-55,,
0:42.0,Turnover by G. Monroe (offensive foul),,42-55,,
0:30.0,,,42-55,,B. Griffin misses 2-pt shot from 13 ft
0:29.0,Defensive rebound by J. Meeks,,42-55,,
0:25.0,Shooting foul by J. Redick (drawn by J. Meeks),,42-55,,
0:25.0,J. Meeks makes free throw 1 of 2,1,43-55,,
0:25.0,J. Meeks makes free throw 2 of 2,1,44-55,,
0:22.0,,,44-55,,LA Clippers full timeout
0:22.0,,,44-55,,J. Crawford enters the game for G. Davis
0:22.0,K. Singler enters the game for A. Drummond,,44-55,,
0:02.0,,,44-55,,B. Griffin misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by D. Augustin,,44-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,A. Drummond misses 2-pt shot from 2 ft (block by D. Jordan),,44-55,,
11:29.0,,,44-55,,Defensive rebound by Team
11:29.0,Personal foul by K. Caldwell-Pope (drawn by B. Griffin),,44-55,,
11:11.0,,,44-55,,B. Griffin misses 2-pt shot from 22 ft
11:10.0,Defensive rebound by A. Drummond,,44-55,,
11:06.0,B. Jennings misses 3-pt shot from 25 ft,,44-55,,
11:02.0,Offensive rebound by A. Drummond,,44-55,,
11:02.0,Shooting foul by J. Redick (drawn by A. Drummond),,44-55,,
11:02.0,A. Drummond makes free throw 1 of 2,1,45-55,,
11:02.0,A. Drummond makes free throw 2 of 2,1,46-55,,
10:54.0,,,46-55,,J. Redick misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by K. Caldwell-Pope,,46-55,,
10:43.0,K. Singler misses 2-pt shot from 11 ft,,46-55,,
10:39.0,,,46-55,,Defensive rebound by M. Barnes
10:35.0,,,46-55,,M. Barnes misses 2-pt shot from 2 ft (block by A. Drummond)
10:32.0,Defensive rebound by K. Singler,,46-55,,
10:29.0,Turnover by K. Singler (bad pass; steal by B. Griffin),,46-55,,
10:27.0,Personal foul by A. Drummond (drawn by C. Paul),,46-55,,
10:19.0,,,46-57,2,C. Paul makes 2-pt shot from 13 ft
9:53.0,B. Jennings misses 2-pt shot from 13 ft,,46-57,,
9:51.0,Offensive rebound by A. Drummond,,46-57,,
9:49.0,A. Drummond misses 2-pt shot at rim,,46-57,,
9:46.0,Offensive rebound by J. Smith,,46-57,,
9:46.0,J. Smith makes 2-pt shot at rim,2,48-57,,
9:37.0,,,48-59,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
9:27.0,Turnover by J. Smith (bad pass; steal by J. Redick),,48-59,,
9:25.0,,,48-59,,Shooting foul by K. Singler (drawn by B. Griffin)
9:25.0,,,48-60,1,B. Griffin makes free throw 1 of 2
9:25.0,,,48-61,1,B. Griffin makes free throw 2 of 2
9:09.0,J. Smith misses 2-pt shot from 19 ft,,48-61,,
9:08.0,,,48-61,,Defensive rebound by D. Jordan
8:55.0,,,48-61,,B. Griffin misses 2-pt shot from 17 ft
8:54.0,,,48-61,,Offensive rebound by D. Jordan
8:50.0,,,48-64,3,C. Paul makes 3-pt shot from 25 ft (assist by M. Barnes)
8:27.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),2,50-64,,
8:10.0,,,50-64,,Turnover by M. Barnes (bad pass; steal by K. Caldwell-Pope)
8:05.0,Turnover by K. Caldwell-Pope (lost ball),,50-64,,
7:47.0,,,50-66,2,J. Redick makes 2-pt shot from 17 ft (assist by B. Griffin)
7:21.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,50-66,,
7:20.0,,,50-66,,Defensive rebound by C. Paul
7:13.0,,,50-66,,D. Jordan misses 2-pt shot at rim
7:13.0,Defensive rebound by Team,,50-66,,
7:05.0,,,50-66,,Personal foul by J. Redick (drawn by K. Caldwell-Pope)
7:05.0,,,50-66,,Technical foul by J. Redick (drawn by K. Caldwell-Pope)
7:05.0,B. Jennings makes technical free throw,1,51-66,,
7:05.0,,,51-66,,J. Crawford enters the game for J. Redick
6:53.0,J. Smith makes 2-pt shot from 1 ft,2,53-66,,
6:41.0,Personal foul by B. Jennings (drawn by D. Jordan),,53-66,,
6:25.0,,,53-66,,B. Griffin misses 2-pt shot from 18 ft
6:24.0,Defensive rebound by K. Caldwell-Pope,,53-66,,
6:11.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,53-66,,
6:09.0,,,53-66,,Defensive rebound by D. Jordan
5:57.0,,,53-66,,C. Paul misses 3-pt shot from 22 ft
5:55.0,Defensive rebound by A. Drummond,,53-66,,
5:48.0,,,53-66,,Personal foul by M. Barnes (drawn by B. Jennings)
5:48.0,,,53-66,,LA Clippers full timeout
5:36.0,K. Singler misses 3-pt shot from 23 ft,,53-66,,
5:33.0,,,53-66,,Defensive rebound by B. Griffin
5:25.0,,,53-69,3,M. Barnes makes 3-pt shot from 22 ft (assist by B. Griffin)
5:06.0,J. Smith misses 2-pt shot from 19 ft,,53-69,,
5:04.0,,,53-69,,Defensive rebound by J. Crawford
4:57.0,,,53-72,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Crawford)
4:57.0,,,53-72,,Shooting foul by K. Singler (drawn by M. Barnes)
4:57.0,J. Meeks enters the game for K. Singler,,53-72,,
4:57.0,,,53-73,1,M. Barnes makes free throw 1 of 1
4:43.0,Shooting foul by D. Jordan (drawn by K. Caldwell-Pope),,53-73,,
4:43.0,K. Caldwell-Pope misses free throw 1 of 2,,53-73,,
4:43.0,Offensive rebound by Team,,53-73,,
4:43.0,K. Caldwell-Pope misses free throw 2 of 2,,53-73,,
4:41.0,,,53-73,,Defensive rebound by D. Jordan
4:20.0,,,53-73,,Turnover by J. Crawford (bad pass; steal by A. Drummond)
4:16.0,K. Caldwell-Pope misses 2-pt shot at rim,,53-73,,
4:13.0,,,53-73,,Defensive rebound by Team
4:05.0,,,53-75,2,C. Paul makes 2-pt shot from 7 ft
3:47.0,Turnover by K. Caldwell-Pope (bad pass; steal by B. Griffin),,53-75,,
3:36.0,,,53-78,3,C. Paul makes 3-pt shot from 25 ft (assist by M. Barnes)
3:35.0,Detroit full timeout,,53-78,,
3:35.0,G. Monroe enters the game for J. Smith,,53-78,,
3:35.0,D. Augustin enters the game for B. Jennings,,53-78,,
3:17.0,J. Meeks misses 2-pt shot from 18 ft,,53-78,,
3:16.0,,,53-78,,Defensive rebound by J. Crawford
3:03.0,,,53-78,,Shooting foul by K. Caldwell-Pope (drawn by D. Jordan)
3:03.0,,,53-79,1,D. Jordan makes free throw 1 of 2
3:03.0,,,53-79,,J. Farmar enters the game for C. Paul
3:03.0,,,53-79,,D. Jordan misses free throw 2 of 2
3:01.0,Defensive rebound by A. Drummond,,53-79,,
2:47.0,J. Meeks makes 3-pt shot from 22 ft (assist by D. Augustin),3,56-79,,
2:22.0,,,56-79,,J. Crawford misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by K. Caldwell-Pope,,56-79,,
2:16.0,Shooting foul by D. Jordan (drawn by G. Monroe),,56-79,,
2:16.0,G. Monroe makes free throw 1 of 2,1,57-79,,
2:16.0,,,57-79,,G. Davis enters the game for D. Jordan
2:16.0,G. Monroe makes free throw 2 of 2,1,58-79,,
2:02.0,,,58-79,,J. Farmar misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by A. Drummond,,58-79,,
1:53.0,Shooting foul by M. Barnes (drawn by J. Meeks),,58-79,,
1:53.0,J. Meeks makes free throw 1 of 2,1,59-79,,
1:53.0,,,59-79,,C. Douglas-Roberts enters the game for M. Barnes
1:53.0,J. Meeks makes free throw 2 of 2,1,60-79,,
1:41.0,,,60-79,,J. Farmar misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by A. Drummond,,60-79,,
1:35.0,,,60-79,,Personal foul by G. Davis (drawn by G. Monroe)
1:35.0,G. Monroe makes free throw 1 of 2,1,61-79,,
1:35.0,G. Monroe misses free throw 2 of 2,,61-79,,
1:34.0,,,61-79,,Defensive rebound by G. Davis
1:19.0,,,61-79,,Shooting foul by J. Meeks (drawn by J. Crawford)
1:19.0,,,61-80,1,J. Crawford makes free throw 1 of 2
1:19.0,,,61-81,1,J. Crawford makes free throw 2 of 2
0:49.0,,,61-81,,J. Crawford misses 2-pt shot from 4 ft
0:48.0,Defensive rebound by G. Monroe,,61-81,,
0:38.0,Shooting foul by B. Griffin (drawn by A. Drummond),,61-81,,
0:38.0,A. Drummond misses free throw 1 of 2,,61-81,,
0:38.0,Offensive rebound by Team,,61-81,,
0:38.0,A. Drummond misses free throw 2 of 2,,61-81,,
0:37.0,,,61-81,,Defensive rebound by C. Douglas-Roberts
0:28.0,,,61-84,3,B. Griffin makes 3-pt shot from 24 ft (assist by J. Crawford)
0:08.0,G. Monroe makes 2-pt shot from 2 ft (assist by J. Meeks),2,63-84,,
0:04.0,,,63-84,,Shooting foul by K. Caldwell-Pope (drawn by J. Crawford)
0:04.0,,,63-85,1,J. Crawford makes free throw 1 of 2
0:04.0,,,63-86,1,J. Crawford makes free throw 2 of 2
0:01.0,D. Augustin misses 3-pt shot from 25 ft (block by J. Farmar),,63-86,,
0:00.0,Offensive rebound by Team,,63-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,63-88,2,C. Douglas-Roberts makes 2-pt shot from 1 ft (assist by J. Farmar)
11:29.0,Turnover by D. Augustin (bad pass; steal by D. Jordan),,63-88,,
11:07.0,,,63-90,2,G. Davis makes 2-pt shot from 15 ft (assist by C. Douglas-Roberts)
10:42.0,J. Meeks makes 2-pt shot from 11 ft,2,65-90,,
10:42.0,Shooting foul by D. Jordan (drawn by J. Meeks),,65-90,,
10:42.0,J. Meeks makes free throw 1 of 1,1,66-90,,
10:29.0,,,66-90,,J. Farmar misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Jerebko,,66-90,,
10:16.0,J. Jerebko makes 2-pt shot from 8 ft (assist by D. Augustin),2,68-90,,
10:10.0,,,68-90,,Turnover by J. Farmar (bad pass)
9:54.0,C. Butler misses 2-pt shot from 19 ft,,68-90,,
9:53.0,,,68-90,,Defensive rebound by D. Jordan
9:35.0,,,68-90,,J. Farmar misses 2-pt shot from 13 ft
9:33.0,,,68-90,,Offensive rebound by D. Jordan
9:31.0,,,68-92,2,D. Jordan makes 2-pt shot at rim
9:15.0,J. Jerebko makes 3-pt shot from 24 ft (assist by D. Augustin),3,71-92,,
8:57.0,,,71-94,2,G. Davis makes 2-pt shot at rim (assist by J. Crawford)
8:46.0,Detroit full timeout,,71-94,,
8:46.0,S. Dinwiddie enters the game for D. Augustin,,71-94,,
8:46.0,G. Monroe enters the game for A. Drummond,,71-94,,
8:45.0,C. Butler makes 2-pt shot from 12 ft (assist by J. Jerebko),2,73-94,,
8:26.0,,,73-94,,G. Davis misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by J. Jerebko,,73-94,,
8:11.0,J. Meeks makes 3-pt shot from 24 ft (assist by J. Jerebko),3,76-94,,
7:57.0,Personal foul by J. Meeks (drawn by J. Crawford),,76-94,,
7:57.0,,,76-94,,H. Turkoglu enters the game for D. Jordan
7:42.0,,,76-94,,J. Crawford misses 2-pt shot from 15 ft
7:40.0,Defensive rebound by J. Jerebko,,76-94,,
7:31.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Jerebko),2,78-94,,
7:31.0,,,78-94,,LA Clippers full timeout
7:07.0,,,78-94,,J. Farmar misses 2-pt shot from 22 ft
7:06.0,,,78-94,,Offensive rebound by G. Davis
6:49.0,,,78-96,2,G. Davis makes 2-pt shot from 2 ft (assist by J. Crawford)
6:39.0,,,78-96,,Personal foul by C. Douglas-Roberts (drawn by C. Butler)
6:30.0,J. Jerebko misses 2-pt shot from 10 ft,,78-96,,
6:25.0,,,78-96,,Defensive rebound by C. Douglas-Roberts
6:14.0,,,78-96,,Turnover by H. Turkoglu (bad pass)
5:54.0,G. Monroe misses 2-pt shot from 1 ft,,78-96,,
5:50.0,Offensive rebound by G. Monroe,,78-96,,
5:50.0,G. Monroe makes 2-pt shot at rim,2,80-96,,
5:36.0,Personal foul by S. Dinwiddie (drawn by J. Farmar),,80-96,,
5:23.0,,,80-99,3,H. Turkoglu makes 3-pt shot from 22 ft (assist by J. Farmar)
5:09.0,J. Meeks makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,83-99,,
4:49.0,,,83-99,,Turnover by J. Farmar (bad pass; steal by J. Jerebko)
4:49.0,,,83-99,,Personal foul by H. Turkoglu (drawn by J. Jerebko)
4:49.0,A. Drummond enters the game for G. Monroe,,83-99,,
4:32.0,S. Dinwiddie misses 3-pt shot from 25 ft,,83-99,,
4:30.0,,,83-99,,Defensive rebound by C. Douglas-Roberts
4:15.0,,,83-102,3,J. Farmar makes 3-pt shot from 25 ft (assist by J. Crawford)
4:14.0,Detroit full timeout,,83-102,,
4:14.0,,,83-102,,E. Udoh enters the game for G. Davis
3:55.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,85-102,,
3:28.0,,,85-102,,H. Turkoglu misses 3-pt shot from 25 ft
3:27.0,,,85-102,,Offensive rebound by E. Udoh
3:23.0,,,85-102,,E. Udoh misses 2-pt shot from 11 ft
3:22.0,Defensive rebound by C. Butler,,85-102,,
