time,LA Clippers,pts.away,score,pts.home,Houston
6:45.0,S. Hawes misses 3-pt shot from 25 ft,,10-11,,
6:43.0,Offensive rebound by J. Redick,,10-11,,
6:40.0,J. Redick makes 3-pt shot from 27 ft,3,13-11,,
6:32.0,,,13-11,,Houston full timeout
6:21.0,,,13-11,,J. Harden misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by D. Jordan,,13-11,,
6:13.0,J. Redick makes 2-pt shot from 20 ft,2,15-11,,
6:03.0,Violation by J. Redick (kicked ball),,15-11,,
5:59.0,,,15-14,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by T. Ariza)
5:44.0,D. Jordan misses 2-pt shot at rim,,15-14,,
5:43.0,Offensive rebound by D. Jordan,,15-14,,
5:41.0,D. Jordan makes 2-pt shot at rim,2,17-14,,
5:24.0,,,17-17,3,J. Terry makes 3-pt shot from 22 ft (assist by J. Harden)
5:08.0,Turnover by J. Redick (bad pass; steal by J. Terry),,17-17,,
5:01.0,,,17-17,,J. Harden misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by S. Hawes,,17-17,,
4:50.0,Offensive foul by S. Hawes,,17-17,,
4:50.0,Turnover by S. Hawes (offensive foul),,17-17,,
4:50.0,,,17-17,,C. Brewer enters the game for T. Ariza
4:50.0,,,17-17,,J. Smith enters the game for T. Jones
4:40.0,,,17-17,,Shooting foul by M. Barnes (drawn by J. Smith)
4:40.0,,,17-18,1,J. Smith makes free throw 1 of 2
4:40.0,J. Crawford enters the game for M. Barnes,,17-18,,
4:40.0,,,17-19,1,J. Smith makes free throw 2 of 2
4:28.0,Turnover by D. Jordan (bad pass; steal by J. Terry),,17-19,,
4:23.0,,,17-21,2,J. Smith makes 2-pt shot at rim (assist by J. Terry)
4:10.0,Turnover by S. Hawes (bad pass; steal by J. Terry),,17-21,,
4:08.0,,,17-21,,Turnover by D. Motiejunas (bad pass)
4:08.0,LA Clippers full timeout,,17-21,,
4:01.0,,,17-21,,Personal foul by C. Brewer (drawn by C. Paul)
3:37.0,J. Crawford makes 3-pt shot from 29 ft (assist by D. Jordan),3,20-21,,
3:30.0,,,20-21,,Shooting foul by J. Redick (drawn by J. Harden)
3:30.0,,,20-22,1,J. Harden makes free throw 1 of 2
3:30.0,G. Davis enters the game for S. Hawes,,20-22,,
3:30.0,A. Rivers enters the game for J. Redick,,20-22,,
3:30.0,,,20-22,,J. Harden misses free throw 2 of 2
3:28.0,Defensive rebound by D. Jordan,,20-22,,
3:09.0,G. Davis makes 2-pt shot from 19 ft (assist by C. Paul),2,22-22,,
2:49.0,,,22-24,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden)
2:37.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,24-24,,
2:22.0,,,24-24,,J. Terry misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by D. Jordan,,24-24,,
2:08.0,G. Davis misses 2-pt shot from 14 ft,,24-24,,
2:07.0,,,24-24,,Defensive rebound by J. Terry
2:00.0,,,24-24,,P. Prigioni enters the game for J. Terry
2:00.0,,,24-24,,T. Jones enters the game for D. Motiejunas
1:46.0,,,24-24,,T. Jones misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by G. Davis,,24-24,,
1:35.0,J. Crawford makes 2-pt shot from 11 ft,2,26-24,,
1:18.0,,,26-26,2,T. Jones makes 2-pt shot from 8 ft (assist by J. Harden)
1:07.0,H. Turkoglu enters the game for C. Paul,,26-26,,
1:01.0,A. Rivers misses 2-pt shot from 11 ft,,26-26,,
1:00.0,,,26-26,,Defensive rebound by T. Jones
0:54.0,,,26-26,,J. Harden misses 2-pt shot from 1 ft
0:52.0,,,26-26,,Offensive rebound by P. Prigioni
0:49.0,,,26-26,,C. Brewer misses 2-pt shot from 6 ft (block by D. Jordan)
0:47.0,,,26-26,,Offensive rebound by Team
0:47.0,Loose ball foul by A. Rivers (drawn by P. Prigioni),,26-26,,
0:47.0,,,26-26,,T. Ariza enters the game for J. Harden
0:35.0,,,26-26,,C. Brewer misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by D. Jordan,,26-26,,
0:26.0,J. Crawford misses 2-pt shot from 4 ft,,26-26,,
0:24.0,,,26-26,,Defensive rebound by T. Ariza
0:22.0,Personal foul by G. Davis (drawn by J. Smith),,26-26,,
0:22.0,,,26-27,1,J. Smith makes free throw 1 of 2
0:22.0,C. Paul enters the game for G. Davis,,26-27,,
0:22.0,Violation by H. Turkoglu (lane),,26-27,,
0:22.0,,,26-27,,J. Smith misses free throw 2 of 2
0:22.0,Defensive rebound by D. Jordan,,26-27,,
0:02.0,C. Paul misses 3-pt shot from 24 ft (block by T. Jones),,26-27,,
0:01.0,,,26-27,,Defensive rebound by C. Brewer
0:00.0,,,26-27,,C. Brewer misses 3-pt shot from 70 ft
0:00.0,,,26-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-30,3,T. Ariza makes 3-pt shot from 25 ft (assist by P. Prigioni)
11:32.0,A. Rivers makes 2-pt shot from 20 ft,2,28-30,,
11:15.0,,,28-30,,Shooting foul by G. Davis (drawn by C. Brewer)
11:15.0,,,28-30,,C. Brewer misses free throw 1 of 2
11:15.0,,,28-30,,Offensive rebound by Team
11:15.0,,,28-31,1,C. Brewer makes free throw 2 of 2
11:07.0,A. Rivers misses 2-pt shot from 19 ft,,28-31,,
11:05.0,,,28-31,,Defensive rebound by C. Brewer
11:03.0,,,28-31,,Shooting foul by H. Turkoglu (drawn by C. Brewer)
11:03.0,,,28-32,1,C. Brewer makes free throw 1 of 2
11:03.0,,,28-33,1,C. Brewer makes free throw 2 of 2
10:48.0,A. Rivers misses 3-pt shot from 25 ft,,28-33,,
10:47.0,,,28-33,,Defensive rebound by C. Brewer
10:38.0,,,28-33,,C. Brewer misses 2-pt shot from 3 ft
10:37.0,,,28-33,,Offensive rebound by T. Jones
10:36.0,,,28-35,2,T. Jones makes 2-pt shot from 2 ft
10:36.0,,,28-35,,Shooting foul by S. Hawes (drawn by T. Jones)
10:36.0,,,28-35,,T. Jones misses free throw 1 of 1
10:36.0,Defensive rebound by G. Davis,,28-35,,
10:22.0,J. Crawford makes 3-pt shot from 24 ft,3,31-35,,
10:02.0,,,31-37,2,T. Ariza makes 2-pt shot from 22 ft
9:46.0,S. Hawes misses 2-pt shot from 2 ft (block by T. Jones),,31-37,,
9:44.0,Offensive rebound by G. Davis,,31-37,,
9:41.0,J. Crawford misses 3-pt shot from 24 ft,,31-37,,
9:39.0,,,31-37,,Defensive rebound by C. Brewer
9:34.0,,,31-37,,T. Ariza misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by S. Hawes,,31-37,,
9:28.0,J. Crawford makes 2-pt shot from 1 ft,2,33-37,,
9:28.0,,,33-37,,Shooting block foul by J. Smith (drawn by J. Crawford)
9:28.0,M. Barnes enters the game for H. Turkoglu,,33-37,,
9:28.0,J. Crawford makes free throw 1 of 1,1,34-37,,
9:13.0,,,34-37,,C. Brewer misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by M. Barnes,,34-37,,
9:02.0,S. Hawes misses 3-pt shot from 25 ft,,34-37,,
9:01.0,Offensive rebound by G. Davis,,34-37,,
9:00.0,G. Davis makes 2-pt shot from 1 ft,2,36-37,,
8:49.0,,,36-40,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith)
8:28.0,J. Crawford makes 2-pt shot from 20 ft,2,38-40,,
8:14.0,,,38-40,,J. Smith misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by S. Hawes,,38-40,,
8:02.0,A. Rivers makes 2-pt shot from 7 ft,2,40-40,,
7:56.0,,,40-40,,Houston full timeout
7:56.0,,,40-40,,D. Motiejunas enters the game for J. Smith
7:41.0,,,40-40,,C. Brewer misses 2-pt shot from 12 ft
7:39.0,Defensive rebound by M. Barnes,,40-40,,
7:23.0,J. Crawford misses 2-pt shot from 15 ft,,40-40,,
7:21.0,,,40-40,,Defensive rebound by T. Ariza
7:13.0,,,40-40,,Offensive charge foul by D. Motiejunas
7:13.0,,,40-40,,Turnover by D. Motiejunas (offensive foul)
7:13.0,C. Paul enters the game for G. Davis,,40-40,,
7:13.0,D. Jordan enters the game for A. Rivers,,40-40,,
7:13.0,,,40-40,,J. Harden enters the game for T. Ariza
6:54.0,J. Crawford makes 2-pt shot from 12 ft,2,42-40,,
6:32.0,,,42-40,,Turnover by J. Harden (bad pass; steal by S. Hawes)
6:27.0,M. Barnes misses 2-pt shot from 1 ft,,42-40,,
6:27.0,Offensive rebound by S. Hawes,,42-40,,
6:27.0,Turnover by S. Hawes (offensive goaltending),,42-40,,
6:15.0,,,42-42,2,T. Jones makes 2-pt shot from 1 ft (assist by C. Brewer)
6:08.0,J. Crawford makes 3-pt shot from 25 ft,3,45-42,,
5:55.0,,,45-45,3,P. Prigioni makes 3-pt shot from 24 ft (assist by J. Harden)
5:38.0,C. Paul makes 2-pt shot from 17 ft,2,47-45,,
5:26.0,,,47-45,,P. Prigioni misses 3-pt shot from 27 ft
5:25.0,,,47-45,,Offensive rebound by D. Motiejunas
5:23.0,,,47-45,,Shooting foul by S. Hawes (drawn by J. Harden)
5:23.0,Official timeout,,47-45,,
5:23.0,,,47-45,,J. Smith enters the game for T. Jones
5:23.0,,,47-45,,T. Ariza enters the game for C. Brewer
5:23.0,G. Davis enters the game for S. Hawes,,47-45,,
5:23.0,,,47-46,1,J. Harden makes free throw 1 of 2
5:23.0,,,47-46,,J. Terry enters the game for P. Prigioni
5:23.0,,,47-47,1,J. Harden makes free throw 2 of 2
5:11.0,,,47-47,,Personal foul by T. Ariza (drawn by J. Crawford)
5:11.0,J. Redick enters the game for G. Davis,,47-47,,
5:00.0,M. Barnes misses 3-pt shot from 24 ft,,47-47,,
5:00.0,Offensive rebound by Team,,47-47,,
5:00.0,,,47-47,,Loose ball foul by D. Motiejunas (drawn by D. Jordan)
4:56.0,C. Paul makes 2-pt shot from 19 ft,2,49-47,,
4:35.0,,,49-49,2,D. Motiejunas makes 2-pt shot from 5 ft (assist by J. Terry)
4:25.0,Shooting foul by J. Terry (drawn by D. Jordan),,49-49,,
4:25.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,51-49,,
4:25.0,D. Jordan makes free throw 1 of 1,1,52-49,,
4:15.0,Personal foul by D. Jordan (drawn by J. Harden),,52-49,,
4:15.0,,,52-50,1,J. Harden makes free throw 1 of 2
4:15.0,,,52-51,1,J. Harden makes free throw 2 of 2
4:00.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,54-51,,
3:50.0,,,54-54,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by J. Harden)
3:32.0,C. Paul makes 2-pt shot from 18 ft,2,56-54,,
3:32.0,,,56-54,,Personal foul by D. Motiejunas (drawn by D. Jordan)
3:32.0,Personal foul by D. Jordan,,56-54,,
3:32.0,,,56-54,,T. Jones enters the game for D. Motiejunas
3:11.0,,,56-56,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
2:57.0,D. Jordan misses 2-pt shot from 3 ft,,56-56,,
2:56.0,,,56-56,,Defensive rebound by T. Jones
2:35.0,,,56-59,3,J. Harden makes 3-pt shot from 24 ft
2:18.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,58-59,,
2:07.0,,,58-59,,Shooting foul by C. Paul (drawn by J. Smith)
2:07.0,LA Clippers full timeout,,58-59,,
2:07.0,,,58-59,,J. Smith misses free throw 1 of 2
2:07.0,,,58-59,,Offensive rebound by Team
2:07.0,,,58-60,1,J. Smith makes free throw 2 of 2
1:53.0,J. Crawford misses 3-pt shot from 25 ft (block by T. Jones),,58-60,,
1:52.0,,,58-60,,Defensive rebound by T. Jones
1:31.0,,,58-60,,Shooting foul by M. Barnes (drawn by J. Harden)
1:31.0,,,58-61,1,J. Harden makes free throw 1 of 2
1:31.0,G. Davis enters the game for J. Redick,,58-61,,
1:31.0,,,58-62,1,J. Harden makes free throw 2 of 2
1:17.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,60-62,,
0:50.0,,,60-62,,Offensive charge foul by T. Ariza
0:50.0,,,60-62,,Turnover by T. Ariza (offensive foul)
0:28.0,M. Barnes misses 2-pt shot from 12 ft,,60-62,,
0:26.0,Offensive rebound by Team,,60-62,,
0:26.0,LA Clippers full timeout,,60-62,,
0:26.0,J. Redick enters the game for G. Davis,,60-62,,
0:05.0,D. Jordan misses 2-pt shot at rim,,60-62,,
0:03.0,,,60-62,,Defensive rebound by J. Harden
0:00.0,,,60-62,,T. Jones misses 2-pt shot from 16 ft
0:00.0,,,60-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,60-62,,D. Motiejunas misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by S. Hawes,,60-62,,
11:22.0,C. Paul misses 2-pt shot from 16 ft,,60-62,,
11:21.0,,,60-62,,Defensive rebound by T. Jones
11:18.0,,,60-62,,Turnover by T. Jones (bad pass)
11:09.0,Turnover by C. Paul (bad pass),,60-62,,
11:00.0,,,60-62,,J. Terry misses 3-pt shot from 23 ft
10:59.0,,,60-62,,Offensive rebound by D. Motiejunas
10:56.0,,,60-62,,J. Terry misses 2-pt shot from 15 ft
10:55.0,Defensive rebound by D. Jordan,,60-62,,
10:54.0,Turnover by D. Jordan (lost ball; steal by J. Terry),,60-62,,
10:46.0,,,60-64,2,J. Terry makes 2-pt shot from 12 ft (assist by J. Harden)
10:20.0,Shooting foul by T. Jones (drawn by S. Hawes),,60-64,,
10:20.0,S. Hawes makes free throw 1 of 2,1,61-64,,
10:20.0,S. Hawes makes free throw 2 of 2,1,62-64,,
10:07.0,,,62-67,3,T. Ariza makes 3-pt shot from 22 ft (assist by T. Jones)
9:57.0,,,62-67,,Personal foul by T. Jones (drawn by D. Jordan)
9:45.0,J. Redick misses 3-pt shot from 25 ft,,62-67,,
9:43.0,,,62-67,,Defensive rebound by J. Terry
9:34.0,,,62-67,,T. Jones misses 2-pt shot from 1 ft (block by S. Hawes)
9:32.0,Defensive rebound by C. Paul,,62-67,,
9:16.0,S. Hawes misses 2-pt shot from 6 ft,,62-67,,
9:14.0,,,62-67,,Defensive rebound by D. Motiejunas
8:57.0,,,62-67,,T. Jones misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by S. Hawes,,62-67,,
8:44.0,M. Barnes makes 3-pt shot from 26 ft (assist by C. Paul),3,65-67,,
8:27.0,,,65-67,,T. Ariza misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by M. Barnes,,65-67,,
8:23.0,Shooting foul by T. Ariza (drawn by D. Jordan),,65-67,,
8:23.0,D. Jordan makes free throw 1 of 2,1,66-67,,
8:23.0,D. Jordan makes free throw 2 of 2,1,67-67,,
8:03.0,,,67-67,,J. Harden misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by D. Jordan,,67-67,,
7:56.0,C. Paul makes 3-pt shot from 25 ft,3,70-67,,
7:37.0,,,70-69,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden)
7:27.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,72-69,,
7:16.0,,,72-69,,T. Jones misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by D. Jordan,,72-69,,
7:03.0,C. Paul misses 2-pt shot from 5 ft (block by T. Jones),,72-69,,
7:01.0,Offensive rebound by M. Barnes,,72-69,,
6:58.0,M. Barnes misses 3-pt shot from 25 ft,,72-69,,
6:57.0,Offensive rebound by D. Jordan,,72-69,,
6:54.0,J. Redick misses 2-pt shot from 3 ft,,72-69,,
6:52.0,,,72-69,,Defensive rebound by D. Motiejunas
6:47.0,,,72-69,,J. Terry misses 3-pt shot from 25 ft
6:46.0,,,72-69,,Offensive rebound by T. Jones
6:46.0,,,72-71,2,T. Jones makes 2-pt shot from 2 ft
6:33.0,,,72-71,,Personal foul by J. Terry (drawn by J. Redick)
6:24.0,C. Paul makes 2-pt shot from 15 ft,2,74-71,,
6:06.0,,,74-71,,Shooting foul by D. Jordan (drawn by T. Jones)
6:06.0,,,74-71,,Houston full timeout
6:06.0,,,74-71,,J. Smith enters the game for D. Motiejunas
6:06.0,,,74-72,1,T. Jones makes free throw 1 of 2
6:06.0,,,74-73,1,T. Jones makes free throw 2 of 2
5:42.0,M. Barnes misses 3-pt shot from 27 ft,,74-73,,
5:42.0,Offensive rebound by Team,,74-73,,
5:42.0,Turnover by Team (shot clock),,74-73,,
5:26.0,,,74-76,3,J. Smith makes 3-pt shot from 24 ft (assist by T. Ariza)
5:11.0,M. Barnes misses 3-pt shot from 22 ft,,74-76,,
5:11.0,Offensive rebound by Team,,74-76,,
5:11.0,,,74-76,,Loose ball foul by T. Jones (drawn by C. Paul)
5:11.0,C. Paul makes free throw 1 of 2,1,75-76,,
5:11.0,C. Paul makes free throw 2 of 2,1,76-76,,
4:55.0,,,76-76,,T. Ariza misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by S. Hawes,,76-76,,
4:37.0,Shooting foul by J. Harden (drawn by S. Hawes),,76-76,,
4:37.0,S. Hawes makes free throw 1 of 2,1,77-76,,
4:37.0,J. Crawford enters the game for M. Barnes,,77-76,,
4:37.0,S. Hawes makes free throw 2 of 2,1,78-76,,
4:20.0,,,78-76,,J. Smith misses 2-pt shot from 1 ft
4:19.0,,,78-76,,Offensive rebound by J. Smith
4:13.0,,,78-76,,J. Terry misses 3-pt shot from 23 ft
4:12.0,,,78-76,,Offensive rebound by T. Jones
4:07.0,,,78-76,,J. Smith misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by D. Jordan,,78-76,,
3:50.0,Turnover by C. Paul (bad pass),,78-76,,
3:35.0,,,78-79,3,J. Harden makes 3-pt shot from 25 ft
3:19.0,Shooting foul by J. Smith (drawn by D. Jordan),,78-79,,
3:19.0,D. Jordan misses free throw 1 of 2,,78-79,,
3:19.0,Offensive rebound by Team,,78-79,,
3:19.0,,,78-79,,C. Brewer enters the game for T. Ariza
3:19.0,D. Jordan makes free throw 2 of 2,1,79-79,,
2:59.0,,,79-79,,Turnover by J. Smith (bad pass)
2:59.0,LA Clippers full timeout,,79-79,,
2:59.0,,,79-79,,D. Motiejunas enters the game for T. Jones
2:59.0,,,79-79,,Violation by D. Motiejunas (kicked ball)
2:46.0,Turnover by D. Jordan (offensive foul),,79-79,,
2:46.0,Offensive charge foul by D. Jordan,,79-79,,
2:46.0,G. Davis enters the game for D. Jordan,,79-79,,
2:35.0,,,79-79,,J. Smith misses 2-pt shot from 6 ft
2:33.0,Defensive rebound by S. Hawes,,79-79,,
2:25.0,Shooting foul by J. Smith (drawn by C. Paul),,79-79,,
2:25.0,C. Paul makes free throw 1 of 2,1,80-79,,
2:25.0,A. Rivers enters the game for J. Redick,,80-79,,
2:25.0,C. Paul makes free throw 2 of 2,1,81-79,,
2:08.0,,,81-79,,D. Motiejunas misses 2-pt shot from 6 ft
2:06.0,,,81-79,,Offensive rebound by J. Smith
1:55.0,,,81-79,,J. Harden misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by J. Crawford,,81-79,,
1:46.0,Turnover by J. Crawford (lost ball),,81-79,,
1:46.0,,,81-79,,P. Prigioni enters the game for J. Terry
1:34.0,,,81-79,,J. Smith misses 2-pt shot from 7 ft
1:32.0,Defensive rebound by A. Rivers,,81-79,,
1:17.0,A. Rivers misses 2-pt shot from 16 ft,,81-79,,
1:15.0,,,81-79,,Defensive rebound by J. Smith
1:11.0,,,81-81,2,C. Brewer makes 2-pt shot at rim (assist by J. Smith)
0:45.0,C. Paul misses 2-pt shot from 18 ft,,81-81,,
0:43.0,Offensive rebound by G. Davis,,81-81,,
0:38.0,C. Paul makes 2-pt shot from 13 ft,2,83-81,,
0:22.0,,,83-84,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by J. Smith)
0:03.0,J. Crawford makes 2-pt shot from 2 ft,2,85-84,,
0:00.0,,,85-84,,P. Prigioni misses 3-pt shot from 38 ft
0:00.0,,,85-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,H. Turkoglu misses 3-pt shot from 23 ft,,85-84,,
11:40.0,,,85-84,,Defensive rebound by C. Brewer
11:27.0,,,85-84,,P. Prigioni misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by A. Rivers,,85-84,,
11:20.0,Turnover by A. Rivers (bad pass; steal by P. Prigioni),,85-84,,
11:17.0,,,85-84,,C. Brewer misses 2-pt shot from 3 ft (block by A. Rivers)
11:17.0,,,85-84,,Offensive rebound by Team
11:12.0,,,85-84,,J. Smith misses 3-pt shot from 25 ft
11:11.0,,,85-84,,Offensive rebound by P. Prigioni
10:59.0,,,85-87,3,C. Brewer makes 3-pt shot from 25 ft (assist by T. Ariza)
10:37.0,G. Davis misses 2-pt shot from 4 ft (block by C. Brewer),,85-87,,
10:34.0,Offensive rebound by G. Davis,,85-87,,
10:29.0,A. Rivers misses 3-pt shot from 25 ft,,85-87,,
10:28.0,,,85-87,,Defensive rebound by D. Motiejunas
10:15.0,,,85-90,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Brewer)
9:55.0,,,85-90,,Personal foul by P. Prigioni (drawn by H. Turkoglu)
9:51.0,Shooting foul by P. Prigioni (drawn by A. Rivers),,85-90,,
9:51.0,A. Rivers misses free throw 1 of 2,,85-90,,
9:51.0,Offensive rebound by Team,,85-90,,
9:51.0,A. Rivers makes free throw 2 of 2,1,86-90,,
9:36.0,,,86-90,,C. Brewer misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by M. Barnes,,86-90,,
9:29.0,J. Crawford misses 3-pt shot from 26 ft,,86-90,,
9:27.0,,,86-90,,Defensive rebound by J. Smith
9:18.0,,,86-90,,C. Brewer misses 3-pt shot from 22 ft
9:17.0,Defensive rebound by A. Rivers,,86-90,,
9:10.0,Turnover by A. Rivers (lost ball; steal by P. Prigioni),,86-90,,
9:06.0,,,86-92,2,C. Brewer makes 2-pt shot at rim (assist by P. Prigioni)
9:06.0,LA Clippers full timeout,,86-92,,
9:06.0,D. Jordan enters the game for G. Davis,,86-92,,
8:52.0,J. Crawford misses 2-pt shot from 3 ft (block by J. Smith),,86-92,,
8:50.0,,,86-92,,Defensive rebound by J. Smith
8:47.0,,,86-94,2,C. Brewer makes 2-pt shot at rim (assist by J. Smith)
8:15.0,A. Rivers misses 2-pt shot from 1 ft (block by J. Smith),,86-94,,
8:13.0,,,86-94,,Defensive rebound by J. Smith
8:04.0,Personal foul by M. Barnes (drawn by C. Brewer),,86-94,,
8:04.0,J. Redick enters the game for A. Rivers,,86-94,,
8:04.0,S. Hawes enters the game for H. Turkoglu,,86-94,,
8:04.0,C. Paul enters the game for M. Barnes,,86-94,,
7:57.0,,,86-97,3,C. Brewer makes 3-pt shot from 25 ft
7:43.0,J. Redick misses 2-pt shot from 21 ft,,86-97,,
7:41.0,,,86-97,,Defensive rebound by J. Smith
7:32.0,,,86-99,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by P. Prigioni)
7:32.0,LA Clippers full timeout,,86-99,,
7:18.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,89-99,,
7:05.0,,,89-99,,J. Smith misses 2-pt shot from 4 ft (block by D. Jordan)
7:03.0,Defensive rebound by J. Redick,,89-99,,
6:53.0,S. Hawes misses 2-pt shot from 2 ft,,89-99,,
6:51.0,,,89-99,,Defensive rebound by D. Motiejunas
6:37.0,,,89-99,,T. Ariza misses 3-pt shot from 25 ft
6:36.0,,,89-99,,Offensive rebound by Team
6:33.0,Personal foul by C. Paul (drawn by P. Prigioni),,89-99,,
6:25.0,,,89-99,,Turnover by P. Prigioni (lost ball)
6:18.0,C. Paul misses 2-pt shot from 20 ft,,89-99,,
6:16.0,,,89-99,,Defensive rebound by J. Smith
6:03.0,,,89-99,,J. Harden enters the game for T. Ariza
6:03.0,,,89-99,,J. Terry enters the game for P. Prigioni
5:56.0,,,89-99,,J. Harden misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by C. Paul,,89-99,,
5:44.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,91-99,,
5:44.0,Shooting foul by J. Smith (drawn by D. Jordan),,91-99,,
5:44.0,,,91-99,,T. Jones enters the game for J. Smith
5:44.0,D. Jordan misses free throw 1 of 1,,91-99,,
5:44.0,,,91-99,,Defensive rebound by J. Harden
5:28.0,,,91-99,,Turnover by J. Harden (bad pass)
5:17.0,J. Crawford makes 2-pt shot from 11 ft,2,93-99,,
