time,Phoenix,pts.away,score,pts.home,Boston
8:57.0,,,8-9,,J. Sullinger misses 2-pt shot from 5 ft
8:55.0,Defensive rebound by M. Morris,,8-9,,
8:48.0,Offensive foul by M. Plumlee,,8-9,,
8:48.0,Turnover by M. Plumlee (offensive foul),,8-9,,
8:48.0,A. Len enters the game for M. Plumlee,,8-9,,
8:35.0,,,8-9,,J. Green misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by E. Bledsoe,,8-9,,
8:28.0,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,10-9,,
8:19.0,Personal foul by M. Morris (drawn by K. Olynyk),,10-9,,
8:10.0,,,10-9,,J. Green misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by G. Dragic,,10-9,,
7:59.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Dragic),2,12-9,,
7:43.0,,,12-11,2,J. Sullinger makes 2-pt shot at rim (assist by A. Bradley)
7:26.0,E. Bledsoe makes 2-pt shot from 3 ft,2,14-11,,
7:15.0,,,14-13,2,A. Bradley makes 2-pt shot from 13 ft
7:07.0,M. Morris misses 3-pt shot from 22 ft,,14-13,,
7:06.0,,,14-13,,Defensive rebound by R. Rondo
7:02.0,,,14-13,,J. Green misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by G. Dragic,,14-13,,
6:49.0,M. Morris makes 2-pt shot from 18 ft (assist by G. Dragic),2,16-13,,
6:34.0,,,16-13,,A. Bradley misses 2-pt shot from 18 ft
6:33.0,Defensive rebound by M. Morris,,16-13,,
6:31.0,Turnover by M. Morris (lost ball; steal by J. Sullinger),,16-13,,
6:27.0,,,16-13,,J. Sullinger misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by M. Morris,,16-13,,
6:24.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,18-13,,
6:24.0,Shooting foul by R. Rondo (drawn by M. Morris),,18-13,,
6:24.0,,,18-13,,B. Bass enters the game for J. Sullinger
6:24.0,,,18-13,,E. Turner enters the game for A. Bradley
6:24.0,M. Morris makes free throw 1 of 1,1,19-13,,
6:23.0,,,19-13,,Boston full timeout
6:23.0,G. Green enters the game for M. Morris,,19-13,,
6:17.0,,,19-13,,Shooting foul by G. Dragic (drawn by R. Rondo)
6:17.0,,,19-13,,R. Rondo misses free throw 1 of 2
6:17.0,,,19-13,,Offensive rebound by Team
6:17.0,,,19-14,1,R. Rondo makes free throw 2 of 2
6:09.0,Shooting foul by K. Olynyk (drawn by E. Bledsoe),,19-14,,
6:09.0,E. Bledsoe makes free throw 1 of 2,1,20-14,,
6:09.0,E. Bledsoe misses free throw 2 of 2,,20-14,,
6:09.0,,,20-14,,Defensive rebound by K. Olynyk
6:03.0,,,20-16,2,E. Turner makes 2-pt shot from 18 ft (assist by R. Rondo)
5:55.0,Turnover by A. Len (lost ball; steal by E. Turner),,20-16,,
5:50.0,,,20-16,,Turnover by R. Rondo (bad pass; steal by E. Bledsoe)
5:48.0,,,20-16,,Personal foul by E. Turner (drawn by E. Bledsoe)
5:48.0,E. Bledsoe makes free throw 1 of 2,1,21-16,,
5:48.0,,,21-16,,P. Pressey enters the game for R. Rondo
5:48.0,E. Bledsoe makes free throw 2 of 2,1,22-16,,
5:31.0,,,22-16,,B. Bass misses 2-pt shot from 15 ft
5:30.0,Defensive rebound by G. Dragic,,22-16,,
5:17.0,G. Green makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,25-16,,
5:06.0,,,25-16,,Turnover by K. Olynyk (bad pass)
5:06.0,,,25-16,,T. Zeller enters the game for K. Olynyk
5:06.0,I. Thomas enters the game for G. Dragic,,25-16,,
5:06.0,A. Tolliver enters the game for M. Morris,,25-16,,
5:00.0,A. Len makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,27-16,,
4:42.0,,,27-16,,B. Bass misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by I. Thomas,,27-16,,
4:34.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,29-16,,
4:20.0,,,29-16,,B. Bass misses 2-pt shot from 13 ft
4:19.0,Defensive rebound by E. Bledsoe,,29-16,,
4:01.0,Turnover by E. Bledsoe (bad pass; steal by J. Green),,29-16,,
3:57.0,,,29-18,2,J. Green makes 2-pt shot at rim
3:36.0,I. Thomas misses 3-pt shot from 25 ft,,29-18,,
3:35.0,,,29-18,,Defensive rebound by J. Green
3:30.0,Shooting block foul by G. Green (drawn by J. Green),,29-18,,
3:30.0,,,29-19,1,J. Green makes free throw 1 of 2
3:30.0,,,29-20,1,J. Green makes free throw 2 of 2
3:15.0,G. Green misses 2-pt shot from 1 ft (block by J. Green),,29-20,,
3:13.0,,,29-20,,Defensive rebound by E. Turner
3:05.0,,,29-22,2,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner)
2:59.0,Phoenix full timeout,,29-22,,
2:56.0,Turnover by G. Green (bad pass; steal by J. Green),,29-22,,
2:51.0,,,29-22,,J. Green misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by A. Len,,29-22,,
2:32.0,E. Bledsoe misses 2-pt shot from 2 ft,,29-22,,
2:31.0,,,29-22,,Defensive rebound by T. Zeller
2:10.0,,,29-22,,B. Bass misses 2-pt shot from 4 ft
2:09.0,Defensive rebound by A. Tolliver,,29-22,,
1:59.0,Shooting foul by J. Green (drawn by I. Thomas),,29-22,,
1:59.0,I. Thomas makes free throw 1 of 2,1,30-22,,
1:59.0,I. Thomas makes free throw 2 of 2,1,31-22,,
1:46.0,,,31-24,2,J. Green makes 2-pt shot from 7 ft (assist by E. Turner)
1:31.0,G. Green misses 2-pt shot from 20 ft,,31-24,,
1:28.0,Offensive rebound by Team,,31-24,,
1:28.0,G. Dragic enters the game for E. Bledsoe,,31-24,,
1:28.0,,,31-24,,R. Rondo enters the game for P. Pressey
1:28.0,,,31-24,,A. Bradley enters the game for J. Green
1:25.0,A. Tolliver misses 2-pt shot from 18 ft,,31-24,,
1:24.0,,,31-24,,Defensive rebound by E. Turner
1:19.0,,,31-26,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
1:01.0,G. Dragic misses 3-pt shot from 25 ft,,31-26,,
1:00.0,,,31-26,,Defensive rebound by R. Rondo
0:50.0,,,31-26,,A. Bradley misses 2-pt shot from 16 ft
0:48.0,,,31-26,,Offensive rebound by B. Bass
0:45.0,,,31-29,3,E. Turner makes 3-pt shot from 22 ft (assist by B. Bass)
0:33.0,Turnover by I. Thomas (step out of bounds),,31-29,,
0:26.0,,,31-29,,Shooting foul by A. Tolliver (drawn by B. Bass)
0:26.0,,,31-30,1,B. Bass makes free throw 1 of 2
0:26.0,,,31-31,1,B. Bass makes free throw 2 of 2
0:08.0,G. Dragic misses 2-pt shot from 3 ft,,31-31,,
0:07.0,Offensive rebound by A. Len,,31-31,,
0:07.0,A. Len makes 2-pt shot from 1 ft,2,33-31,,
0:01.0,,,33-31,,Turnover by T. Zeller (lost ball)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,33-31,,Shooting foul by M. Morris (drawn by J. Sullinger)
11:49.0,,,33-31,,J. Sullinger misses free throw 1 of 2
11:49.0,,,33-31,,Offensive rebound by Team
11:49.0,,,33-32,1,J. Sullinger makes free throw 2 of 2
11:27.0,I. Thomas misses 2-pt shot from 4 ft,,33-32,,
11:26.0,Offensive rebound by I. Thomas,,33-32,,
11:23.0,G. Dragic makes 3-pt shot from 25 ft (assist by I. Thomas),3,36-32,,
11:01.0,,,36-34,2,A. Bradley makes 2-pt shot from 1 ft (assist by R. Rondo)
11:01.0,,,36-34,,Violation by Team (delay of game)
10:46.0,G. Green misses 2-pt shot from 15 ft,,36-34,,
10:45.0,,,36-34,,Defensive rebound by T. Zeller
10:31.0,,,36-34,,J. Sullinger misses 2-pt shot from 11 ft
10:30.0,,,36-34,,Offensive rebound by M. Thornton
10:30.0,,,36-36,2,M. Thornton makes 2-pt shot from 1 ft
10:21.0,Turnover by G. Dragic (lost ball),,36-36,,
10:21.0,M. Morris enters the game for G. Green,,36-36,,
9:59.0,,,36-36,,M. Thornton misses 2-pt shot at rim
9:58.0,Defensive rebound by Team,,36-36,,
9:58.0,,,36-36,,Loose ball foul by T. Zeller (drawn by M. Plumlee)
9:44.0,I. Thomas misses 3-pt shot from 24 ft,,36-36,,
9:43.0,,,36-36,,Defensive rebound by R. Rondo
9:38.0,,,36-38,2,J. Sullinger makes 2-pt shot from 1 ft (assist by R. Rondo)
9:15.0,M. Morris makes 3-pt shot from 24 ft (assist by G. Dragic),3,39-38,,
8:56.0,,,39-38,,J. Sullinger misses 2-pt shot from 2 ft (block by M. Plumlee)
8:54.0,Defensive rebound by M. Plumlee,,39-38,,
8:48.0,G. Dragic misses 3-pt shot from 22 ft,,39-38,,
8:47.0,,,39-38,,Defensive rebound by T. Zeller
8:42.0,,,39-38,,Turnover by R. Rondo (bad pass; steal by G. Dragic)
8:39.0,G. Dragic makes 2-pt shot at rim,2,41-38,,
8:21.0,,,41-40,2,A. Bradley makes 2-pt shot from 20 ft (assist by R. Rondo)
8:04.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,43-40,,
7:45.0,,,43-40,,Turnover by J. Sullinger (lost ball; steal by M. Morris)
7:45.0,,,43-40,,Loose ball foul by J. Sullinger (drawn by I. Thomas)
7:45.0,Official timeout,,43-40,,
7:45.0,,,43-40,,K. Olynyk enters the game for T. Zeller
7:30.0,M. Morris makes 2-pt shot from 11 ft,2,45-40,,
7:10.0,,,45-40,,M. Thornton misses 2-pt shot from 4 ft
7:09.0,,,45-40,,Offensive rebound by J. Sullinger
7:07.0,,,45-42,2,J. Sullinger makes 2-pt shot at rim
6:54.0,I. Thomas misses 2-pt shot from 15 ft,,45-42,,
6:52.0,,,45-42,,Defensive rebound by R. Rondo
6:42.0,,,45-44,2,R. Rondo makes 2-pt shot from 1 ft
6:19.0,G. Dragic makes 2-pt shot from 5 ft (assist by M. Morris),2,47-44,,
6:02.0,,,47-44,,A. Bradley misses 2-pt shot from 14 ft
6:01.0,Defensive rebound by M. Morris,,47-44,,
5:54.0,I. Thomas misses 2-pt shot from 1 ft,,47-44,,
5:52.0,,,47-44,,Defensive rebound by J. Sullinger
5:46.0,,,47-46,2,R. Rondo makes 2-pt shot at rim
5:28.0,M. Plumlee misses 2-pt shot from 4 ft,,47-46,,
5:27.0,,,47-46,,Defensive rebound by K. Olynyk
5:27.0,Personal foul by G. Dragic (drawn by R. Rondo),,47-46,,
5:27.0,,,47-46,,Boston full timeout
5:27.0,,,47-46,,J. Green enters the game for J. Sullinger
5:27.0,,,47-46,,E. Turner enters the game for A. Bradley
5:27.0,,,47-46,,B. Bass enters the game for M. Thornton
5:27.0,E. Bledsoe enters the game for M. Plumlee,,47-46,,
5:27.0,A. Len enters the game for I. Thomas,,47-46,,
5:18.0,,,47-46,,Turnover by R. Rondo (bad pass; steal by M. Morris)
5:12.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Morris),2,49-46,,
4:52.0,,,49-46,,K. Olynyk misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by M. Morris,,49-46,,
4:41.0,G. Dragic makes 3-pt shot from 22 ft (assist by M. Morris),3,52-46,,
4:20.0,,,52-46,,Turnover by K. Olynyk (traveling)
4:20.0,,,52-46,,P. Pressey enters the game for R. Rondo
4:06.0,M. Morris misses 2-pt shot from 14 ft,,52-46,,
4:05.0,Offensive rebound by M. Morris,,52-46,,
4:04.0,,,52-46,,Shooting block foul by K. Olynyk (drawn by M. Morris)
4:04.0,M. Morris misses free throw 1 of 2,,52-46,,
4:04.0,Offensive rebound by Team,,52-46,,
4:04.0,,,52-46,,T. Zeller enters the game for K. Olynyk
4:04.0,M. Morris misses free throw 2 of 2,,52-46,,
4:04.0,,,52-46,,Defensive rebound by B. Bass
3:43.0,,,52-48,2,J. Green makes 2-pt shot from 1 ft (assist by T. Zeller)
3:21.0,M. Morris makes 2-pt shot from 14 ft (assist by M. Morris),2,54-48,,
3:05.0,,,54-48,,Turnover by E. Turner (bad pass; steal by A. Len)
3:01.0,A. Len makes 2-pt shot at rim,2,56-48,,
2:43.0,,,56-48,,Shooting foul by A. Len (drawn by T. Zeller)
2:43.0,Phoenix full timeout,,56-48,,
2:43.0,,,56-48,,A. Bradley enters the game for E. Turner
2:43.0,,,56-48,,T. Zeller misses free throw 1 of 2
2:43.0,,,56-48,,Offensive rebound by Team
2:43.0,,,56-49,1,T. Zeller makes free throw 2 of 2
2:25.0,G. Dragic misses 2-pt shot from 8 ft,,56-49,,
2:23.0,,,56-49,,Defensive rebound by A. Bradley
2:11.0,Personal foul by M. Morris (drawn by J. Green),,56-49,,
2:11.0,G. Green enters the game for G. Dragic,,56-49,,
2:11.0,,,56-49,,R. Rondo enters the game for P. Pressey
2:11.0,T. Warren enters the game for M. Morris,,56-49,,
2:03.0,,,56-49,,A. Bradley misses 2-pt shot from 16 ft
2:02.0,Defensive rebound by T. Warren,,56-49,,
1:50.0,A. Len makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,58-49,,
1:40.0,Personal foul by T. Warren (drawn by J. Green),,58-49,,
1:40.0,,,58-49,,J. Green misses free throw 1 of 2
1:40.0,,,58-49,,Offensive rebound by Team
1:40.0,,,58-50,1,J. Green makes free throw 2 of 2
1:21.0,M. Morris misses 2-pt shot from 6 ft,,58-50,,
1:20.0,,,58-50,,Defensive rebound by B. Bass
1:03.0,,,58-52,2,T. Zeller makes 2-pt shot from 2 ft (assist by B. Bass)
0:44.0,E. Bledsoe misses 2-pt shot from 1 ft (block by T. Zeller),,58-52,,
0:43.0,Offensive rebound by A. Len,,58-52,,
0:42.0,A. Len makes 2-pt shot at rim,2,60-52,,
0:32.0,,,60-54,2,T. Zeller makes 2-pt shot from 3 ft
0:11.0,M. Morris misses 3-pt shot from 24 ft,,60-54,,
0:09.0,,,60-54,,Defensive rebound by Team
0:05.0,,,60-54,,Boston full timeout
0:05.0,,,60-54,,J. Sullinger enters the game for B. Bass
0:04.0,,,60-54,,Turnover by J. Green (bad pass; steal by M. Morris)
0:02.0,T. Warren misses 2-pt shot from 1 ft (block by J. Green),,60-54,,
0:01.0,Offensive rebound by G. Green,,60-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Shooting block foul by M. Plumlee (drawn by R. Rondo),,60-54,,
11:51.0,,,60-55,1,R. Rondo makes free throw 1 of 2
11:51.0,,,60-55,,R. Rondo misses free throw 2 of 2
11:50.0,Defensive rebound by M. Morris,,60-55,,
11:38.0,,,60-55,,Personal foul by B. Bass (drawn by M. Morris)
11:24.0,G. Dragic misses 2-pt shot from 11 ft,,60-55,,
11:23.0,,,60-55,,Defensive rebound by B. Bass
11:21.0,,,60-55,,Turnover by B. Bass (bad pass; steal by G. Dragic)
11:18.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,62-55,,
11:04.0,,,62-55,,R. Rondo misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by E. Bledsoe,,62-55,,
10:59.0,E. Bledsoe makes 2-pt shot from 1 ft,2,64-55,,
10:37.0,,,64-55,,A. Bradley misses 2-pt shot from 4 ft
10:35.0,Defensive rebound by M. Morris,,64-55,,
10:27.0,,,64-55,,Personal foul by B. Bass (drawn by E. Bledsoe)
10:27.0,E. Bledsoe makes free throw 1 of 2,1,65-55,,
10:27.0,E. Bledsoe makes free throw 2 of 2,1,66-55,,
10:08.0,,,66-55,,J. Sullinger misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by G. Dragic,,66-55,,
9:51.0,M. Morris makes 2-pt shot from 13 ft (assist by M. Morris),2,68-55,,
9:38.0,,,68-57,2,R. Rondo makes 2-pt shot from 3 ft (assist by J. Sullinger)
9:29.0,M. Morris makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,71-57,,
9:29.0,,,71-57,,Boston full timeout
9:13.0,,,71-57,,R. Rondo misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by M. Morris,,71-57,,
8:53.0,Turnover by M. Plumlee (bad pass; steal by R. Rondo),,71-57,,
8:48.0,,,71-59,2,R. Rondo makes 2-pt shot from 2 ft
8:37.0,Turnover by G. Dragic (lost ball; steal by A. Bradley),,71-59,,
8:33.0,,,71-59,,Turnover by A. Bradley (lost ball)
8:23.0,E. Bledsoe misses 2-pt shot from 2 ft,,71-59,,
8:21.0,,,71-59,,Defensive rebound by R. Rondo
8:15.0,,,71-61,2,R. Rondo makes 2-pt shot from 16 ft
8:00.0,E. Bledsoe misses 2-pt shot at rim,,71-61,,
7:59.0,,,71-61,,Defensive rebound by R. Rondo
7:49.0,,,71-63,2,J. Green makes 2-pt shot from 21 ft (assist by R. Rondo)
7:49.0,Phoenix full timeout,,71-63,,
7:49.0,,,71-63,,P. Pressey enters the game for R. Rondo
7:29.0,M. Morris makes 2-pt shot at rim,2,73-63,,
7:10.0,,,73-63,,B. Bass misses 2-pt shot from 2 ft
7:09.0,,,73-63,,Offensive rebound by J. Sullinger
7:08.0,,,73-63,,J. Sullinger misses 2-pt shot from 1 ft
7:07.0,,,73-63,,Offensive rebound by B. Bass
7:06.0,,,73-63,,Shooting foul by E. Bledsoe (drawn by B. Bass)
7:06.0,,,73-64,1,B. Bass makes free throw 1 of 2
7:06.0,,,73-65,1,B. Bass makes free throw 2 of 2
6:53.0,Turnover by M. Morris (lost ball),,73-65,,
6:44.0,,,73-65,,J. Sullinger misses 2-pt shot from 20 ft
6:43.0,Defensive rebound by G. Dragic,,73-65,,
6:37.0,G. Dragic makes 2-pt shot from 2 ft,2,75-65,,
6:22.0,,,75-67,2,P. Pressey makes 2-pt shot from 19 ft
6:05.0,Turnover by E. Bledsoe (bad pass),,75-67,,
6:05.0,A. Len enters the game for M. Plumlee,,75-67,,
6:05.0,I. Thomas enters the game for E. Bledsoe,,75-67,,
5:54.0,,,75-69,2,J. Green makes 2-pt shot from 6 ft (assist by P. Pressey)
5:42.0,Turnover by I. Thomas (bad pass; steal by P. Pressey),,75-69,,
5:31.0,,,75-72,3,J. Sullinger makes 3-pt shot from 26 ft (assist by J. Green)
5:18.0,A. Len makes 2-pt shot at rim (assist by M. Morris),2,77-72,,
5:05.0,,,77-74,2,A. Bradley makes 2-pt shot from 3 ft
4:53.0,I. Thomas misses 2-pt shot from 2 ft,,77-74,,
4:51.0,,,77-74,,Defensive rebound by J. Sullinger
4:42.0,,,77-74,,J. Sullinger misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by G. Dragic,,77-74,,
4:27.0,G. Dragic misses 3-pt shot from 25 ft,,77-74,,
4:25.0,,,77-74,,Defensive rebound by J. Green
4:17.0,,,77-74,,Turnover by B. Bass (traveling)
4:17.0,,,77-74,,T. Zeller enters the game for J. Sullinger
4:04.0,A. Len misses 2-pt shot from 14 ft,,77-74,,
4:03.0,,,77-74,,Defensive rebound by P. Pressey
3:55.0,,,77-74,,J. Green misses 3-pt shot from 23 ft
3:54.0,,,77-74,,Offensive rebound by Team
3:54.0,Loose ball foul by G. Dragic (drawn by T. Zeller),,77-74,,
3:54.0,,,77-74,,K. Olynyk enters the game for B. Bass
3:54.0,,,77-74,,R. Rondo enters the game for P. Pressey
3:54.0,,,77-74,,E. Turner enters the game for A. Bradley
3:54.0,G. Green enters the game for G. Dragic,,77-74,,
3:47.0,,,77-76,2,J. Green makes 2-pt shot from 7 ft (assist by R. Rondo)
3:32.0,M. Morris makes 2-pt shot from 5 ft,2,79-76,,
3:26.0,,,79-76,,R. Rondo misses 2-pt shot from 2 ft
3:25.0,,,79-76,,Offensive rebound by T. Zeller
3:24.0,,,79-76,,Shooting foul by M. Morris (drawn by T. Zeller)
3:24.0,,,79-77,1,T. Zeller makes free throw 1 of 2
3:24.0,,,79-78,1,T. Zeller makes free throw 2 of 2
3:06.0,M. Morris misses 2-pt shot from 18 ft,,79-78,,
3:05.0,,,79-78,,Defensive rebound by R. Rondo
2:49.0,,,79-78,,E. Turner misses 2-pt shot from 19 ft
2:48.0,Defensive rebound by I. Thomas,,79-78,,
2:39.0,I. Thomas makes 2-pt shot from 5 ft (assist by M. Morris),2,81-78,,
2:25.0,,,81-78,,Shooting foul by I. Thomas (drawn by R. Rondo)
2:25.0,,,81-78,,R. Rondo misses free throw 1 of 2
2:25.0,,,81-78,,Offensive rebound by Team
2:25.0,T. Warren enters the game for M. Morris,,81-78,,
2:25.0,,,81-78,,R. Rondo misses free throw 2 of 2
2:24.0,Defensive rebound by A. Len,,81-78,,
2:13.0,M. Morris misses 3-pt shot from 25 ft,,81-78,,
2:11.0,,,81-78,,Defensive rebound by E. Turner
2:09.0,,,81-78,,Offensive foul by K. Olynyk
2:09.0,,,81-78,,Turnover by K. Olynyk (offensive foul)
1:48.0,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas),3,84-78,,
1:34.0,,,84-78,,Shooting foul by A. Len (drawn by J. Green)
1:34.0,,,84-79,1,J. Green makes free throw 1 of 2
1:34.0,,,84-79,,M. Thornton enters the game for K. Olynyk
1:34.0,,,84-80,1,J. Green makes free throw 2 of 2
1:16.0,G. Green makes 2-pt shot from 4 ft,2,86-80,,
1:00.0,,,86-82,2,M. Thornton makes 2-pt shot from 1 ft (assist by T. Zeller)
0:50.0,,,86-82,,Def 3 sec tech foul by T. Zeller
0:50.0,I. Thomas makes technical free throw,1,87-82,,
0:46.0,G. Green misses 3-pt shot from 22 ft,,87-82,,
0:45.0,,,87-82,,Defensive rebound by T. Zeller
0:42.0,,,87-84,2,J. Green makes 2-pt shot at rim (assist by R. Rondo)
0:36.0,A. Len makes 2-pt shot at rim (assist by I. Thomas),2,89-84,,
0:28.0,,,89-86,2,R. Rondo makes 2-pt shot from 1 ft
0:28.0,,,89-86,,Shooting foul by I. Thomas (drawn by R. Rondo)
0:28.0,,,89-86,,B. Bass enters the game for J. Green
0:28.0,,,89-86,,P. Pressey enters the game for M. Thornton
0:28.0,,,89-86,,R. Rondo misses free throw 1 of 1
0:28.0,Defensive rebound by M. Morris,,89-86,,
0:07.0,I. Thomas misses 2-pt shot from 1 ft,,89-86,,
0:06.0,,,89-86,,Defensive rebound by R. Rondo
0:02.0,,,89-88,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
0:01.0,G. Green misses 3-pt shot from 44 ft,,89-88,,
0:00.0,Offensive rebound by Team,,89-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,A. Len misses 2-pt shot from 2 ft,,89-88,,
11:48.0,Offensive rebound by Team,,89-88,,
11:48.0,Turnover by A. Len (traveling),,89-88,,
11:27.0,,,89-88,,E. Turner misses 2-pt shot from 8 ft
11:26.0,,,89-88,,Offensive rebound by P. Pressey
11:19.0,,,89-88,,Turnover by R. Rondo (lost ball; steal by M. Morris)
11:11.0,T. Warren makes 2-pt shot from 19 ft (assist by M. Morris),2,91-88,,
10:56.0,,,91-88,,R. Rondo misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by A. Len,,91-88,,
10:50.0,Turnover by I. Thomas (lost ball; steal by P. Pressey),,91-88,,
10:48.0,Personal foul by T. Warren (drawn by P. Pressey),,91-88,,
10:48.0,,,91-88,,M. Thornton enters the game for R. Rondo
10:48.0,,,91-88,,J. Sullinger enters the game for B. Bass
10:48.0,M. Morris enters the game for M. Morris,,91-88,,
10:26.0,,,91-88,,P. Pressey misses 2-pt shot from 12 ft
10:25.0,,,91-88,,Offensive rebound by Team
10:25.0,,,91-88,,Turnover by Team (shot clock)
10:08.0,G. Green misses 2-pt shot from 13 ft (block by E. Turner),,91-88,,
10:06.0,Offensive rebound by T. Warren,,91-88,,
10:02.0,T. Warren misses 2-pt shot at rim,,91-88,,
10:01.0,,,91-88,,Defensive rebound by J. Sullinger
9:46.0,,,91-88,,E. Turner misses 2-pt shot from 10 ft
9:45.0,Defensive rebound by M. Morris,,91-88,,
9:29.0,M. Morris misses 2-pt shot from 7 ft,,91-88,,
9:28.0,,,91-88,,Defensive rebound by J. Sullinger
9:21.0,,,91-88,,P. Pressey misses 2-pt shot from 1 ft
9:20.0,,,91-88,,Offensive rebound by T. Zeller
9:20.0,,,91-90,2,T. Zeller makes 2-pt shot from 3 ft
9:09.0,,,91-90,,Personal foul by P. Pressey (drawn by I. Thomas)
9:03.0,G. Green misses 3-pt shot from 24 ft,,91-90,,
9:01.0,Offensive rebound by T. Warren,,91-90,,
9:00.0,T. Warren makes 2-pt shot at rim,2,93-90,,
8:37.0,,,93-90,,T. Zeller misses 2-pt shot from 7 ft
8:36.0,Defensive rebound by G. Green,,93-90,,
8:19.0,G. Green misses 2-pt shot from 7 ft,,93-90,,
8:17.0,Offensive rebound by Team,,93-90,,
8:17.0,Official timeout,,93-90,,
8:17.0,,,93-90,,A. Bradley enters the game for M. Thornton
8:17.0,E. Bledsoe enters the game for I. Thomas,,93-90,,
8:17.0,Jump ball: A. Len vs. T. Zeller (E. Turner gains possession),,,,Jump ball: A. Len vs. T. Zeller (E. Turner gains possession)
8:17.0,Turnover by A. Len (lost ball; steal by T. Zeller),,93-90,,
8:08.0,Personal foul by M. Morris (drawn by E. Turner),,93-90,,
8:08.0,M. Plumlee enters the game for A. Len,,93-90,,
8:08.0,,,93-90,,J. Green enters the game for T. Zeller
7:55.0,,,93-93,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
7:39.0,G. Green misses 2-pt shot from 1 ft,,93-93,,
7:37.0,,,93-93,,Defensive rebound by E. Turner
7:32.0,,,93-93,,A. Bradley misses 3-pt shot from 22 ft
7:31.0,Defensive rebound by G. Green,,93-93,,
