time,Brooklyn,pts.away,score,pts.home,Detroit
6:38.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by K. Garnett),2,11-14,,
6:28.0,,,11-14,,K. Singler misses 3-pt shot from 23 ft
6:27.0,Defensive rebound by K. Garnett,,11-14,,
6:09.0,K. Garnett misses 3-pt shot from 23 ft,,11-14,,
6:09.0,,,11-14,,Defensive rebound by K. Singler
6:00.0,,,11-14,,Turnover by B. Jennings (lost ball; steal by M. Plumlee)
5:52.0,B. Bogdanovic misses 3-pt shot from 22 ft,,11-14,,
5:51.0,,,11-14,,Defensive rebound by G. Monroe
5:35.0,,,11-14,,Turnover by G. Monroe (traveling)
5:35.0,,,11-14,,Detroit full timeout
5:35.0,B. Lopez enters the game for K. Garnett,,11-14,,
5:35.0,S. Karasev enters the game for B. Bogdanovic,,11-14,,
5:17.0,J. Johnson misses 2-pt shot from 8 ft,,11-14,,
5:16.0,,,11-14,,Defensive rebound by B. Jennings
5:06.0,,,11-14,,Shooting foul by J. Johnson (drawn by K. Caldwell-Pope)
5:06.0,,,11-14,,K. Caldwell-Pope misses free throw 1 of 2
5:06.0,,,11-14,,Offensive rebound by Team
5:06.0,,,11-15,1,K. Caldwell-Pope makes free throw 2 of 2
4:51.0,B. Lopez misses 2-pt shot from 6 ft,,11-15,,
4:49.0,Offensive rebound by M. Plumlee,,11-15,,
4:48.0,M. Plumlee makes 2-pt shot at rim,2,13-15,,
4:33.0,,,13-17,2,G. Monroe makes 2-pt shot from 7 ft (assist by K. Singler)
4:18.0,M. Plumlee misses 2-pt shot from 1 ft,,13-17,,
4:17.0,,,13-17,,Defensive rebound by G. Monroe
4:09.0,,,13-17,,Turnover by A. Drummond (lost ball; steal by B. Lopez)
4:04.0,,,13-17,,J. Jerebko enters the game for A. Drummond
3:52.0,B. Lopez misses 3-pt shot from 23 ft,,13-17,,
3:51.0,,,13-17,,Defensive rebound by G. Monroe
3:40.0,,,13-19,2,J. Jerebko makes 2-pt shot at rim (assist by B. Jennings)
3:16.0,J. Johnson misses 3-pt shot from 23 ft,,13-19,,
3:15.0,Offensive rebound by Team,,13-19,,
3:15.0,,,13-19,,Loose ball foul by J. Jerebko (drawn by M. Plumlee)
3:15.0,,,13-19,,J. Meeks enters the game for K. Caldwell-Pope
3:03.0,J. Jack misses 3-pt shot from 26 ft,,13-19,,
3:02.0,,,13-19,,Defensive rebound by J. Jerebko
2:53.0,,,13-19,,B. Jennings misses 3-pt shot from 23 ft
2:52.0,,,13-19,,Offensive rebound by G. Monroe
2:49.0,Brooklyn full timeout,,13-19,,
2:49.0,A. Anderson enters the game for J. Johnson,,13-19,,
2:42.0,,,13-19,,J. Meeks misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by A. Anderson,,13-19,,
2:20.0,B. Lopez makes 2-pt shot from 14 ft,2,15-19,,
2:03.0,,,15-19,,G. Monroe misses 2-pt shot from 6 ft
2:01.0,Defensive rebound by B. Lopez,,15-19,,
1:48.0,M. Plumlee misses 2-pt shot from 6 ft,,15-19,,
1:46.0,,,15-19,,Defensive rebound by G. Monroe
1:36.0,,,15-19,,G. Monroe misses 2-pt shot at rim
1:34.0,Defensive rebound by M. Plumlee,,15-19,,
1:25.0,S. Karasev makes 2-pt shot at rim (assist by B. Lopez),2,17-19,,
1:11.0,,,17-19,,J. Meeks misses 2-pt shot at rim
1:10.0,Defensive rebound by B. Lopez,,17-19,,
1:05.0,J. Jack misses 2-pt shot from 17 ft,,17-19,,
1:04.0,,,17-19,,Defensive rebound by B. Jennings
0:55.0,,,17-22,3,K. Singler makes 3-pt shot from 27 ft (assist by B. Jennings)
0:43.0,M. Plumlee makes 2-pt shot at rim,2,19-22,,
0:29.0,,,19-22,,K. Singler misses 2-pt shot from 5 ft
0:27.0,Defensive rebound by B. Lopez,,19-22,,
0:20.0,M. Plumlee makes 2-pt shot at rim (assist by S. Karasev),2,21-22,,
0:08.0,Personal take foul by J. Jack (drawn by B. Jennings),,21-22,,
0:08.0,M. Teletovic enters the game for M. Plumlee,,21-22,,
0:08.0,D. Morris enters the game for J. Jack,,21-22,,
0:02.0,,,21-22,,B. Jennings misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by A. Anderson,,21-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Morris misses 2-pt shot at rim,,21-22,,
11:39.0,,,21-22,,Defensive rebound by J. Jerebko
11:27.0,,,21-22,,J. Meeks misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by A. Anderson,,21-22,,
11:10.0,B. Lopez misses 2-pt shot from 5 ft,,21-22,,
11:09.0,Offensive rebound by B. Lopez,,21-22,,
11:06.0,Shooting foul by A. Drummond (drawn by B. Lopez),,21-22,,
11:06.0,B. Lopez makes free throw 1 of 2,1,22-22,,
11:06.0,B. Lopez makes free throw 2 of 2,1,23-22,,
10:37.0,,,23-24,2,A. Drummond makes 2-pt shot from 4 ft (assist by D. Augustin)
10:21.0,M. Teletovic misses 2-pt shot from 5 ft,,23-24,,
10:20.0,Offensive rebound by M. Teletovic,,23-24,,
10:19.0,M. Teletovic misses 2-pt shot at rim,,23-24,,
10:18.0,,,23-24,,Defensive rebound by J. Jerebko
10:06.0,,,23-27,3,J. Jerebko makes 3-pt shot from 26 ft (assist by D. Augustin)
9:49.0,B. Lopez misses 2-pt shot from 5 ft,,23-27,,
9:47.0,,,23-27,,Defensive rebound by A. Drummond
9:34.0,,,23-27,,D. Augustin misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by S. Karasev,,23-27,,
9:17.0,D. Morris makes 2-pt shot at rim,2,25-27,,
9:01.0,,,25-27,,Shooting foul by B. Lopez (drawn by C. Butler)
9:01.0,,,25-28,1,C. Butler makes free throw 1 of 2
9:01.0,,,25-29,1,C. Butler makes free throw 2 of 2
8:46.0,S. Karasev misses 2-pt shot at rim (block by A. Drummond),,25-29,,
8:44.0,,,25-29,,Defensive rebound by J. Jerebko
8:42.0,,,25-31,2,J. Meeks makes 2-pt shot at rim (assist by D. Augustin)
8:42.0,,,25-31,,Shooting foul by M. Teletovic (drawn by J. Meeks)
8:42.0,Official timeout,,25-31,,
8:42.0,B. Bogdanovic enters the game for S. Karasev,,25-31,,
8:42.0,J. Johnson enters the game for A. Anderson,,25-31,,
8:42.0,,,25-32,1,J. Meeks makes free throw 1 of 1
8:28.0,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Morris),3,28-32,,
8:09.0,,,28-32,,Turnover by D. Augustin (bad pass; steal by D. Morris)
8:06.0,Turnover by D. Morris (bad pass; steal by A. Drummond),,28-32,,
8:00.0,,,28-32,,J. Meeks misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by M. Teletovic,,28-32,,
7:48.0,D. Morris makes 3-pt shot from 25 ft (assist by M. Teletovic),3,31-32,,
7:29.0,Personal foul by B. Bogdanovic (drawn by D. Augustin),,31-32,,
7:19.0,,,31-32,,J. Jerebko misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by B. Bogdanovic,,31-32,,
7:07.0,M. Teletovic misses 3-pt shot from 23 ft,,31-32,,
7:06.0,,,31-32,,Defensive rebound by A. Drummond
7:00.0,,,31-32,,C. Butler misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by M. Teletovic,,31-32,,
6:46.0,B. Bogdanovic makes 2-pt shot from 7 ft,2,33-32,,
6:29.0,,,33-34,2,C. Butler makes 2-pt shot from 16 ft (assist by J. Jerebko)
6:14.0,D. Morris misses 2-pt shot from 6 ft,,33-34,,
6:13.0,Offensive rebound by B. Lopez,,33-34,,
6:12.0,B. Lopez misses 2-pt shot at rim,,33-34,,
6:11.0,,,33-34,,Defensive rebound by C. Butler
6:06.0,,,33-36,2,D. Augustin makes 2-pt shot at rim
6:05.0,,,33-36,,Violation by Team (delay of game)
5:41.0,B. Bogdanovic misses 2-pt shot from 10 ft,,33-36,,
5:41.0,,,33-36,,Defensive rebound by Team
5:41.0,Personal foul by B. Lopez (drawn by A. Drummond),,33-36,,
5:41.0,,,33-36,,Detroit full timeout
5:41.0,,,33-36,,A. Tolliver enters the game for J. Jerebko
5:22.0,,,33-36,,A. Drummond misses 2-pt shot from 4 ft
5:20.0,Defensive rebound by M. Teletovic,,33-36,,
5:03.0,M. Teletovic misses 3-pt shot from 24 ft,,33-36,,
5:02.0,,,33-36,,Defensive rebound by A. Drummond
4:42.0,,,33-36,,A. Drummond misses 2-pt shot from 3 ft
4:41.0,Defensive rebound by B. Lopez,,33-36,,
4:32.0,D. Morris misses 3-pt shot from 26 ft,,33-36,,
4:31.0,Offensive rebound by Team,,33-36,,
4:31.0,,,33-36,,Loose ball foul by A. Drummond (drawn by M. Teletovic)
4:31.0,,,33-36,,G. Monroe enters the game for A. Drummond
4:31.0,J. Jack enters the game for D. Morris,,33-36,,
4:20.0,M. Teletovic misses 2-pt shot at rim,,33-36,,
4:19.0,,,33-36,,Defensive rebound by G. Monroe
4:08.0,,,33-36,,C. Butler misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by B. Lopez,,33-36,,
3:59.0,M. Teletovic misses 3-pt shot from 25 ft,,33-36,,
3:58.0,,,33-36,,Defensive rebound by C. Butler
3:54.0,Personal foul by M. Teletovic (drawn by J. Meeks),,33-36,,
3:54.0,,,33-37,1,J. Meeks makes free throw 1 of 2
3:54.0,K. Garnett enters the game for M. Teletovic,,33-37,,
3:54.0,,,33-38,1,J. Meeks makes free throw 2 of 2
3:33.0,J. Johnson makes 3-pt shot from 25 ft,3,36-38,,
3:17.0,,,36-38,,D. Augustin misses 2-pt shot from 6 ft
3:16.0,,,36-38,,Offensive rebound by G. Monroe
3:15.0,,,36-38,,G. Monroe misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by B. Lopez,,36-38,,
2:59.0,B. Lopez misses 2-pt shot from 15 ft,,36-38,,
2:57.0,Offensive rebound by K. Garnett,,36-38,,
2:49.0,B. Bogdanovic makes 2-pt shot from 12 ft (assist by J. Jack),2,38-38,,
2:35.0,,,38-38,,Shooting foul by B. Lopez (drawn by G. Monroe)
2:35.0,Brooklyn full timeout,,38-38,,
2:35.0,,,38-38,,B. Jennings enters the game for J. Meeks
2:35.0,,,38-38,,K. Caldwell-Pope enters the game for C. Butler
2:35.0,,,38-38,,K. Singler enters the game for D. Augustin
2:35.0,M. Plumlee enters the game for B. Lopez,,38-38,,
2:35.0,,,38-39,1,G. Monroe makes free throw 1 of 2
2:35.0,,,38-40,1,G. Monroe makes free throw 2 of 2
2:21.0,Turnover by B. Bogdanovic (bad pass; steal by K. Caldwell-Pope),,38-40,,
1:58.0,,,38-42,2,G. Monroe makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope)
1:35.0,J. Johnson makes 3-pt shot from 26 ft (assist by K. Garnett),3,41-42,,
1:20.0,,,41-42,,Shooting foul by K. Garnett (drawn by G. Monroe)
1:20.0,,,41-43,1,G. Monroe makes free throw 1 of 2
1:20.0,A. Anderson enters the game for M. Plumlee,,41-43,,
1:20.0,,,41-44,1,G. Monroe makes free throw 2 of 2
1:05.0,B. Bogdanovic makes 2-pt shot at rim (assist by K. Garnett),2,43-44,,
0:45.0,,,43-44,,K. Singler misses 2-pt shot from 20 ft
0:44.0,Defensive rebound by A. Anderson,,43-44,,
0:32.0,J. Jack misses 3-pt shot from 23 ft,,43-44,,
0:31.0,Offensive rebound by Team,,43-44,,
0:31.0,,,43-44,,C. Butler enters the game for A. Tolliver
0:31.0,B. Bogdanovic makes flagrant free throw 1 of 2,1,44-44,,
0:31.0,B. Bogdanovic makes flagrant free throw 2 of 2,1,45-44,,
0:19.0,,,45-44,,Personal foul by K. Caldwell-Pope (drawn by A. Anderson)
0:19.0,A. Anderson makes free throw 1 of 2,1,46-44,,
0:19.0,D. Morris enters the game for B. Bogdanovic,,46-44,,
0:19.0,A. Anderson makes free throw 2 of 2,1,47-44,,
0:03.0,,,47-47,3,K. Singler makes 3-pt shot from 25 ft (assist by B. Jennings)
0:01.0,J. Jack misses 3-pt shot from 39 ft,,47-47,,
0:00.0,Offensive rebound by Team,,47-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Jack misses 2-pt shot from 5 ft,,47-47,,
11:46.0,,,47-47,,Defensive rebound by G. Monroe
11:23.0,,,47-47,,Turnover by Team (shot clock)
11:03.0,J. Jack misses 3-pt shot from 23 ft,,47-47,,
11:02.0,,,47-47,,Defensive rebound by G. Monroe
10:52.0,,,47-47,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:51.0,,,47-47,,Offensive rebound by G. Monroe
10:47.0,Personal foul by J. Jack (drawn by G. Monroe),,47-47,,
10:38.0,,,47-49,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
10:17.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by A. Drummond),,47-49,,
10:16.0,,,47-49,,Defensive rebound by K. Caldwell-Pope
10:11.0,,,47-49,,Turnover by A. Drummond (offensive goaltending)
9:52.0,J. Jack makes 3-pt shot from 22 ft (assist by B. Bogdanovic),3,50-49,,
9:36.0,,,50-49,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Jack)
9:33.0,Shooting foul by K. Caldwell-Pope (drawn by B. Bogdanovic),,50-49,,
9:33.0,B. Bogdanovic makes free throw 1 of 2,1,51-49,,
9:33.0,B. Bogdanovic makes free throw 2 of 2,1,52-49,,
9:10.0,,,52-51,2,B. Jennings makes 2-pt shot from 14 ft
8:55.0,Offensive foul by M. Plumlee,,52-51,,
8:55.0,Turnover by M. Plumlee (offensive foul),,52-51,,
8:36.0,,,52-54,3,B. Jennings makes 3-pt shot from 25 ft
8:10.0,M. Plumlee makes 2-pt shot at rim (assist by K. Garnett),2,54-54,,
7:53.0,,,54-57,3,B. Jennings makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
7:41.0,M. Plumlee makes 2-pt shot from 6 ft (assist by J. Jack),2,56-57,,
7:27.0,,,56-57,,K. Singler misses 2-pt shot from 9 ft
7:25.0,Defensive rebound by K. Garnett,,56-57,,
7:23.0,,,56-57,,Personal foul by B. Jennings (drawn by J. Jack)
7:13.0,J. Johnson misses 2-pt shot from 17 ft,,56-57,,
7:11.0,,,56-57,,Defensive rebound by A. Drummond
7:03.0,,,56-57,,Turnover by K. Caldwell-Pope (traveling)
6:43.0,J. Johnson makes 2-pt shot from 11 ft (assist by J. Jack),2,58-57,,
6:32.0,,,58-57,,B. Jennings misses 2-pt shot at rim (block by M. Plumlee)
6:26.0,,,58-57,,Offensive rebound by A. Drummond
6:24.0,,,58-59,2,A. Drummond makes 2-pt shot from 1 ft
6:09.0,K. Garnett misses 2-pt shot from 21 ft,,58-59,,
6:08.0,,,58-59,,Defensive rebound by K. Singler
6:04.0,,,58-61,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
6:04.0,,,58-61,,Shooting foul by B. Bogdanovic (drawn by A. Drummond)
6:04.0,,,58-61,,A. Drummond misses free throw 1 of 1
6:03.0,Defensive rebound by K. Garnett,,58-61,,
5:54.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,60-61,,
5:38.0,,,60-61,,Shooting foul by J. Jack (drawn by B. Jennings)
5:38.0,,,60-61,,Detroit full timeout
5:38.0,B. Lopez enters the game for K. Garnett,,60-61,,
5:38.0,,,60-62,1,B. Jennings makes free throw 1 of 3
5:38.0,,,60-63,1,B. Jennings makes free throw 2 of 3
5:38.0,,,60-64,1,B. Jennings makes free throw 3 of 3
5:25.0,M. Plumlee misses 2-pt shot from 5 ft,,60-64,,
5:23.0,,,60-64,,Defensive rebound by G. Monroe
5:09.0,,,60-64,,B. Jennings misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by M. Plumlee,,60-64,,
5:00.0,Turnover by J. Jack (lost ball; steal by B. Jennings),,60-64,,
4:50.0,,,60-64,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:49.0,,,60-64,,Offensive rebound by K. Caldwell-Pope
4:47.0,,,60-64,,Turnover by K. Caldwell-Pope (lost ball)
4:38.0,Shooting foul by G. Monroe (drawn by B. Lopez),,60-64,,
4:38.0,B. Lopez makes free throw 1 of 2,1,61-64,,
4:38.0,B. Lopez makes free throw 2 of 2,1,62-64,,
4:13.0,,,62-66,2,B. Jennings makes 2-pt shot from 17 ft
4:00.0,J. Johnson misses 3-pt shot from 24 ft,,62-66,,
3:59.0,,,62-66,,Defensive rebound by G. Monroe
3:56.0,,,62-68,2,K. Singler makes 2-pt shot from 1 ft (assist by B. Jennings)
3:56.0,,,62-68,,Shooting foul by B. Lopez (drawn by K. Singler)
3:56.0,A. Anderson enters the game for J. Johnson,,62-68,,
3:56.0,,,62-68,,J. Jerebko enters the game for G. Monroe
3:56.0,J. Jordan enters the game for B. Lopez,,62-68,,
3:56.0,M. Teletovic enters the game for M. Plumlee,,62-68,,
3:56.0,,,62-68,,J. Meeks enters the game for K. Caldwell-Pope
3:56.0,,,62-68,,K. Singler misses free throw 1 of 1
3:55.0,Defensive rebound by J. Jordan,,62-68,,
3:42.0,D. Morris enters the game for J. Jack,,62-68,,
3:35.0,B. Bogdanovic misses 3-pt shot from 26 ft,,62-68,,
3:34.0,,,62-68,,Defensive rebound by A. Drummond
3:17.0,,,62-68,,K. Singler misses 2-pt shot from 8 ft
3:16.0,Defensive rebound by D. Morris,,62-68,,
3:08.0,J. Jordan makes 2-pt shot at rim (assist by D. Morris),2,64-68,,
2:47.0,,,64-68,,B. Jennings misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by Team,,64-68,,
2:47.0,Brooklyn full timeout,,64-68,,
2:47.0,,,64-68,,C. Butler enters the game for K. Singler
2:30.0,A. Anderson makes 2-pt shot from 10 ft (assist by M. Teletovic),2,66-68,,
2:03.0,,,66-68,,B. Jennings misses 2-pt shot from 19 ft
2:02.0,,,66-68,,Offensive rebound by J. Jerebko
1:46.0,Personal foul by A. Anderson (drawn by A. Drummond),,66-68,,
1:46.0,,,66-69,1,A. Drummond makes free throw 1 of 2
1:46.0,,,66-69,,D. Augustin enters the game for B. Jennings
1:46.0,,,66-70,1,A. Drummond makes free throw 2 of 2
1:32.0,Turnover by B. Bogdanovic (lost ball),,66-70,,
1:18.0,,,66-70,,J. Meeks misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by D. Morris,,66-70,,
1:09.0,A. Anderson makes 3-pt shot from 28 ft (assist by D. Morris),3,69-70,,
0:51.0,,,69-70,,D. Augustin misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by J. Jordan,,69-70,,
0:44.0,Offensive charge foul by J. Jordan,,69-70,,
0:44.0,Turnover by J. Jordan (offensive foul),,69-70,,
0:32.0,,,69-70,,Shooting foul by B. Bogdanovic (drawn by J. Meeks)
0:32.0,,,69-71,1,J. Meeks makes free throw 1 of 2
0:32.0,S. Karasev enters the game for B. Bogdanovic,,69-71,,
0:32.0,,,69-72,1,J. Meeks makes free throw 2 of 2
0:07.0,D. Morris misses 2-pt shot from 10 ft,,69-72,,
0:07.0,Offensive rebound by Team,,69-72,,
0:07.0,Turnover by Team (shot clock),,69-72,,
0:02.0,,,69-74,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
0:01.0,D. Morris misses 3-pt shot from 33 ft,,69-74,,
0:00.0,Offensive rebound by Team,,69-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,69-74,,D. Augustin misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by M. Teletovic,,69-74,,
11:26.0,M. Teletovic misses 2-pt shot from 20 ft,,69-74,,
11:25.0,,,69-74,,Defensive rebound by A. Drummond
11:09.0,,,69-74,,C. Butler misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by Team,,69-74,,
11:07.0,,,69-74,,G. Monroe enters the game for A. Drummond
10:49.0,Turnover by M. Teletovic (bad pass; steal by C. Butler),,69-74,,
10:42.0,,,69-74,,J. Meeks misses 3-pt shot from 23 ft
10:40.0,,,69-74,,Offensive rebound by J. Jerebko
10:30.0,,,69-74,,C. Butler misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by Team,,69-74,,
10:29.0,,,69-74,,Loose ball foul by J. Jerebko (drawn by A. Anderson)
10:11.0,Brooklyn full timeout,,69-74,,
10:11.0,J. Johnson enters the game for S. Karasev,,69-74,,
10:11.0,B. Lopez enters the game for J. Jordan,,69-74,,
10:09.0,M. Teletovic misses 2-pt shot from 18 ft,,69-74,,
10:08.0,,,69-74,,Defensive rebound by G. Monroe
10:05.0,,,69-74,,Turnover by G. Monroe (bad pass; steal by A. Anderson)
9:58.0,A. Anderson makes 2-pt shot at rim,2,71-74,,
9:31.0,,,71-77,3,D. Augustin makes 3-pt shot from 23 ft (assist by G. Monroe)
9:08.0,Turnover by M. Teletovic (bad pass),,71-77,,
8:49.0,,,71-77,,G. Monroe misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by B. Lopez,,71-77,,
8:43.0,A. Anderson misses 3-pt shot from 26 ft,,71-77,,
8:42.0,Offensive rebound by J. Johnson,,71-77,,
8:31.0,D. Morris makes 3-pt shot from 26 ft (assist by J. Johnson),3,74-77,,
8:02.0,,,74-77,,D. Augustin misses 2-pt shot from 5 ft
8:01.0,Defensive rebound by M. Teletovic,,74-77,,
7:50.0,A. Anderson makes 2-pt shot from 9 ft,2,76-77,,
7:28.0,,,76-79,2,C. Butler makes 2-pt shot from 17 ft (assist by D. Augustin)
7:03.0,A. Anderson misses 2-pt shot from 14 ft,,76-79,,
7:01.0,,,76-79,,Defensive rebound by G. Monroe
6:57.0,,,76-79,,J. Meeks misses 2-pt shot at rim
6:55.0,Defensive rebound by B. Lopez,,76-79,,
6:38.0,D. Morris misses 3-pt shot from 24 ft,,76-79,,
6:37.0,,,76-79,,Defensive rebound by G. Monroe
6:19.0,,,76-81,2,C. Butler makes 2-pt shot from 16 ft (assist by J. Meeks)
5:54.0,J. Johnson makes 2-pt shot from 8 ft,2,78-81,,
5:39.0,,,78-84,3,J. Jerebko makes 3-pt shot from 25 ft (assist by D. Augustin)
5:17.0,A. Anderson makes 2-pt shot at rim (assist by J. Johnson),2,80-84,,
4:54.0,,,80-84,,J. Meeks misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by J. Johnson,,80-84,,
4:40.0,D. Morris makes 2-pt shot at rim (assist by J. Johnson),2,82-84,,
4:32.0,,,82-84,,Detroit full timeout
4:32.0,M. Plumlee enters the game for M. Teletovic,,82-84,,
4:32.0,J. Jack enters the game for D. Morris,,82-84,,
4:32.0,,,82-84,,B. Jennings enters the game for J. Meeks
4:32.0,,,82-84,,K. Singler enters the game for C. Butler
4:32.0,,,82-84,,K. Caldwell-Pope enters the game for D. Augustin
4:14.0,,,82-84,,B. Jennings misses 3-pt shot from 27 ft
4:13.0,Defensive rebound by B. Lopez,,82-84,,
3:56.0,J. Johnson misses 2-pt shot from 4 ft,,82-84,,
3:54.0,,,82-84,,Defensive rebound by K. Caldwell-Pope
3:50.0,,,82-86,2,K. Caldwell-Pope makes 2-pt shot at rim
3:38.0,Turnover by J. Jack (lost ball; steal by K. Caldwell-Pope),,82-86,,
3:33.0,,,82-88,2,B. Jennings makes 2-pt shot at rim (assist by K. Caldwell-Pope)
3:10.0,J. Johnson makes 2-pt shot from 7 ft,2,84-88,,
2:46.0,,,84-91,3,B. Jennings makes 3-pt shot from 23 ft (assist by G. Monroe)
2:27.0,Turnover by J. Johnson (lost ball; steal by K. Caldwell-Pope),,84-91,,
2:21.0,,,84-91,,B. Jennings misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by M. Plumlee,,84-91,,
2:14.0,Offensive charge foul by M. Plumlee,,84-91,,
2:14.0,Turnover by M. Plumlee (offensive foul),,84-91,,
2:14.0,Official timeout,,84-91,,
1:55.0,,,84-93,2,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope)
1:37.0,,,84-93,,Personal foul by B. Jennings (drawn by J. Jack)
1:30.0,J. Johnson misses 3-pt shot from 27 ft,,84-93,,
1:29.0,,,84-93,,Defensive rebound by J. Jerebko
1:29.0,Personal foul by M. Plumlee (drawn by J. Jerebko),,84-93,,
1:10.0,,,84-96,3,J. Jerebko makes 3-pt shot from 26 ft (assist by B. Jennings)
1:01.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,86-96,,
0:45.0,,,86-96,,B. Jennings misses 2-pt shot from 6 ft (block by B. Lopez)
0:45.0,,,86-96,,Offensive rebound by Team
0:42.0,,,86-96,,J. Jerebko misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by B. Lopez,,86-96,,
0:34.0,J. Jack misses 3-pt shot from 27 ft,,86-96,,
0:32.0,Offensive rebound by B. Lopez,,86-96,,
0:31.0,B. Lopez makes 2-pt shot at rim,2,88-96,,
0:25.0,Personal foul by J. Jack (drawn by B. Jennings),,88-96,,
