time,Washington,pts.away,score,pts.home,Brooklyn
6:30.0,Defensive rebound by P. Pierce,,8-11,,
6:25.0,R. Sessions misses 2-pt shot from 1 ft,,8-11,,
6:24.0,,,8-11,,Defensive rebound by T. Young
6:19.0,,,8-14,3,D. Williams makes 3-pt shot from 25 ft
5:52.0,P. Pierce misses 2-pt shot from 17 ft,,8-14,,
5:51.0,,,8-14,,Defensive rebound by B. Lopez
5:40.0,,,8-16,2,T. Young makes 2-pt shot at rim (assist by D. Williams)
5:32.0,Washington full timeout,,8-16,,
5:32.0,D. Gooden enters the game for N. Hilario,,8-16,,
5:32.0,O. Porter enters the game for P. Pierce,,8-16,,
5:23.0,,,8-16,,Personal foul by M. Brown (drawn by B. Beal)
5:09.0,D. Gooden misses 2-pt shot from 18 ft,,8-16,,
5:08.0,,,8-16,,Defensive rebound by J. Johnson
4:54.0,,,8-18,2,T. Young makes 2-pt shot from 1 ft (assist by D. Williams)
4:35.0,M. Gortat makes 2-pt shot from 7 ft (assist by O. Porter),2,10-18,,
4:22.0,,,10-18,,B. Lopez misses 2-pt shot from 4 ft
4:21.0,Defensive rebound by D. Gooden,,10-18,,
4:05.0,,,10-18,,B. Bogdanovic enters the game for J. Johnson
3:57.0,Turnover by Team (shot clock),,10-18,,
3:40.0,,,10-18,,B. Lopez misses 2-pt shot from 1 ft
3:39.0,,,10-18,,Offensive rebound by B. Lopez
3:38.0,,,10-20,2,B. Lopez makes 2-pt shot at rim
3:25.0,Shooting foul by D. Williams (drawn by R. Sessions),,10-20,,
3:25.0,R. Sessions misses free throw 1 of 2,,10-20,,
3:25.0,Offensive rebound by Team,,10-20,,
3:25.0,R. Butler enters the game for B. Beal,,10-20,,
3:25.0,R. Sessions misses free throw 2 of 2,,10-20,,
3:24.0,,,10-20,,Defensive rebound by B. Lopez
3:14.0,,,10-20,,D. Williams misses 2-pt shot from 1 ft
3:13.0,,,10-20,,Offensive rebound by B. Lopez
3:12.0,,,10-22,2,B. Lopez makes 2-pt shot from 2 ft
2:56.0,O. Porter makes 2-pt shot from 12 ft,2,12-22,,
2:44.0,,,12-22,,D. Williams misses 2-pt shot from 17 ft
2:43.0,Defensive rebound by M. Gortat,,12-22,,
2:36.0,D. Gooden misses 2-pt shot from 19 ft,,12-22,,
2:35.0,Offensive rebound by R. Sessions,,12-22,,
2:31.0,R. Sessions misses 2-pt shot at rim,,12-22,,
2:30.0,,,12-22,,Defensive rebound by B. Bogdanovic
2:23.0,,,12-22,,M. Brown misses 3-pt shot from 23 ft
2:22.0,,,12-22,,Offensive rebound by D. Williams
2:17.0,,,12-25,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Williams)
2:00.0,R. Butler misses 2-pt shot from 4 ft,,12-25,,
1:59.0,,,12-25,,Defensive rebound by T. Young
1:48.0,,,12-27,2,B. Lopez makes 2-pt shot from 18 ft (assist by D. Williams)
1:41.0,Washington full timeout,,12-27,,
1:41.0,,,12-27,,Brooklyn full timeout
1:41.0,W. Bynum enters the game for R. Sessions,,12-27,,
1:41.0,,,12-27,,J. Jack enters the game for M. Brown
1:41.0,,,12-27,,C. Jefferson enters the game for T. Young
1:28.0,Turnover by O. Porter (bad pass; steal by B. Lopez),,12-27,,
1:15.0,,,12-29,2,J. Jack makes 2-pt shot from 1 ft
0:52.0,D. Gooden misses 2-pt shot from 8 ft,,12-29,,
0:51.0,Offensive rebound by M. Gortat,,12-29,,
0:47.0,M. Gortat makes 2-pt shot from 5 ft,2,14-29,,
0:39.0,,,14-29,,B. Lopez misses 2-pt shot from 5 ft
0:38.0,Defensive rebound by M. Gortat,,14-29,,
0:33.0,Offensive charge foul by W. Bynum,,14-29,,
0:33.0,Turnover by W. Bynum (offensive foul),,14-29,,
0:33.0,K. Seraphin enters the game for M. Gortat,,14-29,,
0:16.0,,,14-31,2,B. Lopez makes 2-pt shot from 4 ft (assist by D. Williams)
0:01.0,K. Seraphin misses 2-pt shot from 4 ft,,14-31,,
0:00.0,Offensive rebound by Team,,14-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:57.0,,,14-31,,Personal foul by J. Jack (drawn by W. Bynum)
11:43.0,K. Seraphin misses 2-pt shot from 8 ft,,14-31,,
11:42.0,Offensive rebound by D. Gooden,,14-31,,
11:40.0,D. Gooden misses 2-pt shot from 1 ft,,14-31,,
11:39.0,,,14-31,,Defensive rebound by M. Plumlee
11:29.0,,,14-33,2,C. Jefferson makes 2-pt shot from 7 ft (assist by J. Jack)
11:12.0,O. Porter misses 3-pt shot from 25 ft,,14-33,,
11:11.0,Offensive rebound by D. Gooden,,14-33,,
11:09.0,D. Gooden misses 2-pt shot at rim,,14-33,,
11:08.0,,,14-33,,Defensive rebound by Team
10:52.0,,,14-33,,B. Bogdanovic misses 2-pt shot from 11 ft
10:51.0,Defensive rebound by R. Butler,,14-33,,
10:37.0,Turnover by K. Seraphin (bad pass; steal by B. Bogdanovic),,14-33,,
10:36.0,Personal foul by W. Bynum (drawn by B. Bogdanovic),,14-33,,
10:36.0,K. Humphries enters the game for D. Gooden,,14-33,,
10:36.0,B. Beal enters the game for R. Butler,,14-33,,
10:17.0,,,14-36,3,J. Jack makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:01.0,Shooting foul by C. Jefferson (drawn by K. Seraphin),,14-36,,
10:01.0,K. Seraphin makes free throw 1 of 2,1,15-36,,
10:01.0,K. Seraphin makes free throw 2 of 2,1,16-36,,
9:41.0,,,16-36,,C. Jefferson misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by B. Beal,,16-36,,
9:32.0,,,16-36,,Personal foul by C. Jefferson (drawn by K. Humphries)
9:32.0,,,16-36,,T. Young enters the game for C. Jefferson
9:23.0,B. Beal misses 2-pt shot from 21 ft,,16-36,,
9:23.0,Offensive rebound by O. Porter,,16-36,,
9:18.0,K. Humphries misses 2-pt shot from 20 ft,,16-36,,
9:17.0,,,16-36,,Defensive rebound by J. Jack
9:13.0,,,16-36,,M. Plumlee misses 2-pt shot from 2 ft (block by K. Seraphin)
9:12.0,,,16-36,,Offensive rebound by Team
9:03.0,,,16-38,2,J. Johnson makes 2-pt shot from 6 ft
8:51.0,Turnover by K. Humphries (bad pass; steal by J. Johnson),,16-38,,
8:42.0,,,16-41,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Johnson)
8:34.0,Washington full timeout,,16-41,,
8:34.0,R. Sessions enters the game for W. Bynum,,16-41,,
8:16.0,B. Beal misses 2-pt shot from 16 ft,,16-41,,
8:15.0,Offensive rebound by K. Humphries,,16-41,,
8:14.0,K. Humphries makes 2-pt shot at rim,2,18-41,,
7:59.0,,,18-41,,Turnover by J. Johnson (bad pass; steal by K. Humphries)
7:55.0,R. Sessions makes 2-pt shot at rim (assist by O. Porter),2,20-41,,
7:34.0,,,20-41,,T. Young misses 2-pt shot from 3 ft
7:33.0,Defensive rebound by K. Humphries,,20-41,,
7:23.0,B. Beal misses 2-pt shot from 17 ft,,20-41,,
7:22.0,,,20-41,,Defensive rebound by M. Plumlee
7:09.0,,,20-43,2,J. Johnson makes 2-pt shot from 5 ft (assist by M. Plumlee)
6:46.0,,,20-43,,Personal foul by J. Jack (drawn by K. Humphries)
6:46.0,,,20-43,,D. Williams enters the game for J. Jack
6:31.0,Turnover by Team (shot clock),,20-43,,
6:10.0,,,20-45,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
5:53.0,Turnover by O. Porter (traveling),,20-45,,
5:53.0,Official timeout,,20-45,,
5:53.0,,,20-45,,B. Lopez enters the game for M. Plumlee
5:53.0,P. Pierce enters the game for O. Porter,,20-45,,
5:53.0,N. Hilario enters the game for K. Seraphin,,20-45,,
5:53.0,,,20-45,,M. Brown enters the game for J. Johnson
5:33.0,,,20-47,2,B. Lopez makes 2-pt shot from 1 ft
5:16.0,Turnover by B. Beal (bad pass; steal by T. Young),,20-47,,
5:07.0,,,20-47,,B. Bogdanovic misses 2-pt shot from 1 ft
5:06.0,Defensive rebound by B. Beal,,20-47,,
4:59.0,B. Beal makes 2-pt shot from 19 ft,2,22-47,,
4:43.0,,,22-47,,D. Williams misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by K. Humphries,,22-47,,
4:35.0,N. Hilario misses 2-pt shot from 1 ft (block by B. Lopez),,22-47,,
4:33.0,Offensive rebound by R. Sessions,,22-47,,
4:30.0,R. Sessions misses 2-pt shot from 1 ft,,22-47,,
4:30.0,,,22-47,,Defensive rebound by B. Lopez
4:26.0,,,22-47,,Turnover by D. Williams (lost ball; steal by B. Beal)
4:23.0,B. Beal makes 2-pt shot at rim,2,24-47,,
4:23.0,Shooting foul by B. Lopez (drawn by B. Beal),,24-47,,
4:23.0,M. Gortat enters the game for K. Humphries,,24-47,,
4:23.0,B. Beal makes free throw 1 of 1,1,25-47,,
4:12.0,,,25-47,,B. Bogdanovic misses 2-pt shot from 4 ft
4:11.0,Defensive rebound by R. Sessions,,25-47,,
4:03.0,N. Hilario makes 2-pt shot at rim (assist by R. Sessions),2,27-47,,
4:00.0,,,27-47,,Brooklyn full timeout
3:47.0,,,27-49,2,B. Lopez makes 2-pt shot from 21 ft (assist by M. Brown)
3:21.0,B. Beal makes 2-pt shot at rim (assist by P. Pierce),2,29-49,,
3:02.0,,,29-49,,M. Brown misses 2-pt shot from 19 ft
3:01.0,Defensive rebound by M. Gortat,,29-49,,
2:52.0,N. Hilario misses 2-pt shot from 12 ft,,29-49,,
2:51.0,Offensive rebound by M. Gortat,,29-49,,
2:46.0,R. Sessions misses 3-pt shot from 25 ft,,29-49,,
2:45.0,Offensive rebound by N. Hilario,,29-49,,
2:25.0,N. Hilario makes 2-pt shot from 12 ft (assist by R. Sessions),2,31-49,,
2:08.0,,,31-49,,B. Lopez misses 2-pt shot from 10 ft (block by M. Gortat)
2:07.0,Defensive rebound by P. Pierce,,31-49,,
2:02.0,B. Beal makes 2-pt shot from 2 ft (assist by R. Sessions),2,33-49,,
1:52.0,Personal foul by B. Beal (drawn by M. Brown),,33-49,,
1:52.0,,,33-49,,J. Johnson enters the game for B. Bogdanovic
1:37.0,,,33-49,,J. Johnson misses 2-pt shot from 11 ft
1:36.0,Defensive rebound by P. Pierce,,33-49,,
1:27.0,N. Hilario misses 2-pt shot from 3 ft,,33-49,,
1:26.0,,,33-49,,Defensive rebound by D. Williams
1:21.0,,,33-49,,M. Brown misses 2-pt shot at rim
1:20.0,,,33-49,,Offensive rebound by D. Williams
1:12.0,,,33-49,,Shooting foul by N. Hilario (drawn by D. Williams)
1:12.0,,,33-49,,D. Williams misses free throw 1 of 2
1:12.0,,,33-49,,Offensive rebound by Team
1:12.0,,,33-50,1,D. Williams makes free throw 2 of 2
1:07.0,B. Beal makes 2-pt shot from 2 ft (assist by R. Sessions),2,35-50,,
1:07.0,Shooting foul by M. Brown (drawn by B. Beal),,35-50,,
1:07.0,B. Beal misses free throw 1 of 1,,35-50,,
1:06.0,,,35-50,,Defensive rebound by B. Lopez
0:50.0,,,35-52,2,B. Lopez makes 2-pt shot from 14 ft (assist by D. Williams)
0:45.0,Offensive foul by M. Gortat,,35-52,,
0:45.0,Turnover by M. Gortat (offensive foul),,35-52,,
0:45.0,,,35-52,,B. Bogdanovic enters the game for M. Brown
0:45.0,K. Seraphin enters the game for M. Gortat,,35-52,,
0:38.0,,,35-54,2,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson)
0:24.0,,,35-54,,Violation by D. Williams (kicked ball)
0:15.0,B. Beal makes 3-pt shot from 24 ft,3,38-54,,
0:02.0,,,38-54,,D. Williams misses 3-pt shot from 24 ft
0:00.0,,,38-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,B. Beal makes 3-pt shot from 25 ft (assist by P. Pierce),3,41-54,,
11:22.0,,,41-56,2,T. Young makes 2-pt shot from 1 ft
11:05.0,B. Beal makes 3-pt shot from 24 ft (assist by R. Sessions),3,44-56,,
10:45.0,,,44-56,,M. Brown misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by N. Hilario,,44-56,,
10:36.0,,,44-56,,Personal foul by M. Brown (drawn by B. Beal)
10:36.0,,,44-56,,B. Bogdanovic enters the game for M. Brown
10:25.0,B. Beal misses 2-pt shot from 8 ft,,44-56,,
10:24.0,,,44-56,,Defensive rebound by D. Williams
10:10.0,,,44-56,,B. Lopez misses 2-pt shot from 21 ft
10:09.0,Defensive rebound by P. Pierce,,44-56,,
9:57.0,M. Gortat makes 2-pt shot from 7 ft (assist by R. Sessions),2,46-56,,
9:57.0,,,46-56,,Brooklyn full timeout
9:40.0,,,46-59,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Johnson)
9:21.0,,,46-59,,Personal foul by B. Bogdanovic (drawn by B. Beal)
9:10.0,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario),2,48-59,,
8:52.0,,,48-62,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
8:33.0,R. Sessions misses 2-pt shot from 12 ft,,48-62,,
8:32.0,,,48-62,,Defensive rebound by T. Young
8:24.0,,,48-64,2,D. Williams makes 2-pt shot from 11 ft
8:04.0,Turnover by B. Beal (bad pass; steal by D. Williams),,48-64,,
7:58.0,,,48-66,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Johnson)
7:58.0,Washington full timeout,,48-66,,
7:40.0,N. Hilario misses 2-pt shot from 1 ft,,48-66,,
7:39.0,,,48-66,,Defensive rebound by D. Williams
7:25.0,,,48-66,,D. Williams misses 2-pt shot from 3 ft
7:24.0,Defensive rebound by M. Gortat,,48-66,,
7:13.0,,,48-66,,Personal foul by B. Lopez (drawn by N. Hilario)
7:01.0,B. Beal makes 2-pt shot from 1 ft (assist by N. Hilario),2,50-66,,
6:44.0,,,50-68,2,T. Young makes 2-pt shot from 19 ft (assist by J. Johnson)
6:35.0,M. Gortat makes 2-pt shot at rim (assist by R. Sessions),2,52-68,,
6:26.0,,,52-68,,B. Bogdanovic misses 2-pt shot from 3 ft
6:25.0,Defensive rebound by M. Gortat,,52-68,,
6:18.0,P. Pierce misses 3-pt shot from 25 ft,,52-68,,
6:17.0,,,52-68,,Defensive rebound by B. Lopez
6:10.0,,,52-68,,D. Williams misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by B. Beal,,52-68,,
6:01.0,B. Beal makes 2-pt shot from 19 ft,2,54-68,,
5:48.0,,,54-68,,B. Lopez misses 2-pt shot from 8 ft
5:47.0,Defensive rebound by M. Gortat,,54-68,,
5:33.0,B. Beal misses 2-pt shot from 19 ft,,54-68,,
5:32.0,,,54-68,,Defensive rebound by D. Williams
5:24.0,,,54-68,,T. Young misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by M. Gortat,,54-68,,
5:05.0,N. Hilario misses 2-pt shot from 18 ft,,54-68,,
5:04.0,Offensive rebound by M. Gortat,,54-68,,
5:00.0,M. Gortat makes 2-pt shot from 17 ft,2,56-68,,
4:59.0,,,56-68,,Brooklyn full timeout
4:59.0,D. Gooden enters the game for N. Hilario,,56-68,,
4:59.0,,,56-68,,J. Jack enters the game for B. Bogdanovic
4:39.0,Violation by R. Sessions (kicked ball),,56-68,,
4:27.0,,,56-70,2,J. Jack makes 2-pt shot from 1 ft (assist by D. Williams)
4:14.0,Turnover by P. Pierce (bad pass; steal by J. Johnson),,56-70,,
4:10.0,,,56-70,,Shooting foul by D. Gooden (drawn by T. Young)
4:10.0,,,56-70,,T. Young misses free throw 1 of 2
4:10.0,,,56-70,,Offensive rebound by Team
4:10.0,O. Porter enters the game for P. Pierce,,56-70,,
4:10.0,W. Bynum enters the game for B. Beal,,56-70,,
4:10.0,,,56-70,,M. Plumlee enters the game for B. Lopez
4:10.0,,,56-70,,T. Young misses free throw 2 of 2
4:09.0,Defensive rebound by D. Gooden,,56-70,,
3:57.0,D. Gooden misses 2-pt shot from 2 ft,,56-70,,
3:56.0,Offensive rebound by M. Gortat,,56-70,,
3:55.0,M. Gortat misses 2-pt shot from 2 ft,,56-70,,
3:54.0,Offensive rebound by M. Gortat,,56-70,,
3:53.0,M. Gortat makes 2-pt shot from 1 ft,2,58-70,,
3:43.0,,,58-70,,Turnover by D. Williams (bad pass)
3:27.0,D. Gooden misses 2-pt shot from 18 ft,,58-70,,
3:26.0,Offensive rebound by M. Gortat,,58-70,,
3:15.0,M. Gortat makes 2-pt shot from 5 ft (assist by D. Gooden),2,60-70,,
2:57.0,,,60-70,,D. Williams misses 2-pt shot from 3 ft
2:56.0,Defensive rebound by D. Gooden,,60-70,,
2:48.0,W. Bynum misses 2-pt shot from 1 ft,,60-70,,
2:47.0,,,60-70,,Defensive rebound by D. Williams
2:39.0,,,60-70,,Shooting foul by R. Sessions (drawn by M. Plumlee)
2:39.0,,,60-70,,M. Plumlee misses free throw 1 of 2
2:39.0,,,60-70,,Offensive rebound by Team
2:39.0,,,60-70,,C. Jefferson enters the game for T. Young
2:39.0,,,60-70,,M. Plumlee misses free throw 2 of 2
2:38.0,Defensive rebound by D. Gooden,,60-70,,
2:23.0,Turnover by W. Bynum (bad pass; steal by M. Plumlee),,60-70,,
2:17.0,,,60-70,,M. Plumlee misses 2-pt shot from 2 ft
2:16.0,,,60-70,,Offensive rebound by C. Jefferson
2:15.0,,,60-72,2,C. Jefferson makes 2-pt shot from 2 ft
1:56.0,Shooting foul by C. Jefferson (drawn by M. Gortat),,60-72,,
1:56.0,M. Gortat makes free throw 1 of 2,1,61-72,,
1:56.0,M. Gortat makes free throw 2 of 2,1,62-72,,
1:41.0,,,62-74,2,J. Jack makes 2-pt shot from 19 ft
1:15.0,M. Gortat misses 2-pt shot from 9 ft,,62-74,,
1:14.0,,,62-74,,Defensive rebound by J. Jack
1:09.0,,,62-74,,J. Jack misses 2-pt shot from 14 ft
1:08.0,Defensive rebound by D. Gooden,,62-74,,
0:59.0,Turnover by W. Bynum (bad pass; steal by M. Plumlee),,62-74,,
0:57.0,Personal foul by M. Gortat (drawn by D. Williams),,62-74,,
0:57.0,K. Seraphin enters the game for M. Gortat,,62-74,,
0:45.0,,,62-74,,Shooting foul by K. Seraphin (drawn by M. Plumlee)
0:45.0,,,62-75,1,M. Plumlee makes free throw 1 of 2
0:45.0,,,62-75,,M. Plumlee misses free throw 2 of 2
0:45.0,Defensive rebound by K. Seraphin,,62-75,,
0:35.0,Offensive foul by K. Seraphin,,62-75,,
0:35.0,Turnover by K. Seraphin (offensive foul),,62-75,,
0:28.0,,,62-75,,C. Jefferson misses 2-pt shot from 3 ft
0:27.0,,,62-75,,Offensive rebound by Team
0:27.0,,,62-75,,B. Bogdanovic enters the game for C. Jefferson
0:08.0,,,62-75,,J. Johnson misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by O. Porter,,62-75,,
0:00.0,,,62-75,,C. Jefferson enters the game for B. Bogdanovic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,62-75,,Shooting foul by W. Bynum (drawn by J. Jack)
11:42.0,,,62-76,1,J. Jack makes free throw 1 of 2
11:42.0,,,62-77,1,J. Jack makes free throw 2 of 2
11:27.0,B. Beal misses 3-pt shot from 24 ft,,62-77,,
11:26.0,,,62-77,,Defensive rebound by J. Jack
11:14.0,Personal foul by B. Beal (drawn by M. Plumlee),,62-77,,
11:09.0,,,62-80,3,J. Jack makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
10:52.0,Turnover by K. Seraphin (discontinued dribble),,62-80,,
10:35.0,,,62-83,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack)
10:10.0,O. Porter misses 3-pt shot from 25 ft,,62-83,,
10:09.0,,,62-83,,Defensive rebound by J. Jack
10:01.0,,,62-86,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by M. Brown)
9:59.0,Washington full timeout,,62-86,,
9:49.0,B. Beal misses 2-pt shot from 19 ft,,62-86,,
9:48.0,Offensive rebound by Team,,62-86,,
9:48.0,,,62-86,,Loose ball foul by M. Plumlee (drawn by K. Seraphin)
9:38.0,K. Seraphin misses 2-pt shot from 7 ft,,62-86,,
9:37.0,Offensive rebound by K. Seraphin,,62-86,,
9:27.0,Turnover by B. Beal (traveling),,62-86,,
9:10.0,,,62-86,,Shooting foul by D. Gooden (drawn by B. Lopez)
9:10.0,,,62-87,1,B. Lopez makes free throw 1 of 2
9:10.0,,,62-88,1,B. Lopez makes free throw 2 of 2
8:52.0,Shooting foul by M. Plumlee (drawn by D. Gooden),,62-88,,
8:52.0,D. Gooden makes free throw 1 of 2,1,63-88,,
8:52.0,D. Gooden misses free throw 2 of 2,,63-88,,
8:51.0,,,63-88,,Defensive rebound by B. Bogdanovic
8:41.0,,,63-88,,M. Plumlee misses 2-pt shot from 1 ft (block by B. Beal)
8:39.0,,,63-88,,Offensive rebound by M. Plumlee
8:33.0,,,63-90,2,M. Plumlee makes 2-pt shot from 5 ft
8:20.0,D. Gooden misses 3-pt shot from 25 ft,,63-90,,
8:19.0,,,63-90,,Defensive rebound by J. Jack
8:02.0,Personal foul by K. Seraphin (drawn by M. Plumlee),,63-90,,
8:02.0,K. Humphries enters the game for D. Gooden,,63-90,,
7:57.0,,,63-93,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Jack)
7:43.0,W. Bynum misses 2-pt shot from 18 ft,,63-93,,
7:42.0,,,63-93,,Defensive rebound by B. Bogdanovic
7:31.0,,,63-93,,B. Lopez misses 2-pt shot from 2 ft (block by K. Seraphin)
7:30.0,,,63-93,,Offensive rebound by B. Lopez
7:29.0,,,63-95,2,B. Lopez makes 2-pt shot at rim
7:28.0,Washington full timeout,,63-95,,
7:28.0,R. Sessions enters the game for W. Bynum,,63-95,,
7:13.0,K. Seraphin makes 2-pt shot from 12 ft (assist by B. Beal),2,65-95,,
6:53.0,,,65-95,,B. Lopez misses 2-pt shot from 7 ft
6:52.0,Defensive rebound by R. Sessions,,65-95,,
6:47.0,M. Webster enters the game for B. Beal,,65-95,,
6:30.0,Shooting foul by M. Plumlee (drawn by M. Webster),,65-95,,
6:30.0,M. Webster makes free throw 1 of 2,1,66-95,,
6:30.0,M. Webster makes free throw 2 of 2,1,67-95,,
6:09.0,,,67-97,2,B. Lopez makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
5:47.0,K. Humphries misses 2-pt shot from 1 ft,,67-97,,
5:46.0,,,67-97,,Defensive rebound by M. Plumlee
5:26.0,,,67-97,,M. Plumlee misses 2-pt shot from 1 ft
5:25.0,,,67-97,,Offensive rebound by M. Plumlee
5:24.0,,,67-99,2,M. Plumlee makes 2-pt shot from 1 ft
5:24.0,,,67-99,,Shooting foul by K. Humphries (drawn by M. Plumlee)
5:24.0,,,67-99,,C. Jefferson enters the game for B. Lopez
5:24.0,D. Blair enters the game for K. Seraphin,,67-99,,
5:24.0,,,67-100,1,M. Plumlee makes free throw 1 of 1
5:13.0,O. Porter makes 2-pt shot from 21 ft (assist by K. Humphries),2,69-100,,
4:59.0,,,69-100,,M. Brown misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by R. Sessions,,69-100,,
4:53.0,K. Humphries makes 2-pt shot at rim (assist by R. Sessions),2,71-100,,
4:40.0,,,71-100,,B. Bogdanovic misses 2-pt shot from 13 ft
4:39.0,,,71-100,,Offensive rebound by C. Jefferson
4:38.0,,,71-100,,Shooting foul by K. Humphries (drawn by C. Jefferson)
4:38.0,,,71-100,,C. Jefferson misses free throw 1 of 2
4:38.0,,,71-100,,Offensive rebound by Team
4:38.0,,,71-100,,D. Morris enters the game for J. Jack
4:38.0,,,71-101,1,C. Jefferson makes free throw 2 of 2
4:24.0,M. Webster misses 3-pt shot from 24 ft,,71-101,,
4:23.0,,,71-101,,Defensive rebound by C. Jefferson
4:14.0,,,71-101,,Offensive foul by M. Plumlee
4:14.0,,,71-101,,Turnover by M. Plumlee (offensive foul)
4:14.0,W. Bynum enters the game for R. Sessions,,71-101,,
4:05.0,O. Porter makes 2-pt shot from 2 ft (assist by W. Bynum),2,73-101,,
3:54.0,,,73-101,,Shooting foul by D. Blair (drawn by B. Bogdanovic)
3:54.0,,,73-102,1,B. Bogdanovic makes free throw 1 of 2
3:54.0,,,73-102,,J. Jordan enters the game for M. Plumlee
3:54.0,,,73-103,1,B. Bogdanovic makes free throw 2 of 2
3:40.0,Turnover by W. Bynum (bad pass; steal by D. Morris),,73-103,,
3:29.0,,,73-103,,M. Brown misses 3-pt shot from 25 ft
3:28.0,,,73-103,,Offensive rebound by C. Jefferson
3:26.0,Personal foul by K. Humphries (drawn by C. Jefferson),,73-103,,
3:26.0,,,73-104,1,C. Jefferson makes free throw 1 of 2
3:26.0,,,73-104,,E. Clark enters the game for B. Bogdanovic
3:26.0,,,73-105,1,C. Jefferson makes free throw 2 of 2
3:13.0,O. Porter makes 3-pt shot from 24 ft (assist by W. Bynum),3,76-105,,
2:59.0,,,76-107,2,D. Morris makes 2-pt shot from 13 ft
