time,Toronto,pts.away,score,pts.home,Golden State
3:46.0,P. Patterson enters the game for J. Valanciunas,,20-27,,
3:46.0,T. Hansbrough enters the game for A. Johnson,,20-27,,
3:22.0,,,20-29,2,M. Speights makes 2-pt shot from 16 ft (assist by S. Curry)
3:05.0,Turnover by K. Lowry (traveling),,20-29,,
3:05.0,,,20-29,,D. Lee enters the game for M. Speights
2:52.0,,,20-29,,D. Green misses 3-pt shot from 25 ft
2:51.0,,,20-29,,Offensive rebound by A. Iguodala
2:47.0,,,20-29,,A. Iguodala misses 2-pt shot from 1 ft
2:46.0,Defensive rebound by T. Hansbrough,,20-29,,
2:41.0,K. Lowry makes 3-pt shot from 26 ft,3,23-29,,
2:29.0,,,23-32,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
2:13.0,Shooting foul by K. Thompson (drawn by K. Lowry),,23-32,,
2:13.0,,,23-32,,Golden State full timeout
2:13.0,L. Williams enters the game for L. Fields,,23-32,,
2:13.0,,,23-32,,J. Holiday enters the game for K. Thompson
2:13.0,K. Lowry makes free throw 1 of 3,1,24-32,,
2:13.0,K. Lowry makes free throw 2 of 3,1,25-32,,
2:13.0,K. Lowry makes free throw 3 of 3,1,26-32,,
2:09.0,Personal foul by K. Lowry (drawn by A. Iguodala),,26-32,,
2:09.0,G. Vasquez enters the game for K. Lowry,,26-32,,
2:00.0,,,26-34,2,D. Green makes 2-pt shot from 3 ft (assist by S. Curry)
1:35.0,Turnover by T. Ross (bad pass; steal by D. Lee),,26-34,,
1:30.0,,,26-36,2,D. Lee makes 2-pt shot from 1 ft (assist by A. Iguodala)
1:15.0,Shooting foul by J. Holiday (drawn by L. Williams),,26-36,,
1:15.0,L. Williams makes free throw 1 of 2,1,27-36,,
1:15.0,L. Williams makes free throw 2 of 2,1,28-36,,
1:05.0,,,28-39,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:40.0,G. Vasquez misses 2-pt shot from 16 ft,,28-39,,
0:39.0,,,28-39,,Defensive rebound by D. Lee
0:34.0,,,28-39,,S. Curry misses 3-pt shot from 29 ft
0:32.0,Defensive rebound by Team,,28-39,,
0:32.0,,,28-39,,S. Livingston enters the game for S. Curry
0:11.0,G. Vasquez makes 3-pt shot from 23 ft (assist by L. Williams),3,31-39,,
0:01.0,,,31-39,,Shooting foul by T. Ross (drawn by A. Iguodala)
0:01.0,,,31-40,1,A. Iguodala makes free throw 1 of 3
0:01.0,,,31-40,,A. Iguodala misses free throw 2 of 3
0:01.0,,,31-40,,Offensive rebound by Team
0:01.0,,,31-40,,A. Iguodala misses free throw 3 of 3
0:01.0,Defensive rebound by G. Vasquez,,31-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,31-40,,Personal foul by D. Lee (drawn by L. Williams)
11:28.0,J. Johnson misses 2-pt shot at rim,,31-40,,
11:27.0,Offensive rebound by J. Johnson,,31-40,,
11:27.0,J. Johnson misses 2-pt shot at rim,,31-40,,
11:25.0,Offensive rebound by P. Patterson,,31-40,,
11:24.0,P. Patterson misses 2-pt shot from 2 ft (block by D. Lee),,31-40,,
11:22.0,,,31-40,,Defensive rebound by D. Lee
11:14.0,,,31-40,,J. Holiday misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by J. Johnson,,31-40,,
10:47.0,G. Vasquez misses 2-pt shot from 16 ft,,31-40,,
10:46.0,,,31-40,,Defensive rebound by H. Barnes
10:34.0,,,31-40,,J. Holiday misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by L. Williams,,31-40,,
10:30.0,Turnover by G. Vasquez (step out of bounds),,31-40,,
10:19.0,Personal foul by T. Hansbrough (drawn by D. Lee),,31-40,,
10:11.0,,,31-40,,D. Lee misses 2-pt shot from 10 ft
10:10.0,Defensive rebound by T. Hansbrough,,31-40,,
9:57.0,P. Patterson makes 2-pt shot from 9 ft (assist by G. Vasquez),2,33-40,,
9:41.0,,,33-40,,S. Livingston misses 2-pt shot from 5 ft
9:40.0,Defensive rebound by P. Patterson,,33-40,,
9:36.0,G. Vasquez makes 3-pt shot from 25 ft,3,36-40,,
9:22.0,,,36-42,2,D. Lee makes 2-pt shot from 13 ft (assist by J. Holiday)
8:58.0,G. Vasquez misses 3-pt shot from 25 ft,,36-42,,
8:57.0,,,36-42,,Defensive rebound by A. Iguodala
8:52.0,,,36-42,,H. Barnes misses 3-pt shot from 27 ft
8:50.0,Defensive rebound by G. Vasquez,,36-42,,
8:34.0,J. Johnson misses 2-pt shot from 12 ft,,36-42,,
8:33.0,,,36-42,,Defensive rebound by D. Lee
8:14.0,,,36-42,,D. Lee misses 2-pt shot from 9 ft
8:13.0,,,36-42,,Offensive rebound by H. Barnes
8:06.0,,,36-44,2,S. Livingston makes 2-pt shot from 1 ft (assist by A. Iguodala)
7:58.0,Toronto full timeout,,36-44,,
7:51.0,L. Williams misses 3-pt shot from 26 ft,,36-44,,
7:50.0,,,36-44,,Defensive rebound by D. Lee
7:37.0,,,36-46,2,D. Lee makes 2-pt shot at rim (assist by A. Iguodala)
7:09.0,Turnover by G. Vasquez (lost ball),,36-46,,
7:01.0,,,36-48,2,S. Livingston makes 2-pt shot from 17 ft
6:40.0,L. Williams misses 2-pt shot from 10 ft,,36-48,,
6:37.0,,,36-48,,Defensive rebound by J. Holiday
6:32.0,,,36-48,,Shooting foul by T. Hansbrough (drawn by H. Barnes)
6:32.0,,,36-49,1,H. Barnes makes free throw 1 of 2
6:32.0,,,36-49,,K. Thompson enters the game for J. Holiday
6:32.0,K. Lowry enters the game for J. Johnson,,36-49,,
6:32.0,A. Johnson enters the game for T. Hansbrough,,36-49,,
6:32.0,,,36-50,1,H. Barnes makes free throw 2 of 2
6:13.0,K. Lowry makes 2-pt shot from 2 ft,2,38-50,,
5:51.0,,,38-50,,D. Lee misses 2-pt shot from 8 ft
5:50.0,Defensive rebound by G. Vasquez,,38-50,,
5:46.0,Official timeout,,38-50,,
5:46.0,,,38-50,,Violation by S. Livingston (kicked ball)
5:40.0,K. Lowry misses 3-pt shot from 25 ft (block by S. Livingston),,38-50,,
5:38.0,,,38-50,,Defensive rebound by H. Barnes
5:20.0,,,38-50,,A. Iguodala misses 2-pt shot from 1 ft
5:19.0,,,38-50,,Offensive rebound by D. Lee
5:19.0,,,38-52,2,D. Lee makes 2-pt shot at rim
5:09.0,G. Vasquez makes 3-pt shot from 26 ft (assist by K. Lowry),3,41-52,,
5:00.0,,,41-52,,S. Livingston misses 2-pt shot from 15 ft
4:59.0,Defensive rebound by P. Patterson,,41-52,,
4:50.0,G. Vasquez makes 2-pt shot from 7 ft,2,43-52,,
4:48.0,,,43-52,,Golden State full timeout
4:48.0,T. Ross enters the game for P. Patterson,,43-52,,
4:48.0,,,43-52,,M. Speights enters the game for H. Barnes
4:48.0,,,43-52,,D. Green enters the game for A. Iguodala
4:48.0,,,43-52,,S. Curry enters the game for D. Lee
4:39.0,,,43-52,,Turnover by M. Speights (bad pass)
4:29.0,,,43-52,,Personal block foul by M. Speights (drawn by K. Lowry)
4:20.0,G. Vasquez makes 2-pt shot from 2 ft,2,45-52,,
4:07.0,,,45-52,,Turnover by D. Green (bad pass; steal by K. Lowry)
4:03.0,K. Lowry makes 2-pt shot from 1 ft,2,47-52,,
3:53.0,,,47-52,,Turnover by K. Thompson (bad pass; steal by T. Ross)
3:46.0,T. Ross makes 3-pt shot from 25 ft (assist by G. Vasquez),3,50-52,,
3:45.0,,,50-52,,Golden State full timeout
3:33.0,,,50-55,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
3:17.0,G. Vasquez makes 3-pt shot from 26 ft (assist by K. Lowry),3,53-55,,
3:02.0,,,53-55,,K. Thompson misses 2-pt shot from 17 ft
3:01.0,Defensive rebound by L. Williams,,53-55,,
2:55.0,,,53-55,,Personal foul by K. Thompson (drawn by K. Lowry)
2:55.0,,,53-55,,H. Barnes enters the game for K. Thompson
2:40.0,A. Johnson makes 2-pt shot from 3 ft (assist by G. Vasquez),2,55-55,,
2:33.0,,,55-55,,Turnover by S. Livingston (bad pass; steal by A. Johnson)
2:27.0,G. Vasquez misses 2-pt shot at rim,,55-55,,
2:26.0,Offensive rebound by K. Lowry,,55-55,,
2:26.0,K. Lowry makes 2-pt shot from 1 ft,2,57-55,,
2:16.0,,,57-55,,S. Livingston misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by A. Johnson,,57-55,,
2:08.0,L. Williams misses 2-pt shot from 5 ft (block by D. Green),,57-55,,
2:07.0,,,57-55,,Defensive rebound by S. Curry
2:06.0,,,57-55,,Shooting foul by T. Ross (drawn by S. Curry)
2:06.0,,,57-56,1,S. Curry makes free throw 1 of 2
2:06.0,,,57-56,,J. Holiday enters the game for S. Livingston
2:06.0,,,57-56,,D. Lee enters the game for M. Speights
2:06.0,,,57-57,1,S. Curry makes free throw 2 of 2
1:50.0,L. Williams misses 2-pt shot from 19 ft,,57-57,,
1:48.0,Offensive rebound by A. Johnson,,57-57,,
1:48.0,A. Johnson makes 2-pt shot at rim,2,59-57,,
1:34.0,,,59-57,,Turnover by D. Lee (lost ball; steal by K. Lowry)
1:29.0,G. Vasquez misses 3-pt shot from 26 ft,,59-57,,
1:28.0,Offensive rebound by Team,,59-57,,
1:28.0,Toronto full timeout,,59-57,,
1:24.0,Turnover by L. Williams (lost ball; steal by J. Holiday),,59-57,,
1:19.0,,,59-57,,Shooting foul by G. Vasquez (drawn by S. Curry)
1:19.0,,,59-58,1,S. Curry makes free throw 1 of 2
1:19.0,,,59-59,1,S. Curry makes free throw 2 of 2
1:01.0,K. Lowry misses 3-pt shot from 26 ft,,59-59,,
1:00.0,,,59-59,,Defensive rebound by D. Lee
0:52.0,,,59-61,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
0:48.0,Shooting foul by D. Green (drawn by L. Williams),,59-61,,
0:48.0,L. Williams makes free throw 1 of 2,1,60-61,,
0:48.0,L. Williams makes free throw 2 of 2,1,61-61,,
0:38.0,,,61-61,,S. Curry misses 3-pt shot from 27 ft
0:37.0,,,61-61,,Offensive rebound by D. Green
0:37.0,Personal foul by T. Ross (drawn by D. Green),,61-61,,
0:37.0,,,61-62,1,D. Green makes free throw 1 of 2
0:37.0,L. Fields enters the game for T. Ross,,61-62,,
0:37.0,,,61-63,1,D. Green makes free throw 2 of 2
0:34.0,Turnover by K. Lowry (lost ball),,61-63,,
0:19.0,,,61-63,,S. Curry misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by A. Johnson,,61-63,,
0:15.0,Turnover by A. Johnson (bad pass; steal by J. Holiday),,61-63,,
0:12.0,,,61-66,3,S. Curry makes 3-pt shot from 26 ft (assist by J. Holiday)
0:01.0,L. Williams misses 3-pt shot from 27 ft,,61-66,,
0:00.0,Offensive rebound by Team,,61-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Lowry misses 2-pt shot from 11 ft,,61-66,,
11:39.0,Offensive rebound by A. Johnson,,61-66,,
11:25.0,A. Johnson misses 2-pt shot from 17 ft,,61-66,,
11:24.0,,,61-66,,Defensive rebound by D. Green
11:19.0,,,61-69,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
11:02.0,T. Ross makes 2-pt shot from 1 ft (assist by K. Lowry),2,63-69,,
10:40.0,,,63-71,2,D. Green makes 2-pt shot from 17 ft
10:18.0,T. Ross misses 3-pt shot from 25 ft,,63-71,,
10:17.0,,,63-71,,Defensive rebound by M. Speights
10:13.0,,,63-73,2,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green)
9:50.0,J. Valanciunas misses 2-pt shot from 6 ft (block by D. Green),,63-73,,
9:49.0,,,63-73,,Defensive rebound by H. Barnes
9:45.0,,,63-73,,H. Barnes misses 2-pt shot from 17 ft
9:44.0,,,63-73,,Offensive rebound by M. Speights
9:44.0,,,63-73,,M. Speights misses 2-pt shot at rim
9:40.0,,,63-73,,Offensive rebound by S. Curry
9:36.0,,,63-75,2,M. Speights makes 2-pt shot from 2 ft (assist by H. Barnes)
9:35.0,Toronto full timeout,,63-75,,
9:35.0,P. Patterson enters the game for J. Valanciunas,,63-75,,
9:25.0,,,63-75,,Personal foul by H. Barnes (drawn by L. Fields)
9:12.0,T. Ross misses 2-pt shot from 22 ft (block by K. Thompson),,63-75,,
9:11.0,Offensive rebound by Team,,63-75,,
9:11.0,Turnover by Team (shot clock),,63-75,,
9:02.0,,,63-75,,Offensive foul by D. Green
9:02.0,,,63-75,,Turnover by D. Green (offensive foul)
8:50.0,Turnover by A. Johnson (bad pass; steal by S. Curry),,63-75,,
8:45.0,,,63-75,,M. Speights misses 2-pt shot from 1 ft
8:44.0,,,63-75,,Offensive rebound by S. Curry
8:43.0,,,63-77,2,S. Curry makes 2-pt shot at rim
8:25.0,Turnover by K. Lowry (bad pass; steal by D. Green),,63-77,,
8:20.0,,,63-77,,M. Speights misses 2-pt shot at rim
8:19.0,,,63-77,,Offensive rebound by M. Speights
8:19.0,,,63-79,2,M. Speights makes 2-pt shot at rim
8:02.0,Turnover by T. Ross (lost ball),,63-79,,
8:02.0,L. Williams enters the game for L. Fields,,63-79,,
8:02.0,G. Vasquez enters the game for T. Ross,,63-79,,
7:49.0,,,63-81,2,M. Speights makes 2-pt shot from 15 ft (assist by D. Green)
7:31.0,K. Lowry misses 2-pt shot from 2 ft,,63-81,,
7:30.0,,,63-81,,Defensive rebound by K. Thompson
7:30.0,Personal foul by A. Johnson (drawn by K. Thompson),,63-81,,
7:20.0,,,63-83,2,K. Thompson makes 2-pt shot from 16 ft
7:04.0,P. Patterson misses 2-pt shot from 2 ft (block by K. Thompson),,63-83,,
7:02.0,Offensive rebound by K. Lowry,,63-83,,
6:56.0,Shooting foul by S. Curry (drawn by G. Vasquez),,63-83,,
6:56.0,G. Vasquez makes 3-pt shot from 25 ft (assist by P. Patterson),3,66-83,,
6:56.0,Technical foul by K. Lowry,,66-83,,
6:56.0,,,66-84,1,S. Curry makes technical free throw
6:56.0,G. Vasquez misses free throw 1 of 1,,66-84,,
6:54.0,,,66-84,,Defensive rebound by K. Thompson
6:37.0,,,66-84,,Turnover by K. Thompson (bad pass; steal by A. Johnson)
6:23.0,K. Lowry misses 2-pt shot from 2 ft,,66-84,,
6:22.0,,,66-84,,Defensive rebound by D. Green
6:17.0,,,66-87,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
6:13.0,Toronto full timeout,,66-87,,
6:13.0,,,66-87,,A. Iguodala enters the game for H. Barnes
6:01.0,L. Williams misses 3-pt shot from 29 ft,,66-87,,
6:00.0,,,66-87,,Defensive rebound by Team
5:46.0,,,66-89,2,M. Speights makes 2-pt shot from 1 ft (assist by D. Green)
5:35.0,G. Vasquez misses 3-pt shot from 27 ft,,66-89,,
5:35.0,Offensive rebound by A. Johnson,,66-89,,
5:29.0,G. Vasquez makes 2-pt shot from 10 ft,2,68-89,,
5:17.0,,,68-89,,D. Green misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by L. Williams,,68-89,,
5:13.0,A. Johnson makes 2-pt shot at rim (assist by L. Williams),2,70-89,,
5:05.0,Personal foul by K. Lowry (drawn by K. Thompson),,70-89,,
5:02.0,,,70-89,,S. Curry misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by A. Johnson,,70-89,,
4:49.0,L. Williams makes 2-pt shot from 2 ft,2,72-89,,
4:49.0,Shooting foul by M. Speights (drawn by L. Williams),,72-89,,
4:49.0,,,72-89,,D. Lee enters the game for M. Speights
4:49.0,L. Williams makes free throw 1 of 1,1,73-89,,
4:30.0,,,73-91,2,D. Lee makes 2-pt shot at rim (assist by D. Green)
4:06.0,Turnover by L. Williams (lost ball; steal by K. Thompson),,73-91,,
4:02.0,,,73-93,2,S. Curry makes 2-pt shot at rim (assist by A. Iguodala)
3:34.0,A. Johnson makes 2-pt shot from 5 ft,2,75-93,,
3:19.0,,,75-93,,K. Thompson misses 2-pt shot from 15 ft
3:19.0,,,75-93,,Offensive rebound by Team
3:16.0,,,75-93,,A. Iguodala misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by A. Johnson,,75-93,,
3:09.0,,,75-93,,Personal foul by K. Thompson (drawn by K. Lowry)
3:09.0,,,75-93,,J. Holiday enters the game for K. Thompson
2:58.0,A. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez),2,77-93,,
2:44.0,,,77-93,,S. Curry misses 3-pt shot from 27 ft
2:44.0,Defensive rebound by K. Lowry,,77-93,,
2:37.0,,,77-93,,Golden State full timeout
2:25.0,A. Johnson misses 2-pt shot from 8 ft,,77-93,,
2:24.0,Offensive rebound by Team,,77-93,,
2:20.0,K. Lowry makes 3-pt shot from 27 ft (assist by P. Patterson),3,80-93,,
2:20.0,Shooting foul by S. Curry (drawn by K. Lowry),,80-93,,
2:20.0,K. Lowry misses free throw 1 of 1,,80-93,,
2:17.0,,,80-93,,Defensive rebound by J. Holiday
1:54.0,,,80-93,,D. Green misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by Team,,80-93,,
1:35.0,A. Johnson misses 2-pt shot from 9 ft,,80-93,,
1:34.0,,,80-93,,Defensive rebound by Team
1:22.0,,,80-93,,Shooting foul by A. Johnson (drawn by J. Holiday)
1:22.0,,,80-94,1,J. Holiday makes free throw 1 of 2
1:22.0,,,80-95,1,J. Holiday makes free throw 2 of 2
1:08.0,K. Lowry makes 2-pt shot from 1 ft (assist by A. Johnson),2,82-95,,
0:49.0,,,82-95,,S. Curry misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by A. Johnson,,82-95,,
0:44.0,Shooting foul by J. Holiday (drawn by L. Williams),,82-95,,
0:44.0,L. Williams makes free throw 1 of 2,1,83-95,,
0:44.0,,,83-95,,S. Livingston enters the game for S. Curry
0:44.0,L. Williams makes free throw 2 of 2,1,84-95,,
0:25.0,,,84-97,2,J. Holiday makes 2-pt shot from 15 ft (assist by D. Green)
0:05.0,L. Williams misses 3-pt shot from 28 ft,,84-97,,
0:02.0,,,84-97,,Defensive rebound by D. Green
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,84-97,,D. Green misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by K. Lowry,,84-97,,
11:28.0,P. Patterson misses 2-pt shot from 14 ft,,84-97,,
11:27.0,,,84-97,,Defensive rebound by D. Green
11:14.0,,,84-99,2,J. Holiday makes 2-pt shot from 12 ft (assist by D. Green)
10:49.0,K. Lowry misses 2-pt shot from 19 ft (block by D. Lee),,84-99,,
10:48.0,Offensive rebound by Team,,84-99,,
10:48.0,Turnover by Team (shot clock),,84-99,,
10:28.0,,,84-99,,S. Livingston misses 2-pt shot from 12 ft
10:28.0,Defensive rebound by P. Patterson,,84-99,,
10:17.0,L. Williams makes 2-pt shot from 1 ft,2,86-99,,
9:55.0,,,86-101,2,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green)
9:34.0,G. Vasquez makes 2-pt shot from 1 ft (assist by K. Lowry),2,88-101,,
9:13.0,,,88-101,,D. Lee misses 2-pt shot from 3 ft (block by J. Johnson)
9:11.0,,,88-101,,Offensive rebound by D. Lee
9:10.0,,,88-103,2,D. Lee makes 2-pt shot from 2 ft
8:58.0,K. Lowry misses 3-pt shot from 24 ft,,88-103,,
8:57.0,,,88-103,,Defensive rebound by A. Iguodala
8:51.0,Personal foul by K. Lowry (drawn by A. Iguodala),,88-103,,
8:51.0,Official timeout,,88-103,,
8:51.0,T. Ross enters the game for K. Lowry,,88-103,,
8:51.0,A. Johnson enters the game for P. Patterson,,88-103,,
8:47.0,Violation by J. Johnson (kicked ball),,88-103,,
8:40.0,,,88-103,,Shooting foul by A. Johnson (drawn by A. Iguodala)
8:40.0,,,88-103,,A. Iguodala misses free throw 1 of 2
8:40.0,,,88-103,,Offensive rebound by Team
8:40.0,,,88-103,,A. Iguodala misses free throw 2 of 2
8:40.0,Defensive rebound by Team,,88-103,,
8:40.0,,,88-103,,Loose ball foul by D. Green (drawn by J. Johnson)
8:24.0,L. Williams makes 2-pt shot from 16 ft,2,90-103,,
8:08.0,,,90-103,,Turnover by J. Holiday (bad pass; steal by G. Vasquez)
8:00.0,G. Vasquez makes 2-pt shot from 3 ft,2,92-103,,
8:00.0,,,92-103,,Golden State full timeout
8:00.0,,,92-103,,S. Curry enters the game for J. Holiday
8:00.0,,,92-103,,K. Thompson enters the game for S. Livingston
7:39.0,,,92-106,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
7:23.0,G. Vasquez misses 2-pt shot from 14 ft,,92-106,,
7:22.0,,,92-106,,Defensive rebound by D. Green
7:12.0,,,92-106,,S. Curry misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by G. Vasquez,,92-106,,
7:02.0,L. Williams makes 3-pt shot from 22 ft,3,95-106,,
6:42.0,,,95-106,,A. Iguodala misses 2-pt shot from 4 ft
6:41.0,Defensive rebound by G. Vasquez,,95-106,,
6:38.0,Shooting foul by D. Green (drawn by T. Ross),,95-106,,
6:38.0,T. Ross makes free throw 1 of 2,1,96-106,,
6:38.0,,,96-106,,M. Speights enters the game for D. Lee
6:38.0,T. Ross makes free throw 2 of 2,1,97-106,,
6:22.0,,,97-106,,Shooting foul by L. Williams (drawn by M. Speights)
6:22.0,,,97-107,1,M. Speights makes free throw 1 of 2
6:22.0,,,97-108,1,M. Speights makes free throw 2 of 2
5:58.0,Turnover by T. Ross (lost ball; steal by D. Green),,97-108,,
5:52.0,,,97-108,,K. Thompson misses 3-pt shot from 27 ft
5:51.0,,,97-108,,Offensive rebound by M. Speights
5:50.0,,,97-108,,M. Speights misses 2-pt shot at rim
5:49.0,,,97-108,,Offensive rebound by M. Speights
5:49.0,,,97-110,2,M. Speights makes 2-pt shot at rim
5:38.0,L. Williams makes 2-pt shot from 16 ft,2,99-110,,
5:14.0,,,99-110,,D. Green misses 2-pt shot from 8 ft
5:13.0,Defensive rebound by Team,,99-110,,
5:13.0,K. Lowry enters the game for J. Johnson,,99-110,,
5:00.0,L. Williams makes 2-pt shot from 19 ft (assist by G. Vasquez),2,101-110,,
4:48.0,,,101-112,2,S. Curry makes 2-pt shot from 1 ft
4:35.0,Offensive charge foul by A. Johnson,,101-112,,
4:35.0,Turnover by A. Johnson (offensive foul),,101-112,,
4:35.0,Violation by Team (delay of game),,101-112,,
4:25.0,,,101-114,2,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry)
4:20.0,Toronto full timeout,,101-114,,
4:20.0,P. Patterson enters the game for A. Johnson,,101-114,,
4:01.0,T. Ross misses 3-pt shot from 23 ft,,101-114,,
4:00.0,,,101-114,,Defensive rebound by M. Speights
3:45.0,,,101-116,2,S. Curry makes 2-pt shot from 2 ft
3:22.0,L. Williams misses 2-pt shot from 9 ft (block by K. Thompson),,101-116,,
3:21.0,,,101-116,,Defensive rebound by D. Green
3:15.0,,,101-116,,K. Thompson misses 3-pt shot from 25 ft
3:14.0,,,101-116,,Offensive rebound by D. Green
3:14.0,,,101-116,,D. Green misses 2-pt shot from 1 ft
3:12.0,,,101-116,,Offensive rebound by A. Iguodala
2:56.0,,,101-118,2,M. Speights makes 2-pt shot from 13 ft (assist by S. Curry)
2:41.0,K. Lowry misses 2-pt shot from 19 ft,,101-118,,
2:40.0,,,101-118,,Defensive rebound by D. Green
2:24.0,,,101-118,,M. Speights misses 2-pt shot from 18 ft
2:23.0,,,101-118,,Offensive rebound by D. Green
