time,Denver,pts.away,score,pts.home,San Antonio
5:38.0,,,32-52,,K. Leonard misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by T. Lawson,,32-52,,
5:35.0,W. Chandler misses 2-pt shot from 1 ft,,32-52,,
5:35.0,Offensive rebound by Team,,32-52,,
5:31.0,R. Foye misses 2-pt shot from 18 ft,,32-52,,
5:30.0,Offensive rebound by W. Chandler,,32-52,,
5:20.0,D. Gallinari misses 2-pt shot from 3 ft,,32-52,,
5:19.0,,,32-52,,Defensive rebound by Team
5:02.0,,,32-54,2,T. Duncan makes 2-pt shot from 9 ft
4:44.0,T. Lawson misses 2-pt shot from 1 ft (block by D. Green),,32-54,,
4:43.0,,,32-54,,Defensive rebound by T. Duncan
4:37.0,,,32-57,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
4:21.0,W. Chandler misses 3-pt shot from 25 ft,,32-57,,
4:20.0,,,32-57,,Defensive rebound by D. Green
4:12.0,,,32-60,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
4:03.0,R. Foye makes 3-pt shot from 25 ft (assist by T. Lawson),3,35-60,,
3:42.0,,,35-60,,Turnover by D. Green (lost ball)
3:31.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,37-60,,
3:09.0,,,37-60,,Turnover by K. Leonard (step out of bounds)
2:44.0,R. Foye makes 2-pt shot from 2 ft,2,39-60,,
2:32.0,,,39-62,2,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan)
2:23.0,T. Lawson misses 2-pt shot from 2 ft,,39-62,,
2:21.0,,,39-62,,Defensive rebound by T. Duncan
1:58.0,,,39-65,3,M. Bonner makes 3-pt shot from 24 ft (assist by T. Parker)
1:44.0,Denver full timeout,,39-65,,
1:44.0,,,39-65,,M. Belinelli enters the game for K. Leonard
1:43.0,Jump ball: T. Duncan vs. D. Gallinari,,,,Jump ball: T. Duncan vs. D. Gallinari
1:34.0,D. Gallinari makes 2-pt shot from 2 ft,2,41-65,,
1:29.0,,,41-65,,Turnover by T. Parker (bad pass; steal by D. Gallinari)
1:24.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,43-65,,
1:04.0,,,43-65,,Shooting foul by R. Foye (drawn by T. Duncan)
1:04.0,,,43-66,1,T. Duncan makes free throw 1 of 2
1:04.0,,,43-67,1,T. Duncan makes free throw 2 of 2
0:51.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,45-67,,
0:34.0,,,45-67,,M. Bonner misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by K. Faried,,45-67,,
0:27.0,W. Chandler misses 2-pt shot from 20 ft,,45-67,,
0:26.0,Offensive rebound by Team,,45-67,,
0:26.0,,,45-67,,Loose ball foul by D. Green (drawn by K. Faried)
0:26.0,Denver full timeout,,45-67,,
0:03.0,D. Gallinari makes 2-pt shot from 1 ft (assist by R. Foye),2,47-67,,
0:00.0,,,47-67,,M. Belinelli misses 3-pt shot from 34 ft
0:00.0,,,47-67,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Gallinari makes 3-pt shot from 23 ft (assist by W. Chandler),3,50-67,,
11:16.0,,,50-67,,D. Green misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by D. Gallinari,,50-67,,
11:02.0,R. Foye misses 3-pt shot from 24 ft,,50-67,,
11:01.0,Offensive rebound by K. Faried,,50-67,,
10:58.0,Turnover by K. Faried (lost ball; steal by K. Leonard),,50-67,,
10:47.0,Personal foul by W. Chandler (drawn by K. Leonard),,50-67,,
10:33.0,,,50-70,3,D. Green makes 3-pt shot from 25 ft (assist by T. Duncan)
10:14.0,Turnover by K. Faried (bad pass; steal by D. Green),,50-70,,
10:05.0,,,50-72,2,T. Parker makes 2-pt shot from 2 ft
10:05.0,Denver full timeout,,50-72,,
9:54.0,T. Lawson misses 2-pt shot from 12 ft,,50-72,,
9:53.0,,,50-72,,Defensive rebound by K. Leonard
9:48.0,,,50-75,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
9:33.0,T. Lawson makes 2-pt shot from 1 ft,2,52-75,,
9:12.0,,,52-75,,K. Leonard misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by K. Faried,,52-75,,
9:06.0,K. Faried makes 2-pt shot from 2 ft,2,54-75,,
8:48.0,,,54-77,2,T. Parker makes 2-pt shot from 6 ft (assist by K. Leonard)
8:36.0,K. Faried misses 2-pt shot from 5 ft (block by T. Duncan),,54-77,,
8:35.0,,,54-77,,Defensive rebound by M. Bonner
8:25.0,,,54-80,3,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker)
8:12.0,T. Lawson misses 2-pt shot from 3 ft (block by T. Duncan),,54-80,,
8:10.0,,,54-80,,Defensive rebound by T. Duncan
8:03.0,,,54-80,,T. Parker misses 2-pt shot from 8 ft
8:03.0,Defensive rebound by D. Gallinari,,54-80,,
7:54.0,D. Gallinari misses 3-pt shot from 25 ft,,54-80,,
7:53.0,,,54-80,,Defensive rebound by T. Duncan
7:53.0,Technical foul by Team,,54-80,,
7:53.0,,,54-81,1,D. Green makes technical free throw
7:53.0,W. Barton enters the game for R. Foye,,54-81,,
7:47.0,Personal foul by K. Faried (drawn by T. Duncan),,54-81,,
7:38.0,,,54-81,,Turnover by T. Duncan (bad pass)
7:25.0,D. Gallinari misses 2-pt shot from 6 ft (block by K. Leonard),,54-81,,
7:23.0,Offensive rebound by K. Faried,,54-81,,
7:18.0,,,54-81,,Personal foul by T. Parker (drawn by T. Lawson)
7:14.0,Offensive foul by K. Faried,,54-81,,
7:14.0,Turnover by K. Faried (offensive foul),,54-81,,
7:05.0,,,54-83,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
6:42.0,D. Gallinari misses 2-pt shot from 15 ft,,54-83,,
6:41.0,Offensive rebound by K. Faried,,54-83,,
6:41.0,K. Faried makes 2-pt shot at rim,2,56-83,,
6:26.0,,,56-83,,M. Bonner misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by W. Barton,,56-83,,
6:14.0,,,56-83,,Personal foul by K. Leonard (drawn by D. Gallinari)
6:14.0,,,56-83,,A. Baynes enters the game for T. Duncan
6:14.0,J. Nurkic enters the game for K. Faried,,56-83,,
6:05.0,Shooting foul by K. Leonard (drawn by D. Gallinari),,56-83,,
6:05.0,D. Gallinari makes free throw 1 of 2,1,57-83,,
6:05.0,D. Gallinari makes free throw 2 of 2,1,58-83,,
5:51.0,,,58-85,2,A. Baynes makes 2-pt shot from 11 ft (assist by M. Bonner)
5:36.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,60-85,,
5:16.0,,,60-85,,A. Baynes misses 2-pt shot from 1 ft (block by W. Chandler)
5:14.0,,,60-85,,Offensive rebound by A. Baynes
5:14.0,,,60-87,2,A. Baynes makes 2-pt shot at rim
4:59.0,D. Gallinari makes 2-pt shot from 16 ft (assist by T. Lawson),2,62-87,,
4:41.0,,,62-87,,Shooting foul by J. Nurkic (drawn by A. Baynes)
4:41.0,,,62-88,1,A. Baynes makes free throw 1 of 2
4:41.0,J. Nelson enters the game for T. Lawson,,62-88,,
4:41.0,,,62-88,,M. Belinelli enters the game for D. Green
4:41.0,,,62-89,1,A. Baynes makes free throw 2 of 2
4:24.0,W. Chandler makes 2-pt shot from 2 ft,2,64-89,,
4:24.0,,,64-89,,San Antonio full timeout
4:24.0,,,64-89,,M. Ginobili enters the game for K. Leonard
4:13.0,,,64-89,,Offensive foul by A. Baynes
4:13.0,,,64-89,,Turnover by A. Baynes (offensive foul)
4:13.0,,,64-89,,B. Diaw enters the game for M. Bonner
3:59.0,W. Barton misses 2-pt shot from 19 ft,,64-89,,
3:58.0,,,64-89,,Defensive rebound by M. Ginobili
3:50.0,Personal foul by J. Nelson (drawn by B. Diaw),,64-89,,
3:41.0,,,64-89,,M. Belinelli misses 3-pt shot from 25 ft
3:39.0,,,64-89,,Offensive rebound by M. Ginobili
3:26.0,,,64-92,3,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Parker)
3:09.0,W. Chandler misses 2-pt shot from 15 ft,,64-92,,
3:08.0,,,64-92,,Defensive rebound by M. Belinelli
2:52.0,,,64-92,,M. Ginobili misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by W. Chandler,,64-92,,
2:40.0,J. Nelson makes 2-pt shot from 19 ft (assist by W. Chandler),2,66-92,,
2:23.0,,,66-92,,Shooting foul by W. Chandler (drawn by A. Baynes)
2:23.0,,,66-94,2,A. Baynes makes 2-pt shot from 6 ft (assist by M. Ginobili)
2:23.0,,,66-94,,P. Mills enters the game for T. Parker
2:23.0,J. Hickson enters the game for W. Chandler,,66-94,,
2:23.0,,,66-95,1,A. Baynes makes free throw 1 of 1
2:07.0,J. Nelson makes 2-pt shot from 12 ft,2,68-95,,
1:58.0,,,68-95,,Turnover by M. Ginobili (traveling)
1:58.0,G. Harris enters the game for D. Gallinari,,68-95,,
1:40.0,J. Nelson makes 2-pt shot from 21 ft,2,70-95,,
1:20.0,,,70-95,,M. Ginobili misses 3-pt shot from 23 ft
1:19.0,Defensive rebound by J. Nurkic,,70-95,,
1:03.0,W. Barton misses 2-pt shot from 9 ft,,70-95,,
1:01.0,Offensive rebound by J. Hickson,,70-95,,
0:58.0,Turnover by J. Hickson (lost ball; steal by A. Baynes),,70-95,,
0:50.0,,,70-95,,P. Mills misses 3-pt shot from 22 ft
0:48.0,,,70-95,,Offensive rebound by P. Mills
0:35.0,,,70-97,2,P. Mills makes 2-pt shot from 1 ft (assist by B. Diaw)
0:35.0,Denver full timeout,,70-97,,
0:30.0,W. Barton misses 2-pt shot from 4 ft (block by A. Baynes),,70-97,,
0:28.0,Offensive rebound by J. Nurkic,,70-97,,
0:23.0,J. Nelson misses 3-pt shot from 25 ft,,70-97,,
0:22.0,,,70-97,,Defensive rebound by A. Baynes
0:04.0,,,70-100,3,M. Belinelli makes 3-pt shot from 23 ft (assist by P. Mills)
0:02.0,Turnover by W. Barton (lost ball),,70-100,,
0:00.0,,,70-100,,M. Belinelli misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by J. Nelson,,70-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,70-102,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
11:25.0,Turnover by J. Nelson (bad pass; steal by P. Mills),,70-102,,
11:17.0,,,70-104,2,A. Baynes makes 2-pt shot from 7 ft (assist by P. Mills)
11:05.0,W. Barton misses 3-pt shot from 25 ft,,70-104,,
11:04.0,,,70-104,,Defensive rebound by P. Mills
10:43.0,,,70-104,,M. Belinelli misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by J. Nelson,,70-104,,
10:34.0,J. Nelson makes 2-pt shot from 6 ft,2,72-104,,
10:34.0,Shooting foul by P. Mills (drawn by J. Nelson),,72-104,,
10:34.0,J. Nelson makes free throw 1 of 1,1,73-104,,
10:14.0,,,73-107,3,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Ginobili)
10:00.0,J. Hickson misses 2-pt shot at rim,,73-107,,
9:59.0,Offensive rebound by J. Hickson,,73-107,,
9:59.0,J. Hickson makes 2-pt shot at rim,2,75-107,,
9:41.0,,,75-107,,Shooting foul by J. Nelson (drawn by A. Baynes)
9:41.0,,,75-108,1,A. Baynes makes free throw 1 of 2
9:41.0,E. Green enters the game for J. Nelson,,75-108,,
9:41.0,,,75-109,1,A. Baynes makes free throw 2 of 2
9:26.0,W. Barton makes 2-pt shot from 19 ft,2,77-109,,
9:26.0,,,77-109,,San Antonio full timeout
9:26.0,,,77-109,,J. Ayres enters the game for A. Baynes
9:10.0,,,77-112,3,M. Belinelli makes 3-pt shot from 25 ft (assist by P. Mills)
8:43.0,E. Green misses 2-pt shot from 15 ft,,77-112,,
8:42.0,Offensive rebound by J. Nurkic,,77-112,,
8:42.0,J. Nurkic makes 2-pt shot from 1 ft,2,79-112,,
8:27.0,,,79-112,,Turnover by J. Ayres (lost ball)
8:27.0,,,79-112,,C. Joseph enters the game for M. Ginobili
8:12.0,W. Barton misses 2-pt shot from 6 ft,,79-112,,
8:11.0,,,79-112,,Defensive rebound by J. Ayres
8:00.0,,,79-114,2,C. Joseph makes 2-pt shot from 10 ft (assist by P. Mills)
7:38.0,J. Hickson misses 2-pt shot from 5 ft,,79-114,,
7:37.0,,,79-114,,Defensive rebound by J. Ayres
7:22.0,,,79-114,,M. Belinelli misses 3-pt shot from 23 ft
7:21.0,Defensive rebound by J. Nurkic,,79-114,,
7:11.0,Turnover by W. Barton (bad pass; steal by J. Ayres),,79-114,,
7:07.0,,,79-114,,Shooting foul by E. Green (drawn by J. Ayres)
7:07.0,,,79-115,1,J. Ayres makes free throw 1 of 2
7:07.0,,,79-116,1,J. Ayres makes free throw 2 of 2
6:52.0,W. Barton makes 2-pt shot from 19 ft,2,81-116,,
6:41.0,,,81-116,,B. Diaw misses 3-pt shot from 26 ft
6:40.0,,,81-116,,Offensive rebound by M. Belinelli
6:33.0,,,81-118,2,C. Joseph makes 2-pt shot from 17 ft
6:20.0,E. Green misses 2-pt shot from 16 ft,,81-118,,
6:19.0,,,81-118,,Defensive rebound by M. Belinelli
6:04.0,,,81-118,,Turnover by J. Ayres (bad pass; steal by J. Nurkic)
6:01.0,,,81-118,,Personal block foul by M. Belinelli (drawn by W. Barton)
6:01.0,,,81-118,,M. Bonner enters the game for M. Belinelli
6:01.0,I. Clark enters the game for W. Barton,,81-118,,
5:51.0,G. Harris misses 2-pt shot from 16 ft,,81-118,,
5:49.0,Offensive rebound by J. Nurkic,,81-118,,
5:43.0,I. Clark makes 2-pt shot from 11 ft (assist by E. Green),2,83-118,,
5:28.0,,,83-118,,B. Diaw misses 2-pt shot from 3 ft
5:27.0,Defensive rebound by J. Hickson,,83-118,,
5:21.0,G. Harris misses 2-pt shot at rim (block by J. Ayres),,83-118,,
5:18.0,,,83-118,,Defensive rebound by B. Diaw
5:12.0,,,83-118,,C. Joseph misses 2-pt shot from 19 ft
5:11.0,Defensive rebound by J. Nurkic,,83-118,,
5:10.0,G. Harris makes 2-pt shot from 1 ft,2,85-118,,
5:10.0,Shooting foul by M. Bonner (drawn by G. Harris),,85-118,,
5:10.0,Official timeout,,85-118,,
5:10.0,W. Barton enters the game for I. Clark,,85-118,,
5:10.0,G. Harris makes free throw 1 of 1,1,86-118,,
4:53.0,,,86-118,,Turnover by P. Mills (bad pass; steal by J. Nurkic)
4:49.0,G. Harris makes 2-pt shot from 1 ft,2,88-118,,
4:29.0,,,88-118,,B. Diaw misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by J. Hickson,,88-118,,
4:20.0,Turnover by J. Hickson (bad pass),,88-118,,
4:10.0,,,88-118,,P. Mills misses 3-pt shot from 24 ft
4:09.0,,,88-118,,Offensive rebound by B. Diaw
4:00.0,,,88-118,,P. Mills misses 3-pt shot from 24 ft
4:00.0,,,88-118,,Offensive rebound by M. Bonner
3:48.0,,,88-118,,B. Diaw misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by J. Nurkic,,88-118,,
3:34.0,,,88-118,,Personal foul by J. Ayres (drawn by J. Nurkic)
3:25.0,J. Hickson misses 2-pt shot from 18 ft,,88-118,,
3:24.0,,,88-118,,Defensive rebound by J. Ayres
3:14.0,,,88-118,,J. Ayres misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by W. Barton,,88-118,,
3:10.0,Turnover by W. Barton (bad pass; steal by P. Mills),,88-118,,
2:59.0,,,88-118,,P. Mills misses 2-pt shot from 4 ft
2:58.0,,,88-118,,Offensive rebound by C. Joseph
2:55.0,,,88-118,,Turnover by C. Joseph (lost ball; steal by W. Barton)
2:49.0,E. Green misses 2-pt shot from 20 ft,,88-118,,
2:47.0,,,88-118,,Defensive rebound by C. Joseph
2:41.0,,,88-118,,Shooting foul by G. Harris (drawn by C. Joseph)
2:41.0,Denver full timeout,,88-118,,
2:41.0,,,88-118,,C. Joseph misses free throw 1 of 2
2:41.0,,,88-118,,Offensive rebound by Team
2:41.0,,,88-119,1,C. Joseph makes free throw 2 of 2
2:33.0,Turnover by G. Harris (bad pass; steal by B. Diaw),,88-119,,
2:15.0,,,88-119,,P. Mills misses 2-pt shot from 17 ft
2:14.0,Defensive rebound by J. Nurkic,,88-119,,
2:05.0,J. Nurkic makes 2-pt shot from 6 ft (assist by E. Green),2,90-119,,
1:50.0,,,90-121,2,J. Ayres makes 2-pt shot from 2 ft (assist by B. Diaw)
1:29.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Hickson),3,93-121,,
