time,Orlando,pts.away,score,pts.home,Indiana
7:35.0,,,7-11,,Turnover by L. Scola (bad pass; steal by V. Oladipo)
7:28.0,T. Harris misses 2-pt shot from 3 ft (block by L. Allen),,7-11,,
7:28.0,,,7-11,,Defensive rebound by Team
7:09.0,,,7-11,,S. Hill misses 3-pt shot from 23 ft
7:08.0,,,7-11,,Offensive rebound by L. Allen
7:01.0,,,7-11,,Shooting foul by T. Harris (drawn by S. Hill)
7:01.0,,,7-12,1,S. Hill makes free throw 1 of 2
7:01.0,,,7-13,1,S. Hill makes free throw 2 of 2
6:48.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Fournier),2,9-13,,
6:33.0,,,9-13,,Turnover by L. Scola (bad pass; steal by N. Vucevic)
6:27.0,Turnover by T. Harris (bad pass),,9-13,,
6:12.0,,,9-15,2,R. Stuckey makes 2-pt shot from 6 ft
6:00.0,V. Oladipo makes 2-pt shot from 14 ft,2,11-15,,
5:45.0,,,11-15,,D. Sloan misses 2-pt shot from 2 ft
5:44.0,,,11-15,,Offensive rebound by L. Allen
5:43.0,,,11-15,,L. Allen misses 2-pt shot from 3 ft
5:42.0,,,11-15,,Offensive rebound by D. Sloan
5:40.0,,,11-15,,S. Hill misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by V. Oladipo,,11-15,,
5:32.0,V. Oladipo makes 2-pt shot from 2 ft,2,13-15,,
5:20.0,,,13-15,,Shooting foul by T. Harris (drawn by L. Scola)
5:20.0,,,13-15,,Indiana full timeout
5:20.0,,,13-15,,L. Scola misses free throw 1 of 2
5:20.0,,,13-15,,Offensive rebound by Team
5:20.0,,,13-16,1,L. Scola makes free throw 2 of 2
5:01.0,B. Gordon enters the game for E. Fournier,,13-16,,
5:01.0,E. Payton enters the game for V. Oladipo,,13-16,,
4:57.0,N. Vucevic makes 2-pt shot from 10 ft,2,15-16,,
4:33.0,,,15-16,,S. Hill misses 2-pt shot from 2 ft
4:32.0,,,15-16,,Offensive rebound by L. Scola
4:30.0,,,15-16,,L. Scola misses 2-pt shot from 6 ft
4:28.0,,,15-16,,Offensive rebound by L. Allen
4:24.0,,,15-16,,D. Sloan misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by B. Gordon,,15-16,,
4:16.0,B. Gordon makes 3-pt shot from 25 ft,3,18-16,,
3:55.0,,,18-18,2,R. Stuckey makes 2-pt shot from 3 ft (assist by L. Allen)
3:41.0,T. Harris misses 2-pt shot from 16 ft,,18-18,,
3:40.0,,,18-18,,Defensive rebound by L. Allen
3:30.0,,,18-20,2,L. Allen makes 2-pt shot from 20 ft (assist by S. Hill)
3:13.0,N. Vucevic misses 2-pt shot from 8 ft,,18-20,,
3:12.0,,,18-20,,Defensive rebound by L. Allen
3:03.0,,,18-20,,L. Scola misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by E. Payton,,18-20,,
2:57.0,Orlando full timeout,,18-20,,
2:57.0,W. Green enters the game for C. Frye,,18-20,,
2:57.0,K. O'Quinn enters the game for N. Vucevic,,18-20,,
2:57.0,,,18-20,,C. Miles enters the game for S. Hill
2:45.0,K. O'Quinn misses 2-pt shot from 18 ft,,18-20,,
2:43.0,,,18-20,,Defensive rebound by L. Scola
2:26.0,,,18-22,2,R. Stuckey makes 2-pt shot from 21 ft
2:14.0,Turnover by B. Gordon (lost ball; steal by L. Scola),,18-22,,
2:14.0,Jump ball: B. Gordon vs. L. Scola (L. Allen gains possession),,,,Jump ball: B. Gordon vs. L. Scola (L. Allen gains possession)
2:01.0,,,18-22,,C. Miles misses 2-pt shot from 6 ft
1:58.0,Defensive rebound by K. O'Quinn,,18-22,,
1:47.0,W. Green misses 3-pt shot from 24 ft,,18-22,,
1:46.0,,,18-22,,Defensive rebound by D. Sloan
1:37.0,,,18-24,2,L. Scola makes 2-pt shot from 2 ft (assist by D. Sloan)
1:22.0,Turnover by E. Payton (bad pass; steal by L. Scola),,18-24,,
1:17.0,,,18-24,,R. Stuckey misses 2-pt shot from 2 ft
1:15.0,,,18-24,,Offensive rebound by L. Scola
1:15.0,,,18-24,,L. Scola misses 2-pt shot from 2 ft
1:14.0,Defensive rebound by T. Harris,,18-24,,
0:59.0,W. Green makes 2-pt shot from 18 ft,2,20-24,,
0:43.0,,,20-24,,D. Sloan misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by B. Gordon,,20-24,,
0:34.0,W. Green misses 3-pt shot from 25 ft,,20-24,,
0:33.0,,,20-24,,Defensive rebound by L. Allen
0:25.0,,,20-24,,Shooting foul by E. Payton (drawn by C. Miles)
0:25.0,,,20-25,1,C. Miles makes free throw 1 of 2
0:25.0,A. Nicholson enters the game for T. Harris,,20-25,,
0:25.0,,,20-25,,C. Watson enters the game for D. Sloan
0:25.0,,,20-25,,I. Mahinmi enters the game for L. Allen
0:25.0,,,20-26,1,C. Miles makes free throw 2 of 2
0:06.0,,,20-26,,C. Copeland enters the game for I. Mahinmi
0:01.0,E. Payton misses 3-pt shot from 26 ft,,20-26,,
0:00.0,,,20-26,,Defensive rebound by L. Scola
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,20-26,,C. Miles misses 3-pt shot from 26 ft
11:39.0,,,20-26,,Offensive rebound by C. Watson
11:34.0,,,20-26,,L. Scola misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by W. Green,,20-26,,
11:28.0,Shooting foul by L. Scola (drawn by K. O'Quinn),,20-26,,
11:28.0,K. O'Quinn makes free throw 1 of 2,1,21-26,,
11:28.0,,,21-26,,L. Allen enters the game for L. Scola
11:28.0,K. O'Quinn makes free throw 2 of 2,1,22-26,,
11:13.0,,,22-28,2,L. Allen makes 2-pt shot from 19 ft (assist by C. Watson)
10:56.0,Turnover by B. Gordon (bad pass; steal by C. Watson),,22-28,,
10:52.0,,,22-30,2,C. Watson makes 2-pt shot from 1 ft
10:36.0,E. Payton misses 2-pt shot from 3 ft,,22-30,,
10:36.0,,,22-30,,Defensive rebound by L. Allen
10:26.0,,,22-32,2,D. West makes 2-pt shot from 2 ft (assist by C. Copeland)
10:18.0,Orlando full timeout,,22-32,,
10:18.0,E. Fournier enters the game for W. Green,,22-32,,
10:18.0,C. Frye enters the game for A. Nicholson,,22-32,,
10:11.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by E. Payton),2,24-32,,
9:53.0,,,24-32,,D. West misses 2-pt shot from 10 ft
9:52.0,Defensive rebound by E. Payton,,24-32,,
9:45.0,B. Gordon makes 2-pt shot from 19 ft (assist by E. Payton),2,26-32,,
9:32.0,,,26-34,2,C. Watson makes 2-pt shot from 16 ft
9:20.0,B. Gordon makes 3-pt shot from 25 ft (assist by E. Fournier),3,29-34,,
8:59.0,,,29-34,,C. Miles misses 2-pt shot from 15 ft
8:58.0,Defensive rebound by C. Frye,,29-34,,
8:50.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton),3,32-34,,
8:29.0,,,32-34,,D. West misses 2-pt shot at rim (block by C. Frye)
8:27.0,,,32-34,,Offensive rebound by L. Allen
8:26.0,,,32-34,,L. Allen misses 2-pt shot from 5 ft
8:25.0,,,32-34,,Offensive rebound by D. West
8:25.0,,,32-34,,Shooting foul by K. O'Quinn (drawn by D. West)
8:25.0,,,32-34,,D. West misses free throw 1 of 2
8:25.0,,,32-34,,Offensive rebound by Team
8:25.0,N. Vucevic enters the game for K. O'Quinn,,32-34,,
8:25.0,,,32-35,1,D. West makes free throw 2 of 2
8:09.0,Turnover by B. Gordon (lost ball),,32-35,,
7:56.0,,,32-35,,L. Allen misses 2-pt shot from 18 ft
7:55.0,,,32-35,,Offensive rebound by L. Allen
7:46.0,,,32-37,2,L. Allen makes 2-pt shot at rim (assist by D. West)
7:29.0,Shooting foul by C. Miles (drawn by B. Gordon),,32-37,,
7:29.0,B. Gordon makes free throw 1 of 2,1,33-37,,
7:29.0,V. Oladipo enters the game for E. Payton,,33-37,,
7:29.0,B. Gordon makes free throw 2 of 2,1,34-37,,
7:21.0,T. Harris enters the game for B. Gordon,,34-37,,
7:19.0,,,34-39,2,D. West makes 2-pt shot from 17 ft (assist by C. Copeland)
7:00.0,Turnover by N. Vucevic (lost ball),,34-39,,
6:42.0,,,34-41,2,C. Copeland makes 2-pt shot from 7 ft
6:16.0,E. Fournier misses 2-pt shot from 20 ft,,34-41,,
6:15.0,,,34-41,,Defensive rebound by Team
6:03.0,,,34-41,,D. West misses 2-pt shot from 19 ft
6:02.0,Defensive rebound by T. Harris,,34-41,,
5:50.0,V. Oladipo misses 2-pt shot from 17 ft,,34-41,,
5:48.0,,,34-41,,Defensive rebound by L. Allen
5:38.0,,,34-43,2,D. West makes 2-pt shot from 17 ft (assist by L. Allen)
5:31.0,Orlando full timeout,,34-43,,
5:31.0,Official timeout,,34-43,,
5:25.0,E. Fournier misses 2-pt shot from 17 ft,,34-43,,
5:24.0,,,34-43,,Defensive rebound by C. Copeland
5:09.0,,,34-45,2,C. Miles makes 2-pt shot from 17 ft (assist by C. Watson)
4:56.0,Shooting foul by L. Allen (drawn by N. Vucevic),,34-45,,
4:56.0,N. Vucevic makes free throw 1 of 2,1,35-45,,
4:56.0,N. Vucevic makes free throw 2 of 2,1,36-45,,
4:42.0,Personal foul by T. Harris (drawn by C. Copeland),,36-45,,
4:42.0,E. Payton enters the game for T. Harris,,36-45,,
4:35.0,,,36-45,,L. Allen misses 2-pt shot from 17 ft
4:33.0,Defensive rebound by C. Frye,,36-45,,
4:31.0,Turnover by C. Frye (bad pass),,36-45,,
4:31.0,,,36-45,,D. Sloan enters the game for C. Watson
4:20.0,,,36-45,,D. West misses 2-pt shot from 17 ft
4:19.0,Defensive rebound by V. Oladipo,,36-45,,
4:09.0,E. Fournier makes 2-pt shot from 9 ft (assist by V. Oladipo),2,38-45,,
3:52.0,,,38-45,,D. West misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by E. Payton,,38-45,,
3:42.0,C. Frye misses 3-pt shot from 24 ft,,38-45,,
3:40.0,,,38-45,,Defensive rebound by C. Miles
3:33.0,,,38-45,,Turnover by C. Miles (bad pass; steal by C. Frye)
3:28.0,E. Fournier misses 3-pt shot from 24 ft,,38-45,,
3:27.0,,,38-45,,Defensive rebound by D. Sloan
3:20.0,Personal foul by V. Oladipo (drawn by C. Copeland),,38-45,,
3:20.0,,,38-45,,S. Hill enters the game for C. Copeland
3:20.0,,,38-45,,R. Stuckey enters the game for C. Miles
3:20.0,,,38-45,,Indiana full timeout
3:20.0,,,38-45,,I. Mahinmi enters the game for L. Allen
3:08.0,,,38-45,,Turnover by D. West (traveling)
2:55.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton),3,41-45,,
2:40.0,,,41-47,2,D. Sloan makes 2-pt shot from 9 ft
2:20.0,E. Payton misses 2-pt shot from 4 ft (block by R. Stuckey),,41-47,,
2:18.0,Offensive rebound by N. Vucevic,,41-47,,
2:17.0,N. Vucevic misses 2-pt shot from 2 ft,,41-47,,
2:16.0,Offensive rebound by N. Vucevic,,41-47,,
2:15.0,N. Vucevic makes 2-pt shot from 5 ft,2,43-47,,
1:59.0,,,43-47,,R. Stuckey misses 3-pt shot from 23 ft
1:58.0,Defensive rebound by Team,,43-47,,
1:58.0,B. Gordon enters the game for E. Fournier,,43-47,,
1:58.0,,,43-47,,L. Scola enters the game for D. West
1:43.0,N. Vucevic makes 2-pt shot from 6 ft,2,45-47,,
1:23.0,,,45-47,,R. Stuckey misses 2-pt shot from 10 ft (block by N. Vucevic)
1:21.0,Defensive rebound by N. Vucevic,,45-47,,
1:13.0,Turnover by N. Vucevic (traveling),,45-47,,
1:02.0,,,45-47,,D. Sloan misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by C. Frye,,45-47,,
0:52.0,Turnover by E. Payton (lost ball),,45-47,,
0:38.0,,,45-47,,L. Scola misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by C. Frye,,45-47,,
0:33.0,N. Vucevic misses 2-pt shot from 2 ft,,45-47,,
0:31.0,,,45-47,,Defensive rebound by Team
0:31.0,,,45-47,,C. Copeland enters the game for I. Mahinmi
0:31.0,E. Fournier enters the game for C. Frye,,45-47,,
0:17.0,Personal foul by V. Oladipo (drawn by S. Hill),,45-47,,
0:17.0,,,45-47,,Indiana full timeout
0:17.0,,,45-47,,D. West enters the game for L. Scola
0:02.0,,,45-47,,C. Copeland misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by E. Payton,,45-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,45-49,2,S. Hill makes 2-pt shot from 2 ft
11:24.0,Offensive foul by C. Frye,,45-49,,
11:24.0,Turnover by C. Frye (offensive foul),,45-49,,
11:11.0,Personal foul by C. Frye (drawn by D. West),,45-49,,
10:57.0,,,45-52,3,D. West makes 3-pt shot from 25 ft (assist by D. Sloan)
10:40.0,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris),3,48-52,,
10:20.0,,,48-54,2,S. Hill makes 2-pt shot from 18 ft (assist by D. West)
10:06.0,Turnover by C. Frye (lost ball; steal by D. West),,48-54,,
9:57.0,,,48-54,,Turnover by R. Stuckey (bad pass; steal by V. Oladipo)
9:54.0,V. Oladipo makes 2-pt shot from 1 ft,2,50-54,,
9:39.0,,,50-54,,Shooting foul by C. Frye (drawn by R. Stuckey)
9:39.0,,,50-55,1,R. Stuckey makes free throw 1 of 2
9:39.0,,,50-56,1,R. Stuckey makes free throw 2 of 2
9:30.0,Offensive foul by T. Harris,,50-56,,
9:30.0,Turnover by T. Harris (offensive foul),,50-56,,
9:30.0,E. Payton enters the game for T. Harris,,50-56,,
9:15.0,,,50-58,2,I. Mahinmi makes 2-pt shot at rim (assist by D. Sloan)
8:59.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,52-58,,
8:38.0,,,52-58,,D. Sloan misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by N. Vucevic,,52-58,,
8:20.0,C. Frye misses 3-pt shot from 26 ft,,52-58,,
8:18.0,,,52-58,,Defensive rebound by D. Sloan
8:16.0,,,52-60,2,D. West makes 2-pt shot from 1 ft (assist by D. Sloan)
8:04.0,E. Fournier misses 3-pt shot from 24 ft,,52-60,,
8:03.0,,,52-60,,Defensive rebound by D. West
7:49.0,,,52-60,,Turnover by R. Stuckey (bad pass; steal by E. Fournier)
7:28.0,E. Fournier misses 3-pt shot from 24 ft,,52-60,,
7:27.0,,,52-60,,Defensive rebound by D. Sloan
7:07.0,,,52-60,,D. West misses 2-pt shot from 17 ft
7:07.0,Defensive rebound by Team,,52-60,,
6:45.0,E. Payton makes 2-pt shot from 5 ft,2,54-60,,
6:37.0,,,54-60,,Indiana full timeout
6:24.0,,,54-60,,Turnover by R. Stuckey (lost ball; steal by E. Payton)
6:01.0,V. Oladipo misses 2-pt shot from 15 ft,,54-60,,
5:59.0,,,54-60,,Defensive rebound by R. Stuckey
5:59.0,Jump ball: E. Payton vs. R. Stuckey (I. Mahinmi gains possession),,,,Jump ball: E. Payton vs. R. Stuckey (I. Mahinmi gains possession)
5:44.0,,,54-60,,D. West misses 2-pt shot from 13 ft
5:43.0,,,54-60,,Offensive rebound by I. Mahinmi
5:43.0,,,54-60,,I. Mahinmi misses 2-pt shot from 2 ft
5:42.0,Defensive rebound by N. Vucevic,,54-60,,
5:29.0,Turnover by E. Payton (bad pass; steal by S. Hill),,54-60,,
5:25.0,,,54-62,2,R. Stuckey makes 2-pt shot from 1 ft (assist by S. Hill)
5:07.0,Shooting foul by R. Stuckey (drawn by V. Oladipo),,54-62,,
5:07.0,V. Oladipo makes free throw 1 of 2,1,55-62,,
5:07.0,V. Oladipo misses free throw 2 of 2,,55-62,,
5:07.0,,,55-62,,Defensive rebound by D. Sloan
4:54.0,,,55-64,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by D. Sloan)
4:43.0,Turnover by E. Fournier (traveling),,55-64,,
4:43.0,B. Gordon enters the game for V. Oladipo,,55-64,,
4:19.0,,,55-64,,D. West misses 2-pt shot from 14 ft
4:18.0,,,55-64,,Offensive rebound by S. Hill
4:16.0,,,55-64,,S. Hill misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by C. Frye,,55-64,,
4:05.0,N. Vucevic misses 2-pt shot from 4 ft,,55-64,,
4:05.0,,,55-64,,Defensive rebound by I. Mahinmi
3:48.0,,,55-66,2,D. Sloan makes 2-pt shot from 9 ft
3:48.0,Orlando full timeout,,55-66,,
3:48.0,,,55-66,,L. Scola enters the game for D. West
3:48.0,,,55-66,,C. Miles enters the game for R. Stuckey
3:48.0,W. Green enters the game for N. Vucevic,,55-66,,
3:48.0,K. O'Quinn enters the game for E. Fournier,,55-66,,
3:39.0,,,55-66,,Personal foul by D. Sloan (drawn by K. O'Quinn)
3:34.0,C. Frye misses 3-pt shot from 25 ft,,55-66,,
3:32.0,,,55-66,,Defensive rebound by D. Sloan
3:07.0,,,55-66,,Turnover by Team (shot clock)
2:46.0,B. Gordon misses 2-pt shot from 4 ft,,55-66,,
2:45.0,,,55-66,,Defensive rebound by D. Sloan
2:44.0,Personal foul by E. Payton (drawn by D. Sloan),,55-66,,
2:44.0,T. Harris enters the game for C. Frye,,55-66,,
2:31.0,,,55-66,,I. Mahinmi misses 2-pt shot from 2 ft (block by K. O'Quinn)
2:29.0,Defensive rebound by K. O'Quinn,,55-66,,
2:29.0,,,55-66,,Personal block foul by L. Scola (drawn by K. O'Quinn)
2:21.0,T. Harris makes 2-pt shot from 16 ft (assist by B. Gordon),2,57-66,,
2:00.0,,,57-66,,C. Miles misses 2-pt shot from 18 ft
1:59.0,,,57-66,,Offensive rebound by Team
1:59.0,,,57-66,,C. Watson enters the game for D. Sloan
1:59.0,,,57-66,,L. Allen enters the game for I. Mahinmi
1:39.0,,,57-69,3,C. Watson makes 3-pt shot from 25 ft (assist by S. Hill)
1:26.0,Turnover by B. Gordon (step out of bounds),,57-69,,
1:13.0,,,57-69,,C. Miles misses 2-pt shot from 7 ft
1:13.0,Defensive rebound by Team,,57-69,,
1:13.0,,,57-69,,Loose ball foul by S. Hill (drawn by T. Harris)
0:59.0,Turnover by W. Green (bad pass),,57-69,,
0:39.0,,,57-72,3,S. Hill makes 3-pt shot from 22 ft (assist by C. Watson)
0:23.0,K. O'Quinn makes 2-pt shot from 20 ft (assist by E. Payton),2,59-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,59-72,,Personal foul by C. Miles (drawn by B. Gordon)
11:37.0,B. Gordon makes 2-pt shot from 19 ft,2,61-72,,
11:19.0,,,61-72,,C. Miles misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by W. Green,,61-72,,
11:06.0,K. O'Quinn makes 2-pt shot from 5 ft,2,63-72,,
11:06.0,Shooting foul by L. Scola (drawn by K. O'Quinn),,63-72,,
11:06.0,K. O'Quinn makes free throw 1 of 1,1,64-72,,
10:51.0,,,64-72,,L. Allen misses 2-pt shot from 19 ft
10:49.0,,,64-72,,Offensive rebound by Team
10:37.0,,,64-74,2,L. Allen makes 2-pt shot from 7 ft (assist by C. Watson)
10:26.0,,,64-74,,Personal foul by L. Scola (drawn by W. Green)
10:17.0,T. Harris misses 3-pt shot from 25 ft,,64-74,,
10:16.0,,,64-74,,Defensive rebound by C. Miles
10:12.0,,,64-74,,Turnover by C. Watson (discontinued dribble)
9:58.0,B. Gordon misses 3-pt shot from 25 ft,,64-74,,
9:57.0,,,64-74,,Defensive rebound by L. Allen
9:40.0,,,64-77,3,C. Copeland makes 3-pt shot from 24 ft (assist by L. Scola)
9:21.0,T. Harris misses 2-pt shot from 11 ft (block by C. Copeland),,64-77,,
9:19.0,,,64-77,,Defensive rebound by C. Copeland
9:17.0,Personal take foul by W. Green (drawn by C. Watson),,64-77,,
9:17.0,E. Fournier enters the game for E. Payton,,64-77,,
9:17.0,V. Oladipo enters the game for B. Gordon,,64-77,,
9:17.0,N. Vucevic enters the game for K. O'Quinn,,64-77,,
9:07.0,,,64-79,2,L. Allen makes 2-pt shot from 11 ft (assist by L. Scola)
8:44.0,W. Green misses 2-pt shot from 10 ft,,64-79,,
8:43.0,,,64-79,,Defensive rebound by L. Scola
8:35.0,,,64-79,,C. Copeland misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by N. Vucevic,,64-79,,
8:26.0,W. Green misses 2-pt shot from 10 ft,,64-79,,
8:25.0,,,64-79,,Defensive rebound by L. Allen
8:09.0,,,64-79,,C. Miles misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by V. Oladipo,,64-79,,
7:52.0,N. Vucevic misses 2-pt shot from 7 ft,,64-79,,
7:51.0,,,64-79,,Defensive rebound by L. Scola
7:37.0,,,64-81,2,C. Watson makes 2-pt shot from 20 ft
7:36.0,Orlando full timeout,,64-81,,
7:36.0,C. Frye enters the game for W. Green,,64-81,,
7:15.0,T. Harris makes 2-pt shot from 2 ft,2,66-81,,
7:00.0,,,66-81,,Turnover by L. Allen (bad pass; steal by T. Harris)
6:57.0,T. Harris makes 2-pt shot from 1 ft,2,68-81,,
6:40.0,,,68-81,,L. Scola misses 2-pt shot from 1 ft (block by N. Vucevic)
6:39.0,Defensive rebound by E. Fournier,,68-81,,
6:31.0,E. Fournier misses 2-pt shot from 11 ft,,68-81,,
6:28.0,,,68-81,,Defensive rebound by C. Miles
6:10.0,,,68-81,,C. Copeland misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by V. Oladipo,,68-81,,
5:57.0,Shooting foul by C. Miles (drawn by V. Oladipo),,68-81,,
5:57.0,Official timeout,,68-81,,
5:57.0,,,68-81,,R. Stuckey enters the game for L. Scola
5:57.0,,,68-81,,S. Hill enters the game for C. Miles
5:57.0,,,68-81,,D. West enters the game for C. Copeland
5:57.0,V. Oladipo makes free throw 1 of 2,1,69-81,,
5:57.0,V. Oladipo makes free throw 2 of 2,1,70-81,,
5:43.0,,,70-83,2,R. Stuckey makes 2-pt shot from 3 ft (assist by D. West)
5:43.0,,,70-83,,Shooting foul by E. Fournier (drawn by R. Stuckey)
5:43.0,,,70-84,1,R. Stuckey makes free throw 1 of 1
5:33.0,E. Fournier misses 2-pt shot from 9 ft,,70-84,,
5:31.0,,,70-84,,Defensive rebound by L. Allen
5:09.0,,,70-84,,S. Hill misses 2-pt shot from 13 ft
5:08.0,Defensive rebound by T. Harris,,70-84,,
4:59.0,T. Harris misses 2-pt shot from 3 ft,,70-84,,
4:58.0,,,70-84,,Defensive rebound by D. West
4:40.0,,,70-86,2,R. Stuckey makes 2-pt shot from 17 ft
4:15.0,V. Oladipo makes 2-pt shot at rim,2,72-86,,
3:53.0,,,72-88,2,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West)
3:39.0,,,72-88,,Personal foul by S. Hill (drawn by T. Harris)
3:39.0,T. Harris makes free throw 1 of 2,1,73-88,,
3:39.0,,,73-88,,D. Sloan enters the game for C. Watson
3:39.0,T. Harris makes free throw 2 of 2,1,74-88,,
3:24.0,,,74-88,,Shooting foul by V. Oladipo (drawn by R. Stuckey)
3:24.0,,,74-89,1,R. Stuckey makes free throw 1 of 2
3:24.0,,,74-90,1,R. Stuckey makes free throw 2 of 2
3:09.0,T. Harris makes 2-pt shot from 14 ft (assist by C. Frye),2,76-90,,
2:53.0,,,76-90,,R. Stuckey misses 2-pt shot from 18 ft
2:52.0,,,76-90,,Offensive rebound by L. Allen
2:47.0,,,76-92,2,D. West makes 2-pt shot from 17 ft (assist by R. Stuckey)
2:30.0,Turnover by V. Oladipo (bad pass; steal by L. Allen),,76-92,,
2:27.0,Personal take foul by C. Frye (drawn by D. West),,76-92,,
2:27.0,,,76-92,,Indiana full timeout
2:27.0,,,76-92,,S. Whittington enters the game for D. West
2:27.0,,,76-92,,I. Mahinmi enters the game for L. Allen
2:18.0,,,76-94,2,R. Stuckey makes 2-pt shot at rim (assist by D. Sloan)
1:53.0,V. Oladipo makes 3-pt shot from 26 ft (assist by C. Frye),3,79-94,,
1:32.0,,,79-94,,R. Stuckey misses 2-pt shot from 19 ft
1:32.0,,,79-94,,Offensive rebound by I. Mahinmi
1:32.0,,,79-96,2,I. Mahinmi makes 2-pt shot from 1 ft
