time,Miami,pts.away,score,pts.home,New Orleans
7:21.0,,,7-11,,Personal foul by T. Evans (drawn by U. Haslem)
7:14.0,G. Dragic makes 2-pt shot from 1 ft,2,9-11,,
6:58.0,,,9-13,2,E. Gordon makes 2-pt shot from 2 ft (assist by T. Evans)
6:44.0,G. Dragic makes 2-pt shot from 2 ft,2,11-13,,
6:28.0,Violation by U. Haslem (kicked ball),,11-13,,
6:20.0,,,11-13,,T. Evans misses 2-pt shot from 18 ft
6:19.0,Defensive rebound by L. Deng,,11-13,,
6:14.0,G. Dragic makes 2-pt shot from 3 ft (assist by D. Wade),2,13-13,,
6:04.0,,,13-15,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
6:04.0,,,13-15,,Shooting foul by D. Wade (drawn by O. Asik)
6:04.0,,,13-16,1,O. Asik makes free throw 1 of 1
5:53.0,,,13-16,,New Orleans full timeout
5:53.0,H. Walker enters the game for U. Haslem,,13-16,,
5:49.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,15-16,,
5:26.0,,,15-16,,E. Gordon misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by D. Wade,,15-16,,
5:20.0,G. Dragic makes 2-pt shot from 2 ft (assist by D. Wade),2,17-16,,
4:59.0,,,17-18,2,Q. Pondexter makes 2-pt shot from 12 ft
4:44.0,G. Dragic misses 2-pt shot from 19 ft,,17-18,,
4:43.0,,,17-18,,Defensive rebound by O. Asik
4:34.0,,,17-18,,Shooting foul by D. Wade (drawn by Q. Pondexter)
4:34.0,,,17-19,1,Q. Pondexter makes free throw 1 of 2
4:34.0,M. Chalmers enters the game for D. Wade,,17-19,,
4:34.0,,,17-20,1,Q. Pondexter makes free throw 2 of 2
4:22.0,H. Whiteside misses 2-pt shot from 11 ft,,17-20,,
4:21.0,,,17-20,,Defensive rebound by O. Asik
4:15.0,,,17-22,2,T. Evans makes 2-pt shot from 2 ft
4:15.0,Miami full timeout,,17-22,,
4:02.0,L. Deng makes 2-pt shot from 12 ft (assist by G. Dragic),2,19-22,,
3:39.0,,,19-22,,E. Gordon misses 2-pt shot from 18 ft
3:38.0,Defensive rebound by H. Walker,,19-22,,
3:19.0,M. Chalmers misses 2-pt shot from 7 ft,,19-22,,
3:18.0,,,19-22,,Defensive rebound by D. Cunningham
3:11.0,Violation by H. Whiteside (kicked ball),,19-22,,
3:11.0,,,19-22,,L. Babbitt enters the game for D. Cunningham
3:11.0,,,19-22,,N. Cole enters the game for T. Evans
2:59.0,,,19-22,,E. Gordon misses 2-pt shot from 19 ft
2:58.0,Defensive rebound by H. Walker,,19-22,,
2:50.0,,,19-22,,Personal foul by E. Gordon (drawn by L. Deng)
2:39.0,L. Deng misses 3-pt shot from 26 ft,,19-22,,
2:38.0,,,19-22,,Defensive rebound by O. Asik
2:30.0,,,19-22,,O. Asik misses 2-pt shot from 1 ft (block by H. Whiteside)
2:29.0,Defensive rebound by G. Dragic,,19-22,,
2:25.0,G. Dragic makes 2-pt shot from 1 ft,2,21-22,,
2:06.0,,,21-22,,N. Cole misses 2-pt shot from 2 ft
2:06.0,Defensive rebound by Team,,21-22,,
2:06.0,M. Beasley enters the game for L. Deng,,21-22,,
2:03.0,Jump ball: O. Asik vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: O. Asik vs. H. Whiteside (G. Dragic gains possession)
1:52.0,M. Beasley makes 2-pt shot from 21 ft (assist by G. Dragic),2,23-22,,
1:35.0,,,23-24,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by E. Gordon)
1:21.0,,,23-24,,Personal foul by N. Cole (drawn by G. Dragic)
1:21.0,,,23-24,,A. Ajinca enters the game for O. Asik
1:10.0,Turnover by M. Chalmers (bad pass; steal by L. Babbitt),,23-24,,
1:05.0,,,23-24,,Turnover by N. Cole (bad pass)
0:54.0,G. Dragic makes 2-pt shot from 3 ft (assist by H. Walker),2,25-24,,
0:43.0,,,25-24,,N. Cole misses 2-pt shot from 20 ft
0:43.0,Defensive rebound by H. Whiteside,,25-24,,
0:29.0,M. Beasley misses 2-pt shot from 2 ft (block by A. Ajinca),,25-24,,
0:27.0,,,25-24,,Defensive rebound by A. Ajinca
0:26.0,,,25-24,,Turnover by A. Ajinca (lost ball)
0:05.0,M. Beasley misses 2-pt shot from 12 ft,,25-24,,
0:03.0,,,25-24,,Defensive rebound by Q. Pondexter
0:00.0,,,25-24,,Q. Pondexter misses 3-pt shot from 36 ft
0:00.0,,,25-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,H. Walker makes 2-pt shot at rim,2,27-24,,
11:20.0,,,27-26,2,A. Ajinca makes 2-pt shot from 14 ft
11:01.0,M. Beasley misses 2-pt shot from 3 ft,,27-26,,
11:00.0,,,27-26,,Defensive rebound by D. Cunningham
10:58.0,Personal foul by S. Napier (drawn by T. Evans),,27-26,,
10:43.0,,,27-26,,D. Cunningham misses 2-pt shot from 11 ft
10:42.0,Defensive rebound by C. Andersen,,27-26,,
10:33.0,M. Chalmers misses 2-pt shot from 3 ft,,27-26,,
10:32.0,,,27-26,,Defensive rebound by A. Ajinca
10:17.0,,,27-28,2,A. Ajinca makes 2-pt shot from 12 ft (assist by L. Babbitt)
10:17.0,,,27-28,,Shooting foul by C. Andersen (drawn by A. Ajinca)
10:17.0,,,27-28,,A. Ajinca misses free throw 1 of 1
10:16.0,Defensive rebound by M. Beasley,,27-28,,
10:01.0,H. Walker makes 3-pt shot from 26 ft (assist by M. Beasley),3,30-28,,
9:42.0,,,30-30,2,A. Ajinca makes 2-pt shot from 14 ft (assist by T. Evans)
9:26.0,M. Beasley makes 2-pt shot from 20 ft,2,32-30,,
9:09.0,,,32-32,2,T. Evans makes 2-pt shot from 3 ft
8:49.0,M. Beasley makes 3-pt shot from 23 ft (assist by S. Napier),3,35-32,,
8:31.0,Personal foul by H. Walker (drawn by N. Cole),,35-32,,
8:31.0,Official timeout,,35-32,,
8:20.0,,,35-35,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Cunningham)
8:02.0,H. Walker misses 2-pt shot from 13 ft (block by A. Ajinca),,35-35,,
8:01.0,,,35-35,,Defensive rebound by T. Evans
7:58.0,,,35-35,,Offensive foul by T. Evans
7:58.0,,,35-35,,Turnover by T. Evans (offensive foul)
7:44.0,H. Walker misses 3-pt shot from 25 ft,,35-35,,
7:43.0,Offensive rebound by S. Napier,,35-35,,
7:37.0,M. Chalmers misses 3-pt shot from 25 ft,,35-35,,
7:36.0,,,35-35,,Defensive rebound by D. Cunningham
7:21.0,,,35-37,2,L. Babbitt makes 2-pt shot from 8 ft
7:19.0,Miami full timeout,,35-37,,
7:19.0,,,35-37,,E. Gordon enters the game for T. Evans
7:19.0,G. Dragic enters the game for M. Beasley,,35-37,,
7:19.0,L. Deng enters the game for S. Napier,,35-37,,
6:57.0,H. Walker makes 3-pt shot from 26 ft (assist by L. Deng),3,38-37,,
6:42.0,,,38-39,2,A. Ajinca makes 2-pt shot from 1 ft (assist by N. Cole)
6:30.0,Shooting foul by A. Ajinca (drawn by L. Deng),,38-39,,
6:30.0,L. Deng makes free throw 1 of 2,1,39-39,,
6:30.0,D. Wade enters the game for M. Chalmers,,39-39,,
6:30.0,,,39-39,,Q. Pondexter enters the game for D. Cunningham
6:30.0,L. Deng makes free throw 2 of 2,1,40-39,,
6:06.0,,,40-39,,N. Cole misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by H. Walker,,40-39,,
5:50.0,,,40-39,,Personal foul by N. Cole (drawn by G. Dragic)
5:38.0,D. Wade makes 2-pt shot from 16 ft,2,42-39,,
5:19.0,,,42-39,,N. Cole misses 3-pt shot from 25 ft
5:18.0,,,42-39,,Offensive rebound by A. Ajinca
5:04.0,Personal foul by L. Deng (drawn by Q. Pondexter),,42-39,,
4:54.0,,,42-39,,N. Cole misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by C. Andersen,,42-39,,
4:40.0,Shooting foul by E. Gordon (drawn by L. Deng),,42-39,,
4:40.0,L. Deng makes free throw 1 of 2,1,43-39,,
4:40.0,,,43-39,,O. Asik enters the game for A. Ajinca
4:40.0,H. Whiteside enters the game for C. Andersen,,43-39,,
4:40.0,L. Deng makes free throw 2 of 2,1,44-39,,
4:27.0,,,44-39,,E. Gordon misses 2-pt shot from 20 ft
4:26.0,Defensive rebound by H. Whiteside,,44-39,,
4:13.0,L. Deng makes 2-pt shot from 2 ft,2,46-39,,
4:13.0,,,46-39,,New Orleans full timeout
4:13.0,,,46-39,,T. Evans enters the game for L. Babbitt
4:13.0,,,46-39,,D. Cunningham enters the game for N. Cole
4:00.0,,,46-41,2,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Evans)
3:43.0,D. Wade misses 2-pt shot from 20 ft,,46-41,,
3:42.0,,,46-41,,Defensive rebound by D. Cunningham
3:34.0,,,46-43,2,T. Evans makes 2-pt shot from 1 ft (assist by E. Gordon)
3:18.0,H. Walker misses 3-pt shot from 25 ft,,46-43,,
3:17.0,,,46-43,,Defensive rebound by E. Gordon
3:10.0,,,46-45,2,T. Evans makes 2-pt shot from 3 ft (assist by E. Gordon)
2:55.0,D. Wade makes 2-pt shot from 10 ft,2,48-45,,
2:34.0,,,48-45,,D. Cunningham misses 2-pt shot from 1 ft (block by H. Whiteside)
2:32.0,Defensive rebound by D. Wade,,48-45,,
2:27.0,G. Dragic makes 2-pt shot at rim,2,50-45,,
2:10.0,,,50-48,3,T. Evans makes 3-pt shot from 25 ft (assist by E. Gordon)
1:56.0,Turnover by D. Wade (lost ball),,50-48,,
1:41.0,,,50-50,2,D. Cunningham makes 2-pt shot from 6 ft (assist by E. Gordon)
1:20.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,52-50,,
1:05.0,,,52-50,,T. Evans misses 2-pt shot from 2 ft
1:04.0,,,52-50,,Offensive rebound by O. Asik
1:03.0,,,52-52,2,O. Asik makes 2-pt shot from 1 ft
1:02.0,,,52-52,,Violation by Team (delay of game)
0:49.0,Shooting foul by D. Cunningham (drawn by H. Walker),,52-52,,
0:49.0,H. Walker misses free throw 1 of 2,,52-52,,
0:49.0,Offensive rebound by Team,,52-52,,
0:49.0,M. Chalmers enters the game for D. Wade,,52-52,,
0:49.0,H. Walker misses free throw 2 of 2,,52-52,,
0:49.0,,,52-52,,Defensive rebound by O. Asik
0:38.0,,,52-54,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Evans)
0:25.0,L. Deng makes 2-pt shot from 7 ft,2,54-54,,
0:04.0,,,54-54,,Turnover by T. Evans (lost ball)
0:04.0,Miami full timeout,,54-54,,
0:04.0,,,54-54,,N. Cole enters the game for T. Evans
0:04.0,D. Wade enters the game for H. Walker,,54-54,,
0:03.0,,,54-54,,J. Fredette enters the game for E. Gordon
0:00.0,D. Wade misses 3-pt shot from 30 ft,,54-54,,
0:00.0,Offensive rebound by Team,,54-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Wade misses 2-pt shot from 18 ft,,54-54,,
11:39.0,,,54-54,,Defensive rebound by D. Cunningham
11:24.0,,,54-56,2,Q. Pondexter makes 2-pt shot from 8 ft (assist by T. Evans)
10:54.0,D. Wade misses 3-pt shot from 25 ft,,54-56,,
10:53.0,Offensive rebound by U. Haslem,,54-56,,
10:51.0,U. Haslem makes 2-pt shot from 1 ft,2,56-56,,
10:29.0,,,56-56,,E. Gordon misses 2-pt shot from 19 ft
10:28.0,Defensive rebound by H. Whiteside,,56-56,,
10:12.0,Turnover by D. Wade (bad pass; steal by D. Cunningham),,56-56,,
10:08.0,,,56-56,,Shooting foul by G. Dragic (drawn by E. Gordon)
10:08.0,,,56-57,1,E. Gordon makes free throw 1 of 2
10:08.0,,,56-58,1,E. Gordon makes free throw 2 of 2
9:47.0,H. Whiteside makes 2-pt shot from 13 ft (assist by L. Deng),2,58-58,,
9:28.0,,,58-60,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by D. Cunningham)
9:06.0,D. Wade misses 2-pt shot from 20 ft,,58-60,,
9:05.0,,,58-60,,Defensive rebound by D. Cunningham
8:58.0,,,58-60,,T. Evans misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by L. Deng,,58-60,,
8:57.0,,,58-60,,Personal foul by Q. Pondexter (drawn by L. Deng)
8:42.0,H. Whiteside makes 2-pt shot from 1 ft (assist by U. Haslem),2,60-60,,
8:26.0,,,60-60,,D. Cunningham misses 2-pt shot from 5 ft (block by H. Whiteside)
8:25.0,Defensive rebound by G. Dragic,,60-60,,
8:22.0,Shooting foul by Q. Pondexter (drawn by G. Dragic),,60-60,,
8:22.0,G. Dragic makes free throw 1 of 2,1,61-60,,
8:22.0,G. Dragic makes free throw 2 of 2,1,62-60,,
8:07.0,,,62-63,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
7:54.0,,,62-63,,Personal foul by T. Evans (drawn by D. Wade)
7:45.0,L. Deng misses 3-pt shot from 23 ft,,62-63,,
7:44.0,Offensive rebound by H. Whiteside,,62-63,,
7:40.0,H. Whiteside makes 2-pt shot from 5 ft,2,64-63,,
7:22.0,Personal block foul by D. Wade (drawn by O. Asik),,64-63,,
7:09.0,,,64-63,,Q. Pondexter misses 2-pt shot from 9 ft
7:09.0,,,64-63,,Offensive rebound by Team
7:09.0,Loose ball foul by G. Dragic (drawn by O. Asik),,64-63,,
6:56.0,,,64-63,,Q. Pondexter misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by H. Whiteside,,64-63,,
6:42.0,Turnover by G. Dragic (lost ball; steal by O. Asik),,64-63,,
6:38.0,,,64-63,,T. Evans misses 2-pt shot from 1 ft (block by U. Haslem)
6:37.0,,,64-63,,Offensive rebound by Q. Pondexter
6:35.0,,,64-65,2,Q. Pondexter makes 2-pt shot at rim
6:17.0,,,64-65,,Personal foul by Q. Pondexter (drawn by D. Wade)
6:05.0,L. Deng makes 2-pt shot from 10 ft,2,66-65,,
5:38.0,,,66-65,,T. Evans misses 3-pt shot from 29 ft
5:38.0,,,66-65,,Offensive rebound by Team
5:38.0,,,66-65,,Turnover by Team (shot clock)
5:38.0,,,66-65,,New Orleans full timeout
5:25.0,D. Wade makes 2-pt shot from 14 ft,2,68-65,,
5:06.0,,,68-65,,E. Gordon misses 2-pt shot from 11 ft
5:05.0,Defensive rebound by D. Wade,,68-65,,
4:55.0,D. Wade makes 2-pt shot from 3 ft,2,70-65,,
4:30.0,,,70-65,,Turnover by T. Evans (bad pass; steal by L. Deng)
4:13.0,U. Haslem misses 2-pt shot from 18 ft,,70-65,,
4:12.0,,,70-65,,Defensive rebound by O. Asik
4:00.0,,,70-67,2,Q. Pondexter makes 2-pt shot from 6 ft
3:37.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,72-67,,
3:20.0,,,72-67,,Q. Pondexter misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by U. Haslem,,72-67,,
3:03.0,Shooting foul by E. Gordon (drawn by L. Deng),,72-67,,
3:03.0,L. Deng makes free throw 1 of 2,1,73-67,,
3:03.0,,,73-67,,A. Ajinca enters the game for O. Asik
3:03.0,,,73-67,,N. Cole enters the game for E. Gordon
3:03.0,H. Walker enters the game for U. Haslem,,73-67,,
3:03.0,M. Chalmers enters the game for D. Wade,,73-67,,
3:03.0,L. Deng makes free throw 2 of 2,1,74-67,,
2:44.0,Miami full timeout,,74-67,,
2:40.0,,,74-67,,N. Cole misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by H. Whiteside,,74-67,,
2:23.0,G. Dragic misses 2-pt shot from 14 ft,,74-67,,
2:23.0,,,74-67,,Defensive rebound by Team
2:23.0,Loose ball foul by L. Deng (drawn by Q. Pondexter),,74-67,,
2:23.0,,,74-67,,L. Babbitt enters the game for D. Cunningham
2:14.0,,,74-67,,Shooting foul by G. Dragic (drawn by N. Cole)
2:14.0,,,74-67,,N. Cole misses free throw 1 of 2
2:14.0,,,74-67,,Offensive rebound by Team
2:14.0,,,74-67,,J. Fredette enters the game for T. Evans
2:14.0,,,74-68,1,N. Cole makes free throw 2 of 2
1:59.0,Shooting foul by Q. Pondexter (drawn by L. Deng),,74-68,,
1:59.0,L. Deng makes free throw 1 of 2,1,75-68,,
1:59.0,C. Andersen enters the game for H. Whiteside,,75-68,,
1:59.0,,,75-68,,D. Cunningham enters the game for Q. Pondexter
1:59.0,L. Deng misses free throw 2 of 2,,75-68,,
1:58.0,,,75-68,,Defensive rebound by A. Ajinca
1:47.0,,,75-68,,A. Ajinca misses 2-pt shot from 2 ft
1:46.0,,,75-68,,Offensive rebound by A. Ajinca
1:45.0,,,75-70,2,A. Ajinca makes 2-pt shot from 2 ft
1:33.0,C. Andersen misses 2-pt shot from 1 ft,,75-70,,
1:32.0,Offensive rebound by C. Andersen,,75-70,,
1:30.0,C. Andersen makes 2-pt shot at rim,2,77-70,,
1:18.0,,,77-70,,Turnover by N. Cole (lost ball; steal by G. Dragic)
1:13.0,G. Dragic makes 2-pt shot from 2 ft,2,79-70,,
0:54.0,,,79-72,2,D. Cunningham makes 2-pt shot from 18 ft (assist by N. Cole)
0:40.0,H. Walker makes 3-pt shot from 26 ft (assist by G. Dragic),3,82-72,,
0:35.0,,,82-72,,Shooting foul by H. Walker (drawn by D. Cunningham)
0:35.0,,,82-72,,D. Cunningham misses free throw 1 of 2
0:35.0,,,82-72,,Offensive rebound by Team
0:35.0,S. Napier enters the game for G. Dragic,,82-72,,
0:35.0,,,82-73,1,D. Cunningham makes free throw 2 of 2
0:24.0,L. Deng misses 2-pt shot from 13 ft,,82-73,,
0:23.0,,,82-73,,Defensive rebound by D. Cunningham
0:04.0,,,82-73,,N. Cole misses 2-pt shot from 9 ft
0:02.0,Defensive rebound by C. Andersen,,82-73,,
0:00.0,C. Andersen misses 3-pt shot from 67 ft,,82-73,,
0:00.0,Offensive rebound by Team,,82-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,82-75,2,A. Ajinca makes 2-pt shot at rim (assist by N. Cole)
11:49.0,,,82-75,,Shooting foul by M. Chalmers (drawn by A. Ajinca)
11:49.0,,,82-76,1,A. Ajinca makes free throw 1 of 1
11:25.0,L. Deng misses 2-pt shot from 18 ft,,82-76,,
11:23.0,,,82-76,,Defensive rebound by D. Cunningham
11:03.0,Personal foul by M. Chalmers (drawn by J. Fredette),,82-76,,
10:53.0,,,82-76,,D. Cunningham misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by S. Napier,,82-76,,
10:42.0,H. Walker misses 3-pt shot from 27 ft,,82-76,,
10:41.0,,,82-76,,Defensive rebound by Team
10:41.0,Loose ball foul by S. Napier (drawn by N. Cole),,82-76,,
10:25.0,,,82-78,2,A. Ajinca makes 2-pt shot from 3 ft (assist by N. Cole)
10:05.0,C. Andersen misses 2-pt shot from 20 ft,,82-78,,
10:04.0,,,82-78,,Defensive rebound by N. Cole
9:53.0,,,82-78,,Shooting foul by C. Andersen (drawn by D. Cunningham)
9:53.0,,,82-78,,D. Cunningham misses free throw 1 of 2
9:53.0,,,82-78,,Offensive rebound by Team
9:53.0,,,82-79,1,D. Cunningham makes free throw 2 of 2
9:51.0,Miami full timeout,,82-79,,
9:36.0,M. Chalmers makes 3-pt shot from 25 ft (assist by S. Napier),3,85-79,,
9:26.0,Personal foul by C. Andersen (drawn by A. Ajinca),,85-79,,
9:26.0,,,85-79,,A. Ajinca misses free throw 1 of 2
9:26.0,,,85-79,,Offensive rebound by Team
9:26.0,,,85-80,1,A. Ajinca makes free throw 2 of 2
9:12.0,,,85-80,,Personal foul by N. Cole (drawn by M. Chalmers)
8:57.0,H. Walker misses 3-pt shot from 28 ft,,85-80,,
8:56.0,,,85-80,,Defensive rebound by D. Cunningham
8:41.0,,,85-80,,J. Fredette misses 2-pt shot from 9 ft
8:40.0,,,85-80,,Offensive rebound by D. Cunningham
8:39.0,Personal foul by L. Deng (drawn by D. Cunningham),,85-80,,
8:39.0,,,85-81,1,D. Cunningham makes free throw 1 of 2
8:39.0,G. Dragic enters the game for S. Napier,,85-81,,
8:39.0,M. Beasley enters the game for L. Deng,,85-81,,
8:39.0,,,85-81,,E. Gordon enters the game for J. Fredette
8:39.0,,,85-82,1,D. Cunningham makes free throw 2 of 2
8:23.0,M. Chalmers makes 3-pt shot from 26 ft (assist by G. Dragic),3,88-82,,
8:05.0,,,88-82,,N. Cole misses 2-pt shot from 18 ft
8:04.0,Defensive rebound by M. Chalmers,,88-82,,
7:55.0,H. Walker misses 2-pt shot from 1 ft,,88-82,,
7:54.0,,,88-82,,Defensive rebound by N. Cole
7:49.0,Shooting block foul by G. Dragic (drawn by N. Cole),,88-82,,
7:49.0,,,88-83,1,N. Cole makes free throw 1 of 2
7:49.0,,,88-84,1,N. Cole makes free throw 2 of 2
7:31.0,M. Beasley misses 2-pt shot from 2 ft (block by L. Babbitt),,88-84,,
7:30.0,,,88-84,,Defensive rebound by A. Ajinca
7:25.0,,,88-84,,N. Cole misses 2-pt shot from 2 ft (block by C. Andersen)
7:25.0,Defensive rebound by M. Beasley,,88-84,,
7:20.0,,,88-84,,Personal block foul by A. Ajinca (drawn by G. Dragic)
7:20.0,,,88-84,,T. Evans enters the game for D. Cunningham
7:20.0,D. Wade enters the game for H. Walker,,88-84,,
7:12.0,D. Wade misses 2-pt shot from 4 ft (block by A. Ajinca),,88-84,,
7:12.0,Offensive rebound by Team,,88-84,,
7:06.0,D. Wade misses 3-pt shot from 23 ft,,88-84,,
7:05.0,,,88-84,,Defensive rebound by A. Ajinca
6:46.0,,,88-84,,N. Cole misses 2-pt shot from 5 ft
6:46.0,,,88-84,,Offensive rebound by T. Evans
6:43.0,,,88-86,2,T. Evans makes 2-pt shot from 1 ft
6:25.0,G. Dragic misses 2-pt shot at rim,,88-86,,
6:25.0,Offensive rebound by Team,,88-86,,
6:24.0,H. Whiteside enters the game for C. Andersen,,88-86,,
6:05.0,,,88-86,,Violation by A. Ajinca (kicked ball)
5:57.0,Turnover by D. Wade (bad pass),,88-86,,
5:57.0,Official timeout,,88-86,,
5:46.0,Personal foul by M. Beasley (drawn by A. Ajinca),,88-86,,
5:46.0,,,88-87,1,A. Ajinca makes free throw 1 of 2
5:46.0,,,88-88,1,A. Ajinca makes free throw 2 of 2
5:33.0,G. Dragic makes 2-pt shot from 1 ft,2,90-88,,
5:14.0,,,90-88,,L. Babbitt misses 2-pt shot from 3 ft
5:13.0,Defensive rebound by H. Whiteside,,90-88,,
5:08.0,D. Wade misses 2-pt shot from 1 ft,,90-88,,
5:08.0,,,90-88,,Defensive rebound by Team
5:08.0,Loose ball foul by G. Dragic (drawn by A. Ajinca),,90-88,,
5:08.0,,,90-89,1,A. Ajinca makes free throw 1 of 2
5:08.0,H. Walker enters the game for G. Dragic,,90-89,,
5:08.0,L. Deng enters the game for M. Beasley,,90-89,,
5:08.0,,,90-90,1,A. Ajinca makes free throw 2 of 2
4:48.0,Shooting foul by T. Evans (drawn by D. Wade),,90-90,,
4:48.0,D. Wade misses free throw 1 of 2,,90-90,,
4:48.0,Offensive rebound by Team,,90-90,,
4:48.0,,,90-90,,Q. Pondexter enters the game for N. Cole
4:48.0,D. Wade makes free throw 2 of 2,1,91-90,,
4:35.0,,,91-90,,L. Babbitt misses 3-pt shot from 26 ft (block by H. Walker)
4:34.0,Defensive rebound by L. Deng,,91-90,,
4:30.0,H. Walker makes 2-pt shot from 1 ft (assist by D. Wade),2,93-90,,
4:30.0,,,93-90,,New Orleans full timeout
4:08.0,,,93-92,2,T. Evans makes 2-pt shot from 2 ft
3:44.0,H. Walker makes 3-pt shot from 25 ft (assist by D. Wade),3,96-92,,
3:29.0,Personal block foul by H. Walker (drawn by Q. Pondexter),,96-92,,
3:29.0,,,96-92,,Q. Pondexter misses free throw 1 of 2
3:29.0,,,96-92,,Offensive rebound by Team
3:29.0,,,96-92,,O. Asik enters the game for A. Ajinca
3:29.0,,,96-92,,D. Cunningham enters the game for L. Babbitt
3:29.0,,,96-93,1,Q. Pondexter makes free throw 2 of 2
3:09.0,D. Wade misses 2-pt shot from 16 ft (block by Q. Pondexter),,96-93,,
3:08.0,,,96-93,,Defensive rebound by T. Evans
3:04.0,,,96-95,2,E. Gordon makes 2-pt shot from 3 ft (assist by T. Evans)
2:40.0,L. Deng makes 2-pt shot from 17 ft,2,98-95,,
2:23.0,,,98-98,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
2:04.0,Shooting foul by T. Evans (drawn by D. Wade),,98-98,,
2:04.0,D. Wade makes free throw 1 of 2,1,99-98,,
2:04.0,,,99-98,,A. Ajinca enters the game for O. Asik
2:04.0,D. Wade makes free throw 2 of 2,1,100-98,,
1:48.0,,,100-100,2,T. Evans makes 2-pt shot from 18 ft
1:34.0,D. Wade misses 2-pt shot from 18 ft,,100-100,,
1:33.0,,,100-100,,Defensive rebound by A. Ajinca
1:23.0,,,100-100,,Offensive charge foul by T. Evans
1:23.0,,,100-100,,Turnover by T. Evans (offensive foul)
1:23.0,Miami full timeout,,100-100,,
1:23.0,,,100-100,,O. Asik enters the game for A. Ajinca
1:23.0,,,100-100,,N. Cole enters the game for T. Evans
1:23.0,G. Dragic enters the game for M. Chalmers,,100-100,,
