time,Philadelphia,pts.away,score,pts.home,Minnesota
0:28.0,Offensive rebound by R. Covington,,23-13,,
0:27.0,R. Covington misses 2-pt shot at rim,,23-13,,
0:26.0,Offensive rebound by B. Davies,,23-13,,
0:05.0,R. Covington misses 2-pt shot from 1 ft (block by A. Bennett),,23-13,,
0:03.0,Offensive rebound by J. Grant,,23-13,,
0:02.0,J. Grant misses 2-pt shot from 10 ft,,23-13,,
0:02.0,Offensive rebound by Team,,23-13,,
0:02.0,Turnover by Team (shot clock),,23-13,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,M. Carter-Williams misses 2-pt shot from 16 ft,,23-13,,
11:31.0,,,23-13,,Defensive rebound by S. Muhammad
11:28.0,,,23-15,2,S. Muhammad makes 2-pt shot from 1 ft (assist by C. Brewer)
11:20.0,Shooting foul by Z. LaVine (drawn by M. Carter-Williams),,23-15,,
11:20.0,M. Carter-Williams misses free throw 1 of 2,,23-15,,
11:20.0,Offensive rebound by Team,,23-15,,
11:20.0,M. Carter-Williams makes free throw 2 of 2,1,24-15,,
11:04.0,,,24-15,,G. Dieng misses 2-pt shot from 8 ft (block by K. McDaniels)
11:02.0,Defensive rebound by M. Carter-Williams,,24-15,,
10:58.0,H. Sims makes 2-pt shot at rim (assist by M. Carter-Williams),2,26-15,,
10:37.0,,,26-15,,T. Young misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by L. Mbah a Moute,,26-15,,
10:36.0,,,26-15,,Personal foul by T. Young (drawn by L. Mbah a Moute)
10:20.0,R. Covington misses 2-pt shot from 6 ft,,26-15,,
10:19.0,,,26-15,,Defensive rebound by G. Dieng
10:01.0,,,26-15,,Turnover by Z. LaVine (bad pass; steal by M. Carter-Williams)
9:54.0,K. McDaniels misses 3-pt shot from 24 ft,,26-15,,
9:52.0,,,26-15,,Defensive rebound by G. Dieng
9:35.0,,,26-15,,Z. LaVine misses 3-pt shot from 24 ft
9:33.0,,,26-15,,Offensive rebound by S. Muhammad
9:33.0,,,26-17,2,S. Muhammad makes 2-pt shot at rim
9:16.0,Shooting foul by S. Muhammad (drawn by H. Sims),,26-17,,
9:16.0,H. Sims makes free throw 1 of 2,1,27-17,,
9:16.0,N. Noel enters the game for K. McDaniels,,27-17,,
9:16.0,H. Sims misses free throw 2 of 2,,27-17,,
9:16.0,,,27-17,,Defensive rebound by G. Dieng
8:54.0,,,27-17,,S. Muhammad misses 2-pt shot from 13 ft
8:53.0,Defensive rebound by H. Sims,,27-17,,
8:45.0,R. Covington makes 2-pt shot at rim (assist by M. Carter-Williams),2,29-17,,
8:37.0,,,29-17,,Minnesota full timeout
8:37.0,,,29-17,,C. Budinger enters the game for S. Muhammad
8:37.0,H. Thompson enters the game for L. Mbah a Moute,,29-17,,
8:22.0,,,29-17,,C. Brewer misses 2-pt shot from 7 ft
8:20.0,Defensive rebound by Team,,29-17,,
8:07.0,H. Sims misses 2-pt shot from 17 ft,,29-17,,
8:06.0,,,29-17,,Defensive rebound by G. Dieng
7:42.0,,,29-17,,C. Brewer misses 2-pt shot from 20 ft
7:42.0,,,29-17,,Offensive rebound by Team
7:42.0,,,29-17,,Turnover by Team (shot clock)
7:27.0,,,29-17,,Personal foul by Z. LaVine (drawn by M. Carter-Williams)
7:27.0,,,29-17,,M. Williams enters the game for Z. LaVine
7:21.0,Turnover by H. Thompson (traveling),,29-17,,
7:06.0,,,29-19,2,G. Dieng makes 2-pt shot from 1 ft (assist by M. Williams)
6:51.0,N. Noel misses 2-pt shot from 16 ft,,29-19,,
6:50.0,,,29-19,,Defensive rebound by C. Budinger
6:42.0,,,29-19,,C. Budinger misses 2-pt shot from 6 ft
6:41.0,Defensive rebound by H. Thompson,,29-19,,
6:20.0,N. Noel misses 2-pt shot from 13 ft,,29-19,,
6:19.0,,,29-19,,Defensive rebound by G. Dieng
6:11.0,,,29-19,,M. Williams misses 2-pt shot from 10 ft
6:10.0,,,29-19,,Offensive rebound by T. Young
6:08.0,,,29-21,2,T. Young makes 2-pt shot at rim
6:07.0,Philadelphia full timeout,,29-21,,
6:07.0,K. McDaniels enters the game for R. Covington,,29-21,,
5:49.0,N. Noel makes 2-pt shot from 6 ft (assist by K. McDaniels),2,31-21,,
5:32.0,,,31-21,,T. Young misses 2-pt shot at rim
5:30.0,Defensive rebound by H. Thompson,,31-21,,
5:24.0,H. Sims misses 2-pt shot at rim (block by T. Young),,31-21,,
5:22.0,,,31-21,,Defensive rebound by G. Dieng
5:12.0,B. Davies enters the game for H. Sims,,31-21,,
5:03.0,,,31-21,,C. Brewer misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by Team,,31-21,,
4:56.0,Turnover by K. McDaniels (bad pass; steal by T. Young),,31-21,,
4:52.0,,,31-23,2,T. Young makes 2-pt shot from 1 ft
4:35.0,Turnover by M. Carter-Williams (bad pass; steal by G. Dieng),,31-23,,
4:31.0,,,31-23,,G. Dieng misses 2-pt shot at rim (block by K. McDaniels)
4:29.0,Defensive rebound by M. Carter-Williams,,31-23,,
4:23.0,H. Thompson misses 3-pt shot from 24 ft,,31-23,,
4:21.0,,,31-23,,Defensive rebound by T. Young
4:19.0,Personal take foul by B. Davies (drawn by G. Dieng),,31-23,,
4:07.0,Personal foul by N. Noel (drawn by G. Dieng),,31-23,,
4:07.0,L. Mbah a Moute enters the game for N. Noel,,31-23,,
4:07.0,,,31-23,,A. Wiggins enters the game for C. Budinger
3:54.0,,,31-23,,A. Wiggins misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by K. McDaniels,,31-23,,
3:49.0,Turnover by K. McDaniels (lost ball; steal by C. Brewer),,31-23,,
3:46.0,,,31-23,,C. Brewer misses 2-pt shot at rim (block by K. McDaniels)
3:45.0,,,31-23,,Offensive rebound by M. Williams
3:44.0,,,31-23,,M. Williams misses 2-pt shot at rim
3:43.0,Defensive rebound by K. McDaniels,,31-23,,
3:38.0,H. Thompson misses 3-pt shot from 24 ft,,31-23,,
3:37.0,,,31-23,,Defensive rebound by A. Wiggins
3:31.0,,,31-26,3,M. Williams makes 3-pt shot from 24 ft (assist by C. Brewer)
3:28.0,Philadelphia full timeout,,31-26,,
3:11.0,Turnover by M. Carter-Williams (lost ball),,31-26,,
2:57.0,,,31-26,,Turnover by G. Dieng (bad pass; steal by H. Thompson)
2:53.0,Shooting foul by M. Williams (drawn by H. Thompson),,31-26,,
2:53.0,Philadelphia full timeout,,31-26,,
2:53.0,R. Covington enters the game for M. Carter-Williams,,31-26,,
2:53.0,H. Thompson misses free throw 1 of 2,,31-26,,
2:53.0,Offensive rebound by Team,,31-26,,
2:53.0,H. Thompson makes free throw 2 of 2,1,32-26,,
2:41.0,,,32-28,2,A. Wiggins makes 2-pt shot from 21 ft (assist by M. Williams)
2:20.0,B. Davies misses 2-pt shot from 19 ft,,32-28,,
2:19.0,,,32-28,,Defensive rebound by M. Williams
2:13.0,,,32-30,2,C. Brewer makes 2-pt shot from 6 ft (assist by M. Williams)
1:56.0,Turnover by B. Davies (bad pass; steal by A. Wiggins),,32-30,,
1:42.0,,,32-32,2,T. Young makes 2-pt shot from 6 ft
1:26.0,K. McDaniels misses 3-pt shot from 24 ft,,32-32,,
1:25.0,,,32-32,,Defensive rebound by A. Wiggins
1:12.0,,,32-32,,Turnover by T. Young (traveling)
1:12.0,M. Carter-Williams enters the game for R. Covington,,32-32,,
1:03.0,Turnover by M. Carter-Williams (lost ball),,32-32,,
0:56.0,Personal foul by K. McDaniels (drawn by A. Wiggins),,32-32,,
0:56.0,N. Noel enters the game for B. Davies,,32-32,,
0:46.0,,,32-32,,C. Brewer misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by N. Noel,,32-32,,
0:26.0,Turnover by K. McDaniels (bad pass; steal by A. Wiggins),,32-32,,
0:22.0,,,32-34,2,A. Wiggins makes 2-pt shot at rim
0:04.0,M. Carter-Williams misses 2-pt shot from 20 ft,,32-34,,
0:03.0,,,32-34,,Defensive rebound by T. Young
0:00.0,,,32-34,,C. Brewer misses 3-pt shot from 41 ft
0:00.0,,,32-34,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,34-34,,
11:27.0,,,34-34,,T. Young misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by L. Mbah a Moute,,34-34,,
11:17.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,34-34,,
11:16.0,,,34-34,,Defensive rebound by M. Williams
11:06.0,,,34-34,,Shooting foul by H. Thompson (drawn by G. Dieng)
11:06.0,,,34-34,,G. Dieng misses free throw 1 of 2
11:06.0,,,34-34,,Offensive rebound by Team
11:06.0,,,34-34,,G. Dieng misses free throw 2 of 2
11:06.0,Defensive rebound by N. Noel,,34-34,,
10:54.0,H. Thompson misses 3-pt shot from 24 ft,,34-34,,
10:53.0,,,34-34,,Defensive rebound by A. Wiggins
10:37.0,,,34-36,2,M. Williams makes 2-pt shot from 9 ft
10:17.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,36-36,,
9:53.0,,,36-36,,G. Dieng misses 2-pt shot from 2 ft (block by N. Noel)
9:52.0,,,36-36,,Offensive rebound by Team
9:49.0,,,36-38,2,G. Dieng makes 2-pt shot at rim (assist by C. Brewer)
9:29.0,M. Carter-Williams misses 3-pt shot from 23 ft,,36-38,,
9:28.0,,,36-38,,Defensive rebound by G. Dieng
9:03.0,,,36-38,,M. Williams misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by H. Sims,,36-38,,
8:50.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,36-38,,
8:48.0,Offensive rebound by H. Sims,,36-38,,
8:46.0,Offensive charge foul by N. Noel,,36-38,,
8:46.0,Turnover by N. Noel (offensive foul),,36-38,,
8:46.0,,,36-38,,R. Hummel enters the game for T. Young
8:46.0,K. McDaniels enters the game for H. Thompson,,36-38,,
8:30.0,,,36-38,,A. Wiggins misses 2-pt shot from 15 ft
8:27.0,,,36-38,,Offensive rebound by R. Hummel
8:16.0,,,36-40,2,G. Dieng makes 2-pt shot from 3 ft (assist by R. Hummel)
8:16.0,Violation by K. McDaniels (def goaltending),,36-40,,
7:54.0,M. Carter-Williams misses 3-pt shot from 24 ft,,36-40,,
7:53.0,,,36-40,,Defensive rebound by G. Dieng
7:47.0,R. Covington enters the game for N. Noel,,36-40,,
7:44.0,,,36-40,,A. Wiggins misses 2-pt shot from 21 ft
7:43.0,Defensive rebound by H. Sims,,36-40,,
7:36.0,K. McDaniels makes 2-pt shot from 1 ft,2,38-40,,
7:23.0,,,38-40,,Turnover by G. Dieng (bad pass; steal by M. Carter-Williams)
7:18.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,40-40,,
7:18.0,,,40-40,,Minnesota full timeout
7:18.0,J. Grant enters the game for L. Mbah a Moute,,40-40,,
7:00.0,Personal foul by M. Carter-Williams (drawn by A. Wiggins),,40-40,,
6:53.0,,,40-40,,A. Wiggins misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by J. Grant,,40-40,,
6:46.0,,,40-40,,Shooting block foul by R. Hummel (drawn by R. Covington)
6:46.0,R. Covington makes free throw 1 of 2,1,41-40,,
6:46.0,R. Covington makes free throw 2 of 2,1,42-40,,
6:33.0,,,42-40,,Shooting foul by H. Sims (drawn by R. Hummel)
6:33.0,,,42-41,1,R. Hummel makes free throw 1 of 2
6:33.0,,,42-41,,S. Muhammad enters the game for A. Wiggins
6:33.0,,,42-42,1,R. Hummel makes free throw 2 of 2
6:17.0,K. McDaniels makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,45-42,,
6:03.0,,,45-42,,Shooting foul by J. Grant (drawn by M. Williams)
6:03.0,,,45-43,1,M. Williams makes free throw 1 of 2
6:03.0,,,45-44,1,M. Williams makes free throw 2 of 2
6:00.0,,,45-44,,Personal foul by M. Williams (drawn by M. Carter-Williams)
5:51.0,K. McDaniels misses 3-pt shot from 24 ft,,45-44,,
5:49.0,,,45-44,,Defensive rebound by Team
5:49.0,Loose ball foul by R. Covington (drawn by G. Dieng),,45-44,,
5:49.0,,,45-45,1,G. Dieng makes free throw 1 of 2
5:49.0,,,45-46,1,G. Dieng makes free throw 2 of 2
5:26.0,K. McDaniels misses 3-pt shot from 24 ft,,45-46,,
5:25.0,,,45-46,,Defensive rebound by G. Dieng
5:19.0,,,45-46,,C. Brewer misses 2-pt shot from 1 ft
5:17.0,,,45-46,,Offensive rebound by G. Dieng
5:16.0,,,45-46,,G. Dieng misses 2-pt shot from 1 ft (block by J. Grant)
5:14.0,Defensive rebound by M. Carter-Williams,,45-46,,
5:12.0,R. Covington misses 2-pt shot at rim (block by S. Muhammad),,45-46,,
5:11.0,Offensive rebound by K. McDaniels,,45-46,,
5:11.0,K. McDaniels makes 2-pt shot at rim,2,47-46,,
4:49.0,,,47-46,,M. Williams misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by Team,,47-46,,
4:46.0,N. Noel enters the game for H. Sims,,47-46,,
4:25.0,J. Grant misses 2-pt shot from 2 ft,,47-46,,
4:24.0,,,47-46,,Defensive rebound by S. Muhammad
4:11.0,,,47-48,2,R. Hummel makes 2-pt shot at rim (assist by C. Brewer)
4:02.0,Turnover by M. Carter-Williams (lost ball; steal by M. Williams),,47-48,,
3:59.0,,,47-50,2,C. Brewer makes 2-pt shot at rim (assist by R. Hummel)
3:58.0,Philadelphia full timeout,,47-50,,
3:58.0,,,47-50,,Z. LaVine enters the game for M. Williams
3:43.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,49-50,,
3:34.0,,,49-50,,R. Hummel misses 2-pt shot from 17 ft
3:33.0,Defensive rebound by J. Grant,,49-50,,
3:24.0,K. McDaniels misses 2-pt shot from 2 ft (block by R. Hummel),,49-50,,
3:22.0,,,49-50,,Defensive rebound by R. Hummel
3:22.0,,,49-50,,Turnover by C. Brewer (step out of bounds)
3:06.0,M. Carter-Williams makes 2-pt shot from 9 ft,2,51-50,,
2:50.0,,,51-50,,Z. LaVine misses 2-pt shot from 20 ft
2:48.0,Defensive rebound by K. McDaniels,,51-50,,
2:40.0,,,51-50,,Personal foul by C. Brewer (drawn by M. Carter-Williams)
2:40.0,J. Sampson enters the game for M. Carter-Williams,,51-50,,
2:40.0,,,51-50,,T. Young enters the game for G. Dieng
2:33.0,Shooting foul by R. Hummel (drawn by R. Covington),,51-50,,
2:33.0,R. Covington makes free throw 1 of 2,1,52-50,,
2:33.0,L. Mbah a Moute enters the game for J. Grant,,52-50,,
2:33.0,R. Covington makes free throw 2 of 2,1,53-50,,
2:17.0,,,53-52,2,Z. LaVine makes 2-pt shot from 1 ft
2:01.0,N. Noel misses 2-pt shot from 6 ft,,53-52,,
2:00.0,Offensive rebound by K. McDaniels,,53-52,,
2:00.0,K. McDaniels misses 2-pt shot at rim,,53-52,,
1:59.0,Offensive rebound by L. Mbah a Moute,,53-52,,
1:57.0,R. Covington misses 3-pt shot from 24 ft,,53-52,,
1:56.0,,,53-52,,Defensive rebound by T. Young
1:44.0,,,53-52,,Shooting foul by L. Mbah a Moute (drawn by T. Young)
1:44.0,,,53-53,1,T. Young makes free throw 1 of 2
1:44.0,,,53-54,1,T. Young makes free throw 2 of 2
1:39.0,Turnover by J. Sampson (bad pass),,53-54,,
1:33.0,Personal foul by N. Noel (drawn by T. Young),,53-54,,
1:33.0,,,53-55,1,T. Young makes free throw 1 of 2
1:33.0,M. Carter-Williams enters the game for N. Noel,,53-55,,
1:33.0,,,53-56,1,T. Young makes free throw 2 of 2
1:21.0,J. Sampson misses 3-pt shot from 23 ft,,53-56,,
1:19.0,,,53-56,,Defensive rebound by Z. LaVine
1:15.0,,,53-56,,Turnover by C. Brewer (bad pass; steal by R. Covington)
1:04.0,M. Carter-Williams misses 2-pt shot at rim,,53-56,,
1:04.0,Offensive rebound by L. Mbah a Moute,,53-56,,
1:04.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,55-56,,
1:04.0,Shooting foul by Z. LaVine (drawn by L. Mbah a Moute),,55-56,,
1:04.0,L. Mbah a Moute misses free throw 1 of 1,,55-56,,
1:03.0,,,55-56,,Defensive rebound by R. Hummel
0:45.0,,,55-56,,Z. LaVine misses 3-pt shot from 24 ft
0:43.0,,,55-56,,Offensive rebound by C. Brewer
0:24.0,,,55-56,,R. Hummel misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by R. Covington,,55-56,,
0:00.0,R. Covington makes 2-pt shot at rim (assist by L. Mbah a Moute),2,57-56,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,57-58,2,Z. LaVine makes 2-pt shot at rim
11:36.0,M. Carter-Williams makes 2-pt shot at rim,2,59-58,,
11:36.0,Shooting foul by M. Williams (drawn by M. Carter-Williams),,59-58,,
11:36.0,M. Carter-Williams misses free throw 1 of 1,,59-58,,
11:34.0,Offensive rebound by M. Carter-Williams,,59-58,,
11:29.0,K. McDaniels misses 3-pt shot from 23 ft,,59-58,,
11:28.0,,,59-58,,Defensive rebound by S. Muhammad
11:15.0,,,59-58,,Turnover by G. Dieng (bad pass)
10:59.0,H. Thompson misses 2-pt shot from 20 ft,,59-58,,
10:57.0,,,59-58,,Defensive rebound by M. Williams
10:53.0,,,59-60,2,Z. LaVine makes 2-pt shot at rim (assist by M. Williams)
10:29.0,L. Mbah a Moute misses 2-pt shot from 17 ft,,59-60,,
10:27.0,Offensive rebound by K. McDaniels,,59-60,,
10:10.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,61-60,,
9:52.0,,,61-60,,M. Williams misses 3-pt shot from 23 ft
9:51.0,Defensive rebound by M. Carter-Williams,,61-60,,
9:46.0,H. Thompson makes 2-pt shot at rim (assist by M. Carter-Williams),2,63-60,,
9:19.0,,,63-62,2,M. Williams makes 2-pt shot from 17 ft
9:03.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,63-62,,
9:02.0,,,63-62,,Defensive rebound by S. Muhammad
8:41.0,,,63-62,,S. Muhammad misses 2-pt shot from 18 ft
8:40.0,Defensive rebound by L. Mbah a Moute,,63-62,,
8:34.0,Philadelphia full timeout,,63-62,,
8:34.0,,,63-62,,A. Wiggins enters the game for S. Muhammad
8:34.0,H. Sims enters the game for L. Mbah a Moute,,63-62,,
8:18.0,R. Covington misses 3-pt shot from 24 ft,,63-62,,
8:17.0,,,63-62,,Defensive rebound by G. Dieng
7:56.0,,,63-62,,M. Williams misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by R. Covington,,63-62,,
7:46.0,R. Covington makes 3-pt shot from 24 ft (assist by H. Thompson),3,66-62,,
7:20.0,,,66-64,2,T. Young makes 2-pt shot from 4 ft
6:55.0,M. Carter-Williams misses 2-pt shot at rim,,66-64,,
6:53.0,,,66-64,,Defensive rebound by G. Dieng
6:38.0,,,66-64,,A. Wiggins misses 2-pt shot from 12 ft
6:37.0,Defensive rebound by K. McDaniels,,66-64,,
6:28.0,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,69-64,,
6:28.0,,,69-64,,Minnesota full timeout
6:28.0,,,69-64,,C. Brewer enters the game for Z. LaVine
6:17.0,,,69-64,,C. Brewer misses 2-pt shot from 2 ft (block by K. McDaniels)
6:15.0,Defensive rebound by M. Carter-Williams,,69-64,,
5:57.0,Shooting foul by C. Brewer (drawn by K. McDaniels),,69-64,,
5:57.0,K. McDaniels makes free throw 1 of 2,1,70-64,,
5:57.0,K. McDaniels makes free throw 2 of 2,1,71-64,,
5:46.0,,,71-64,,Shooting foul by H. Thompson (drawn by A. Wiggins)
5:46.0,,,71-65,1,A. Wiggins makes free throw 1 of 2
5:46.0,,,71-66,1,A. Wiggins makes free throw 2 of 2
5:35.0,Turnover by H. Sims (bad pass; steal by G. Dieng),,71-66,,
5:21.0,,,71-66,,T. Young misses 2-pt shot from 7 ft
5:20.0,,,71-66,,Offensive rebound by M. Williams
5:11.0,,,71-68,2,T. Young makes 2-pt shot from 2 ft (assist by G. Dieng)
4:51.0,H. Sims makes 2-pt shot from 18 ft (assist by R. Covington),2,73-68,,
4:33.0,,,73-68,,Turnover by T. Young (lost ball; steal by M. Carter-Williams)
4:17.0,H. Sims misses 2-pt shot from 2 ft,,73-68,,
4:16.0,,,73-68,,Defensive rebound by C. Brewer
3:59.0,,,73-70,2,M. Williams makes 2-pt shot from 18 ft (assist by G. Dieng)
