time,Chicago,pts.away,score,pts.home,Dallas
2:50.0,,,24-15,,D. Nowitzki enters the game for T. Chandler
2:50.0,K. Hinrich enters the game for D. Rose,,24-15,,
2:46.0,,,24-15,,Personal foul by D. Powell (drawn by P. Gasol)
2:30.0,T. Snell misses 3-pt shot from 24 ft,,24-15,,
2:28.0,,,24-15,,Defensive rebound by D. Nowitzki
2:16.0,,,24-15,,M. Ellis misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by P. Gasol,,24-15,,
2:08.0,Turnover by T. Snell (bad pass),,24-15,,
1:59.0,,,24-17,2,C. Parsons makes 2-pt shot at rim
1:35.0,J. Butler makes 2-pt shot from 18 ft,2,26-17,,
1:27.0,,,26-19,2,M. Ellis makes 2-pt shot from 3 ft
1:07.0,T. Snell makes 2-pt shot at rim,2,28-19,,
0:48.0,,,28-21,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris)
0:33.0,T. Gibson makes 2-pt shot from 8 ft,2,30-21,,
0:27.0,,,30-21,,M. Ellis misses 3-pt shot from 23 ft
0:26.0,Defensive rebound by P. Gasol,,30-21,,
0:05.0,J. Butler misses 2-pt shot from 16 ft,,30-21,,
0:04.0,,,30-21,,Defensive rebound by Team
0:04.0,,,30-21,,R. Jefferson enters the game for C. Parsons
0:04.0,,,30-21,,R. Rondo enters the game for M. Ellis
0:04.0,A. Brooks enters the game for T. Snell,,30-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,30-23,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Rondo)
11:23.0,A. Brooks misses 3-pt shot from 28 ft,,30-23,,
11:22.0,,,30-23,,Defensive rebound by R. Jefferson
11:02.0,,,30-23,,D. Nowitzki misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by A. Brooks,,30-23,,
10:45.0,Turnover by T. Gibson (lost ball; steal by D. Harris),,30-23,,
10:39.0,,,30-23,,D. Harris misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by Team,,30-23,,
10:38.0,,,30-23,,J. Barea enters the game for R. Jefferson
10:20.0,K. Hinrich misses 2-pt shot from 6 ft,,30-23,,
10:19.0,Offensive rebound by J. Noah,,30-23,,
10:15.0,T. Gibson misses 2-pt shot from 2 ft,,30-23,,
10:14.0,Offensive rebound by J. Noah,,30-23,,
10:13.0,Turnover by J. Noah (lost ball; steal by R. Rondo),,30-23,,
10:10.0,,,30-23,,Shooting foul by K. Hinrich (drawn by D. Powell)
10:10.0,,,30-24,1,D. Powell makes free throw 1 of 2
10:10.0,,,30-25,1,D. Powell makes free throw 2 of 2
9:52.0,E. Moore makes 3-pt shot from 24 ft (assist by A. Brooks),3,33-25,,
9:40.0,N. Mirotic enters the game for J. Noah,,33-25,,
9:31.0,,,33-25,,Turnover by D. Nowitzki (lost ball; steal by T. Gibson)
9:27.0,Offensive foul by T. Gibson,,33-25,,
9:27.0,Turnover by T. Gibson (offensive foul),,33-25,,
9:10.0,,,33-28,3,J. Barea makes 3-pt shot from 24 ft
8:54.0,Offensive foul by N. Mirotic,,33-28,,
8:54.0,Turnover by N. Mirotic (offensive foul),,33-28,,
8:54.0,Official timeout,,33-28,,
8:35.0,,,33-28,,J. Barea misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by N. Mirotic,,33-28,,
8:17.0,N. Mirotic makes 3-pt shot from 22 ft (assist by A. Brooks),3,36-28,,
8:04.0,,,36-30,2,J. Barea makes 2-pt shot from 3 ft
7:45.0,A. Brooks misses 2-pt shot from 4 ft,,36-30,,
7:44.0,,,36-30,,Defensive rebound by D. Harris
7:39.0,Shooting block foul by A. Brooks (drawn by D. Harris),,36-30,,
7:39.0,,,36-31,1,D. Harris makes free throw 1 of 2
7:39.0,,,36-31,,T. Chandler enters the game for D. Nowitzki
7:39.0,D. Rose enters the game for E. Moore,,36-31,,
7:39.0,P. Gasol enters the game for N. Mirotic,,36-31,,
7:39.0,,,36-32,1,D. Harris makes free throw 2 of 2
7:28.0,Shooting foul by D. Harris (drawn by K. Hinrich),,36-32,,
7:28.0,K. Hinrich makes free throw 1 of 2,1,37-32,,
7:28.0,K. Hinrich makes free throw 2 of 2,1,38-32,,
7:16.0,,,38-32,,Turnover by D. Harris (traveling)
7:00.0,T. Gibson makes 2-pt shot from 13 ft (assist by K. Hinrich),2,40-32,,
6:49.0,,,40-32,,R. Rondo misses 2-pt shot from 6 ft
6:48.0,Defensive rebound by P. Gasol,,40-32,,
6:42.0,K. Hinrich makes 3-pt shot from 22 ft (assist by D. Rose),3,43-32,,
6:42.0,,,43-32,,Dallas full timeout
6:42.0,,,43-32,,M. Ellis enters the game for R. Rondo
6:42.0,,,43-32,,R. Jefferson enters the game for D. Harris
6:42.0,,,43-32,,C. Parsons enters the game for D. Powell
6:42.0,J. Butler enters the game for A. Brooks,,43-32,,
6:36.0,Personal foul by K. Hinrich (drawn by C. Parsons),,43-32,,
6:25.0,,,43-32,,J. Barea misses 2-pt shot from 10 ft
6:24.0,Defensive rebound by T. Gibson,,43-32,,
6:15.0,Turnover by D. Rose (lost ball; steal by M. Ellis),,43-32,,
6:08.0,,,43-34,2,C. Parsons makes 2-pt shot from 11 ft (assist by R. Jefferson)
5:48.0,P. Gasol misses 2-pt shot from 16 ft,,43-34,,
5:48.0,Offensive rebound by T. Gibson,,43-34,,
5:46.0,Shooting foul by R. Jefferson (drawn by T. Gibson),,43-34,,
5:46.0,T. Gibson makes free throw 1 of 2,1,44-34,,
5:46.0,T. Gibson makes free throw 2 of 2,1,45-34,,
5:26.0,,,45-34,,Shooting foul by K. Hinrich (drawn by C. Parsons)
5:26.0,,,45-35,1,C. Parsons makes free throw 1 of 2
5:26.0,T. Snell enters the game for K. Hinrich,,45-35,,
5:26.0,,,45-36,1,C. Parsons makes free throw 2 of 2
5:10.0,T. Snell misses 3-pt shot from 24 ft,,45-36,,
5:09.0,Offensive rebound by J. Butler,,45-36,,
4:58.0,T. Gibson makes 2-pt shot from 3 ft (assist by T. Snell),2,47-36,,
4:46.0,,,47-36,,T. Chandler misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by T. Gibson,,47-36,,
4:34.0,Turnover by D. Rose (bad pass; steal by J. Barea),,47-36,,
4:30.0,,,47-38,2,J. Barea makes 2-pt shot at rim
4:07.0,P. Gasol misses 2-pt shot from 6 ft,,47-38,,
4:06.0,,,47-38,,Defensive rebound by T. Chandler
3:49.0,,,47-40,2,J. Barea makes 2-pt shot from 11 ft
3:33.0,Turnover by P. Gasol (bad pass; steal by M. Ellis),,47-40,,
3:29.0,,,47-42,2,M. Ellis makes 2-pt shot at rim
3:22.0,Chicago full timeout,,47-42,,
3:22.0,,,47-42,,D. Nowitzki enters the game for R. Jefferson
3:22.0,J. Noah enters the game for T. Gibson,,47-42,,
3:08.0,Jump ball: M. Ellis vs. T. Snell (D. Rose gains possession),,,,Jump ball: M. Ellis vs. T. Snell (D. Rose gains possession)
3:03.0,D. Rose makes 2-pt shot from 15 ft,2,49-42,,
3:03.0,Shooting foul by M. Ellis (drawn by D. Rose),,49-42,,
3:03.0,D. Rose makes free throw 1 of 1,1,50-42,,
2:45.0,,,50-42,,J. Barea misses 3-pt shot from 24 ft
2:44.0,,,50-42,,Offensive rebound by T. Chandler
2:34.0,,,50-42,,C. Parsons misses 2-pt shot from 8 ft
2:33.0,,,50-42,,Offensive rebound by Team
2:33.0,,,50-42,,R. Rondo enters the game for J. Barea
2:26.0,,,50-44,2,D. Nowitzki makes 2-pt shot from 23 ft (assist by C. Parsons)
2:09.0,D. Rose misses 2-pt shot at rim,,50-44,,
2:07.0,Offensive rebound by P. Gasol,,50-44,,
2:07.0,P. Gasol makes 2-pt shot at rim,2,52-44,,
1:58.0,,,52-46,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
1:40.0,J. Noah misses 2-pt shot from 2 ft (block by T. Chandler),,52-46,,
1:38.0,,,52-46,,Defensive rebound by T. Chandler
1:31.0,,,52-46,,Turnover by D. Nowitzki (lost ball; steal by T. Snell)
1:19.0,Turnover by P. Gasol (lost ball; steal by T. Chandler),,52-46,,
1:13.0,,,52-49,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
0:49.0,J. Butler misses 2-pt shot from 18 ft,,52-49,,
0:47.0,Offensive rebound by P. Gasol,,52-49,,
0:45.0,Turnover by Team (shot clock),,52-49,,
0:29.0,,,52-51,2,M. Ellis makes 2-pt shot from 5 ft
0:11.0,Shooting foul by R. Rondo (drawn by D. Rose),,52-51,,
0:11.0,D. Rose makes free throw 1 of 2,1,53-51,,
0:11.0,T. Gibson enters the game for P. Gasol,,53-51,,
0:11.0,D. Rose makes free throw 2 of 2,1,54-51,,
0:00.0,,,54-51,,M. Ellis misses 2-pt shot from 20 ft
0:00.0,,,54-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-51,,M. Ellis misses 2-pt shot at rim (block by J. Noah)
11:43.0,Defensive rebound by P. Gasol,,54-51,,
11:28.0,D. Rose misses 2-pt shot from 19 ft,,54-51,,
11:27.0,Offensive rebound by J. Noah,,54-51,,
11:27.0,Turnover by J. Noah (lost ball),,54-51,,
11:08.0,,,54-51,,R. Rondo misses 2-pt shot from 20 ft
11:06.0,Defensive rebound by D. Rose,,54-51,,
10:56.0,T. Snell makes 2-pt shot from 16 ft (assist by J. Butler),2,56-51,,
10:40.0,,,56-53,2,C. Parsons makes 2-pt shot from 18 ft
10:18.0,J. Noah misses 2-pt shot from 4 ft (block by T. Chandler),,56-53,,
10:18.0,Offensive rebound by Team,,56-53,,
10:15.0,Shooting foul by T. Chandler (drawn by P. Gasol),,56-53,,
10:15.0,P. Gasol makes free throw 1 of 2,1,57-53,,
10:15.0,Turnover by J. Noah (lane violation.),,57-53,,
10:01.0,,,57-55,2,M. Ellis makes 2-pt shot from 19 ft
9:39.0,J. Butler misses 2-pt shot from 5 ft (block by T. Chandler),,57-55,,
9:39.0,Offensive rebound by Team,,57-55,,
9:23.0,,,57-55,,M. Ellis misses 2-pt shot at rim
9:21.0,,,57-55,,Offensive rebound by R. Rondo
9:21.0,,,57-57,2,R. Rondo makes 2-pt shot at rim
9:00.0,T. Snell makes 3-pt shot from 22 ft (assist by J. Butler),3,60-57,,
8:46.0,,,60-57,,Turnover by R. Rondo (bad pass; steal by P. Gasol)
8:41.0,Turnover by D. Rose (lost ball; steal by M. Ellis),,60-57,,
8:36.0,,,60-57,,C. Parsons misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by P. Gasol,,60-57,,
8:15.0,J. Butler misses 3-pt shot from 24 ft,,60-57,,
8:14.0,,,60-57,,Defensive rebound by D. Nowitzki
8:04.0,,,60-59,2,C. Parsons makes 2-pt shot at rim
7:43.0,J. Noah makes 2-pt shot at rim (assist by T. Snell),2,62-59,,
7:35.0,,,62-62,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo)
7:11.0,J. Butler makes 2-pt shot from 18 ft,2,64-62,,
6:56.0,,,64-62,,D. Nowitzki misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by J. Butler,,64-62,,
6:50.0,,,64-62,,Personal foul by R. Rondo (drawn by D. Rose)
6:50.0,,,64-62,,D. Harris enters the game for R. Rondo
6:44.0,D. Rose misses 2-pt shot from 9 ft,,64-62,,
6:43.0,Offensive rebound by J. Noah,,64-62,,
6:43.0,J. Noah misses 2-pt shot at rim,,64-62,,
6:42.0,,,64-62,,Defensive rebound by T. Chandler
6:40.0,,,64-62,,Turnover by M. Ellis (bad pass)
6:27.0,P. Gasol misses 2-pt shot from 16 ft,,64-62,,
6:26.0,Offensive rebound by J. Noah,,64-62,,
6:15.0,D. Rose misses 3-pt shot from 24 ft,,64-62,,
6:14.0,,,64-62,,Defensive rebound by D. Nowitzki
6:13.0,,,64-62,,Turnover by D. Nowitzki (lost ball; steal by J. Butler)
6:10.0,J. Butler makes 2-pt shot from 19 ft,2,66-62,,
6:04.0,,,66-62,,Dallas full timeout
6:04.0,,,66-62,,D. Powell enters the game for D. Nowitzki
6:04.0,T. Gibson enters the game for J. Noah,,66-62,,
5:45.0,,,66-62,,C. Parsons misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by P. Gasol,,66-62,,
5:21.0,J. Butler makes 2-pt shot from 10 ft,2,68-62,,
5:03.0,,,68-62,,T. Chandler misses 2-pt shot from 1 ft
5:01.0,Defensive rebound by P. Gasol,,68-62,,
4:42.0,T. Gibson misses 2-pt shot from 3 ft,,68-62,,
4:41.0,Offensive rebound by P. Gasol,,68-62,,
4:41.0,P. Gasol makes 2-pt shot at rim,2,70-62,,
4:22.0,,,70-64,2,M. Ellis makes 2-pt shot from 15 ft
3:54.0,P. Gasol misses 2-pt shot from 23 ft,,70-64,,
3:53.0,,,70-64,,Defensive rebound by T. Chandler
3:44.0,,,70-64,,Shooting foul by J. Butler (drawn by M. Ellis)
3:44.0,,,70-65,1,M. Ellis makes free throw 1 of 2
3:44.0,K. Hinrich enters the game for D. Rose,,70-65,,
3:44.0,,,70-66,1,M. Ellis makes free throw 2 of 2
3:29.0,Turnover by T. Snell (bad pass; steal by C. Parsons),,70-66,,
3:18.0,,,70-66,,M. Ellis misses 2-pt shot from 20 ft
3:17.0,Defensive rebound by P. Gasol,,70-66,,
3:08.0,J. Butler misses 2-pt shot from 6 ft (block by T. Chandler),,70-66,,
3:05.0,,,70-66,,Defensive rebound by T. Chandler
2:58.0,,,70-66,,Turnover by M. Ellis (bad pass; steal by K. Hinrich)
2:45.0,K. Hinrich makes 3-pt shot from 24 ft (assist by T. Gibson),3,73-66,,
2:44.0,,,73-66,,Dallas full timeout
2:44.0,Chicago full timeout,,73-66,,
2:27.0,,,73-66,,C. Parsons misses 2-pt shot from 18 ft
2:26.0,,,73-66,,Offensive rebound by T. Chandler
2:26.0,,,73-68,2,T. Chandler makes 2-pt shot at rim
2:02.0,J. Butler makes 2-pt shot from 1 ft (assist by K. Hinrich),2,75-68,,
1:42.0,,,75-68,,D. Harris misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by T. Snell,,75-68,,
1:21.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler),2,77-68,,
1:03.0,,,77-71,3,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis)
1:03.0,,,77-71,,Shooting foul by K. Hinrich (drawn by D. Harris)
1:03.0,,,77-71,,D. Nowitzki enters the game for C. Parsons
1:03.0,,,77-71,,R. Rondo enters the game for T. Chandler
1:03.0,,,77-71,,R. Jefferson enters the game for M. Ellis
1:03.0,,,77-72,1,D. Harris makes free throw 1 of 1
0:46.0,J. Butler misses 2-pt shot from 9 ft (block by D. Powell),,77-72,,
0:45.0,Offensive rebound by J. Butler,,77-72,,
0:44.0,J. Butler makes 2-pt shot from 4 ft,2,79-72,,
0:44.0,Shooting foul by D. Powell (drawn by J. Butler),,79-72,,
0:44.0,J. Butler makes free throw 1 of 1,1,80-72,,
0:31.0,,,80-72,,Turnover by D. Harris (lost ball; steal by J. Butler)
0:11.0,T. Gibson misses 2-pt shot from 3 ft (block by D. Nowitzki),,80-72,,
0:09.0,,,80-72,,Defensive rebound by D. Harris
0:02.0,,,80-75,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
0:00.0,J. Butler misses 3-pt shot from 45 ft,,80-75,,
0:00.0,Offensive rebound by Team,,80-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Noah makes 2-pt shot at rim (assist by D. Rose),2,82-75,,
11:25.0,,,82-75,,D. Powell misses 2-pt shot at rim
11:23.0,Defensive rebound by T. Gibson,,82-75,,
11:05.0,J. Noah misses 2-pt shot from 19 ft,,82-75,,
11:04.0,,,82-75,,Defensive rebound by R. Jefferson
10:50.0,,,82-75,,Shooting foul by T. Gibson (drawn by D. Powell)
10:50.0,,,82-76,1,D. Powell makes free throw 1 of 2
10:50.0,,,82-76,,J. Barea enters the game for D. Harris
10:50.0,A. Brooks enters the game for T. Snell,,82-76,,
10:50.0,,,82-77,1,D. Powell makes free throw 2 of 2
10:30.0,Turnover by K. Hinrich (traveling),,82-77,,
10:14.0,,,82-79,2,D. Nowitzki makes 2-pt shot from 10 ft
9:59.0,T. Gibson makes 2-pt shot at rim (assist by J. Noah),2,84-79,,
9:43.0,,,84-79,,D. Powell misses 2-pt shot from 2 ft (block by J. Noah)
9:39.0,Jump ball: T. Gibson vs. D. Powell (J. Barea gains possession),,,,Jump ball: T. Gibson vs. D. Powell (J. Barea gains possession)
9:39.0,,,84-79,,Offensive rebound by Team
9:33.0,,,84-79,,J. Barea misses 2-pt shot from 1 ft (block by T. Gibson)
9:31.0,Defensive rebound by A. Brooks,,84-79,,
9:21.0,D. Rose misses 2-pt shot from 9 ft,,84-79,,
9:20.0,,,84-79,,Defensive rebound by J. Barea
9:14.0,,,84-79,,D. Powell misses 2-pt shot at rim
9:12.0,Defensive rebound by J. Noah,,84-79,,
9:00.0,D. Rose misses 2-pt shot at rim,,84-79,,
8:59.0,,,84-79,,Defensive rebound by R. Jefferson
8:50.0,,,84-81,2,R. Rondo makes 2-pt shot at rim
8:35.0,A. Brooks makes 2-pt shot from 2 ft,2,86-81,,
8:20.0,,,86-81,,J. Barea misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by T. Gibson,,86-81,,
8:12.0,T. Gibson makes 2-pt shot from 1 ft (assist by A. Brooks),2,88-81,,
8:12.0,,,88-81,,Dallas full timeout
8:12.0,,,88-81,,T. Chandler enters the game for D. Powell
8:12.0,,,88-81,,M. Ellis enters the game for R. Jefferson
8:12.0,,,88-81,,C. Parsons enters the game for J. Barea
7:56.0,,,88-83,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by R. Rondo)
7:40.0,Offensive foul by T. Gibson,,88-83,,
7:40.0,Turnover by T. Gibson (offensive foul),,88-83,,
7:40.0,J. Butler enters the game for K. Hinrich,,88-83,,
7:28.0,,,88-85,2,M. Ellis makes 2-pt shot from 17 ft (assist by T. Chandler)
7:06.0,D. Rose misses 2-pt shot from 5 ft,,88-85,,
7:05.0,Offensive rebound by J. Noah,,88-85,,
7:02.0,D. Rose makes 2-pt shot from 1 ft,2,90-85,,
6:51.0,,,90-85,,R. Rondo misses 2-pt shot from 19 ft
6:51.0,,,90-85,,Offensive rebound by T. Chandler
6:51.0,Loose ball foul by J. Noah (drawn by T. Chandler),,90-85,,
6:51.0,P. Gasol enters the game for J. Noah,,90-85,,
6:40.0,,,90-85,,C. Parsons misses 2-pt shot from 19 ft
6:39.0,Defensive rebound by P. Gasol,,90-85,,
6:26.0,,,90-85,,R. Jefferson enters the game for D. Nowitzki
6:18.0,Turnover by P. Gasol (lost ball),,90-85,,
6:06.0,,,90-85,,R. Rondo misses 2-pt shot from 21 ft
6:05.0,Defensive rebound by J. Butler,,90-85,,
5:50.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,92-85,,
5:31.0,,,92-85,,R. Jefferson misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by J. Butler,,92-85,,
5:12.0,Shooting foul by M. Ellis (drawn by J. Butler),,92-85,,
5:12.0,Official timeout,,92-85,,
5:12.0,,,92-85,,D. Harris enters the game for R. Rondo
5:12.0,,,92-85,,D. Nowitzki enters the game for R. Jefferson
5:12.0,J. Butler makes free throw 1 of 2,1,93-85,,
5:12.0,J. Butler misses free throw 2 of 2,,93-85,,
5:10.0,,,93-85,,Defensive rebound by M. Ellis
4:59.0,,,93-85,,M. Ellis misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by T. Gibson,,93-85,,
4:45.0,D. Rose misses 3-pt shot from 24 ft,,93-85,,
4:44.0,,,93-85,,Defensive rebound by D. Nowitzki
4:42.0,,,93-85,,Turnover by T. Chandler (lost ball; steal by J. Butler)
4:30.0,Shooting foul by D. Harris (drawn by A. Brooks),,93-85,,
4:30.0,A. Brooks misses free throw 1 of 3,,93-85,,
4:30.0,Offensive rebound by Team,,93-85,,
4:30.0,A. Brooks makes free throw 2 of 3,1,94-85,,
4:30.0,A. Brooks makes free throw 3 of 3,1,95-85,,
4:14.0,Personal foul by A. Brooks (drawn by D. Nowitzki),,95-85,,
4:07.0,,,95-85,,D. Nowitzki misses 3-pt shot from 25 ft
4:06.0,,,95-85,,Offensive rebound by T. Chandler
4:06.0,,,95-85,,Shooting foul by A. Brooks (drawn by T. Chandler)
4:06.0,,,95-86,1,T. Chandler makes free throw 1 of 2
4:06.0,,,95-87,1,T. Chandler makes free throw 2 of 2
3:43.0,P. Gasol misses 2-pt shot from 2 ft,,95-87,,
3:42.0,Offensive rebound by Team,,95-87,,
3:42.0,Turnover by Team (shot clock),,95-87,,
3:31.0,,,95-87,,D. Nowitzki misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by J. Butler,,95-87,,
3:09.0,Turnover by D. Rose (lost ball; steal by M. Ellis),,95-87,,
3:09.0,Personal foul by P. Gasol (drawn by D. Nowitzki),,95-87,,
3:09.0,,,95-88,1,D. Nowitzki makes free throw 1 of 2
3:09.0,K. Hinrich enters the game for A. Brooks,,95-88,,
3:09.0,,,95-89,1,D. Nowitzki makes free throw 2 of 2
2:55.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,97-89,,
2:33.0,,,97-89,,D. Nowitzki misses 2-pt shot from 15 ft
2:32.0,Defensive rebound by J. Butler,,97-89,,
2:15.0,Turnover by D. Rose (lost ball; steal by M. Ellis),,97-89,,
2:11.0,,,97-91,2,C. Parsons makes 2-pt shot at rim (assist by T. Chandler)
2:10.0,Chicago full timeout,,97-91,,
1:54.0,J. Butler makes 2-pt shot from 9 ft,2,99-91,,
1:39.0,,,99-93,2,D. Nowitzki makes 2-pt shot from 15 ft
1:17.0,T. Gibson misses 2-pt shot from 7 ft (block by T. Chandler),,99-93,,
1:15.0,,,99-93,,Defensive rebound by D. Nowitzki
0:57.0,,,99-93,,M. Ellis misses 3-pt shot from 24 ft
0:56.0,,,99-93,,Offensive rebound by T. Chandler
0:56.0,Personal foul by P. Gasol (drawn by T. Chandler),,99-93,,
0:56.0,,,99-94,1,T. Chandler makes free throw 1 of 2
0:56.0,,,99-95,1,T. Chandler makes free throw 2 of 2
0:33.0,Shooting foul by C. Parsons (drawn by T. Gibson),,99-95,,
0:33.0,T. Gibson misses free throw 1 of 2,,99-95,,
0:33.0,Offensive rebound by Team,,99-95,,
0:33.0,T. Gibson makes free throw 2 of 2,1,100-95,,
0:33.0,,,100-95,,Dallas full timeout
0:29.0,,,100-97,2,M. Ellis makes 2-pt shot from 18 ft
0:29.0,,,100-97,,Shooting foul by T. Gibson (drawn by M. Ellis)
0:29.0,,,100-98,1,M. Ellis makes free throw 1 of 1
