time,Indiana,pts.away,score,pts.home,Utah
0:23.0,,,28-14,,E. Millsap misses 2-pt shot at rim
0:22.0,,,28-14,,Offensive rebound by E. Millsap
0:22.0,,,28-16,2,E. Millsap makes 2-pt shot at rim
0:03.0,C. Miles makes 3-pt shot from 25 ft (assist by L. Scola),3,31-16,,
0:00.0,,,31-16,,E. Millsap misses 3-pt shot from 26 ft
0:00.0,,,31-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by C. Copeland (drawn by G. Hayward),,31-16,,
11:41.0,,,31-16,,Shooting foul by L. Scola (drawn by D. Favors)
11:41.0,,,31-17,1,D. Favors makes free throw 1 of 2
11:41.0,,,31-18,1,D. Favors makes free throw 2 of 2
11:23.0,C. Miles misses 2-pt shot from 20 ft,,31-18,,
11:22.0,,,31-18,,Defensive rebound by Team
11:06.0,,,31-20,2,D. Favors makes 2-pt shot at rim (assist by E. Millsap)
10:48.0,L. Scola makes 2-pt shot from 19 ft (assist by C. Miles),2,33-20,,
10:20.0,,,33-20,,S. Novak misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by C. Copeland,,33-20,,
10:10.0,L. Allen misses 2-pt shot from 21 ft,,33-20,,
10:09.0,Offensive rebound by L. Scola,,33-20,,
10:06.0,L. Scola makes 2-pt shot from 5 ft,2,35-20,,
9:55.0,,,35-20,,Shooting foul by L. Allen (drawn by D. Favors)
9:55.0,,,35-20,,D. Favors misses free throw 1 of 2
9:55.0,,,35-20,,Offensive rebound by Team
9:55.0,,,35-20,,T. Booker enters the game for S. Novak
9:55.0,,,35-21,1,D. Favors makes free throw 2 of 2
9:44.0,L. Scola misses 2-pt shot from 19 ft,,35-21,,
9:43.0,,,35-21,,Defensive rebound by T. Booker
9:28.0,,,35-23,2,D. Favors makes 2-pt shot from 15 ft (assist by E. Millsap)
9:10.0,L. Allen misses 2-pt shot from 15 ft,,35-23,,
9:08.0,,,35-23,,Defensive rebound by D. Favors
8:59.0,,,35-23,,G. Hayward misses 2-pt shot from 20 ft
8:58.0,,,35-23,,Offensive rebound by Team
8:58.0,Official timeout,,35-23,,
8:58.0,,,35-23,,D. Exum enters the game for I. Clark
8:55.0,Jump ball: L. Allen vs. D. Favors (D. Exum gains possession),,,,Jump ball: L. Allen vs. D. Favors (D. Exum gains possession)
8:45.0,,,35-23,,T. Booker misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by C. Miles,,35-23,,
8:26.0,C. Miles makes 3-pt shot from 24 ft (assist by D. Sloan),3,38-23,,
8:12.0,,,38-23,,E. Millsap misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by C. Miles,,38-23,,
8:06.0,L. Scola makes 2-pt shot from 1 ft (assist by C. Copeland),2,40-23,,
8:06.0,,,40-23,,Utah full timeout
8:06.0,,,40-23,,R. Gobert enters the game for T. Booker
8:06.0,,,40-23,,J. Ingles enters the game for E. Millsap
7:47.0,,,40-23,,Turnover by R. Gobert (lost ball; steal by D. Sloan)
7:40.0,Turnover by D. Sloan (lost ball; steal by J. Ingles),,40-23,,
7:22.0,,,40-25,2,J. Ingles makes 2-pt shot from 1 ft
6:57.0,Turnover by D. Sloan (bad pass),,40-25,,
6:47.0,,,40-27,2,G. Hayward makes 2-pt shot at rim
6:29.0,Shooting foul by D. Exum (drawn by L. Allen),,40-27,,
6:29.0,L. Allen makes free throw 1 of 2,1,41-27,,
6:29.0,S. Hill enters the game for C. Copeland,,41-27,,
6:29.0,L. Allen makes free throw 2 of 2,1,42-27,,
6:16.0,,,42-27,,D. Favors misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by D. Sloan,,42-27,,
6:07.0,L. Allen misses 2-pt shot from 19 ft,,42-27,,
6:06.0,,,42-27,,Defensive rebound by G. Hayward
5:51.0,,,42-27,,D. Exum misses 2-pt shot from 3 ft
5:48.0,Defensive rebound by D. Sloan,,42-27,,
5:44.0,D. Sloan misses 2-pt shot from 4 ft (block by D. Favors),,42-27,,
5:43.0,,,42-27,,Defensive rebound by Team
5:43.0,R. Hibbert enters the game for L. Allen,,42-27,,
5:43.0,R. Stuckey enters the game for C. Miles,,42-27,,
5:24.0,,,42-27,,D. Favors misses 2-pt shot from 4 ft
5:23.0,Defensive rebound by R. Hibbert,,42-27,,
5:12.0,R. Hibbert makes 2-pt shot from 17 ft,2,44-27,,
4:33.0,L. Scola makes 2-pt shot from 5 ft,2,46-27,,
4:19.0,,,46-27,,R. Gobert misses 2-pt shot from 4 ft
4:18.0,,,46-27,,Offensive rebound by D. Favors
4:14.0,,,46-29,2,D. Favors makes 2-pt shot from 2 ft
4:01.0,L. Scola misses 2-pt shot from 13 ft,,46-29,,
3:58.0,,,46-29,,Defensive rebound by J. Ingles
3:51.0,,,46-29,,Turnover by J. Ingles (lost ball; steal by R. Stuckey)
3:45.0,R. Stuckey misses 2-pt shot from 2 ft (block by G. Hayward),,46-29,,
3:42.0,Offensive rebound by R. Stuckey,,46-29,,
3:38.0,Indiana full timeout,,46-29,,
3:38.0,D. West enters the game for L. Scola,,46-29,,
3:38.0,,,46-29,,I. Clark enters the game for D. Exum
3:29.0,R. Stuckey makes 2-pt shot from 15 ft,2,48-29,,
3:11.0,,,48-31,2,G. Hayward makes 2-pt shot from 13 ft
2:56.0,R. Stuckey misses 2-pt shot from 8 ft (block by R. Gobert),,48-31,,
2:56.0,Offensive rebound by Team,,48-31,,
2:56.0,C. Watson enters the game for D. Sloan,,48-31,,
2:55.0,Turnover by S. Hill (bad pass; steal by D. Favors),,48-31,,
2:50.0,,,48-31,,Shooting foul by R. Hibbert (drawn by I. Clark)
2:50.0,,,48-31,,Technical foul by R. Gobert
2:50.0,Technical foul by R. Hibbert (drawn by I. Clark),,48-31,,
2:50.0,,,48-32,1,I. Clark makes free throw 1 of 2
2:50.0,,,48-33,1,I. Clark makes free throw 2 of 2
2:26.0,R. Stuckey makes 3-pt shot from 24 ft (assist by S. Hill),3,51-33,,
2:03.0,,,51-33,,J. Ingles misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by S. Hill,,51-33,,
1:36.0,S. Hill misses 3-pt shot from 25 ft,,51-33,,
1:35.0,,,51-33,,Defensive rebound by J. Ingles
1:27.0,,,51-35,2,J. Ingles makes 2-pt shot from 11 ft
1:05.0,R. Hibbert misses 2-pt shot from 11 ft,,51-35,,
1:03.0,,,51-35,,Defensive rebound by J. Ingles
0:56.0,,,51-37,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
0:47.0,Turnover by C. Watson (lost ball; steal by I. Clark),,51-37,,
0:43.0,,,51-39,2,J. Ingles makes 2-pt shot at rim (assist by G. Hayward)
0:43.0,Indiana full timeout,,51-39,,
0:43.0,C. Miles enters the game for S. Hill,,51-39,,
0:33.0,D. West makes 2-pt shot from 18 ft (assist by C. Watson),2,53-39,,
0:22.0,,,53-39,,Turnover by G. Hayward (lost ball; steal by R. Stuckey)
0:16.0,Turnover by D. West (bad pass),,53-39,,
0:02.0,,,53-39,,G. Hayward misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by C. Miles,,53-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-39,,D. Favors misses 2-pt shot from 15 ft
11:43.0,,,53-39,,Offensive rebound by R. Gobert
11:37.0,,,53-39,,J. Ingles misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by Team,,53-39,,
11:11.0,R. Hibbert makes 2-pt shot at rim (assist by D. West),2,55-39,,
10:56.0,,,55-41,2,R. Gobert makes 2-pt shot from 5 ft
10:39.0,C. Watson makes 3-pt shot from 24 ft (assist by D. West),3,58-41,,
10:13.0,,,58-41,,J. Ingles misses 2-pt shot from 5 ft
10:13.0,,,58-41,,Offensive rebound by D. Favors
10:13.0,,,58-41,,Shooting foul by D. West (drawn by D. Favors)
10:13.0,,,58-42,1,D. Favors makes free throw 1 of 2
10:13.0,,,58-42,,D. Favors misses free throw 2 of 2
10:06.0,,,58-42,,Offensive rebound by R. Gobert
10:06.0,,,58-44,2,R. Gobert makes 2-pt shot from 2 ft
9:46.0,R. Stuckey misses 2-pt shot from 18 ft,,58-44,,
9:44.0,,,58-44,,Defensive rebound by D. Favors
9:31.0,,,58-44,,Shooting foul by S. Hill (drawn by R. Gobert)
9:31.0,,,58-44,,R. Gobert misses free throw 1 of 2
9:31.0,,,58-44,,Offensive rebound by Team
9:31.0,,,58-44,,R. Gobert misses free throw 2 of 2
9:30.0,Defensive rebound by R. Hibbert,,58-44,,
9:14.0,D. West misses 2-pt shot from 6 ft (block by R. Gobert),,58-44,,
9:12.0,,,58-44,,Defensive rebound by G. Hayward
9:07.0,,,58-44,,G. Hayward misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by R. Hibbert,,58-44,,
8:49.0,R. Hibbert makes 2-pt shot from 2 ft,2,60-44,,
8:33.0,,,60-47,3,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles)
8:08.0,C. Watson misses 3-pt shot from 23 ft,,60-47,,
8:07.0,,,60-47,,Defensive rebound by J. Ingles
8:00.0,,,60-50,3,D. Exum makes 3-pt shot from 23 ft (assist by G. Hayward)
7:46.0,,,60-50,,Personal foul by D. Favors (drawn by C. Watson)
7:32.0,R. Stuckey makes 2-pt shot from 14 ft,2,62-50,,
7:23.0,,,62-50,,J. Ingles misses 2-pt shot from 4 ft (block by R. Hibbert)
7:21.0,Defensive rebound by S. Hill,,62-50,,
7:15.0,S. Hill makes 2-pt shot from 2 ft,2,64-50,,
7:13.0,Violation by Team (delay of game),,64-50,,
6:55.0,Personal foul by D. West (drawn by G. Hayward),,64-50,,
6:55.0,C. Miles enters the game for R. Stuckey,,64-50,,
6:40.0,,,64-50,,D. Exum misses 2-pt shot from 20 ft
6:39.0,Defensive rebound by S. Hill,,64-50,,
6:17.0,D. West misses 2-pt shot from 5 ft,,64-50,,
6:15.0,,,64-50,,Defensive rebound by R. Gobert
6:00.0,,,64-50,,G. Hayward misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by R. Hibbert,,64-50,,
5:51.0,C. Watson misses 2-pt shot from 8 ft,,64-50,,
5:50.0,Offensive rebound by R. Hibbert,,64-50,,
5:45.0,Turnover by D. West (bad pass),,64-50,,
5:45.0,,,64-50,,Utah full timeout
5:45.0,,,64-50,,I. Clark enters the game for D. Exum
5:23.0,,,64-50,,G. Hayward misses 3-pt shot from 22 ft
5:20.0,Defensive rebound by D. West,,64-50,,
4:57.0,R. Hibbert makes 2-pt shot from 6 ft,2,66-50,,
4:44.0,,,66-50,,J. Ingles misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by R. Hibbert,,66-50,,
4:33.0,,,66-50,,Personal foul by I. Clark (drawn by S. Hill)
4:33.0,,,66-50,,E. Millsap enters the game for G. Hayward
4:22.0,R. Hibbert misses 2-pt shot from 7 ft,,66-50,,
4:21.0,,,66-50,,Defensive rebound by J. Ingles
4:12.0,,,66-50,,Shooting foul by R. Hibbert (drawn by R. Gobert)
4:12.0,,,66-51,1,R. Gobert makes free throw 1 of 2
4:12.0,,,66-51,,R. Gobert misses free throw 2 of 2
4:11.0,,,66-51,,Offensive rebound by D. Favors
3:55.0,,,66-51,,I. Clark misses 2-pt shot from 6 ft
3:54.0,,,66-51,,Offensive rebound by I. Clark
3:51.0,,,66-51,,I. Clark misses 2-pt shot from 6 ft
3:49.0,Defensive rebound by R. Hibbert,,66-51,,
3:46.0,Offensive foul by D. West,,66-51,,
3:46.0,Turnover by D. West (offensive foul),,66-51,,
3:37.0,Personal foul by C. Watson (drawn by I. Clark),,66-51,,
3:37.0,,,66-52,1,I. Clark makes free throw 1 of 2
3:37.0,,,66-52,,T. Booker enters the game for D. Favors
3:37.0,,,66-53,1,I. Clark makes free throw 2 of 2
3:16.0,R. Hibbert makes 2-pt shot from 9 ft,2,68-53,,
2:53.0,,,68-53,,Turnover by I. Clark (bad pass; steal by C. Miles)
2:50.0,,,68-53,,Personal foul by T. Booker (drawn by C. Miles)
2:50.0,Indiana full timeout,,68-53,,
2:50.0,L. Scola enters the game for D. West,,68-53,,
2:50.0,C. Copeland enters the game for S. Hill,,68-53,,
2:47.0,Turnover by L. Scola (lost ball; steal by T. Booker),,68-53,,
2:44.0,,,68-55,2,T. Booker makes 2-pt shot from 2 ft
2:37.0,,,68-55,,Personal foul by E. Millsap (drawn by C. Watson)
2:31.0,Shooting foul by E. Millsap (drawn by C. Watson),,68-55,,
2:31.0,C. Watson makes free throw 1 of 2,1,69-55,,
2:31.0,C. Watson makes free throw 2 of 2,1,70-55,,
2:18.0,,,70-55,,T. Booker misses 2-pt shot from 12 ft
2:17.0,Defensive rebound by C. Copeland,,70-55,,
2:03.0,Shooting foul by T. Booker (drawn by R. Hibbert),,70-55,,
2:03.0,R. Hibbert makes free throw 1 of 2,1,71-55,,
2:03.0,,,71-55,,D. Favors enters the game for T. Booker
2:03.0,R. Hibbert makes free throw 2 of 2,1,72-55,,
1:52.0,,,72-55,,Shooting foul by R. Hibbert (drawn by D. Favors)
1:52.0,,,72-55,,D. Favors misses free throw 1 of 2
1:52.0,,,72-55,,Offensive rebound by Team
1:52.0,,,72-56,1,D. Favors makes free throw 2 of 2
1:36.0,C. Watson misses 2-pt shot from 22 ft,,72-56,,
1:35.0,,,72-56,,Defensive rebound by E. Millsap
1:30.0,,,72-58,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
1:08.0,L. Scola makes 2-pt shot from 17 ft (assist by C. Copeland),2,74-58,,
0:48.0,,,74-60,2,R. Gobert makes 2-pt shot from 1 ft (assist by E. Millsap)
0:32.0,C. Miles misses 2-pt shot from 6 ft,,74-60,,
0:30.0,,,74-60,,Defensive rebound by E. Millsap
0:22.0,,,74-60,,Shooting foul by R. Hibbert (drawn by R. Gobert)
0:22.0,,,74-61,1,R. Gobert makes free throw 1 of 2
0:22.0,L. Allen enters the game for R. Hibbert,,74-61,,
0:22.0,,,74-61,,G. Hayward enters the game for J. Ingles
0:22.0,,,74-62,1,R. Gobert makes free throw 2 of 2
0:01.0,C. Copeland misses 2-pt shot from 4 ft (block by R. Gobert),,74-62,,
0:00.0,Offensive rebound by L. Scola,,74-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,C. Miles misses 3-pt shot from 26 ft,,74-62,,
11:39.0,,,74-62,,Defensive rebound by G. Hayward
11:27.0,,,74-64,2,D. Favors makes 2-pt shot from 1 ft
11:07.0,C. Miles misses 2-pt shot from 2 ft,,74-64,,
11:05.0,,,74-64,,Defensive rebound by D. Favors
10:57.0,,,74-64,,G. Hayward misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by C. Miles,,74-64,,
10:36.0,L. Allen misses 2-pt shot from 9 ft,,74-64,,
10:35.0,,,74-64,,Defensive rebound by E. Millsap
10:32.0,,,74-64,,Shooting foul by C. Miles (drawn by G. Hayward)
10:32.0,,,74-65,1,G. Hayward makes free throw 1 of 2
10:32.0,,,74-66,1,G. Hayward makes free throw 2 of 2
10:08.0,C. Copeland misses 2-pt shot from 21 ft,,74-66,,
10:06.0,Offensive rebound by L. Allen,,74-66,,
10:00.0,Shooting foul by E. Millsap (drawn by D. Sloan),,74-66,,
10:00.0,D. Sloan makes free throw 1 of 2,1,75-66,,
10:00.0,D. Sloan makes free throw 2 of 2,1,76-66,,
9:44.0,,,76-68,2,D. Favors makes 2-pt shot from 19 ft
9:19.0,C. Miles misses 3-pt shot from 26 ft,,76-68,,
9:17.0,,,76-68,,Defensive rebound by G. Hayward
9:08.0,,,76-70,2,T. Booker makes 2-pt shot from 16 ft
9:08.0,Indiana full timeout,,76-70,,
9:08.0,S. Hill enters the game for C. Miles,,76-70,,
8:45.0,C. Copeland misses 2-pt shot from 19 ft,,76-70,,
8:42.0,Offensive rebound by L. Allen,,76-70,,
8:42.0,L. Allen makes 2-pt shot from 8 ft,2,78-70,,
8:24.0,,,78-70,,G. Hayward misses 2-pt shot from 12 ft
8:21.0,,,78-70,,Offensive rebound by D. Favors
8:21.0,,,78-72,2,D. Favors makes 2-pt shot at rim
8:04.0,Turnover by L. Scola (lost ball; steal by E. Millsap),,78-72,,
7:59.0,,,78-74,2,T. Booker makes 2-pt shot at rim (assist by E. Millsap)
7:45.0,D. Sloan makes 3-pt shot from 24 ft,3,81-74,,
7:22.0,,,81-74,,D. Favors misses 2-pt shot from 4 ft (block by L. Allen)
7:20.0,Defensive rebound by L. Scola,,81-74,,
7:16.0,,,81-74,,Personal foul by E. Millsap (drawn by S. Hill)
7:16.0,R. Stuckey enters the game for C. Copeland,,81-74,,
7:16.0,,,81-74,,J. Ingles enters the game for E. Millsap
7:16.0,,,81-74,,I. Clark enters the game for D. Exum
7:10.0,L. Allen misses 2-pt shot from 4 ft,,81-74,,
7:09.0,,,81-74,,Defensive rebound by J. Ingles
7:07.0,,,81-74,,Turnover by J. Ingles (bad pass; steal by S. Hill)
6:59.0,Shooting foul by D. Favors (drawn by L. Scola),,81-74,,
6:59.0,L. Scola makes free throw 1 of 2,1,82-74,,
6:59.0,,,82-74,,R. Gobert enters the game for T. Booker
6:59.0,L. Scola makes free throw 2 of 2,1,83-74,,
6:40.0,,,83-74,,I. Clark misses 3-pt shot from 23 ft
6:39.0,,,83-74,,Offensive rebound by D. Favors
6:37.0,,,83-74,,D. Favors misses 2-pt shot from 2 ft (block by L. Allen)
6:35.0,Defensive rebound by R. Stuckey,,83-74,,
6:14.0,L. Allen misses 2-pt shot from 15 ft,,83-74,,
6:12.0,,,83-74,,Defensive rebound by G. Hayward
6:03.0,,,83-74,,Turnover by G. Hayward (bad pass; steal by S. Hill)
6:00.0,S. Hill makes 2-pt shot at rim,2,85-74,,
6:00.0,Shooting foul by J. Ingles (drawn by S. Hill),,85-74,,
6:00.0,S. Hill makes free throw 1 of 1,1,86-74,,
6:00.0,,,86-74,,Utah full timeout
6:00.0,,,86-74,,E. Millsap enters the game for I. Clark
5:39.0,,,86-76,2,D. Favors makes 2-pt shot from 5 ft (assist by J. Ingles)
5:14.0,L. Scola makes 2-pt shot from 6 ft,2,88-76,,
4:56.0,,,88-76,,E. Millsap misses 2-pt shot from 5 ft
4:56.0,Defensive rebound by Team,,88-76,,
4:56.0,D. West enters the game for L. Scola,,88-76,,
4:38.0,L. Allen misses 2-pt shot from 19 ft,,88-76,,
4:37.0,,,88-76,,Defensive rebound by E. Millsap
4:34.0,,,88-76,,Shooting foul by D. Sloan (drawn by G. Hayward)
4:34.0,,,88-77,1,G. Hayward makes free throw 1 of 2
4:34.0,,,88-77,,D. Exum enters the game for E. Millsap
4:34.0,,,88-77,,T. Booker enters the game for R. Gobert
4:34.0,,,88-78,1,G. Hayward makes free throw 2 of 2
4:15.0,S. Hill makes 2-pt shot from 14 ft (assist by D. Sloan),2,90-78,,
4:15.0,Shooting foul by J. Ingles (drawn by S. Hill),,90-78,,
4:15.0,S. Hill makes free throw 1 of 1,1,91-78,,
4:00.0,,,91-80,2,G. Hayward makes 2-pt shot from 18 ft (assist by D. Favors)
3:33.0,D. West misses 2-pt shot from 11 ft,,91-80,,
3:32.0,,,91-80,,Defensive rebound by J. Ingles
3:16.0,,,91-83,3,D. Exum makes 3-pt shot from 24 ft (assist by T. Booker)
2:56.0,,,91-83,,Personal foul by T. Booker (drawn by R. Stuckey)
2:56.0,Official timeout,,91-83,,
2:56.0,R. Hibbert enters the game for L. Allen,,91-83,,
2:56.0,C. Watson enters the game for D. Sloan,,91-83,,
2:56.0,,,91-83,,R. Gobert enters the game for T. Booker
2:56.0,R. Stuckey makes free throw 1 of 2,1,92-83,,
2:56.0,R. Stuckey makes free throw 2 of 2,1,93-83,,
2:47.0,,,93-85,2,G. Hayward makes 2-pt shot from 18 ft
2:22.0,D. West misses 2-pt shot from 17 ft,,93-85,,
2:22.0,Offensive rebound by S. Hill,,93-85,,
2:22.0,,,93-85,,Loose ball foul by R. Gobert (drawn by R. Hibbert)
2:22.0,R. Hibbert makes free throw 1 of 2,1,94-85,,
2:22.0,C. Miles enters the game for R. Stuckey,,94-85,,
2:22.0,R. Hibbert makes free throw 2 of 2,1,95-85,,
2:04.0,,,95-87,2,D. Exum makes 2-pt shot from 3 ft
1:40.0,R. Hibbert misses 2-pt shot from 16 ft,,95-87,,
1:38.0,Offensive rebound by D. West,,95-87,,
1:26.0,D. West makes 2-pt shot from 20 ft (assist by R. Hibbert),2,97-87,,
1:16.0,,,97-87,,D. Exum misses 3-pt shot from 24 ft
1:14.0,,,97-87,,Offensive rebound by D. Favors
1:10.0,,,97-87,,J. Ingles misses 3-pt shot from 24 ft
1:07.0,,,97-87,,Offensive rebound by J. Ingles
1:05.0,Personal foul by R. Hibbert (drawn by J. Ingles),,97-87,,
1:05.0,,,97-87,,T. Booker enters the game for R. Gobert
1:04.0,,,97-89,2,G. Hayward makes 2-pt shot from 3 ft (assist by J. Ingles)
1:04.0,,,97-89,,Shooting foul by S. Hill (drawn by G. Hayward)
1:04.0,,,97-90,1,G. Hayward makes free throw 1 of 1
1:02.0,,,97-90,,Personal foul by G. Hayward (drawn by S. Hill)
1:02.0,S. Hill makes free throw 1 of 2,1,98-90,,
1:02.0,S. Hill misses free throw 2 of 2,,98-90,,
1:01.0,,,98-90,,Defensive rebound by G. Hayward
0:56.0,,,98-92,2,T. Booker makes 2-pt shot from 3 ft (assist by G. Hayward)
0:56.0,,,98-92,,Shooting foul by R. Hibbert (drawn by T. Booker)
0:56.0,L. Allen enters the game for R. Hibbert,,98-92,,
0:56.0,,,98-93,1,T. Booker makes free throw 1 of 1
0:56.0,Indiana full timeout,,98-93,,
0:56.0,R. Stuckey enters the game for S. Hill,,98-93,,
0:45.0,Indiana full timeout,,98-93,,
