time,Brooklyn,pts.away,score,pts.home,Minnesota
3:06.0,,,23-18,,Defensive rebound by A. Wiggins
3:01.0,,,23-18,,C. Budinger enters the game for A. Wiggins
2:51.0,,,23-18,,K. Martin misses 2-pt shot from 11 ft
2:50.0,,,23-18,,Offensive rebound by J. Hamilton
2:50.0,,,23-20,2,J. Hamilton makes 2-pt shot from 1 ft
2:28.0,J. Johnson misses 3-pt shot from 25 ft,,23-20,,
2:27.0,,,23-20,,Defensive rebound by K. Martin
2:16.0,,,23-22,2,C. Budinger makes 2-pt shot from 1 ft (assist by J. Hamilton)
2:04.0,J. Jack makes 2-pt shot from 7 ft,2,25-22,,
1:50.0,,,25-24,2,G. Dieng makes 2-pt shot at rim (assist by K. Martin)
1:30.0,J. Johnson makes 2-pt shot from 19 ft,2,27-24,,
1:15.0,,,27-24,,Z. LaVine misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by M. Plumlee,,27-24,,
1:09.0,T. Young misses 2-pt shot from 2 ft (block by G. Dieng),,27-24,,
1:08.0,Offensive rebound by Team,,27-24,,
1:08.0,Brooklyn full timeout,,27-24,,
1:08.0,C. Jefferson enters the game for T. Young,,27-24,,
1:05.0,J. Johnson makes 2-pt shot from 21 ft (assist by M. Brown),2,29-24,,
0:46.0,,,29-24,,Shooting foul by M. Plumlee (drawn by J. Hamilton)
0:46.0,,,29-25,1,J. Hamilton makes free throw 1 of 2
0:46.0,,,29-26,1,J. Hamilton makes free throw 2 of 2
0:36.0,J. Johnson makes 2-pt shot from 8 ft,2,31-26,,
0:32.0,,,31-29,3,Z. LaVine makes 3-pt shot from 25 ft
0:13.0,C. Jefferson makes 2-pt shot at rim (assist by J. Jack),2,33-29,,
0:01.0,,,33-29,,K. Martin misses 2-pt shot from 18 ft
0:00.0,,,33-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,33-31,2,C. Budinger makes 2-pt shot from 9 ft (assist by Z. LaVine)
11:37.0,J. Jack makes 2-pt shot from 20 ft,2,35-31,,
11:17.0,,,35-33,2,J. Hamilton makes 2-pt shot at rim (assist by G. Dieng)
11:06.0,B. Bogdanovic makes 2-pt shot from 6 ft (assist by J. Jack),2,37-33,,
10:54.0,,,37-35,2,Z. LaVine makes 2-pt shot from 18 ft
10:44.0,Shooting foul by Z. LaVine (drawn by J. Jack),,37-35,,
10:44.0,J. Jack makes free throw 1 of 2,1,38-35,,
10:44.0,A. Anderson enters the game for M. Brown,,38-35,,
10:44.0,J. Jack makes free throw 2 of 2,1,39-35,,
10:35.0,,,39-35,,Z. LaVine misses 2-pt shot from 3 ft
10:34.0,Defensive rebound by J. Jack,,39-35,,
10:32.0,Turnover by J. Jack (bad pass; steal by C. Budinger),,39-35,,
10:25.0,,,39-38,3,Z. LaVine makes 3-pt shot from 23 ft (assist by A. Wiggins)
10:14.0,Shooting foul by Z. LaVine (drawn by J. Jack),,39-38,,
10:14.0,J. Jack makes free throw 1 of 2,1,40-38,,
10:14.0,,,40-38,,L. Brown enters the game for Z. LaVine
10:14.0,J. Jack makes free throw 2 of 2,1,41-38,,
9:57.0,,,41-38,,A. Wiggins misses 2-pt shot from 13 ft
9:55.0,,,41-38,,Offensive rebound by J. Hamilton
9:55.0,,,41-38,,J. Hamilton misses 2-pt shot at rim
9:54.0,,,41-38,,Offensive rebound by A. Wiggins
9:54.0,,,41-40,2,A. Wiggins makes 2-pt shot at rim
9:36.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,43-40,,
9:17.0,,,43-40,,J. Hamilton misses 2-pt shot from 13 ft
9:16.0,,,43-40,,Offensive rebound by L. Brown
9:14.0,,,43-40,,L. Brown misses 2-pt shot from 9 ft
9:13.0,,,43-40,,Offensive rebound by L. Brown
9:11.0,,,43-40,,C. Budinger misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by M. Plumlee,,43-40,,
9:02.0,,,43-40,,Shooting block foul by G. Dieng (drawn by C. Jefferson)
9:02.0,C. Jefferson misses free throw 1 of 2,,43-40,,
9:02.0,Offensive rebound by Team,,43-40,,
9:02.0,,,43-40,,A. Payne enters the game for G. Dieng
9:02.0,C. Jefferson misses free throw 2 of 2,,43-40,,
9:02.0,,,43-40,,Defensive rebound by J. Hamilton
8:38.0,,,43-40,,J. Hamilton misses 2-pt shot at rim
8:36.0,Defensive rebound by A. Anderson,,43-40,,
8:26.0,,,43-40,,Personal foul by A. Wiggins (drawn by A. Anderson)
8:26.0,Brooklyn full timeout,,43-40,,
8:14.0,A. Anderson makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,46-40,,
7:56.0,,,46-40,,A. Payne misses 2-pt shot from 22 ft
7:55.0,Defensive rebound by J. Jack,,46-40,,
7:45.0,C. Jefferson misses 2-pt shot from 9 ft,,46-40,,
7:44.0,,,46-40,,Defensive rebound by C. Budinger
7:40.0,Personal foul by A. Anderson (drawn by A. Wiggins),,46-40,,
7:27.0,,,46-42,2,C. Budinger makes 2-pt shot at rim (assist by L. Brown)
7:10.0,M. Plumlee makes 2-pt shot at rim,2,48-42,,
6:50.0,,,48-42,,L. Brown misses 2-pt shot from 21 ft
6:50.0,Defensive rebound by Team,,48-42,,
6:42.0,J. Jack misses 2-pt shot from 2 ft,,48-42,,
6:40.0,,,48-42,,Defensive rebound by J. Hamilton
6:32.0,,,48-45,3,C. Budinger makes 3-pt shot from 23 ft (assist by L. Brown)
6:11.0,A. Anderson misses 2-pt shot from 17 ft,,48-45,,
6:10.0,,,48-45,,Defensive rebound by Team
6:10.0,Personal foul by C. Jefferson (drawn by J. Hamilton),,48-45,,
5:53.0,,,48-45,,Shooting foul by A. Anderson (drawn by A. Wiggins)
5:53.0,,,48-45,,Minnesota full timeout
5:53.0,D. Williams enters the game for J. Jack,,48-45,,
5:53.0,M. Brown enters the game for C. Jefferson,,48-45,,
5:53.0,B. Lopez enters the game for M. Plumlee,,48-45,,
5:53.0,T. Young enters the game for A. Anderson,,48-45,,
5:53.0,,,48-46,1,A. Wiggins makes free throw 1 of 2
5:53.0,,,48-47,1,A. Wiggins makes free throw 2 of 2
5:31.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,50-47,,
5:07.0,,,50-49,2,J. Hamilton makes 2-pt shot from 16 ft (assist by A. Payne)
4:50.0,M. Brown misses 2-pt shot from 22 ft,,50-49,,
4:49.0,,,50-49,,Defensive rebound by A. Payne
4:37.0,,,50-51,2,A. Payne makes 2-pt shot from 7 ft (assist by A. Wiggins)
4:27.0,,,50-51,,K. Martin enters the game for C. Budinger
4:27.0,,,50-51,,Z. LaVine enters the game for L. Brown
4:27.0,J. Johnson enters the game for M. Brown,,50-51,,
4:15.0,B. Bogdanovic misses 2-pt shot from 5 ft (block by J. Hamilton),,50-51,,
4:14.0,,,50-51,,Defensive rebound by J. Hamilton
4:10.0,,,50-51,,Turnover by Z. LaVine (bad pass; steal by T. Young)
4:05.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,52-51,,
3:54.0,,,52-51,,A. Payne misses 2-pt shot from 9 ft
3:53.0,Defensive rebound by J. Johnson,,52-51,,
3:41.0,T. Young makes 2-pt shot from 2 ft,2,54-51,,
3:19.0,,,54-51,,Turnover by Z. LaVine (bad pass; steal by B. Bogdanovic)
3:14.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,56-51,,
3:13.0,,,56-51,,Minnesota full timeout
3:13.0,,,56-51,,G. Dieng enters the game for A. Payne
3:13.0,,,56-51,,L. Brown enters the game for Z. LaVine
3:01.0,,,56-51,,L. Brown misses 2-pt shot from 13 ft
3:00.0,,,56-51,,Offensive rebound by L. Brown
2:48.0,,,56-53,2,K. Martin makes 2-pt shot from 18 ft (assist by L. Brown)
2:32.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,58-53,,
2:14.0,,,58-53,,Shooting foul by B. Lopez (drawn by G. Dieng)
2:14.0,Brooklyn full timeout,,58-53,,
2:14.0,,,58-53,,Z. LaVine enters the game for L. Brown
2:14.0,,,58-54,1,G. Dieng makes free throw 1 of 2
2:14.0,,,58-55,1,G. Dieng makes free throw 2 of 2
2:00.0,T. Young misses 2-pt shot from 3 ft,,58-55,,
1:59.0,Offensive rebound by B. Lopez,,58-55,,
1:58.0,B. Lopez makes 2-pt shot from 1 ft,2,60-55,,
1:58.0,Shooting foul by J. Hamilton (drawn by B. Lopez),,60-55,,
1:58.0,B. Lopez makes free throw 1 of 1,1,61-55,,
1:51.0,,,61-55,,Turnover by Z. LaVine (dbl dribble)
1:32.0,B. Bogdanovic misses 3-pt shot from 25 ft,,61-55,,
1:31.0,Offensive rebound by J. Johnson,,61-55,,
1:17.0,D. Williams makes 2-pt shot from 6 ft,2,63-55,,
1:00.0,,,63-55,,Turnover by A. Wiggins (lost ball; steal by J. Johnson)
0:45.0,T. Young makes 2-pt shot from 2 ft (assist by D. Williams),2,65-55,,
0:39.0,,,65-55,,Turnover by Z. LaVine (bad pass; steal by J. Johnson)
0:36.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,67-55,,
0:13.0,,,67-55,,Z. LaVine misses 2-pt shot from 11 ft
0:12.0,,,67-55,,Offensive rebound by G. Dieng
0:10.0,,,67-55,,G. Dieng misses 2-pt shot from 6 ft
0:09.0,Defensive rebound by J. Johnson,,67-55,,
0:01.0,B. Lopez misses 2-pt shot from 7 ft,,67-55,,
0:00.0,Offensive rebound by Team,,67-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Personal foul by J. Johnson (drawn by A. Wiggins),,67-55,,
11:33.0,,,67-55,,Offensive foul by G. Dieng
11:33.0,,,67-55,,Turnover by G. Dieng (offensive foul)
11:16.0,J. Johnson misses 3-pt shot from 24 ft,,67-55,,
11:15.0,,,67-55,,Defensive rebound by A. Payne
11:14.0,,,67-55,,A. Payne misses 2-pt shot from 6 ft (block by B. Lopez)
11:01.0,Defensive rebound by M. Brown,,67-55,,
10:54.0,J. Johnson makes 2-pt shot from 5 ft,2,69-55,,
10:39.0,,,69-55,,K. Martin misses 2-pt shot from 7 ft
10:38.0,Defensive rebound by B. Lopez,,69-55,,
10:27.0,D. Williams misses 2-pt shot from 1 ft (block by G. Dieng),,69-55,,
10:26.0,,,69-55,,Defensive rebound by G. Dieng
10:19.0,,,69-58,3,K. Martin makes 3-pt shot from 22 ft (assist by A. Payne)
10:04.0,,,69-58,,Personal foul by G. Dieng (drawn by B. Lopez)
9:55.0,J. Johnson makes 2-pt shot at rim,2,71-58,,
9:37.0,,,71-58,,G. Dieng misses 2-pt shot from 8 ft
9:35.0,Defensive rebound by J. Johnson,,71-58,,
9:24.0,D. Williams misses 2-pt shot from 16 ft,,71-58,,
9:23.0,Offensive rebound by B. Lopez,,71-58,,
9:22.0,Turnover by B. Lopez (lost ball),,71-58,,
9:05.0,,,71-58,,Turnover by Z. LaVine (bad pass)
8:53.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,73-58,,
8:53.0,,,73-58,,Minnesota full timeout
8:53.0,,,73-58,,L. Brown enters the game for Z. LaVine
8:42.0,,,73-60,2,K. Martin makes 2-pt shot from 16 ft
8:26.0,T. Young misses 2-pt shot from 3 ft (block by G. Dieng),,73-60,,
8:25.0,Offensive rebound by B. Lopez,,73-60,,
8:24.0,Shooting foul by A. Payne (drawn by B. Lopez),,73-60,,
8:24.0,B. Lopez misses free throw 1 of 2,,73-60,,
8:24.0,Offensive rebound by Team,,73-60,,
8:24.0,,,73-60,,J. Hamilton enters the game for A. Payne
8:24.0,B. Lopez makes free throw 2 of 2,1,74-60,,
8:15.0,,,74-60,,Shooting foul by D. Williams (drawn by K. Martin)
8:15.0,,,74-61,1,K. Martin makes free throw 1 of 2
8:15.0,,,74-62,1,K. Martin makes free throw 2 of 2
8:02.0,J. Johnson makes 3-pt shot from 23 ft (assist by T. Young),3,77-62,,
7:53.0,Personal foul by M. Brown (drawn by K. Martin),,77-62,,
7:45.0,,,77-62,,K. Martin misses 2-pt shot from 17 ft
7:44.0,,,77-62,,Offensive rebound by K. Martin
7:31.0,,,77-62,,Turnover by K. Martin (traveling)
7:21.0,T. Young misses 2-pt shot from 7 ft,,77-62,,
7:20.0,,,77-62,,Defensive rebound by L. Brown
7:18.0,,,77-62,,Turnover by L. Brown (lost ball; steal by T. Young)
7:15.0,Shooting foul by K. Martin (drawn by T. Young),,77-62,,
7:15.0,T. Young misses free throw 1 of 2,,77-62,,
7:15.0,Offensive rebound by Team,,77-62,,
7:15.0,,,77-62,,Z. LaVine enters the game for L. Brown
7:15.0,T. Young makes free throw 2 of 2,1,78-62,,
7:03.0,,,78-62,,A. Wiggins misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by M. Brown,,78-62,,
6:58.0,J. Johnson makes 2-pt shot at rim (assist by D. Williams),2,80-62,,
6:58.0,,,80-62,,Minnesota full timeout
6:46.0,,,80-62,,Turnover by A. Wiggins (lost ball)
6:36.0,D. Williams misses 3-pt shot from 25 ft,,80-62,,
6:35.0,,,80-62,,Defensive rebound by K. Martin
6:30.0,,,80-62,,Shooting foul by M. Brown (drawn by K. Martin)
6:30.0,,,80-63,1,K. Martin makes free throw 1 of 2
6:30.0,,,80-64,1,K. Martin makes free throw 2 of 2
6:20.0,T. Young makes 2-pt shot at rim,2,82-64,,
6:06.0,,,82-66,2,A. Wiggins makes 2-pt shot from 12 ft (assist by K. Martin)
5:57.0,Turnover by T. Young (bad pass; steal by J. Hamilton),,82-66,,
5:52.0,,,82-68,2,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins)
5:37.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,84-68,,
5:18.0,,,84-68,,A. Wiggins misses 2-pt shot from 19 ft
5:17.0,Defensive rebound by D. Williams,,84-68,,
5:04.0,D. Williams misses 2-pt shot from 10 ft,,84-68,,
5:02.0,Offensive rebound by B. Lopez,,84-68,,
5:01.0,B. Lopez makes 2-pt shot at rim,2,86-68,,
4:49.0,,,86-71,3,K. Martin makes 3-pt shot from 24 ft
4:31.0,J. Johnson makes 2-pt shot from 16 ft,2,88-71,,
4:18.0,,,88-71,,Turnover by K. Martin (offensive foul)
4:18.0,,,88-71,,Offensive charge foul by K. Martin
4:18.0,,,88-71,,A. Payne enters the game for G. Dieng
4:18.0,M. Plumlee enters the game for B. Lopez,,88-71,,
4:00.0,M. Plumlee makes 2-pt shot from 3 ft,2,90-71,,
3:51.0,Personal foul by M. Brown (drawn by K. Martin),,90-71,,
3:51.0,J. Jack enters the game for D. Williams,,90-71,,
3:51.0,,,90-72,1,K. Martin makes free throw 1 of 2
3:51.0,,,90-72,,C. Budinger enters the game for A. Wiggins
3:51.0,,,90-73,1,K. Martin makes free throw 2 of 2
3:42.0,T. Young misses 2-pt shot from 6 ft,,90-73,,
3:41.0,,,90-73,,Defensive rebound by A. Payne
3:33.0,,,90-73,,Offensive foul by A. Payne
3:33.0,,,90-73,,Turnover by A. Payne (offensive foul)
3:24.0,T. Young misses 2-pt shot from 2 ft,,90-73,,
3:22.0,Offensive rebound by T. Young,,90-73,,
3:20.0,T. Young makes 2-pt shot from 2 ft,2,92-73,,
3:02.0,,,92-75,2,A. Payne makes 2-pt shot from 19 ft (assist by K. Martin)
3:02.0,Brooklyn full timeout,,92-75,,
3:02.0,,,92-75,,G. Dieng enters the game for A. Payne
3:02.0,B. Bogdanovic enters the game for J. Johnson,,92-75,,
2:51.0,Turnover by M. Brown (traveling),,92-75,,
2:34.0,,,92-78,3,C. Budinger makes 3-pt shot from 24 ft (assist by K. Martin)
2:16.0,M. Brown misses 2-pt shot from 21 ft,,92-78,,
2:15.0,,,92-78,,Defensive rebound by C. Budinger
2:09.0,,,92-78,,Z. LaVine misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by M. Plumlee,,92-78,,
1:50.0,Turnover by B. Bogdanovic (3 sec),,92-78,,
1:35.0,,,92-78,,K. Martin misses 2-pt shot from 10 ft
1:35.0,Defensive rebound by M. Plumlee,,92-78,,
1:26.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,94-78,,
1:11.0,,,94-78,,J. Hamilton misses 2-pt shot from 2 ft
1:10.0,Defensive rebound by M. Plumlee,,94-78,,
1:04.0,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic),2,96-78,,
0:44.0,Personal foul by M. Plumlee (drawn by G. Dieng),,96-78,,
0:44.0,,,96-79,1,G. Dieng makes free throw 1 of 2
0:44.0,,,96-79,,G. Dieng misses free throw 2 of 2
0:44.0,Defensive rebound by M. Plumlee,,96-79,,
0:35.0,Turnover by J. Jack (step out of bounds),,96-79,,
0:31.0,,,96-79,,Z. LaVine misses 2-pt shot from 18 ft
0:30.0,Defensive rebound by B. Bogdanovic,,96-79,,
0:09.0,J. Jack makes 2-pt shot from 2 ft,2,98-79,,
0:02.0,,,98-79,,Z. LaVine misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by B. Bogdanovic,,98-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Jefferson misses 2-pt shot from 19 ft,,98-79,,
11:43.0,,,98-79,,Defensive rebound by L. Brown
11:23.0,,,98-81,2,K. Martin makes 2-pt shot from 16 ft (assist by J. Hamilton)
11:00.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,100-81,,
10:40.0,,,100-83,2,C. Budinger makes 2-pt shot from 1 ft (assist by G. Dieng)
10:26.0,J. Jack makes 2-pt shot from 5 ft,2,102-83,,
10:09.0,,,102-85,2,J. Hamilton makes 2-pt shot from 2 ft
9:54.0,B. Bogdanovic misses 3-pt shot from 22 ft,,102-85,,
9:53.0,,,102-85,,Defensive rebound by G. Dieng
9:46.0,,,102-85,,K. Martin misses 3-pt shot from 24 ft (block by J. Jack)
9:44.0,,,102-85,,Offensive rebound by C. Budinger
9:40.0,,,102-85,,K. Martin misses 3-pt shot from 23 ft
9:39.0,Defensive rebound by J. Jack,,102-85,,
9:26.0,J. Jack makes 2-pt shot from 5 ft,2,104-85,,
9:08.0,,,104-87,2,G. Dieng makes 2-pt shot from 6 ft (assist by L. Brown)
8:53.0,J. Jack misses 2-pt shot from 11 ft,,104-87,,
8:51.0,,,104-87,,Defensive rebound by J. Hamilton
8:41.0,,,104-87,,J. Hamilton misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by M. Plumlee,,104-87,,
8:33.0,Turnover by J. Jack (bad pass),,104-87,,
8:33.0,,,104-87,,Minnesota full timeout
8:33.0,,,104-87,,A. Payne enters the game for G. Dieng
8:33.0,,,104-87,,A. Wiggins enters the game for K. Martin
8:13.0,,,104-89,2,C. Budinger makes 2-pt shot at rim
7:57.0,B. Bogdanovic makes 2-pt shot from 13 ft (assist by J. Jack),2,106-89,,
7:42.0,,,106-89,,A. Payne misses 2-pt shot from 20 ft
7:41.0,Defensive rebound by B. Bogdanovic,,106-89,,
7:18.0,J. Jack misses 2-pt shot from 18 ft,,106-89,,
7:17.0,,,106-89,,Defensive rebound by C. Budinger
7:08.0,,,106-91,2,J. Hamilton makes 2-pt shot from 1 ft
7:08.0,,,106-91,,Shooting foul by C. Jefferson (drawn by J. Hamilton)
7:08.0,,,106-92,1,J. Hamilton makes free throw 1 of 1
6:58.0,Shooting foul by A. Payne (drawn by M. Plumlee),,106-92,,
6:58.0,M. Plumlee makes free throw 1 of 2,1,107-92,,
6:58.0,,,107-92,,G. Dieng enters the game for A. Payne
6:58.0,M. Plumlee makes free throw 2 of 2,1,108-92,,
6:46.0,,,108-92,,J. Hamilton misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by M. Plumlee,,108-92,,
6:40.0,C. Jefferson misses 2-pt shot from 2 ft (block by J. Hamilton),,108-92,,
6:38.0,Offensive rebound by J. Jack,,108-92,,
6:36.0,C. Jefferson misses 2-pt shot from 2 ft (block by L. Brown),,108-92,,
6:35.0,Offensive rebound by C. Jefferson,,108-92,,
6:34.0,C. Jefferson makes 2-pt shot at rim,2,110-92,,
6:13.0,,,110-94,2,J. Hamilton makes 2-pt shot from 8 ft (assist by C. Budinger)
6:05.0,,,110-94,,Personal foul by L. Brown (drawn by J. Jack)
5:55.0,Turnover by C. Jefferson (offensive foul),,110-94,,
5:55.0,Offensive charge foul by C. Jefferson,,110-94,,
5:55.0,,,110-94,,Minnesota full timeout
5:55.0,T. Young enters the game for C. Jefferson,,110-94,,
5:34.0,,,110-94,,L. Brown misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by Team,,110-94,,
5:18.0,B. Bogdanovic makes 3-pt shot from 25 ft,3,113-94,,
5:04.0,,,113-94,,J. Hamilton misses 2-pt shot from 1 ft
5:03.0,,,113-94,,Offensive rebound by A. Wiggins
5:02.0,,,113-94,,A. Wiggins misses 2-pt shot at rim
5:00.0,Defensive rebound by B. Bogdanovic,,113-94,,
4:56.0,B. Bogdanovic makes 2-pt shot at rim,2,115-94,,
4:48.0,Violation by B. Bogdanovic (kicked ball),,115-94,,
4:43.0,,,115-96,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
4:29.0,Turnover by T. Young (lost ball),,115-96,,
4:12.0,,,115-96,,J. Hamilton misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by M. Plumlee,,115-96,,
3:58.0,Turnover by J. Jack (bad pass; steal by G. Dieng),,115-96,,
3:53.0,,,115-96,,L. Brown misses 2-pt shot from 1 ft
3:52.0,,,115-96,,Offensive rebound by G. Dieng
3:52.0,,,115-98,2,G. Dieng makes 2-pt shot from 1 ft
3:31.0,J. Jack makes 2-pt shot from 9 ft,2,117-98,,
3:10.0,,,117-100,2,C. Budinger makes 2-pt shot from 5 ft (assist by L. Brown)
2:54.0,Turnover by B. Bogdanovic (discontinued dribble),,117-100,,
2:54.0,Brooklyn full timeout,,117-100,,
2:54.0,,,117-100,,A. Payne enters the game for J. Hamilton
2:54.0,,,117-100,,Z. LaVine enters the game for L. Brown
2:30.0,,,117-100,,A. Wiggins misses 2-pt shot from 20 ft
2:29.0,Defensive rebound by J. Jack,,117-100,,
2:13.0,B. Bogdanovic misses 2-pt shot from 17 ft,,117-100,,
2:12.0,,,117-100,,Defensive rebound by A. Wiggins
2:02.0,,,117-102,2,A. Payne makes 2-pt shot from 20 ft (assist by C. Budinger)
2:00.0,Brooklyn full timeout,,117-102,,
2:00.0,J. Jordan enters the game for M. Plumlee,,117-102,,
2:00.0,C. Jefferson enters the game for T. Young,,117-102,,
2:00.0,D. Morris enters the game for J. Jack,,117-102,,
1:45.0,A. Anderson misses 2-pt shot from 12 ft,,117-102,,
1:44.0,,,117-102,,Defensive rebound by Z. LaVine
1:37.0,,,117-104,2,Z. LaVine makes 2-pt shot from 2 ft
1:36.0,Turnover by J. Jordan (bad pass; steal by G. Dieng),,117-104,,
1:33.0,,,117-106,2,Z. LaVine makes 2-pt shot from 1 ft
1:14.0,J. Jordan makes 2-pt shot from 1 ft,2,119-106,,
