time,Philadelphia,pts.away,score,pts.home,Orlando
4:18.0,,,16-15,,E. Fournier enters the game for T. Harris
4:18.0,T. Frazier enters the game for I. Canaan,,16-15,,
4:16.0,,,16-18,3,C. Frye makes 3-pt shot from 24 ft (assist by E. Fournier)
3:52.0,Turnover by R. Covington (traveling),,16-18,,
3:39.0,,,16-18,,E. Fournier misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by R. Covington,,16-18,,
3:26.0,R. Covington makes 2-pt shot from 14 ft,2,18-18,,
3:11.0,Personal foul by R. Covington (drawn by E. Fournier),,18-18,,
3:11.0,J. Sampson enters the game for R. Covington,,18-18,,
3:04.0,,,18-20,2,N. Vucevic makes 2-pt shot from 7 ft
2:55.0,,,18-20,,Violation by E. Payton (kicked ball)
2:55.0,,,18-20,,Orlando full timeout
2:55.0,,,18-20,,L. Ridnour enters the game for E. Payton
2:47.0,,,18-20,,Personal foul by E. Fournier (drawn by F. Aldemir)
2:38.0,Shooting foul by L. Ridnour (drawn by N. Noel),,18-20,,
2:38.0,N. Noel misses free throw 1 of 2,,18-20,,
2:38.0,Offensive rebound by Team,,18-20,,
2:38.0,N. Noel makes free throw 2 of 2,1,19-20,,
2:19.0,,,19-22,2,C. Frye makes 2-pt shot from 22 ft (assist by V. Oladipo)
2:00.0,,,19-22,,Personal foul by C. Frye (drawn by N. Noel)
2:00.0,,,19-22,,A. Nicholson enters the game for C. Frye
1:49.0,N. Noel makes 2-pt shot from 18 ft (assist by J. Grant),2,21-22,,
1:32.0,,,21-22,,Turnover by E. Fournier (lost ball; steal by F. Aldemir)
1:25.0,J. Sampson misses 2-pt shot at rim,,21-22,,
1:21.0,,,21-22,,Defensive rebound by N. Vucevic
1:18.0,,,21-24,2,V. Oladipo makes 2-pt shot from 18 ft
1:10.0,Turnover by T. Frazier (bad pass; steal by A. Nicholson),,21-24,,
1:07.0,,,21-26,2,A. Nicholson makes 2-pt shot from 1 ft
1:07.0,,,21-26,,Shooting foul by T. Frazier (drawn by A. Nicholson)
1:07.0,,,21-26,,D. Dedmon enters the game for N. Vucevic
1:07.0,J. McGee enters the game for F. Aldemir,,21-26,,
1:07.0,H. Thompson enters the game for N. Noel,,21-26,,
1:07.0,,,21-27,1,A. Nicholson makes free throw 1 of 1
0:57.0,J. Grant makes 2-pt shot from 20 ft,2,23-27,,
0:44.0,,,23-29,2,V. Oladipo makes 2-pt shot from 2 ft
0:30.0,Jump ball: E. Fournier vs. J. Sampson,,,,Jump ball: E. Fournier vs. J. Sampson
0:23.0,T. Frazier misses 2-pt shot from 19 ft,,23-29,,
0:20.0,,,23-29,,Defensive rebound by Team
0:03.0,,,23-29,,Turnover by V. Oladipo (bad pass)
0:00.0,J. Sampson misses 3-pt shot from 46 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Violation by J. McGee (def goaltending),,23-29,,
11:41.0,,,23-31,2,A. Nicholson makes 2-pt shot from 7 ft
11:32.0,Turnover by H. Thompson (bad pass),,23-31,,
11:16.0,,,23-33,2,L. Ridnour makes 2-pt shot from 15 ft (assist by A. Nicholson)
10:59.0,J. McGee makes 2-pt shot from 8 ft,2,25-33,,
10:45.0,,,25-33,,A. Nicholson misses 2-pt shot from 6 ft
10:43.0,Defensive rebound by T. Frazier,,25-33,,
10:37.0,J. Grant makes 3-pt shot from 23 ft (assist by T. Frazier),3,28-33,,
10:37.0,Shooting foul by A. Nicholson (drawn by J. Grant),,28-33,,
10:37.0,J. Grant makes free throw 1 of 1,1,29-33,,
10:15.0,,,29-33,,A. Nicholson misses 3-pt shot from 28 ft
10:14.0,Defensive rebound by J. McGee,,29-33,,
10:07.0,H. Thompson makes 3-pt shot from 29 ft (assist by T. Frazier),3,32-33,,
10:06.0,,,32-33,,Orlando full timeout
10:06.0,,,32-33,,T. Harris enters the game for A. Nicholson
9:50.0,,,32-33,,Turnover by T. Harris (bad pass; steal by J. Sampson)
9:46.0,Shooting foul by D. Dedmon (drawn by J. Grant),,32-33,,
9:46.0,J. Grant makes free throw 1 of 2,1,33-33,,
9:46.0,J. Grant misses free throw 2 of 2,,33-33,,
9:45.0,,,33-33,,Defensive rebound by D. Dedmon
9:35.0,,,33-33,,W. Green misses 3-pt shot from 24 ft
9:34.0,,,33-33,,Offensive rebound by L. Ridnour
9:22.0,Violation by J. McGee (def goaltending),,33-33,,
9:22.0,,,33-35,2,T. Harris makes 2-pt shot from 8 ft
9:05.0,T. Frazier makes 2-pt shot from 22 ft,2,35-35,,
9:01.0,Personal foul by T. Frazier (drawn by L. Ridnour),,35-35,,
9:01.0,R. Covington enters the game for J. Grant,,35-35,,
8:49.0,,,35-37,2,W. Green makes 2-pt shot from 19 ft (assist by T. Harris)
8:43.0,Shooting foul by L. Ridnour (drawn by T. Frazier),,35-37,,
8:43.0,T. Frazier misses free throw 1 of 2,,35-37,,
8:43.0,Offensive rebound by Team,,35-37,,
8:43.0,,,35-37,,E. Payton enters the game for L. Ridnour
8:43.0,T. Frazier makes free throw 2 of 2,1,36-37,,
8:31.0,,,36-37,,Turnover by T. Harris (lost ball)
8:31.0,I. Canaan enters the game for T. Frazier,,36-37,,
8:21.0,Turnover by J. McGee (lost ball),,36-37,,
8:21.0,,,36-37,,V. Oladipo enters the game for E. Fournier
8:08.0,,,36-40,3,W. Green makes 3-pt shot from 24 ft (assist by E. Payton)
7:47.0,R. Covington makes 3-pt shot from 24 ft,3,39-40,,
7:31.0,,,39-40,,Offensive foul by D. Dedmon
7:31.0,,,39-40,,Turnover by D. Dedmon (offensive foul)
7:31.0,,,39-40,,N. Vucevic enters the game for D. Dedmon
7:31.0,N. Noel enters the game for J. McGee,,39-40,,
7:09.0,I. Canaan makes 3-pt shot from 26 ft,3,42-40,,
6:49.0,,,42-40,,Offensive charge foul by T. Harris
6:49.0,,,42-40,,Turnover by T. Harris (offensive foul)
6:49.0,J. Richardson enters the game for J. Sampson,,42-40,,
6:49.0,,,42-40,,C. Frye enters the game for T. Harris
6:35.0,R. Covington misses 2-pt shot from 19 ft,,42-40,,
6:32.0,Offensive rebound by I. Canaan,,42-40,,
6:32.0,Jump ball: I. Canaan vs. V. Oladipo,,,,Jump ball: I. Canaan vs. V. Oladipo
6:18.0,H. Thompson misses 2-pt shot from 10 ft,,42-40,,
6:17.0,,,42-40,,Defensive rebound by C. Frye
6:09.0,,,42-40,,C. Frye misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by J. Richardson,,42-40,,
6:01.0,J. Richardson misses 3-pt shot from 24 ft,,42-40,,
6:00.0,,,42-40,,Defensive rebound by Team
5:49.0,,,42-40,,E. Payton misses 2-pt shot from 7 ft (block by I. Canaan)
5:49.0,,,42-40,,Offensive rebound by Team
5:49.0,Official timeout,,42-40,,
5:43.0,,,42-40,,N. Vucevic misses 2-pt shot from 16 ft
5:42.0,Defensive rebound by R. Covington,,42-40,,
5:34.0,H. Thompson makes 3-pt shot from 25 ft (assist by R. Covington),3,45-40,,
5:18.0,,,45-40,,V. Oladipo misses 3-pt shot from 26 ft
5:17.0,,,45-40,,Offensive rebound by N. Vucevic
5:08.0,,,45-42,2,N. Vucevic makes 2-pt shot from 1 ft (assist by W. Green)
5:08.0,,,45-42,,Shooting foul by J. Richardson (drawn by N. Vucevic)
5:08.0,,,45-43,1,N. Vucevic makes free throw 1 of 1
4:58.0,Turnover by I. Canaan (bad pass),,45-43,,
4:58.0,Personal foul by N. Noel (drawn by V. Oladipo),,45-43,,
4:58.0,,,45-43,,A. Gordon enters the game for C. Frye
4:44.0,,,45-45,2,W. Green makes 2-pt shot from 2 ft (assist by A. Gordon)
4:36.0,Turnover by R. Covington (lost ball; steal by E. Payton),,45-45,,
4:31.0,,,45-45,,A. Gordon misses 2-pt shot from 1 ft
4:29.0,,,45-45,,Offensive rebound by A. Gordon
4:29.0,,,45-45,,A. Gordon misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by R. Covington,,45-45,,
4:18.0,I. Canaan misses 3-pt shot from 26 ft,,45-45,,
4:17.0,,,45-45,,Defensive rebound by N. Vucevic
4:10.0,,,45-45,,V. Oladipo misses 2-pt shot from 1 ft
4:08.0,,,45-45,,Offensive rebound by N. Vucevic
4:08.0,,,45-47,2,N. Vucevic makes 2-pt shot at rim
3:50.0,Shooting foul by N. Vucevic (drawn by N. Noel),,45-47,,
3:50.0,N. Noel makes free throw 1 of 2,1,46-47,,
3:50.0,H. Sims enters the game for H. Thompson,,46-47,,
3:50.0,N. Noel makes free throw 2 of 2,1,47-47,,
3:37.0,,,47-49,2,E. Payton makes 2-pt shot from 2 ft
3:26.0,R. Covington misses 3-pt shot from 24 ft,,47-49,,
3:24.0,,,47-49,,Defensive rebound by V. Oladipo
3:23.0,,,47-49,,Shooting foul by H. Sims (drawn by V. Oladipo)
3:23.0,,,47-50,1,V. Oladipo makes free throw 1 of 2
3:23.0,,,47-51,1,V. Oladipo makes free throw 2 of 2
3:16.0,Turnover by I. Canaan (lost ball),,47-51,,
3:00.0,,,47-51,,Turnover by V. Oladipo (bad pass; steal by R. Covington)
2:53.0,Philadelphia full timeout,,47-51,,
2:39.0,N. Noel misses 2-pt shot from 14 ft,,47-51,,
2:39.0,Offensive rebound by Team,,47-51,,
2:35.0,N. Noel misses 2-pt shot from 20 ft,,47-51,,
2:33.0,,,47-51,,Defensive rebound by N. Vucevic
2:24.0,,,47-51,,A. Gordon misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by R. Covington,,47-51,,
2:11.0,H. Sims misses 2-pt shot from 11 ft,,47-51,,
2:09.0,,,47-51,,Defensive rebound by E. Payton
2:09.0,,,47-51,,Turnover by E. Payton (step out of bounds)
2:08.0,Turnover by R. Covington (bad pass; steal by A. Gordon),,47-51,,
2:04.0,,,47-51,,Shooting foul by I. Canaan (drawn by V. Oladipo)
2:04.0,,,47-52,1,V. Oladipo makes free throw 1 of 2
2:04.0,J. Grant enters the game for R. Covington,,47-52,,
2:04.0,,,47-53,1,V. Oladipo makes free throw 2 of 2
1:42.0,Turnover by I. Canaan (bad pass; steal by W. Green),,47-53,,
1:39.0,,,47-55,2,W. Green makes 2-pt shot at rim
1:12.0,I. Canaan misses 2-pt shot from 20 ft,,47-55,,
1:11.0,,,47-55,,Defensive rebound by A. Gordon
0:57.0,,,47-55,,N. Vucevic misses 2-pt shot from 2 ft (block by N. Noel)
0:55.0,Defensive rebound by J. Richardson,,47-55,,
0:48.0,J. Richardson misses 3-pt shot from 23 ft,,47-55,,
0:46.0,,,47-55,,Defensive rebound by W. Green
0:30.0,,,47-55,,A. Gordon misses 2-pt shot from 11 ft
0:29.0,Defensive rebound by N. Noel,,47-55,,
0:24.0,Philadelphia full timeout,,47-55,,
0:06.0,J. Richardson misses 2-pt shot from 5 ft,,47-55,,
0:03.0,Offensive rebound by H. Sims,,47-55,,
0:01.0,H. Sims misses 2-pt shot from 8 ft,,47-55,,
0:00.0,,,47-55,,Defensive rebound by E. Payton
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,47-55,,Turnover by V. Oladipo (step out of bounds)
11:40.0,H. Sims misses 2-pt shot from 21 ft,,47-55,,
11:37.0,Offensive rebound by H. Sims,,47-55,,
11:28.0,I. Canaan misses 3-pt shot from 27 ft,,47-55,,
11:26.0,,,47-55,,Defensive rebound by V. Oladipo
11:13.0,,,47-55,,T. Harris misses 3-pt shot from 23 ft
11:11.0,,,47-55,,Offensive rebound by N. Vucevic
11:11.0,,,47-55,,N. Vucevic misses 2-pt shot at rim
11:08.0,Defensive rebound by H. Sims,,47-55,,
10:51.0,H. Sims makes 2-pt shot from 19 ft (assist by I. Canaan),2,49-55,,
10:33.0,,,49-55,,T. Harris misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by H. Sims,,49-55,,
10:26.0,I. Canaan misses 2-pt shot from 3 ft (block by C. Frye),,49-55,,
10:24.0,,,49-55,,Defensive rebound by E. Payton
10:17.0,,,49-55,,C. Frye misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by R. Covington,,49-55,,
10:10.0,Offensive foul by H. Sims,,49-55,,
10:10.0,Turnover by H. Sims (offensive foul),,49-55,,
9:51.0,,,49-55,,Turnover by V. Oladipo (lost ball; steal by N. Noel)
9:49.0,,,49-55,,Personal foul by C. Frye (drawn by R. Covington)
9:35.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Richardson),3,52-55,,
9:19.0,,,52-55,,E. Payton misses 2-pt shot from 2 ft
9:18.0,,,52-55,,Offensive rebound by N. Vucevic
9:18.0,,,52-57,2,N. Vucevic makes 2-pt shot from 1 ft
8:49.0,,,52-57,,Personal foul by V. Oladipo (drawn by J. Richardson)
8:37.0,H. Sims misses 2-pt shot from 16 ft,,52-57,,
8:36.0,Offensive rebound by J. Richardson,,52-57,,
8:23.0,J. Richardson makes 3-pt shot from 23 ft (assist by H. Sims),3,55-57,,
8:05.0,,,55-57,,N. Vucevic misses 2-pt shot from 14 ft
8:03.0,Defensive rebound by H. Sims,,55-57,,
7:57.0,I. Canaan makes 3-pt shot from 28 ft,3,58-57,,
7:56.0,,,58-57,,Orlando full timeout
7:56.0,,,58-57,,W. Green enters the game for T. Harris
7:44.0,Personal foul by N. Noel (drawn by N. Vucevic),,58-57,,
7:36.0,,,58-57,,V. Oladipo misses 3-pt shot from 26 ft
7:34.0,,,58-57,,Offensive rebound by N. Vucevic
7:34.0,,,58-59,2,N. Vucevic makes 2-pt shot at rim
7:26.0,,,58-59,,Personal foul by V. Oladipo (drawn by J. Richardson)
7:22.0,I. Canaan misses 3-pt shot from 25 ft,,58-59,,
7:21.0,,,58-59,,Defensive rebound by C. Frye
7:00.0,,,58-61,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
6:50.0,R. Covington misses 3-pt shot from 24 ft,,58-61,,
6:48.0,,,58-61,,Defensive rebound by V. Oladipo
6:42.0,,,58-61,,Shooting foul by J. Richardson (drawn by N. Vucevic)
6:42.0,,,58-62,1,N. Vucevic makes free throw 1 of 2
6:42.0,,,58-62,,N. Vucevic misses free throw 2 of 2
6:41.0,Defensive rebound by R. Covington,,58-62,,
6:31.0,Turnover by H. Sims (bad pass),,58-62,,
6:20.0,,,58-62,,C. Frye misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by Team,,58-62,,
5:57.0,J. Richardson makes 2-pt shot from 9 ft (assist by N. Noel),2,60-62,,
5:32.0,,,60-64,2,N. Vucevic makes 2-pt shot from 1 ft
5:13.0,J. Richardson misses 3-pt shot from 24 ft,,60-64,,
5:12.0,,,60-64,,Defensive rebound by N. Vucevic
5:05.0,,,60-64,,W. Green misses 2-pt shot from 20 ft
5:04.0,Defensive rebound by R. Covington,,60-64,,
4:49.0,N. Noel misses 2-pt shot from 3 ft,,60-64,,
4:46.0,Offensive rebound by I. Canaan,,60-64,,
4:44.0,,,60-64,,Personal foul by C. Frye (drawn by N. Noel)
4:44.0,H. Thompson enters the game for J. Richardson,,60-64,,
4:38.0,H. Sims misses 2-pt shot from 18 ft,,60-64,,
4:36.0,,,60-64,,Defensive rebound by N. Vucevic
4:28.0,,,60-66,2,E. Payton makes 2-pt shot from 1 ft
4:07.0,,,60-66,,Personal foul by E. Payton (drawn by N. Noel)
4:07.0,N. Noel makes free throw 1 of 2,1,61-66,,
4:07.0,,,61-66,,E. Fournier enters the game for V. Oladipo
4:07.0,J. Sampson enters the game for I. Canaan,,61-66,,
4:07.0,T. Frazier enters the game for H. Sims,,61-66,,
4:07.0,N. Noel misses free throw 2 of 2,,61-66,,
4:06.0,,,61-66,,Defensive rebound by C. Frye
3:48.0,,,61-69,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Fournier)
3:32.0,J. Sampson misses 3-pt shot from 25 ft,,61-69,,
3:31.0,,,61-69,,Defensive rebound by N. Vucevic
3:20.0,,,61-69,,C. Frye misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by N. Noel,,61-69,,
3:14.0,Philadelphia full timeout,,61-69,,
3:14.0,,,61-69,,A. Gordon enters the game for C. Frye
2:59.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Noel),2,63-69,,
2:41.0,,,63-71,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
2:29.0,N. Noel makes 2-pt shot from 13 ft (assist by T. Frazier),2,65-71,,
2:13.0,,,65-73,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
1:58.0,J. Sampson makes 2-pt shot from 5 ft,2,67-73,,
1:47.0,Personal foul by R. Covington (drawn by N. Vucevic),,67-73,,
1:47.0,J. McGee enters the game for R. Covington,,67-73,,
1:47.0,F. Aldemir enters the game for N. Noel,,67-73,,
1:41.0,,,67-73,,E. Payton misses 2-pt shot from 8 ft
1:39.0,Defensive rebound by J. McGee,,67-73,,
1:21.0,F. Aldemir misses 2-pt shot from 2 ft,,67-73,,
1:19.0,Offensive rebound by H. Thompson,,67-73,,
1:19.0,H. Thompson misses 2-pt shot at rim,,67-73,,
1:17.0,,,67-73,,Defensive rebound by E. Payton
1:10.0,,,67-73,,W. Green misses 3-pt shot from 24 ft
1:10.0,,,67-73,,Offensive rebound by A. Gordon
1:10.0,,,67-75,2,A. Gordon makes 2-pt shot from 1 ft
1:10.0,,,67-75,,Shooting foul by F. Aldemir (drawn by A. Gordon)
1:10.0,,,67-75,,L. Ridnour enters the game for E. Payton
1:10.0,,,67-76,1,A. Gordon makes free throw 1 of 1
0:53.0,J. McGee misses 2-pt shot from 11 ft,,67-76,,
0:51.0,Offensive rebound by F. Aldemir,,67-76,,
0:42.0,Turnover by J. Sampson (bad pass),,67-76,,
0:42.0,,,67-76,,D. Dedmon enters the game for N. Vucevic
0:37.0,,,67-76,,W. Green misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by J. McGee,,67-76,,
0:25.0,H. Thompson makes 2-pt shot at rim (assist by T. Frazier),2,69-76,,
0:02.0,,,69-76,,L. Ridnour misses 3-pt shot from 22 ft
0:01.0,,,69-76,,Offensive rebound by D. Dedmon
0:00.0,,,69-76,,D. Dedmon misses 2-pt shot at rim (block by J. Sampson)
0:00.0,,,69-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,H. Thompson makes 2-pt shot from 11 ft,2,71-76,,
11:17.0,,,71-79,3,W. Green makes 3-pt shot from 23 ft (assist by E. Fournier)
11:00.0,Turnover by F. Aldemir (bad pass),,71-79,,
10:53.0,,,71-79,,Offensive foul by D. Dedmon
10:53.0,,,71-79,,Turnover by D. Dedmon (offensive foul)
10:39.0,Turnover by J. McGee (bad pass; steal by L. Ridnour),,71-79,,
10:31.0,,,71-79,,E. Fournier misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by T. Frazier,,71-79,,
10:30.0,,,71-79,,Personal foul by D. Dedmon (drawn by T. Frazier)
10:18.0,H. Thompson makes 2-pt shot from 12 ft,2,73-79,,
9:58.0,,,73-79,,Turnover by L. Ridnour (bad pass; steal by T. Frazier)
9:55.0,T. Frazier makes 2-pt shot from 1 ft,2,75-79,,
9:55.0,Shooting foul by A. Gordon (drawn by T. Frazier),,75-79,,
9:55.0,,,75-79,,T. Harris enters the game for A. Gordon
9:55.0,,,75-79,,V. Oladipo enters the game for E. Fournier
9:55.0,T. Frazier makes free throw 1 of 1,1,76-79,,
9:47.0,,,76-81,2,W. Green makes 2-pt shot from 20 ft
9:31.0,J. Sampson makes 3-pt shot from 25 ft (assist by T. Frazier),3,79-81,,
9:05.0,,,79-84,3,V. Oladipo makes 3-pt shot from 26 ft (assist by W. Green)
8:48.0,T. Frazier misses 3-pt shot from 26 ft,,79-84,,
8:47.0,Offensive rebound by F. Aldemir,,79-84,,
8:42.0,T. Frazier misses 2-pt shot from 8 ft,,79-84,,
8:39.0,Offensive rebound by F. Aldemir,,79-84,,
8:34.0,H. Thompson misses 3-pt shot from 25 ft,,79-84,,
8:33.0,,,79-84,,Defensive rebound by Team
8:33.0,Official timeout,,79-84,,
8:33.0,J. Richardson enters the game for F. Aldemir,,79-84,,
8:33.0,R. Covington enters the game for J. Sampson,,79-84,,
8:13.0,,,79-84,,V. Oladipo misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by H. Thompson,,79-84,,
7:53.0,R. Covington misses 3-pt shot from 25 ft,,79-84,,
7:52.0,,,79-84,,Defensive rebound by Team
7:52.0,Loose ball foul by J. Richardson (drawn by L. Ridnour),,79-84,,
7:52.0,,,79-84,,E. Payton enters the game for L. Ridnour
7:52.0,,,79-84,,N. Vucevic enters the game for D. Dedmon
7:36.0,,,79-84,,Turnover by W. Green (bad pass; steal by H. Thompson)
7:24.0,T. Frazier misses 3-pt shot from 24 ft,,79-84,,
7:22.0,,,79-84,,Defensive rebound by T. Harris
7:17.0,,,79-86,2,V. Oladipo makes 2-pt shot from 1 ft
7:15.0,,,79-86,,Violation by Team (delay of game)
6:52.0,H. Thompson misses 3-pt shot from 25 ft,,79-86,,
6:51.0,,,79-86,,Defensive rebound by E. Payton
6:44.0,,,79-86,,E. Payton misses 2-pt shot from 1 ft
6:42.0,,,79-86,,Offensive rebound by V. Oladipo
6:27.0,,,79-86,,N. Vucevic misses 2-pt shot from 4 ft
6:26.0,,,79-86,,Offensive rebound by E. Payton
6:11.0,,,79-88,2,N. Vucevic makes 2-pt shot from 4 ft
6:05.0,Philadelphia full timeout,,79-88,,
6:05.0,N. Noel enters the game for T. Frazier,,79-88,,
6:05.0,I. Canaan enters the game for J. McGee,,79-88,,
6:00.0,Turnover by J. Richardson (bad pass; steal by W. Green),,79-88,,
5:56.0,,,79-88,,Shooting foul by R. Covington (drawn by V. Oladipo)
5:56.0,,,79-89,1,V. Oladipo makes free throw 1 of 2
5:56.0,,,79-89,,V. Oladipo misses free throw 2 of 2
5:56.0,Defensive rebound by R. Covington,,79-89,,
5:48.0,R. Covington misses 3-pt shot from 25 ft,,79-89,,
5:47.0,,,79-89,,Defensive rebound by E. Payton
5:36.0,,,79-91,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
5:35.0,Philadelphia full timeout,,79-91,,
5:18.0,R. Covington makes 2-pt shot from 1 ft (assist by H. Thompson),2,81-91,,
5:18.0,Shooting foul by N. Vucevic (drawn by R. Covington),,81-91,,
5:18.0,J. Sampson enters the game for J. Richardson,,81-91,,
5:18.0,R. Covington makes free throw 1 of 1,1,82-91,,
5:03.0,Personal foul by R. Covington (drawn by N. Vucevic),,82-91,,
4:50.0,,,82-91,,V. Oladipo misses 3-pt shot from 27 ft
4:49.0,Defensive rebound by J. Sampson,,82-91,,
4:45.0,,,82-91,,Personal foul by W. Green (drawn by I. Canaan)
4:38.0,I. Canaan makes 2-pt shot from 7 ft,2,84-91,,
4:15.0,,,84-91,,Shooting foul by J. Sampson (drawn by N. Vucevic)
4:15.0,,,84-91,,N. Vucevic misses free throw 1 of 2
4:15.0,,,84-91,,Offensive rebound by Team
4:15.0,,,84-92,1,N. Vucevic makes free throw 2 of 2
4:07.0,I. Canaan misses 3-pt shot from 26 ft,,84-92,,
4:02.0,,,84-92,,Defensive rebound by V. Oladipo
3:47.0,Personal foul by I. Canaan (drawn by E. Payton),,84-92,,
3:47.0,,,84-93,1,E. Payton makes free throw 1 of 2
3:47.0,,,84-93,,E. Payton misses free throw 2 of 2
3:47.0,Defensive rebound by I. Canaan,,84-93,,
3:38.0,J. Sampson makes 2-pt shot from 2 ft (assist by I. Canaan),2,86-93,,
3:36.0,,,86-93,,Orlando full timeout
3:34.0,Personal foul by I. Canaan (drawn by E. Payton),,86-93,,
3:34.0,,,86-93,,E. Payton misses free throw 1 of 2
3:34.0,,,86-93,,Offensive rebound by Team
3:34.0,,,86-94,1,E. Payton makes free throw 2 of 2
3:23.0,J. Sampson makes 3-pt shot from 23 ft (assist by N. Noel),3,89-94,,
2:58.0,,,89-94,,N. Vucevic misses 2-pt shot from 2 ft
