time,LA Clippers,pts.away,score,pts.home,Philadelphia
0:42.0,D. Jordan misses free throw 2 of 2,,62-48,,
0:41.0,,,62-48,,Defensive rebound by L. Mbah a Moute
0:40.0,Personal foul by M. Barnes (drawn by L. Mbah a Moute),,62-48,,
0:40.0,,,62-49,1,L. Mbah a Moute makes free throw 1 of 2
0:40.0,,,62-49,,T. Robinson enters the game for H. Thompson
0:40.0,,,62-50,1,L. Mbah a Moute makes free throw 2 of 2
0:40.0,,,62-50,,Personal foul by T. Robinson (drawn by D. Jordan)
0:40.0,D. Jordan misses free throw 1 of 2,,62-50,,
0:40.0,Offensive rebound by Team,,62-50,,
0:40.0,D. Jordan misses free throw 2 of 2,,62-50,,
0:39.0,,,62-50,,Defensive rebound by N. Noel
0:36.0,,,62-50,,Philadelphia full timeout
0:36.0,,,62-50,,H. Thompson enters the game for T. Robinson
0:33.0,,,62-52,2,N. Noel makes 2-pt shot from 14 ft (assist by R. Covington)
0:32.0,LA Clippers full timeout,,62-52,,
0:32.0,S. Hawes enters the game for D. Jordan,,62-52,,
0:32.0,,,62-52,,T. Robinson enters the game for H. Thompson
0:32.0,,,62-52,,J. Sampson enters the game for I. Smith
0:08.0,C. Paul misses 3-pt shot from 26 ft,,62-52,,
0:06.0,,,62-52,,Defensive rebound by N. Noel
0:05.0,Personal foul by B. Griffin (drawn by N. Noel),,62-52,,
0:05.0,,,62-53,1,N. Noel makes free throw 1 of 2
0:05.0,J. Redick enters the game for S. Hawes,,62-53,,
0:05.0,,,62-54,1,N. Noel makes free throw 2 of 2
0:02.0,Turnover by M. Barnes (bad pass; steal by R. Covington),,62-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,62-54,,Turnover by R. Covington (lost ball; steal by M. Barnes)
11:36.0,,,62-54,,Personal foul by N. Noel (drawn by B. Griffin)
11:29.0,Turnover by J. Redick (lost ball; steal by J. Sampson),,62-54,,
11:25.0,,,62-54,,J. Sampson misses 2-pt shot from 1 ft
11:22.0,Defensive rebound by C. Paul,,62-54,,
11:10.0,,,62-54,,Violation by J. Grant (def goaltending)
11:10.0,B. Griffin makes 2-pt shot from 1 ft (assist by M. Barnes),2,64-54,,
10:49.0,,,64-54,,J. Sampson misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by B. Griffin,,64-54,,
10:39.0,C. Paul makes 2-pt shot from 19 ft,2,66-54,,
10:18.0,,,66-54,,J. Grant misses 3-pt shot from 23 ft
10:17.0,Defensive rebound by D. Jordan,,66-54,,
10:05.0,M. Barnes misses 3-pt shot from 26 ft,,66-54,,
10:03.0,Offensive rebound by D. Jordan,,66-54,,
9:54.0,C. Paul makes 2-pt shot from 2 ft (assist by B. Griffin),2,68-54,,
9:53.0,,,68-54,,Philadelphia full timeout
9:38.0,,,68-54,,Turnover by N. Noel (bad pass; steal by M. Barnes)
9:22.0,C. Paul misses 2-pt shot from 12 ft,,68-54,,
9:20.0,,,68-54,,Defensive rebound by R. Covington
9:12.0,,,68-54,,Turnover by I. Smith (bad pass; steal by M. Barnes)
8:58.0,B. Griffin makes 2-pt shot from 1 ft,2,70-54,,
8:52.0,,,70-54,,Turnover by I. Smith (bad pass; steal by J. Redick)
8:47.0,Turnover by C. Paul (bad pass; steal by R. Covington),,70-54,,
8:33.0,,,70-56,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
8:15.0,Turnover by C. Paul (lost ball; steal by I. Smith),,70-56,,
8:14.0,Personal foul by C. Paul (drawn by J. Sampson),,70-56,,
8:14.0,,,70-56,,L. Mbah a Moute enters the game for J. Grant
8:00.0,Personal foul by M. Barnes (drawn by N. Noel),,70-56,,
7:50.0,,,70-56,,I. Smith misses 2-pt shot from 15 ft
7:49.0,Defensive rebound by B. Griffin,,70-56,,
7:40.0,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin),3,73-56,,
7:18.0,,,73-59,3,I. Smith makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
7:10.0,D. Jordan misses 2-pt shot at rim,,73-59,,
7:07.0,,,73-59,,Defensive rebound by I. Smith
7:01.0,,,73-62,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by I. Smith)
7:00.0,LA Clippers full timeout,,73-62,,
7:00.0,,,73-62,,J. Richardson enters the game for J. Sampson
6:43.0,D. Jordan makes 2-pt shot from 4 ft (assist by M. Barnes),2,75-62,,
6:43.0,Shooting foul by N. Noel (drawn by D. Jordan),,75-62,,
6:43.0,D. Jordan misses free throw 1 of 1,,75-62,,
6:40.0,,,75-62,,Defensive rebound by N. Noel
6:31.0,,,75-62,,I. Smith misses 2-pt shot from 11 ft
6:28.0,,,75-62,,Offensive rebound by N. Noel
6:28.0,,,75-64,2,N. Noel makes 2-pt shot at rim
6:10.0,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin),2,77-64,,
6:02.0,,,77-64,,H. Thompson enters the game for R. Covington
5:45.0,,,77-64,,Turnover by L. Mbah a Moute (lost ball; steal by C. Paul)
5:41.0,C. Paul makes 2-pt shot from 1 ft,2,79-64,,
5:28.0,Personal foul by C. Paul (drawn by I. Smith),,79-64,,
5:28.0,,,79-64,,I. Canaan enters the game for I. Smith
5:22.0,,,79-64,,L. Mbah a Moute misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by D. Jordan,,79-64,,
5:06.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,81-64,,
4:44.0,,,81-64,,H. Thompson misses 2-pt shot from 13 ft
4:43.0,,,81-64,,Offensive rebound by N. Noel
4:41.0,,,81-64,,Shooting foul by C. Paul (drawn by H. Thompson)
4:41.0,,,81-65,1,H. Thompson makes free throw 1 of 2
4:41.0,,,81-66,1,H. Thompson makes free throw 2 of 2
4:30.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,84-66,,
4:20.0,,,84-66,,Turnover by N. Noel (bad pass)
4:04.0,B. Griffin makes 2-pt shot from 4 ft,2,86-66,,
3:44.0,,,86-66,,J. Richardson misses 2-pt shot from 18 ft
3:42.0,Defensive rebound by D. Jordan,,86-66,,
3:40.0,Shooting foul by I. Canaan (drawn by M. Barnes),,86-66,,
3:40.0,M. Barnes makes free throw 1 of 2,1,87-66,,
3:40.0,,,87-66,,T. Robinson enters the game for N. Noel
3:40.0,M. Barnes makes free throw 2 of 2,1,88-66,,
3:27.0,,,88-66,,H. Thompson misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by D. Jordan,,88-66,,
3:07.0,B. Griffin misses 2-pt shot from 1 ft,,88-66,,
3:05.0,,,88-66,,Defensive rebound by T. Robinson
2:58.0,,,88-66,,H. Thompson misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by Team,,88-66,,
2:56.0,A. Rivers enters the game for J. Redick,,88-66,,
2:36.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,90-66,,
2:23.0,,,90-66,,T. Robinson misses 2-pt shot from 16 ft
2:21.0,,,90-66,,Offensive rebound by L. Mbah a Moute
2:12.0,,,90-66,,J. Richardson misses 3-pt shot from 27 ft
2:10.0,Defensive rebound by M. Barnes,,90-66,,
2:01.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,92-66,,
1:58.0,,,92-66,,Philadelphia full timeout
1:58.0,,,92-66,,G. Robinson enters the game for J. Richardson
1:58.0,,,92-66,,J. Sampson enters the game for H. Thompson
1:35.0,,,92-66,,Shooting foul by B. Griffin (drawn by T. Robinson)
1:35.0,,,92-67,1,T. Robinson makes free throw 1 of 2
1:35.0,H. Turkoglu enters the game for M. Barnes,,92-67,,
1:35.0,,,92-67,,J. Grant enters the game for L. Mbah a Moute
1:35.0,,,92-67,,T. Robinson misses free throw 2 of 2
1:34.0,Defensive rebound by B. Griffin,,92-67,,
1:33.0,,,92-67,,Personal foul by J. Sampson (drawn by B. Griffin)
1:31.0,,,92-67,,Personal foul by T. Robinson (drawn by D. Jordan)
1:31.0,D. Jordan misses free throw 1 of 2,,92-67,,
1:31.0,Offensive rebound by Team,,92-67,,
1:31.0,D. Jordan makes free throw 2 of 2,1,93-67,,
1:17.0,,,93-67,,J. Grant misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by A. Rivers,,93-67,,
1:10.0,A. Rivers misses 2-pt shot from 1 ft,,93-67,,
1:08.0,Offensive rebound by D. Jordan,,93-67,,
1:08.0,D. Jordan misses 2-pt shot at rim,,93-67,,
1:08.0,,,93-67,,Defensive rebound by J. Grant
0:58.0,,,93-67,,G. Robinson misses 2-pt shot from 4 ft
0:56.0,Defensive rebound by D. Jordan,,93-67,,
0:46.0,,,93-67,,Personal foul by T. Robinson (drawn by D. Jordan)
0:46.0,D. Jordan makes free throw 1 of 2,1,94-67,,
0:46.0,D. Jordan misses free throw 2 of 2,,94-67,,
0:45.0,,,94-67,,Defensive rebound by J. Grant
0:35.0,,,94-67,,Shooting foul by D. Jordan (drawn by J. Grant)
0:35.0,,,94-67,,J. Grant misses free throw 1 of 2
0:35.0,,,94-67,,Offensive rebound by Team
0:35.0,S. Hawes enters the game for D. Jordan,,94-67,,
0:35.0,,,94-68,1,J. Grant makes free throw 2 of 2
0:29.0,C. Paul misses 2-pt shot from 4 ft,,94-68,,
0:27.0,,,94-68,,Defensive rebound by J. Sampson
0:03.0,,,94-68,,I. Canaan misses 3-pt shot from 27 ft
0:02.0,,,94-68,,Offensive rebound by Team
0:02.0,,,94-68,,Turnover by Team (shot clock)
0:00.0,Turnover by S. Hawes (bad pass; steal by J. Grant),,94-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,H. Turkoglu makes 3-pt shot from 25 ft (assist by A. Rivers),3,97-68,,
11:25.0,,,97-68,,T. Robinson misses 2-pt shot from 7 ft
11:23.0,Defensive rebound by H. Turkoglu,,97-68,,
11:17.0,S. Hawes makes 2-pt shot from 13 ft (assist by H. Turkoglu),2,99-68,,
11:02.0,,,99-71,3,I. Canaan makes 3-pt shot from 25 ft (assist by H. Thompson)
10:45.0,A. Rivers misses 2-pt shot from 19 ft,,99-71,,
10:43.0,,,99-71,,Defensive rebound by J. Grant
10:34.0,,,99-71,,T. Robinson misses 2-pt shot from 7 ft
10:33.0,Defensive rebound by S. Hawes,,99-71,,
10:33.0,,,99-71,,Personal foul by T. Robinson (drawn by S. Hawes)
10:33.0,,,99-71,,N. Noel enters the game for T. Robinson
10:25.0,Shooting foul by I. Canaan (drawn by A. Rivers),,99-71,,
10:25.0,A. Rivers makes free throw 1 of 2,1,100-71,,
10:25.0,A. Rivers makes free throw 2 of 2,1,101-71,,
10:25.0,,,101-71,,Philadelphia full timeout
10:08.0,,,101-73,2,H. Thompson makes 2-pt shot from 3 ft
9:50.0,S. Hawes misses 3-pt shot from 24 ft,,101-73,,
9:48.0,,,101-73,,Defensive rebound by N. Noel
9:42.0,,,101-76,3,I. Canaan makes 3-pt shot from 25 ft
9:23.0,G. Davis misses 2-pt shot from 4 ft,,101-76,,
9:21.0,,,101-76,,Defensive rebound by N. Noel
9:14.0,,,101-79,3,I. Canaan makes 3-pt shot from 25 ft
8:59.0,J. Hamilton misses 3-pt shot from 25 ft,,101-79,,
8:57.0,,,101-79,,Defensive rebound by F. Aldemir
8:48.0,,,101-79,,N. Noel misses 2-pt shot from 3 ft
8:46.0,Defensive rebound by S. Hawes,,101-79,,
8:38.0,H. Turkoglu makes 2-pt shot from 18 ft,2,103-79,,
8:13.0,,,103-79,,I. Smith enters the game for J. Grant
8:09.0,,,103-79,,Turnover by Team (shot clock)
7:56.0,A. Rivers makes 3-pt shot from 24 ft (assist by S. Hawes),3,106-79,,
7:44.0,,,106-79,,Shooting foul by S. Hawes (drawn by F. Aldemir)
7:44.0,,,106-79,,F. Aldemir misses free throw 1 of 2
7:44.0,,,106-79,,Offensive rebound by Team
7:44.0,,,106-79,,F. Aldemir misses free throw 2 of 2
7:43.0,Defensive rebound by H. Turkoglu,,106-79,,
