time,Philadelphia,pts.away,score,pts.home,Sacramento
4:19.0,,,19-17,2,J. Thompson makes 2-pt shot at rim
4:07.0,H. Thompson enters the game for R. Covington,,19-17,,
3:58.0,J. Grant makes 3-pt shot from 22 ft (assist by T. Robinson),3,22-17,,
3:45.0,,,22-17,,O. Casspi misses 2-pt shot from 7 ft
3:44.0,Defensive rebound by T. Robinson,,22-17,,
3:38.0,I. Canaan makes 3-pt shot from 24 ft,3,25-17,,
3:24.0,,,25-17,,D. Cousins misses 2-pt shot from 5 ft
3:22.0,,,25-17,,Offensive rebound by D. Cousins
3:20.0,,,25-19,2,D. Cousins makes 2-pt shot from 4 ft
2:54.0,T. Robinson misses 2-pt shot from 4 ft,,25-19,,
2:53.0,,,25-19,,Defensive rebound by O. Casspi
2:40.0,,,25-21,2,R. McCallum makes 2-pt shot at rim (assist by J. Thompson)
2:19.0,F. Aldemir misses 3-pt shot from 25 ft,,25-21,,
2:18.0,,,25-21,,Defensive rebound by R. McCallum
2:13.0,,,25-21,,Shooting foul by F. Aldemir (drawn by D. Cousins)
2:13.0,,,25-22,1,D. Cousins makes free throw 1 of 2
2:13.0,,,25-22,,A. Miller enters the game for R. McCallum
2:13.0,,,25-22,,N. Stauskas enters the game for O. Casspi
2:13.0,,,25-23,1,D. Cousins makes free throw 2 of 2
2:06.0,Turnover by H. Thompson (lost ball),,25-23,,
2:06.0,,,25-23,,D. Williams enters the game for D. Cousins
1:53.0,,,25-23,,B. McLemore misses 2-pt shot from 19 ft
1:52.0,Defensive rebound by T. Robinson,,25-23,,
1:37.0,I. Canaan misses 3-pt shot from 24 ft,,25-23,,
1:35.0,Offensive rebound by F. Aldemir,,25-23,,
1:33.0,F. Aldemir makes 2-pt shot from 2 ft,2,27-23,,
1:14.0,,,27-23,,B. McLemore misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by T. Robinson,,27-23,,
1:07.0,H. Thompson misses 3-pt shot from 23 ft,,27-23,,
1:05.0,,,27-23,,Defensive rebound by D. Williams
0:55.0,,,27-23,,N. Stauskas misses 2-pt shot from 3 ft (block by H. Thompson)
0:55.0,,,27-23,,Offensive rebound by Team
0:55.0,,,27-23,,R. Gay enters the game for B. McLemore
0:53.0,,,27-25,2,R. Gay makes 2-pt shot from 16 ft (assist by N. Stauskas)
0:32.0,I. Canaan misses 2-pt shot from 4 ft,,27-25,,
0:31.0,Offensive rebound by T. Robinson,,27-25,,
0:31.0,T. Robinson makes 2-pt shot from 3 ft,2,29-25,,
0:22.0,,,29-27,2,J. Thompson makes 2-pt shot from 17 ft (assist by A. Miller)
0:07.0,,,29-27,,Personal take foul by A. Miller (drawn by I. Canaan)
0:00.0,I. Canaan makes 2-pt shot from 9 ft,2,31-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Grant misses 3-pt shot from 24 ft,,31-27,,
11:35.0,,,31-27,,Defensive rebound by N. Stauskas
11:14.0,,,31-27,,D. Williams misses 2-pt shot from 14 ft
11:13.0,Defensive rebound by H. Thompson,,31-27,,
11:01.0,T. Robinson makes 2-pt shot from 2 ft (assist by H. Thompson),2,33-27,,
10:50.0,,,33-30,3,N. Stauskas makes 3-pt shot from 25 ft (assist by A. Miller)
10:38.0,T. Robinson makes 2-pt shot from 3 ft (assist by I. Canaan),2,35-30,,
10:22.0,Personal foul by I. Canaan (drawn by A. Miller),,35-30,,
10:22.0,I. Smith enters the game for I. Canaan,,35-30,,
10:22.0,J. Sampson enters the game for J. Grant,,35-30,,
10:22.0,N. Noel enters the game for F. Aldemir,,35-30,,
10:22.0,,,35-30,,R. Evans enters the game for D. Williams
10:14.0,,,35-32,2,J. Thompson makes 2-pt shot from 5 ft (assist by N. Stauskas)
10:02.0,Shooting foul by J. Thompson (drawn by T. Robinson),,35-32,,
10:02.0,T. Robinson misses free throw 1 of 2,,35-32,,
10:02.0,Offensive rebound by Team,,35-32,,
10:02.0,T. Robinson makes free throw 2 of 2,1,36-32,,
9:52.0,,,36-32,,Shooting foul by N. Noel (drawn by A. Miller)
9:52.0,,,36-33,1,A. Miller makes free throw 1 of 2
9:52.0,L. Mbah a Moute enters the game for T. Robinson,,36-33,,
9:52.0,,,36-34,1,A. Miller makes free throw 2 of 2
9:37.0,N. Noel makes 2-pt shot from 12 ft,2,38-34,,
9:28.0,,,38-34,,R. Evans misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by I. Smith,,38-34,,
9:17.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith),3,41-34,,
9:03.0,,,41-36,2,R. Evans makes 2-pt shot from 3 ft (assist by R. Gay)
9:03.0,Philadelphia full timeout,,41-36,,
8:46.0,N. Noel makes 2-pt shot from 6 ft,2,43-36,,
8:46.0,Shooting foul by R. Evans (drawn by N. Noel),,43-36,,
8:46.0,N. Noel misses free throw 1 of 1,,43-36,,
8:46.0,,,43-36,,Defensive rebound by R. Evans
8:37.0,,,43-38,2,J. Thompson makes 2-pt shot at rim (assist by A. Miller)
8:24.0,H. Thompson makes 2-pt shot from 6 ft (assist by N. Noel),2,45-38,,
8:13.0,,,45-41,3,N. Stauskas makes 3-pt shot from 22 ft (assist by A. Miller)
7:58.0,L. Mbah a Moute misses 2-pt shot from 6 ft,,45-41,,
7:57.0,,,45-41,,Defensive rebound by R. Evans
7:48.0,,,45-41,,N. Stauskas misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by N. Noel,,45-41,,
7:45.0,,,45-41,,Personal foul by A. Miller (drawn by I. Smith)
7:45.0,,,45-41,,R. McCallum enters the game for J. Thompson
7:45.0,,,45-41,,D. Cousins enters the game for A. Miller
7:37.0,,,45-41,,Personal foul by R. McCallum (drawn by I. Smith)
7:28.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,45-41,,
7:27.0,,,45-41,,Defensive rebound by D. Cousins
7:10.0,,,45-41,,R. McCallum misses 2-pt shot from 17 ft
7:10.0,,,45-41,,Offensive rebound by R. McCallum
7:10.0,Personal foul by I. Smith (drawn by R. McCallum),,45-41,,
7:01.0,,,45-41,,R. Gay misses 2-pt shot from 5 ft (block by L. Mbah a Moute)
7:01.0,,,45-41,,Offensive rebound by Team
6:47.0,,,45-41,,R. Gay misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by N. Noel,,45-41,,
6:39.0,H. Thompson misses 3-pt shot from 25 ft,,45-41,,
6:37.0,,,45-41,,Defensive rebound by R. Gay
6:32.0,,,45-41,,R. McCallum misses 2-pt shot from 6 ft
6:31.0,,,45-41,,Offensive rebound by D. Cousins
6:31.0,,,45-43,2,D. Cousins makes 2-pt shot from 2 ft
6:31.0,,,45-43,,Shooting foul by J. Sampson (drawn by D. Cousins)
6:31.0,,,45-44,1,D. Cousins makes free throw 1 of 1
6:10.0,H. Thompson misses 2-pt shot from 8 ft,,45-44,,
6:10.0,,,45-44,,Defensive rebound by Team
6:10.0,,,45-44,,B. McLemore enters the game for R. Evans
5:57.0,,,45-44,,D. Cousins misses 2-pt shot from 16 ft
5:57.0,Defensive rebound by I. Smith,,45-44,,
5:53.0,Turnover by I. Smith (lost ball; steal by R. Gay),,45-44,,
5:51.0,,,45-46,2,R. Gay makes 2-pt shot at rim
5:40.0,I. Smith makes 2-pt shot from 6 ft,2,47-46,,
5:30.0,,,47-49,3,R. Gay makes 3-pt shot from 24 ft (assist by B. McLemore)
5:09.0,L. Mbah a Moute misses 2-pt shot from 3 ft (block by R. Gay),,47-49,,
5:07.0,Offensive rebound by N. Noel,,47-49,,
5:07.0,N. Noel misses 2-pt shot at rim,,47-49,,
5:06.0,,,47-49,,Defensive rebound by B. McLemore
4:55.0,,,47-49,,R. McCallum misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by Team,,47-49,,
4:54.0,,,47-49,,Loose ball foul by R. Gay (drawn by L. Mbah a Moute)
4:54.0,Official timeout,,47-49,,
4:54.0,,,47-49,,O. Casspi enters the game for N. Stauskas
4:54.0,R. Covington enters the game for H. Thompson,,47-49,,
4:54.0,L. Mbah a Moute makes free throw 1 of 2,1,48-49,,
4:54.0,L. Mbah a Moute makes free throw 2 of 2,1,49-49,,
4:44.0,,,49-49,,Turnover by D. Cousins (bad pass; steal by R. Covington)
4:41.0,R. Covington makes 2-pt shot from 2 ft,2,51-49,,
4:27.0,,,51-49,,R. McCallum misses 2-pt shot from 7 ft
4:25.0,,,51-49,,Offensive rebound by D. Cousins
4:25.0,,,51-49,,D. Cousins misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by R. Covington,,51-49,,
4:15.0,J. Sampson misses 2-pt shot from 4 ft (block by D. Cousins),,51-49,,
4:13.0,,,51-49,,Defensive rebound by O. Casspi
4:10.0,,,51-49,,Shooting foul by I. Smith (drawn by R. Gay)
4:10.0,,,51-49,,R. Gay misses free throw 1 of 2
4:10.0,,,51-49,,Offensive rebound by Team
4:10.0,I. Canaan enters the game for I. Smith,,51-49,,
4:10.0,J. Grant enters the game for J. Sampson,,51-49,,
4:10.0,,,51-50,1,R. Gay makes free throw 2 of 2
3:55.0,Shooting foul by D. Cousins (drawn by N. Noel),,51-50,,
3:55.0,N. Noel makes free throw 1 of 2,1,52-50,,
3:55.0,T. Robinson enters the game for L. Mbah a Moute,,52-50,,
3:55.0,N. Noel makes free throw 2 of 2,1,53-50,,
3:32.0,,,53-50,,R. Gay misses 2-pt shot from 19 ft
3:31.0,Defensive rebound by J. Grant,,53-50,,
3:13.0,T. Robinson misses 2-pt shot from 16 ft,,53-50,,
3:13.0,Offensive rebound by Team,,53-50,,
3:13.0,,,53-50,,Loose ball foul by O. Casspi (drawn by N. Noel)
3:13.0,N. Noel makes free throw 1 of 2,1,54-50,,
3:13.0,N. Noel makes free throw 2 of 2,1,55-50,,
3:05.0,,,55-50,,Shooting foul by N. Noel (drawn by D. Cousins)
3:05.0,,,55-51,1,D. Cousins makes free throw 1 of 2
3:05.0,,,55-52,1,D. Cousins makes free throw 2 of 2
2:50.0,I. Canaan makes 2-pt shot from 6 ft,2,57-52,,
2:37.0,,,57-52,,D. Cousins misses 2-pt shot from 5 ft (block by N. Noel)
2:35.0,Defensive rebound by R. Covington,,57-52,,
2:29.0,R. Covington makes 3-pt shot from 25 ft,3,60-52,,
2:18.0,,,60-52,,O. Casspi misses 2-pt shot from 2 ft
2:13.0,,,60-52,,Offensive rebound by D. Cousins
2:12.0,,,60-54,2,D. Cousins makes 2-pt shot from 11 ft
2:02.0,T. Robinson makes 2-pt shot from 6 ft,2,62-54,,
1:45.0,,,62-57,3,O. Casspi makes 3-pt shot from 26 ft (assist by R. McCallum)
1:35.0,,,62-57,,Personal block foul by D. Cousins (drawn by T. Robinson)
1:35.0,,,62-57,,Sacramento full timeout
1:35.0,,,62-57,,N. Stauskas enters the game for O. Casspi
1:35.0,F. Aldemir enters the game for R. Covington,,62-57,,
1:35.0,H. Thompson enters the game for N. Noel,,62-57,,
1:35.0,T. Robinson misses free throw 1 of 2,,62-57,,
1:35.0,Offensive rebound by Team,,62-57,,
1:35.0,T. Robinson makes free throw 2 of 2,1,63-57,,
1:25.0,,,63-57,,Shooting foul by F. Aldemir (drawn by R. Gay)
1:25.0,,,63-57,,Sacramento full timeout
1:25.0,,,63-58,1,R. Gay makes free throw 1 of 2
1:25.0,,,63-59,1,R. Gay makes free throw 2 of 2
1:11.0,T. Robinson makes 2-pt shot from 3 ft,2,65-59,,
0:51.0,,,65-61,2,D. Cousins makes 2-pt shot at rim (assist by N. Stauskas)
0:51.0,Philadelphia full timeout,,65-61,,
0:39.0,T. Robinson makes 2-pt shot from 2 ft (assist by F. Aldemir),2,67-61,,
0:33.0,,,67-61,,R. Gay misses 3-pt shot from 25 ft
0:32.0,,,67-61,,Offensive rebound by D. Cousins
0:26.0,,,67-61,,R. McCallum misses 2-pt shot from 4 ft
0:26.0,,,67-61,,Offensive rebound by D. Cousins
0:26.0,,,67-63,2,D. Cousins makes 2-pt shot at rim
0:06.0,I. Canaan makes 3-pt shot from 24 ft,3,70-63,,
0:01.0,,,70-63,,R. McCallum misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by F. Aldemir,,70-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by R. Covington (lost ball; steal by O. Casspi),,70-63,,
11:42.0,,,70-63,,B. McLemore misses 2-pt shot at rim
11:40.0,,,70-63,,Offensive rebound by O. Casspi
11:37.0,,,70-63,,D. Cousins misses 2-pt shot from 1 ft (block by N. Noel)
11:34.0,Defensive rebound by J. Sampson,,70-63,,
11:32.0,J. Sampson makes 2-pt shot at rim,2,72-63,,
11:16.0,,,72-65,2,R. McCallum makes 2-pt shot from 1 ft (assist by R. Gay)
11:01.0,Turnover by R. Covington (bad pass; steal by R. McCallum),,72-65,,
11:00.0,,,72-65,,R. McCallum misses 2-pt shot from 2 ft (block by N. Noel)
11:00.0,,,72-65,,Offensive rebound by Team
10:57.0,,,72-65,,D. Cousins misses 2-pt shot from 6 ft (block by R. Covington)
10:57.0,,,72-65,,Offensive rebound by Team
10:49.0,,,72-67,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Gay)
10:24.0,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith),3,75-67,,
10:11.0,,,75-67,,Shooting foul by N. Noel (drawn by D. Cousins)
10:11.0,,,75-68,1,D. Cousins makes free throw 1 of 2
10:11.0,,,75-68,,D. Cousins misses free throw 2 of 2
10:09.0,Defensive rebound by N. Noel,,75-68,,
9:50.0,Turnover by I. Smith (bad pass),,75-68,,
9:49.0,Loose ball foul by N. Noel (drawn by D. Cousins),,75-68,,
9:49.0,F. Aldemir enters the game for N. Noel,,75-68,,
9:28.0,,,75-68,,Turnover by R. Gay (bad pass)
9:14.0,Turnover by R. Covington (bad pass),,75-68,,
9:04.0,,,75-68,,D. Cousins misses 2-pt shot from 2 ft
9:03.0,,,75-68,,Offensive rebound by R. McCallum
9:02.0,,,75-68,,R. McCallum misses 3-pt shot from 25 ft
9:02.0,,,75-68,,Offensive rebound by Team
9:02.0,Loose ball foul by F. Aldemir (drawn by D. Cousins),,75-68,,
8:51.0,,,75-68,,R. Gay misses 2-pt shot from 10 ft
8:50.0,Defensive rebound by L. Mbah a Moute,,75-68,,
8:42.0,J. Sampson makes 3-pt shot from 22 ft (assist by R. Covington),3,78-68,,
8:23.0,,,78-68,,Turnover by D. Cousins (lost ball; steal by F. Aldemir)
8:23.0,Offensive charge foul by R. Covington,,78-68,,
8:23.0,Turnover by R. Covington (offensive foul),,78-68,,
8:10.0,,,78-71,3,R. McCallum makes 3-pt shot from 23 ft (assist by D. Cousins)
7:55.0,,,78-71,,Personal foul by R. McCallum (drawn by I. Smith)
7:40.0,I. Smith misses 2-pt shot from 14 ft (block by R. McCallum),,78-71,,
7:39.0,,,78-71,,Defensive rebound by D. Cousins
7:36.0,,,78-71,,Shooting foul by F. Aldemir (drawn by D. Cousins)
7:36.0,,,78-72,1,D. Cousins makes free throw 1 of 2
7:36.0,H. Sims enters the game for F. Aldemir,,78-72,,
7:36.0,,,78-72,,D. Cousins misses free throw 2 of 2
7:35.0,,,78-72,,Offensive rebound by Team
7:20.0,,,78-72,,D. Cousins misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by I. Smith,,78-72,,
7:12.0,R. Covington misses 3-pt shot from 25 ft,,78-72,,
7:11.0,,,78-72,,Defensive rebound by R. Gay
7:07.0,,,78-72,,Offensive foul by O. Casspi
7:07.0,,,78-72,,Turnover by O. Casspi (offensive foul)
6:53.0,R. Covington misses 2-pt shot from 17 ft,,78-72,,
6:52.0,,,78-72,,Defensive rebound by R. McCallum
6:45.0,H. Thompson enters the game for R. Covington,,78-72,,
6:45.0,J. Grant enters the game for J. Sampson,,78-72,,
6:36.0,,,78-74,2,R. McCallum makes 2-pt shot from 4 ft
6:35.0,Philadelphia full timeout,,78-74,,
6:17.0,I. Smith misses 2-pt shot from 6 ft,,78-74,,
6:16.0,,,78-74,,Defensive rebound by D. Cousins
5:58.0,,,78-74,,R. Gay misses 2-pt shot from 9 ft
5:58.0,Defensive rebound by H. Sims,,78-74,,
5:58.0,,,78-74,,Personal foul by D. Cousins (drawn by H. Sims)
5:34.0,I. Smith misses 2-pt shot from 14 ft,,78-74,,
5:34.0,Offensive rebound by Team,,78-74,,
5:34.0,,,78-74,,Loose ball foul by B. McLemore (drawn by L. Mbah a Moute)
5:34.0,I. Canaan enters the game for I. Smith,,78-74,,
5:34.0,T. Robinson enters the game for L. Mbah a Moute,,78-74,,
5:17.0,T. Robinson misses 2-pt shot from 13 ft,,78-74,,
5:16.0,,,78-74,,Defensive rebound by D. Cousins
5:00.0,,,78-74,,O. Casspi misses 3-pt shot from 24 ft
4:59.0,,,78-74,,Offensive rebound by D. Cousins
4:59.0,Personal foul by H. Sims (drawn by D. Cousins),,78-74,,
4:59.0,,,78-75,1,D. Cousins makes free throw 1 of 2
4:59.0,,,78-76,1,D. Cousins makes free throw 2 of 2
4:45.0,I. Canaan misses 3-pt shot from 25 ft,,78-76,,
4:45.0,,,78-76,,Defensive rebound by R. McCallum
4:37.0,,,78-78,2,R. Gay makes 2-pt shot from 6 ft
4:16.0,,,78-78,,Shooting block foul by D. Cousins (drawn by H. Thompson)
4:16.0,H. Thompson misses free throw 1 of 2,,78-78,,
4:16.0,Offensive rebound by Team,,78-78,,
4:16.0,,,78-78,,J. Thompson enters the game for O. Casspi
4:16.0,,,78-78,,D. Williams enters the game for D. Cousins
4:16.0,Turnover by H. Sims (lane violation.),,78-78,,
4:05.0,,,78-78,,Shooting foul by J. Grant (drawn by R. Gay)
4:05.0,,,78-79,1,R. Gay makes free throw 1 of 2
4:05.0,,,78-80,1,R. Gay makes free throw 2 of 2
3:41.0,Turnover by Team (shot clock),,78-80,,
3:41.0,Violation by Team (delay of game),,78-80,,
3:23.0,,,78-82,2,R. Gay makes 2-pt shot from 5 ft (assist by J. Thompson)
3:01.0,T. Robinson makes 2-pt shot from 1 ft,2,80-82,,
2:51.0,Personal foul by T. Robinson (drawn by R. McCallum),,80-82,,
2:51.0,,,80-82,,Sacramento full timeout
2:51.0,,,80-82,,R. McCallum misses free throw 1 of 2
2:51.0,,,80-82,,Offensive rebound by Team
2:51.0,,,80-82,,R. McCallum misses free throw 2 of 2
2:50.0,Defensive rebound by J. Grant,,80-82,,
2:26.0,I. Canaan misses 3-pt shot from 25 ft,,80-82,,
2:26.0,Offensive rebound by Team,,80-82,,
2:26.0,,,80-82,,A. Miller enters the game for R. McCallum
2:15.0,H. Thompson makes 2-pt shot from 20 ft (assist by J. Grant),2,82-82,,
1:56.0,,,82-84,2,R. Gay makes 2-pt shot from 5 ft
1:56.0,,,82-84,,Shooting foul by J. Grant (drawn by R. Gay)
1:56.0,,,82-85,1,R. Gay makes free throw 1 of 1
1:39.0,H. Thompson misses 3-pt shot from 24 ft,,82-85,,
1:38.0,,,82-85,,Defensive rebound by R. Gay
1:20.0,,,82-85,,B. McLemore misses 2-pt shot from 7 ft
1:20.0,Defensive rebound by T. Robinson,,82-85,,
0:57.0,J. Grant misses 2-pt shot from 19 ft,,82-85,,
0:57.0,,,82-85,,Defensive rebound by R. Gay
0:50.0,,,82-85,,Shooting foul by H. Thompson (drawn by D. Williams)
0:50.0,,,82-86,1,D. Williams makes free throw 1 of 2
0:50.0,,,82-86,,N. Stauskas enters the game for B. McLemore
0:50.0,,,82-87,1,D. Williams makes free throw 2 of 2
0:30.0,Shooting foul by N. Stauskas (drawn by J. Grant),,82-87,,
0:30.0,J. Grant misses free throw 1 of 2,,82-87,,
0:30.0,Offensive rebound by Team,,82-87,,
0:30.0,J. Grant misses free throw 2 of 2,,82-87,,
0:30.0,,,82-87,,Defensive rebound by D. Williams
0:10.0,,,82-87,,J. Thompson misses 2-pt shot from 5 ft (block by T. Robinson)
0:08.0,,,82-87,,Offensive rebound by D. Williams
0:07.0,,,82-87,,D. Williams misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by T. Robinson,,82-87,,
0:02.0,T. Robinson misses 2-pt shot from 2 ft (block by N. Stauskas),,82-87,,
0:02.0,Offensive rebound by Team,,82-87,,
0:00.0,H. Thompson makes 2-pt shot from 18 ft (assist by T. Robinson),2,84-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,84-87,,Shooting foul by T. Robinson (drawn by J. Thompson)
11:46.0,,,84-87,,J. Thompson misses free throw 1 of 2
11:46.0,,,84-87,,Offensive rebound by Team
11:46.0,,,84-87,,J. Thompson misses free throw 2 of 2
11:45.0,,,84-87,,Offensive rebound by D. Williams
11:33.0,,,84-87,,Turnover by A. Miller (bad pass; steal by I. Canaan)
11:30.0,I. Canaan makes 2-pt shot from 1 ft,2,86-87,,
11:13.0,,,86-90,3,D. Williams makes 3-pt shot from 23 ft (assist by A. Miller)
10:56.0,,,86-90,,Def 3 sec tech foul by A. Miller
10:56.0,I. Canaan makes technical free throw,1,87-90,,
10:47.0,I. Canaan misses 3-pt shot from 25 ft,,87-90,,
10:47.0,,,87-90,,Defensive rebound by N. Stauskas
10:39.0,,,87-92,2,A. Miller makes 2-pt shot from 5 ft
10:25.0,Offensive foul by J. Grant,,87-92,,
10:25.0,Turnover by J. Grant (offensive foul),,87-92,,
10:25.0,I. Smith enters the game for I. Canaan,,87-92,,
10:25.0,L. Mbah a Moute enters the game for J. Grant,,87-92,,
10:25.0,R. Covington enters the game for T. Robinson,,87-92,,
10:23.0,,,87-92,,D. Cousins enters the game for R. Gay
10:14.0,,,87-92,,N. Stauskas misses 2-pt shot from 16 ft
10:13.0,,,87-92,,Offensive rebound by J. Thompson
10:01.0,,,87-94,2,D. Cousins makes 2-pt shot from 4 ft (assist by A. Miller)
9:48.0,H. Thompson misses 3-pt shot from 24 ft,,87-94,,
9:48.0,,,87-94,,Defensive rebound by J. Thompson
9:36.0,,,87-94,,Turnover by D. Cousins (lost ball; steal by I. Smith)
9:31.0,I. Smith misses 2-pt shot from 4 ft (block by N. Stauskas),,87-94,,
9:30.0,Offensive rebound by H. Thompson,,87-94,,
9:30.0,H. Thompson makes 2-pt shot from 2 ft,2,89-94,,
9:07.0,,,89-94,,D. Williams misses 2-pt shot from 17 ft
9:06.0,,,89-94,,Offensive rebound by D. Cousins
9:01.0,,,89-96,2,D. Williams makes 2-pt shot at rim (assist by D. Cousins)
9:00.0,Philadelphia full timeout,,89-96,,
9:00.0,,,89-96,,O. Casspi enters the game for D. Williams
8:35.0,,,89-96,,Violation by D. Cousins (def goaltending)
8:35.0,N. Noel makes 2-pt shot from 2 ft,2,91-96,,
