time,Denver,pts.away,score,pts.home,Detroit
7:18.0,Personal foul by W. Chandler (drawn by C. Butler),,32-36,,
7:18.0,,,32-36,,G. Monroe enters the game for A. Drummond
7:18.0,K. Faried enters the game for D. Gallinari,,32-36,,
7:02.0,,,32-36,,C. Butler misses 3-pt shot from 26 ft
7:01.0,,,32-36,,Offensive rebound by G. Monroe
6:59.0,,,32-38,2,G. Monroe makes 2-pt shot at rim
6:46.0,Shooting foul by A. Tolliver (drawn by K. Faried),,32-38,,
6:46.0,K. Faried misses free throw 1 of 2,,32-38,,
6:46.0,Offensive rebound by Team,,32-38,,
6:46.0,J. Nurkic enters the game for J. Hickson,,32-38,,
6:46.0,T. Lawson enters the game for E. Green,,32-38,,
6:46.0,K. Faried makes free throw 2 of 2,1,33-38,,
6:27.0,,,33-38,,G. Monroe misses 2-pt shot from 5 ft
6:26.0,Defensive rebound by W. Chandler,,33-38,,
6:13.0,W. Chandler misses 2-pt shot from 19 ft,,33-38,,
6:12.0,,,33-38,,Defensive rebound by A. Tolliver
6:04.0,,,33-40,2,G. Monroe makes 2-pt shot from 4 ft (assist by J. Lucas III)
5:45.0,W. Chandler makes 2-pt shot from 5 ft,2,35-40,,
5:37.0,,,35-42,2,J. Lucas III makes 2-pt shot at rim
5:21.0,K. Faried makes 2-pt shot at rim (assist by J. Nurkic),2,37-42,,
5:04.0,,,37-42,,J. Meeks misses 3-pt shot from 26 ft
5:03.0,,,37-42,,Offensive rebound by C. Butler
4:55.0,,,37-44,2,J. Meeks makes 2-pt shot at rim (assist by G. Monroe)
4:53.0,Denver full timeout,,37-44,,
4:53.0,,,37-44,,D. Augustin enters the game for J. Lucas III
4:33.0,Turnover by T. Lawson (traveling),,37-44,,
4:23.0,,,37-44,,J. Meeks misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by J. Nurkic,,37-44,,
4:11.0,Offensive charge foul by W. Chandler,,37-44,,
4:11.0,Turnover by W. Chandler (offensive foul),,37-44,,
4:11.0,,,37-44,,K. Singler enters the game for C. Butler
4:11.0,D. Gallinari enters the game for W. Chandler,,37-44,,
4:04.0,,,37-46,2,J. Meeks makes 2-pt shot from 21 ft (assist by D. Augustin)
3:50.0,Turnover by A. Afflalo (traveling),,37-46,,
3:41.0,,,37-46,,Turnover by J. Meeks (bad pass)
3:28.0,T. Lawson misses 2-pt shot from 13 ft,,37-46,,
3:27.0,,,37-46,,Defensive rebound by A. Tolliver
3:22.0,,,37-48,2,J. Meeks makes 2-pt shot at rim (assist by D. Augustin)
3:16.0,,,37-48,,Personal foul by A. Tolliver (drawn by J. Nurkic)
3:16.0,J. Nurkic makes free throw 1 of 2,1,38-48,,
3:16.0,,,38-48,,A. Drummond enters the game for A. Tolliver
3:16.0,J. Nurkic misses free throw 2 of 2,,38-48,,
3:15.0,,,38-48,,Defensive rebound by A. Drummond
3:05.0,Personal foul by A. Afflalo (drawn by A. Drummond),,38-48,,
2:52.0,,,38-50,2,A. Drummond makes 2-pt shot from 5 ft
2:34.0,J. Nurkic misses 2-pt shot from 1 ft,,38-50,,
2:33.0,,,38-50,,Defensive rebound by G. Monroe
2:29.0,,,38-52,2,J. Meeks makes 2-pt shot from 1 ft (assist by D. Augustin)
2:16.0,K. Faried misses 2-pt shot from 5 ft,,38-52,,
2:15.0,,,38-52,,Defensive rebound by K. Singler
2:06.0,,,38-52,,A. Drummond misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by T. Lawson,,38-52,,
1:59.0,D. Gallinari makes 2-pt shot from 15 ft (assist by T. Lawson),2,40-52,,
1:34.0,,,40-54,2,G. Monroe makes 2-pt shot from 16 ft (assist by D. Augustin)
1:07.0,A. Afflalo misses 3-pt shot from 23 ft,,40-54,,
1:05.0,Offensive rebound by J. Nurkic,,40-54,,
1:01.0,J. Nurkic misses 2-pt shot from 4 ft,,40-54,,
1:00.0,,,40-54,,Defensive rebound by G. Monroe
0:49.0,,,40-54,,Turnover by G. Monroe (lost ball; steal by K. Faried)
0:43.0,T. Lawson makes 2-pt shot at rim (assist by K. Faried),2,42-54,,
0:34.0,Personal foul by A. Afflalo (drawn by J. Meeks),,42-54,,
0:34.0,,,42-54,,Detroit full timeout
0:34.0,,,42-55,1,J. Meeks makes free throw 1 of 2
0:34.0,,,42-56,1,J. Meeks makes free throw 2 of 2
0:21.0,K. Faried misses 2-pt shot from 2 ft (block by A. Drummond),,42-56,,
0:19.0,Offensive rebound by K. Faried,,42-56,,
0:11.0,T. Lawson misses 3-pt shot from 26 ft,,42-56,,
0:10.0,,,42-56,,Defensive rebound by A. Drummond
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Faried misses 2-pt shot from 5 ft,,42-56,,
11:37.0,Offensive rebound by K. Faried,,42-56,,
11:29.0,W. Chandler makes 2-pt shot from 5 ft,2,44-56,,
11:05.0,,,44-56,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by W. Chandler,,44-56,,
10:57.0,W. Chandler misses 3-pt shot from 26 ft,,44-56,,
10:56.0,,,44-56,,Defensive rebound by G. Monroe
10:42.0,,,44-56,,K. Caldwell-Pope misses 2-pt shot at rim
10:40.0,,,44-56,,Offensive rebound by A. Drummond
10:40.0,,,44-56,,A. Drummond misses 2-pt shot at rim
10:39.0,Defensive rebound by W. Chandler,,44-56,,
10:30.0,T. Lawson makes 2-pt shot at rim,2,46-56,,
10:16.0,,,46-56,,K. Singler misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by J. Nurkic,,46-56,,
10:05.0,A. Afflalo misses 3-pt shot from 22 ft,,46-56,,
10:05.0,Offensive rebound by K. Faried,,46-56,,
10:05.0,,,46-56,,Personal foul by A. Drummond (drawn by K. Faried)
9:56.0,A. Afflalo makes 2-pt shot from 6 ft (assist by T. Lawson),2,48-56,,
9:56.0,,,48-56,,Detroit full timeout
9:40.0,Personal foul by K. Faried (drawn by G. Monroe),,48-56,,
9:25.0,,,48-58,2,D. Augustin makes 2-pt shot from 6 ft
9:12.0,Shooting foul by A. Drummond (drawn by J. Nurkic),,48-58,,
9:12.0,J. Nurkic misses free throw 1 of 2,,48-58,,
9:12.0,Offensive rebound by Team,,48-58,,
9:12.0,J. Nurkic makes free throw 2 of 2,1,49-58,,
8:55.0,,,49-60,2,G. Monroe makes 2-pt shot from 5 ft (assist by K. Singler)
8:38.0,J. Nurkic misses 2-pt shot from 15 ft,,49-60,,
8:37.0,,,49-60,,Defensive rebound by G. Monroe
8:27.0,,,49-60,,A. Drummond misses 2-pt shot from 3 ft (block by K. Faried)
8:25.0,Defensive rebound by J. Nurkic,,49-60,,
8:18.0,T. Lawson misses 2-pt shot from 15 ft,,49-60,,
8:16.0,,,49-60,,Defensive rebound by G. Monroe
8:02.0,,,49-60,,D. Augustin misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by J. Nurkic,,49-60,,
7:48.0,T. Lawson makes 3-pt shot from 26 ft (assist by A. Afflalo),3,52-60,,
7:36.0,,,52-60,,Shooting foul by J. Nurkic (drawn by K. Caldwell-Pope)
7:36.0,,,52-60,,K. Caldwell-Pope misses free throw 1 of 2
7:36.0,,,52-60,,Offensive rebound by Team
7:36.0,D. Arthur enters the game for K. Faried,,52-60,,
7:36.0,,,52-61,1,K. Caldwell-Pope makes free throw 2 of 2
7:21.0,J. Nurkic misses 2-pt shot from 4 ft (block by A. Drummond),,52-61,,
7:20.0,,,52-61,,Defensive rebound by G. Monroe
7:14.0,,,52-64,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by D. Augustin)
6:59.0,W. Chandler misses 2-pt shot from 19 ft,,52-64,,
6:58.0,,,52-64,,Defensive rebound by G. Monroe
6:41.0,,,52-67,3,D. Augustin makes 3-pt shot from 26 ft
6:41.0,Denver full timeout,,52-67,,
6:41.0,J. Hickson enters the game for J. Nurkic,,52-67,,
6:41.0,G. Harris enters the game for A. Afflalo,,52-67,,
6:24.0,G. Harris misses 3-pt shot from 26 ft,,52-67,,
6:22.0,,,52-67,,Defensive rebound by Team
6:04.0,,,52-70,3,D. Augustin makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
5:50.0,Turnover by D. Arthur (lost ball; steal by G. Monroe),,52-70,,
5:47.0,,,52-70,,Shooting foul by T. Lawson (drawn by G. Monroe)
5:47.0,,,52-71,1,G. Monroe makes free throw 1 of 2
5:47.0,D. Gallinari enters the game for W. Chandler,,52-71,,
5:47.0,,,52-72,1,G. Monroe makes free throw 2 of 2
5:32.0,D. Arthur misses 2-pt shot from 14 ft,,52-72,,
5:31.0,,,52-72,,Defensive rebound by Team
5:16.0,Personal foul by D. Arthur (drawn by D. Augustin),,52-72,,
5:09.0,,,52-72,,K. Caldwell-Pope misses 2-pt shot from 2 ft
5:08.0,,,52-72,,Offensive rebound by K. Caldwell-Pope
5:07.0,,,52-74,2,K. Caldwell-Pope makes 2-pt shot at rim
4:57.0,D. Gallinari makes 2-pt shot from 8 ft (assist by T. Lawson),2,54-74,,
4:34.0,,,54-74,,Shooting foul by T. Lawson (drawn by G. Monroe)
4:34.0,,,54-74,,G. Monroe misses free throw 1 of 2
4:34.0,,,54-74,,Offensive rebound by Team
4:34.0,,,54-74,,G. Monroe misses free throw 2 of 2
4:33.0,Defensive rebound by J. Hickson,,54-74,,
4:21.0,Turnover by T. Lawson (bad pass; steal by G. Monroe),,54-74,,
4:19.0,,,54-74,,Turnover by K. Caldwell-Pope (bad pass)
4:06.0,J. Hickson makes 2-pt shot from 15 ft (assist by G. Harris),2,56-74,,
3:49.0,,,56-74,,Turnover by K. Caldwell-Pope (bad pass; steal by D. Arthur)
3:36.0,D. Arthur misses 2-pt shot from 12 ft,,56-74,,
3:35.0,,,56-74,,Defensive rebound by K. Singler
3:29.0,,,56-76,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
3:13.0,G. Harris misses 3-pt shot from 23 ft,,56-76,,
3:12.0,Offensive rebound by J. Hickson,,56-76,,
3:10.0,J. Hickson makes 2-pt shot at rim,2,58-76,,
2:40.0,,,58-76,,A. Drummond misses 2-pt shot from 20 ft
2:39.0,Defensive rebound by J. Hickson,,58-76,,
2:34.0,G. Harris misses 3-pt shot from 26 ft,,58-76,,
2:33.0,,,58-76,,Defensive rebound by Team
2:32.0,,,58-76,,A. Tolliver enters the game for G. Monroe
2:32.0,E. Green enters the game for T. Lawson,,58-76,,
2:17.0,,,58-76,,A. Tolliver misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by G. Harris,,58-76,,
2:06.0,E. Green misses 2-pt shot from 18 ft,,58-76,,
2:05.0,,,58-76,,Defensive rebound by A. Drummond
2:02.0,,,58-76,,Turnover by D. Augustin (lost ball)
2:02.0,R. Foye enters the game for G. Harris,,58-76,,
2:02.0,,,58-76,,J. Meeks enters the game for K. Caldwell-Pope
1:52.0,J. Hickson misses 2-pt shot at rim,,58-76,,
1:50.0,,,58-76,,Defensive rebound by A. Drummond
1:43.0,,,58-76,,Turnover by D. Augustin (bad pass; steal by D. Arthur)
1:36.0,,,58-76,,Personal foul by K. Singler (drawn by D. Gallinari)
1:36.0,,,58-76,,C. Butler enters the game for K. Singler
1:26.0,D. Gallinari misses 3-pt shot from 24 ft,,58-76,,
1:25.0,,,58-76,,Defensive rebound by A. Drummond
1:01.0,,,58-78,2,A. Tolliver makes 2-pt shot at rim (assist by D. Augustin)
0:43.0,D. Arthur makes 2-pt shot from 19 ft (assist by E. Green),2,60-78,,
0:24.0,,,60-78,,J. Lucas III enters the game for D. Augustin
0:22.0,,,60-80,2,J. Meeks makes 2-pt shot from 10 ft (assist by C. Butler)
0:03.0,J. Hickson makes 2-pt shot at rim (assist by R. Foye),2,62-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,62-80,,C. Butler misses 3-pt shot from 26 ft
11:36.0,,,62-80,,Offensive rebound by Team
11:36.0,,,62-80,,Turnover by Team (shot clock)
11:36.0,,,62-80,,J. Anthony enters the game for A. Drummond
11:13.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Hickson),3,65-80,,
11:04.0,,,65-80,,A. Tolliver misses 3-pt shot from 23 ft
11:03.0,,,65-80,,Offensive rebound by J. Anthony
11:02.0,Personal foul by R. Foye (drawn by J. Anthony),,65-80,,
11:02.0,A. Gee enters the game for J. Hickson,,65-80,,
10:50.0,,,65-82,2,J. Lucas III makes 2-pt shot from 12 ft
10:34.0,D. Gallinari misses 3-pt shot from 25 ft,,65-82,,
10:33.0,,,65-82,,Defensive rebound by J. Meeks
10:18.0,,,65-82,,J. Meeks misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by A. Gee,,65-82,,
10:09.0,D. Arthur misses 2-pt shot from 16 ft,,65-82,,
10:08.0,Offensive rebound by E. Green,,65-82,,
10:01.0,,,65-82,,Personal foul by J. Anthony (drawn by D. Gallinari)
9:52.0,R. Foye misses 3-pt shot from 26 ft,,65-82,,
9:50.0,,,65-82,,Defensive rebound by A. Tolliver
9:44.0,Personal foul by R. Foye (drawn by J. Meeks),,65-82,,
9:33.0,,,65-82,,Offensive foul by A. Tolliver
9:33.0,,,65-82,,Turnover by A. Tolliver (offensive foul)
9:33.0,K. Faried enters the game for D. Arthur,,65-82,,
9:23.0,Turnover by E. Green (lost ball),,65-82,,
9:03.0,,,65-82,,J. Anthony misses 2-pt shot from 6 ft
9:01.0,Defensive rebound by D. Gallinari,,65-82,,
8:57.0,Shooting foul by A. Tolliver (drawn by D. Gallinari),,65-82,,
8:57.0,Official timeout,,65-82,,
8:57.0,,,65-82,,J. Jerebko enters the game for A. Tolliver
8:57.0,,,65-82,,G. Monroe enters the game for J. Anthony
8:57.0,T. Lawson enters the game for E. Green,,65-82,,
8:57.0,D. Gallinari makes free throw 1 of 2,1,66-82,,
8:57.0,D. Gallinari makes free throw 2 of 2,1,67-82,,
8:45.0,,,67-82,,J. Lucas III misses 2-pt shot from 8 ft
8:45.0,,,67-82,,Offensive rebound by Team
8:45.0,Loose ball foul by K. Faried (drawn by G. Monroe),,67-82,,
8:31.0,,,67-82,,J. Jerebko misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by T. Lawson,,67-82,,
8:26.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,69-82,,
8:01.0,,,69-82,,G. Monroe misses 2-pt shot from 5 ft
8:00.0,Defensive rebound by D. Gallinari,,69-82,,
7:52.0,D. Gallinari misses 2-pt shot from 19 ft,,69-82,,
7:51.0,,,69-82,,Defensive rebound by G. Monroe
7:37.0,,,69-82,,Turnover by J. Meeks (bad pass)
7:22.0,Shooting foul by C. Butler (drawn by K. Faried),,69-82,,
7:22.0,K. Faried makes free throw 1 of 2,1,70-82,,
7:22.0,K. Faried misses free throw 2 of 2,,70-82,,
7:21.0,,,70-82,,Defensive rebound by G. Monroe
7:04.0,,,70-82,,Turnover by G. Monroe (lost ball; steal by K. Faried)
6:56.0,Shooting foul by J. Meeks (drawn by T. Lawson),,70-82,,
6:56.0,T. Lawson makes free throw 1 of 2,1,71-82,,
6:56.0,,,71-82,,D. Augustin enters the game for J. Lucas III
6:56.0,T. Lawson makes free throw 2 of 2,1,72-82,,
6:50.0,,,72-82,,Turnover by D. Augustin (bad pass)
6:41.0,Turnover by R. Foye (bad pass),,72-82,,
6:16.0,,,72-82,,Turnover by G. Monroe (lost ball; steal by A. Gee)
6:13.0,Turnover by D. Gallinari (bad pass; steal by C. Butler),,72-82,,
6:13.0,Personal foul by K. Faried (drawn by C. Butler),,72-82,,
6:13.0,,,72-82,,Detroit full timeout
6:13.0,J. Nurkic enters the game for K. Faried,,72-82,,
5:51.0,,,72-82,,Turnover by C. Butler (bad pass)
5:34.0,T. Lawson misses 2-pt shot from 17 ft (block by G. Monroe),,72-82,,
5:31.0,,,72-82,,Defensive rebound by G. Monroe
5:10.0,,,72-82,,G. Monroe misses 2-pt shot from 3 ft (block by J. Nurkic)
5:09.0,,,72-82,,Offensive rebound by G. Monroe
5:06.0,,,72-82,,C. Butler misses 3-pt shot from 27 ft
5:05.0,Defensive rebound by J. Nurkic,,72-82,,
4:47.0,J. Nurkic misses 2-pt shot from 5 ft,,72-82,,
4:46.0,,,72-82,,Defensive rebound by J. Meeks
4:39.0,,,72-82,,Turnover by C. Butler (lost ball)
4:39.0,,,72-82,,K. Singler enters the game for C. Butler
4:25.0,A. Gee misses 2-pt shot from 9 ft,,72-82,,
4:24.0,,,72-82,,Defensive rebound by D. Augustin
4:21.0,,,72-84,2,J. Meeks makes 2-pt shot at rim (assist by D. Augustin)
4:02.0,Turnover by R. Foye (bad pass),,72-84,,
3:40.0,,,72-84,,G. Monroe misses 2-pt shot from 5 ft
3:39.0,Defensive rebound by A. Gee,,72-84,,
3:34.0,A. Gee makes 2-pt shot at rim,2,74-84,,
3:14.0,,,74-86,2,D. Augustin makes 2-pt shot at rim (assist by G. Monroe)
2:58.0,A. Gee misses 3-pt shot from 23 ft,,74-86,,
2:57.0,,,74-86,,Defensive rebound by G. Monroe
2:51.0,,,74-86,,J. Meeks misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by D. Gallinari,,74-86,,
2:42.0,R. Foye makes 3-pt shot from 25 ft (assist by D. Gallinari),3,77-86,,
2:21.0,,,77-88,2,J. Jerebko makes 2-pt shot from 4 ft (assist by G. Monroe)
2:21.0,Denver full timeout,,77-88,,
2:21.0,,,77-88,,K. Caldwell-Pope enters the game for J. Meeks
2:21.0,W. Chandler enters the game for J. Nurkic,,77-88,,
2:21.0,K. Faried enters the game for A. Gee,,77-88,,
2:12.0,K. Faried makes 2-pt shot at rim (assist by D. Gallinari),2,79-88,,
