time,Oklahoma City,pts.away,score,pts.home,Toronto
4:42.0,N. Collison enters the game for L. Thomas,,20-16,,
4:42.0,S. Adams misses free throw 2 of 2,,20-16,,
4:41.0,,,20-16,,Defensive rebound by D. DeRozan
4:24.0,,,20-16,,C. Hayes misses 2-pt shot from 2 ft (block by N. Collison)
4:21.0,Defensive rebound by N. Collison,,20-16,,
4:18.0,,,20-16,,Personal foul by T. Ross (drawn by S. Ibaka)
4:18.0,,,20-16,,J. Johnson enters the game for T. Ross
4:14.0,,,20-16,,Personal block foul by C. Hayes (drawn by R. Jackson)
4:14.0,R. Jackson makes free throw 1 of 2,1,21-16,,
4:14.0,R. Jackson misses free throw 2 of 2,,21-16,,
4:13.0,,,21-16,,Defensive rebound by J. Johnson
3:59.0,,,21-16,,Shooting foul by N. Collison (drawn by K. Lowry)
3:59.0,,,21-17,1,K. Lowry makes free throw 1 of 2
3:59.0,K. Perkins enters the game for S. Adams,,21-17,,
3:59.0,,,21-18,1,K. Lowry makes free throw 2 of 2
3:37.0,N. Collison makes 2-pt shot from 21 ft (assist by R. Jackson),2,23-18,,
3:17.0,,,23-18,,K. Lowry misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by K. Perkins,,23-18,,
2:56.0,K. Perkins misses 2-pt shot from 4 ft,,23-18,,
2:55.0,,,23-18,,Defensive rebound by P. Patterson
2:44.0,Def 3 sec tech foul by K. Perkins,,23-18,,
2:44.0,,,23-18,,Toronto full timeout
2:44.0,,,23-19,1,D. DeRozan makes technical free throw
2:34.0,,,23-21,2,J. Johnson makes 2-pt shot at rim (assist by K. Lowry)
2:16.0,R. Jackson makes 2-pt shot from 4 ft,2,25-21,,
2:06.0,,,25-21,,P. Patterson misses 2-pt shot from 6 ft
2:05.0,,,25-21,,Offensive rebound by J. Johnson
2:03.0,,,25-21,,J. Johnson misses 2-pt shot at rim
2:01.0,Defensive rebound by N. Collison,,25-21,,
1:49.0,N. Collison makes 3-pt shot from 24 ft (assist by R. Jackson),3,28-21,,
1:26.0,,,28-21,,D. DeRozan misses 2-pt shot from 19 ft
1:25.0,,,28-21,,Offensive rebound by J. Johnson
1:18.0,,,28-21,,J. Johnson misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by N. Collison,,28-21,,
1:09.0,R. Jackson makes 2-pt shot from 3 ft,2,30-21,,
0:56.0,,,30-21,,J. Johnson misses 3-pt shot from 24 ft
0:55.0,,,30-21,,Offensive rebound by Team
0:54.0,,,30-21,,T. Hansbrough enters the game for P. Patterson
0:54.0,,,30-21,,L. Williams enters the game for K. Lowry
0:54.0,,,30-21,,G. Vasquez enters the game for D. DeRozan
0:48.0,,,30-21,,G. Vasquez misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by P. Jones,,30-21,,
0:32.0,R. Jackson misses 3-pt shot from 24 ft,,30-21,,
0:31.0,,,30-21,,Defensive rebound by C. Hayes
0:21.0,,,30-23,2,G. Vasquez makes 2-pt shot from 4 ft (assist by J. Johnson)
0:00.0,R. Jackson misses 3-pt shot from 25 ft,,30-23,,
0:00.0,Offensive rebound by Team,,30-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,30-23,,L. Williams misses 3-pt shot from 25 ft
11:41.0,,,30-23,,Offensive rebound by G. Stiemsma
11:29.0,,,30-23,,G. Vasquez misses 2-pt shot from 14 ft (block by K. Perkins)
11:27.0,Defensive rebound by S. Ibaka,,30-23,,
11:17.0,S. Ibaka makes 3-pt shot from 24 ft (assist by S. Telfair),3,33-23,,
11:08.0,,,33-26,3,L. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
10:56.0,,,33-26,,Personal foul by G. Vasquez (drawn by P. Jones)
10:56.0,L. Thomas enters the game for P. Jones,,33-26,,
10:39.0,Turnover by Team (shot clock),,33-26,,
10:21.0,,,33-26,,G. Vasquez misses 2-pt shot from 7 ft
10:21.0,Defensive rebound by N. Collison,,33-26,,
10:08.0,Offensive charge foul by K. Perkins,,33-26,,
10:08.0,Turnover by K. Perkins (offensive foul),,33-26,,
9:59.0,,,33-26,,Offensive foul by G. Stiemsma
9:59.0,,,33-26,,Turnover by G. Stiemsma (offensive foul)
9:49.0,Turnover by N. Collison (bad pass; steal by G. Stiemsma),,33-26,,
9:46.0,,,33-26,,Shooting foul by N. Collison (drawn by T. Hansbrough)
9:46.0,,,33-27,1,T. Hansbrough makes free throw 1 of 2
9:46.0,,,33-28,1,T. Hansbrough makes free throw 2 of 2
9:34.0,S. Ibaka makes 2-pt shot from 17 ft (assist by N. Collison),2,35-28,,
9:21.0,,,35-31,3,J. Johnson makes 3-pt shot from 26 ft (assist by G. Vasquez)
9:02.0,L. Thomas misses 2-pt shot from 4 ft,,35-31,,
9:01.0,,,35-31,,Defensive rebound by T. Hansbrough
8:53.0,,,35-31,,L. Williams misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by S. Ibaka,,35-31,,
8:41.0,,,35-31,,Personal foul by G. Stiemsma (drawn by S. Telfair)
8:41.0,Official timeout,,35-31,,
8:28.0,S. Telfair makes 2-pt shot from 3 ft,2,37-31,,
8:27.0,Violation by Team (delay of game),,37-31,,
8:14.0,,,37-31,,Turnover by L. Williams (lost ball; steal by S. Telfair)
8:09.0,,,37-31,,Personal foul by J. Johnson (drawn by S. Ibaka)
7:53.0,L. Thomas misses 2-pt shot from 17 ft,,37-31,,
7:52.0,,,37-31,,Defensive rebound by G. Vasquez
7:36.0,,,37-33,2,G. Vasquez makes 2-pt shot from 3 ft (assist by T. Hansbrough)
7:19.0,Offensive foul by S. Telfair,,37-33,,
7:19.0,Turnover by S. Telfair (offensive foul),,37-33,,
7:19.0,R. Jackson enters the game for S. Ibaka,,37-33,,
7:19.0,S. Adams enters the game for K. Perkins,,37-33,,
7:03.0,,,37-33,,J. Johnson misses 2-pt shot from 20 ft
7:02.0,,,37-33,,Offensive rebound by G. Stiemsma
6:50.0,,,37-35,2,G. Stiemsma makes 2-pt shot from 2 ft (assist by G. Vasquez)
6:42.0,Oklahoma City full timeout,,37-35,,
6:28.0,N. Collison misses flagrant free throw 1 of 2,,37-35,,
6:28.0,Offensive rebound by Team,,37-35,,
6:28.0,N. Collison makes flagrant free throw 2 of 2,1,38-35,,
6:28.0,,,38-35,,J. Valanciunas enters the game for G. Stiemsma
6:17.0,L. Thomas misses 2-pt shot from 6 ft,,38-35,,
6:16.0,,,38-35,,Defensive rebound by T. Hansbrough
6:01.0,,,38-35,,Turnover by J. Johnson (bad pass)
5:55.0,L. Thomas makes 2-pt shot from 1 ft (assist by R. Jackson),2,40-35,,
5:49.0,,,40-35,,Toronto full timeout
5:49.0,,,40-35,,K. Lowry enters the game for J. Johnson
5:49.0,,,40-35,,D. DeRozan enters the game for L. Williams
5:49.0,,,40-35,,T. Ross enters the game for G. Vasquez
5:49.0,S. Ibaka enters the game for L. Thomas,,40-35,,
5:49.0,P. Jones enters the game for N. Collison,,40-35,,
5:33.0,,,40-35,,K. Lowry misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by S. Ibaka,,40-35,,
5:10.0,Shooting foul by K. Lowry (drawn by R. Jackson),,40-35,,
5:10.0,R. Jackson makes free throw 1 of 2,1,41-35,,
5:10.0,R. Jackson makes free throw 2 of 2,1,42-35,,
4:53.0,,,42-35,,T. Ross misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by S. Telfair,,42-35,,
4:49.0,S. Telfair makes 2-pt shot from 3 ft,2,44-35,,
4:30.0,Personal foul by P. Jones (drawn by J. Valanciunas),,44-35,,
4:16.0,,,44-35,,Turnover by T. Ross (offensive goaltending)
4:07.0,P. Jones misses 2-pt shot from 3 ft (block by J. Valanciunas),,44-35,,
4:05.0,,,44-35,,Defensive rebound by T. Hansbrough
4:00.0,,,44-37,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
4:00.0,,,44-37,,Shooting foul by S. Adams (drawn by D. DeRozan)
4:00.0,,,44-37,,D. DeRozan misses free throw 1 of 1
3:59.0,Defensive rebound by S. Adams,,44-37,,
3:51.0,R. Jackson misses 2-pt shot at rim,,44-37,,
3:50.0,,,44-37,,Defensive rebound by K. Lowry
3:44.0,Personal foul by S. Ibaka (drawn by D. DeRozan),,44-37,,
3:44.0,,,44-37,,P. Patterson enters the game for T. Hansbrough
3:39.0,,,44-37,,J. Valanciunas misses 2-pt shot from 3 ft
3:37.0,Defensive rebound by S. Adams,,44-37,,
3:15.0,P. Jones makes 2-pt shot from 19 ft (assist by S. Adams),2,46-37,,
3:05.0,,,46-39,2,K. Lowry makes 2-pt shot from 15 ft (assist by D. DeRozan)
3:05.0,Shooting block foul by P. Jones (drawn by K. Lowry),,46-39,,
3:05.0,,,46-40,1,K. Lowry makes free throw 1 of 1
2:50.0,S. Ibaka misses 3-pt shot from 25 ft,,46-40,,
2:48.0,,,46-40,,Defensive rebound by T. Ross
2:38.0,,,46-40,,Shooting foul by S. Adams (drawn by D. DeRozan)
2:38.0,,,46-41,1,D. DeRozan makes free throw 1 of 2
2:38.0,,,46-42,1,D. DeRozan makes free throw 2 of 2
2:35.0,Oklahoma City full timeout,,46-42,,
2:25.0,Turnover by R. Jackson (lost ball; steal by P. Patterson),,46-42,,
2:21.0,,,46-44,2,T. Ross makes 2-pt shot from 2 ft (assist by P. Patterson)
2:12.0,,,46-44,,Personal block foul by P. Patterson (drawn by R. Jackson)
2:12.0,R. Jackson makes free throw 1 of 2,1,47-44,,
2:12.0,L. Thomas enters the game for P. Jones,,47-44,,
2:12.0,R. Jackson makes free throw 2 of 2,1,48-44,,
1:55.0,,,48-44,,D. DeRozan misses 2-pt shot from 4 ft
1:54.0,Defensive rebound by L. Thomas,,48-44,,
1:35.0,S. Ibaka makes 2-pt shot from 15 ft (assist by S. Telfair),2,50-44,,
1:23.0,,,50-44,,D. DeRozan misses 2-pt shot from 6 ft
1:22.0,Defensive rebound by L. Thomas,,50-44,,
1:12.0,Turnover by L. Thomas (traveling),,50-44,,
1:05.0,,,50-47,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
0:58.0,S. Telfair makes 2-pt shot from 3 ft,2,52-47,,
0:57.0,,,52-47,,T. Hansbrough enters the game for J. Valanciunas
0:57.0,K. Perkins enters the game for S. Adams,,52-47,,
0:45.0,,,52-49,2,D. DeRozan makes 2-pt shot from 15 ft
0:34.0,R. Jackson misses 3-pt shot from 24 ft,,52-49,,
0:33.0,,,52-49,,Defensive rebound by P. Patterson
0:29.0,,,52-51,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
0:06.0,L. Thomas misses 2-pt shot from 18 ft,,52-51,,
0:05.0,,,52-51,,Defensive rebound by T. Hansbrough
0:00.0,,,52-51,,K. Lowry misses 2-pt shot from 19 ft
0:00.0,,,52-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-51,,K. Lowry misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by S. Adams,,52-51,,
11:29.0,S. Ibaka misses 3-pt shot from 26 ft,,52-51,,
11:28.0,,,52-51,,Defensive rebound by D. DeRozan
11:18.0,,,52-51,,T. Ross misses 3-pt shot from 25 ft
11:17.0,,,52-51,,Offensive rebound by T. Hansbrough
11:15.0,,,52-51,,T. Hansbrough misses 2-pt shot from 1 ft
11:13.0,,,52-51,,Offensive rebound by P. Patterson
11:12.0,,,52-51,,P. Patterson misses 2-pt shot at rim
11:10.0,Defensive rebound by S. Adams,,52-51,,
11:07.0,Offensive charge foul by P. Jones,,52-51,,
11:07.0,Turnover by P. Jones (offensive foul),,52-51,,
11:07.0,Oklahoma City full timeout,,52-51,,
11:07.0,S. Telfair enters the game for P. Jones,,52-51,,
10:51.0,,,52-53,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
10:31.0,S. Adams makes 2-pt shot from 6 ft,2,54-53,,
10:21.0,,,54-53,,T. Hansbrough misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by S. Ibaka,,54-53,,
10:14.0,,,54-53,,Personal foul by K. Lowry (drawn by R. Jackson)
10:03.0,Turnover by S. Adams (lost ball; steal by T. Hansbrough),,54-53,,
9:56.0,,,54-53,,D. DeRozan misses 2-pt shot from 18 ft
9:55.0,Defensive rebound by S. Ibaka,,54-53,,
9:32.0,S. Telfair misses 3-pt shot from 27 ft,,54-53,,
9:31.0,,,54-53,,Defensive rebound by P. Patterson
9:20.0,,,54-56,3,D. DeRozan makes 3-pt shot from 23 ft (assist by P. Patterson)
8:57.0,Turnover by S. Ibaka (traveling),,54-56,,
8:51.0,,,54-56,,Shooting foul by S. Adams (drawn by D. DeRozan)
8:51.0,,,54-56,,D. DeRozan misses free throw 1 of 2
8:51.0,,,54-56,,Offensive rebound by Team
8:51.0,,,54-57,1,D. DeRozan makes free throw 2 of 2
8:33.0,L. Thomas makes 2-pt shot from 12 ft (assist by S. Telfair),2,56-57,,
8:12.0,,,56-57,,P. Patterson misses 2-pt shot from 5 ft
8:11.0,,,56-57,,Offensive rebound by T. Hansbrough
8:08.0,,,56-59,2,T. Hansbrough makes 2-pt shot from 1 ft
7:49.0,S. Telfair makes 3-pt shot from 26 ft (assist by S. Ibaka),3,59-59,,
7:26.0,,,59-59,,T. Hansbrough misses 2-pt shot from 2 ft (block by S. Ibaka)
7:25.0,,,59-59,,Offensive rebound by T. Hansbrough
7:25.0,,,59-59,,Shooting foul by S. Adams (drawn by T. Hansbrough)
7:25.0,,,59-59,,T. Hansbrough misses free throw 1 of 2
7:25.0,,,59-59,,Offensive rebound by Team
7:25.0,K. Perkins enters the game for S. Adams,,59-59,,
7:25.0,,,59-59,,T. Hansbrough misses free throw 2 of 2
7:24.0,Defensive rebound by S. Ibaka,,59-59,,
7:07.0,R. Jackson misses 3-pt shot from 25 ft,,59-59,,
7:07.0,Offensive rebound by S. Telfair,,59-59,,
7:07.0,Shooting foul by K. Lowry (drawn by S. Telfair),,59-59,,
7:07.0,S. Telfair makes free throw 1 of 2,1,60-59,,
7:07.0,S. Telfair misses free throw 2 of 2,,60-59,,
7:06.0,,,60-59,,Defensive rebound by P. Patterson
6:43.0,,,60-62,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
6:17.0,L. Thomas misses 2-pt shot from 18 ft,,60-62,,
6:16.0,,,60-62,,Defensive rebound by T. Ross
6:05.0,,,60-62,,Shooting foul by K. Perkins (drawn by T. Hansbrough)
6:05.0,,,60-63,1,T. Hansbrough makes free throw 1 of 2
6:05.0,,,60-64,1,T. Hansbrough makes free throw 2 of 2
5:45.0,K. Perkins misses 2-pt shot from 5 ft,,60-64,,
5:45.0,Offensive rebound by Team,,60-64,,
5:45.0,,,60-64,,Loose ball foul by T. Hansbrough (drawn by L. Thomas)
5:32.0,Turnover by K. Perkins (bad pass; steal by P. Patterson),,60-64,,
5:23.0,,,60-64,,Turnover by P. Patterson (traveling)
5:18.0,Turnover by S. Ibaka (offensive foul),,60-64,,
5:18.0,Offensive foul by S. Ibaka,,60-64,,
5:18.0,,,60-64,,G. Stiemsma enters the game for T. Hansbrough
5:07.0,,,60-64,,Turnover by T. Ross (lost ball; steal by S. Telfair)
4:52.0,L. Thomas makes 2-pt shot from 20 ft (assist by R. Jackson),2,62-64,,
4:37.0,,,62-66,2,P. Patterson makes 2-pt shot from 2 ft (assist by G. Stiemsma)
4:10.0,S. Ibaka makes 2-pt shot from 13 ft,2,64-66,,
3:45.0,,,64-66,,Shooting foul by S. Ibaka (drawn by D. DeRozan)
3:45.0,,,64-67,1,D. DeRozan makes free throw 1 of 2
3:45.0,N. Collison enters the game for S. Ibaka,,64-67,,
3:45.0,,,64-67,,G. Vasquez enters the game for T. Ross
3:45.0,,,64-68,1,D. DeRozan makes free throw 2 of 2
3:33.0,,,64-68,,Personal foul by G. Stiemsma (drawn by K. Perkins)
3:33.0,,,64-68,,J. Johnson enters the game for P. Patterson
3:19.0,S. Telfair misses 3-pt shot from 24 ft,,64-68,,
3:18.0,,,64-68,,Defensive rebound by K. Lowry
3:13.0,Personal foul by R. Jackson (drawn by K. Lowry),,64-68,,
3:13.0,,,64-69,1,K. Lowry makes free throw 1 of 2
3:13.0,S. Ibaka enters the game for R. Jackson,,64-69,,
3:13.0,,,64-70,1,K. Lowry makes free throw 2 of 2
3:02.0,K. Perkins misses 2-pt shot from 8 ft,,64-70,,
3:01.0,,,64-70,,Defensive rebound by D. DeRozan
2:45.0,,,64-70,,Turnover by G. Vasquez (step out of bounds)
2:45.0,,,64-70,,Toronto full timeout
2:45.0,,,64-70,,T. Hansbrough enters the game for D. DeRozan
2:45.0,,,64-70,,L. Williams enters the game for K. Lowry
2:29.0,L. Thomas makes 2-pt shot from 3 ft (assist by S. Ibaka),2,66-70,,
2:29.0,Shooting foul by J. Johnson (drawn by L. Thomas),,66-70,,
2:29.0,L. Thomas misses free throw 1 of 1,,66-70,,
2:28.0,Offensive rebound by K. Perkins,,66-70,,
2:26.0,Shooting foul by T. Hansbrough (drawn by K. Perkins),,66-70,,
2:26.0,K. Perkins misses free throw 1 of 2,,66-70,,
2:26.0,Offensive rebound by Team,,66-70,,
2:26.0,,,66-70,,C. Hayes enters the game for G. Stiemsma
2:26.0,K. Perkins misses free throw 2 of 2,,66-70,,
2:26.0,,,66-70,,Defensive rebound by Team
2:26.0,Loose ball foul by N. Collison (drawn by J. Johnson),,66-70,,
2:26.0,,,66-70,,J. Johnson misses free throw 1 of 2
2:26.0,,,66-70,,Offensive rebound by Team
2:26.0,,,66-71,1,J. Johnson makes free throw 2 of 2
2:06.0,S. Telfair misses 3-pt shot from 23 ft,,66-71,,
2:05.0,,,66-71,,Defensive rebound by G. Vasquez
1:47.0,,,66-71,,C. Hayes misses 2-pt shot from 3 ft
1:45.0,Defensive rebound by S. Telfair,,66-71,,
1:37.0,Offensive charge foul by S. Telfair,,66-71,,
1:37.0,Turnover by S. Telfair (offensive foul),,66-71,,
1:37.0,R. Jackson enters the game for S. Telfair,,66-71,,
1:23.0,,,66-73,2,T. Hansbrough makes 2-pt shot from 3 ft (assist by J. Johnson)
1:10.0,R. Jackson misses 2-pt shot from 10 ft,,66-73,,
1:09.0,Offensive rebound by R. Jackson,,66-73,,
1:06.0,R. Jackson makes 2-pt shot from 2 ft,2,68-73,,
0:50.0,,,68-73,,L. Williams misses 2-pt shot from 10 ft
0:49.0,Defensive rebound by Team,,68-73,,
0:34.0,Shooting foul by T. Hansbrough (drawn by R. Jackson),,68-73,,
0:34.0,R. Jackson misses free throw 1 of 2,,68-73,,
0:34.0,Offensive rebound by Team,,68-73,,
0:34.0,,,68-73,,P. Patterson enters the game for T. Hansbrough
0:34.0,R. Jackson misses free throw 2 of 2,,68-73,,
0:33.0,,,68-73,,Defensive rebound by J. Johnson
0:15.0,,,68-73,,G. Vasquez misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by S. Ibaka,,68-73,,
0:02.0,R. Jackson makes 2-pt shot from 2 ft,2,70-73,,
0:00.0,,,70-73,,G. Vasquez misses 3-pt shot from 59 ft
0:00.0,,,70-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,S. Ibaka misses 3-pt shot from 23 ft (block by J. Johnson),,70-73,,
11:44.0,,,70-73,,Defensive rebound by G. Vasquez
11:41.0,,,70-75,2,L. Williams makes 2-pt shot at rim (assist by G. Vasquez)
11:20.0,Oklahoma City full timeout,,70-75,,
11:16.0,Turnover by R. Jackson (lost ball),,70-75,,
11:16.0,Personal foul by R. Jackson (drawn by L. Williams),,70-75,,
11:03.0,,,70-75,,G. Vasquez misses 3-pt shot from 24 ft
11:02.0,,,70-75,,Offensive rebound by G. Stiemsma
10:51.0,,,70-78,3,G. Vasquez makes 3-pt shot from 26 ft (assist by J. Johnson)
10:34.0,Turnover by N. Collison (bad pass),,70-78,,
10:23.0,,,70-80,2,G. Stiemsma makes 2-pt shot at rim (assist by J. Johnson)
10:21.0,Oklahoma City full timeout,,70-80,,
10:03.0,N. Collison misses 3-pt shot from 24 ft,,70-80,,
10:02.0,Offensive rebound by L. Thomas,,70-80,,
9:47.0,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Jackson),2,72-80,,
9:23.0,,,72-83,3,L. Williams makes 3-pt shot from 30 ft
9:05.0,,,72-83,,Personal foul by J. Johnson (drawn by R. Jackson)
8:55.0,S. Ibaka makes 2-pt shot from 6 ft,2,74-83,,
8:49.0,,,74-83,,Shooting foul by S. Ibaka (drawn by L. Williams)
8:49.0,,,74-84,1,L. Williams makes free throw 1 of 2
8:49.0,,,74-85,1,L. Williams makes free throw 2 of 2
8:41.0,S. Ibaka makes 2-pt shot from 2 ft (assist by R. Jackson),2,76-85,,
8:25.0,,,76-85,,L. Williams misses 3-pt shot from 27 ft
8:24.0,Defensive rebound by L. Thomas,,76-85,,
8:09.0,R. Jackson misses 3-pt shot from 27 ft,,76-85,,
8:08.0,,,76-85,,Defensive rebound by L. Williams
8:00.0,,,76-85,,G. Vasquez misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by S. Ibaka,,76-85,,
7:49.0,,,76-85,,Personal foul by G. Stiemsma (drawn by S. Adams)
7:49.0,,,76-85,,T. Hansbrough enters the game for G. Stiemsma
7:41.0,Turnover by Team (back court),,76-85,,
7:41.0,S. Telfair enters the game for L. Thomas,,76-85,,
7:31.0,,,76-85,,P. Patterson misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by R. Jackson,,76-85,,
7:08.0,Turnover by R. Jackson (lost ball; steal by L. Williams),,76-85,,
6:55.0,,,76-87,2,G. Vasquez makes 2-pt shot from 4 ft
6:55.0,Shooting block foul by R. Jackson (drawn by G. Vasquez),,76-87,,
6:55.0,,,76-88,1,G. Vasquez makes free throw 1 of 1
6:38.0,Turnover by S. Ibaka (bad pass; steal by L. Williams),,76-88,,
6:33.0,,,76-90,2,L. Williams makes 2-pt shot from 2 ft
6:33.0,Oklahoma City full timeout,,76-90,,
6:20.0,Shooting foul by P. Patterson (drawn by S. Adams),,76-90,,
6:20.0,S. Adams makes free throw 1 of 2,1,77-90,,
6:20.0,S. Adams makes free throw 2 of 2,1,78-90,,
6:04.0,,,78-92,2,J. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
5:48.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Jackson),3,81-92,,
5:26.0,,,81-92,,Turnover by G. Vasquez (palming)
5:14.0,N. Collison makes 3-pt shot from 23 ft (assist by R. Jackson),3,84-92,,
4:54.0,,,84-92,,G. Vasquez misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by S. Telfair,,84-92,,
4:47.0,S. Telfair misses 2-pt shot from 2 ft,,84-92,,
4:45.0,,,84-92,,Defensive rebound by L. Williams
4:36.0,,,84-92,,L. Williams misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by N. Collison,,84-92,,
4:33.0,,,84-92,,Shooting block foul by G. Vasquez (drawn by S. Telfair)
4:33.0,S. Telfair misses free throw 1 of 2,,84-92,,
4:33.0,Offensive rebound by Team,,84-92,,
4:33.0,,,84-92,,K. Lowry enters the game for G. Vasquez
4:33.0,,,84-92,,D. DeRozan enters the game for J. Johnson
4:33.0,S. Telfair makes free throw 2 of 2,1,85-92,,
4:13.0,,,85-94,2,P. Patterson makes 2-pt shot from 7 ft
4:03.0,Offensive charge foul by R. Jackson,,85-94,,
4:03.0,Turnover by R. Jackson (offensive foul),,85-94,,
3:52.0,Personal foul by S. Telfair (drawn by T. Hansbrough),,85-94,,
3:46.0,,,85-94,,D. DeRozan misses 2-pt shot from 4 ft
3:45.0,Defensive rebound by R. Jackson,,85-94,,
3:35.0,N. Collison makes 2-pt shot from 1 ft (assist by R. Jackson),2,87-94,,
3:11.0,,,87-94,,D. DeRozan misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by S. Adams,,87-94,,
3:00.0,Turnover by S. Telfair (bad pass),,87-94,,
3:00.0,,,87-94,,Toronto full timeout
