time,Portland,pts.away,score,pts.home,Philadelphia
8:50.0,,,29-29,,M. Carter-Williams misses free throw 1 of 2
8:50.0,,,29-29,,Offensive rebound by Team
8:50.0,,,29-30,1,M. Carter-Williams makes free throw 2 of 2
8:34.0,A. Crabbe misses 3-pt shot from 24 ft,,29-30,,
8:32.0,Offensive rebound by S. Blake,,29-30,,
8:28.0,Shooting foul by B. Davies (drawn by C. Kaman),,29-30,,
8:28.0,C. Kaman misses free throw 1 of 2,,29-30,,
8:28.0,Offensive rebound by Team,,29-30,,
8:28.0,D. Lillard enters the game for W. Barton,,29-30,,
8:28.0,N. Batum enters the game for A. Crabbe,,29-30,,
8:28.0,,,29-30,,L. Mbah a Moute enters the game for K. McDaniels
8:28.0,,,29-30,,T. Wroten enters the game for H. Thompson
8:28.0,C. Kaman makes free throw 2 of 2,1,30-30,,
8:16.0,,,30-30,,B. Davies misses 2-pt shot at rim
8:14.0,Defensive rebound by C. Kaman,,30-30,,
8:10.0,J. Freeland makes 2-pt shot from 1 ft (assist by N. Batum),2,32-30,,
8:10.0,Shooting foul by B. Davies (drawn by J. Freeland),,32-30,,
8:10.0,,,32-30,,N. Noel enters the game for B. Davies
8:10.0,J. Freeland makes free throw 1 of 1,1,33-30,,
8:00.0,,,33-30,,Shooting foul by J. Freeland (drawn by H. Sims)
8:00.0,,,33-31,1,H. Sims makes free throw 1 of 2
8:00.0,,,33-32,1,H. Sims makes free throw 2 of 2
7:42.0,J. Freeland makes 2-pt shot from 17 ft (assist by S. Blake),2,35-32,,
7:29.0,Personal foul by S. Blake (drawn by M. Carter-Williams),,35-32,,
7:29.0,W. Matthews enters the game for S. Blake,,35-32,,
7:20.0,,,35-32,,N. Noel misses 2-pt shot from 2 ft
7:18.0,,,35-32,,Offensive rebound by M. Carter-Williams
7:18.0,,,35-34,2,M. Carter-Williams makes 2-pt shot at rim
7:01.0,D. Lillard misses 2-pt shot from 1 ft (block by N. Noel),,35-34,,
6:58.0,,,35-34,,Defensive rebound by M. Carter-Williams
6:56.0,,,35-34,,T. Wroten misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by N. Batum,,35-34,,
6:54.0,,,35-34,,Personal foul by M. Carter-Williams (drawn by N. Batum)
6:54.0,R. Lopez enters the game for C. Kaman,,35-34,,
6:35.0,J. Freeland makes 2-pt shot from 18 ft (assist by N. Batum),2,37-34,,
6:15.0,,,37-34,,Turnover by M. Carter-Williams (bad pass; steal by D. Lillard)
6:07.0,W. Matthews misses 3-pt shot from 26 ft,,37-34,,
6:05.0,Offensive rebound by J. Freeland,,37-34,,
6:05.0,Shooting foul by L. Mbah a Moute (drawn by W. Matthews),,37-34,,
6:05.0,W. Matthews makes free throw 1 of 2,1,38-34,,
6:05.0,,,38-34,,K. McDaniels enters the game for M. Carter-Williams
6:05.0,W. Matthews misses free throw 2 of 2,,38-34,,
6:03.0,,,38-34,,Defensive rebound by N. Noel
5:52.0,,,38-36,2,N. Noel makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
5:33.0,J. Freeland misses 2-pt shot from 19 ft,,38-36,,
5:33.0,Offensive rebound by Team,,38-36,,
5:33.0,,,38-36,,Loose ball foul by H. Sims (drawn by R. Lopez)
5:33.0,Official timeout,,38-36,,
5:33.0,L. Aldridge enters the game for J. Freeland,,38-36,,
5:33.0,R. Lopez makes free throw 1 of 2,1,39-36,,
5:33.0,R. Lopez makes free throw 2 of 2,1,40-36,,
5:08.0,,,40-36,,T. Wroten misses 2-pt shot from 4 ft
5:04.0,,,40-36,,Offensive rebound by T. Wroten
5:04.0,,,40-36,,T. Wroten misses 2-pt shot from 2 ft (block by R. Lopez)
4:56.0,Defensive rebound by D. Lillard,,40-36,,
4:51.0,Turnover by W. Matthews (lost ball; steal by N. Noel),,40-36,,
4:45.0,,,40-38,2,K. McDaniels makes 2-pt shot at rim
4:15.0,D. Lillard misses 2-pt shot from 1 ft,,40-38,,
4:14.0,,,40-38,,Defensive rebound by H. Sims
3:56.0,,,40-40,2,H. Sims makes 2-pt shot from 1 ft (assist by T. Wroten)
3:38.0,D. Lillard makes 2-pt shot from 17 ft (assist by R. Lopez),2,42-40,,
3:18.0,,,42-40,,H. Sims misses 3-pt shot from 22 ft
3:16.0,,,42-40,,Offensive rebound by N. Noel
3:13.0,,,42-42,2,N. Noel makes 2-pt shot from 1 ft
2:58.0,Turnover by R. Lopez (bad pass; steal by T. Wroten),,42-42,,
2:54.0,,,42-44,2,T. Wroten makes 2-pt shot at rim
2:53.0,Portland full timeout,,42-44,,
2:41.0,L. Aldridge makes 2-pt shot from 18 ft,2,44-44,,
2:28.0,,,44-44,,K. McDaniels misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by R. Lopez,,44-44,,
2:18.0,Shooting foul by N. Noel (drawn by R. Lopez),,44-44,,
2:18.0,R. Lopez makes free throw 1 of 2,1,45-44,,
2:18.0,R. Lopez makes free throw 2 of 2,1,46-44,,
2:08.0,,,46-46,2,N. Noel makes 2-pt shot from 1 ft (assist by T. Wroten)
1:52.0,W. Matthews makes 2-pt shot at rim (assist by N. Batum),2,48-46,,
1:29.0,,,48-48,2,H. Sims makes 2-pt shot from 11 ft (assist by L. Mbah a Moute)
1:17.0,Turnover by D. Lillard (bad pass; steal by N. Noel),,48-48,,
1:12.0,Shooting block foul by D. Lillard (drawn by T. Wroten),,48-48,,
1:12.0,,,48-49,1,T. Wroten makes free throw 1 of 2
1:12.0,,,48-49,,M. Carter-Williams enters the game for K. McDaniels
1:12.0,,,48-50,1,T. Wroten makes free throw 2 of 2
0:57.0,N. Batum misses 3-pt shot from 25 ft,,48-50,,
0:55.0,Offensive rebound by L. Aldridge,,48-50,,
0:55.0,L. Aldridge makes 2-pt shot from 2 ft,2,50-50,,
0:40.0,,,50-50,,H. Sims misses 2-pt shot from 9 ft
0:38.0,Defensive rebound by N. Batum,,50-50,,
0:26.0,N. Batum misses 3-pt shot from 25 ft,,50-50,,
0:24.0,,,50-50,,Defensive rebound by Team
0:07.0,Personal foul by D. Lillard (drawn by M. Carter-Williams),,50-50,,
0:07.0,,,50-51,1,M. Carter-Williams makes free throw 1 of 2
0:07.0,,,50-51,,D. Gordon enters the game for H. Sims
0:07.0,,,50-52,1,M. Carter-Williams makes free throw 2 of 2
0:01.0,R. Lopez misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,50-52,,
0:00.0,Offensive rebound by Team,,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,50-54,2,M. Carter-Williams makes 2-pt shot from 2 ft
11:18.0,W. Matthews misses 2-pt shot from 14 ft,,50-54,,
11:17.0,,,50-54,,Defensive rebound by B. Davies
11:06.0,,,50-56,2,H. Sims makes 2-pt shot from 2 ft (assist by T. Wroten)
10:52.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,52-56,,
10:33.0,,,52-58,2,M. Carter-Williams makes 2-pt shot from 6 ft (assist by H. Sims)
10:17.0,Shooting foul by B. Davies (drawn by L. Aldridge),,52-58,,
10:17.0,L. Aldridge makes free throw 1 of 2,1,53-58,,
10:17.0,,,53-58,,N. Noel enters the game for B. Davies
10:17.0,L. Aldridge makes free throw 2 of 2,1,54-58,,
10:06.0,,,54-58,,L. Mbah a Moute misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by L. Aldridge,,54-58,,
9:58.0,D. Lillard makes 2-pt shot from 17 ft,2,56-58,,
9:40.0,,,56-60,2,M. Carter-Williams makes 2-pt shot from 18 ft
9:26.0,D. Lillard makes 3-pt shot from 26 ft (assist by W. Matthews),3,59-60,,
9:05.0,,,59-60,,M. Carter-Williams misses 2-pt shot from 1 ft (block by R. Lopez)
9:05.0,,,59-60,,Offensive rebound by Team
9:00.0,,,59-62,2,H. Sims makes 2-pt shot from 3 ft (assist by T. Wroten)
8:42.0,W. Matthews makes 2-pt shot from 10 ft,2,61-62,,
8:24.0,,,61-62,,T. Wroten misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by R. Lopez,,61-62,,
8:10.0,L. Aldridge makes 2-pt shot from 3 ft (assist by D. Lillard),2,63-62,,
7:55.0,,,63-62,,Turnover by T. Wroten (bad pass; steal by D. Lillard)
7:51.0,D. Lillard makes 2-pt shot from 2 ft,2,65-62,,
