time,Orlando,pts.away,score,pts.home,Utah
11:17.0,,,56-43,1,E. Kanter makes free throw 2 of 2
11:00.0,T. Harris misses 2-pt shot from 1 ft,,56-43,,
10:59.0,Offensive rebound by T. Harris,,56-43,,
10:59.0,T. Harris makes 2-pt shot from 1 ft,2,58-43,,
10:42.0,,,58-46,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Burke)
10:20.0,E. Fournier misses 2-pt shot from 2 ft,,58-46,,
10:19.0,Offensive rebound by K. O'Quinn,,58-46,,
10:19.0,,,58-46,,Loose ball foul by R. Hood (drawn by K. O'Quinn)
10:11.0,T. Harris misses 3-pt shot from 23 ft,,58-46,,
10:11.0,,,58-46,,Defensive rebound by Team
10:11.0,Loose ball foul by K. O'Quinn (drawn by E. Kanter),,58-46,,
10:00.0,,,58-46,,G. Hayward misses 2-pt shot from 14 ft
9:58.0,Defensive rebound by C. Frye,,58-46,,
9:50.0,E. Fournier makes 2-pt shot from 1 ft,2,60-46,,
9:32.0,,,60-48,2,T. Burke makes 2-pt shot from 2 ft
9:20.0,T. Harris misses 2-pt shot from 1 ft (block by D. Favors),,60-48,,
9:19.0,,,60-48,,Defensive rebound by E. Kanter
9:17.0,Personal foul by C. Frye (drawn by G. Hayward),,60-48,,
9:07.0,Personal foul by C. Frye (drawn by D. Favors),,60-48,,
9:07.0,,,60-48,,Offensive foul by G. Hayward
9:07.0,,,60-48,,Turnover by G. Hayward (offensive foul)
8:50.0,T. Harris makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,62-48,,
8:35.0,,,62-48,,E. Kanter misses 2-pt shot from 17 ft
8:34.0,Defensive rebound by T. Harris,,62-48,,
8:27.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by V. Oladipo),2,64-48,,
8:27.0,Shooting foul by G. Hayward (drawn by K. O'Quinn),,64-48,,
8:27.0,K. O'Quinn makes free throw 1 of 1,1,65-48,,
8:14.0,Personal foul by C. Frye (drawn by D. Favors),,65-48,,
8:14.0,,,65-49,1,D. Favors makes free throw 1 of 2
8:14.0,D. Dedmon enters the game for C. Frye,,65-49,,
8:14.0,,,65-49,,D. Favors misses free throw 2 of 2
8:12.0,,,65-49,,Offensive rebound by E. Kanter
8:12.0,,,65-51,2,E. Kanter makes 2-pt shot from 1 ft
7:50.0,V. Oladipo misses 2-pt shot from 20 ft,,65-51,,
7:48.0,,,65-51,,Defensive rebound by D. Favors
7:39.0,,,65-52,1,T. Burke makes flagrant free throw 1 of 2
7:39.0,,,65-53,1,T. Burke makes flagrant free throw 2 of 2
7:39.0,E. Payton enters the game for K. O'Quinn,,65-53,,
7:28.0,,,65-53,,D. Favors misses 2-pt shot from 2 ft
7:27.0,,,65-53,,Offensive rebound by D. Favors
7:27.0,,,65-55,2,D. Favors makes 2-pt shot from 2 ft
7:11.0,T. Harris misses 2-pt shot from 10 ft,,65-55,,
7:10.0,,,65-55,,Defensive rebound by Team
6:52.0,,,65-55,,E. Kanter misses 2-pt shot from 15 ft
6:51.0,Defensive rebound by T. Harris,,65-55,,
6:38.0,T. Harris misses 2-pt shot from 3 ft (block by D. Favors),,65-55,,
6:36.0,,,65-55,,Defensive rebound by R. Hood
6:18.0,,,65-58,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
6:17.0,Orlando full timeout,,65-58,,
6:17.0,,,65-58,,J. Ingles enters the game for G. Hayward
6:17.0,,,65-58,,T. Booker enters the game for E. Kanter
6:04.0,E. Fournier misses 3-pt shot from 24 ft,,65-58,,
6:02.0,,,65-58,,Defensive rebound by J. Ingles
5:47.0,,,65-58,,T. Booker misses 2-pt shot from 21 ft
5:46.0,Defensive rebound by Team,,65-58,,
5:22.0,E. Payton misses 2-pt shot from 5 ft,,65-58,,
5:20.0,Offensive rebound by D. Dedmon,,65-58,,
5:20.0,D. Dedmon makes 2-pt shot at rim,2,67-58,,
5:00.0,,,67-58,,D. Favors misses 2-pt shot from 3 ft
4:58.0,Defensive rebound by T. Harris,,67-58,,
4:44.0,E. Fournier misses 2-pt shot from 3 ft,,67-58,,
4:43.0,,,67-58,,Defensive rebound by D. Favors
4:27.0,,,67-60,2,T. Booker makes 2-pt shot from 1 ft (assist by T. Burke)
4:12.0,,,67-60,,Violation by D. Favors (kicked ball)
4:12.0,,,67-60,,D. Exum enters the game for R. Hood
4:05.0,V. Oladipo makes 2-pt shot from 2 ft,2,69-60,,
3:45.0,,,69-60,,T. Burke misses 2-pt shot from 3 ft
3:43.0,,,69-60,,Offensive rebound by D. Favors
3:43.0,,,69-60,,D. Favors misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by D. Dedmon,,69-60,,
3:33.0,D. Dedmon misses 2-pt shot at rim (block by D. Favors),,69-60,,
3:30.0,,,69-60,,Defensive rebound by T. Burke
3:20.0,,,69-62,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke)
3:02.0,T. Harris misses 3-pt shot from 23 ft,,69-62,,
3:00.0,,,69-62,,Defensive rebound by D. Favors
2:38.0,,,69-62,,Turnover by J. Ingles (lost ball; steal by E. Payton)
2:35.0,,,69-62,,Personal foul by T. Burke (drawn by E. Payton)
2:35.0,,,69-62,,Utah full timeout
2:35.0,,,69-62,,R. Gobert enters the game for D. Favors
2:35.0,A. Nicholson enters the game for T. Harris,,69-62,,
2:35.0,B. Gordon enters the game for V. Oladipo,,69-62,,
2:27.0,E. Fournier misses 2-pt shot from 20 ft,,69-62,,
2:26.0,,,69-62,,Defensive rebound by R. Gobert
2:02.0,,,69-62,,J. Ingles misses 2-pt shot from 4 ft
2:01.0,,,69-62,,Offensive rebound by R. Gobert
1:57.0,,,69-62,,R. Gobert misses 2-pt shot from 8 ft
