time,LA Lakers,pts.away,score,pts.home,Portland
8:31.0,J. Hill makes 2-pt shot from 20 ft (assist by R. Price),2,51-52,,
8:14.0,,,51-54,2,L. Aldridge makes 2-pt shot from 2 ft
8:07.0,J. Hill misses 2-pt shot from 17 ft,,51-54,,
8:05.0,Offensive rebound by E. Davis,,51-54,,
8:05.0,E. Davis makes 2-pt shot at rim,2,53-54,,
7:43.0,,,53-54,,W. Matthews misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by J. Hill,,53-54,,
7:25.0,Turnover by R. Kelly (bad pass; steal by W. Matthews),,53-54,,
7:16.0,,,53-54,,W. Matthews misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by R. Kelly,,53-54,,
7:07.0,W. Ellington makes 3-pt shot from 24 ft,3,56-54,,
6:48.0,,,56-54,,C. Kaman misses 2-pt shot from 6 ft
6:48.0,Defensive rebound by J. Hill,,56-54,,
6:30.0,R. Price misses 2-pt shot from 5 ft,,56-54,,
6:28.0,Offensive rebound by J. Hill,,56-54,,
6:28.0,J. Hill makes 2-pt shot at rim,2,58-54,,
6:20.0,,,58-54,,Portland full timeout
6:20.0,,,58-54,,S. Blake enters the game for W. Matthews
6:20.0,,,58-54,,T. Robinson enters the game for C. Kaman
6:05.0,,,58-54,,N. Batum misses 3-pt shot from 23 ft
6:04.0,,,58-54,,Offensive rebound by D. Lillard
6:02.0,,,58-54,,D. Lillard misses 2-pt shot from 10 ft
6:01.0,Defensive rebound by W. Ellington,,58-54,,
5:47.0,R. Kelly misses 3-pt shot from 25 ft,,58-54,,
5:45.0,Offensive rebound by J. Hill,,58-54,,
5:37.0,R. Kelly makes 2-pt shot from 10 ft (assist by J. Hill),2,60-54,,
5:15.0,,,60-54,,Shooting foul by R. Kelly (drawn by D. Lillard)
5:15.0,,,60-54,,Technical foul by D. Lillard
5:15.0,W. Ellington makes technical free throw,1,61-54,,
5:15.0,,,61-55,1,D. Lillard makes free throw 1 of 2
5:15.0,,,61-55,,D. Lillard misses free throw 2 of 2
5:14.0,Defensive rebound by J. Hill,,61-55,,
4:57.0,W. Ellington makes 2-pt shot from 20 ft (assist by J. Hill),2,63-55,,
4:35.0,,,63-57,2,S. Blake makes 2-pt shot from 2 ft (assist by D. Lillard)
4:19.0,J. Hill misses 2-pt shot from 20 ft,,63-57,,
4:17.0,Offensive rebound by Team,,63-57,,
4:08.0,R. Price makes 2-pt shot from 14 ft,2,65-57,,
3:53.0,,,65-59,2,L. Aldridge makes 2-pt shot from 7 ft
3:35.0,E. Davis makes 2-pt shot at rim (assist by R. Price),2,67-59,,
3:16.0,,,67-59,,L. Aldridge misses 2-pt shot from 19 ft
3:15.0,Defensive rebound by R. Kelly,,67-59,,
3:03.0,J. Hill makes 2-pt shot from 19 ft (assist by R. Price),2,69-59,,
2:44.0,,,69-62,3,D. Lillard makes 3-pt shot from 23 ft (assist by N. Batum)
2:23.0,R. Kelly misses 3-pt shot from 22 ft,,69-62,,
2:22.0,,,69-62,,Defensive rebound by L. Aldridge
2:13.0,,,69-62,,S. Blake misses 3-pt shot from 22 ft
2:11.0,Defensive rebound by R. Kelly,,69-62,,
2:02.0,R. Kelly misses 3-pt shot from 24 ft,,69-62,,
2:02.0,,,69-62,,Defensive rebound by T. Robinson
1:55.0,,,69-62,,Shooting foul by J. Hill (drawn by D. Lillard)
1:55.0,LA Lakers full timeout,,69-62,,
1:55.0,N. Young enters the game for R. Kelly,,69-62,,
1:55.0,C. Boozer enters the game for J. Hill,,69-62,,
1:55.0,,,69-62,,W. Matthews enters the game for N. Batum
1:55.0,,,69-63,1,D. Lillard makes free throw 1 of 2
1:55.0,,,69-64,1,D. Lillard makes free throw 2 of 2
1:44.0,W. Ellington makes 2-pt shot from 20 ft,2,71-64,,
1:23.0,,,71-67,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake)
1:09.0,W. Ellington misses 2-pt shot from 22 ft,,71-67,,
1:08.0,,,71-67,,Defensive rebound by D. Lillard
1:00.0,,,71-67,,Shooting foul by E. Davis (drawn by D. Lillard)
1:00.0,,,71-68,1,D. Lillard makes free throw 1 of 2
1:00.0,,,71-68,,M. Leonard enters the game for L. Aldridge
1:00.0,,,71-69,1,D. Lillard makes free throw 2 of 2
0:44.0,W. Ellington makes 2-pt shot from 22 ft (assist by C. Boozer),2,73-69,,
0:30.0,Personal block foul by R. Price (drawn by T. Robinson),,73-69,,
0:30.0,,,73-69,,A. Crabbe enters the game for D. Lillard
0:30.0,J. Lin enters the game for R. Price,,73-69,,
0:30.0,,,73-69,,T. Robinson misses free throw 1 of 2
0:30.0,,,73-69,,Offensive rebound by Team
0:30.0,,,73-70,1,T. Robinson makes free throw 2 of 2
0:11.0,N. Young misses 2-pt shot from 21 ft,,73-70,,
0:11.0,,,73-70,,Defensive rebound by M. Leonard
0:03.0,,,73-70,,W. Matthews misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by Team,,73-70,,
0:00.0,N. Young misses 3-pt shot from 45 ft,,73-70,,
0:00.0,Offensive rebound by Team,,73-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,C. Boozer misses 2-pt shot from 15 ft,,73-70,,
11:38.0,,,73-70,,Defensive rebound by Team
11:30.0,Personal foul by N. Young (drawn by S. Blake),,73-70,,
11:18.0,,,73-70,,S. Blake misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by R. Sacre,,73-70,,
11:05.0,Shooting foul by M. Leonard (drawn by J. Lin),,73-70,,
11:05.0,J. Lin misses free throw 1 of 2,,73-70,,
11:05.0,Offensive rebound by Team,,73-70,,
11:05.0,J. Lin makes free throw 2 of 2,1,74-70,,
10:58.0,Personal foul by C. Boozer (drawn by M. Leonard),,74-70,,
10:52.0,Violation by R. Sacre (kicked ball),,74-70,,
10:42.0,,,74-70,,S. Blake misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by J. Clarkson,,74-70,,
10:19.0,R. Sacre misses 2-pt shot from 16 ft,,74-70,,
10:17.0,,,74-70,,Defensive rebound by M. Leonard
10:02.0,,,74-70,,W. Matthews misses 2-pt shot from 13 ft
10:00.0,Defensive rebound by C. Boozer,,74-70,,
9:52.0,J. Lin makes 2-pt shot at rim,2,76-70,,
9:37.0,,,76-70,,A. Crabbe misses 2-pt shot from 19 ft
9:36.0,,,76-70,,Offensive rebound by C. Kaman
9:21.0,,,76-73,3,M. Leonard makes 3-pt shot from 22 ft
9:21.0,,,76-73,,Shooting foul by C. Boozer (drawn by M. Leonard)
9:21.0,,,76-74,1,M. Leonard makes free throw 1 of 1
9:09.0,N. Young misses 2-pt shot from 19 ft,,76-74,,
9:08.0,,,76-74,,Defensive rebound by M. Leonard
8:58.0,,,76-74,,Turnover by W. Matthews (bad pass)
8:58.0,Official timeout,,76-74,,
8:58.0,,,76-74,,D. Lillard enters the game for W. Matthews
8:58.0,,,76-74,,L. Aldridge enters the game for S. Blake
8:58.0,,,76-74,,N. Batum enters the game for M. Leonard
8:43.0,N. Young makes 2-pt shot from 17 ft,2,78-74,,
8:20.0,,,78-74,,D. Lillard misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by N. Young,,78-74,,
8:14.0,Offensive foul by N. Young,,78-74,,
8:14.0,Turnover by N. Young (offensive foul),,78-74,,
7:57.0,,,78-74,,L. Aldridge misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by J. Clarkson,,78-74,,
7:47.0,J. Lin misses 2-pt shot from 19 ft (block by D. Lillard),,78-74,,
7:46.0,,,78-74,,Defensive rebound by D. Lillard
7:34.0,,,78-74,,Turnover by C. Kaman (lost ball; steal by J. Lin)
7:30.0,J. Lin makes 2-pt shot at rim (assist by N. Young),2,80-74,,
7:11.0,,,80-74,,Shooting foul by R. Sacre (drawn by L. Aldridge)
7:11.0,,,80-75,1,L. Aldridge makes free throw 1 of 2
7:11.0,J. Hill enters the game for R. Sacre,,80-75,,
7:11.0,W. Ellington enters the game for J. Clarkson,,80-75,,
7:11.0,,,80-75,,M. Leonard enters the game for C. Kaman
7:11.0,,,80-76,1,L. Aldridge makes free throw 2 of 2
6:46.0,C. Boozer makes 2-pt shot from 10 ft,2,82-76,,
6:32.0,,,82-76,,L. Aldridge misses 2-pt shot from 20 ft
6:30.0,,,82-76,,Offensive rebound by M. Leonard
6:16.0,,,82-76,,Turnover by L. Aldridge (back court)
5:55.0,Shooting foul by L. Aldridge (drawn by J. Hill),,82-76,,
5:55.0,,,82-76,,Portland full timeout
5:55.0,,,82-76,,W. Matthews enters the game for A. Crabbe
5:55.0,J. Hill misses free throw 1 of 2,,82-76,,
5:55.0,Offensive rebound by Team,,82-76,,
5:55.0,J. Hill makes free throw 2 of 2,1,83-76,,
5:41.0,,,83-76,,L. Aldridge misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by C. Boozer,,83-76,,
5:24.0,Turnover by J. Hill (traveling),,83-76,,
5:12.0,,,83-79,3,D. Lillard makes 3-pt shot from 24 ft (assist by L. Aldridge)
4:51.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,85-79,,
4:35.0,,,85-82,3,D. Lillard makes 3-pt shot from 26 ft
4:18.0,J. Lin misses 2-pt shot from 15 ft,,85-82,,
4:17.0,,,85-82,,Defensive rebound by M. Leonard
4:05.0,,,85-82,,D. Lillard misses 2-pt shot from 5 ft
4:01.0,,,85-82,,Offensive rebound by L. Aldridge
4:01.0,,,85-84,2,L. Aldridge makes 2-pt shot at rim
3:47.0,W. Ellington misses 2-pt shot from 16 ft,,85-84,,
3:46.0,,,85-84,,Defensive rebound by M. Leonard
3:32.0,,,85-86,2,L. Aldridge makes 2-pt shot from 7 ft
3:30.0,LA Lakers full timeout,,85-86,,
3:17.0,N. Young misses 2-pt shot from 19 ft,,85-86,,
3:17.0,,,85-86,,Defensive rebound by M. Leonard
3:06.0,,,85-88,2,D. Lillard makes 2-pt shot from 1 ft
2:47.0,Shooting foul by M. Leonard (drawn by J. Hill),,85-88,,
2:47.0,J. Hill makes free throw 1 of 2,1,86-88,,
2:47.0,J. Hill makes free throw 2 of 2,1,87-88,,
2:33.0,,,87-91,3,D. Lillard makes 3-pt shot from 25 ft (assist by W. Matthews)
2:08.0,J. Hill misses 2-pt shot from 19 ft,,87-91,,
2:07.0,,,87-91,,Defensive rebound by M. Leonard
1:51.0,,,87-91,,D. Lillard misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by J. Hill,,87-91,,
1:35.0,C. Boozer misses 2-pt shot from 18 ft,,87-91,,
1:34.0,,,87-91,,Defensive rebound by N. Batum
1:16.0,,,87-91,,L. Aldridge misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by J. Hill,,87-91,,
1:06.0,Shooting foul by N. Batum (drawn by N. Young),,87-91,,
1:06.0,N. Young makes free throw 1 of 3,1,88-91,,
1:06.0,N. Young makes free throw 2 of 3,1,89-91,,
1:06.0,N. Young makes free throw 3 of 3,1,90-91,,
0:52.0,,,90-91,,L. Aldridge misses 2-pt shot from 17 ft
0:52.0,Defensive rebound by J. Lin,,90-91,,
0:43.0,Shooting foul by N. Batum (drawn by J. Lin),,90-91,,
0:43.0,J. Lin makes free throw 1 of 2,1,91-91,,
0:43.0,E. Davis enters the game for C. Boozer,,91-91,,
0:43.0,J. Lin makes free throw 2 of 2,1,92-91,,
0:43.0,,,92-91,,Portland full timeout
0:37.0,,,92-93,2,D. Lillard makes 2-pt shot at rim
0:24.0,N. Young misses 2-pt shot from 19 ft,,92-93,,
0:23.0,,,92-93,,Defensive rebound by D. Lillard
0:19.0,Personal take foul by J. Lin (drawn by D. Lillard),,92-93,,
0:19.0,,,92-94,1,D. Lillard makes free throw 1 of 2
0:19.0,,,92-95,1,D. Lillard makes free throw 2 of 2
0:19.0,LA Lakers full timeout,,92-95,,
