time,Cleveland,pts.away,score,pts.home,Chicago
2:36.0,,,20-27,2,P. Gasol makes 2-pt shot from 17 ft (assist by N. Mirotic)
2:13.0,Offensive foul by T. Mozgov,,20-27,,
2:13.0,Turnover by T. Mozgov (offensive foul),,20-27,,
2:13.0,Cleveland full timeout,,20-27,,
2:13.0,S. Marion enters the game for T. Mozgov,,20-27,,
2:00.0,,,20-27,,Turnover by T. Gibson (bad pass; steal by J. Smith)
1:45.0,K. Irving makes 2-pt shot from 17 ft,2,22-27,,
1:35.0,,,22-27,,M. Dunleavy misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by K. Irving,,22-27,,
1:26.0,S. Marion makes 2-pt shot from 2 ft (assist by J. Smith),2,24-27,,
1:09.0,,,24-27,,N. Mirotic misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by T. Thompson,,24-27,,
1:00.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,26-27,,
0:54.0,,,26-27,,Chicago full timeout
0:54.0,L. James enters the game for J. Smith,,26-27,,
0:54.0,M. Dellavedova enters the game for K. Irving,,26-27,,
0:54.0,,,26-27,,A. Brooks enters the game for M. Dunleavy
0:54.0,,,26-27,,T. Snell enters the game for D. Rose
0:35.0,,,26-27,,N. Mirotic misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by T. Thompson,,26-27,,
0:14.0,Turnover by L. James (lost ball; steal by P. Gasol),,26-27,,
0:05.0,,,26-30,3,T. Snell makes 3-pt shot from 23 ft (assist by A. Brooks)
0:00.0,L. James misses 3-pt shot from 28 ft,,26-30,,
0:00.0,Offensive rebound by Team,,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-30,,Personal foul by A. Brooks (drawn by I. Shumpert)
11:42.0,I. Shumpert misses 2-pt shot from 18 ft,,26-30,,
11:41.0,Offensive rebound by Team,,26-30,,
11:41.0,,,26-30,,Loose ball foul by N. Mirotic (drawn by T. Thompson)
11:29.0,L. James makes 2-pt shot from 1 ft,2,28-30,,
11:11.0,,,28-33,3,A. Brooks makes 3-pt shot from 26 ft
10:56.0,Turnover by L. James (bad pass; steal by A. Brooks),,28-33,,
10:51.0,,,28-33,,A. Brooks misses 2-pt shot from 3 ft
10:48.0,,,28-33,,Offensive rebound by N. Mirotic
10:48.0,,,28-35,2,N. Mirotic makes 2-pt shot from 1 ft
10:23.0,T. Thompson makes 2-pt shot from 4 ft,2,30-35,,
10:04.0,,,30-37,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Noah)
9:47.0,L. James makes 2-pt shot from 20 ft,2,32-37,,
9:20.0,,,32-37,,A. Brooks misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by L. James,,32-37,,
9:04.0,M. Dellavedova misses 3-pt shot from 27 ft,,32-37,,
9:03.0,,,32-37,,Defensive rebound by J. Noah
8:54.0,,,32-37,,N. Mirotic misses 2-pt shot from 18 ft
8:54.0,,,32-37,,Offensive rebound by Team
8:54.0,,,32-37,,Chicago full timeout
8:53.0,Jump ball: J. Noah vs. T. Thompson (A. Brooks gains possession),,,,Jump ball: J. Noah vs. T. Thompson (A. Brooks gains possession)
8:28.0,,,32-39,2,A. Brooks makes 2-pt shot from 5 ft (assist by J. Noah)
8:12.0,L. James misses 2-pt shot from 15 ft,,32-39,,
8:11.0,Offensive rebound by T. Thompson,,32-39,,
8:02.0,,,32-39,,Personal foul by N. Mirotic (drawn by L. James)
8:02.0,T. Mozgov enters the game for T. Thompson,,32-39,,
8:02.0,K. Irving enters the game for I. Shumpert,,32-39,,
8:02.0,,,32-39,,D. Rose enters the game for N. Mirotic
7:52.0,T. Mozgov makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,34-39,,
7:37.0,,,34-39,,A. Brooks misses 2-pt shot from 15 ft
7:36.0,Defensive rebound by M. Dellavedova,,34-39,,
7:17.0,L. James misses 2-pt shot from 20 ft,,34-39,,
7:16.0,,,34-39,,Defensive rebound by J. Noah
7:04.0,,,34-41,2,T. Snell makes 2-pt shot from 18 ft (assist by D. Rose)
6:48.0,S. Marion misses 2-pt shot from 1 ft,,34-41,,
6:46.0,,,34-41,,Defensive rebound by D. Rose
6:36.0,,,34-43,2,T. Gibson makes 2-pt shot from 2 ft (assist by D. Rose)
6:36.0,,,34-43,,Shooting foul by S. Marion (drawn by T. Gibson)
6:36.0,J. Jones enters the game for S. Marion,,34-43,,
6:36.0,,,34-44,1,T. Gibson makes free throw 1 of 1
6:31.0,Turnover by L. James (bad pass; steal by A. Brooks),,34-44,,
6:31.0,Personal foul by M. Dellavedova (drawn by A. Brooks),,34-44,,
6:31.0,J. Smith enters the game for M. Dellavedova,,34-44,,
6:20.0,,,34-44,,D. Rose misses 2-pt shot from 13 ft
6:19.0,Defensive rebound by T. Mozgov,,34-44,,
6:11.0,,,34-44,,Personal foul by J. Noah (drawn by T. Mozgov)
6:04.0,L. James misses 2-pt shot from 20 ft,,34-44,,
6:03.0,,,34-44,,Defensive rebound by T. Gibson
6:03.0,Personal foul by T. Mozgov (drawn by T. Gibson),,34-44,,
6:03.0,T. Thompson enters the game for T. Mozgov,,34-44,,
5:47.0,,,34-46,2,D. Rose makes 2-pt shot from 20 ft (assist by J. Noah)
5:28.0,L. James misses 3-pt shot from 25 ft,,34-46,,
5:25.0,,,34-46,,Defensive rebound by T. Gibson
5:22.0,,,34-46,,Shooting foul by J. Jones (drawn by D. Rose)
5:22.0,,,34-46,,Chicago full timeout
5:22.0,I. Shumpert enters the game for L. James,,34-46,,
5:22.0,,,34-47,1,D. Rose makes free throw 1 of 2
5:22.0,,,34-47,,M. Dunleavy enters the game for T. Snell
5:22.0,,,34-48,1,D. Rose makes free throw 2 of 2
5:10.0,J. Jones makes 3-pt shot from 26 ft (assist by I. Shumpert),3,37-48,,
4:56.0,,,37-50,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Noah)
4:46.0,K. Irving misses 2-pt shot from 16 ft,,37-50,,
4:45.0,,,37-50,,Defensive rebound by M. Dunleavy
4:38.0,,,37-50,,D. Rose misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by T. Thompson,,37-50,,
4:22.0,K. Irving misses 2-pt shot from 15 ft,,37-50,,
4:21.0,,,37-50,,Defensive rebound by J. Noah
4:04.0,,,37-50,,T. Gibson misses 2-pt shot from 3 ft
4:03.0,,,37-50,,Offensive rebound by J. Noah
4:00.0,,,37-50,,J. Noah misses 2-pt shot from 1 ft
3:51.0,,,37-50,,Offensive rebound by J. Noah
3:51.0,,,37-52,2,J. Noah makes 2-pt shot from 2 ft
3:35.0,J. Smith makes 2-pt shot from 5 ft,2,39-52,,
3:35.0,Shooting foul by A. Brooks (drawn by J. Smith),,39-52,,
3:35.0,,,39-52,,P. Gasol enters the game for J. Noah
3:35.0,J. Smith makes free throw 1 of 1,1,40-52,,
3:24.0,Personal foul by J. Jones (drawn by T. Gibson),,40-52,,
3:24.0,,,40-53,1,T. Gibson makes free throw 1 of 2
3:24.0,,,40-53,,T. Gibson misses free throw 2 of 2
3:23.0,Defensive rebound by J. Jones,,40-53,,
3:04.0,I. Shumpert makes 3-pt shot from 24 ft (assist by J. Jones),3,43-53,,
2:58.0,,,43-53,,Offensive foul by T. Gibson
2:58.0,,,43-53,,Turnover by T. Gibson (offensive foul)
2:58.0,Cleveland full timeout,,43-53,,
2:44.0,J. Jones misses 3-pt shot from 26 ft,,43-53,,
2:42.0,Offensive rebound by K. Irving,,43-53,,
2:40.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,45-53,,
2:27.0,,,45-55,2,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol)
2:08.0,I. Shumpert misses 2-pt shot from 6 ft (block by A. Brooks),,45-55,,
2:06.0,Offensive rebound by I. Shumpert,,45-55,,
2:04.0,J. Smith misses 3-pt shot from 26 ft,,45-55,,
2:00.0,,,45-55,,Defensive rebound by P. Gasol
1:53.0,,,45-55,,P. Gasol misses 2-pt shot from 21 ft
1:51.0,Defensive rebound by J. Jones,,45-55,,
1:45.0,K. Irving misses 2-pt shot from 2 ft,,45-55,,
1:43.0,,,45-55,,Defensive rebound by P. Gasol
1:35.0,,,45-55,,M. Dunleavy misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by K. Irving,,45-55,,
1:23.0,I. Shumpert misses 3-pt shot from 26 ft,,45-55,,
1:22.0,,,45-55,,Defensive rebound by P. Gasol
0:59.0,,,45-55,,D. Rose misses 3-pt shot from 24 ft (block by J. Smith)
0:56.0,,,45-55,,Offensive rebound by A. Brooks
0:56.0,,,45-55,,A. Brooks misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by I. Shumpert,,45-55,,
0:56.0,,,45-55,,Personal foul by M. Dunleavy (drawn by K. Irving)
0:56.0,K. Irving misses free throw 1 of 2,,45-55,,
0:56.0,Offensive rebound by Team,,45-55,,
0:56.0,K. Irving makes free throw 2 of 2,1,46-55,,
0:41.0,,,46-55,,T. Gibson misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by K. Irving,,46-55,,
0:39.0,,,46-55,,Personal foul by A. Brooks (drawn by K. Irving)
0:39.0,K. Irving makes free throw 1 of 2,1,47-55,,
0:39.0,K. Irving makes free throw 2 of 2,1,48-55,,
0:30.0,,,48-55,,D. Rose misses 2-pt shot from 14 ft
0:29.0,Defensive rebound by J. Smith,,48-55,,
0:25.0,K. Irving misses 2-pt shot from 1 ft,,48-55,,
0:23.0,Offensive rebound by T. Thompson,,48-55,,
0:00.0,J. Smith misses 2-pt shot from 21 ft,,48-55,,
0:00.0,Offensive rebound by Team,,48-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Smith misses 2-pt shot from 17 ft,,48-55,,
11:39.0,Offensive rebound by T. Mozgov,,48-55,,
11:36.0,L. James misses 3-pt shot from 27 ft,,48-55,,
11:35.0,,,48-55,,Defensive rebound by J. Noah
11:21.0,,,48-57,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
11:08.0,K. Irving misses 2-pt shot from 3 ft,,48-57,,
11:08.0,,,48-57,,Defensive rebound by Team
11:08.0,Loose ball foul by T. Mozgov (drawn by P. Gasol),,48-57,,
11:08.0,J. Jones enters the game for T. Mozgov,,48-57,,
11:04.0,Technical foul by T. Mozgov,,48-57,,
11:04.0,,,48-58,1,D. Rose makes technical free throw
11:00.0,,,48-58,,Shooting foul by T. Thompson (drawn by J. Noah)
11:00.0,,,48-58,,J. Noah misses free throw 1 of 2
11:00.0,,,48-58,,Offensive rebound by Team
11:00.0,,,48-59,1,J. Noah makes free throw 2 of 2
10:48.0,J. Smith misses 3-pt shot from 26 ft,,48-59,,
10:47.0,,,48-59,,Defensive rebound by J. Noah
10:34.0,,,48-61,2,J. Noah makes 2-pt shot at rim (assist by P. Gasol)
10:11.0,Turnover by J. Smith (bad pass; steal by D. Rose),,48-61,,
9:57.0,,,48-61,,Shooting foul by J. Smith (drawn by P. Gasol)
9:57.0,,,48-62,1,P. Gasol makes free throw 1 of 2
9:57.0,,,48-63,1,P. Gasol makes free throw 2 of 2
9:36.0,J. Smith makes 2-pt shot from 1 ft,2,50-63,,
9:16.0,,,50-63,,Turnover by P. Gasol (bad pass; steal by J. Smith)
9:09.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,52-63,,
9:00.0,,,52-63,,D. Rose misses 2-pt shot from 2 ft
9:00.0,,,52-63,,Offensive rebound by Team
9:00.0,Loose ball foul by T. Thompson (drawn by J. Noah),,52-63,,
8:54.0,,,52-65,2,D. Rose makes 2-pt shot from 1 ft
8:36.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,54-65,,
8:17.0,,,54-68,3,T. Snell makes 3-pt shot from 26 ft (assist by D. Rose)
8:04.0,K. Irving makes 3-pt shot from 25 ft,3,57-68,,
7:38.0,,,57-68,,J. Noah misses 2-pt shot from 4 ft
7:37.0,Defensive rebound by J. Smith,,57-68,,
7:28.0,J. Jones misses 3-pt shot from 24 ft,,57-68,,
7:28.0,Offensive rebound by Team,,57-68,,
7:28.0,,,57-68,,Loose ball foul by T. Snell (drawn by T. Thompson)
7:17.0,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving),2,59-68,,
7:00.0,,,59-70,2,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol)
6:48.0,Turnover by J. Jones (bad pass; steal by M. Dunleavy),,59-70,,
6:43.0,,,59-70,,Shooting foul by J. Jones (drawn by D. Rose)
6:43.0,,,59-71,1,D. Rose makes free throw 1 of 2
6:43.0,,,59-72,1,D. Rose makes free throw 2 of 2
6:30.0,J. Jones misses 3-pt shot from 26 ft,,59-72,,
6:27.0,,,59-72,,Defensive rebound by T. Snell
6:12.0,,,59-74,2,T. Snell makes 2-pt shot from 4 ft (assist by J. Noah)
5:55.0,K. Irving misses 2-pt shot from 5 ft,,59-74,,
5:52.0,,,59-74,,Defensive rebound by M. Dunleavy
5:45.0,,,59-74,,Turnover by P. Gasol (bad pass)
5:45.0,,,59-74,,Chicago full timeout
5:45.0,T. Mozgov enters the game for T. Thompson,,59-74,,
5:32.0,L. James makes 2-pt shot from 10 ft,2,61-74,,
5:10.0,,,61-74,,P. Gasol misses 2-pt shot from 21 ft
5:09.0,Defensive rebound by J. Smith,,61-74,,
5:01.0,L. James misses 2-pt shot from 17 ft,,61-74,,
5:00.0,,,61-74,,Defensive rebound by P. Gasol
4:49.0,,,61-74,,P. Gasol misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by J. Smith,,61-74,,
4:29.0,T. Mozgov makes 2-pt shot from 17 ft (assist by J. Smith),2,63-74,,
4:06.0,,,63-77,3,M. Dunleavy makes 3-pt shot from 26 ft (assist by D. Rose)
3:46.0,Shooting foul by D. Rose (drawn by K. Irving),,63-77,,
3:46.0,K. Irving misses free throw 1 of 2,,63-77,,
3:46.0,Offensive rebound by Team,,63-77,,
3:46.0,,,63-77,,T. Gibson enters the game for J. Noah
3:46.0,K. Irving makes free throw 2 of 2,1,64-77,,
3:32.0,,,64-77,,D. Rose misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by Team,,64-77,,
3:32.0,,,64-77,,Loose ball foul by T. Gibson (drawn by K. Irving)
3:24.0,Shooting foul by T. Gibson (drawn by T. Mozgov),,64-77,,
3:24.0,T. Mozgov makes free throw 1 of 2,1,65-77,,
3:24.0,I. Shumpert enters the game for J. Smith,,65-77,,
3:24.0,T. Mozgov misses free throw 2 of 2,,65-77,,
3:22.0,,,65-77,,Defensive rebound by P. Gasol
3:10.0,,,65-79,2,D. Rose makes 2-pt shot from 19 ft (assist by P. Gasol)
2:58.0,L. James makes 3-pt shot from 25 ft,3,68-79,,
2:43.0,,,68-81,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
2:30.0,Turnover by L. James (bad pass),,68-81,,
2:30.0,Cleveland full timeout,,68-81,,
2:21.0,,,68-83,2,D. Rose makes 2-pt shot from 5 ft
2:08.0,K. Irving misses 2-pt shot from 4 ft,,68-83,,
2:06.0,Offensive rebound by J. Jones,,68-83,,
2:05.0,Shooting foul by D. Rose (drawn by J. Jones),,68-83,,
2:05.0,J. Jones makes free throw 1 of 3,1,69-83,,
2:05.0,J. Jones makes free throw 2 of 3,1,70-83,,
2:05.0,J. Jones makes free throw 3 of 3,1,71-83,,
1:55.0,,,71-83,,D. Rose misses 2-pt shot from 19 ft
1:55.0,Defensive rebound by Team,,71-83,,
1:55.0,,,71-83,,Loose ball foul by P. Gasol (drawn by L. James)
1:55.0,L. James makes free throw 1 of 2,1,72-83,,
1:55.0,L. James makes free throw 2 of 2,1,73-83,,
1:31.0,,,73-83,,P. Gasol misses 2-pt shot from 17 ft
1:29.0,,,73-83,,Offensive rebound by T. Gibson
1:16.0,,,73-83,,P. Gasol misses 2-pt shot from 19 ft
1:14.0,,,73-83,,Offensive rebound by T. Gibson
1:03.0,,,73-83,,D. Rose misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by Team,,73-83,,
1:02.0,,,73-83,,Loose ball foul by P. Gasol (drawn by T. Mozgov)
1:02.0,T. Mozgov misses free throw 1 of 2,,73-83,,
1:02.0,Offensive rebound by Team,,73-83,,
1:02.0,T. Mozgov makes free throw 2 of 2,1,74-83,,
0:45.0,,,74-83,,T. Gibson misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by T. Mozgov,,74-83,,
0:36.0,L. James misses 3-pt shot from 27 ft,,74-83,,
0:35.0,,,74-83,,Defensive rebound by P. Gasol
0:25.0,Personal foul by K. Irving (drawn by P. Gasol),,74-83,,
0:25.0,,,74-84,1,P. Gasol makes free throw 1 of 2
0:25.0,,,74-85,1,P. Gasol makes free throw 2 of 2
0:07.0,J. Jones makes 3-pt shot from 26 ft (assist by L. James),3,77-85,,
0:01.0,,,77-87,2,D. Rose makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,77-87,,Turnover by J. Noah (bad pass; steal by J. Smith)
11:42.0,J. Jones misses 3-pt shot from 24 ft,,77-87,,
11:39.0,Offensive rebound by K. Irving,,77-87,,
11:29.0,,,77-87,,Personal foul by D. Rose (drawn by K. Irving)
11:20.0,Offensive charge foul by I. Shumpert,,77-87,,
11:20.0,Turnover by I. Shumpert (offensive foul),,77-87,,
11:11.0,,,77-87,,A. Brooks misses 2-pt shot from 5 ft
11:09.0,Defensive rebound by T. Mozgov,,77-87,,
11:02.0,K. Irving makes 2-pt shot from 2 ft,2,79-87,,
10:43.0,,,79-87,,A. Brooks misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by T. Mozgov,,79-87,,
10:36.0,Turnover by I. Shumpert (bad pass; steal by N. Mirotic),,79-87,,
10:36.0,Personal foul by T. Mozgov (drawn by T. Gibson),,79-87,,
10:25.0,T. Thompson enters the game for T. Mozgov,,79-87,,
10:16.0,,,79-87,,A. Brooks misses 3-pt shot from 25 ft (block by K. Irving)
10:14.0,,,79-87,,Offensive rebound by D. Rose
10:12.0,,,79-89,2,D. Rose makes 2-pt shot from 4 ft
9:57.0,K. Irving makes 2-pt shot from 2 ft,2,81-89,,
9:38.0,,,81-89,,A. Brooks misses 3-pt shot from 27 ft
9:35.0,,,81-89,,Offensive rebound by N. Mirotic
9:35.0,,,81-91,2,N. Mirotic makes 2-pt shot from 1 ft
9:23.0,Turnover by J. Smith (lost ball; steal by A. Brooks),,81-91,,
9:23.0,Personal foul by J. Smith (drawn by A. Brooks),,81-91,,
9:23.0,L. James enters the game for I. Shumpert,,81-91,,
9:23.0,,,81-91,,T. Snell enters the game for N. Mirotic
9:23.0,M. Dellavedova enters the game for K. Irving,,81-91,,
9:10.0,,,81-91,,D. Rose misses 2-pt shot from 21 ft
9:08.0,Defensive rebound by L. James,,81-91,,
8:57.0,L. James misses 2-pt shot from 6 ft,,81-91,,
8:57.0,,,81-91,,Defensive rebound by J. Noah
8:57.0,Personal foul by L. James (drawn by J. Noah),,81-91,,
8:57.0,,,81-91,,Chicago full timeout
8:57.0,,,81-91,,N. Mirotic enters the game for D. Rose
8:45.0,,,81-91,,A. Brooks misses 2-pt shot at rim
8:44.0,Defensive rebound by T. Thompson,,81-91,,
8:42.0,L. James makes 2-pt shot from 1 ft,2,83-91,,
8:42.0,Shooting foul by T. Snell (drawn by L. James),,83-91,,
8:42.0,L. James makes free throw 1 of 1,1,84-91,,
8:25.0,,,84-91,,N. Mirotic misses 3-pt shot from 27 ft
8:25.0,,,84-91,,Offensive rebound by J. Noah
8:25.0,,,84-91,,Shooting foul by J. Smith (drawn by J. Noah)
8:25.0,,,84-91,,J. Noah misses free throw 1 of 2
8:25.0,,,84-91,,Offensive rebound by Team
8:25.0,,,84-92,1,J. Noah makes free throw 2 of 2
8:14.0,Turnover by L. James (back court),,84-92,,
7:57.0,,,84-95,3,N. Mirotic makes 3-pt shot from 26 ft (assist by A. Brooks)
7:38.0,J. Smith misses 3-pt shot from 25 ft,,84-95,,
7:37.0,,,84-95,,Defensive rebound by T. Gibson
7:37.0,Personal foul by M. Dellavedova (drawn by T. Gibson),,84-95,,
7:37.0,,,84-95,,T. Gibson misses free throw 1 of 2
7:37.0,,,84-95,,Offensive rebound by Team
7:37.0,,,84-96,1,T. Gibson makes free throw 2 of 2
7:27.0,Turnover by L. James (lost ball; steal by T. Snell),,84-96,,
7:27.0,Personal foul by L. James (drawn by J. Noah),,84-96,,
7:27.0,,,84-96,,J. Noah misses free throw 1 of 2
7:27.0,,,84-96,,Offensive rebound by Team
7:27.0,K. Irving enters the game for J. Smith,,84-96,,
7:27.0,,,84-96,,D. Rose enters the game for A. Brooks
7:27.0,,,84-97,1,J. Noah makes free throw 2 of 2
7:10.0,L. James misses 3-pt shot from 25 ft,,84-97,,
7:09.0,,,84-97,,Defensive rebound by J. Noah
6:59.0,,,84-97,,T. Snell misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by M. Dellavedova,,84-97,,
6:48.0,L. James makes 2-pt shot from 21 ft,2,86-97,,
6:30.0,,,86-100,3,T. Snell makes 3-pt shot from 25 ft (assist by T. Gibson)
6:28.0,Cleveland full timeout,,86-100,,
6:28.0,T. Mozgov enters the game for T. Thompson,,86-100,,
6:17.0,K. Irving misses 2-pt shot from 6 ft,,86-100,,
6:16.0,,,86-100,,Defensive rebound by N. Mirotic
6:04.0,,,86-102,2,T. Gibson makes 2-pt shot from 17 ft (assist by D. Rose)
5:53.0,,,86-102,,Personal foul by T. Snell (drawn by L. James)
5:38.0,L. James misses 2-pt shot from 22 ft,,86-102,,
5:36.0,,,86-102,,Defensive rebound by D. Rose
5:26.0,,,86-102,,Shooting foul by L. James (drawn by J. Noah)
5:26.0,,,86-102,,J. Noah misses free throw 1 of 2
5:26.0,,,86-102,,Offensive rebound by Team
5:26.0,,,86-103,1,J. Noah makes free throw 2 of 2
5:16.0,,,86-103,,Personal foul by J. Noah (drawn by T. Mozgov)
5:16.0,,,86-103,,P. Gasol enters the game for J. Noah
