time,Phoenix,pts.away,score,pts.home,Cleveland
3:02.0,M. Morris enters the game for P. Tucker,,21-23,,
2:52.0,Phoenix full timeout,,21-23,,
2:52.0,,,21-23,,L. James enters the game for J. Smith
2:51.0,,,21-23,,Turnover by L. James (bad pass)
2:32.0,M. Morris misses 2-pt shot from 12 ft,,21-23,,
2:31.0,,,21-23,,Defensive rebound by L. James
2:18.0,,,21-23,,L. James misses 2-pt shot from 2 ft
2:16.0,Defensive rebound by M. Morris,,21-23,,
2:05.0,A. Goodwin makes 3-pt shot from 24 ft (assist by M. Morris),3,24-23,,
1:42.0,,,24-25,2,M. Dellavedova makes 2-pt shot from 1 ft
1:17.0,A. Goodwin misses 3-pt shot from 25 ft,,24-25,,
1:16.0,,,24-25,,Defensive rebound by Team
0:56.0,,,24-28,3,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Love)
0:35.0,B. Knight misses 3-pt shot from 25 ft,,24-28,,
0:34.0,,,24-28,,Defensive rebound by K. Love
0:20.0,Personal foul by M. Morris (drawn by L. James),,24-28,,
0:20.0,,,24-28,,T. Mozgov enters the game for T. Thompson
0:13.0,,,24-30,2,M. Dellavedova makes 2-pt shot from 12 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-30,,M. Dellavedova misses 3-pt shot from 27 ft
11:43.0,Defensive rebound by P. Tucker,,24-30,,
11:21.0,M. Morris makes 2-pt shot from 19 ft,2,26-30,,
11:06.0,,,26-30,,L. James misses 2-pt shot from 21 ft
11:05.0,Defensive rebound by M. Morris,,26-30,,
10:51.0,E. Bledsoe misses 2-pt shot from 13 ft,,26-30,,
10:49.0,,,26-30,,Defensive rebound by M. Dellavedova
10:44.0,,,26-32,2,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova)
10:27.0,M. Morris misses 2-pt shot from 5 ft,,26-32,,
10:27.0,Offensive rebound by A. Goodwin,,26-32,,
10:27.0,Turnover by A. Goodwin (lost ball),,26-32,,
10:15.0,,,26-32,,T. Mozgov misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by E. Bledsoe,,26-32,,
9:56.0,P. Tucker misses 2-pt shot from 1 ft,,26-32,,
9:54.0,,,26-32,,Defensive rebound by T. Thompson
9:51.0,,,26-32,,Shooting foul by B. Wright (drawn by T. Thompson)
9:51.0,,,26-34,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
9:51.0,,,26-35,1,T. Thompson makes free throw 1 of 1
9:26.0,A. Goodwin misses 2-pt shot from 1 ft,,26-35,,
9:25.0,,,26-35,,Defensive rebound by T. Mozgov
9:15.0,,,26-37,2,L. James makes 2-pt shot from 1 ft
9:07.0,Phoenix full timeout,,26-37,,
8:47.0,P. Tucker misses 2-pt shot from 19 ft,,26-37,,
8:47.0,Offensive rebound by Team,,26-37,,
8:47.0,Turnover by Team (shot clock),,26-37,,
8:33.0,,,26-37,,I. Shumpert misses 3-pt shot from 23 ft
8:32.0,,,26-37,,Offensive rebound by T. Thompson
8:30.0,,,26-37,,Turnover by T. Mozgov (offensive goaltending)
8:30.0,B. Knight enters the game for A. Goodwin,,26-37,,
8:30.0,E. Barron enters the game for B. Wright,,26-37,,
8:14.0,M. Morris misses 3-pt shot from 24 ft,,26-37,,
8:13.0,,,26-37,,Defensive rebound by L. James
8:08.0,,,26-37,,Turnover by T. Thompson (3 sec)
7:54.0,P. Tucker misses 2-pt shot from 11 ft,,26-37,,
7:53.0,,,26-37,,Defensive rebound by L. James
7:47.0,,,26-37,,T. Mozgov misses 2-pt shot from 1 ft
7:46.0,,,26-37,,Offensive rebound by T. Thompson
7:46.0,,,26-39,2,T. Thompson makes 2-pt shot at rim
7:25.0,E. Barron misses 2-pt shot from 14 ft,,26-39,,
7:24.0,,,26-39,,Defensive rebound by T. Thompson
6:59.0,,,26-39,,L. James misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by Team,,26-39,,
6:59.0,M. Morris enters the game for M. Morris,,26-39,,
6:44.0,E. Bledsoe misses 3-pt shot from 26 ft,,26-39,,
6:44.0,,,26-39,,Defensive rebound by Team
6:20.0,,,26-39,,L. James misses 2-pt shot from 8 ft
6:18.0,Defensive rebound by P. Tucker,,26-39,,
6:06.0,M. Morris misses 2-pt shot from 13 ft,,26-39,,
6:05.0,,,26-39,,Defensive rebound by I. Shumpert
6:02.0,,,26-39,,Offensive foul by I. Shumpert
6:02.0,,,26-39,,Turnover by I. Shumpert (offensive foul)
6:02.0,,,26-39,,J. Smith enters the game for L. James
5:48.0,Official timeout,,26-39,,
5:37.0,B. Knight misses 3-pt shot from 25 ft,,26-39,,
5:36.0,,,26-39,,Defensive rebound by I. Shumpert
5:21.0,,,26-39,,J. Smith misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by M. Morris,,26-39,,
5:15.0,E. Bledsoe misses 2-pt shot from 1 ft,,26-39,,
5:14.0,,,26-39,,Defensive rebound by Team
5:14.0,,,26-39,,K. Love enters the game for T. Thompson
5:01.0,Personal foul by E. Barron (drawn by T. Mozgov),,26-39,,
5:01.0,G. Green enters the game for E. Barron,,26-39,,
4:53.0,,,26-39,,K. Love misses 2-pt shot from 17 ft
4:51.0,Defensive rebound by B. Knight,,26-39,,
4:45.0,E. Bledsoe misses 2-pt shot from 18 ft,,26-39,,
4:45.0,,,26-39,,Defensive rebound by K. Love
4:32.0,,,26-39,,Shooting foul by B. Knight (drawn by K. Love)
4:32.0,,,26-40,1,K. Love makes free throw 1 of 2
4:32.0,,,26-41,1,K. Love makes free throw 2 of 2
4:09.0,M. Morris makes 2-pt shot from 4 ft (assist by B. Knight),2,28-41,,
4:00.0,,,28-41,,Shooting foul by M. Morris (drawn by T. Mozgov)
4:00.0,,,28-42,1,T. Mozgov makes free throw 1 of 2
4:00.0,,,28-43,1,T. Mozgov makes free throw 2 of 2
3:48.0,Shooting foul by K. Love (drawn by M. Morris),,28-43,,
3:48.0,M. Morris makes free throw 1 of 2,1,29-43,,
3:48.0,M. Morris makes free throw 2 of 2,1,30-43,,
3:31.0,,,30-46,3,J. Smith makes 3-pt shot from 24 ft (assist by T. Mozgov)
3:16.0,B. Knight misses 3-pt shot from 24 ft,,30-46,,
3:15.0,,,30-46,,Defensive rebound by T. Mozgov
2:52.0,,,30-46,,M. Dellavedova misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by B. Knight,,30-46,,
2:46.0,Shooting foul by T. Mozgov (drawn by M. Morris),,30-46,,
2:46.0,,,30-46,,Cleveland full timeout
2:46.0,,,30-46,,T. Thompson enters the game for T. Mozgov
2:46.0,,,30-46,,L. James enters the game for I. Shumpert
2:46.0,M. Morris makes free throw 1 of 2,1,31-46,,
2:46.0,M. Morris misses free throw 2 of 2,,31-46,,
2:44.0,,,31-46,,Defensive rebound by K. Love
2:24.0,,,31-46,,J. Smith misses 2-pt shot from 22 ft
2:23.0,Defensive rebound by B. Knight,,31-46,,
2:12.0,Shooting foul by L. James (drawn by G. Green),,31-46,,
2:12.0,G. Green makes free throw 1 of 2,1,32-46,,
2:12.0,G. Green makes free throw 2 of 2,1,33-46,,
1:51.0,,,33-46,,Shooting foul by M. Morris (drawn by L. James)
1:51.0,,,33-47,1,L. James makes free throw 1 of 2
1:51.0,,,33-47,,L. James misses free throw 2 of 2
1:50.0,Defensive rebound by M. Morris,,33-47,,
1:38.0,G. Green misses 3-pt shot from 25 ft,,33-47,,
1:38.0,Offensive rebound by Team,,33-47,,
1:27.0,G. Green misses 2-pt shot from 9 ft,,33-47,,
1:26.0,,,33-47,,Defensive rebound by K. Love
1:22.0,,,33-49,2,J. Smith makes 2-pt shot at rim (assist by K. Love)
1:07.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,35-49,,
0:50.0,,,35-51,2,T. Thompson makes 2-pt shot from 4 ft (assist by L. James)
0:27.0,E. Bledsoe misses 2-pt shot from 2 ft,,35-51,,
0:27.0,Offensive rebound by P. Tucker,,35-51,,
0:27.0,P. Tucker makes 2-pt shot at rim,2,37-51,,
0:04.0,,,37-51,,M. Dellavedova misses 2-pt shot from 8 ft
0:03.0,,,37-51,,Offensive rebound by T. Thompson
0:03.0,,,37-53,2,T. Thompson makes 2-pt shot at rim
0:00.0,G. Green misses 3-pt shot from 42 ft,,37-53,,
0:00.0,Offensive rebound by Team,,37-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,37-53,,Turnover by T. Mozgov (lost ball; steal by E. Bledsoe)
11:31.0,P. Tucker misses 2-pt shot from 1 ft,,37-53,,
11:27.0,Offensive rebound by P. Tucker,,37-53,,
11:25.0,P. Tucker misses 3-pt shot from 24 ft,,37-53,,
11:24.0,,,37-53,,Defensive rebound by K. Irving
11:17.0,,,37-55,2,J. Smith makes 2-pt shot from 19 ft (assist by L. James)
11:08.0,,,37-55,,Personal foul by J. Smith (drawn by B. Knight)
11:00.0,E. Bledsoe misses 2-pt shot from 17 ft,,37-55,,
11:00.0,,,37-55,,Defensive rebound by Team
10:47.0,,,37-55,,K. Irving misses 2-pt shot from 23 ft
10:46.0,Defensive rebound by E. Barron,,37-55,,
10:26.0,Turnover by P. Tucker (bad pass),,37-55,,
10:09.0,,,37-55,,Shooting foul by E. Barron (drawn by T. Mozgov)
10:09.0,,,37-56,1,T. Mozgov makes free throw 1 of 2
10:09.0,,,37-57,1,T. Mozgov makes free throw 2 of 2
9:50.0,P. Tucker misses 2-pt shot from 5 ft,,37-57,,
9:50.0,,,37-57,,Defensive rebound by Team
9:38.0,,,37-57,,Shooting foul by E. Barron (drawn by T. Mozgov)
9:38.0,,,37-58,1,T. Mozgov makes free throw 1 of 2
9:38.0,B. Wright enters the game for E. Barron,,37-58,,
9:38.0,,,37-59,1,T. Mozgov makes free throw 2 of 2
9:20.0,B. Wright misses 2-pt shot from 5 ft,,37-59,,
9:19.0,,,37-59,,Defensive rebound by K. Love
9:15.0,,,37-61,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
9:00.0,E. Bledsoe misses 3-pt shot from 27 ft,,37-61,,
9:00.0,Offensive rebound by P. Tucker,,37-61,,
9:00.0,,,37-61,,Personal foul by J. Smith (drawn by P. Tucker)
9:00.0,,,37-61,,Technical foul by J. Smith (drawn by P. Tucker)
9:00.0,Technical foul by P. Tucker,,37-61,,
8:55.0,,,37-61,,Personal foul by L. James (drawn by M. Morris)
8:47.0,M. Morris misses 2-pt shot from 9 ft,,37-61,,
8:46.0,Offensive rebound by P. Tucker,,37-61,,
8:37.0,Turnover by B. Knight (bad pass),,37-61,,
8:33.0,,,37-61,,Turnover by L. James (bad pass)
8:24.0,B. Knight makes 2-pt shot from 14 ft,2,39-61,,
8:03.0,,,39-63,2,L. James makes 2-pt shot from 20 ft (assist by K. Irving)
7:50.0,B. Knight misses 2-pt shot from 17 ft,,39-63,,
7:50.0,,,39-63,,Defensive rebound by K. Love
7:44.0,Personal foul by P. Tucker (drawn by T. Mozgov),,39-63,,
7:44.0,,,39-65,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
7:44.0,Phoenix full timeout,,39-65,,
7:29.0,Turnover by P. Tucker (bad pass; steal by K. Love),,39-65,,
7:24.0,,,39-65,,J. Smith misses 2-pt shot at rim
7:22.0,Defensive rebound by B. Wright,,39-65,,
7:16.0,B. Knight misses 2-pt shot from 16 ft,,39-65,,
7:14.0,,,39-65,,Defensive rebound by T. Mozgov
7:05.0,,,39-68,3,L. James makes 3-pt shot from 25 ft
6:41.0,B. Wright misses 2-pt shot from 13 ft,,39-68,,
6:40.0,Offensive rebound by M. Morris,,39-68,,
6:35.0,M. Morris misses 2-pt shot from 2 ft (block by K. Love),,39-68,,
6:34.0,,,39-68,,Defensive rebound by K. Love
6:31.0,,,39-68,,L. James misses 3-pt shot from 25 ft
6:31.0,,,39-68,,Offensive rebound by Team
6:31.0,Loose ball foul by B. Wright (drawn by T. Mozgov),,39-68,,
6:31.0,G. Green enters the game for P. Tucker,,39-68,,
6:31.0,M. Morris enters the game for E. Bledsoe,,39-68,,
6:20.0,,,39-68,,Turnover by K. Irving (bad pass; steal by B. Wright)
6:09.0,G. Green makes 2-pt shot from 11 ft (assist by B. Knight),2,41-68,,
5:55.0,,,41-70,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
5:41.0,B. Wright misses 2-pt shot from 16 ft,,41-70,,
5:40.0,,,41-70,,Defensive rebound by J. Smith
5:29.0,,,41-70,,Shooting foul by M. Morris (drawn by L. James)
5:29.0,,,41-71,1,L. James makes free throw 1 of 2
5:29.0,,,41-71,,L. James misses free throw 2 of 2
5:28.0,Defensive rebound by M. Morris,,41-71,,
5:15.0,,,41-71,,Personal foul by L. James (drawn by M. Morris)
5:01.0,M. Morris misses 2-pt shot from 7 ft,,41-71,,
5:00.0,Offensive rebound by B. Wright,,41-71,,
4:59.0,M. Morris misses 2-pt shot from 10 ft,,41-71,,
4:58.0,,,41-71,,Defensive rebound by K. Love
4:44.0,,,41-73,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:41.0,Phoenix full timeout,,41-73,,
4:41.0,E. Bledsoe enters the game for B. Knight,,41-73,,
4:23.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Wright),3,44-73,,
4:09.0,Personal foul by M. Morris (drawn by T. Mozgov),,44-73,,
4:09.0,,,44-73,,T. Mozgov misses free throw 1 of 2
4:09.0,,,44-73,,Offensive rebound by Team
4:09.0,,,44-74,1,T. Mozgov makes free throw 2 of 2
3:58.0,M. Morris misses 2-pt shot from 13 ft,,44-74,,
3:57.0,Offensive rebound by E. Bledsoe,,44-74,,
3:46.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,46-74,,
3:29.0,,,46-74,,L. James misses 2-pt shot from 16 ft
3:28.0,Defensive rebound by G. Green,,46-74,,
3:23.0,M. Morris misses 3-pt shot from 23 ft,,46-74,,
3:21.0,,,46-74,,Defensive rebound by K. Love
3:08.0,Personal foul by M. Morris (drawn by K. Love),,46-74,,
3:08.0,,,46-75,1,K. Love makes free throw 1 of 2
3:08.0,,,46-75,,T. Thompson enters the game for T. Mozgov
3:08.0,,,46-76,1,K. Love makes free throw 2 of 2
2:56.0,G. Green misses 2-pt shot from 2 ft,,46-76,,
2:54.0,Offensive rebound by Team,,46-76,,
2:54.0,,,46-76,,Cleveland full timeout
2:54.0,,,46-76,,K. Perkins enters the game for K. Love
2:54.0,,,46-76,,M. Dellavedova enters the game for K. Irving
2:53.0,Jump ball: E. Bledsoe vs. J. Smith,,,,Jump ball: E. Bledsoe vs. J. Smith
2:36.0,G. Green makes 2-pt shot at rim (assist by M. Morris),2,48-76,,
2:02.0,,,48-79,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Thompson)
1:47.0,G. Green makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,50-79,,
1:35.0,Personal foul by M. Morris (drawn by L. James),,50-79,,
1:35.0,,,50-79,,L. James misses free throw 1 of 2
1:35.0,,,50-79,,Offensive rebound by Team
1:35.0,,,50-80,1,L. James makes free throw 2 of 2
1:11.0,Turnover by E. Bledsoe (lost ball; steal by L. James),,50-80,,
1:02.0,,,50-80,,L. James misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by G. Green,,50-80,,
0:56.0,M. Morris makes 2-pt shot from 12 ft (assist by E. Bledsoe),2,52-80,,
0:30.0,,,52-80,,L. James misses 2-pt shot from 7 ft
0:27.0,,,52-80,,Offensive rebound by T. Thompson
0:27.0,,,52-80,,T. Thompson misses 2-pt shot at rim
0:24.0,,,52-80,,Offensive rebound by T. Thompson
0:24.0,,,52-80,,T. Thompson misses 2-pt shot at rim
0:23.0,Defensive rebound by B. Wright,,52-80,,
0:10.0,M. Morris misses 3-pt shot from 23 ft,,52-80,,
0:09.0,,,52-80,,Defensive rebound by T. Thompson
0:01.0,,,52-80,,J. Smith misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by E. Bledsoe,,52-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,B. Wright makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,54-80,,
11:26.0,,,54-80,,Turnover by I. Shumpert (lost ball; steal by T. Warren)
11:23.0,Turnover by G. Green (lost ball),,54-80,,
11:06.0,,,54-80,,K. Perkins misses 2-pt shot from 3 ft
11:06.0,Defensive rebound by Team,,54-80,,
10:41.0,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,57-80,,
10:20.0,,,57-80,,T. Thompson misses 2-pt shot from 6 ft
10:19.0,,,57-80,,Offensive rebound by K. Perkins
10:19.0,,,57-80,,K. Perkins misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by T. Warren,,57-80,,
10:03.0,M. Morris misses 2-pt shot from 6 ft,,57-80,,
10:01.0,Offensive rebound by T. Warren,,57-80,,
10:01.0,T. Warren makes 2-pt shot at rim,2,59-80,,
9:56.0,,,59-80,,Cleveland full timeout
9:56.0,,,59-80,,K. Irving enters the game for J. Smith
9:38.0,,,59-80,,I. Shumpert misses 3-pt shot from 25 ft
9:37.0,,,59-80,,Offensive rebound by T. Thompson
9:29.0,,,59-80,,K. Irving misses 2-pt shot from 16 ft
9:28.0,Defensive rebound by B. Wright,,59-80,,
9:13.0,Turnover by G. Green (bad pass; steal by T. Thompson),,59-80,,
9:01.0,,,59-80,,K. Irving misses 2-pt shot from 4 ft (block by B. Wright)
8:59.0,Defensive rebound by M. Morris,,59-80,,
8:53.0,T. Warren misses 2-pt shot from 1 ft,,59-80,,
8:50.0,Offensive rebound by B. Wright,,59-80,,
8:47.0,B. Wright makes 2-pt shot from 12 ft,2,61-80,,
8:24.0,,,61-80,,K. Irving misses 2-pt shot from 5 ft
8:22.0,,,61-80,,Offensive rebound by K. Perkins
8:19.0,,,61-80,,K. Perkins misses 2-pt shot from 2 ft (block by B. Wright)
8:17.0,Defensive rebound by B. Wright,,61-80,,
8:08.0,B. Wright misses 2-pt shot from 3 ft,,61-80,,
8:07.0,,,61-80,,Defensive rebound by K. Perkins
8:03.0,Personal foul by M. Morris (drawn by T. Thompson),,61-80,,
8:03.0,,,61-80,,K. Love enters the game for K. Perkins
7:55.0,,,61-80,,K. Love misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by G. Green,,61-80,,
7:45.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,63-80,,
7:23.0,,,63-82,2,K. Irving makes 2-pt shot at rim
7:07.0,Shooting foul by K. Love (drawn by B. Wright),,63-82,,
7:07.0,B. Wright makes free throw 1 of 2,1,64-82,,
7:07.0,,,64-82,,L. James enters the game for I. Shumpert
7:07.0,,,64-82,,J. Smith enters the game for M. Dellavedova
7:07.0,B. Knight enters the game for E. Bledsoe,,64-82,,
7:07.0,P. Tucker enters the game for M. Morris,,64-82,,
7:07.0,B. Wright misses free throw 2 of 2,,64-82,,
7:06.0,,,64-82,,Defensive rebound by J. Smith
6:45.0,,,64-82,,K. Love misses 3-pt shot from 25 ft
6:43.0,,,64-82,,Offensive rebound by J. Smith
6:26.0,,,64-84,2,T. Thompson makes 2-pt shot from 5 ft (assist by K. Love)
5:59.0,B. Knight misses 2-pt shot from 5 ft,,64-84,,
5:58.0,Offensive rebound by T. Warren,,64-84,,
5:55.0,T. Warren makes 2-pt shot from 1 ft,2,66-84,,
5:31.0,,,66-84,,L. James misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by T. Warren,,66-84,,
5:23.0,G. Green misses 3-pt shot from 24 ft,,66-84,,
5:22.0,,,66-84,,Defensive rebound by T. Thompson
5:05.0,,,66-84,,L. James misses 2-pt shot from 5 ft
5:03.0,Defensive rebound by P. Tucker,,66-84,,
4:58.0,G. Green makes 3-pt shot from 24 ft (assist by P. Tucker),3,69-84,,
4:40.0,,,69-84,,K. Irving misses 2-pt shot from 14 ft
4:38.0,,,69-84,,Offensive rebound by T. Thompson
4:24.0,,,69-84,,K. Irving misses 2-pt shot from 6 ft (block by T. Warren)
4:24.0,,,69-84,,Offensive rebound by Team
4:24.0,Official timeout,,69-84,,
4:24.0,E. Bledsoe enters the game for G. Green,,69-84,,
4:17.0,,,69-84,,J. Smith misses 2-pt shot from 6 ft (block by B. Wright)
4:15.0,Defensive rebound by T. Warren,,69-84,,
4:14.0,,,69-84,,Personal foul by K. Irving (drawn by B. Knight)
3:57.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,72-84,,
3:44.0,,,72-84,,Turnover by L. James (lost ball)
3:27.0,Turnover by E. Bledsoe (bad pass),,72-84,,
3:09.0,,,72-84,,Turnover by K. Love (bad pass; steal by B. Wright)
2:58.0,B. Knight makes 2-pt shot from 1 ft,2,74-84,,
2:38.0,,,74-84,,Shooting foul by B. Wright (drawn by T. Thompson)
2:38.0,Phoenix full timeout,,74-84,,
2:38.0,,,74-85,1,T. Thompson makes free throw 1 of 2
2:38.0,,,74-86,1,T. Thompson makes free throw 2 of 2
2:27.0,P. Tucker misses 3-pt shot from 23 ft,,74-86,,
2:26.0,,,74-86,,Defensive rebound by L. James
2:04.0,,,74-89,3,L. James makes 3-pt shot from 25 ft
1:41.0,P. Tucker misses 3-pt shot from 24 ft,,74-89,,
1:40.0,Offensive rebound by B. Wright,,74-89,,
1:34.0,Turnover by P. Tucker (bad pass; steal by K. Irving),,74-89,,
1:08.0,,,74-89,,J. Smith misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by B. Knight,,74-89,,
1:02.0,T. Warren makes 2-pt shot at rim (assist by B. Knight),2,76-89,,
0:56.0,,,76-89,,Cleveland full timeout
0:56.0,,,76-89,,M. Dellavedova enters the game for L. James
0:56.0,,,76-89,,J. Jones enters the game for K. Love
0:56.0,,,76-89,,J. Harris enters the game for J. Smith
0:56.0,,,76-89,,M. Miller enters the game for K. Irving
0:56.0,,,76-89,,K. Perkins enters the game for T. Thompson
0:47.0,,,76-89,,M. Dellavedova misses 2-pt shot from 7 ft
0:45.0,,,76-89,,Offensive rebound by M. Dellavedova
0:35.0,Personal foul by E. Bledsoe (drawn by M. Dellavedova),,76-89,,
0:32.0,,,76-89,,Turnover by J. Harris (lost ball)
0:26.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by B. Knight),3,79-89,,
0:02.0,,,79-89,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
