time,Memphis,pts.away,score,pts.home,Washington
8:44.0,J. Adams makes flagrant free throw 2 of 2,1,39-33,,
8:36.0,Offensive foul by J. Stokes,,39-33,,
8:36.0,Turnover by J. Stokes (offensive foul),,39-33,,
8:36.0,,,39-33,,M. Gortat enters the game for K. Seraphin
8:36.0,,,39-33,,P. Pierce enters the game for D. Blair
8:10.0,,,39-33,,O. Porter misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by N. Calathes,,39-33,,
8:03.0,V. Carter misses 3-pt shot from 26 ft,,39-33,,
8:01.0,,,39-33,,Defensive rebound by R. Sessions
7:58.0,,,39-35,2,R. Sessions makes 2-pt shot from 1 ft
7:41.0,J. Leuer makes 2-pt shot from 8 ft,2,41-35,,
7:20.0,,,41-35,,R. Sessions misses 2-pt shot from 3 ft (block by J. Stokes)
7:18.0,,,41-35,,Offensive rebound by O. Porter
7:14.0,,,41-35,,O. Porter misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by V. Carter,,41-35,,
7:03.0,N. Calathes misses 2-pt shot from 12 ft,,41-35,,
7:02.0,,,41-35,,Defensive rebound by O. Porter
6:58.0,,,41-35,,Shooting foul by J. Adams (drawn by J. Wall)
6:58.0,,,41-36,1,J. Wall makes free throw 1 of 2
6:58.0,C. Lee enters the game for V. Carter,,41-36,,
6:58.0,J. Green enters the game for J. Leuer,,41-36,,
6:58.0,,,41-37,1,J. Wall makes free throw 2 of 2
6:46.0,Turnover by J. Green (bad pass; steal by M. Gortat),,41-37,,
6:42.0,,,41-37,,Shooting foul by J. Green (drawn by O. Porter)
6:42.0,,,41-37,,O. Porter misses free throw 1 of 2
6:42.0,,,41-37,,Offensive rebound by Team
6:42.0,,,41-38,1,O. Porter makes free throw 2 of 2
6:18.0,N. Calathes misses 2-pt shot from 15 ft,,41-38,,
6:17.0,,,41-38,,Defensive rebound by J. Wall
6:11.0,,,41-41,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
5:58.0,Turnover by J. Stokes (lost ball; steal by M. Gortat),,41-41,,
5:53.0,,,41-43,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
5:44.0,Memphis full timeout,,41-43,,
5:44.0,Official timeout,,41-43,,
5:44.0,K. Koufos enters the game for J. Stokes,,41-43,,
5:44.0,J. Green enters the game for J. Adams,,41-43,,
5:35.0,J. Green makes 2-pt shot at rim (assist by J. Green),2,43-43,,
5:19.0,Personal foul by J. Green (drawn by J. Wall),,43-43,,
5:19.0,,,43-43,,J. Wall misses free throw 1 of 2
5:19.0,,,43-43,,Offensive rebound by Team
5:19.0,B. Udrih enters the game for N. Calathes,,43-43,,
5:19.0,,,43-44,1,J. Wall makes free throw 2 of 2
4:56.0,Turnover by Team (shot clock),,43-44,,
4:42.0,,,43-44,,R. Sessions misses 3-pt shot from 26 ft
4:40.0,,,43-44,,Offensive rebound by O. Porter
4:37.0,,,43-44,,P. Pierce misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by B. Udrih,,43-44,,
4:20.0,,,43-44,,Personal foul by O. Porter (drawn by K. Koufos)
4:11.0,Turnover by C. Lee (lost ball),,43-44,,
3:58.0,,,43-46,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
3:46.0,C. Lee misses 3-pt shot from 25 ft,,43-46,,
3:45.0,Offensive rebound by C. Lee,,43-46,,
3:41.0,C. Lee misses 2-pt shot from 14 ft,,43-46,,
3:40.0,,,43-46,,Defensive rebound by R. Sessions
3:28.0,,,43-48,2,P. Pierce makes 2-pt shot from 1 ft (assist by R. Sessions)
