time,Houston,pts.away,score,pts.home,San Antonio
6:51.0,,,47-41,2,D. Green makes 2-pt shot at rim
6:31.0,P. Beverley misses 3-pt shot from 24 ft,,47-41,,
6:30.0,Offensive rebound by Team,,47-41,,
6:30.0,,,47-41,,T. Duncan enters the game for B. Diaw
6:12.0,P. Beverley misses 3-pt shot from 23 ft,,47-41,,
6:11.0,,,47-41,,Defensive rebound by M. Belinelli
5:54.0,,,47-41,,T. Duncan misses 2-pt shot from 6 ft
5:53.0,Defensive rebound by T. Ariza,,47-41,,
5:49.0,,,47-41,,Personal foul by C. Joseph (drawn by J. Smith)
5:49.0,,,47-41,,San Antonio full timeout
5:49.0,,,47-41,,M. Bonner enters the game for T. Splitter
5:49.0,J. Smith misses free throw 1 of 2,,47-41,,
5:49.0,Offensive rebound by Team,,47-41,,
5:49.0,J. Smith makes free throw 2 of 2,1,48-41,,
5:32.0,,,48-41,,T. Duncan misses 2-pt shot from 5 ft
5:31.0,Defensive rebound by D. Howard,,48-41,,
5:18.0,Turnover by J. Smith (traveling),,48-41,,
5:18.0,,,48-41,,M. Ginobili enters the game for M. Belinelli
5:01.0,,,48-41,,M. Bonner misses 3-pt shot from 25 ft
5:00.0,,,48-41,,Offensive rebound by C. Joseph
4:53.0,,,48-44,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Duncan)
4:38.0,P. Beverley misses 3-pt shot from 23 ft,,48-44,,
4:37.0,,,48-44,,Defensive rebound by C. Joseph
4:30.0,Personal block foul by T. Ariza (drawn by C. Joseph),,48-44,,
4:21.0,,,48-44,,T. Duncan misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by Team,,48-44,,
4:10.0,Turnover by J. Smith (bad pass; steal by M. Ginobili),,48-44,,
4:03.0,,,48-44,,T. Duncan misses 2-pt shot from 3 ft
4:02.0,Defensive rebound by J. Smith,,48-44,,
3:57.0,Turnover by J. Smith (bad pass; steal by T. Duncan),,48-44,,
3:51.0,,,48-46,2,C. Joseph makes 2-pt shot at rim (assist by T. Duncan)
3:35.0,Turnover by J. Harden (bad pass; steal by D. Green),,48-46,,
3:33.0,,,48-46,,Shooting foul by J. Smith (drawn by M. Ginobili)
3:33.0,Houston full timeout,,48-46,,
3:33.0,D. Motiejunas enters the game for D. Howard,,48-46,,
3:33.0,C. Brewer enters the game for T. Ariza,,48-46,,
3:33.0,,,48-46,,P. Mills enters the game for C. Joseph
3:33.0,,,48-47,1,M. Ginobili makes free throw 1 of 2
3:33.0,,,48-47,,M. Ginobili misses free throw 2 of 2
3:32.0,Defensive rebound by J. Smith,,48-47,,
3:16.0,C. Brewer misses 3-pt shot from 24 ft,,48-47,,
3:15.0,,,48-47,,Defensive rebound by Team
3:05.0,,,48-47,,M. Belinelli enters the game for M. Ginobili
2:55.0,,,48-47,,M. Bonner misses 2-pt shot from 7 ft
2:54.0,,,48-47,,Offensive rebound by T. Duncan
2:54.0,,,48-47,,Shooting foul by J. Smith (drawn by T. Duncan)
2:54.0,,,48-48,1,T. Duncan makes free throw 1 of 2
2:54.0,,,48-48,,C. Joseph enters the game for M. Belinelli
2:54.0,,,48-49,1,T. Duncan makes free throw 2 of 2
2:32.0,J. Harden misses 2-pt shot from 15 ft,,48-49,,
2:31.0,,,48-49,,Defensive rebound by T. Duncan
2:24.0,,,48-52,3,D. Green makes 3-pt shot from 24 ft (assist by C. Joseph)
2:13.0,J. Smith misses 2-pt shot from 5 ft,,48-52,,
2:13.0,,,48-52,,Defensive rebound by Team
2:13.0,Loose ball foul by D. Motiejunas (drawn by T. Duncan),,48-52,,
2:13.0,D. Howard enters the game for J. Smith,,48-52,,
2:03.0,,,48-52,,Turnover by P. Mills (lost ball; steal by P. Beverley)
2:00.0,P. Beverley makes 2-pt shot from 1 ft,2,50-52,,
1:46.0,,,50-52,,P. Mills misses 2-pt shot from 4 ft
1:45.0,Defensive rebound by D. Howard,,50-52,,
1:39.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden),3,53-52,,
1:21.0,,,53-52,,Turnover by P. Mills (bad pass; steal by D. Howard)
1:13.0,J. Harden misses 3-pt shot from 25 ft,,53-52,,
1:11.0,Offensive rebound by C. Brewer,,53-52,,
1:04.0,Turnover by C. Brewer (bad pass; steal by D. Green),,53-52,,
0:44.0,,,53-54,2,C. Joseph makes 2-pt shot from 1 ft (assist by T. Duncan)
0:31.0,J. Harden misses 3-pt shot from 28 ft,,53-54,,
0:30.0,,,53-54,,Defensive rebound by D. Green
0:22.0,,,53-54,,San Antonio full timeout
0:22.0,J. Smith enters the game for D. Motiejunas,,53-54,,
0:22.0,T. Ariza enters the game for J. Harden,,53-54,,
0:22.0,,,53-54,,M. Ginobili enters the game for C. Joseph
0:06.0,,,53-56,2,M. Bonner makes 2-pt shot from 9 ft (assist by M. Ginobili)
0:01.0,C. Brewer makes 2-pt shot from 17 ft,2,55-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Howard misses 2-pt shot from 5 ft,,55-56,,
11:41.0,,,55-56,,Defensive rebound by C. Joseph
11:28.0,,,55-56,,Offensive foul by C. Joseph
11:28.0,,,55-56,,Turnover by C. Joseph (offensive foul)
11:18.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden),2,57-56,,
10:51.0,,,57-58,2,T. Splitter makes 2-pt shot from 10 ft
10:24.0,J. Harden makes 2-pt shot from 9 ft,2,59-58,,
10:05.0,,,59-58,,T. Splitter misses 2-pt shot from 4 ft
10:04.0,Defensive rebound by J. Smith,,59-58,,
9:57.0,,,59-58,,Personal foul by T. Duncan (drawn by D. Howard)
9:57.0,D. Howard misses free throw 1 of 2,,59-58,,
9:57.0,Offensive rebound by Team,,59-58,,
9:57.0,D. Howard makes free throw 2 of 2,1,60-58,,
9:41.0,,,60-61,3,M. Belinelli makes 3-pt shot from 23 ft (assist by C. Joseph)
9:41.0,Houston full timeout,,60-61,,
9:41.0,Technical foul by P. Beverley,,60-61,,
9:41.0,,,60-62,1,D. Green makes technical free throw
9:25.0,P. Beverley misses 3-pt shot from 26 ft,,60-62,,
9:24.0,,,60-62,,Defensive rebound by T. Splitter
9:15.0,,,60-62,,M. Belinelli misses 2-pt shot from 22 ft
9:14.0,Defensive rebound by D. Howard,,60-62,,
9:04.0,J. Harden makes 2-pt shot from 17 ft,2,62-62,,
8:54.0,,,62-62,,Turnover by C. Joseph (bad pass; steal by T. Ariza)
8:54.0,,,62-62,,Clear path foul by M. Belinelli
8:54.0,T. Ariza makes clear path free throw 1 of 2,1,63-62,,
8:54.0,T. Ariza makes clear path free throw 2 of 2,1,64-62,,
8:43.0,,,64-62,,Personal foul by D. Green (drawn by D. Howard)
8:37.0,J. Smith misses 2-pt shot from 14 ft,,64-62,,
8:36.0,,,64-62,,Defensive rebound by D. Green
8:24.0,Personal foul by P. Beverley (drawn by C. Joseph),,64-62,,
8:12.0,,,64-62,,Turnover by T. Duncan (bad pass; steal by J. Smith)
8:09.0,Offensive charge foul by J. Harden,,64-62,,
8:09.0,Turnover by J. Harden (offensive foul),,64-62,,
8:00.0,,,64-62,,Offensive foul by C. Joseph
8:00.0,,,64-62,,Turnover by C. Joseph (offensive foul)
7:54.0,Turnover by Team (back court),,64-62,,
7:36.0,,,64-62,,Turnover by D. Green (bad pass; steal by T. Ariza)
7:32.0,,,64-62,,Violation by D. Green (def goaltending)
7:32.0,J. Harden makes 2-pt shot at rim,2,66-62,,
7:15.0,,,66-62,,T. Splitter misses 2-pt shot from 6 ft
7:15.0,,,66-62,,Offensive rebound by Team
7:14.0,,,66-62,,Shooting foul by J. Smith (drawn by M. Belinelli)
7:14.0,,,66-63,1,M. Belinelli makes free throw 1 of 2
7:14.0,,,66-64,1,M. Belinelli makes free throw 2 of 2
7:01.0,Offensive foul by J. Smith,,66-64,,
7:01.0,Turnover by J. Smith (offensive foul),,66-64,,
7:01.0,D. Motiejunas enters the game for J. Smith,,66-64,,
6:53.0,,,66-66,2,C. Joseph makes 2-pt shot from 2 ft
6:40.0,J. Harden misses 2-pt shot at rim (block by T. Splitter),,66-66,,
6:39.0,,,66-66,,Defensive rebound by C. Joseph
6:36.0,,,66-66,,M. Belinelli misses 2-pt shot from 3 ft
6:35.0,,,66-66,,Offensive rebound by C. Joseph
6:35.0,,,66-66,,C. Joseph misses 2-pt shot from 1 ft
6:33.0,,,66-66,,Offensive rebound by T. Splitter
6:32.0,,,66-66,,T. Splitter misses 2-pt shot at rim
6:29.0,Defensive rebound by D. Motiejunas,,66-66,,
6:28.0,,,66-66,,Personal foul by T. Splitter (drawn by D. Motiejunas)
6:09.0,Turnover by J. Harden (bad pass; steal by T. Duncan),,66-66,,
5:53.0,,,66-66,,M. Belinelli misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by J. Harden,,66-66,,
5:49.0,,,66-66,,Personal foul by D. Green (drawn by D. Motiejunas)
5:49.0,D. Motiejunas misses free throw 1 of 2,,66-66,,
5:49.0,Offensive rebound by Team,,66-66,,
5:49.0,,,66-66,,B. Diaw enters the game for T. Splitter
5:49.0,,,66-66,,M. Ginobili enters the game for M. Belinelli
5:49.0,D. Motiejunas makes free throw 2 of 2,1,67-66,,
5:39.0,Violation by D. Howard (kicked ball),,67-66,,
5:34.0,Personal foul by P. Beverley (drawn by T. Duncan),,67-66,,
5:18.0,,,67-69,3,D. Green makes 3-pt shot from 35 ft (assist by M. Ginobili)
5:04.0,J. Harden makes 2-pt shot from 1 ft,2,69-69,,
4:50.0,,,69-69,,D. Green misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by D. Howard,,69-69,,
4:35.0,P. Beverley misses 3-pt shot from 24 ft,,69-69,,
4:34.0,Offensive rebound by D. Howard,,69-69,,
4:29.0,T. Ariza misses 3-pt shot from 24 ft,,69-69,,
4:27.0,Offensive rebound by P. Beverley,,69-69,,
4:21.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley),3,72-69,,
4:21.0,,,72-69,,San Antonio full timeout
4:21.0,J. Dorsey enters the game for D. Howard,,72-69,,
4:21.0,C. Brewer enters the game for T. Ariza,,72-69,,
4:04.0,,,72-72,3,B. Diaw makes 3-pt shot from 25 ft (assist by M. Ginobili)
3:48.0,C. Brewer makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,75-72,,
3:34.0,,,75-74,2,C. Joseph makes 2-pt shot from 1 ft
3:19.0,J. Harden misses 2-pt shot at rim (block by T. Duncan),,75-74,,
3:17.0,,,75-74,,Defensive rebound by M. Ginobili
3:12.0,,,75-74,,D. Green misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by D. Motiejunas,,75-74,,
3:01.0,Shooting foul by T. Duncan (drawn by J. Harden),,75-74,,
3:01.0,J. Harden makes free throw 1 of 2,1,76-74,,
3:01.0,,,76-74,,M. Belinelli enters the game for D. Green
3:01.0,,,76-74,,A. Baynes enters the game for T. Duncan
3:01.0,J. Terry enters the game for P. Beverley,,76-74,,
3:01.0,J. Harden makes free throw 2 of 2,1,77-74,,
2:46.0,,,77-76,2,A. Baynes makes 2-pt shot from 2 ft (assist by B. Diaw)
2:23.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden),3,80-76,,
2:04.0,,,80-79,3,M. Belinelli makes 3-pt shot from 23 ft (assist by C. Joseph)
1:45.0,C. Brewer makes 3-pt shot from 24 ft (assist by J. Terry),3,83-79,,
1:29.0,,,83-79,,Shooting foul by J. Dorsey (drawn by M. Ginobili)
1:29.0,,,83-80,1,M. Ginobili makes free throw 1 of 2
1:29.0,,,83-80,,P. Mills enters the game for C. Joseph
1:29.0,,,83-81,1,M. Ginobili makes free throw 2 of 2
1:18.0,J. Harden misses 3-pt shot from 25 ft,,83-81,,
1:17.0,,,83-81,,Defensive rebound by P. Mills
1:04.0,,,83-81,,M. Ginobili misses 3-pt shot from 24 ft
1:03.0,,,83-81,,Offensive rebound by A. Baynes
1:00.0,,,83-83,2,A. Baynes makes 2-pt shot from 2 ft
0:51.0,,,83-83,,Personal take foul by A. Baynes (drawn by J. Dorsey)
0:51.0,J. Dorsey misses free throw 1 of 2,,83-83,,
0:51.0,Offensive rebound by Team,,83-83,,
0:51.0,J. Dorsey misses free throw 2 of 2,,83-83,,
0:51.0,,,83-83,,Defensive rebound by A. Baynes
0:32.0,,,83-85,2,A. Baynes makes 2-pt shot from 1 ft (assist by B. Diaw)
0:32.0,,,83-85,,Personal take foul by B. Diaw (drawn by J. Dorsey)
0:32.0,J. Dorsey misses free throw 1 of 2,,83-85,,
0:32.0,Offensive rebound by Team,,83-85,,
0:32.0,J. Dorsey makes free throw 2 of 2,1,84-85,,
0:12.0,,,84-85,,M. Belinelli misses 3-pt shot from 26 ft
0:11.0,Defensive rebound by C. Brewer,,84-85,,
0:03.0,Turnover by J. Harden (bad pass),,84-85,,
0:00.0,,,84-85,,M. Ginobili misses 3-pt shot from 24 ft
0:00.0,,,84-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,84-85,,Turnover by M. Ginobili (bad pass; steal by J. Terry)
11:38.0,Shooting foul by M. Belinelli (drawn by C. Brewer),,84-85,,
11:38.0,C. Brewer makes free throw 1 of 2,1,85-85,,
11:38.0,C. Brewer misses free throw 2 of 2,,85-85,,
11:38.0,,,85-85,,Defensive rebound by M. Ginobili
11:26.0,Personal foul by T. Ariza (drawn by M. Ginobili),,85-85,,
11:22.0,,,85-85,,Offensive foul by A. Baynes
11:22.0,,,85-85,,Turnover by A. Baynes (offensive foul)
11:22.0,,,85-85,,T. Splitter enters the game for A. Baynes
11:08.0,C. Brewer misses 3-pt shot from 25 ft,,85-85,,
11:07.0,,,85-85,,Defensive rebound by M. Ginobili
11:00.0,,,85-85,,Turnover by M. Ginobili (bad pass; steal by J. Smith)
10:39.0,D. Howard makes 2-pt shot from 2 ft,2,87-85,,
10:19.0,,,87-85,,T. Splitter misses 2-pt shot from 8 ft
10:18.0,Defensive rebound by D. Howard,,87-85,,
10:05.0,Turnover by C. Brewer (bad pass; steal by T. Splitter),,87-85,,
10:00.0,,,87-87,2,P. Mills makes 2-pt shot from 3 ft (assist by T. Splitter)
9:36.0,D. Howard makes 2-pt shot from 6 ft,2,89-87,,
9:25.0,Jump ball: P. Mills vs. J. Terry (C. Brewer gains possession),,,,Jump ball: P. Mills vs. J. Terry (C. Brewer gains possession)
9:25.0,,,89-87,,Turnover by P. Mills (lost ball; steal by J. Terry)
9:18.0,Offensive foul by D. Howard,,89-87,,
9:18.0,Turnover by D. Howard (offensive foul),,89-87,,
8:57.0,,,89-87,,P. Mills misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by J. Smith,,89-87,,
8:39.0,J. Smith misses 3-pt shot from 25 ft,,89-87,,
8:39.0,Offensive rebound by D. Howard,,89-87,,
8:39.0,Turnover by D. Howard (offensive goaltending),,89-87,,
8:39.0,Official timeout,,89-87,,
8:18.0,Violation by J. Smith (kicked ball),,89-87,,
8:12.0,,,89-87,,B. Diaw misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by D. Howard,,89-87,,
7:57.0,D. Howard makes 2-pt shot at rim (assist by C. Brewer),2,91-87,,
7:49.0,,,91-89,2,M. Ginobili makes 2-pt shot at rim
7:33.0,J. Smith misses 2-pt shot from 20 ft,,91-89,,
7:31.0,,,91-89,,Defensive rebound by M. Belinelli
7:27.0,Personal foul by T. Ariza (drawn by M. Ginobili),,91-89,,
7:27.0,,,91-89,,M. Bonner enters the game for B. Diaw
7:27.0,,,91-89,,T. Duncan enters the game for T. Splitter
7:27.0,J. Harden enters the game for T. Ariza,,91-89,,
7:27.0,,,91-89,,D. Green enters the game for M. Belinelli
7:19.0,,,91-89,,P. Mills misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by D. Howard,,91-89,,
7:09.0,J. Terry misses 3-pt shot from 22 ft,,91-89,,
7:07.0,,,91-89,,Defensive rebound by P. Mills
6:59.0,,,91-91,2,P. Mills makes 2-pt shot from 16 ft
6:41.0,J. Terry misses 3-pt shot from 24 ft,,91-91,,
6:39.0,,,91-91,,Defensive rebound by Team
6:39.0,,,91-91,,C. Joseph enters the game for M. Ginobili
6:39.0,,,91-91,,San Antonio full timeout
6:39.0,P. Beverley enters the game for J. Terry,,91-91,,
6:39.0,D. Motiejunas enters the game for J. Smith,,91-91,,
6:14.0,,,91-94,3,C. Joseph makes 3-pt shot from 25 ft
5:57.0,Turnover by P. Beverley (bad pass; steal by T. Duncan),,91-94,,
