time,Philadelphia,pts.away,score,pts.home,New York
7:09.0,R. Covington makes free throw 1 of 2,1,58-60,,
7:09.0,R. Covington makes free throw 2 of 2,1,59-60,,
7:00.0,,,59-60,,Shooting foul by N. Noel (drawn by L. Amundson)
7:00.0,,,59-61,1,L. Amundson makes free throw 1 of 2
7:00.0,,,59-62,1,L. Amundson makes free throw 2 of 2
6:46.0,Offensive foul by R. Covington,,59-62,,
6:46.0,Turnover by R. Covington (offensive foul),,59-62,,
6:35.0,,,59-62,,S. Larkin misses 2-pt shot from 3 ft
6:34.0,Defensive rebound by R. Covington,,59-62,,
6:26.0,R. Covington misses 3-pt shot from 26 ft,,59-62,,
6:25.0,,,59-62,,Defensive rebound by L. Thomas
6:15.0,,,59-62,,Turnover by L. Thomas (lost ball; steal by N. Noel)
6:07.0,J. Grant misses 3-pt shot from 23 ft,,59-62,,
6:06.0,,,59-62,,Defensive rebound by L. Thomas
5:55.0,,,59-64,2,A. Bargnani makes 2-pt shot from 17 ft (assist by S. Larkin)
5:54.0,Philadelphia full timeout,,59-64,,
5:54.0,J. Richardson enters the game for J. Grant,,59-64,,
5:33.0,N. Noel makes 2-pt shot from 7 ft,2,61-64,,
5:16.0,,,61-64,,Shooting foul by I. Smith (drawn by A. Bargnani)
5:16.0,,,61-65,1,A. Bargnani makes free throw 1 of 2
5:16.0,H. Sims enters the game for R. Covington,,61-65,,
5:16.0,H. Thompson enters the game for F. Aldemir,,61-65,,
5:16.0,,,61-66,1,A. Bargnani makes free throw 2 of 2
5:02.0,H. Thompson misses 2-pt shot from 4 ft,,61-66,,
5:01.0,,,61-66,,Defensive rebound by A. Bargnani
4:53.0,,,61-66,,Shooting foul by I. Smith (drawn by L. Amundson)
4:53.0,,,61-66,,L. Amundson misses free throw 1 of 2
4:53.0,,,61-66,,Offensive rebound by Team
4:53.0,J. Sampson enters the game for I. Smith,,61-66,,
4:53.0,,,61-67,1,L. Amundson makes free throw 2 of 2
4:37.0,N. Noel misses 2-pt shot from 3 ft,,61-67,,
4:36.0,Offensive rebound by H. Sims,,61-67,,
4:36.0,H. Sims misses 2-pt shot from 2 ft,,61-67,,
4:35.0,Offensive rebound by H. Sims,,61-67,,
4:34.0,H. Sims misses 2-pt shot from 2 ft (block by A. Bargnani),,61-67,,
4:33.0,,,61-67,,Defensive rebound by S. Larkin
4:28.0,,,61-67,,R. Ledo misses 3-pt shot from 26 ft
4:26.0,,,61-67,,Offensive rebound by R. Ledo
4:23.0,,,61-69,2,L. Amundson makes 2-pt shot from 2 ft (assist by R. Ledo)
3:56.0,J. Richardson makes 3-pt shot from 24 ft (assist by N. Noel),3,64-69,,
3:40.0,,,64-69,,S. Larkin misses 2-pt shot from 3 ft (block by H. Sims)
3:39.0,Defensive rebound by J. Sampson,,64-69,,
3:34.0,J. Sampson misses 2-pt shot from 2 ft (block by A. Bargnani),,64-69,,
3:33.0,Offensive rebound by H. Sims,,64-69,,
3:32.0,H. Sims makes 2-pt shot from 2 ft,2,66-69,,
3:13.0,,,66-69,,Turnover by L. Amundson (bad pass; steal by J. Sampson)
3:05.0,J. Richardson makes 2-pt shot from 3 ft,2,68-69,,
3:05.0,,,68-69,,New York full timeout
3:05.0,J. Grant enters the game for N. Noel,,68-69,,
3:05.0,,,68-69,,T. Hardaway enters the game for L. Amundson
3:05.0,,,68-69,,Q. Acy enters the game for L. Thomas
2:48.0,,,68-69,,R. Ledo misses 2-pt shot from 6 ft
2:47.0,,,68-69,,Offensive rebound by Q. Acy
2:47.0,,,68-69,,Q. Acy misses 2-pt shot from 2 ft
2:46.0,,,68-69,,Offensive rebound by Q. Acy
2:45.0,Personal foul by J. Sampson (drawn by Q. Acy),,68-69,,
2:40.0,,,68-71,2,R. Ledo makes 2-pt shot from 18 ft
2:25.0,J. Richardson misses 2-pt shot from 2 ft,,68-71,,
2:24.0,Offensive rebound by J. Richardson,,68-71,,
2:20.0,J. Sampson misses 3-pt shot from 26 ft,,68-71,,
2:19.0,Offensive rebound by Team,,68-71,,
2:19.0,,,68-71,,Loose ball foul by Q. Acy (drawn by H. Sims)
2:19.0,H. Sims makes free throw 1 of 2,1,69-71,,
2:19.0,H. Sims makes free throw 2 of 2,1,70-71,,
2:10.0,,,70-73,2,A. Bargnani makes 2-pt shot from 8 ft (assist by R. Ledo)
1:58.0,J. Richardson misses 3-pt shot from 26 ft,,70-73,,
1:57.0,,,70-73,,Defensive rebound by S. Larkin
1:52.0,,,70-75,2,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Larkin)
1:40.0,Offensive foul by H. Sims,,70-75,,
1:40.0,Turnover by H. Sims (offensive foul),,70-75,,
1:40.0,,,70-75,,J. Smith enters the game for A. Bargnani
1:32.0,,,70-75,,Turnover by R. Ledo (bad pass; steal by H. Sims)
1:24.0,H. Sims misses 2-pt shot from 18 ft,,70-75,,
1:23.0,,,70-75,,Defensive rebound by Q. Acy
1:13.0,Personal foul by J. Sampson (drawn by S. Larkin),,70-75,,
1:13.0,,,70-76,1,S. Larkin makes free throw 1 of 2
1:13.0,,,70-76,,S. Larkin misses free throw 2 of 2
1:12.0,Defensive rebound by H. Sims,,70-76,,
0:59.0,J. Grant misses 2-pt shot from 16 ft,,70-76,,
0:58.0,,,70-76,,Defensive rebound by S. Larkin
0:45.0,,,70-76,,Shooting foul by H. Thompson (drawn by Q. Acy)
0:45.0,,,70-76,,Q. Acy misses free throw 1 of 2
0:45.0,,,70-76,,Offensive rebound by Team
0:45.0,,,70-77,1,Q. Acy makes free throw 2 of 2
0:31.0,H. Sims makes 2-pt shot from 2 ft (assist by J. Sampson),2,72-77,,
0:14.0,,,72-77,,T. Hardaway misses 3-pt shot from 26 ft
0:13.0,,,72-77,,Offensive rebound by S. Larkin
0:10.0,,,72-79,2,Q. Acy makes 2-pt shot from 2 ft (assist by S. Larkin)
0:00.0,J. Richardson misses 2-pt shot from 7 ft,,72-79,,
0:00.0,Offensive rebound by Team,,72-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Turnover by J. Sampson (lost ball; steal by S. Larkin),,72-79,,
11:41.0,,,72-79,,Offensive foul by T. Hardaway
11:41.0,,,72-79,,Turnover by T. Hardaway (offensive foul)
11:25.0,Turnover by J. Richardson (bad pass; steal by J. Smith),,72-79,,
11:07.0,,,72-79,,J. Smith misses 2-pt shot from 16 ft
11:06.0,Defensive rebound by H. Sims,,72-79,,
10:50.0,Turnover by J. Grant (lost ball; steal by Q. Acy),,72-79,,
10:40.0,,,72-81,2,T. Hardaway makes 2-pt shot from 18 ft
10:15.0,H. Sims makes 2-pt shot from 17 ft (assist by H. Thompson),2,74-81,,
9:59.0,,,74-81,,Turnover by Q. Acy (bad pass; steal by H. Thompson)
9:34.0,J. Richardson misses 3-pt shot at rim,,74-81,,
9:33.0,,,74-81,,Defensive rebound by S. Larkin
9:27.0,Personal block foul by J. Grant (drawn by T. Hardaway),,74-81,,
9:27.0,N. Noel enters the game for J. Grant,,74-81,,
9:27.0,F. Aldemir enters the game for H. Sims,,74-81,,
9:27.0,,,74-81,,L. Galloway enters the game for S. Larkin
9:11.0,,,74-81,,T. Hardaway misses 2-pt shot from 14 ft
9:10.0,,,74-81,,Offensive rebound by Q. Acy
8:56.0,Personal foul by J. Sampson (drawn by J. Smith),,74-81,,
8:56.0,Official timeout,,74-81,,
8:48.0,,,74-83,2,Q. Acy makes 2-pt shot from 15 ft (assist by T. Hardaway)
8:33.0,H. Thompson makes 2-pt shot from 3 ft (assist by N. Noel),2,76-83,,
8:13.0,,,76-83,,Turnover by L. Galloway (step out of bounds)
8:01.0,,,76-83,,Personal foul by Q. Acy (drawn by N. Noel)
7:47.0,H. Thompson makes 3-pt shot from 27 ft (assist by N. Noel),3,79-83,,
7:27.0,,,79-83,,J. Smith misses 2-pt shot from 9 ft
7:26.0,Defensive rebound by F. Aldemir,,79-83,,
7:08.0,Shooting foul by Q. Acy (drawn by N. Noel),,79-83,,
7:08.0,N. Noel makes 2-pt shot at rim (assist by H. Thompson),2,81-83,,
7:08.0,R. Covington enters the game for J. Richardson,,81-83,,
7:08.0,,,81-83,,S. Larkin enters the game for R. Ledo
7:08.0,,,81-83,,A. Bargnani enters the game for Q. Acy
7:08.0,I. Smith enters the game for J. Sampson,,81-83,,
7:08.0,N. Noel misses free throw 1 of 1,,81-83,,
7:07.0,,,81-83,,Defensive rebound by L. Galloway
6:45.0,,,81-83,,L. Galloway misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by Team,,81-83,,
6:44.0,,,81-83,,Loose ball foul by J. Smith (drawn by F. Aldemir)
6:44.0,J. Grant enters the game for H. Thompson,,81-83,,
6:44.0,,,81-83,,L. Thomas enters the game for T. Hardaway
6:26.0,I. Smith misses 2-pt shot from 2 ft,,81-83,,
6:25.0,Offensive rebound by Team,,81-83,,
6:25.0,,,81-83,,Loose ball foul by S. Larkin (drawn by F. Aldemir)
6:07.0,R. Covington makes 2-pt shot from 9 ft,2,83-83,,
5:55.0,,,83-83,,Offensive foul by J. Smith
5:55.0,,,83-83,,Turnover by J. Smith (offensive foul)
5:55.0,,,83-83,,New York full timeout
5:34.0,I. Smith makes 2-pt shot from 8 ft (assist by J. Grant),2,85-83,,
5:25.0,,,85-83,,Shooting foul by N. Noel (drawn by L. Thomas)
5:25.0,,,85-84,1,L. Thomas makes free throw 1 of 2
5:25.0,,,85-85,1,L. Thomas makes free throw 2 of 2
5:25.0,,,85-85,,Violation by Team (delay of game)
5:05.0,Philadelphia full timeout,,85-85,,
4:59.0,I. Smith misses 3-pt shot at rim,,85-85,,
4:58.0,,,85-85,,Defensive rebound by L. Galloway
4:42.0,,,85-87,2,L. Thomas makes 2-pt shot at rim (assist by A. Bargnani)
4:26.0,Turnover by R. Covington (lost ball),,85-87,,
4:08.0,,,85-87,,A. Bargnani misses 2-pt shot from 15 ft
4:07.0,Defensive rebound by F. Aldemir,,85-87,,
4:00.0,I. Smith misses 2-pt shot from 3 ft (block by J. Smith),,85-87,,
3:59.0,Offensive rebound by Team,,85-87,,
3:52.0,R. Covington misses 3-pt shot from 25 ft,,85-87,,
3:51.0,,,85-87,,Defensive rebound by A. Bargnani
